Nikolai ^np+++??+=Nikolai
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it
rejected ^vbd+++xvbn+=rejected?
? ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
must ^md+nec+++=must
talk ^vb++++=talk
it ^pp3+it+++=it
over ^in++++=over
together ^nn+nom+++=together."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Almazof ^np+++??+=Almazof
turned ^vbd+++xvbn+=turned
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
speak ^vbi++++=speak
irritably ^rb++++=irritably
and ^cc+phrs+++=and
passionately ^rb+cnj+++=passionately,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^cd1++++=one
generally ^rb+down+++=generally
does ^vbz+doz+aux++=does
speak ^vb++++=speak
when ^wrb+who+++=when
telling ^vbg+nom++xvbg+=telling
of ^in++++=of
an ^at++++=an
insult ^nn++++=insult
long ^rb++++=long
endured ^vbd+++xvbn+=endured.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They've
've ^vb+hv+aux++0=EXTRAWORD
rejected ^vprf+++xvbnx+=rejected
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
all ^abn++++=all
gone ^vprf+++xvbn+=gone
to ^in++++=to
the ^ati++++=the
devil ^nn++++=devil!
! ^zz++++=EXTRAWORD
All ^abn++++=All
that ^dt+dem+++=that
rubbish ^nn++++=rubbish"
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kicked ^vbd+++xvbnx+=kicked
the ^ati++++=the
portfolio ^nn++++=portfolio
with ^in++++=with
his ^pp$+pp3+++=his
foot ^nn++++=foot
" ^zz++++="all
all ^abn++++=EXTRAWORD
that ^dt+dem+++=that
rubbish ^nn++++=rubbish
had ^vb+hv+aux++=had
better ^jjr++++=better
be ^vb+be+aux++=be
thrown ^vpsv++agls+xvbnx+=thrown
into ^in++++=into
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
academy ^nn++++=academy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
in ^in++++=in
the ^ati++++=the
regiment ^nn+nom+++=regiment
with ^in++++=with
a ^at++++=a
bang ^uh++++=bang
next ^ap++++=next
month ^nn++++=month,
, ^zz++++=EXTRAWORD
disgraced ^xvbn+++xvbn+=disgraced.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
all ^rb++++=all
for ^in++++=for
a ^at++++=a
filthy ^jj+atrb+++=filthy
spot ^nn++++=spot
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
damn ^vb++++=damn
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
Kolya ^np+++??+=Kolya?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua+tht0+xvbn+=asked
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
anything ^pn++++=anything
about ^in++++=about
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
chair ^nn++++=chair
and ^cc++++=and
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
arm ^vb++++=arm
round ^rb++++=round
his ^pp$+pp3+++=his
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
no ^at++++=no
resistance ^nn+nom+++=resistance,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb+atrb+++=still
continued ^jj+++xvbn+=continued
to ^to++++=to
stare ^vbi++++=stare
into ^in++++=into
the ^ati++++=the
corner ^nn++++=corner
with ^in++++=with
an ^at++++=an
injured ^jj+atrb++xvbn+=injured
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
spot ^nn++++=spot
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Kolya ^np+++??+=Kolya?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
his ^pp$+pp3+++=his
wife ^nn++++=wife
once ^rb+tm+++=once
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
spot ^nn++++=spot
of ^in++++=of
green ^nn++++=green
paint ^nn++++=paint.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
up ^rp++++=up
until ^cs+sub+++=until
three ^cd++++=three
o'clock ^rb++++=o'clock
last ^jj+atrb+++=last
night ^nn++++=night
to ^to++++=to
finish ^vbi++++=finish
my ^pp$+pp1+++=my
drawing ^nvbg+++xvbg+=drawing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
plan ^nn++++=plan
was ^vbd+bedz+aux++=was
beautifully ^rb++splt++=beautifully
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
said ^vbd+vpub++xvbn+=said
so ^ql++++=so.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
there ^rn+pl+++=there
last ^jj+atrb+++=last
night ^nn++++=night
and ^cc++++=and
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
so ^ql+emph+++=so
tired ^jj+++xvbn+=tired
that ^dt+dem+++=that
my ^pp$+pp1+++=my
hand ^nn++++=hand
shook ^vbd+++xvbn+=shook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
a ^at++++=a
blot ^nn++++=blot
such ^abl++++=such
a ^at++++=a
big ^jj+atrb+++=big
one.. ^nn+++??+=one....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
erase ^vbi++++=erase
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
only ^ap+down+++=only
made ^vprf+++xvbn+=made
it ^pp3+it+++=it
worse.. ^nn+++??+=worse....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
and ^cc+phrs+++=and
thought ^vbd+++xvbn+=thought
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
better ^jjr++++=better
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
up ^rp++++=up
my ^pp$+pp1+++=my
mind ^nn++++=mind
to ^to++++=to
put ^vbi++++=put
a ^at++++=a
clump ^nn++++=clump
of ^in++++=of
trees ^nns++++=trees
in ^cs+sub+++=in
that ^cs"++++=that
place.. ^nn+++??+=place....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
successful ^jj++++=successful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
guess ^vb++++=guess
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
blot ^nn++++=blot.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
today ^nr+tm+++=to-day
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it
in ^in++++=in
to ^in++++=to
the ^ati++++=the
professor ^nn++++=professor.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='that's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
well ^rb++++=well.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+whq++=what
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
lieutenant ^npt+nom+++=lieutenant;
; ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
have ^vb+hv+aux++=have
these ^dt+dem+++=these
bushes ^nns++++=bushes
sprung ^vbd+++xvbn+=sprung
from ^in+strn+++=from?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he
would ^md+prd+++=would
only ^rb+down+++=only
have ^vb+hv+aux++=have
laughed ^vprf+++xvbnx+=laughed
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
such ^abl++++=such
an ^at++++=an
accurate ^jj+atrb+++=accurate
German ^nn++++=German,
, ^zz++++=EXTRAWORD
such ^abl++++=such
a ^at++++=a
pedant ^nn++++=pedant.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
some ^dti++++=some
trees ^nns++++=trees
growing ^vwbg+++xvbg+=growing
there ^rn+pl+++=there.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
this ^dt+dem+++=this
neighbourhood ^nn+nom+++=neighbourhood
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
the ^ati++++=the
five ^cd++++=five
fingers ^nns+nom+++=fingers
of ^in++++=of
my ^pp$+pp1+++=my
own ^ap++++=own
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
any ^dti++++=any
trees ^nns++++=trees
there ^rn+pl+++=there.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
word ^nn++++=word
against ^in++++=against
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
argument ^nn+nom+++=argument
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
our ^pp$+pp1+++=our
officers ^nns+nom+++=officers
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there
too ^ql++++=too,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening.
. ^zz++++=EXTRAWORD
' ^zz++++='Well,'
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
' ^zz++++='if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
so ^ql+emph+++=so
sure ^jj++++=sure
that ^tht+jcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
trees ^nns++++=trees
in ^in++++=in
this ^dt+dem+++=this
hollow ^nn++++=hollow,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
so ^ql+emph+++=so
good ^jj++++=good
as ^in++++=as
to ^in"++++=to
ride ^vb++++=ride
over ^in++++=over
with ^in++++=with
me ^pp1o+pp1+++=me
