Chapter ^nn++++=CHAPTER
is ^vbz+bez+vrb++=is
branded ^jj+pred+++=branded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
will ^md+prd+++=will
always ^rb++splt++=always
cling ^vb++++=cling
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
public ^nn++++=public
look ^vb++++=look
upon ^in++++=upon
him ^pp3o+pp3+++=him
as ^ql++++=as
their ^pp$+pp3+++=their
own ^ap++++=own
property ^nn++++=property;
; ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
opinion ^nn++++=opinion,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
created ^vpsv++agls+xvbnx+=created
for ^in++++=for
their ^pp$+pp3+++=their
especial ^jj+atrb+++=especial
benefit ^nn++++=benefit
and ^cc++++=and
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
he ^pp3a+pp3+++=he
return ^nn++++=return
from ^in++++=from
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
person ^nn++++=person
who ^whp+rel+subj++=who
meets ^vbz++++=meets
him ^pp3o+pp3+++=him
accosts ^nns+++??+=accosts
him ^pp3o+pp3+++=him
with ^in+strn+++=with:
: ^zz++++=EXTRAWORD
" ^zz++++="Haven't
have ^vb+hv+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
brought ^vbd+++xvbn+=brought
anything ^pn++++=anything
new ^jj++++=new
for ^in++++=for
us ^pp1o+pp1+++=us?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
the ^ati++++=the
derangement ^nn+nom+++=derangement
of ^in++++=of
his ^pp$+pp3+++=his
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
illness ^nns+nom+++=illness
of ^in++++=of
some ^dti++++=some
being ^jj+++xvbg+=being
dear ^jj++++=dear
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
cause ^nn++++=cause
him ^pp3o+pp3+++=him
to ^to++++=to
become ^vbi++++=become
lost ^vbd+++xvbn+=lost
in ^in++++=in
thoughtful ^jj+atrb+++=thoughtful
reflection ^nn+nom+++=reflection,
, ^zz++++=EXTRAWORD
immediately ^rb+tm+++=immediately
a ^at++++=a
trite ^nn++++=trite
smile ^nn++++=smile
accompanies ^vbz++++=accompanies
the ^ati++++=the
trite ^nn++++=trite
exclamation ^nn+nom+++=exclamation:
: ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
doubt ^nn++++=doubt
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
composing ^vbg+++xvbgx+=composing
something ^pn++++=something!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
he ^pp3a+pp3+++=he
happen ^vb+++??+=happen
to ^to+vcmp+++=to
fall ^vbi++++=fall
in ^in++++=in
love ^nn++++=love,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
beauty ^nn++++=beauty
purchases ^nns++++=purchases
an ^at++++=an
album ^nn++++=album
at ^in++++=at
the ^ati++++=the
English ^jj+atrb+++=English
warehouse ^nn++++=warehouse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expects ^vbz++++=expects
an ^at++++=an
elegy ^nn++++=elegy.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
he ^pp3a+pp3+++=he
call ^vb++++=call
upon ^in++++=upon
a ^at++++=a
man ^nn++++=man
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
hardly ^rb+down+++=hardly
knows ^vbz+vprv+++=knows,
, ^zz++++=EXTRAWORD
to ^to++++=to
talk ^vbi++++=talk
about ^in++++=about
serious ^jj+atrb+++=serious
matters ^nns+nom+++=matters
of ^in++++=of
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
the ^ati++++=the
latter ^ap++++=latter
quickly ^rb++++=quickly
calls ^vbz++++=calls
his ^pp$+pp3+++=his
son ^nn++++=son
and ^cc++++=and
compels ^vbz++++=compels
him ^pp3o+pp3+++=him
to ^to++++=to
read ^vbn+vprv++xvbn+=read
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
verses ^nns++++=verses
of ^in++++=of
so ^ql++++=so-and-so,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lad ^nn++++=lad
regales ^nns+++??+=regales
the ^ati++++=the
poet ^nn++++=poet
with ^in++++=with
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
lame ^jj+atrb+++=lame
productions ^nns+nom+++=productions.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
these ^dt+pdem+++=these
are ^vb+ber+vrb++=are
but ^cc++++=but
the ^ati++++=the
flowers ^nns+nom+++=flowers
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
the ^ati++++=the
calling ^nvbg+++xvbg+=calling;
; ^zz++++=EXTRAWORD
what ^wdt+who+++=what
then ^rn+tm+++=then
must ^md+nec+++=must
be ^vb+be+vrb++=be
the ^ati++++=the
fruits ^nns++++=fruits!
! ^zz++++=EXTRAWORD
Charsky ^np+++??+=Charsky
acknowledged ^vbd+vpub++xvbn+=acknowledged
that ^tht+vcmp+++=that
the ^ati++++=the
compliments ^nns+nom+++=compliments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
albums ^nns++++=albums,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
boys ^nns++++=boys
bored ^vbd+++xvbn+=bored
him ^pp3o+pp3+++=him
to ^in++++=to
such ^abl++++=such
an ^at++++=an
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
constantly ^rb++splt++=constantly
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
restrain ^vbi++++=restrain
himself ^ppl+pp3+++=himself
from ^in++++=from
committing ^xvbg+++xvbg+=committing
some ^dti++++=some
act ^nn++++=act
of ^in++++=of
rudeness ^nns+nom+++=rudeness.
. ^zz++++=EXTRAWORD
Charsky ^np+++??+=Charsky
used ^vwbn+++xvbn+=used
every ^at++++=every
possible ^jj+atrb+++=possible
endeavour ^nn++++=endeavour
to ^to++++=to
rid ^vbi++++=rid
himself ^ppl+pp3+++=himself
of ^in++++=of
the ^ati++++=the
intolerable ^jj+atrb+++=intolerable
appellation ^nn+nom+++=appellation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
avoided ^vbd+++xvbnx+=avoided
the ^ati++++=the
society ^nn++++=society
of ^in++++=of
his ^pp$+pp3+++=his
literary ^jj+atrb+++=literary
brethren ^nns++++=brethren,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preferred ^vpsv++agls+xvbn+=preferred
to ^to+vcmp+++=to
them ^pp3o+pp3+++=them
the ^ati++++=the
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
most ^ql+emph+++=most
shallow ^jj++++=shallow-minded:
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
: ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
help ^nn++++=help
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
conversation ^nn+nom+++=conversation
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
commonplace ^nn++++=commonplace
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
turned ^vbd+++xvbn+=turned
upon ^in++++=upon
literature ^nn++++=literature.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
dress ^nn++++=dress
he ^pp3a+pp3+++=he
always ^rb++++=always
observed ^vbd+vprv++xvbn+=observed
the ^ati++++=the
very ^ql+amp+++=very
latest ^jjt+atrb+++=latest
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
timidity ^nn+nom+++=timidity
and ^cc++++=and
superstition ^nn+nom+++=superstition
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
Moscovite ^np+++??+=Moscovite
arriving ^vwbg+++xvbg+=arriving
in ^in++++=in
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Petersburg ^np++++=Petersburg
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
study ^nn++++=study,
, ^zz++++=EXTRAWORD
furnished ^j+++xvbn+=furnished
like ^in++++=like
a ^at++++=a
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
bedroom ^nn++++=bedroom,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
recalled ^vbd+vprv++xvbn+=recalled
the ^ati++++=the
writer ^nn++++=writer;
; ^zz++++=EXTRAWORD
no ^at++++=no
books ^nns++++=books
littered ^vbd+++xvbn+=littered
the ^ati++++=the
table ^nn++++=table;
; ^zz++++=EXTRAWORD
the ^ati++++=the
divan ^nn++++=divan
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
stained ^vbd+++xvbn+=stained
with ^in++++=with
ink ^nn++++=ink;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
none ^pn++++=none
of ^in++++=of
that ^dt+dem+++=that
disorder ^nn+nom+++=disorder
which ^whp+rel+subj++=which
denotes ^vbz+vsua+++=denotes
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
the ^ati++++=the
Muse ^nn++++=Muse
and ^cc++++=and
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
broom ^nn++++=broom
and ^cc++++=and
brush ^nn++++=brush.
. ^zz++++=EXTRAWORD
Charsky ^np+++??+=Charsky
was ^vbd+bedz+aux++=was
in ^in++++=in
despair ^vb++++=despair
if ^cs+cnd+++=if
any ^dti++++=any
of ^in++++=of
his ^pp$+pp3+++=his
worldly ^jj+atrb+++=worldly
friends ^nns++++=friends
found ^vbd+vprv++xvbn+=found
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
pen ^nn++++=pen
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
believe ^vbi+vprv+++=believe
to ^to+vcmp+++=to
what ^wdt+who+++=what
trifles ^nns++++=trifles
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise
endowed ^vbd+++xvbn+=endowed
with ^in++++=with
talent ^nn++++=talent
and ^cc++++=and
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
descend ^vb++++=descend.
. ^zz++++=EXTRAWORD
At ^rb++++=At
one ^cd1++++=one
time ^nn++++=time
he ^pp3a+pp3+++=he
pretended ^vbd+vprv++xvbnx+=pretended
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
passionate ^jj+atrb+++=passionate
lover ^nn++++=lover
of ^in++++=of
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
at ^rb++++=at
another ^dt++++=another
a ^at++++=a
desperate ^jj+atrb+++=desperate
gambler ^nn++++=gambler,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
another ^dt++++=another
a ^at++++=a
refined ^jj+atrb++xvbn+=refined
gourmet ^nn+++??+=gourmet,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
never ^rb++++=never
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
distinguish ^vb++++=distinguish
the ^ati++++=the
mountain ^nn++++=mountain
breed ^nn++++=breed
from ^in++++=from
the ^ati++++=the
Arab ^jj++++=Arab,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
never ^rb++splt++=never
remember ^nn+nom+++=remember
the ^ati++++=the
trump ^nn+++??+=trump
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
secret ^nn++++=secret
preferred ^vbd+++xvbn+=preferred
a ^at++++=a
baked ^jj+atrb++xvbn+=baked
potato ^nn++++=potato
to ^in++++=to
all ^abn++++=all
the ^ati++++=the
inventions ^nns+nom+++=inventions
of ^in++++=of
the ^ati++++=the
French ^jj+atrb+++=French
cuisine ^nn++++=cuisine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
led ^vbd+++xvbnx+=led
a ^at++++=a
life ^nn++++=life
of ^in++++=of
unbounded ^jj+atrb+++=unbounded
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
at ^rb++++=at
all ^abn++++=all
the ^ati++++=the
balls ^nns++++=balls,
, ^zz++++=EXTRAWORD
gormandized ^j+++xvbn+=gormandized
at ^rb++++=at
all ^abn++++=all
the ^ati++++=the
diplomatic ^jj+atrb+++=diplomatic
dinners ^nns+nom+++=dinners,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
appeared ^vbd+seem++xvbn+=appeared
at ^rb++++=at
all ^abn++++=all
the ^ati++++=the
soirees ^nns+nom+++=soirees
as ^in++++=as
inevitably ^rb++++=inevitably
as ^in++++=as
the ^ati++++=the
Rezan ^np+++??+=Rezan
ices ^nns+++??+=ices.
. ^zz++++=EXTRAWORD
For ^in++++=For
all ^abn++++=all
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
poet ^nn++++=poet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
passion ^nn++++=passion
was ^vbd+bedz+vrb++=was
invincible ^jj+pred+++=invincible.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
" ^zz++++="silly
silly ^jj++++=EXTRAWORD
fit ^vb++++=fit"
" ^zz++++=EXTRAWORD
( ^zz++++=(thus
thus ^rb+cnj+++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
the ^ati++++=the
inspiration ^nn+nom+++=inspiration)
) ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
upon ^in+ppvb+++=upon
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Charsky ^np+++??+=Charsky
would ^md+prd+++=would
shut ^vb+++xvbn+=shut
himself ^ppl+pp3+++=himself
up ^rp++++=up
in ^in++++=in
his ^pp$+pp3+++=his
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
write ^vb++++=write
from ^in++++=from
morning ^nn++++=morning
till ^cs+sub+++=till
late ^jj++++=late
into ^in++++=into
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
confessed ^vbd+vpub++xvbnx+=confessed
to ^in++++=to
his ^pp$+pp3+++=his
genuine ^jj+atrb+++=genuine
friends ^nns++++=friends
that ^tht+rel+++=that
only ^rb+down+++=only
then ^rn+tm+++=then
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
real ^jj+atrb+++=real
happiness ^nns+nom+++=happiness
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rest ^nn++++=rest
of ^in++++=of
his ^pp$+pp3+++=his
time ^nn++++=time
he ^pp3a+pp3+++=he
strolled ^vbd+++xvbnx+=strolled
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
dissembled ^j+++xvbn+=dissembled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
assailed ^vpsv++agls+xvbnx+=assailed
at ^in++++=at
every ^at++++=every
step ^nn++++=step
by ^in++++=by
the ^ati++++=the
eternal ^jj+atrb+++=eternal
question ^nn+nom+++=question:
: ^zz++++=EXTRAWORD
" ^zz++++="Haven't
have ^vb+hv+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
written ^vbd+++xvbn+=written
anything ^pn++++=anything
new ^jj++++=new?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
Charsky ^np+++??+=Charsky
felt ^vbd+vprv++xvbn+=felt
that ^tht+vcmp+++=that
happy ^jj+atrb+++=happy
disposition ^nn+nom+++=disposition
of ^in++++=of
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
illusions ^nns++++=illusions
are ^vb+ber+aux++=are
represented ^vpsv++agls+xvbnx+=represented
in ^in++++=in
their ^pp$+pp3+++=their
brightest ^jjt+atrb+++=brightest
colours ^nns++++=colours,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
vivid ^jj+atrb+++=vivid,
, ^zz++++=EXTRAWORD
unexpected ^jj+atrb+++=unexpected
words ^nns++++=words
present ^vb++++=present
themselves ^ppls+pp3+++=themselves
for ^in++++=for
the ^ati++++=the
incarnation ^nn+nom+++=incarnation
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
visions ^nns++++=visions,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
verses ^nns++++=verses
flow ^nn++++=flow
easily ^rb++++=easily
from ^in++++=from
the ^ati++++=the
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sonorous ^jj+atrb+++=sonorous
rhythms ^nns+++??+=rhythms
fly ^vb++++=fly
to ^to++++=to
meet ^vbi++++=meet
harmonious ^jj+atrb+++=harmonious
thoughts ^nns++++=thoughts.
. ^zz++++=EXTRAWORD
Charsky ^np+++??+=Charsky
was ^vbd+bedz+aux++=was
mentally ^rb++splt++=mentally
plunged ^vpsv++agls+xvbnx+=plunged
into ^in++++=into
a ^at++++=a
sweet ^jj+atrb+++=sweet
oblivion. ^nn+++??+=oblivion...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
trifles ^nns++++=trifles
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
own ^ap++++=own
particular ^jj+atrb+++=particular
whims ^nns++++=whims
no ^at++++=no
longer ^rbr++++=longer
existed ^vbd+++xvbn+=existed
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
writing ^vbg+++xvbgx+=writing
verses ^nns++++=verses.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
his ^pp$+pp3+++=his
study ^nn++++=study
creaked ^vbd+++xvbn+=creaked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
unknown ^jj+atrb+++=unknown
head ^nn++++=head
of ^in++++=of
a ^at++++=a
man ^nn++++=man
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
Charsky ^np+++??+=Charsky
gave ^vbd+++xvbn+=gave
a ^at++++=a
sudden ^jj+atrb+++=sudden
start ^nn++++=start
and ^cc++++=and
frowned ^vbd+++xvbn+=frowned.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
with ^in++++=with
vexation ^nn+nom+++=vexation,
, ^zz++++=EXTRAWORD
inwardly ^rb++++=inwardly
cursing ^vbg+++xvbg+=cursing
his ^pp$+pp3+++=his
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
never ^rb++++=never
in ^in++++=in
the ^ati++++=the
ante ^nn+++??+=ante-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
wanted ^vpsv++agls+xvbnx+=wanted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
unknown ^nn++++=unknown
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
of ^in++++=of
a ^at++++=a
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
spare ^vb++++=spare
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
be ^vbi++vrb++=be
about ^in++++=about
thirty ^cd++++=thirty
years ^nns++++=years
of ^in++++=of
age ^nn++++=age.
. ^zz++++=EXTRAWORD
The ^ati++++=The
features ^nns++++=features
of ^in++++=of
his ^pp$+pp3+++=his
swarthy ^jj+atrb+++=swarthy
face ^nn++++=face
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
