You ^pp2+pp2+++=You're
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
a ^at++++=a
foolish ^jj+atrb+++=foolish
remark ^nn++++=remark?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
man ^nn++++=man
to ^to++++=to
see ^vbi+vprv+++=see
another ^dt++++=another
and ^cc++++=and
understand ^vb+vprv+++=understand
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
must ^md+nec+++=must
first ^rb++++=first
of ^in++++=of
all ^rb++++=all
forget ^vb+vprv+tht0++=forget
his ^pp$+pp3+++=his
own ^ap++++=own
personality ^nn+nom+++=personality,
, ^zz++++=EXTRAWORD
forget ^vb+vprv+++=forget
to ^to+vcmp+++=to
consider ^nn+nom+++=consider
what ^wdt+who+++=what
impression ^nn++++=impression
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
is ^vbz+bez+aux++=is
making ^vbg+++xvbgx+=making
on ^in++++=on
his ^pp$+pp3+++=his
neighbours ^nns++++=neighbours
and ^cc+cls+++=and
what ^wdt+who+++=what
a ^at++++=a
fine ^jj+atrb+++=fine
figure ^nn++++=figure
he ^pp3a+pp3+++=he
cuts ^nns++++=cuts
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
few ^ap++++=few
who ^whp+rel+subj++=who
can ^md+pos+++=can
see ^vb+vprv+++=see
other ^ap++++=other
people ^nns++++=people,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am,
, ^zz++++=EXTRAWORD
a ^at++++=a
sinful ^jj+atrb+++=sinful
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
my ^pp$+pp1+++=my
declining ^jj+atrb++xvbg+=declining
years ^nns++++=years
I ^pp1a+pp1+++=I
love ^vb++++=love
to ^to+vcmp+++=to
ponder ^vbi++++=ponder
upon ^in++++=upon
life ^nn++++=life.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
old ^jj+pred+++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
solitary ^jj++++=solitary
as ^rb++++=as
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
how ^wrb+who+whcl++=how
long ^rb++++=long
the ^ati++++=the
nights ^nns++++=nights
are ^vb+ber+vrb++=are
to ^to++++=to
us ^pp1o+pp1+++=us
old ^jj++++=old
folk ^jjb++++=folk.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
heart ^nn++++=heart
and ^cc++++=and
my ^pp$+pp1+++=my
memory ^nn++++=memory
have ^vb+hv+aux++=have
preserved ^vprf+++xvbnx+=preserved
for ^in++++=for
me ^pp1o+pp1+++=me
thousands ^cds++++=thousands
of ^in++++=of
living ^xvbg+++xvbg+=living
recollections ^nns+nom+++=recollections
of ^in++++=of
myself ^ppl+pp1+++=myself
and ^cc++++=and
of ^in++++=of
others ^aps++++=others.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
one ^cd1++++=one
thing ^nn++++=thing
to ^to++++=to
chew ^vbi++++=chew
the ^ati++++=the
cud ^nn++++=cud
of ^in++++=of
recollection ^nn+nom+++=recollection
as ^in++++=as
a ^at++++=a
cow ^nn++++=cow
chews ^nns+++??+=chews
nettles ^nns++++=nettles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quite ^abl++++=quite
another ^ppls++++=another
to ^to++++=to
consider ^nn+nom+++=consider
things ^nns++++=things
with ^in++++=with
wisdom ^nn++++=wisdom
and ^cc++++=and
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
call ^vb++++=call
philosophy ^nn++++=philosophy.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
talking ^vbg+++xvbgx+=talking
of ^in++++=of
accident ^nn++++=accident
and ^cc++++=and
fate ^nn++++=fate.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
quite ^rb++++=quite
agree ^vb+vpub+++=agree
with ^in++++=with
you ^pp2+pp2+++=you
that ^cs+sub+++=that
the ^ati++++=the
happenings ^nns++++=happenings
of ^in++++=of
life ^nn++++=life
seem ^vb+seem+++=seem
senseless ^jj++++=senseless,
, ^zz++++=EXTRAWORD
capricious ^jj++++=capricious,
, ^zz++++=EXTRAWORD
blind ^jj++++=blind,
, ^zz++++=EXTRAWORD
aimless ^jj++++=aimless,
, ^zz++++=EXTRAWORD
simply ^rb++++=simply
foolish ^jj++++=foolish.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
over ^rp++++=over
them ^pp3o+pp3+++=them
all ^abn++++=all
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
over ^in++++=over
millions ^cds++++=millions
of ^in++++=of
happenings ^nns++++=happenings
interwoven ^vbd+++xvbn+=interwoven
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
reigns ^vbz++++=reigns
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
perfectly ^rb+amp+++=perfectly
certain ^jj+pred+++=certain
of ^in++++=of
this ^dt+dem+++=this
an ^at++++=an
inexorable ^jj+atrb+++=inexorable
law ^nn++++=law.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
passes ^nns++++=passes
and ^cc++++=and
returns ^nns++++=returns
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
born ^vpsv++agls+xvbnx+=born
again ^rb+tm+++=again
out ^rp+pl+++=out
of ^in++++=of
a ^rb++++=a
little ^rb"++++=little
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
burns ^np++++=burns
and ^cc++++=and
tortures ^vbz++++=tortures
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
rejoices ^nns+++??+=rejoices,
, ^zz++++=EXTRAWORD
reaches ^vbz++++=reaches
a ^at++++=a
height ^nn++++=height
and ^cc++++=and
falls ^vbz++++=falls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
returns ^vbz++++=returns
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
twining ^nvbg+++xvbg+=twining
itself ^ppl++++=itself
about ^in++++=about
the ^ati++++=the
spiral ^nn++++=spiral
curve ^nn++++=curve
of ^in++++=of
the ^ati++++=the
flight ^nn++++=flight
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+dem+++=this
spiral ^nn++++=spiral
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
accomplished ^vpsv++agls+xvbnx+=accomplished,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
in ^in++++=in
its ^pp$+it+++=its
turn ^nn++++=turn
winds ^nns++++=winds
back ^jjb++++=back
again ^rb+tm+++=again
for ^in++++=for
many ^ap++++=many
years ^nns++++=years,
, ^zz++++=EXTRAWORD
returning ^vbg+++xvbg+=returning
and ^cc+phrs+++=and
passing ^vbg+++xvbg+=passing
over ^rb+phrv+++=over
its ^pp$+it+++=its
former ^ap++++=former
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
making ^vbg+++xvbg+=making
a ^at++++=a
new ^jj+atrb+++=new
curve ^nn++++=curve
a ^at++++=a
spiral ^nn++++=spiral
of ^in++++=of
spirals.. ^nn+++??+=spirals....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^rb++++=And
so ^rb"++++=so
on ^rb"++++=on
without ^in++++=without
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
this ^dt+dem+++=this
law ^nn++++=law
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
in ^in++++=in
existence ^nn+nom+++=existence
people ^nns++++=people
would ^md+prd+++=would
long ^rb++++=long
ago ^rb++++=ago
have ^vb+hv+aux++=have
discovered ^vprf+++xvbnx+=discovered
it ^pp3+it+++=it
and ^cc++++=and
would ^md+prd+++=would
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
define ^vb++++=define
its ^pp$+it+++=its
course ^nn++++=course
and ^cc++++=and
make ^vb++++=make
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
map ^nn++++=map
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
so ^rb++++=so.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
like ^in++++=like
weavers ^nns+nom+++=weavers,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
close ^jj++++=close
up ^in+cmpx+++=up
to ^in"++++=to
an ^at++++=an
infinitely ^rb++++=infinitely
long ^jj++++=long
and ^cc++++=and
infinitely ^rb++++=infinitely
broad ^jj+atrb+++=broad
web ^nn++++=web.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
certain ^jj+atrb+++=certain
colours ^nns++++=colours
before ^in++++=before
our ^pp$+pp1+++=our
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
blues ^nn++++=blues,
, ^zz++++=EXTRAWORD
purples ^nns+++??+=purples,
, ^zz++++=EXTRAWORD
greens ^nns++++=greens,
, ^zz++++=EXTRAWORD
all ^abn++++=all
moving ^nvbg+++xvbg+=moving,
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
and ^cc+phrs+++=and
passing ^vbg+++xvbg+=passing
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
so ^pn++++=so
near ^in+cmpx+++=near
to ^in"++++=to
it ^pp3+it+++=it
we ^pp1a+pp1+++=we
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
out ^rp+pl+++=out
the ^ati++++=the
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
stand ^vb++++=stand
above ^jjb+atrb+++=above
life ^nn++++=life,
, ^zz++++=EXTRAWORD
higher ^jjr++++=higher
than ^cs+sub+++=than
we ^pp1a+pp1+++=we
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
gentle ^jj+atrb+++=gentle
scholars ^nns++++=scholars,
, ^zz++++=EXTRAWORD
prophets ^nns++++=prophets,
, ^zz++++=EXTRAWORD
dreamers ^nns+nom+++=dreamers,
, ^zz++++=EXTRAWORD
saints ^nns++++=saints
and ^cc++++=and
poets ^nns++++=poets,
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
may ^md+pos+++=may
have ^vb+hv+vrb++=have
occasional ^jj+atrb+++=occasional
glimpses ^nns++++=glimpses
through ^in++++=through
the ^ati++++=the
confusion ^nn++++=confusion
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
keen ^jj+atrb+++=keen
inspired ^jj+atrb++xvbn+=inspired
gaze ^nn++++=gaze
may ^md+pos+++=may
see ^vb+vprv+++=see
the ^ati++++=the
beginnings ^nns++++=beginnings
of ^in++++=of
a ^at++++=a
harmonious ^jj+atrb+++=harmonious
design ^nn++++=design,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
divine ^vb++++=divine
its ^pp$+it+++=its
end ^nn++++=end.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
express ^jjb++++=express
myself ^ppl+pp1+++=myself
extravagantly ^jj++++=extravagantly?
? ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
wait ^vb++++=wait
a ^rb++++=a
little ^rb"++++=little;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
I ^pp1a+pp1+++=I
can ^md+pos+++=can
put ^vb+++xvbn+=put
it ^pp3+it+++=it
more ^rbr++++=more
clearly ^rb++++=clearly.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
mus ^nns+++??+=musn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
bore ^vbd+++xvbn+=bore
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
though.. ^nn+++??+=though....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
what ^wdt+who+whq++=what
can ^md+pos+++=can
one ^cd1++++=one
do ^vb+do+vrb++=do
on ^in++++=on
a ^at++++=a
railway ^nn++++=railway
journey ^nn++++=journey
except ^in++++=except
talk ^nn++++=talk?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
agree ^vb+vpub+++=agree
that ^tht+vcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
laws ^nns++++=laws
of ^in++++=of
Nature ^nn++++=Nature
governing ^vwbg+++xvbg+=governing
alike ^rb++++=alike
in ^in++++=in
their ^pp$+pp3+++=their
wisdom ^nn++++=wisdom
the ^ati++++=the
courses ^nns++++=courses
of ^in++++=of
the ^ati++++=the
stars ^nns++++=stars
and ^cc++++=and
the ^ati++++=the
digestion ^nn+nom+++=digestion
of ^in++++=of
beetles ^nns+++??+=beetles.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
in ^in++++=in
such ^abl++++=such
laws ^nns++++=laws
and ^cc++++=and
I ^pp1a+pp1+++=I
revere ^nn+++??+=revere
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
Something ^pn++++=Something
or ^cc++++=or
Somebody ^pn++++=Somebody
stronger ^jjr++++=stronger
than ^in++++=than
Fate ^nn++++=Fate,
, ^zz++++=EXTRAWORD
greater ^jjr++++=greater
than ^in++++=than
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
Something ^pn++++=Something,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
call ^vb++++=call
it ^pp3+it+++=it
the ^ati++++=the
law ^nn++++=law
of ^in++++=of
logical ^jj+atrb+++=logical
absurdity ^nn+nom+++=absurdity,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
of ^in++++=of
absurd ^jj+atrb+++=absurd
logicality ^nn+nom+++=logicality,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
you ^pp2+pp2+++=you
please.. ^nn+++??+=please....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
express ^jjb++++=express
myself ^ppl+pp1+++=myself
very ^ql+amp+++=very
well ^rb++++=well.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
Somebody ^pn++++=Somebody,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
someone ^pn++++=someone
in ^in++++=in
comparison ^in"++++=comparison
with ^in"++++=with
whom ^whp+wpor+++=whom
our ^pp$+pp1+++=our
biblical ^jj+atrb+++=biblical
devil ^nn++++=devil
and ^cc++++=and
our ^pp$+pp1+++=our
romantic ^jj+atrb+++=romantic
Satan ^np++++=Satan
are ^vb+ber+vrb++=are
but ^cc++++=but
puny ^jj+atrb+++=puny
jesters ^nns+nom+++=jesters
and ^cc++++=and
harmless ^jj+atrb+++=harmless
rogues ^nns++++=rogues.
. ^zz++++=EXTRAWORD
Imagine ^vb+vprv+++=Imagine
to ^to+vcmp+++=to
yourself ^ppl+pp2+++=yourself
an ^at++++=an
almost ^rb+hdg+++=almost
godlike ^jj+atrb+++=godlike
Power ^nn++++=Power
over ^in++++=over
this ^dt+dem+++=this
world ^nn++++=world,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
a ^at++++=a
desperate ^jj+atrb+++=desperate
childish ^jj+atrb+++=childish
love ^nn++++=love
of ^in++++=of
playing ^xvbg+++xvbg+=playing
tricks ^nns++++=tricks,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
neither ^dt++neg++=neither
good ^jj++++=good
nor ^cc++neg++=nor
evil ^nn++++=evil,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
always ^rb++++=always
mercilessly ^rb++++=mercilessly
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
sagacious ^jj++++=sagacious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
devil ^nn++++=devil
take ^vb++++=take
it ^pp3+it+++=it
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
somehow ^rb++++=somehow
strangely ^rb++++=strangely
just ^rb+emph+++=just.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
illustrate ^nn+nom+++=illustrate
my ^pp$+pp1+++=my
meaning ^nvbg+++xvbg+=meaning
by ^in++++=by
examples ^nns++++=examples.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
Napoleon ^np++++=Napoleon:
: ^zz++++=EXTRAWORD
a ^at++++=a
marvellous ^jj+atrb+++=marvellous
life ^nn++++=life,
, ^zz++++=EXTRAWORD
an ^at++++=an
almost ^rb+hdg+++=almost
impossibly ^rb++++=impossibly
great ^jj+atrb+++=great
personality ^nn+nom+++=personality,
, ^zz++++=EXTRAWORD
inexhaustible ^jj+atrb+++=inexhaustible
power ^nn++++=power,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
look ^vb++++=look
at ^rb++++=at
his ^pp$+pp3+++=his
end ^nn++++=end
on ^in++++=on
a ^at++++=a
tiny ^jj+atrb+++=tiny
island ^nn++++=island,
, ^zz++++=EXTRAWORD
suffering ^vbg+++xvbg+=suffering
from ^in++++=from
disease ^nn++++=disease
of ^in++++=of
the ^ati++++=the
bladder ^nn++++=bladder,
, ^zz++++=EXTRAWORD
complaining ^vbg+vpub++xvbg+=complaining
of ^in++++=of
the ^ati++++=the
doctors ^nns++++=doctors,
, ^zz++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
food ^nn++++=food,
, ^zz++++=EXTRAWORD
senile ^jj+atrb+++=senile
grumblings ^nns+nom+++=grumblings
in ^in++++=in
solitude.. ^nn+++??+=solitude....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
pitiful ^jj+atrb+++=pitiful
end ^nn++++=end
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
a ^at++++=a
