1440 ^cd++++=1440
Holy ^jj++++=Holy
Virgin ^jjb++++=Virgin,
, ^zz++++=EXTRAWORD
at ^in++++=at
Alba ^np+++??+=Alba
Regale ^np+++??+=Regale,
, ^zz++++=EXTRAWORD
also ^rb++++=also
called ^vbd+++xvbn+=called
in ^rb+phrv+++=in
German ^jj+atrb+++=German
Weissenburg ^np+++??+=Weissenburg,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
thenceforth ^nn+++??+=thenceforth
the ^ati++++=the
Kings ^nns++++=Kings
of ^in++++=of
Hungary ^np+nom+++=Hungary
were ^vbd+bed+aux++=were
anointed ^vpsv++agls+xvbnx+=anointed
to ^to++++=to
begin ^vbi++++=begin
their ^pp$+pp3+++=their
troubled ^jj+++xvbn+=troubled
reigns ^vbz++++=reigns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
close ^nn++++=close
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+aux++=were
laid ^vpsv++agls+xvbnx+=laid
to ^in++++=to
rest ^nn++++=rest
beneath ^in+pl+++=beneath
the ^ati++++=the
pavement ^nn+nom+++=pavement,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
most ^ap+emph+++=most
of ^in++++=of
them ^pp3o+pp3+++=them
might ^md+pos+++=might
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
the ^ati++++=the
same ^ap++++=same
epitaph ^nn++++=epitaph
as ^in++++=as
the ^ati++++=the
old ^jj+atrb+++=old
Italian ^jj+atrb+++=Italian
leader ^nn++++=leader:
: ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
rests ^nns++++=rests
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
never ^rb++++=never
rested ^vbd+++xvbn+=rested
before ^cs+sub+++=before'.
'. ^nn+++??+=EXTRAWORD
For ^in++++=For
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
wild ^jj+atrb+++=wild
realm ^nn++++=realm,
, ^zz++++=EXTRAWORD
bordered ^vwbn+++xvbn+=bordered
on ^in++++=on
all ^abn++++=all
sides ^nns++++=sides
by ^in++++=by
foes ^nns++++=foes,
, ^zz++++=EXTRAWORD
with ^in++++=with
Poland ^np++++=Poland,
, ^zz++++=EXTRAWORD
Bohemia ^np++++=Bohemia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Austria ^np++++=Austria,
, ^zz++++=EXTRAWORD
ever ^rb++++=ever
casting ^jj+atrb++xvbg+=casting
greedy ^jj+atrb+++=greedy
eyes ^nns++++=eyes
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afterwards ^rb+tm+++=afterwards
with ^in++++=with
the ^ati++++=the
Turk ^np+++??+=Turk
upon ^in++++=upon
the ^ati++++=the
southern ^jj+atrb+++=southern
border ^nn++++=border,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Magyars ^np+++??+=Magyars,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Hungarian ^jj+atrb+++=Hungarian
nobles ^nns++++=nobles,
, ^zz++++=EXTRAWORD
themselves ^ppls+pp3+++=themselves
were ^vbd+bed+vrb++=were
a ^at++++=a
fierce ^jj+atrb+++=fierce
and ^cc+phrs+++=and
untameable ^jj+atrb+++=untameable
race ^nn++++=race,
, ^zz++++=EXTRAWORD
bold ^jj++++=bold
and ^cc+phrs+++=and
generous ^jj++++=generous,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
brooking ^jj+++xvbg+=brooking
little ^ap++++=little
control ^nn++++=control,
, ^zz++++=EXTRAWORD
claiming ^vbg+vpub++xvbg+=claiming
a ^at++++=a
voice ^nn++++=voice
in ^in++++=in
choosing ^xvbg+++xvbg+=choosing
their ^pp$+pp3+++=their
own ^ap++++=own
Sovereign ^nn++++=Sovereign,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
resist ^vbi++++=resist
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
even ^rb++++=even
by ^in++++=by
force ^nn++++=force
of ^in++++=of
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
broke ^vbd+++xvbnx+=broke
the ^ati++++=the
laws ^nns++++=laws.
. ^zz++++=EXTRAWORD
No ^at++++=No
prince ^npt++++=prince
had ^vb+hv+vrb++=had
a ^at++++=a
right ^nn++++=right
to ^to+ncmp+++=to
their ^pp$+pp3+++=their
allegiance ^nn+nom+++=allegiance
unless ^cs+cnd+++=unless
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
crowned ^vpsv++agls+xvbnx+=crowned
with ^in++++=with
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen's
's ^$++++=EXTRAWORD
Crown ^nn++++=Crown;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
worn ^vprf+++xvbnx+=worn
that ^dt+dem+++=that
sacred ^jj+atrb+++=sacred
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thenceforth ^nn+++??+=thenceforth
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
as ^ql++++=as
the ^ati++++=the
only ^rb+down+++=only
lawful ^jj+atrb+++=lawful
monarch ^nn++++=monarch,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
he ^pp3a+pp3+++=he
should ^md+nec+++=should
flagrantly ^jj+atrb+++=flagrantly
violate ^nn+nom+++=violate
the ^ati++++=the
Constitution ^nn+nom+++=Constitution.
. ^zz++++=EXTRAWORD
In ^in++++=In
1076 ^cd++++=1076,
, ^zz++++=EXTRAWORD
another ^dt++++=another
crown ^nn++++=crown
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
given ^vpsv++by+xvbnx+=given
by ^in++++=by
the ^ati++++=the
Greek ^jj+atrb+++=Greek
Emperor ^npt++++=Emperor
to ^in++++=to
Geysa ^np+++??+=Geysa,
, ^zz++++=EXTRAWORD
King ^npt++++=King
of ^in++++=of
Hungary ^np+nom+++=Hungary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sacred ^jj+atrb+++=sacred
crown ^nn++++=crown
combined ^vbd+++xvbn+=combined
the ^ati++++=the
two ^cd++++=two.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
the ^ati++++=the
two ^cd++++=two
arches ^nns++++=arches
of ^in++++=of
the ^ati++++=the
Roman ^jj+atrb+++=Roman
crown ^nn++++=crown,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
gold ^nn++++=gold
circlet ^nn+nom+++=circlet
of ^in++++=of
the ^ati++++=the
Constantinopolitan ^np+nom++??+=Constantinopolitan;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
difference ^nn+nom+++=difference
of ^in++++=of
workmanship ^nn+nom+++=workmanship
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
year ^nn++++=year
1439 ^cd++++=1439
died ^vbd+++xvbn+=died
King ^npt++++=King
Albert ^np++++=Albert,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
appointed ^vpsv++agls+xvbnx+=appointed
King ^npt++++=King
of ^in++++=of
Hungary ^np+nom+++=Hungary
in ^in++++=in
right ^nn++++=right
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
Queen ^npt++++=Queen
Elizabeth ^np++++=Elizabeth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
left ^vbd+++xvbnx+=left
a ^rb++++=a
little ^rb"++++=little
daughter ^nn+nom+++=daughter
only ^rb+down+++=only
four ^cd++++=four
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
Magyars ^np+++??+=Magyars
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
governed ^vpsv++by+xvbnx+=governed
by ^in++++=by
a ^at++++=a
female ^jj+atrb+++=female
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
proposed ^vbd+vsua++xvbnx+=proposed
to ^to++++=to
send ^vbi++++=send
and ^cc+phrs+++=and
offer ^vb++++=offer
their ^pp$+pp3+++=their
crown ^nn++++=crown,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hand ^nn++++=hand
of ^in++++=of
their ^pp$+pp3+++=their
young ^jj+atrb+++=young
widowed ^jj+++xvbn+=widowed
Queen ^npt++++=Queen,
, ^zz++++=EXTRAWORD
to ^in++++=to
Wladislas ^np+++??+=Wladislas,
, ^zz++++=EXTRAWORD
the ^ati++++=the
King ^nn++++=King
of ^in++++=of
Poland ^np++++=Poland.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Elizabeth ^np++++=Elizabeth
had ^vbd+hvd+aux++=had
hopes ^vbz++++=hopes
of ^in++++=of
another ^dt++++=another
child ^nn++++=child,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
case ^nn++++=case
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+vrb++=be
a ^at++++=a
son ^nn++++=son,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
mind ^nn++++=mind
to ^to++++=to
give ^vbi++++=give
away ^rb+phrv+++=away
its ^pp$+it+++=its
rights ^nns++++=rights
to ^in++++=to
its ^pp$+it+++=its
father ^nn++++=father's
's ^$++++=EXTRAWORD
throne ^nn++++=throne.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
she ^pp3a+pp3+++=she
to ^to++++=to
help ^vbi++++=help
herself ^ppl+pp3+++=herself
among ^in++++=among
the ^ati++++=the
proud ^jj+atrb+++=proud
and ^cc+phrs+++=and
determined ^jj+atrb++xvbn+=determined
nobles ^nns++++=nobles
of ^in++++=of
her ^pp3o+pp3+++=her
Court ^npl++++=Court?
? ^zz++++=EXTRAWORD
One ^cd1++++=One
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
certain ^jj+pred+++=certain,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
if ^cs+cnd+++=if
once ^rb+tm+++=once
the ^ati++++=the
Polish ^jj+atrb+++=Polish
king ^npt++++=king
were ^vbd+bed+aux++=were
crowned ^vpsv++agls+xvbnx+=crowned
with ^in++++=with
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen's
's ^$++++=EXTRAWORD
crown ^nn++++=crown,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
his ^pp$+pp3+++=his
own ^ap++++=own
fault ^nn++++=fault
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
King ^nn++++=King
of ^in++++=of
Hungary ^np+nom+++=Hungary
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
the ^ati++++=the
crown ^nn++++=crown
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
receive ^vb++++=receive
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fealty ^nn+++??+=fealty
of ^in++++=of
the ^ati++++=the
nobles ^nns++++=nobles
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+aux++=be
pledged ^vpsv++agls+xvbnx+=pledged
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
trustworthy ^jj+atrb+++=trustworthy
person ^nn++++=person
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
about ^in++++=about
her ^pp$+pp3+++=her
was ^vbd+bedz+vrb++=was
Helen ^np++++=Helen
Kottenner ^np+nom++??+=Kottenner,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lady ^nn++++=lady
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
the ^ati++++=the
charge ^nn++++=charge
of ^in++++=of
her ^pp$+pp3+++=her
little ^ap++++=little
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
Princess ^nns+nom+++=Princess
Elizabeth ^np++++=Elizabeth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
confided ^vbd+++xvbnx+=confided
her ^pp$+pp3+++=her
desire ^nn++++=desire
that ^tht+rel+obj++=that
the ^ati++++=the
crown ^nn++++=crown
might ^md+pos+++=might
be ^vb+be+aux++=be
secured ^vpsv++agls+xvbnx+=secured,
, ^zz++++=EXTRAWORD
so ^rb++++=so
as ^in++++=as
to ^in"++++=to
prevent ^vb++++=prevent
the ^ati++++=the
Polish ^jj+atrb+++=Polish
party ^nn++++=party
from ^in++++=from
getting ^xvbg+++xvbg+=getting
access ^nn++++=access
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Helen ^np++++=Helen
herself ^ppl+pp3+++=herself
has ^vbz+hvz+aux++=has
written ^vprf+++xvbnx+=written
down ^rp++++=down
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
these ^dt+dem+++=these
strange ^jj+atrb+++=strange
events ^nns++++=events,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
struggles ^nns++++=struggles
of ^in++++=of
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
risk ^nn++++=risk
she ^pp3a+pp3+++=she
ran ^vbd+++xvbnx+=ran,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
doubt ^nn++++=doubt
whether ^cs+who+++=whether
good ^jj++++=good
would ^md+prd+++=would
come ^vb++++=come
of ^in++++=of
the ^ati++++=the
intrigue ^nn++++=intrigue;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
can ^md+pos+++=can
be ^vb+be+vrb++=be
no ^at++++=no
doubt ^vb++++=doubt
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
the ^ati++++=the
Queen ^np++++=Queen's
's ^$++++=EXTRAWORD
conduct ^vb++++=conduct
were ^vbd+bed+vrb++=were
praiseworthy ^jj+pred+++=praiseworthy
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
Helen ^np++++=Helen
dared ^vbd+++xvbn+=dared
a ^at++++=a
great ^jj+atrb+++=great
peril ^nn++++=peril
for ^in++++=for
the ^ati++++=the
sake ^nn++++=sake
purely ^rb++++=purely
of ^in++++=of
loyalty ^nn++++=loyalty
and ^cc++++=and
fidelity ^nn+nom+++=fidelity.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
Queen ^np++++=Queen's
's ^$++++=EXTRAWORD
commands ^nns++++=commands',
', ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='sorely
sorely ^rb++++=EXTRAWORD
troubled ^jj+++xvbn+=troubled
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
venture ^nn++++=venture
for ^in++++=for
me ^pp1o+pp1+++=me
and ^cc++++=and
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
it ^pp3+it+++=it
over ^rb++++=over
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
should ^md+nec+++=should
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
one ^cd1++++=one
to ^to++++=to
take ^vbi++++=take
counsel ^nn++++=counsel
of ^in++++=of
but ^cc++++=but
God ^np++++=God
alone ^rb++++=alone;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
evil ^nn++++=evil
arose ^vbd+++xvbn+=arose
therefrom ^rb+cnj+++=therefrom,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
be ^vb+be+vrb++=be
guilty ^jj+pred+++=guilty
before ^in++++=before
God ^np++++=God
and ^cc++++=and
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
consented ^vbd+++xvbnx+=consented
to ^in++++=to
risk ^nn++++=risk
my ^pp$+pp1+++=my
life ^nn++++=life
on ^in++++=on
this ^dt+dem+++=this
difficult ^jj+atrb+++=difficult
undertaking ^nvbg+++xvbg+=undertaking;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
desired ^vpsv++agls+xvbn+=desired
to ^to+vcmp+++=to
have ^vbi++vrb++=have
someone ^pn++++=someone
to ^to++++=to
help ^vbi++++=help
me ^pp1o+pp1+++=me.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
permitted ^vpsv++agls+xvbnx+=permitted;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
first ^od++++=first
person ^nn++++=person
to ^to++++=to
whom ^whp+wpor+++=whom
the ^ati++++=the
Lady ^nn++++=Lady
of ^in++++=of
Kottenner ^np+nom++??+=Kottenner
confided ^vbd+++xvbn+=confided
her ^pp$+pp3+++=her
intention ^nn+nom+++=intention,
, ^zz++++=EXTRAWORD
a ^at++++=a
Croat ^np+++??+=Croat,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
his ^pp$+pp3+++=his
color ^nn++++=color
from ^in++++=from
alarm ^nn++++=alarm,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
like ^in++++=like
one ^cd1++++=one
half ^abn++++=half-dead,
- ^zz++++=EXTRAWORD
dead ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
at ^rb++++=at
once ^rb"+tm+++=once
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
his ^pp$+pp3+++=his
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
thing ^nn++++=thing
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
of ^in++++=of
him ^pp3o+pp3+++=him
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
a ^at++++=a
bad ^jj+atrb+++=bad
fall ^nn++++=fall
from ^in++++=from
his ^pp$+pp3+++=his
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
return ^vbi++++=return
to ^in++++=to
Croatia ^np+++??+=Croatia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Queen ^npt++++=Queen
remained ^vbd+++xvbn+=remained
much ^ap++++=much
alarmed ^jj+++xvbn+=alarmed
at ^rb++++=at
her ^pp3o+pp3+++=her
plans ^nns++++=plans
being ^xvbg+++xvbg+=being
known ^vprf+++xvbn+=known
to ^to+vcmp+++=to
one ^cd1++++=one
so ^ql+emph+++=so
faint ^jj++++=faint-hearted.
- ^zz++++=EXTRAWORD
hearted ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
a ^at++++=a
more ^rbr++++=more
courageous ^jj+atrb+++=courageous
confidant ^nn+nom+++=confidant
was ^vbd+bedz+aux++=was
afterwards ^rb+tm+splt++=afterwards
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
a ^at++++=a
Hungarian ^jj+atrb+++=Hungarian
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
name ^nn++++=name
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
illegible ^jj++++=illegible
in ^in++++=in
Helen ^np++++=Helen's
's ^$++++=EXTRAWORD
old ^jj+atrb+++=old
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crown ^nn++++=crown
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
vaults ^nns++++=vaults
of ^in++++=of
the ^ati++++=the
strong ^jj+atrb+++=strong
Castle ^nn++++=Castle
of ^in++++=of
Plintenburg ^np+++??+=Plintenburg,
, ^zz++++=EXTRAWORD
also ^rb++++=also
called ^xvbn+++xvbn+=called
Vissegrad ^np+++??+=Vissegrad,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
stands ^vbz++++=stands
upon ^in++++=upon
a ^at++++=a
bend ^nn++++=bend
of ^in++++=of
the ^ati++++=the
Danube ^np++++=Danube,
, ^zz++++=EXTRAWORD
about ^in++++=about
twelve ^cd++++=twelve
miles ^nns++++=miles
from ^in++++=from
the ^ati++++=the
twin ^nn++++=twin
cities ^nns++++=cities
of ^in++++=of
Buda ^np++++=Buda
and ^cc++++=and
Pesth ^np+++??+=Pesth.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
case ^nn++++=case
within ^in++++=within
a ^at++++=a
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
sealed ^xvbn+++xvbn+=sealed
with ^in++++=with
many ^ap++++=many
seals ^nns++++=seals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^in++++=since
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
death ^nn++++=death,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
brought ^vpsv++agls+xvbnx+=brought
up ^rb+phrv+++=up
by ^in++++=by
the ^ati++++=the
nobles ^nns++++=nobles,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
closely ^rb++++=closely
guarded ^xvbn+++xvbn+=guarded
both ^abx++++=both
it ^pp3+it+++=it
and ^cc++++=and
the ^ati++++=the
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
into ^in++++=into
her ^pp$+pp3+++=her
apartments ^nns+nom+++=apartments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
examined ^vbd+++xvbn+=examined
and ^cc+phrs+++=and
replaced ^vbd+++xvbn+=replaced
in ^in++++=in
the ^ati++++=the
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
night ^nn++++=night,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Queen ^np++++=Queen's
's ^$++++=EXTRAWORD
ladies ^nns++++=ladies
upset ^vbd+++xvbn+=upset
a ^at++++=a
wax ^nn++++=wax
taper ^nn++++=taper,
, ^zz++++=EXTRAWORD
without ^in++++=without
being ^xvbg+++xvbg+=being
aware ^jj++++=aware
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
the ^ati++++=the
fire ^nn++++=fire
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
chest ^nn++++=chest
was ^vbd+bedz+aux++=was
singed ^vpsv++agls+xvbnx+=singed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
