This ^dt+dem+++=This
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
was ^vbd+bedz+vrb++=was
a ^at++++=a
maiden ^jjb+atrb+++=maiden
gentlewoman ^nn+nom+++=gentlewoman
of ^in++++=of
about ^in++++=about
thirty ^cd++++=thirty
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
some ^dti++++=some
years ^nns++++=years
past ^jjb++++=past
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
troubled ^vpsv++agls+xvbnx+=troubled
with ^in++++=with
fits ^nns++++=fits,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
perceived ^vpsv++agls+xvbnx+=perceived
coming ^vbg+++xvbg+=coming
on ^in++++=on
her ^pp$+pp3+++=her
by ^in++++=by
her ^pp$+pp3+++=her
going ^vbg+++xvbg+=going
off ^rp+pl+++=off
from ^in++++=from
her ^pp$+pp3+++=her
discourse ^nn++++=discourse
very ^ql+amp+++=very
abruptly ^rb++++=abruptly
to ^in++++=to
some ^dti++++=some
impertinence ^nn+nom+++=impertinence.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
maintained ^vpsv++by+xvbnx+=maintained
by ^in++++=by
an ^at++++=an
only ^rb+down+++=only
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kept ^vbd+++xvbn+=kept
his ^pp$+pp3+++=his
house ^nn++++=house
in ^in++++=in
Dover ^np++++=Dover.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
pious ^jj+atrb+++=pious
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp3o+pp3+++=her
brother ^npt++++=brother
a ^at++++=a
very ^ql+amp+++=very
sober ^jj+atrb+++=sober
man ^nn++++=man
to ^in++++=to
all ^abn++++=all
appearance ^nn+nom+++=appearance;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
all ^rb++++=all
he ^pp3a+pp3+++=he
can ^md+pos+++=can
to ^in++++=to
null ^jj++++=null
and ^cc++++=and
quash ^nn+++??+=quash
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
was ^vbd+bedz+aux++=was
intimately ^rb++splt++=intimately
acquainted ^vpsv++agls+xvbnx+=acquainted
with ^in++++=with
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
from ^in++++=from
her ^pp$+pp3+++=her
childhood ^nn+nom+++=childhood.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal's
's ^$++++=EXTRAWORD
circumstances ^nns+nom+++=circumstances
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
mean ^vb+vprv+++=mean;
; ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
father ^npt++++=father
did ^vbd+dod+aux++=did
not ^xnot++not++=not
take ^vb++++=take
care ^nn++++=care
of ^in++++=of
his ^pp$+pp3+++=his
children ^nns++++=children
as ^ql++++=as
he ^pp3a+pp3+++=he
ought ^md+nec+++=ought,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
hardships ^nns+nom+++=hardships.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days
had ^vb+hv+vrb++=had
as ^ql++++=as
unkind ^jj++++=unkind
a ^at++++=a
father ^nn++++=father,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
neither ^dt++neg++=neither
for ^in++++=for
food ^nn++++=food
nor ^cc++neg++=nor
clothing ^nn++++=clothing;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
wanted ^vbd+++xvbn+=wanted
for ^in++++=for
both ^abx++++=both,
, ^zz++++=EXTRAWORD
insomuch ^nn+++??+=insomuch
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
often ^rb++splt++=often
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
best ^jjt++++=best,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
only ^ap+down+++=only
friend ^nn++++=friend
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
in ^in++++=in
the ^ati++++=the
world ^nn++++=world;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
circumstance ^nn+nom+++=circumstance
of ^in++++=of
life ^nn++++=life
shall ^md+prd+++=shall
ever ^rb++splt++=ever
dissolve ^vb++++=dissolve
my ^pp$+pp1+++=my
friendship ^nn+nom+++=friendship."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
often ^rb++splt++=often
condole ^vb+++??+=condole
each ^ppls++++=each
other's ^ppls++++=other's
adverse ^jj+atrb+++=adverse
fortunes ^nns++++=fortunes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
read ^vb+vprv++xvbn+=read
together ^nn+nom+++=together
Drelincourt ^np+++??+=Drelincourt
upon ^in++++=upon
Death ^nn++++=Death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
good ^jj+atrb+++=good
books ^nns++++=books;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
like ^in++++=like
two ^cd++++=two
Christian ^jj+atrb+++=Christian
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
comforted ^vbd+++xvbnx+=comforted
each ^ppls++++=each
other ^ap++++=other
under ^in++++=under
their ^pp$+pp3+++=their
sorrow ^nn++++=sorrow.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
time ^nn++++=time
after ^in+strn+++=after,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal's
's ^$++++=EXTRAWORD
friends ^nns++++=friends
got ^vbd+++xvbn+=got
him ^pp3o+pp3+++=him
a ^at++++=a
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
custom ^nn++++=custom-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
at ^rb++++=at
Dover ^np++++=Dover,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
occasioned ^vbd+++xvbn+=occasioned
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,
, ^zz++++=EXTRAWORD
by ^in++++=by
little ^jj++++=little
and ^cc+phrs+++=and
little ^jj++++=little,
, ^zz++++=EXTRAWORD
to ^to++++=to
fall ^vbi++++=fall
off ^rp+pl+++=off
from ^in++++=from
her ^pp$+pp3+++=her
intimacy ^nn+nom+++=intimacy
with ^in++++=with
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
never ^rb++++=never
any ^dti++++=any
such ^abl++++=such
thing ^nn++++=thing
as ^in++++=as
a ^at++++=a
quarrel ^nn++++=quarrel;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
indifferency ^nn+++??+=indifferency
came ^vbd+++xvbn+=came
on ^in++++=on
by ^in++++=by
degrees ^nns+nom+++=degrees,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
at ^rb++++=at
last ^rb"++++=last
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
had ^vb+hv+aux++=had
not ^xnot++not++=not
seen ^vbd+vprv++xvbn+=seen
her ^pp$+pp3+++=her
in ^in++++=in
two ^cd++++=two
years ^nns++++=years
and ^cc++++=and
a ^at++++=a
half ^nn++++=half,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
above ^jjb++++=above
a ^at++++=a
twelvemonth ^nn+++??+=twelvemonth
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
hath ^vbz+hvz+aux++=hath
been ^vprf+ben+vrb+xvbnx+=been
absent ^jj++++=absent
from ^in++++=from
Dover ^np++++=Dover,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
last ^ap++++=last
half ^abn++++=half-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
Canterbury ^np++++=Canterbury
about ^in++++=about
two ^cd++++=two
months ^nns++++=months
of ^in++++=of
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
dwelling ^nvbg+++xvbg+=dwelling
in ^in++++=in
a ^at++++=a
house ^nn++++=house
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
house ^nn++++=house,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
eighth ^od++++=eighth
of ^in++++=of
September ^nr+nom+++=September,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
thousand ^cd++++=thousand
seven ^cd++++=seven
hundred ^cd++++=hundred
and ^cc++++=and
five ^cd++++=five,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
forenoon ^nn++++=forenoon,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
over ^in++++=over
her ^pp$+pp3+++=her
unfortunate ^jj+atrb+++=unfortunate
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arguing ^vbg+vpub++xvbg+=arguing
herself ^ppl+pp3+++=herself
into ^in++++=into
a ^at++++=a
due ^jj+atrb+++=due
resignation ^nn+nom+++=resignation
to ^in++++=to
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
her ^pp3o+pp3+++=her
condition ^nn+nom+++=condition
seemed ^vbd+seem++xvbn+=seemed
hard ^jj++++=hard:
: ^zz++++=EXTRAWORD
" ^zz++++="And,"
and ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
provided ^vpsv++agls+xvbnx+=provided
for ^in+ppvb+++=for
hitherto ^rb+cnj+++=hitherto,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
doubt ^nn++++=doubt
not ^xnot++not++=not
but ^cc++++=but
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
am ^vb+bem+aux++=am
well ^rb++++=well
satisfied ^jj+++xvbn+=satisfied
that ^tht+jcmp+++=that
my ^pp$+pp1+++=my
afflictions ^nns+nom+++=afflictions
shall ^md+prd+++=shall
end ^vb++++=end
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
most ^ql+emph+++=most
fit ^vb++++=fit
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
her ^pp$+pp3+++=her
sewing ^nn++++=sewing
work ^nn++++=work,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
no ^at++++=no
sooner ^rbr++++=sooner
done ^vprf+++xvbn+=done
but ^cc++++=but
she ^pp3a+pp3+++=she
hears ^vbz+vprv+++=hears
a ^at++++=a
knocking ^nn++++=knocking
at ^in++++=at
the ^ati++++=the
door ^nn++++=door;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^to++++=to
see ^vbi+vprv+++=see
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
proved ^vb+++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
old ^jj+atrb+++=old
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
riding ^jj+++xvbg+=riding-habit.
- ^zz++++=EXTRAWORD
habit ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
of ^in++++=of
time ^nn++++=time
the ^ati++++=the
clock ^nn++++=clock
struck ^vbd+++xvbn+=struck
twelve ^cd++++=twelve
at ^in++++=at
noon ^nn++++=noon.
. ^zz++++=EXTRAWORD
" ^zz++++="Madam,"
madam ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
surprised ^jj++agls+xvbnx+=surprised
to ^to+jcmp+++=to
see ^vbi+vprv+tht0++=see
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
long ^rb++++=long
a ^at++++=a
stranger ^nn+nom+++=stranger";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
told ^vbd+vpub++xvbn+=told
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
offered ^vbd+++xvbn+=offered
to ^to++++=to
salute ^vbi++++=salute
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
complied ^vprf+++xvbn+=complied
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
their ^pp$+pp3+++=their
lips ^nns++++=lips
almost ^rb+hdg+++=almost
touched ^vbd+++xvbn+=touched,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
drew ^vbd+++xvbn+=drew
her ^pp$+pp3+++=her
hand ^nn++++=hand
across ^rp+pl+++=across
her ^pp3o+pp3+++=her
own ^ap++++=own
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
not ^xnot++not++=not
very ^ql+amp+++=very
well ^rb+cnj+++=well,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
so ^ql+emph+++=so
waived ^jj+++xvbn+=waived
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub++xvbnx+=told
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
a ^at++++=a
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
mind ^nn++++=mind
to ^to++++=to
see ^vbi+vprv+++=see
her ^pp3o+pp3+++=her
first ^od++++=first.
. ^zz++++=EXTRAWORD
" ^zz++++="But,"
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
" ^zz++++="how
how ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
take ^vb++++=take
a ^at++++=a
journey ^nn++++=journey
alone ^jj++++=alone?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
amazed ^vpsv++agls+xvbnx+=amazed
at ^in++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
a ^at++++=a
fond ^jj+atrb+++=fond
brother ^nn++++=brother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,"
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
gave ^vbd+++xvbnx+=gave
my ^pp$+pp1+++=my
brother ^nn++++=brother
the ^ati++++=the
slip ^nn++++=slip,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vbd+++xvbn+=came
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
so ^ql++++=so
great ^np++++=great
a ^at++++=a
desire ^nn++++=desire
to ^to+ncmp+++=to
see ^vbi+vprv+tht0++=see
you ^pp2+pp2+++=you
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
my ^pp$+pp1+++=my
journey ^nn++++=journey."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
went ^vbd+++xvbn+=went
in ^in++++=in
with ^in++++=with
her ^pp$+pp3+++=her
into ^in++++=into
another ^dt++++=another
room ^nn++++=room
within ^in++++=within
the ^ati++++=the
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
sat ^vbd+++xvbn+=sat
her ^pp$+pp3+++=her
down ^rp++++=down
in ^in++++=in
an ^at++++=an
elbow ^nn++++=elbow-chair,
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
Mrs ^npt++++=Mrs.
