As ^ql++++=AS
virtue ^nn++++=virtue;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
required ^vprf+++xvbnx+=required
all ^abn++++=all
the ^ati++++=the
logic ^nn++++=logic
of ^in++++=of
a ^at++++=a
Brownson ^np+++??+=Brownson
to ^to++++=to
convince ^vbi++++=convince
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
' ^zz++++='anything
anything ^pn++++=EXTRAWORD
else ^rb+cnj+++=else.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
Touch ^nn++++=Touch-and-go
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
Bullet ^nn++++=Bullet-head
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
wise ^jj+atrb+++=wise
man ^nn++++=man;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
only ^ap+down+++=only
occasion ^nn++++=occasion
on ^in++++=on
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
prove ^vb+vprv+++=prove
infallible ^jj++++=infallible,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
abandoning ^vbg+++xvbg+=abandoning
that ^dt+dem+++=that
legitimate ^jj+atrb+++=legitimate
home ^nr++++=home
for ^in++++=for
all ^rb++++=all
wise ^jj+atrb+++=wise
men ^nns++++=men,
, ^zz++++=EXTRAWORD
the ^ati++++=the
East ^np+pl+++=East,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
migrated ^vbd+++xvbnx+=migrated
to ^in++++=to
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Alexander ^np+nom+++=Alexander-the-Great-o-nopolis,
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
great ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
o ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
nopolis ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
some ^dti++++=some
place ^nn++++=place
of ^in++++=of
a ^at++++=a
similar ^jj+atrb+++=similar
title ^nn++++=title,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
West ^np+pl+++=West.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
do ^vb+do+vrb++=do
him ^pp3o+pp3+++=him
the ^ati++++=the
justice ^nn++++=justice
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind
finally ^rb++++=finally
to ^to++++=to
settle ^vbi++++=settle
in ^cs+sub+++=in
that ^cs"++++=that
town ^nn++++=town,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
under ^in++++=under
the ^ati++++=the
impression ^nn++++=impression
that ^tht+ncmp+++=that
no ^at++++=no
newspaper ^nn+nom+++=newspaper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently
no ^at++++=no
editor ^nn++++=editor,
, ^zz++++=EXTRAWORD
existed ^j+++xvbn+=existed
in ^cs+sub+++=in
that ^cs"++++=that
particular ^jj+atrb+++=particular
section ^nn+nom+++=section
of ^in++++=of
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
In ^in++++=In
establishing ^xvbg+++xvbg+=establishing
' ^zz++++='The
the ^ati++++=EXTRAWORD
Tea ^nn++++=Tea-Pot'
- ^zz++++=EXTRAWORD
pot ^nn++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
expected ^vbd+vprv++xvbnx+=expected
to ^to+vcmp+++=to
have ^vbi++++=have
the ^ati++++=the
field ^nn++++=field
all ^rb++++=all
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
confident ^jj++++=confident
he ^pp3a+pp3+++=he
never ^rb++++=never
would ^md+prd+++=would
have ^vb+hv+aux++=have
dreamed ^vprf+++xvbnx+=dreamed
of ^in++++=of
taking ^xvbg+++xvbg+=taking
up ^rp++++=up
his ^pp$+pp3+++=his
residence ^nn+nom+++=residence
in ^in++++=in
Alexander ^np+nom+++=Alexander-the-Great-o-nopolis
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
great ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
o ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
nopolis ^nns+++??+=EXTRAWORD
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
been ^vb+vbd+vrb+xvbnx+=been
aware ^jj++++=aware
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
Alexander ^np+nom+++=Alexander-the-Great-o-nopolis,
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
great ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
o ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
nopolis ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
lived ^vprf+++xvbn+=lived
a ^at++++=a
gentleman ^nn+nom+++=gentleman
named ^vbd+++xvbn+=named
John ^np++++=John
Smith ^np++++=Smith
( ^zz++++=(if
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
rightly ^rb++++=rightly
remember ^nn+nom+++=remember),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
for ^in++++=for
many ^ap++++=many
years ^nns++++=years
had ^vb+hv+aux++=had
there ^rn+pl+++=there
quietly ^rb++++=quietly
grown ^vprf+++xvbn+=grown
fat ^nn++++=fat
in ^in++++=in
editing ^xvbg+++xvbg+=editing
and ^cc++++=and
publishing ^xvbg+++xvbg+=publishing
the ^ati++++=the
' ^zz++++='Alexander-the-Great-o-nopolis
alexander ^np+nom+++=EXTRAWORD
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
great ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
o ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
nopolis ^nns+++??+=EXTRAWORD
Gazette ^nn+nom+++=Gazette.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
solely ^rb+cnj+++=solely,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
on ^in++++=on
account ^nn++++=account
of ^in++++=of
having ^nn+nn+aux++=having
been ^vprf+ben+aux+xvbn+=been
misinformed ^vpsv++agls+xvbnx+=misinformed,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bullet ^np++++=Bullet-head
- ^zz++++=EXTRAWORD
head ^jjb++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
himself ^ppl+pp3+++=himself
in ^in++++=in
Alex ^np++++=Alex-suppose
- ^zz++++=EXTRAWORD
suppose ^vb+vprv+tht0++=EXTRAWORD
we ^pp1a+pp1+++=we
call ^vb++++=call
it ^pp3+it+++=it
Nopolis ^np+++??+=Nopolis,
, ^zz++++=EXTRAWORD
' ^zz++++='for
for ^in++++=EXTRAWORD
short ^jj++++=short'
' ^zz++++=EXTRAWORD
- ^zz++++=-but,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
find ^vb+vprv+tht0++=find
himself ^ppl+pp3+++=himself
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
determined ^jj+++xvbnx+=determined
to ^to+jcmp+++=to
keep ^vbi++++=keep
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
character ^nn+nom+++=character
for ^in++++=for
obst ^nn+++??+=obst
- ^zz++++=-for
for ^in++++=EXTRAWORD
firmness ^nns+nom+++=firmness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
remain ^vb++++=remain.
. ^zz++++=EXTRAWORD
So ^ql++++=So
remain ^vb++++=remain
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
more ^ql++++=more;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
unpacked ^vbd+++xvbnx+=unpacked
his ^pp$+pp3+++=his
press ^nn++++=press,
, ^zz++++=EXTRAWORD
type ^nn++++=type,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rented ^j+++xvbn+=rented
an ^at++++=an
office ^nn++++=office
exactly ^rb++++=exactly
opposite ^jj++++=opposite
to ^in++++=to
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
' ^zz++++='Gazette,'
gazette ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
third ^nn++++=third
morning ^nn++++=morning
after ^in++++=after
his ^pp$+pp3+++=his
arrival ^nn++++=arrival,
, ^zz++++=EXTRAWORD
issued ^j+++xvbn+=issued
the ^ati++++=the
first ^od++++=first
number ^nn++++=number
of ^in++++=of
' ^zz++++='The
the ^ati++++=EXTRAWORD
Alexan ^np+++??+=Alexan'
' ^zz++++=EXTRAWORD
- ^zz++++=-that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
of ^in++++=of
' ^zz++++='The
the ^ati++++=EXTRAWORD
Nopolis ^np+++??+=Nopolis
Tea ^nn++++=Tea-Pot'
- ^zz++++=EXTRAWORD
pot ^nn++++=EXTRAWORD
' ^zz++++=EXTRAWORD
- ^zz++++=-as
as ^ql++++=EXTRAWORD
nearly ^rb+down+++=nearly
as ^ql++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can
recollect ^vb+vprv+++=recollect,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
leading ^jj+atrb++xvbg+=leading
article ^nn++++=article,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
admit ^vb+vpub+++=admit,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
brilliant ^jj+pred+++=brilliant
- ^zz++++=-not
not ^xnot++not++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
severe ^jj++++=severe.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
especially ^rb++++=especially
bitter ^jj+pred+++=bitter
about ^in++++=about
things ^nns++++=things
in ^rb++++=in
general ^rb"++++=general
- ^zz++++=-and
and ^cc++++=EXTRAWORD
as ^in++++=as
for ^in"++++=for
the ^ati++++=the
editor ^nn++++=editor
of ^in++++=of
' ^zz++++='The
the ^ati++++=EXTRAWORD
Gazette ^nn+nom+++=Gazette,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
torn ^vpsv++agls+xvbnx+=torn
all ^abn++++=all
to ^in++++=to
pieces ^nns++++=pieces
in ^rb++++=in
particular ^rb"++++=particular.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
Bullethead ^np++++=Bullethead's
's ^$++++=EXTRAWORD
remarks ^vbz+vpub+++=remarks
were ^vbd+bed+vrb++=were
really ^rb+emph+++=really
so ^rb+emph+++=so
fiery ^jj++++=fiery
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
always ^rb+cnj+++=always,
, ^zz++++=EXTRAWORD
since ^in++++=since
that ^dt+dem+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
been ^j+j+aux+xvbn+=been
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
look ^vbi++++=look
upon ^in++++=upon
John ^np++++=John
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
still ^rb+atrb+++=still
alive ^jj+pred+++=alive,
, ^zz++++=EXTRAWORD
in ^in+cmpx+++=in
the ^in"++++=the
light ^in"++++=light
of ^in"++++=of
a ^at++++=a
salamander ^nn++++=salamander.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
pretend ^vb+vprv+++=pretend
to ^to+vcmp+++=to
give ^vbi++++=give
all ^abn++++=all
the ^ati++++=the
' ^zz++++='Tea-Pot's'
tea-pot ^nn+++??+=EXTRAWORD
's' ^nn+++??+=EXTRAWORD
paragraphs ^nns++++=paragraphs
verbatim ^rb+cnj+++=verbatim,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
runs ^vbz++++=runs
thus ^rb+cnj+++=thus:
: ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
- ^zz++++=-Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
perceive ^vb+vprv+++=perceive!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt!
! ^zz++++=EXTRAWORD
The ^ati++++=The
editor ^nn++++=editor
over ^in++++=over
the ^ati++++=the
way ^nn++++=way
is ^vbz+bez+vrb++=is
a ^at++++=a
genius ^nn++++=genius
- ^zz++++=-O,
o ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
goodness ^nns+nom+++=goodness,
, ^zz++++=EXTRAWORD
gracious ^jj++++=gracious!
! ^zz++++=EXTRAWORD
- ^zz++++=-what
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
this ^dt+dem+++=this
world ^nn++++=world
coming ^vwbg+++xvbg+=coming
to ^to++++=to?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
tempora ^nn+++??+=tempora!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Moses ^np++++=Moses!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
A ^at++++=A
philippic ^nn++++=philippic
at ^rb++++=at
once ^rb"+tm+++=once
so ^rb+emph+++=so
caustic ^jj++++=caustic
and ^cc++++=and
so ^rb+emph+++=so
classical ^jj++++=classical,
, ^zz++++=EXTRAWORD
alighted ^j+++xvbn+=alighted
like ^in++++=like
a ^at++++=a
bombshell ^nn+++??+=bombshell
among ^in++++=among
the ^ati++++=the
hitherto ^rb++++=hitherto
peaceful ^jj+atrb+++=peaceful
citizens ^nns++++=citizens
of ^in++++=of
Nopolis ^np+++??+=Nopolis.
. ^zz++++=EXTRAWORD
Groups ^nns++++=Groups
of ^in++++=of
excited ^xvbn+++xvbn+=excited
individuals ^nns+nom+++=individuals
gathered ^vbd+++xvbn+=gathered
at ^rb++++=at
the ^ati++++=the
corners ^nns+nom+++=corners
of ^in++++=of
the ^ati++++=the
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^cd1++++=one
awaited ^jj+++xvbn+=awaited,
, ^zz++++=EXTRAWORD
with ^in++++=with
heartfelt ^jj+atrb++xvbn+=heartfelt
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reply ^nn++++=reply
of ^in++++=of
the ^ati++++=the
dignified ^jj+atrb+++=dignified
Smith ^np++++=Smith.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
morning ^nn++++=morning
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
' ^zz++++='We
we ^pp1a+pp1+++=EXTRAWORD
quote ^vb++++=quote
from ^in++++=from
" ^zz++++="The
the ^ati++++=EXTRAWORD
Tea ^nn++++=Tea-Pot"
- ^zz++++=EXTRAWORD
pot ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
of ^in++++=of
yesterday ^nr+tm+++=yesterday
the ^ati++++=the
subjoined ^jj+atrb++xvbn+=subjoined
paragraph ^nn++++=paragraph:
: ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
perceive ^vb+vprv+++=perceive!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
goodness ^nns+nom+++=goodness!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
tempora ^nn+++??+=tempora!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Moses ^np++++=Moses!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fellow ^jjb++++=fellow
is ^vbz+bez+vrb++=is
all ^abn++++=all
O ^zz++++=O!
! ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
accounts ^nns++++=accounts
for ^in++++=for
his ^pp$+pp3+++=his
reasoning ^nvbg+++xvbg+=reasoning
in ^in++++=in
a ^at++++=a
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
explains ^vbz+vpub+++=explains
why ^wrb+who+whcl++=why
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
neither ^dt++neg++=neither
beginning ^jj+++xvbg+=beginning
nor ^cc++neg++=nor
end ^nn++++=end
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
to ^in++++=to
anything ^pn++++=anything
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
really ^rb+emph+++=really
do ^vb+do+aux++=do
not ^xnot++not++=not
believe ^vb+vprv+tht0++=believe
the ^ati++++=the
vagabond ^nn++++=vagabond
can ^md+pos+++=can
write ^vb++++=write
a ^at++++=a
word ^nn++++=word
that ^tht+rel+subj++=that
has ^vbz+hvz+vrb++=hasn't
n't ^xnot++not++0=EXTRAWORD
an ^at++++=an
O ^zz++++=O
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Wonder ^vb++++=Wonder
if ^cs+cnd+++=if
this ^dt+dem+++=this
O ^zz++++=O-ing
- ^zz++++=EXTRAWORD
ing ^jj+++xvbg+=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
habit ^nn++++=habit
of ^in++++=of
his ^pp$+pp3+++=his?
? ^zz++++=EXTRAWORD
By ^in++++=By-the-by,
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
away ^in+pl+++=away
from ^in"++++=from
Down ^rp++++=Down-East
- ^zz++++=EXTRAWORD
east ^np+pl+++=EXTRAWORD
in ^in++++=in
a ^at++++=a
great ^jj+atrb+++=great
hurry ^np++++=hurry.
. ^zz++++=EXTRAWORD
Wonder ^vb++++=Wonder
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
O ^zz++++=O's
's ^$++++=EXTRAWORD
as ^ql++++=as
much ^ap++++=much
there ^rn+pl+++=there
as ^ql++++=as
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
" ^zz++++="O!
o ^zz++++=EXTRAWORD
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
pitiful. ^nn+++??+=pitiful."'
" ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
indignation ^nn+nom+++=indignation
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bullet ^np++++=Bullet-head
- ^zz++++=EXTRAWORD
head ^jjb++++=EXTRAWORD
at ^in++++=at
these ^dt+dem+++=these
scandalous ^jj+atrb+++=scandalous
insinuations ^nns+nom+++=insinuations,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
attempt ^vb++++=attempt
to ^to+vcmp+++=to
describe ^vbi++++=describe.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
eel ^nn++++=eel-skinning
- ^zz++++=EXTRAWORD
skinning ^vbg+++xvbg+=EXTRAWORD
principle ^nn++++=principle,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi++vrb++=be
so ^ql++++=so
much ^ap++++=much
incensed ^jj+++xvbn+=incensed
at ^rb++++=at
the ^ati++++=the
attack ^nn++++=attack
upon ^in++++=upon
his ^pp$+pp3+++=his
integrity ^nn+nom+++=integrity
as ^ql++++=as
one ^cd1++++=one
might ^md+pos+++=might
have ^vb+hv+aux++=have
imagined ^vprf+++xvbnx+=imagined.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sneer ^nn++++=sneer
at ^in++++=at
his ^pp$+pp3+++=his
style ^nn++++=style
that ^tht+rel+subj++=that
drove ^vbd+++xvbn+=drove
him ^pp3o+pp3+++=him
to ^in++++=to
desperation ^nn+nom+++=desperation.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What!
! ^zz++++=EXTRAWORD
- ^zz++++=-he
he ^pp3a+pp3+++=EXTRAWORD
Touch ^nn++++=Touch-and-go
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
Bullet ^nn++++=Bullet-head!
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
- ^zz++++=-not
not ^xnot++not++=EXTRAWORD
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
write ^vb++++=write
a ^at++++=a
word ^nn++++=word
without ^in++++=without
an ^at++++=an
O ^zz++++=O
in ^in++++=in
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
soon ^rb+tm+splt++=soon
