Behind ^in+pl+++=BEHIND
his ^pp$+pp3+++=his
rough ^jj+atrb+++=rough
sheepskin ^nn+++??+=sheepskin
coat ^nn++++=coat
folded ^vbd+++xvbn+=folded
across ^in+pl+++=across
the ^ati++++=the
small ^nn++++=small
of ^in++++=of
his ^pp$+pp3+++=his
back ^jjb++++=back
to ^to++++=to
give ^vbi++++=give
free ^jj+atrb+++=free
play ^nn++++=play
to ^in++++=to
his ^pp$+pp3+++=his
lungs ^nns++++=lungs;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
short ^jj+atrb+++=short,
, ^zz++++=EXTRAWORD
hairy ^jj+atrb+++=hairy
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
sleeves ^nns++++=sleeves
rolled ^vbd+++xvbn+=rolled
to ^in++++=to
the ^ati++++=the
elbows ^nns++++=elbows,
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
like ^in++++=like
propeller ^nn+nom+++=propeller-blades.
- ^zz++++=EXTRAWORD
blades ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
with ^in++++=with
the ^ati++++=the
suspicious ^jj+atrb+++=suspicious
step ^nn++++=step
of ^in++++=of
the ^ati++++=the
hill ^npl++++=hill-bred
- ^zz++++=EXTRAWORD
bred ^vwbn+++xvbn+=EXTRAWORD
who ^whp+who+++=who
reckons ^vbz+++??+=reckons
with ^in+ppvb+++=with
inequalities ^nns+nom+++=inequalities
of ^in++++=of
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
lifting ^nvbg+++xvbg+=lifting
his ^pp$+pp3+++=his
rope ^nn++++=rope-soled
- ^zz++++=EXTRAWORD
soled ^jj+atrb+++=EXTRAWORD
sandals ^nns+nom+++=sandals
gingerly ^rb++++=gingerly
over ^in++++=over
timberfalls ^nns+++??+=timberfalls
and ^cc++++=and
crumbling ^jj+atrb++xvbg+=crumbling
granite ^nn++++=granite
slides ^nns++++=slides,
, ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
on ^rb+phrv+++=on
extra ^jj+atrb+++=extra
speed ^nn++++=speed
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
crossed ^vbd+++xvbnx+=crossed
a ^at++++=a
wide ^jj+atrb+++=wide
spread ^nn+++xvbn+=spread
of ^in++++=of
rust ^nn++++=rust-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
bracken ^nn++++=bracken
that ^tht+rel+subj++=that
covered ^vprf+++xvbn+=covered
the ^ati++++=the
summer ^nn++++=summer
hue ^nn++++=hue
of ^in++++=of
the ^ati++++=the
slope ^nn++++=slope
like ^in++++=like
a ^at++++=a
scarf ^nn++++=scarf,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
warily ^rb++++=warily
slowing ^vbg+++xvbg+=slowing
as ^ql++++=as
he ^pp3a+pp3+++=he
forded ^vbd+++xvbnx+=forded
a ^at++++=a
swift ^np++++=swift
little ^ap++++=little
stream ^nn++++=stream
bordered ^vwbn+++xvbn+=bordered
with ^in++++=with
scented ^jj+++xvbn+=scented
wild ^jj++++=wild
peppermint ^jj+++xvbn+=peppermint
and ^cc++++=and
chini ^nn+++??+=chini
stalks ^nns+++??+=stalks
and ^cc++++=and
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
spiky ^nn+++??+=spiky
wormwood ^nn++++=wormwood.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
straight ^jj++++=straight
through ^in++++=through
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
up ^rb+phrv+++=up
a ^at++++=a
steady ^jj+atrb+++=steady
clip ^nn++++=clip,
, ^zz++++=EXTRAWORD
averaging ^vbg+++xvbg+=averaging
well ^jj+pred+++=well
over ^rp++++=over
five ^cd++++=five
miles ^nns++++=miles
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
up ^rp++++=up-hill
- ^zz++++=EXTRAWORD
hill ^nn++++=EXTRAWORD
or ^cc++++=or
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
peace ^nn++++=peace
with ^in++++=with
the ^ati++++=the
Suni ^np+++??+=Suni
Pathans ^nns+nom++??+=Pathans
who ^whp+rel+subj++=who
squatted ^vbd+++xvbn+=squatted
on ^in++++=on
the ^ati++++=the
upland ^nn++++=upland
pastures ^nns++++=pastures
and ^cc++++=and
so ^ql++++=so
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
his ^pp$+pp3+++=his
rifle ^nn++++=rifle
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
only ^rb+down+++=only
a ^at++++=a
broad ^jj++++=broad-bladed
- ^zz++++=EXTRAWORD
bladed ^jj+atrb++xvbn+=EXTRAWORD
dagger ^nn++++=dagger.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
rifle ^nn++++=rifle
meant ^vbd+vprv++xvbn+=meant
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
weight ^nn++++=weight
in ^in++++=in
the ^ati++++=the
hills ^npl++++=hills
meant ^vbd+vprv++xvbn+=meant
lack ^nn++++=lack
of ^in++++=of
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
speed ^nn++++=speed
was ^vbd+bedz+vrb++=was
essential ^nn++++=essential.
. ^zz++++=EXTRAWORD
All ^abn++++=All
last ^rb++++=last
night ^nn++++=night
his ^pp$+pp3+++=his
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
moaned ^vprf+++xvbnx+=moaned
terribly ^rb+cnj+++=terribly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
village ^nn+nom+++=village
wise ^jj++++=wise-woman,
- ^zz++++=EXTRAWORD
woman ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
her ^pp$+pp3+++=her
remedies ^nns++++=remedies,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed
the ^ati++++=the
English ^jj+atrb+++=English
hakim ^nn+++??+=hakim's
's ^$++++=EXTRAWORD
skill ^nn++++=skill
before ^cs+sub+++=before
the ^ati++++=the
day ^nn++++=day
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
his ^pp$+pp3+++=his
wife ^nn++++=wife
to ^to++++=to
live ^vbi++++=live:
: ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
son ^nn++++=son
he ^pp3a+pp3+++=he
hoped ^vbd+vprv+tht0+xvbnx+=hoped
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
son ^nn++++=son
whom ^whp+rel+obj++=whom
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
bringing ^vbg+++xvbgx+=bringing
into ^in++++=into
the ^ati++++=the
world ^nn++++=world
with ^in++++=with
such ^abl++++=such
anguish ^nn++++=anguish.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
hours ^nns++++=hours
he ^pp3a+pp3+++=he
figured ^vbd+++xvbnx+=figured
to ^in++++=to
Ghuzni ^np+++??+=Ghuzni.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Rather ^rb++++=Rather
a ^rb++++=a
little ^rb"++++=little
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
the ^ati++++=the
foreigner ^nn+nom+++=foreigner
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
hill ^npl++++=hill-bred.
- ^zz++++=EXTRAWORD
bred ^vwbn+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
he ^pp3a+pp3+++=he
would ^md+prd+++=would
safely ^rb++splt++=safely
reach ^vb++++=reach
his ^pp$+pp3+++=his
village ^nn+nom+++=village
before ^cs+sub+++=before
the ^ati++++=the
sun ^nn++++=sun
had ^vbd+hvd+aux++=had
raced ^vprf+++xvbnx+=raced
to ^in++++=to
the ^ati++++=the
west ^np+pl+++=west;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
night ^nn++++=night
his ^pp$+pp3+++=his
wife ^nn++++=wife
would ^md+prd+++=would
hold ^vb++++=hold
another ^dt++++=another
little ^ap++++=little
son ^nn++++=son
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
wrangle ^nn++++=wrangle
with ^in++++=with
the ^ati++++=the
hakim ^nn+++??+=hakim,
, ^zz++++=EXTRAWORD
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
thought ^vbd+++xvbn+=thought
and ^cc+phrs+++=and
smiled ^vbd+++xvbn+=smiled
at ^in++++=at
the ^ati++++=the
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
First ^rb++++=First
was ^vbd+bedz+aux++=was
spoken ^vpsv++agls+xvbnx+=spoken
the ^ati++++=the
ceremonious ^jj+atrb+++=ceremonious
Afghan ^jj+atrb+++=Afghan
greeting ^nvbg+++xvbg+=greeting,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
short ^jj++++=short
by ^in++++=by
the ^ati++++=the
Englishman ^np+nom+++=Englishman's
's ^$++++=EXTRAWORD
impatient ^jj++++=impatient,
, ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
come ^vb++++=come
sooner ^rbr++++=sooner?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
his ^pp$+pp3+++=his
reply ^vb++++=reply
that ^tht+vcmp+obj++=that
his ^pp$+pp3+++=his
wife ^nn++++=wife
was ^vbd+bedz+vrb++=was
a ^at++++=a
stout ^jj+atrb+++=stout
hill ^nn++++=hill
woman ^nn++++=woman
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
children ^nns++++=children
before ^in++++=before
this ^dt+pdem+++=this;
; ^zz++++=EXTRAWORD
also ^rb++++=also
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
in ^rb+phrv+++=in
the ^ati++++=the
wise ^jj++++=wise-woman.
- ^zz++++=EXTRAWORD
woman ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
gave ^vbd+++xvbnx+=gave
her ^pp$+pp3+++=her
fish ^nns++++=fish
sherbet ^nn+++??+=sherbet
to ^to++++=to
cool ^vbi++++=cool
her ^pp$+pp3+++=her
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
put ^vbd+++xvbnx+=put
leeches ^nns+++??+=leeches
on ^rp++++=on
her ^pp3o+pp3+++=her
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wrote ^vbd+vprv++xvbnx+=wrote
a ^at++++=a
Koran ^np+++??+=Koran
verse ^nn++++=verse
on ^in++++=on
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
lit ^j+++xvbn+=lit
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vbd+vprv+tht0+xvbn+=held
it ^pp3+it+++=it
smoking ^jj+++xvbg+=smoking
under ^in++++=under
Azeena ^np++++=Azeena's
's ^$++++=EXTRAWORD
nose ^nn++++=nose
" ^zz++++="
And ^cc++++=And
then ^rn+tm+++=then
the ^ati++++=the
hakim ^nn+++??+=hakim's
's ^vbz+bez+vrb++0=EXTRAWORD
furious ^jj+atrb+++=furious
bellow ^nn+++??+=bellow:
: ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
damned ^jj+++xvbn+=damned
! ^zz++++=!
Good ^jj+atrb+++=Good
God ^nn++++=God!
! ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
let ^vb++++0=let's
us ^pp1o+pp1+++=EXTRAWORD
hurry ^np++++=hurry,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
your ^pp$+pp2+++=your
wife ^nn++++=wife
'll ^md+prd+++0='ll
go ^vb++++=go
out ^rp+pl+++=out
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
get ^vb++++=get
there ^rn+pl+++=there!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
imagined ^jj+atrb++xvbn+=imagined
scene ^nn++++=scene
Mortazu ^np+++??+=Mortazu
Khan ^np++++=Khan's
's ^$++++=EXTRAWORD
smile ^nn++++=smile
twisted ^vbd+++xvbn+=twisted
to ^in++++=to
a ^at++++=a
lopsided ^jj+atrb++xvbn+=lopsided
frown ^nn++++=frown.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
would ^md+prd+++=would
be ^vb+be+vrb++=be
rightly ^rb++++=rightly
angry ^jj+pred+++=angry.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
should ^md+nec+++=should
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
to ^in++++=to
him ^pp3o+pp3+++=him
yesterday ^nr+tm+++=yesterday.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
should ^md+nec+++=should
not ^xnot++not++=not
have ^vb+hv+aux++=have
called ^vprf+++xvbnx+=called
in ^rb+phrv+++=in
the ^ati++++=the
wise ^jj++++=wise-woman.
- ^zz++++=EXTRAWORD
woman ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
her ^pp$+pp3+++=her
five ^cd++++=five
rupees ^nn++++=rupees
He ^pp3a+pp3+++=He
shrugged ^vbd+++xvbnx+=shrugged
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
Tomorrow ^nr+tm+++=To-morrow
he ^pp3a+pp3+++=he
would ^md+prd+++=would
make ^vb++++=make
her ^pp3o+pp3+++=her
eat ^vb++++=eat
stick ^nn++++=stick
and ^cc++++=and
force ^nn++++=force
her ^pp$+pp3+++=her
to ^to++++=to
give ^vbi++++=give
back ^rb+phrv+++=back
the ^ati++++=the
money ^nn++++=money
He ^pp3a+pp3+++=He
increased ^vbd+++xvbnx+=increased
his ^pp$+pp3+++=his
speed ^nn++++=speed
as ^ql++++=as
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
slope ^nn++++=slope
where ^wrb+who+++=where
it ^pp3+it+++=it
flattened ^vbd+++xvbn+=flattened
to ^in++++=to
a ^at++++=a
rock ^nn++++=rock-studded
- ^zz++++=EXTRAWORD
studded ^vwbn+++xvbn+=EXTRAWORD
plateau ^nn++++=plateau,
, ^zz++++=EXTRAWORD
with ^in++++=with
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
little ^jj+atrb+++=little
gentians ^nns++++=gentians
peeping ^vwbg+++xvbg+=peeping
from ^in++++=from
granite ^nn++++=granite
splits ^nns+++??+=splits
and ^cc++++=and
opening ^nvbg+++xvbg+=opening
their ^pp$+pp3+++=their
stiff ^jj++++=stiff,
, ^zz++++=EXTRAWORD
azure ^nn+++??+=azure
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bent ^vbd+++xvbnx+=bent
and ^cc+phrs+++=and
picked ^vbd+++xvbn+=picked
one ^cd1++++=one
to ^to++++=to
put ^vbi++++=put
in ^rb+phrv+++=in
his ^pp$+pp3+++=his
turban ^nn++++=turban
for ^in++++=for
good ^jj+atrb+++=good
luck ^nn++++=luck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
straightened ^vbd+++xvbnx+=straightened
up ^rp++++=up
again ^rb+tm+++=again
he ^pp3a+pp3+++=he
smelled ^vbd+++xvbnx+=smelled
a ^at++++=a
familiar ^jj+atrb+++=familiar
odor ^nn++++=odor
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
two ^cd++++=two
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
reddish ^jj+atrb+++=reddish
eyes ^nns++++=eyes
glaring ^jj++++=glaring
at ^rb++++=at
him ^pp3o+pp3+++=him
from ^in++++=from
a ^at++++=a
clump ^nn++++=clump
of ^in++++=of
thorny ^jj+atrb+++=thorny
wild ^jj+atrb+++=wild
acacia ^nn+++??+=acacia.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
quite ^rb++++=quite
still ^rb++++=still.
. ^zz++++=EXTRAWORD
Instinctively ^rb++++=Instinctively
he ^pp3a+pp3+++=he
fingered ^vbd+++xvbnx+=fingered
across ^in+pl+++=across
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
shoulder ^nn+nom+++=shoulder
for ^in++++=for
the ^ati++++=the
rifle ^nn++++=rifle
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
the ^ati++++=the
blue ^jj++++=blue-gray,
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
bristly ^jj+atrb+++=bristly
haired ^jj+atrb+++=haired
mountain ^nn++++=mountain
bears ^nns++++=bears
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
dangerous ^jj++++=dangerous.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
busy ^jj++++=busy
filling ^jj+++xvbg+=filling
their ^pp$+pp3+++=their
sagging ^jj+atrb+++=sagging
bellies ^nns++++=bellies
with ^in++++=with
prangus ^nns+++??+=prangus
leaves ^nns++++=leaves
and ^cc++++=and
mulberries ^nns++++=mulberries
against ^in++++=against
the ^ati++++=the
lean ^jj+atrb+++=lean
season ^nn++++=season.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
leave ^vb++++=leave
the ^ati++++=the
bear ^vb+vprv+++=bear
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
decided ^vbd+vprv++xvbnx+=decided,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bear ^nn++++=bear
would ^md+prd+++=would
leave ^vb++++=leave
him ^pp3o+pp3+++=him
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
a ^at++++=a
moment ^nn++++=moment
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
heard ^vbd+vprv+tht0+xvbnx+=heard
the ^ati++++=the
animal ^nn++++=animal
give ^vb++++=give
tongue ^nn++++=tongue
a ^at++++=a
low ^jj++++=low,
, ^zz++++=EXTRAWORD
flat ^nn++++=flat
rumble ^vb++++=rumble
growing ^jj+++xvbg+=growing
steadily ^rb++++=steadily
into ^in++++=into
a ^at++++=a
sustained ^jj+atrb++xvbn+=sustained
roar ^nn++++=roar,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
stabbing ^nn++++=stabbing
out ^rp+pl+++=out
in ^in++++=in
a ^at++++=a
squeaky ^nn+++??+=squeaky
high ^jj+atrb+++=high
note ^vb++++=note
that ^tht+vcmp+++=that
sounded ^jj+++xvbn+=sounded
ridiculously ^rb++++=ridiculously
inadequate ^jj++++=inadequate,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
the ^ati++++=the
brute ^jjb+atrb+++=brute's
's ^vbz+bez+vrb++0=EXTRAWORD
size ^nn++++=size
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan,
, ^zz++++=EXTRAWORD
without ^in++++=without
looking ^nn++++=looking
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
jumped ^j+++xvbn+=jumped
sideways ^jjb++++=sideways
like ^in++++=like
a ^at++++=a
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
cleared ^xvbn+++xvbn+=cleared
a ^at++++=a
heap ^nn++++=heap
of ^in++++=of
dry ^jj+atrb+++=dry
twigs ^nns++++=twigs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vprf+++xvbn+=made
straight ^jj++++=straight
for ^in++++=for
a ^at++++=a
stout ^jj+atrb+++=stout
fir ^nn++++=fir-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
that ^tht+rel+++=that
towered ^jj+++xvbn+=towered
in ^in++++=in
lanky ^jj+atrb+++=lanky
loneliness ^nns+nom+++=loneliness
a ^at++++=a
dozen ^cd++++=dozen
yards ^nns++++=yards
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
reached ^vbd+++xvbnx+=reached
it ^pp3+it+++=it
and ^cc++++=and
jumped ^vpsv++agls+xvbn+=jumped
behind ^in+pl+++=behind
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hands ^nns++++=hands
gripped ^vbd+++xvbn+=gripped
the ^ati++++=the
rough ^jj++++=rough,
, ^zz++++=EXTRAWORD
warty ^nn+++??+=warty
bark ^nn++++=bark.
. ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
cursed ^jj+++xvbn+=cursed
fool ^jjb++++=fool
of ^in++++=of
a ^at++++=a
foreigner ^nn+nom+++=foreigner
must ^md+nec+++=must
have ^vb+hv+aux++=have
burned ^vprf+++xvbnx+=burned
her ^pp3o+pp3+++=her
pelt ^nn++++=pelt
with ^in++++=with
a ^at++++=a
bullet ^nn++++=bullet
of ^in++++=of
pain ^nn++++=pain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
