Hark ^np+++??+=Hark,
the ^ati++++=the
diamond ^nn++++=diamond
buckles ^nns++++=buckles
on ^in++++=on
the ^ati++++=the
little ^jj+atrb+++=little
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
back ^jjb++++=back
again ^rb+tm+++=again
to ^in++++=to
the ^ati++++=the
flowing ^jj+atrb++xvbg+=flowing
curls ^nns++++=curls
that ^tht+rel+subj++=that
clustered ^vbd+++xvbn+=clustered
thick ^jj++++=thick
about ^in++++=about
the ^ati++++=the
bright ^jj+atrb+++=bright,
, ^zz++++=EXTRAWORD
childish ^jj+atrb+++=childish
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Well ^rb+dspt+++=Well
might ^md+pos+++=might
any ^dti++++=any
father ^nn++++=father
be ^vb+be+vrb++=be
proud ^jj+pred+++=proud
of ^in++++=of
so ^rb+emph+++=so
manly ^jj++++=manly
and ^cc+phrs+++=and
beautiful ^jj++++=beautiful
a ^at++++=a
child ^nn++++=child,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
swelled ^vbd+++xvbn+=swelled
within ^in++++=within
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
gazed ^vbd+++xvbnx+=gazed
upon ^in++++=upon
his ^pp$+pp3+++=his
heir ^nn++++=heir.
. ^zz++++=EXTRAWORD
" ^zz++++="Borland,"
borland ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
the ^ati++++=the
tutor ^nn++++=tutor,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stood ^vbd+++xvbn+=stood
modestly ^jj++++=modestly
behind ^in+pl+++=behind
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
retire ^vb++++=retire.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
sneak ^vbi++++=sneak
privately ^rb++++=privately
with ^in++++=with
his ^pp$+pp3+++=his
royal ^jj+atrb+++=royal
highness ^nns+nom+++=highness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
tutor ^nn++++=tutor
bowed ^vbd+++xvbn+=bowed
low ^jj++++=low
and ^cc+phrs+++=and
disappeared ^jj+++xvbn+=disappeared
within ^in++++=within
the ^ati++++=the
ante ^nn+++??+=ante-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
King ^npt++++=King
continued ^vbd+++xvbn+=continued,
, ^zz++++=EXTRAWORD
kindly ^rb+cnj+++=kindly,
, ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Lilimond ^np+++??+=Lilimond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sit ^vb++++=sit
beside ^in+pl+++=beside
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Methinks
thinks ^vbz+vprv+tht0++=EXTRAWORD
you ^pp2+pp2+++=you
seem ^vb+seem+++=seem
over ^in++++=over-grave
- ^zz++++=EXTRAWORD
grave ^jj++++=EXTRAWORD
this ^dt+dem+++=this
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
birthday ^nn++++=birthday,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
slowly ^rb++++=slowly
obeyed ^vbd+++xvbn+=obeyed
his ^pp$+pp3+++=his
father ^nn++++=father
and ^cc++++=and
sat ^vpsv++agls+xvbn+=sat
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
upon ^in++++=upon
the ^ati++++=the
rich ^jj+atrb+++=rich
broidered ^jj+atrb++xvbn+=broidered
cushions ^nns++++=cushions
of ^in++++=of
the ^ati++++=the
throne ^nn++++=throne.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
twelve ^cd++++=twelve
years ^nns++++=years
of ^in++++=of
age ^nn++++=age."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql+emph+++=EXTRAWORD
old ^jj++++=old!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
into ^in++++=into
the ^ati++++=the
little ^ap++++=little
face ^nn++++=face
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised
to ^to+vcmp+++=to
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
the ^ati++++=the
weight ^nn++++=weight
of ^in++++=of
years ^nns++++=years
that ^tht+rel+subj++=that
makes ^vbz++++=makes
you ^pp2+pp2+++=you
sad ^jj++++=sad?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
long ^rb++++=long
for ^in++++=for
the ^ati++++=the
years ^nns++++=years
to ^to++++=to
pass ^vbi++++=pass,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
may ^md+pos+++=may
become ^vprf+++xvbn+=become
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
take ^vb++++=take
my ^pp$+pp1+++=my
part ^nn++++=part
in ^in++++=in
the ^ati++++=the
world ^nn++++=world's
's ^$++++=EXTRAWORD
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
sad ^jj+atrb+++=sad
condition ^nn+nom+++=condition
of ^in++++=of
my ^pp$+pp1+++=my
country ^nn++++=country
which ^whp+rel+obj++=which
troubles ^nns++++=troubles
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Indeed!"
indeed ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
casting ^vbg+++xvbg+=casting
a ^at++++=a
keen ^jj+atrb+++=keen
glance ^nn++++=glance
at ^in++++=at
his ^pp$+pp3+++=his
son ^nn++++=son.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
becoming ^jj+++xvbg+=becoming
interested ^jj++++=interested
in ^in++++=in
politics ^nn++++=politics,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
some ^dti++++=some
grievous ^jj+atrb+++=grievous
breach ^nn++++=breach
of ^in++++=of
court ^nn++++=court
etiquette ^nn+nom+++=etiquette
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
attracted ^vprf+++xvbnx+=attracted
your ^pp$+pp2+++=your
attention ^nn+nom+++=attention?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
little ^jj++++=little
of ^in++++=of
politics ^nn++++=politics
and ^cc++++=and
less ^rbr++++=less
of ^in++++=of
the ^ati++++=the
court ^nn++++=court,
, ^zz++++=EXTRAWORD
sire ^nn++++=sire,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Lilimond ^np+++??+=Lilimond;
; ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
distress ^nns+nom+++=distress
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
that ^tht+rel+obj++=that
worries ^nns++++=worries
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
people ^nn++++=people?
? ^zz++++=EXTRAWORD
Of ^in++++=Of
a ^at++++=a
surety ^nn+++??+=surety,
, ^zz++++=EXTRAWORD
Prince ^npt++++=Prince,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
better ^jjr++++=better
posted ^jj+++xvbn+=posted
than ^in++++=than
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
since ^rb++++=since
of ^in++++=of
the ^ati++++=the
people ^nn++++=people
and ^cc++++=and
their ^pp$+pp3+++=their
affairs ^nns++++=affairs
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
appointed ^vprf+++xvbnx+=appointed
officers ^nns+nom+++=officers
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
their ^pp$+pp3+++=their
interests ^nns++++=interests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
cause ^vb++++=cause
to ^to+vcmp+++=to
come ^vbi++++=come
into ^in+ppvb+++=into
contact ^nn++++=contact
with ^in++++=with
them ^pp3o+pp3+++=them
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
amiss ^jj+pred+++=amiss?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+aux++=are
starving ^vbg+++xvbgx+=starving,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
at ^rb++++=at
his ^pp$+pp3+++=his
father ^npt++++=father
very ^ql+amp+++=very
seriously ^rb++++=seriously;
; ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
country ^nn++++=country
is ^vbz+bez+aux++=is
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
beggars ^nns++++=beggars,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
appeal ^nn++++=appeal
for ^in++++=for
charity ^nn+nom+++=charity,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
unable ^jj+pred+++=unable
otherwise ^rb+cnj+++=otherwise
to ^to++++=to
procure ^vbi++++=procure
food ^nn++++=food."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Starving!"
starving ^vbg+++xvbg+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^vprf+++xvbn+=repeated
the ^ati++++=the
King ^nn++++=King;
; ^zz++++=EXTRAWORD
" ^zz++++="surely
surely ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
misinformed ^vpsv++agls+xvbnx+=misinformed.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
Lord ^npt++++=Lord
Chamberlain ^np++++=Chamberlain
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
but ^cc++++=but
this ^dt+dem+++=this
morning ^nn++++=morning
the ^ati++++=the
people ^nns++++=people
were ^vbd+bed+vrb++=were
loyal ^jj+pred+++=loyal
and ^cc+phrs+++=and
contented ^jj++++=contented,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
Lord ^npt++++=Lord
of ^in++++=of
the ^ati++++=the
Treasury ^np++++=Treasury
reports ^nns++++=reports
that ^tht+ncmp+++=that
all ^abn++++=all
taxes ^nns++++=taxes
and ^cc++++=and
tithes ^nns+++??+=tithes
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
paid ^vpsv++agls+xvbnx+=paid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
coffers ^nns+nom+++=coffers
are ^vb+ber+aux++=are
running ^vbg+++xvbgx+=running
over ^rb+phrv+++=over."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
Lord ^npt++++=Lord
Chamberlain ^np++++=Chamberlain
is ^vbz+bez+vrb++=is
wrong ^jj+pred+++=wrong,
, ^zz++++=EXTRAWORD
sire ^nn++++=sire,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
the ^ati++++=the
Prince ^nn++++=Prince;
; ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
tutor ^nn++++=tutor,
, ^zz++++=EXTRAWORD
Borland ^np+++??+=Borland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
talked ^vprf+++xvbnx+=talked
with ^in++++=with
many ^ap++++=many
of ^in++++=of
these ^dt+dem+++=these
beggars ^nns++++=beggars
the ^ati++++=the
past ^jjb++++=past
few ^ap++++=few
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
the ^ati++++=the
tithes ^nns+++??+=tithes
and ^cc++++=and
taxes ^nns++++=taxes
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
enriched ^vprf+++xvbnx+=enriched
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
the ^ati++++=the
bread ^nn++++=bread
from ^in++++=from
their ^pp$+pp3+++=their
wives ^nns++++=wives
and ^cc++++=and
children ^nns++++=children."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So!"
so ^ql++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
King ^nn++++=King.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
examine ^vb++++=examine
into ^in++++=into
this ^dt+dem+++=this
matter ^nn++++=matter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
touched ^vbd+++xvbnx+=touched
a ^at++++=a
bell ^nn++++=bell
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
a ^at++++=a
retainer ^nn+nom+++=retainer
appeared ^vbd+seem++xvbn+=appeared
directed ^vbd+++xvbn+=directed
his ^pp$+pp3+++=his
Chamberlain ^np++++=Chamberlain
and ^cc++++=and
his ^pp$+pp3+++=his
Treasurer ^nn+nom+++=Treasurer
to ^to++++=to
wait ^vbi++++=wait
upon ^in++++=upon
him ^pp3o+pp3+++=him
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Prince ^npt++++=Prince
rested ^vbd+++xvbn+=rested
his ^pp$+pp3+++=his
head ^nn++++=head
upon ^in++++=upon
his ^pp$+pp3+++=his
hand ^nn++++=hand
and ^cc++++=and
waited ^vbd+++xvbn+=waited
patiently ^rb+cnj+++=patiently,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
King ^nn++++=King
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
impatient ^jj++++=impatient
indeed ^rb++++=indeed
till ^cs+sub+++=till
the ^ati++++=the
high ^jj+atrb+++=high
officers ^nns+nom+++=officers
of ^in++++=of
the ^ati++++=the
court ^npl++++=court
stood ^vbd+++xvbn+=stood
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
addressing ^vbg+++xvbg+=addressing
his ^pp$+pp3+++=his
Chamberlain ^np++++=Chamberlain,
, ^zz++++=EXTRAWORD
" ^zz++++="Sir,
sir ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
informed ^vpsv++agls+xvbnx+=informed
my ^pp$+pp1+++=my
people ^nns++++=people
are ^vb+ber+aux++=are
murmuring ^vbg+++xvbgx+=murmuring
at ^in++++=at
my ^pp$+pp1+++=my
injustice ^nn++++=injustice.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
it ^pp3+it+++=it
true ^jj++++=true?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^npt++++=officer
cast ^vbd+++xvbn+=cast
an ^at++++=an
enquiring ^jj+atrb++xvbg+=enquiring
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
Prince ^nn++++=Prince,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
met ^vbd+++xvbn+=met
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
gravely ^rb+cnj+++=gravely,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
people ^nns++++=people
always ^rb++++=always
murmur ^nn++++=murmur,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
many ^ap++++=many,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
all ^rb++++=all
can ^md+pos+++=can
be ^vb+be+vrb++=be
content ^nn++++=content,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
ruled ^vpsv++by+xvbn+=ruled
by ^in++++=by
so ^rb+emph+++=so
wise ^jj++++=wise
and ^cc++++=and
just ^rb+emph+++=just
a ^at++++=a
King ^nn++++=King.
. ^zz++++=EXTRAWORD
In ^in++++=In
every ^at++++=every
land ^nn++++=land
and ^cc++++=and
in ^in++++=in
every ^at++++=every
age ^nn++++=age
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
those ^dt+pdem+++=those
who ^whp+rel+obj++=who
rebel ^nn++++=rebel
against ^in++++=against
the ^ati++++=the
laws ^nns++++=laws,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
protests ^nns++++=protests
of ^in++++=of
the ^ati++++=the
few ^ap++++=few
are ^vb+ber+aux++=are
ever ^rb++splt++=ever
heard ^vpsv++agls+xvbnx+=heard
above ^jjb++++=above
the ^ati++++=the
contentment ^nn+nom+++=contentment
of ^in++++=of
the ^ati++++=the
many ^ap++++=many."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
told ^vpsv++agls+xvbnx+=told,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
severely ^rb+cnj+++=severely,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
my ^pp$+pp1+++=my
country ^nn++++=country
is ^vbz+bez+aux++=is
overrun ^vprf+++xvbn+=overrun
with ^in++++=with
beggars ^nns++++=beggars,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
suffer ^vb++++=suffer
for ^in++++=for
lack ^nn++++=lack
of ^in++++=of
the ^ati++++=the
bread ^nn++++=bread
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
from ^in++++=from
them ^pp3o+pp3+++=them
by ^in++++=by
our ^pp$+pp1+++=our
taxations ^nns+nom+++=taxations.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
true ^jj++++=true?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
always ^rb++++=always
beggars ^nns++++=beggars,
, ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
Majesty ^nn++++=Majesty,
, ^zz++++=EXTRAWORD
in ^in++++=in
every ^at++++=every
country ^nn++++=country,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
Chamberlain ^np++++=Chamberlain,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
their ^pp$+pp3+++=their
custom ^nn++++=custom
to ^to++++=to
blame ^vbi++++=blame
others ^aps++++=others
for ^in++++=for
their ^pp$+pp3+++=their
own ^ap++++=own
misfortunes ^nns++++=misfortunes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
King ^npt++++=King
thought ^vbd+++xvbn+=thought
deeply ^rb++++=deeply
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^in++++=to
the ^ati++++=the
Lord ^npt++++=Lord
of ^in++++=of
the ^ati++++=the
Treasury ^np++++=Treasury.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
we ^pp1a+pp1+++=we
tax ^nn++++=tax
the ^ati++++=the
poor ^jj++++=poor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
are ^vb+ber+aux++=are
taxed ^vpsv++agls+xvbnx+=taxed,
, ^zz++++=EXTRAWORD
sire ^nn++++=sire,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
the ^ati++++=the
Treasurer ^nn+nom+++=Treasurer,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale
from ^in++++=from
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
for ^in++++=for
never ^rb++++=never
before ^in++++=before
had ^vb+hv+vrb++=had
the ^ati++++=the
King ^npt++++=King
so ^ql+emph+++=so
questioned ^jj+++xvbn+=questioned
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
