Parable ^nn++++=PARABLE
foolish ^jj++++=foolish
to ^to++++=to
obey ^vbi++++=obey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
result ^nn++++=result
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
advice ^nn++++=advice
not ^xnot++not++=not
to ^in++++=to
mow ^nn+++??+=mow
the ^ati++++=the
weed ^nn++++=weed
but ^cc++++=but
to ^to++++=to
pull ^vbi++++=pull
it ^pp3+it+++=it
up ^rp++++=up
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
proffered ^vprf+++xvbnx+=proffered
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
men ^nns++++=men
went ^vbd+++xvbn+=went
on ^in++++=on
mowing ^xvbg+++xvbg+=mowing
the ^ati++++=the
weed ^nn++++=weed
and ^cc++++=and
spreading ^vbg+++xvbg+=spreading
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
although ^cs+con+++=although,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
succeeding ^jj+atrb++xvbg+=succeeding
years ^nns++++=years,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
men ^nns++++=men
that ^tht+rel+subj++=that
reminded ^vprf+++xvbn+=reminded
the ^ati++++=the
tenants ^nns+nom+++=tenants
of ^in++++=of
the ^ati++++=the
meadow ^nn++++=meadow
of ^in++++=of
the ^ati++++=the
advice ^nn++++=advice
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
wise ^jj+atrb+++=wise
master ^nn++++=master,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
heed ^nn++++=heed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
continued ^jj+++xvbn+=continued
to ^to++++=to
do ^vbi++++=do
as ^ql++++=as
before ^in++++=before,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+dem+++=that
mowing ^vbg+++xvbg+=mowing
of ^in++++=of
the ^ati++++=the
weed ^nn++++=weed
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
it ^pp3+it+++=it
began ^vbd+++xvbn+=began
to ^to++++=to
appear ^vbi+seem+++=appear
became ^vbd+++xvbn+=became
not ^xnot++not++=not
only ^rb+down+++=only
a ^at++++=a
custom ^nn++++=custom
but ^cc++++=but
even ^rb++++=even
a ^at++++=a
sacred ^jj+atrb+++=sacred
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
meadow ^nn++++=meadow
grew ^vbd+++xvbn+=grew
more ^rbr++++=more
and ^cc++++=and
more ^ap++++=more
infested ^vprf+++xvbn+=infested.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
matter ^nn++++=matter
went ^vbd+++xvbn+=went
so ^rb++++=so
far ^rb+pl+++=far
that ^cs+sub+++=that
the ^ati++++=the
meadow ^nn++++=meadow
grew ^vbd+++xvbn+=grew
nothing ^pn++++=nothing
but ^cc++++=but
weeds ^nns++++=weeds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
men ^nns++++=men
lamented ^vwbn+++xvbn+=lamented
this ^dt+pdem+++=this
and ^cc++++=and
invented ^vprf+++xvbn+=invented
all ^abn++++=all
kinds ^nns++++=kinds
of ^in++++=of
means ^nns++++=means
to ^in++++=to
correct ^jj++++=correct
the ^ati++++=the
evil ^nn++++=evil
; ^zz++++=;
but ^cc+cls+++=but
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
use ^nn++++=use
was ^vbd+bedz+vrb++=was
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
long ^rb++splt++=long
ago ^rb++++=ago
been ^vprf+ben+aux+xvbn+=been
prescribed ^vpsv++by+xvbnx+=prescribed
by ^in++++=by
their ^pp$+pp3+++=their
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
wise ^jj+atrb+++=wise
master ^nn++++=master.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
as ^in++++=as
time ^nn++++=time
went ^vbd+++xvbn+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
occurred ^vbd+++xvbn+=occurred
to ^to++++=to
one ^cd1++++=one
man ^nn++++=man
who ^whp+rel+subj++=who
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
wretched ^jj+atrb+++=wretched
condition ^nn+nom+++=condition
into ^in++++=into
which ^whp+rel+pied++=which
the ^ati++++=the
meadow ^nn++++=meadow
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
found ^vbd+vprv++xvbn+=found
among ^in++++=among
the ^ati++++=the
master ^nn++++=master's
's ^$++++=EXTRAWORD
forgotten ^vpsv++agls+xvbnx+=forgotten
prescriptions ^nns+nom+++=prescriptions
the ^ati++++=the
rule ^nn++++=rule
not ^xnot++not++=not
to ^in++++=to
mow ^nn+++??+=mow
the ^ati++++=the
weed ^nn++++=weed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
pull ^vbi++++=pull
it ^pp3+it+++=it
up ^rp++++=up
by ^in++++=by
the ^ati++++=the
root ^nn++++=root
it ^pp3+it+++=it
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
to ^to++++=to
remind ^vbi++++=remind
the ^ati++++=the
tenants ^nns+nom+++=tenants
of ^in++++=of
the ^ati++++=the
meadow ^nn++++=meadow
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
acting ^vbg+++xvbgx+=acting
foolishly ^rb+cnj+++=foolishly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
folly ^nn++++=folly
had ^vb+hv+aux++=had
long ^rb++splt++=long
ago ^rb++++=ago
been ^vprf+ben+aux+xvbn+=been
pointed ^vpsv++agls+xvbnx+=pointed
out ^rp+pl+++=out
by ^in++++=by
the ^ati++++=the
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
wise ^jj+atrb+++=wise
master ^nn++++=master.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
instead ^rb+cnj+++=instead
of ^in++++=of
putting ^xvbg+++xvbg+=putting
credence ^nn+nom+++=credence
in ^in++++=in
the ^ati++++=the
correctness ^nns+nom+++=correctness
of ^in++++=of
this ^dt+dem+++=this
man ^nn++++=man's
's ^$++++=EXTRAWORD
recollections ^nns+nom+++=recollections,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
case ^nn++++=case
they ^pp3a+pp3+++=they
proved ^vbd+vprv++xvbnx+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
reliable ^jj++++=reliable
ceasing ^jj+++xvbg+=ceasing
to ^in++++=to
mow ^nn+++??+=mow
the ^ati++++=the
weed ^nn++++=weed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
case ^nn++++=case
he ^pp3a+pp3+++=he
were ^vbd+bed+aux++=were
mistaken ^vpsv++agls+xvbnx+=mistaken
proving ^vb+++xvbg+=proving
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
the ^ati++++=the
incorrectness ^nns+nom+++=incorrectness
of ^in++++=of
his ^pp$+pp3+++=his
recollections ^nns+nom+++=recollections,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
stigmatizing ^nvbg+++xvbg+=stigmatizing
the ^ati++++=the
good ^jj+atrb+++=good,
, ^zz++++=EXTRAWORD
wise ^jj+atrb+++=wise
master ^nn++++=master's
's ^$++++=EXTRAWORD
recommendations ^nns+nom+++=recommendations
as ^in++++=as
impracticable ^jj++++=impracticable
and ^cc++++=and
not ^xnot++not++=not
obligatory ^jj++++=obligatory
upon ^in++++=upon
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tenants ^nns+nom+++=tenants
of ^in++++=of
the ^ati++++=the
meadow ^nn++++=meadow
did ^vbd+dod+vrb++=did
nothing ^pn++++=nothing'
' ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
sort ^nn++++=sort
; ^zz++++=;
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
exception ^nn+nom+++=exception
to ^in++++=to
this ^dt+dem+++=this
man ^nn++++=man's
's ^$++++=EXTRAWORD
recollections ^nns+nom+++=recollections
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
abuse ^vbi++++=abuse
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
called ^jj+++xvbn+=called
him ^pp3o+pp3+++=him
a ^at++++=a
conceited ^jj++++=conceited
fool ^jjb++++=fool
who ^whp+who+++=who
imagined ^vbn+vprv++xvbn+=imagined
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
one ^cd1++++=one
to ^to++++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
master ^nn++++=master's
's ^$++++=EXTRAWORD
regulations ^nns+nom+++=regulations
; ^zz++++=;
others ^aps++++=others
called ^jj+++xvbn+=called
him ^pp3o+pp3+++=him
a ^at++++=a
malicious ^jj+atrb+++=malicious
false ^jj+atrb+++=false
interpreter ^nn+nom+++=interpreter
and ^cc++++=and
slanderer ^jjr++++=slanderer;
; ^zz++++=EXTRAWORD
still ^rb++++=still
others ^aps++++=others,
, ^zz++++=EXTRAWORD
forgetting ^vbg+vprv++xvbg+=forgetting
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
giving ^jj+++xvbg+=giving
them ^pp3o+pp3+++=them
his ^pp$+pp3+++=his
own ^ap++++=own
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
reminding ^vbg+++xvbgx+=reminding
them ^pp3o+pp3+++=them
of ^in++++=of
the ^ati++++=the
prescriptions ^nns+nom+++=prescriptions
of ^in++++=of
the ^ati++++=the
wise ^jj+atrb+++=wise
master ^npt++++=master
whom ^whp+rel+obj++=whom
they ^pp3a+pp3+++=they
all ^rb++++=all
revered ^jj++++=revered,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
him ^pp3o+pp3+++=him
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
man ^nn++++=man
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
pull ^vbi++++=pull
up ^rp++++=up
the ^ati++++=the
weed ^nn++++=weed
and ^cc++++=and
deprive ^vb++++=deprive
them ^pp3o+pp3+++=them
of ^in++++=of
their ^pp$+pp3+++=their
meadow ^nn++++=meadow.
. ^zz++++=EXTRAWORD
" ^zz++++="
He ^pp3a+pp3+++=He
says ^vbz+vpub+tht0++=says
we ^pp1a+pp1+++=we
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^in++++=to
mow ^nn+++??+=mow
the ^ati++++=the
meadow ^nn++++=meadow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they,
, ^zz++++=EXTRAWORD
purposely ^rb++++=purposely
suppressing ^vbg+++xvbg+=suppressing
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
man ^nn++++=man
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
necessary ^jj++++=necessary
to ^to+jcmp+++=to
destroy ^vbi++++=destroy
the ^ati++++=the
weed ^nn++++=weed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
should ^md+nec+++=should
pull ^vb++++=pull
it ^pp3+it+++=it
up ^rp++++=up
by ^in++++=by
the ^ati++++=the
roots ^nns++++=roots
instead ^rb+cnj+++=instead
of ^in++++=of
mowing ^xvbg+++xvbg+=mowing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
not ^xnot++not++=not
destroy ^vb++++=destroy
the ^ati++++=the
weed ^nn++++=weed,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
it ^pp3+it+++=it
will ^md+prd+++=will
spread ^vb+++xvbn+=spread
and ^cc++++=and
wholly ^rb++++=wholly
ruin ^vb++++=ruin
our ^pp$+pp1+++=our
meadow ^nn++++=meadow.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
why ^wrb+who+whq++=why
was ^vbd+bedz+aux++=was
the ^ati++++=the
meadow ^nn++++=meadow
granted ^vbd+vsua++xvbn+=granted
to ^in++++=to
us ^pp1o+pp1+++=us
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
must ^md+nec+++=must
train ^vb++++=train
the ^ati++++=the
weed ^nn++++=weed
in ^in++++=in
it ^pp3+it+++=it
? ^zz++++=?
" ^zz++++="
And ^cc++++=And
the ^ati++++=the
general ^jj+atrb+++=general
impression ^nn++++=impression
that ^tht+ncmp+++=that
this ^dt+dem+++=this
man ^nn++++=man
was ^vbd+bedz+vrb++=was
either ^dtx++++=either
a ^at++++=a
fool ^jjb++++=fool
or ^cc++++=or
a ^at++++=a
false ^jj+atrb+++=false
interpreter ^nn+nom+++=interpreter,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
had ^vb+hv+vrb++=had
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
injuring ^xvbg+++xvbg+=injuring
the ^ati++++=the
people ^nn++++=people,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
so ^rb++++=so
deeply ^rb++++=deeply
grounded ^nn+++xvbn+=grounded
that ^tht+ncmp+++=that
every ^at++++=every
one ^cd1++++=one
cast ^nn+++xvbn+=cast
reproaches ^nns++++=reproaches
and ^cc++++=and
ridicule ^nn++++=ridicule
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
however ^rb+cnj+++=however
earnestly ^rb++++=earnestly
he ^pp3a+pp3+++=he
asseverated ^vbd+++xvbnx+=asseverated
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
not ^xnot++not++=not
only ^rb+down+++=only
did ^vbd+dod+aux++=did
not ^xnot++not++=not
desire ^nn++++=desire
to ^to+ncmp+++=to
spread ^vbi++++=spread
the ^ati++++=the
weed ^nn++++=weed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
the ^ati++++=the
contrary ^nn+nom+++=contrary
considered ^vwbn+vprv++xvbn+=considered
that ^tht+vcmp+++=that
the ^ati++++=the
destruction ^nn+nom+++=destruction
of ^in++++=of
the ^ati++++=the
weed ^nn++++=weed
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
chief ^jjb+atrb+++=chief
duties ^nns++++=duties
of ^in++++=of
the ^ati++++=the
agriculturist ^jj++++=agriculturist,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
meant ^vpsv++by+xvbnx+=meant
by ^in++++=by
the ^ati++++=the
good ^jj+atrb+++=good,
, ^zz++++=EXTRAWORD
wise ^jj+atrb+++=wise
master ^nn++++=master
whose ^whp+rel+obj++=whose
words ^nns++++=words
he ^pp3a+pp3+++=he
merely ^rb+down+++=merely
repeated ^jj+++xvbn+=repeated,
, ^zz++++=EXTRAWORD
still ^rb++++=still
they ^pp3a+pp3+++=they
would ^md+prd+++=would
not ^xnot++not++=not
listen ^vb++++=listen
to ^in++++=to
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
definitely ^rb++splt++=definitely
made ^vprf+++xvbnx+=made
up ^rp++++=up
their ^pp$+pp3+++=their
minds ^vb++++=minds
that ^tht+vcmp+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
either ^dtx++++=either
a ^at++++=a
conceited ^jj++++=conceited
fool ^jjb++++=fool
misinterpreting ^jj+++xvbg+=misinterpreting
the ^ati++++=the
good ^jj+atrb+++=good,
, ^zz++++=EXTRAWORD
wise ^jj+atrb+++=wise
master ^nn++++=master's
's ^$++++=EXTRAWORD
words ^nns++++=words,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
villain ^nn++++=villain
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
induce ^vbi++++=induce
men ^nns++++=men
not ^xnot++not++=not
to ^to++++=to
destroy ^vbi++++=destroy
the ^ati++++=the
weeds ^nns++++=weeds
but ^cc++++=but
to ^to++++=to
protect ^vbi++++=protect
and ^cc++++=and
spread ^nn+++xvbn+=spread
them ^pp3o+pp3+++=them
more ^rbr++++=more
widely ^rb++++=widely.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
thing ^nn++++=thing
took ^vbd+++xvbn+=took
place ^nn++++=place
in ^in++++=in
my ^pp$+pp1+++=my
own ^ap++++=own
case ^nn++++=case
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
pointed ^vbd+++xvbnx+=pointed
out ^rp+pl+++=out
the ^ati++++=the
injunction ^nn+nom+++=injunction
of ^in++++=of
the ^ati++++=the
evangelical ^nn++++=evangelical
teaching ^vwbg+vsua++xvbg+=teaching
about ^in++++=about
the ^ati++++=the
non ^&fw++++=non-resistance
- ^zz++++=EXTRAWORD
resistance ^nn+nom+++=EXTRAWORD
of ^in++++=of
evil ^nn++++=evil
by ^in++++=by
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
rule ^nn++++=rule
was ^vbd+bedz+aux++=was
laid ^vpsv++agls+xvbnx+=laid
down ^rb+phrv+++=down
by ^in++++=by
Christ ^np++++=Christ
and ^cc++++=and
after ^cs+sub+++=after
Him ^pp3o+pp3+++=Him
in ^in++++=in
all ^abn++++=all
times ^nns++++=times
by ^in++++=by
all ^abn++++=all
His ^pp$+pp3+++=His
true ^jj+atrb+++=true
disciples ^nns++++=disciples.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
either ^dtx++++=either
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
notice ^vb+vprv+++=notice
this ^dt+dem+++=this
rule ^nn++++=rule,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
because ^cs+cos+++=because
its ^pp$+it+++=its
fulfilment ^nn+nom+++=fulfilment
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
them ^vbi++++=them
too ^ql++++=too
difficult ^jj++++=difficult,
, ^zz++++=EXTRAWORD
as ^in++++=as
time ^nn++++=time
went ^vbd+++xvbn+=went
the ^ati++++=the
more ^rbr++++=more
completely ^rb+amp+++=completely
this ^dt+dem+++=this
rule ^nn++++=rule
was ^vbd+bedz+aux++=was
forgotten ^vpsv++agls+xvbnx+=forgotten,
, ^zz++++=EXTRAWORD
the ^ati++++=the
farther ^rbr++++=farther
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
men ^nns++++=men's
's ^$++++=EXTRAWORD
lives ^vbz++++=lives
departed ^vbd+++xvbn+=departed
from ^in++++=from
this ^dt+dem+++=this
rule ^nn++++=rule
; ^zz++++=;
and ^cc+cls+++=and
finally ^rb++++=finally
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
pass ^vb++++=pass
to ^to++++=to
which ^whp+who+++=which
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
now ^rn+tm+splt++=now
come ^vprf+++xvbn+=come
that ^dt+dem+++=that
this ^dt+dem+++=this
rule ^nn++++=rule
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
begun ^vprf+++xvbnx+=begun
to ^to++++=to
seem ^vbi+seem+++=seem
to ^to+vcmp+++=to
people ^vbi++++=people
something ^pn++++=something
new ^jj++++=new,
, ^zz++++=EXTRAWORD
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
unheard ^jj++++=unheard-of,
- ^zz++++=EXTRAWORD
of ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
foolish ^jj++++=foolish.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
same ^ap++++=same
experience ^nn+nom+++=experience
as ^in++++=as
the ^ati++++=the
man ^nn++++=man
had ^vb+hv+aux++=had
who ^whp+who+++=who
reminded ^vbd+vsua++xvbn+=reminded
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
good ^jj+atrb+++=good,
, ^zz++++=EXTRAWORD
wise ^jj+atrb+++=wise
master ^nn++++=master's
's ^$++++=EXTRAWORD
prescription ^nn+nom+++=prescription
to ^to++++=to
refrain ^vbi++++=refrain
from ^in++++=from
mowing ^xvbg+++xvbg+=mowing
the ^ati++++=the
weed ^nn++++=weed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
pull ^vbi++++=pull
it ^pp3+it+++=it
up ^rp++++=up
by ^in++++=by
the ^ati++++=the
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
tenants ^nns+nom+++=tenants
of ^in++++=of
the ^ati++++=the
meadow ^nn++++=meadow
purposely ^rb++++=purposely
shut ^vb+++xvbn+=shut
their ^pp$+pp3+++=their
eyes ^nns++++=eyes
to ^in++++=to
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
counsel ^nn++++=counsel
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
give ^vbi++++=give
up ^rb+phrv+++=up
destroying ^vbg+++xvbg+=destroying
the ^ati++++=the
weed ^nn++++=weed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
destroy ^vbi++++=destroy
it ^pp3+it+++=it
by ^in++++=by
