Mr ^npt++++=Mr.
or ^cc+cls+++=or
wielded ^vpsv++agls+xvbn+=wielded
such ^abl++++=such
a ^at++++=a
power ^nn++++=power.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
married ^vpsv++agls+xvbnx+=married
four ^cd++++=four
years ^nns++++=years.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
was ^vbd+bedz+vrb++=was
beautiful ^jj+pred+++=beautiful,
, ^zz++++=EXTRAWORD
winning ^jj+++xvbg+=winning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intelligent ^jj++++=intelligent;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
always ^rb++++=always
had ^vb+hv+vrb++=had
from ^in++++=from
him ^pp3o+pp3+++=him
the ^ati++++=the
best ^jjt+atrb+++=best
devotion ^nn+nom+++=devotion
that ^tht+rel+obj++=that
a ^at++++=a
husband ^nn++++=husband
could ^md+pos+++=could
give ^vb++++=give
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
and ^cc++++=and
Stockton ^np+++??+=Stockton
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
friends ^nns++++=friends
for ^in++++=for
many ^ap++++=many
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Next ^in+cmpx+++=Next
to ^in"++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
Randolph ^np++++=Randolph
had ^vbd+hvd+aux++=had
loved ^vprf+++xvbnx+=loved
and ^cc++++=and
trusted ^jj+++xvbn+=trusted
him ^pp3o+pp3+++=him
above ^rb++++=above
all ^abn++++=all
others ^aps++++=others.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
the ^ati++++=the
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
At ^rb++++=At
one ^cd1++++=one
stroke ^nn++++=stroke
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
home ^nr++++=home,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
confidence ^nn+nom+++=confidence
in ^in++++=in
human ^jj+atrb+++=human
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
ambition ^nn+nom+++=ambition.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
essentially ^rb+down+++=essentially
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
all ^abn++++=all
that ^dt+dem+++=that
made ^vwbn+++xvbn+=made
up ^rp++++=up
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
except ^in++++=except
the ^ati++++=the
operation ^nn+nom+++=operation
of ^in++++=of
purely ^rb++++=purely
animal ^jj+atrb+++=animal
functions ^nns+nom+++=functions--had
-- ^--+clp+++=EXTRAWORD
had ^vbd+hvd+aux++=EXTRAWORD
gone ^vprf+++xvbnx+=gone
all ^abn++++=all
at ^rb++++=at
once ^rb"+tm+++=once
without ^in++++=without
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
warning ^nn++++=warning.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
something ^pn++++=something
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
A ^at++++=A
keen ^jj+atrb+++=keen
sense ^nn++++=sense
of ^in++++=of
the ^ati++++=the
betrayal ^nn+nom+++=betrayal,
, ^zz++++=EXTRAWORD
a ^at++++=a
smarting ^jj+++xvbg+=smarting
under ^in++++=under
the ^ati++++=the
gross ^jj+atrb+++=gross
humiliation ^nn+nom+++=humiliation,
, ^zz++++=EXTRAWORD
urged ^j+++xvbn+=urged
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
natural ^jj+atrb+++=natural
course ^nn++++=course
of ^in++++=of
revenge ^nn++++=revenge.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
crouched ^vbd+++xvbn+=crouched
down ^rp++++=down
in ^in++++=in
a ^at++++=a
chair ^nn++++=chair
in ^in++++=in
his ^pp$+pp3+++=his
locked ^jj+atrb++xvbn+=locked
office ^nn++++=office,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
systematically ^rb++++=systematically
to ^to++++=to
prepare ^vbi++++=prepare.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
idea ^nn++++=idea--always
-- ^--+clp+++=EXTRAWORD
always ^rb++++=EXTRAWORD
first ^rb++++=first
in ^in++++=in
such ^abl++++=such
cases ^nns++++=cases--was
-- ^--+clp+++=EXTRAWORD
was ^vbd+bedz+aux++=EXTRAWORD
to ^to++++=to
kill ^vbi++++=kill.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
a ^at++++=a
man ^nn++++=man
of ^in++++=of
his ^pp$+pp3+++=his
spirit ^nn++++=spirit
and ^cc++++=and
temperament ^nn+nom+++=temperament,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
matter ^nn++++=matter
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
Fear ^vb++++=Fear
of ^in++++=of
the ^ati++++=the
legal ^jj+atrb+++=legal
consequences ^nns+nom+++=consequences
found ^vbd+vprv++xvbn+=found
no ^at++++=no
place ^nn++++=place
within ^in++++=within
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
suicide ^nn++++=suicide
after ^cs+sub+++=after
the ^ati++++=the
killing ^jj+++xvbg+=killing
would ^md+prd+++=would
settle ^vb++++=settle
that ^cs+sub+++=that
exceedingly ^rb++++=exceedingly
small ^jj+atrb+++=small
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
first ^od++++=first
decided ^vprf+++xvbn+=decided
that ^tht+vcmp+++=that
as ^ql++++=as
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
this ^dt+dem+++=this
discovery ^nn+nom+++=discovery
three ^cd++++=three
persons ^nns++++=persons
had ^vb+hv+vrb++=had
to ^in++++=to
die, ^nn+++??+=die,--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
well ^rb++++=well;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
took ^vbd+++xvbn+=took
a ^at++++=a
load ^nn++++=load
from ^in++++=from
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
An ^at++++=An
orderly ^jj+atrb+++=orderly
and ^cc+phrs+++=and
intelligent ^jj+atrb+++=intelligent
arrangement ^nn+nom+++=arrangement
of ^in++++=of
details ^nns++++=details
now ^rn+tm+++=now
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
worked ^vbd+++xvbn+=worked
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
A ^at++++=A
plan ^nn++++=plan
which ^whp+rel+subj++=which
would ^md+prd+++=would
bring ^vb++++=bring
the ^ati++++=the
largest ^jjt+atrb+++=largest
results ^nns++++=results
in ^in++++=in
the ^ati++++=the
satisfaction ^nn+nom+++=satisfaction
of ^in++++=of
a ^at++++=a
desire ^nn++++=desire
for ^in++++=for
revenge ^nn++++=revenge
must ^md+nec+++=must
be ^vb+be+aux++=be
chosen ^vpsv++agls+xvbnx+=chosen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
simple ^jj+atrb+++=simple
death ^nn++++=death
of ^in++++=of
those ^dt+dem+++=those
two ^cd++++=two,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bare ^jj+atrb+++=bare
stoppage ^nn+nom+++=stoppage
of ^in++++=of
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
wholly ^rb++++=wholly
inadequate ^jj+pred+++=inadequate.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
taking ^xvbg+++xvbg+=taking
their ^pp$+pp3+++=their
lives ^nns++++=lives
must ^md+nec+++=must
have ^vb+hv+vrb++=have
the ^ati++++=the
quality ^nn+nom+++=quality
of ^in++++=of
strength ^nn++++=strength
and ^cc++++=and
a ^at++++=a
force ^nn++++=force
which ^whp+rel+obj++=which
in ^in++++=in
itself ^ppl++++=itself
would ^md+prd+++=would
have ^vb+hv+vrb++=have
a ^at++++=a
large ^jj+atrb+++=large
element ^nn+nom+++=element
of ^in++++=of
satisfaction ^nn+nom+++=satisfaction;
; ^zz++++=EXTRAWORD
hence ^rb+cnj+++=hence
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
striking ^vbg+++xvbgx+=striking,
, ^zz++++=EXTRAWORD
deliberate ^jj++++=deliberate,
, ^zz++++=EXTRAWORD
brutal ^jj++++=brutal
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
wish ^vb+vprv+++=wish,
, ^zz++++=EXTRAWORD
revolting ^vbg+++xvbg+=revolting
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
particular ^jj+pred+++=particular.
. ^zz++++=EXTRAWORD
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
preceded ^vpsv++by+xvbnx+=preceded
by ^in++++=by
exposure ^nn++++=exposure,
, ^zz++++=EXTRAWORD
denunciation ^nn+nom+++=denunciation,
, ^zz++++=EXTRAWORD
publication ^nn+nom+++=publication,
, ^zz++++=EXTRAWORD
scorn ^nn++++=scorn,
, ^zz++++=EXTRAWORD
contempt ^nn++++=contempt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
much ^ap++++=much
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good--what
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
next ^rb++++=next?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
various ^jj+atrb+++=various
available ^jj+atrb+++=available
means ^nn++++=means
for ^in++++=for
taking ^xvbg+++xvbg+=taking
life ^nn++++=life.
. ^zz++++=EXTRAWORD
A ^at++++=A
revolver ^nn+nom+++=revolver
suggested ^vbd+vpub++xvbn+=suggested
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
makes ^vbz++++=makes
a ^at++++=a
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
spot ^nn++++=spot;
; ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ap+amp+++=very
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
weapon ^nn++++=weapon,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
steadily ^rb++++=steadily
and ^cc+phrs+++=and
longer ^rbr++++=longer
than ^in++++=than
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
levelled ^j+++xvbn+=levelled
at ^rb++++=at
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
the ^ati++++=the
spot ^nn++++=spot
is ^vbz+bez+aux++=is
to ^to++++=to
appear ^vbi+seem+++=appear,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
terrifying ^jj+pred+++=terrifying;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
look ^nn++++=look
of ^in++++=of
fright ^nn++++=fright;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
uplifted ^jj+atrb+++=uplifted
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
an ^at++++=an
appeal ^nn++++=appeal
for ^in++++=for
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
a ^at++++=a
protest ^nn++++=protest
of ^in++++=of
innocence ^nn+nom+++=innocence,
, ^zz++++=EXTRAWORD
a ^at++++=a
cry ^nn++++=cry
to ^in++++=to
God ^np++++=God;
; ^zz++++=EXTRAWORD
after ^in++++=after
that ^dt+dem+++=that
the ^ati++++=the
crash ^nn++++=crash,
, ^zz++++=EXTRAWORD
a ^at++++=a
white ^jj+atrb+++=white
face ^nn++++=face,
, ^zz++++=EXTRAWORD
a ^at++++=a
toppling ^nn++++=toppling
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
eyes ^nns++++=eyes
rolled ^vbd+++xvbn+=rolled
upward ^jjb+atrb+++=upward,
, ^zz++++=EXTRAWORD
bluish ^jj+atrb+++=bluish
lips ^nns++++=lips
apart ^in+strn+++=apart,
, ^zz++++=EXTRAWORD
a ^at++++=a
dark ^jj+atrb+++=dark
pool ^nn++++=pool
on ^in++++=on
the ^ati++++=the
carpet ^nn++++=carpet--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
good ^jj++++=good.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wretched ^jj+atrb+++=wretched
man ^nn++++=man
felt ^vbd+vprv++xvbn+=felt
better ^jjr++++=better
now ^rn+tm+++=now
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
think ^vbi+vprv+++=think
so ^ql++++=so
clearly ^rb++++=clearly.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
poison ^nn++++=poison
also ^rb++++=also--poison
-- ^--+clp+++=EXTRAWORD
poison ^nn++++=EXTRAWORD
in ^in++++=in
variety ^nn++++=variety:
: ^zz++++=EXTRAWORD
arsenic ^np++++=arsenic,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
burns ^np++++=burns
and ^cc++++=and
corrodes ^nns+++??+=corrodes,
, ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=causing
great ^jj+atrb+++=great
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
often ^rb++++=often
for ^in++++=for
hours ^nns++++=hours;
; ^zz++++=EXTRAWORD
strychnine ^nn+++??+=strychnine,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
acts ^nns++++=acts
through ^in++++=through
the ^ati++++=the
nerves ^nns++++=nerves,
, ^zz++++=EXTRAWORD
producing ^vbg+++xvbg+=producing
convulsions ^nns++++=convulsions
and ^cc++++=and
sometimes ^rb++++=sometimes
a ^at++++=a
fixed ^jj+atrb++xvbn+=fixed
distortion ^nn+nom+++=distortion
of ^in++++=of
the ^ati++++=the
features ^nns++++=features,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
even ^rb++++=even
the ^ati++++=the
relaxation ^nn+nom+++=relaxation
of ^in++++=of
death ^nn++++=death
cannot ^md+pos+not++=cannot
remove ^vb++++=remove;
; ^zz++++=EXTRAWORD
corrosive ^jj+atrb+++=corrosive
sublimate ^nn+nom+++=sublimate,
, ^zz++++=EXTRAWORD
prussic ^jj++++=prussic
acid ^jj++++=acid,
, ^zz++++=EXTRAWORD
cyanide ^nn+++??+=cyanide
of ^in++++=of
potassium ^nn++++=potassium--too
-- ^--+clp+++=EXTRAWORD
too ^ql++++=EXTRAWORD
quick ^jj++++=quick
and ^cc+phrs+++=and
deadly ^jj++++=deadly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
be ^vb+be+vrb++=be
a ^at++++=a
poison ^nn++++=poison,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
poison ^nn++++=poison
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
will ^md+prd+++=will
bring ^vb++++=bring
about ^rb+phrv+++=about
a ^at++++=a
sensible ^jj+atrb+++=sensible
progression ^nn++++=progression
through ^in++++=through
perceptible ^jj+atrb+++=perceptible
stages ^nns++++=stages
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
during ^in++++=during
this ^dt+dem+++=this
time ^nn++++=time
the ^ati++++=the
efficiency ^nn++++=efficiency
of ^in++++=of
physical ^jj+atrb+++=physical
pain ^nn++++=pain
may ^md+pos+++=may
be ^vb+be+aux++=be
raised ^vpsv++by+xvbnx+=raised
by ^in++++=by
the ^ati++++=the
addition ^nn+nom+++=addition
of ^in++++=of
mental ^jj+atrb+++=mental
suffering ^nvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
Were ^vbd+bed+vrb++=Were
these ^dt+dem+++=these
all ^abn++++=all
the ^ati++++=the
methods ^nns++++=methods?
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes--enough
-- ^--+clp+++=EXTRAWORD
enough ^qlp++++=EXTRAWORD
for ^in++++=for
this ^dt+dem+++=this
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
should ^md+nec+++=should
it ^pp3+it+++=it
be ^vb+be+vrb++=be--revolver
-- ^--+clp+++=EXTRAWORD
revolver ^nn+nom+++=EXTRAWORD
or ^cc++++=or
poison ^nn++++=poison?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
difficult ^jj+atrb+++=difficult
problem ^nn++++=problem.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
it ^pp3+it+++=it
first ^rb++++=first
be ^vb+be+aux++=be
settled ^vpsv++agls+xvbnx+=settled
that ^dt+dem+++=that
the ^ati++++=the
three ^cd++++=three
should ^md+nec+++=should
be ^vb+be+vrb++=be
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
locked ^j+++xvbn+=locked
in ^in++++=in
a ^at++++=a
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
two ^cd++++=two
guilty ^jj+atrb+++=guilty
ones ^cd1s++++=ones
should ^md+nec+++=should
suffer ^vb++++=suffer
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
one ^pn++++=one
at ^in++++=at
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
revolver ^nn+nom+++=revolver
won ^vbd+++xvbn+=won.
. ^zz++++=EXTRAWORD
Randolph ^np++++=Randolph
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
act ^nn++++=act
of ^in++++=of
leaving ^xvbg+++xvbg+=leaving
his ^pp$+pp3+++=his
office ^nn++++=office
to ^to++++=to
go ^vbi++++=go
and ^cc+phrs+++=and
buy ^vb++++=buy
the ^ati++++=the
weapon ^nn++++=weapon,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
startled ^vpsv++by+xvbnx+=startled
by ^in++++=by
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
in ^in++++=in
his ^pp$+pp3+++=his
office ^nn++++=office-mirror.
- ^zz++++=EXTRAWORD
mirror ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
required ^vbd+++xvbn+=required
a ^at++++=a
moment ^nn++++=moment
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
recognize ^vbi+vprv+++=recognize
his ^pp$+pp3+++=his
own ^ap++++=own
reflection ^nn+nom+++=reflection.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
unnaturally ^rb++++=unnaturally
white ^jj+pred+++=white;
; ^zz++++=EXTRAWORD
a ^at++++=a
discoloration ^nn+nom+++=discoloration
was ^vbd+bedz+vrb++=was
under ^in++++=under
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
a ^at++++=a
glassy ^nn+++??+=glassy
appearance ^nn+nom+++=appearance;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
lips ^nns++++=lips
were ^vbd+bed+aux++=were
pressed ^vpsv++agls+xvbnx+=pressed
tightly ^rb++++=tightly
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
the ^ati++++=the
corners ^nns+nom+++=corners
of ^in++++=of
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
drawn ^vwbn+++xvbn+=drawn
down ^rp++++=down,
, ^zz++++=EXTRAWORD
large ^jj+atrb+++=large
dark ^jj+atrb+++=dark
veins ^nns++++=veins
standing ^vwbg+++xvbg+=standing
out ^rp+pl+++=out
on ^in++++=on
his ^pp$+pp3+++=his
temples ^nns++++=temples.
. ^zz++++=EXTRAWORD
Fearing ^vbg+vprv++xvbg+=Fearing
that ^tht+vcmp+++=that
if ^cs+cnd+++=if,
