I ^pp1a+pp1+++=I.
at ^rb++++=at
that ^dt+dem+++=that
moment ^nn++++=moment
were ^vbd+bed+aux++=were
passing ^vbg+++xvbgx+=passing
through ^in++++=through
a ^at++++=a
crisis ^nn++++=crisis
a ^at++++=a
crisis ^nn++++=crisis
that ^tht+rel+++=that
at ^rb++++=at
any ^dti++++=any
moment ^nn++++=moment
might ^md+pos+++=might
culminate ^nn+nom+++=culminate
in ^in++++=in
tragedy ^nn++++=tragedy.
. ^zz++++=EXTRAWORD
Wheat ^nn++++=Wheat
was ^vbd+bedz+vrb++=was
down ^rp++++=down
to ^to++++=to
sixty ^cd++++=sixty-six.
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
Emma ^np++++=Emma
Lewiston ^np+++??+=Lewiston
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
hazarded ^vbd+++xvbnx+=hazarded,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
vaguely ^rb++++=vaguely
out ^rp+pl+++=out
across ^in+pl+++=across
the ^ati++++=the
ranch ^nn++++=ranch
toward ^in++++=toward
the ^ati++++=the
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
leagues ^nns++++=leagues
distant ^jj++++=distant;
; ^zz++++=EXTRAWORD
" ^zz++++="well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sam ^np++++=Sam,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
always ^rb++++=always
that ^dt+dem+++=that
offer ^nn++++=offer
of ^in++++=of
brother ^nn++++=brother
Joe ^np++++=Joe's.
's. ^nn+++??+=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
quit ^vb++++=quit
and ^cc+phrs+++=and
go ^vb++++=go
to ^in++++=to
Chicago ^np++++=Chicago
if ^cs+cnd+++=if
the ^ati++++=the
worst ^nn++++=worst
comes ^vbz++++=comes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
give ^vb++++=give
up ^rb+phrv+++=up!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Lewiston ^np+++??+=Lewiston,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running
the ^ati++++=the
lines ^nns++++=lines
through ^in++++=through
the ^ati++++=the
torets ^nns+++??+=torets.
. ^zz++++=EXTRAWORD
" ^zz++++="Leave
leave ^vb++++=EXTRAWORD
the ^ati++++=the
ranch ^nn++++=ranch!
! ^zz++++=EXTRAWORD
Give ^vb++++=Give
up ^rb+phrv+++=up!
! ^zz++++=EXTRAWORD
After ^in++++=After
all ^abn++++=all
these ^dt+dem+++=these
years ^nns++++=years!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
made ^vbd+++xvbn+=made
no ^at++++=no
reply ^nn++++=reply
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Lewiston ^np+++??+=Lewiston
climbed ^vbd+++xvbn+=climbed
into ^in++++=into
the ^ati++++=the
buckboard ^nn+++??+=buckboard
and ^cc++++=and
gathered ^vbd+++xvbn+=gathered
up ^rp++++=up
the ^ati++++=the
lines ^nns++++=lines.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
goes ^vbz++++=goes
for ^in+ppvb+++=for
the ^ati++++=the
last ^rb++++=last
try ^vb++++=try,
, ^zz++++=EXTRAWORD
Emmie ^np+++??+=Emmie,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Good-by,
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
Maybe ^rb+hdg+++=Maybe
things ^nns++++=things
will ^md+prd+++=will
look ^vb++++=look
better ^jjr++++=better
in ^in++++=in
town ^nn++++=town
to ^to++++=to-day."
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Maybe,"
maybe ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
gravely ^rb++++=gravely.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her
husband ^nn++++=husband
good ^jj++++=good-by
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
and ^cc++++=and
stood ^vpsv++agls+xvbn+=stood
for ^in+ppvb+++=for
some ^dti++++=some
time ^nn++++=time
looking ^vwbg+++xvbg+=looking
after ^in++++=after
the ^ati++++=the
buckboard ^nn+++??+=buckboard
traveling ^nn+nom+++=traveling
toward ^in++++=toward
the ^ati++++=the
town ^nn++++=town
in ^in++++=in
a ^at++++=a
moving ^jj+atrb++xvbg+=moving
pillar ^nn++++=pillar
of ^in++++=of
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
murmured ^vbd+++xvbnx+=murmured
at ^rb++++=at
length ^rb"++++=length;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
just ^rb+emph+++=just
how ^wrb+who+++=how
we ^pp1a+pp1+++=we're
're ^vb+ber+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
make ^vb++++=make
out ^rp+pl+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
town ^nn++++=town,
, ^zz++++=EXTRAWORD
Lewiston ^np+++??+=Lewiston
tied ^vbd+++xvbn+=tied
the ^ati++++=the
horse ^nn++++=horse
to ^in++++=to
the ^ati++++=the
iron ^nn++++=iron
railing ^nn+nom+++=railing
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
Odd ^jj+atrb+++=Odd
Fellows ^nns++++=Fellows'
' ^zz++++=EXTRAWORD
Hall ^npl++++=Hall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ground ^nn++++=ground
floor ^nn++++=floor
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+aux++=was
occupied ^vpsv++by+xvbnx+=occupied
by ^in++++=by
the ^ati++++=the
post ^nn++++=post-office,
- ^zz++++=EXTRAWORD
office ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street
and ^cc++++=and
up ^rp++++=up
the ^ati++++=the
stairway ^nn++++=stairway
of ^in++++=of
a ^at++++=a
building ^jj+++xvbg+=building
of ^in++++=of
brick ^nn++++=brick
and ^cc++++=and
granite ^nn++++=granite
quite ^rb++++=quite
the ^ati++++=the
most ^ql+emph+++=most
pretentious ^jj+atrb+++=pretentious
structure ^nn++++=structure
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
and ^cc++++=and
knocked ^vprf+++xvbn+=knocked
at ^rb++++=at
a ^at++++=a
door ^nn++++=door
upon ^in++++=upon
the ^ati++++=the
first ^rb++++=first
landing ^nvbg+++xvbg+=landing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
was ^vbd+bedz+aux++=was
furnished ^vpsv++agls+xvbnx+=furnished
with ^in++++=with
a ^at++++=a
pane ^nn+++??+=pane
of ^in++++=of
frosted ^jj+atrb+++=frosted
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
on ^in++++=on
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
gold ^nn++++=gold
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
inscribed ^vpsv++agls+xvbnx+=inscribed,
, ^zz++++=EXTRAWORD
" ^zz++++="Bridges
bridges ^nns++++=EXTRAWORD
& ^zz++++=&
Co ^nn++++=Co.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Grain ^nn++++=Grain
Dealers ^nns+nom+++=Dealers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bridges ^nns++++=Bridges
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
a ^at++++=a
middle ^jjb++++=middle-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
who ^whp+rel+subj++=who
wore ^vbd+++xvbn+=wore
a ^at++++=a
velvet ^nn++++=velvet
skull ^nn++++=skull-cap
- ^zz++++=EXTRAWORD
cap ^nn++++=EXTRAWORD
and ^cc++++=and
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
smoking ^vbg+++xvbgx+=smoking
a ^at++++=a
Pittsburg ^np+++??+=Pittsburg
stogie ^nn+++??+=stogie,
, ^zz++++=EXTRAWORD
met ^j+++xvbn+=met
the ^ati++++=the
farmer ^nn++++=farmer
at ^rb++++=at
the ^ati++++=the
counter ^nn++++=counter
and ^cc++++=and
the ^ati++++=the
two ^cd++++=two
exchanged ^vbd+++xvbn+=exchanged
perfunctory ^jj+atrb+++=perfunctory
greetings ^nns++++=greetings.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lewiston ^np+++??+=Lewiston,
, ^zz++++=EXTRAWORD
tentatively ^rb+cnj+++=tentatively,
, ^zz++++=EXTRAWORD
after ^in++++=after
awhile ^rb++++=awhile.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lewiston ^np+++??+=Lewiston,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
that ^dt+dem+++=that
wheat ^nn++++=wheat
of ^in++++=of
yours ^pp$$++++=yours
at ^in++++=at
any ^dti++++=any
better ^jjr++++=better
than ^in++++=than
sixty ^cd++++=sixty-two."
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sixty-two."
sixty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
Chicago ^np++++=Chicago
price ^nn++++=price
that ^tht+rel+subj++=that
does ^vbz+doz+vrb++=does
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Lewiston ^np+++??+=Lewiston.
. ^zz++++=EXTRAWORD
Truslow ^np+++??+=Truslow
is ^vbz+bez+aux++=is
bearing ^vbg+++xvbgx+=bearing
the ^ati++++=the
stuff ^nn++++=stuff
for ^in++++=for
all ^abn++++=all
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
worth ^nn++++=worth.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
Truslow ^np+++??+=Truslow
and ^cc++++=and
the ^ati++++=the
bear ^nn++++=bear
clique ^nn++++=clique
that ^tht+rel+subj++=that
stick ^vb++++=stick
the ^ati++++=the
knife ^nn++++=knife
into ^in++++=into
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
price ^nn++++=price
broke ^vbd+++xvbn+=broke
again ^rb+tm+++=again
this ^dt+dem+++=this
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We've
've ^vb+hv+aux++0=EXTRAWORD
just ^rb+emph+splt++=just
got ^vprf+++xvbnx+=got
a ^at++++=a
wire ^nn++++=wire."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
heavens ^nns++++=heavens,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
murmured ^vbd+++xvbn+=murmured
Lewiston ^np+++??+=Lewiston,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
vaguely ^rb++++=vaguely
from ^in++++=from
side ^nn++++=side
to ^in++++=to
side ^nn++++=side.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^cs+sub+++=EXTRAWORD
that ^dt+pdem+++=that
ruins ^vbz++++=ruins
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
carry ^vb++++=carry
my ^pp$+pp1+++=my
grain ^nn++++=grain
any ^dti++++=any
longer ^rbr++++=longer
what ^wdt+who+++=what
with ^in++++=with
storage ^nn+nom+++=storage
charges ^nns++++=charges
and ^cc++++=and
and ^cc++++=and
Bridges ^nns++++=Bridges,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
just ^rb+emph+++=just
how ^wrb+who+++=how
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
make ^vb++++=make
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Sixty ^cd++++=Sixty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
cents ^nns++++=cents
a ^at++++=a
bushel ^nn+++??+=bushel!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
with ^in++++=with
this ^dt+pdem+++=this
and ^cc++++=and
with ^in++++=with
that ^cs+sub+++=that
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
cost ^nn++++=cost
me ^pp1o+pp1+++=me
nearly ^rb+down+++=nearly
a ^at++++=a
dollar ^nn++++=dollar
a ^at++++=a
bushel ^nn+++??+=bushel
to ^to++++=to
raise ^vbi++++=raise
that ^dt+dem+++=that
wheat ^nn++++=wheat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
Truslow ^np+++??+=Truslow
" ^zz++++="
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
away ^rb+phrv+++=away
abruptly ^rb++++=abruptly
with ^in++++=with
a ^at++++=a
quick ^jj+atrb+++=quick
gesture ^nn++++=gesture
of ^in++++=of
infinite ^jj+atrb+++=infinite
discouragement ^nn+nom+++=discouragement.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
down ^in++++=down
the ^ati++++=the
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
making ^vbg+++xvbg+=making
his ^pp$+pp3+++=his
way ^nn++++=way
to ^to++++=to
where ^wrb+who+++=where
his ^pp$+pp3+++=his
buckboard ^nn+++??+=buckboard
was ^vbd+bedz+aux++=was
hitched ^vpsv++agls+xvbnx+=hitched,
, ^zz++++=EXTRAWORD
got ^j+++xvbn+=got
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
eyes ^nns++++=eyes
vacant ^jj++++=vacant,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reins ^nns++++=reins
slipping ^vwbg+++xvbg+=slipping
and ^cc++++=and
sliding ^vwbg+++xvbg+=sliding
in ^in++++=in
his ^pp$+pp3+++=his
limp ^nn++++=limp,
, ^zz++++=EXTRAWORD
half ^abn++++=half-open
- ^zz++++=EXTRAWORD
open ^jj+atrb+++=EXTRAWORD
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
drove ^j+++xvbn+=drove
slowly ^rb++++=slowly
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
ranch ^nn++++=ranch.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him
coming ^nvbg+++xvbg+=coming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
met ^vbd+++xvbn+=met
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
up ^rb+phrv+++=up
before ^in++++=before
the ^ati++++=the
barn ^nn++++=barn.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="Emmie,"
emmie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
as ^ql++++=as
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
buckboard ^nn+++??+=buckboard,
, ^zz++++=EXTRAWORD
laying ^vbg+++xvbg+=laying
his ^pp$+pp3+++=his
arm ^vb++++=arm
across ^in+pl+++=across
her ^pp$+pp3+++=her
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
" ^zz++++="Emmie,
emmie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
up ^rb+phrv+++=up
with ^in+ppvb+++=with
Joe ^np++++=Joe's
's ^$++++=EXTRAWORD
offer ^nn++++=offer.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
go ^vb++++=go
to ^in++++=to
Chicago ^np++++=Chicago.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We're
're ^vb+ber+aux++0=EXTRAWORD
cleaned ^vpsv++agls+xvbnx+=cleaned
out ^rp+pl+++=out!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ii ^np+++??+=II.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
Bull ^nn++++=BULL
Wheat ^nn++++=WHEAT
At ^in++++=AT
A ^at++++=A
Dollar ^nn++++=DOLLAR-TEN
- ^zz++++=EXTRAWORD
ten ^cd++++=EXTRAWORD
and ^cc++++=and
said ^vbd+vpub++xvbn+=said
Party ^nn++++=Party
of ^in++++=of
the ^ati++++=the
Second ^od++++=Second
Part ^nn++++=Part
further ^jjb+atrb+++=further
covenants ^nns+nom+++=covenants
and ^cc++++=and
agrees ^vbz++++=agrees
to ^in++++=to
merchandise ^nn++++=merchandise
such ^abl++++=such
wheat ^nn++++=wheat
in ^in++++=in
foreign ^jj+atrb+++=foreign
ports ^nns++++=ports,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
being ^xvbg+++xvbg+=being
understood ^vbd+vprv++xvbn+=understood
and ^cc+phrs+++=and
agreed ^vbd+++xvbn+=agreed
between ^in++++=between
the ^ati++++=the
Party ^nn++++=Party
of ^in++++=of
the ^ati++++=the
First ^od++++=First
Part ^nn++++=Part
and ^cc++++=and
the ^ati++++=the
Party ^nn++++=Party
of ^in++++=of
the ^ati++++=the
Second ^od++++=Second
Part ^nn++++=Part
that ^tht+rel+obj++=that
the ^ati++++=the
wheat ^nn++++=wheat
hereinbefore ^rb++++=hereinbefore
mentioned ^vbd+vpub++xvbn+=mentioned
is ^vbz+bez+aux++=is
released ^vpsv++agls+xvbnx+=released
and ^cc+phrs+++=and
sold ^vpsv++agls+xvbn+=sold
to ^in++++=to
the ^ati++++=the
Party ^nn++++=Party
of ^in++++=of
the ^ati++++=the
Second ^od++++=Second
Part ^nn++++=Part
for ^in++++=for
export ^nn++++=export
purposes ^nns++++=purposes
only ^rb+cnj+++=only,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
for ^in++++=for
consumption ^nn+nom+++=consumption
or ^cc++++=or
distribution ^nn+nom+++=distribution
within ^in++++=within
the ^ati++++=the
boundaries ^nns++++=boundaries
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
of ^in++++=of
America ^np++++=America
or ^cc++++=or
of ^in++++=of
Canada ^np++++=Canada.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gates ^np++++=Gates,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
will ^md+prd+++=will
sign ^vb++++=sign
for ^in++++=for
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Truslow ^np++++=Truslow
I ^pp1a+pp1+++=I
guess ^vb++++=guess
that ^tht+vcmp+++=that'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
Hornung ^np+++??+=Hornung
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
reading ^np+++xvbg+=reading.
. ^zz++++=EXTRAWORD
Hornung ^np+++??+=Hornung
affixed ^vbd+++xvbn+=affixed
his ^pp$+pp3+++=his
signature ^nn++++=signature
to ^in++++=to
the ^ati++++=the
two ^cd++++=two
documents ^nns+nom+++=documents
and ^cc++++=and
passed ^vwbn+++xvbn+=passed
them ^pp3o+pp3+++=them
over ^in++++=over
to ^in++++=to
Gates ^nns++++=Gates,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
signed ^vbd+++xvbn+=signed
for ^in++++=for
his ^pp$+pp3+++=his
principal ^jjb++++=principal
and ^cc++++=and
client ^nn++++=client,
, ^zz++++=EXTRAWORD
Truslow ^np+++??+=Truslow
or ^cc++++=or,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
called ^vpsv++agls+xvbnx+=called
ever ^rb++++=ever
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
the ^ati++++=the
fight ^nn++++=fight
against ^in++++=against
Hornung ^np++++=Hornung's
's ^$++++=EXTRAWORD
corner ^nn++++=corner
the ^ati++++=the
Great ^nn++++=Great
Bear ^vb+vprv+++=Bear.
. ^zz++++=EXTRAWORD
Hornung ^np++++=Hornung's
