Hit ^vbd+++xvbn+=Hit
Private ^jj+atrb+++=Private
Mulvaney ^np+++??+=Mulvaney,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
sentries ^nns++++=sentries,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
tallest ^jjt+atrb+++=tallest
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
regiment ^nn+nom+++=regiment.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
dance ^nn++++=dance
was ^vbd+bedz+aux++=was
fairly ^rb++splt++=fairly
started ^vpsv++agls+xvbnx+=started
the ^ati++++=the
sentries ^nns++++=sentries
were ^vbd+bed+aux++=were
released ^vpsv++agls+xvbnx+=released,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Private ^jj+atrb+++=Private
Mulvaney ^np+++??+=Mulvaney
went ^vbd+++xvbn+=went
to ^in++++=to
curry ^nn++++=curry
favor ^nn++++=favor
with ^in++++=with
the ^ati++++=the
Mess ^nn++++=Mess
Sergeant ^nn+nom+++=Sergeant
in ^in++++=in
charge ^in"++++=charge
of ^in"++++=of
the ^ati++++=the
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
the ^ati++++=the
Mess ^nn++++=Mess
Sergeant ^nn+nom+++=Sergeant
gave ^vbd+++xvbn+=gave
or ^cc++++=or
Mulvaney ^np+++??+=Mulvaney
took ^vbd+++xvbn+=took,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
All ^abn++++=All
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
certain ^jj+pred+++=certain
of ^in++++=of
is ^vbz+bez+vrb++=is
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
at ^in++++=at
supper ^nn++++=supper-time,
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
Mulvaney ^np+++??+=Mulvaney
with ^in++++=with
Private ^jj+atrb+++=Private
Ortheris ^np+++??+=Ortheris,
, ^zz++++=EXTRAWORD
two ^cd++++=two-thirds
- ^zz++++=EXTRAWORD
thirds ^nns+++??+=EXTRAWORD
of ^in++++=of
a ^at++++=a
ham ^nn++++=ham,
, ^zz++++=EXTRAWORD
a ^at++++=a
loaf ^nn++++=loaf
of ^in++++=of
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
half ^abn++++=half
a ^at++++=a
_pate ^nn++++=_pate-de-foie-gras_,
- ^zz++++=EXTRAWORD
de ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
foie ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
gras_ ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
magnums ^nns+++??+=magnums
of ^in++++=of
champagne ^nn++++=champagne,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
roof ^nn++++=roof
of ^in++++=of
my ^pp$+pp1+++=my
carriage ^nn+nom+++=carriage.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
up ^rp++++=up
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
him ^pp3o+pp3+++=him
saying ^vbg+++xvbg+=saying-"Praise
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
praise ^vb++++=EXTRAWORD
be ^vb+be+vrb++=be
a ^at++++=a
danst ^nn+++??+=danst
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
come ^vprf+++xvbn+=come
as ^ql++++=as
often ^rb++++=often
as ^ql++++=as
Ord ^np+++??+=Ord'ly-room,
'ly-room, ^nn+++??+=EXTRAWORD
or ^cc++++=or,
, ^zz++++=EXTRAWORD
by ^in++++=by
this ^dt+pdem+++=this
and ^cc++++0=an'
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Orth ^np+++??+=Orth'ris,
'ris, ^nn+++??+=EXTRAWORD
me ^pp1o+pp1+++=me
son ^nn++++=son,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wud ^nn+++??+=wud
be ^vb+be+vrb++=be
the ^ati++++=the
dishgrace ^nn+++??+=dishgrace
av ^nn++++=av
the ^ati++++=the
rig ^nn++++=rig'mint
'mint ^vbd++be+xvbn+0=EXTRAWORD
instid ^nn+++??+=instid
av ^nn++++=av
the ^ati++++=the
brightest ^jjt+atrb+++=brightest
jool ^nn+++??+=jool
in ^in++++=in
uts ^nns+++??+=uts
crown ^nn++++=crown."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="_Hand_
_hand_ ^nn+++??+=EXTRAWORD
the ^ati++++=the
Colonel ^np++++=Colonel's
's ^$++++=EXTRAWORD
pet ^nn++++=pet
noosance ^nn+nom+++=noosance,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ortheris ^np+++??+=Ortheris,
, ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
wot ^wpr++++=wot
makes ^vbz++++=makes
you ^pp2+pp2+++=you
curse ^vb++++=curse
your ^pp$+pp2+++=your
rations ^nns+nom+++=rations?
? ^zz++++=EXTRAWORD
This ^dt+dem+++=This
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
fizzy ^nn+++??+=fizzy
stuff ^nn++++=stuff's
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj++++=good
enough ^dt++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Stuff,
stuff ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
oncivilized ^vbd+++xvbn+=oncivilized
pagin ^nn+++??+=pagin!
! ^zz++++=EXTRAWORD
it ^pp3+it+++0='Tis
is ^vbz+bez+vrb++=EXTRAWORD
champagne ^nn++++=champagne
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
dhrinkin ^nn+++??+=dhrinkin'
' ^zz++++=EXTRAWORD
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
' ^zz++++='Tisn't
tis ^nns+++??+=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
set ^vpsv++agls+xvbnx+=set
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
it ^pp3+it+++0='Tis
is ^vbz+bez+vrb++=EXTRAWORD
this ^dt+dem+++=this
quare ^jj+atrb+++=quare
stuff ^nn++++=stuff
wid ^in++++=wid
the ^ati++++=the
little ^jj+atrb+++=little
bits ^nns++++=bits
av ^nn++++=av
black ^jj+atrb+++=black
leather ^nn++++=leather
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
misdoubt ^nn+++??+=misdoubt
I ^pp1a+pp1+++=I
will ^md+prd+++=will
be ^vb+be+vrb++=be
distressin ^nn+++??+=distressin'ly
'ly ^jj++++0=EXTRAWORD
sick ^jj++++=sick
wid ^in++++=wid
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
mornin ^nn+++??+=mornin'.
'. ^nn+++??+=EXTRAWORD
Fwhat ^np+++??+=Fwhat
is ^vbz+bez+vrb++=is
ut ^&fw++++=ut?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Goose
goose ^nn++++=EXTRAWORD
liver ^nn++++=liver,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
climbing ^nvbg+++xvbg+=climbing
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
better ^jjr+pred+++=better
to ^to+jcmp+++=to
sit ^vbi++++=sit
out ^rp+pl+++=out
with ^in++++=with
Mulvaney ^np+++??+=Mulvaney
than ^in++++=than
to ^to++++=to
dance ^vbi++++=dance
many ^ap++++=many
dances ^nns++++=dances.
. ^zz++++=EXTRAWORD
" ^zz++++="Goose
goose ^nn++++=EXTRAWORD
liver ^nn++++=liver
is ^vbz+bez+vrb++=is
ut ^&fw++++=ut?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mulvaney ^np+++??+=Mulvaney.
. ^zz++++=EXTRAWORD
" ^zz++++="Faith,
faith ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
thinkin ^nn+++??+=thinkin'
' ^zz++++=EXTRAWORD
thim ^nn+++??+=thim
that ^tht+rel+subj++=that
makes ^vbz++++=makes
it ^pp3+it+++=it
wud ^nn+++??+=wud
do ^vb+do+vrb++=do
betther ^jjr++++=betther
to ^to++++=to
cut ^vbi++++=cut
up ^rb+phrv+++=up
the ^ati++++=the
Colonel ^nn++++=Colonel.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carries ^vbz++++=carries
a ^at++++=a
power ^nn++++=power
av ^nn++++=av
liver ^nn++++=liver
undher ^jjr++++=undher
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
arrum ^nn+++??+=arrum
whin ^nn+++??+=whin
the ^ati++++=the
days ^nns++++=days
are ^vb+ber+vrb++=are
warm ^jj+pred+++=warm
and ^cc++++0=an'
the ^ati++++=the
nights ^nns++++=nights
chill ^nn++++=chill.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wud ^nn+++??+=wud
give ^vb++++=give
thim ^jj+atrb++??+=thim
tons ^nns++++=tons
and ^cc++++0=an'
tons ^nns++++=tons
av ^nn++++=av
liver ^nn++++=liver.
. ^zz++++=EXTRAWORD
it ^pp3+it+++0='Tis
is ^vbz+bez+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he
sez ^nn+++??+=sez
so ^ql++++=so.
. ^zz++++=EXTRAWORD
' ^zz++++='I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
all ^abn++++=all
liver ^nn++++=liver
to ^to++++=to-day,'
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
sez ^nn+++??+=sez
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
wid ^in++++=wid
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
ordhers ^nns+nom+++=ordhers
me ^pp1o+pp1+++=me
ten ^cd++++=ten
days ^nns++++=days
C.b ^np+++??+=C.B.
. ^zz++++=EXTRAWORD
for ^in++++=for
as ^ql++++=as
moild ^vb+++??+=moild
a ^at++++=a
dhrink ^nn+++??+=dhrink
as ^ql++++=as
iver ^jjr++++=iver
a ^at++++=a
good ^jj++++=good
sodger ^jjr++++=sodger
took ^vbd+++xvbn+=took
betune ^nn+++??+=betune
his ^pp$+pp3+++=his
teeth ^nns++++=teeth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
' ^zz++++='e
e ^zz++++=EXTRAWORD
wanted ^vprf+++xvbn+=wanted
for ^in++++=for
to ^to++++=to
wash ^vbi++++=wash
' ^zz++++='isself
isself ^nn+++??+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Fort ^nn++++=Fort
Ditch ^nn++++=Ditch,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ortheris ^np+++??+=Ortheris
explained ^vbd+vpub++xvbn+=explained.
. ^zz++++=EXTRAWORD
" ^zz++++="Said
said ^vbd+vpub+tht0+xvbn+=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
too ^ql++++=too
much ^ap++++=much
beer ^nn++++=beer
in ^in++++=in
the ^ati++++=the
Barrack ^nn++++=Barrack
water ^nn++++=water-butts
- ^zz++++=EXTRAWORD
butts ^nns++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
God ^np++++=God-fearing
- ^zz++++=EXTRAWORD
fearing ^vbg+vprv++xvbg+=EXTRAWORD
man ^nn++++=man.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
was ^vbd+bedz+vrb++=was
lucky ^jj+pred+++=lucky
in ^in++++=in
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
orf ^nn+++??+=orf
with ^in++++=with
wot ^wpr++++=wot
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
Mulvaney ^np+++??+=Mulvaney."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Say
say ^vb+vpub+++=EXTRAWORD
you ^pp2+pp2+++=you
so ^ql++++=so?
? ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
pershuaded ^vpsv++agls+xvbnx+=pershuaded
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
cruel ^jj++++=cruel
hard ^jj++++=hard
trated ^jj+++xvbn+=trated,
, ^zz++++=EXTRAWORD
seein ^nn+++??+=seein'
' ^zz++++=EXTRAWORD
fwhat ^nn+++??+=fwhat
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done
for ^in++++=for
the ^ati++++=the
likes ^nns++++=likes
av ^nn++++=av
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
days ^nns++++=days
whin ^nn+++??+=whin
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
wider ^jjr+atrb+++=wider
opin ^nn+++??+=opin
than ^in++++=than
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Man ^nn++++=Man
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
Colonel ^nn++++=Colonel
to ^in++++=to
whip ^nn++++=whip
_me_ ^nn+++??+=_me_
on ^in++++=on
the ^ati++++=the
peg ^nn++++=peg
in ^cs+sub+++=in
that ^cs"++++=that
way ^nn++++=way!
! ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me
that ^dt+pdem+++=that
have ^vb+hv+aux++=have
saved ^vprf+++xvbnx+=saved
the ^ati++++=the
repitation ^nn+nom+++=repitation
av ^nn++++=av
a ^at++++=a
ten ^cd++++=ten
times ^nns++++=times
better ^jjr+atrb+++=better
man ^nn++++=man
than ^cs+sub+++=than
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
Twas ^np+++??+=Twas
ne-farious ^jj++++=ne-farious--an'
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++0=EXTRAWORD
that ^tht+vcmp+++=that
manes ^nns+++??+=manes
a ^at++++=a
power ^nn++++=power
av ^nn++++=av
evil ^nn++++=evil!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
mind ^vb+++??+=mind
the ^ati++++=the
nefariousness ^nns+nom+++=nefariousness,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Whose
whose ^whp+who+++=EXTRAWORD
reputation ^nn+nom+++=reputation
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
save ^cs+sub+++=save?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="More's
more ^ql++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
pity ^nn++++=pity,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='twasn't
was ^vbd+bedz+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
my ^pp$+pp1+++=my
own ^ap++++=own,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
tuk ^nn+++??+=tuk
more ^rbr++++=more
trouble ^nn++++=trouble
wid ^in++++=wid
ut ^&fw++++=ut
than ^in++++=than
av ^nn++++=av
ut ^&fw++++=ut
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
it ^pp3+it+++0='Twas
was ^vbd+bedz+vrb++=EXTRAWORD
just ^rb+emph+++=just
my ^pp$+pp1+++=my
way ^nn++++=way,
, ^zz++++=EXTRAWORD
messin ^nn+++??+=messin'
' ^zz++++=EXTRAWORD
wid ^in++++=wid
fwhat ^nn+++??+=fwhat
was ^vbd+bedz+vrb++=was
no ^at++++=no
business ^nns+nom+++=business
av ^nn++++=av
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
Hear ^vb+vprv+++=Hear
now ^rn+tm+++=now!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
settled ^vbd+++xvbnx+=settled
himself ^ppl+pp3+++=himself
at ^rb++++=at
ease ^nn++++=ease
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
carriage ^nn+nom+++=carriage.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
all ^abn++++=all
about ^in++++=about
ut ^&fw++++=ut.
. ^zz++++=EXTRAWORD
Av ^nn++++=Av
coorse ^nn+++??+=coorse
I ^pp1a+pp1+++=I
will ^md+prd+++=will
name ^vb++++=name
no ^at++++=no
names ^nns++++=names,
, ^zz++++=EXTRAWORD
for ^in++++=for
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
wan ^jj++++=wan
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
an ^at++++=an
orf ^nn+++??+=orf'cer's
'cer's ^nns+++??+0=EXTRAWORD
lady ^npt++++=lady
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
in ^in++++=in
ut ^&fw++++=ut,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
more ^ql++++=more
will ^md+prd+++=will
I ^pp1a+pp1+++=I
name ^nn++++=name
places ^nns++++=places,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+aux++=is
thracked ^vpsv++by+xvbnx+=thracked
by ^in++++=by
a ^at++++=a
place ^nn++++=place."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Eyah!"
eyah ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ortheris ^np+++??+=Ortheris,
, ^zz++++=EXTRAWORD
lazily ^rb+cnj+++=lazily,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
mixed ^jj+atrb++xvbn+=mixed
story ^nn++++=story
wot ^wpr++++=wot's
's ^vbz+bez+vrb++0=EXTRAWORD
comin ^nn+++??+=comin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="Wanst
wanst ^nn+++??+=EXTRAWORD
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
childer ^jjr++++=childer-books
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
recruity ^nn+nom+++=recruity."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
though ^rb+cnj+++=though?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ortheris ^np+++??+=Ortheris;
; ^zz++++=EXTRAWORD
" ^zz++++="now
now ^rn+tm+++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
extryordinary ^nn+nom+++=extryordinary!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Orth'ris,"
orth ^nn+++??+=EXTRAWORD
'ris," ^nn+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mulvaney ^np+++??+=Mulvaney,
, ^zz++++=EXTRAWORD
" ^zz++++="av
av ^nn++++=EXTRAWORD
you ^pp2+pp2+++=you
opin ^nn+++??+=opin
thim ^nn+++??+=thim
lips ^nns++++=lips
av ^nn++++=av
yours ^pp$$++++=yours
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
savin ^nn+++??+=savin'
' ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
presince ^nn+++??+=presince,
, ^zz++++=EXTRAWORD
sorr ^nn+++??+=sorr,
, ^zz++++=EXTRAWORD
take ^vb++++=take
you ^pp2+pp2+++=you
by ^in++++=by
the ^ati++++=the
slack ^jj+atrb+++=slack
av ^nn++++=av
your ^pp$+pp2+++=your
trousers ^nns+nom+++=trousers
and ^cc++++0=an'
heave ^nn++++=heave
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
mum ^nn++++=mum,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ortheris ^np+++??+=Ortheris.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot
wot ^wpr++++=EXTRAWORD
' ^zz++++='appened
appened ^jj+++xvbn+=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
was ^vbd+bedz+vrb++=was
a ^at++++=a
recruity ^nn+nom+++=recruity?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
betther ^jjr+atrb+++=betther
recruity ^nn+nom+++=recruity
than ^in++++=than
you ^pp2+pp2+++=you
iver ^jjr++++=iver
was ^vbd+bedz+aux++=was
or ^cc++++=or
will ^md+prd+++=will
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
neither ^dt++neg++=neither
here ^rn+pl+++=here
nor ^cc++neg++=nor
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Thin ^jj++++=Thin
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
divil ^nn+++??+=divil
of ^in++++=of
a ^at++++=a
man ^nn++++=man
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
fifteen ^cd++++=fifteen
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
called ^vbd+++xvbnx+=called
me ^pp1o+pp1+++=me
Buck ^nn++++=Buck
Mulvaney ^np+++??+=Mulvaney
in ^in++++=in
thim ^nn+++??+=thim
days ^nns++++=days,
, ^zz++++=EXTRAWORD
an ^at++++=an',
', ^nn+++??+=EXTRAWORD
begad ^nn+++??+=begad,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tuk ^nn+++??+=tuk
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
that ^dt+pdem+++=that!
! ^zz++++=EXTRAWORD
Ortheris ^np+++??+=Ortheris,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
scrub ^nn++++=scrub,
