( ^zz++++=(1854)SKETCH
all ^rb++++=all
other ^ap++++=other
cheerful ^jj+atrb+++=cheerful
fowl ^nn+++??+=fowl,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
all ^abn++++=all
about ^in++++=about
it ^pp3+it+++=it
wandring ^jj+atrb++xvbg+=wandring
ghosts ^nns++++=ghosts
did ^vbd+dod+vrb++=did
wayle ^nn+++??+=wayle
and ^cc++++=and
howl ^nn++++=howl."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Take ^vb++++=Take
five ^cd++++=five-and-twenty
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
heaps ^nns++++=heaps
of ^in++++=of
cinders ^nns+nom+++=cinders
dumped ^vbd+++xvbn+=dumped
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
in ^in++++=in
anoutside ^nn+++??+=anoutside
city ^nn++++=city
lot ^nn++++=lot;
; ^zz++++=EXTRAWORD
imagine ^vb+vprv+++=imagine
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
magnified ^vbd+++xvbn+=magnified
into ^in++++=into
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
andthe ^nn+++??+=andthe
vacant ^jj+atrb+++=vacant
lot ^nn++++=lot
the ^ati++++=the
sea ^nn++++=sea;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
have ^vb+hv+vrb++=have
a ^at++++=a
fit ^jj+atrb+++=fit
idea ^nn++++=idea
of ^in++++=of
the ^ati++++=the
generalaspect ^nn+++??+=generalaspect
of ^in++++=of
the ^ati++++=the
Encantadas ^np+++??+=Encantadas,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Enchanted ^xvbn+++xvbn+=Enchanted
Isles ^npls++++=Isles.
. ^zz++++=EXTRAWORD
A ^at++++=A
group ^nn++++=group
rather ^rb++++=rather
of ^in++++=of
extinctvolcanoes ^nns+++??+=extinctvolcanoes
than ^in++++=than
of ^in++++=of
isles ^npls++++=isles;
; ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
much ^ap++++=much
as ^ql++++=as
the ^ati++++=the
world ^nn++++=world
at ^rb++++=at
large ^rb"++++=large
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
aftera ^nn+++??+=aftera
penal ^jj+atrb+++=penal
conflagration ^nn+nom+++=conflagration.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi+vbi+aux++=be
doubted ^vpsv++agls+xvbnx+=doubted
whether ^cs+who+++=whether
any ^dti++++=any
spot ^nn++++=spot
of ^in++++=of
earth ^nn++++=earth
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
in ^in++++=in
desolateness,furnish ^jj++++=desolateness,furnish
a ^at++++=a
parallel ^nn++++=parallel
to ^in++++=to
this ^dt+dem+++=this
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Abandoned ^jj+atrb++xvbn+=Abandoned
cemeteries ^nns+nom+++=cemeteries
of ^in++++=of
long ^jj++++=long
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
oldcities ^nns+nom+++=oldcities
by ^in++++=by
piecemeal ^nn+nom+++=piecemeal
tumbling ^vbg+nom++xvbg+=tumbling
to ^in+ppvb+++=to
their ^pp$+pp3+++=their
ruin ^nn++++=ruin,
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
are ^vb+ber+vrb++=are
melancholy ^jj+atrb+++=melancholy
enough;but ^nn+++??+=enough;but,
, ^zz++++=EXTRAWORD
like ^in++++=like
all ^abn++++=all
else ^rb+cnj+++=else
which ^whp+who+++=which
has ^vbz+hvz+aux++=has
but ^cc++++=but
once ^rb+tm+++=once
been ^vprf+ben+aux+xvbn+=been
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
humanity,they ^nn+++??+=humanity,they
still ^rb++++=still
awaken ^vb++++=awaken
in ^in++++=in
us ^pp1o+pp1+++=us
some ^dti++++=some
thoughts ^nns++++=thoughts
of ^in++++=of
sympathy ^nn++++=sympathy,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
sad ^jj++++=sad.
. ^zz++++=EXTRAWORD
Hence,even ^np+++??+=Hence,even
the ^ati++++=the
Dead ^jj+atrb+++=Dead
Sea ^nn++++=Sea,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
whatever ^nn+nom+++=whatever
other ^ap++++=other
emotions ^nns+nom+++=emotions
it ^pp3+it+++=it
may ^md+pos+++=may
at ^rb++++=at
timesinspire ^nn+++??+=timesinspire,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
fail ^vb++++=fail
to ^to+vcmp+++=to
touch ^vbi++++=touch
in ^in++++=in
the ^ati++++=the
pilgrim ^nn++++=pilgrim
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
lessunpleasurable ^jj+atrb+++=lessunpleasurable
feelings ^nns+nom+++=feelings.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^in++++=as
for ^in"++++=for
solitariness ^nns+nom+++=solitariness;
; ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
forests ^nns++++=forests
of ^in++++=of
the ^ati++++=the
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
the ^ati++++=the
expanses ^nn++++=expanses
ofunnavigated ^vbd+++xvbn+=ofunnavigated
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Greenland ^np++++=Greenland
ice ^nn++++=ice-fields,
- ^zz++++=EXTRAWORD
fields ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
profoundest ^jjt+atrb+++=profoundest
ofsolitudes ^nns+++??+=ofsolitudes
to ^in++++=to
a ^at++++=a
human ^jj+atrb+++=human
observer ^nn+nom+++=observer;
; ^zz++++=EXTRAWORD
still ^rb++++=still
the ^ati++++=the
magic ^nn++++=magic
of ^in++++=of
their ^pp$+pp3+++=their
changeable ^jj+atrb+++=changeable
tidesand ^nn+++??+=tidesand
seasons ^nns++++=seasons
mitigates ^nns+nom+++=mitigates
their ^pp$+pp3+++=their
terror ^nn++++=terror;
; ^zz++++=EXTRAWORD
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
unvisited ^vpsv++by+xvbn+=unvisited
by ^in++++=by
men,those ^nn+++??+=men,those
forests ^nns++++=forests
are ^vb+ber+aux++=are
visited ^vpsv++by+xvbnx+=visited
by ^in++++=by
the ^ati++++=the
May ^md+pos+++=May;
; ^zz++++=EXTRAWORD
the ^ati++++=the
remotest ^jjt+atrb+++=remotest
seas ^nns++++=seas
reflect ^vb+vprv+++=reflect
familiarstars ^nns+++??+=familiarstars
even ^rb++++=even
as ^ql++++=as
Lake ^npl++++=Lake
Erie ^np+++??+=Erie
does ^vbz+doz+vrb++=does;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
clear ^jj+atrb+++=clear
air ^nn++++=air
of ^in++++=of
a ^at++++=a
fine ^jj+atrb+++=fine
Polar ^nn++++=Polar
day,the ^jj+++??+=day,the
irradiated ^vwbn+++xvbn+=irradiated,
, ^zz++++=EXTRAWORD
azure ^nn+++??+=azure
ice ^nn++++=ice
shows ^nns++++=shows
beautifully ^rb++++=beautifully
as ^in++++=as
malachite ^nn++++=malachite.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
special ^jj+atrb+++=special
curse ^nn++++=curse,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^cd1++++=one
may ^md+pos+++=may
call ^vb++++=call
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Encantadas ^np+++??+=Encantadas,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
whichexalts ^nns+++??+=whichexalts
them ^pp3o+pp3+++=them
in ^in++++=in
desolation ^nn+nom+++=desolation
above ^jjb++++=above
Idumea ^np+++??+=Idumea
and ^cc++++=and
the ^ati++++=the
Pole ^nn++++=Pole,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
to ^in++++=to
themchange ^nn+++??+=themchange
never ^rb++++=never
comes ^vbz++++=comes;
; ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
the ^ati++++=the
change ^nn++++=change
of ^in++++=of
seasons ^nns++++=seasons
nor ^cc++neg++=nor
of ^in++++=of
sorrows ^nns++++=sorrows.
. ^zz++++=EXTRAWORD
Cut ^jj+atrb++xvbn+=Cut
bythe ^nn+++??+=bythe
Equator ^np++++=Equator,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
know ^vb+vprv+++=know
not ^xnot++not++=not
autumn ^nn++++=autumn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
know ^vb+vprv+++=know
not ^xnot++not++=not
spring ^nn++++=spring;
; ^zz++++=EXTRAWORD
whilealready ^jj+++??+=whilealready
reduced ^jj+++xvbn+=reduced
to ^in++++=to
the ^ati++++=the
lees ^np++++=lees
of ^in++++=of
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
ruin ^nn++++=ruin
itself ^ppl++++=itself
can ^md+pos+++=can
work ^vb++++=work
little ^ap++++=little
moreupon ^nn+++??+=moreupon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
showers ^nns+nom+++=showers
refresh ^vb++++=refresh
the ^ati++++=the
deserts ^vbz++++=deserts;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
these ^dt+dem+++=these
isles ^npls++++=isles,
, ^zz++++=EXTRAWORD
rainnever ^jjr++++=rainnever
falls ^vbz++++=falls.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
split ^xvbn+++xvbn+=split
Syrian ^np+++??+=Syrian
gourds ^vbz+++??+=gourds
left ^vbd+++xvbn+=left
withering ^jj++++=withering
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
theyare ^vb+++??+=theyare
cracked ^vpsv++by+xvbn+=cracked
by ^in++++=by
an ^at++++=an
everlasting ^jj+atrb+++=everlasting
drought ^nn++++=drought
beneath ^in+pl+++=beneath
a ^at++++=a
torrid ^jj+atrb+++=torrid
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
mercyupon ^nn+++??+=mercyupon
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
wailing ^jj+atrb++xvbg+=wailing
spirit ^nn++++=spirit
of ^in++++=of
the ^ati++++=the
Encantadas ^np+++??+=Encantadas
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
cry ^vbi++++=cry,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
sendlazarus ^nns+++??+=sendLazarus
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
may ^md+pos+++=may
dip ^vb++++=dip
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
his ^pp$+pp3+++=his
finger ^nn++++=finger
in ^in++++=in
water ^nn++++=water
and ^cc++++=and
cool ^vb++++=cool
mytongue ^nn+++??+=mytongue,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
tormented ^vpsv++agls+xvbnx+=tormented
in ^in++++=in
this ^dt+dem+++=this
flame ^nn++++=flame."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Another ^dt++++=Another
feature ^nn++++=feature
in ^in++++=in
these ^dt+dem+++=these
isles ^npls++++=isles
is ^vbz+bez+vrb++=is
their ^pp$+pp3+++=their
emphatic ^jj+atrb+++=emphatic
uninhabitableness ^nns+nom+++=uninhabitableness.
. ^zz++++=EXTRAWORD
Itis ^np+++??+=Itis
deemed ^vwbn+++xvbn+=deemed
a ^at++++=a
fit ^jj+atrb+++=fit
type ^nn++++=type
of ^in++++=of
all ^abn++++=all-forsaken
- ^zz++++=EXTRAWORD
forsaken ^jj+atrb+++=EXTRAWORD
overthrow ^nn++++=overthrow,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
jackal ^nn++++=jackal
shouldden ^vbd+++xvbn+=shouldden
in ^in++++=in
the ^ati++++=the
wastes ^nns++++=wastes
of ^in++++=of
weedy ^jj+atrb+++=weedy
Babylon ^np++++=Babylon;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Encantadas ^np+++??+=Encantadas
refuse ^vb++++=refuse
to ^to+vcmp+++=to
harboreven ^vbi++++=harboreven
the ^ati++++=the
outcasts ^nns++++=outcasts
of ^in++++=of
the ^ati++++=the
beasts ^nns++++=beasts.
. ^zz++++=EXTRAWORD
Man ^nn++++=Man
and ^cc++++=and
wolf ^nn++++=wolf
alike ^rb++++=alike
disown ^vb++++=disown
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Littlebut ^np+++??+=Littlebut
reptile ^nn+++??+=reptile
life ^nn++++=life
is ^vbz+bez+aux++=is
here ^rn+pl+splt++=here
found ^vpsv++agls+xvbnx+=found:
: ^zz++++=EXTRAWORD
tortoises ^vbz++++=tortoises,
, ^zz++++=EXTRAWORD
lizards ^nns++++=lizards,
, ^zz++++=EXTRAWORD
immense ^jj+atrb+++=immense
spiders,snakes ^nns+++??+=spiders,snakes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
strangest ^jjt++++=strangest
anomaly ^jj++++=anomaly
of ^in++++=of
outlandish ^jj+atrb+++=outlandish
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
the ^ati++++=the
_aguano_.no ^np++++=_aguano_.No
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
no ^at++++=no
low ^jj++++=low,
, ^zz++++=EXTRAWORD
no ^at++++=no
howl ^nn++++=howl
is ^vbz+bez+aux++=is
heard ^vpsv++agls+xvbnx+=heard;
; ^zz++++=EXTRAWORD
the ^ati++++=the
chief ^jjb+atrb+++=chief
sound ^nn++++=sound
of ^in++++=of
life ^nn++++=life
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
ahiss ^nns+++??+=ahiss.
. ^zz++++=EXTRAWORD
On ^in++++=On
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
isles ^npls++++=isles
where ^wrb+who+++=where
vegetation ^nn+nom+++=vegetation
is ^vbz+bez+aux++=is
found ^vpsv++agls+xvbnx+=found
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
moreungrateful ^jj+pred+++=moreungrateful
than ^in++++=than
the ^ati++++=the
blankness ^nns+nom+++=blankness
of ^in++++=of
Aracama ^np+++??+=Aracama.
. ^zz++++=EXTRAWORD
Tangled ^jj+atrb+++=Tangled
thickets ^nns+++??+=thickets
of ^in++++=of
wirybushes ^nns+++??+=wirybushes,
, ^zz++++=EXTRAWORD
without ^in++++=without
fruit ^nn++++=fruit
and ^cc++++=and
without ^in++++=without
a ^at++++=a
name ^nn++++=name,
, ^zz++++=EXTRAWORD
springing ^vbg+++xvbg+=springing
up ^rp++++=up
among ^in++++=among
deepfissures ^nns+++??+=deepfissures
of ^in++++=of
calcined ^vbd+++xvbn+=calcined
rock ^npl++++=rock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
treacherously ^jj++++=treacherously
masking ^jj+++xvbg+=masking
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
parchedgrowth ^nn+++??+=parchedgrowth
of ^in++++=of
distorted ^xvbn+++xvbn+=distorted
cactus ^nns+++??+=cactus
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
In ^in++++=In
many ^ap++++=many
places ^nns++++=places
the ^ati++++=the
coast ^nn++++=coast
is ^vbz+bez+vrb++=is
rock ^nn++++=rock-bound,
- ^zz++++=EXTRAWORD
bound ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
more ^ql++++=more
properly,clinker ^jjr++++=properly,clinker-bound;
- ^zz++++=EXTRAWORD
bound ^vbd+++xvbn+=EXTRAWORD
; ^zz++++=EXTRAWORD
tumbled ^jj+atrb++xvbn+=tumbled
masses ^nns++++=masses
of ^in++++=of
blackish ^jj+atrb+++=blackish
or ^cc+phrs+++=or
greenish ^jj+atrb+++=greenish
stuff ^nn++++=stuff
like ^in++++=like
thedross ^nns+++??+=thedross
of ^in++++=of
an ^at++++=an
iron ^nn++++=iron-furnace,
- ^zz++++=EXTRAWORD
furnace ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forming ^vbg+++xvbg+=forming
dark ^jj+atrb+++=dark
clefts ^nns++++=clefts
and ^cc++++=and
caves ^nns++++=caves
here ^rn+pl+++=here
and ^cc++++=and
there,into ^nn+++??+=there,into
which ^whp+rel+obj++=which
a ^at++++=a
ceaseless ^jj+atrb+++=ceaseless
sea ^nn++++=sea
pours ^vbz++++=pours
a ^at++++=a
fury ^nn++++=fury
of ^in++++=of
foam ^nn++++=foam;
; ^zz++++=EXTRAWORD
overhanging ^jj++++=overhanging
them ^pp3o+pp3+++=them
with ^in++++=with
aswirl ^nn+++??+=aswirl
of ^in++++=of
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
haggard ^jj+atrb+++=haggard
mist ^nn++++=mist,
, ^zz++++=EXTRAWORD
amidst ^in++++=amidst
which ^whp+rel+pied++=which
sail ^vb++++=sail
screaming ^jj+atrb++xvbg+=screaming
flights ^nns++++=flights
ofunearthly ^jj+atrb+++=ofunearthly
birds ^nns++++=birds
heightening ^vwbg+++xvbg+=heightening
the ^ati++++=the
dismal ^jj+atrb+++=dismal
din ^nn+++??+=din.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However
calm ^nn++++=calm
the ^ati++++=the
seawithout ^nn+++??+=seawithout,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
rest ^nn++++=rest
for ^in++++=for
these ^dt+dem+++=these
swells ^nns++++=swells
and ^cc++++=and
those ^dt+dem+++=those
rocks ^nns++++=rocks;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
lashand ^nn+++??+=lashand
are ^vb+ber+aux++=are
lashed ^vpsv++agls+xvbnx+=lashed,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
the ^ati++++=the
outer ^jjb+atrb+++=outer
ocean ^nn++++=ocean
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
at ^rb++++=at
peace ^nn++++=peace
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
itself.on ^nn+++??+=itself.On
the ^ati++++=the
oppressive ^jj+atrb+++=oppressive,
, ^zz++++=EXTRAWORD
clouded ^jj+atrb++xvbn+=clouded
days ^nns++++=days,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
are ^vb+ber+vrb++=are
peculiar ^jj+pred+++=peculiar
to ^in++++=to
this ^dt+dem+++=this
part ^nn++++=part
ofthe ^nn+++??+=ofthe
watery ^jj+atrb+++=watery
Equator ^np++++=Equator,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
vitrified ^jj+atrb++xvbn+=vitrified
masses ^nns++++=masses,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
which ^whp+rel+pied++=which
raisethemselves ^nns+++??+=raisethemselves
among ^in++++=among
white ^jj+atrb+++=white
whirlpools ^nns+++??+=whirlpools
and ^cc++++=and
breakers ^nns+nom+++=breakers
in ^in++++=in
detached ^jj+++xvbn+=detached
and ^cc++++=and
perilousplaces ^nns+++??+=perilousplaces
off ^in+pl+++=off
the ^ati++++=the
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
present ^vb++++=present
a ^at++++=a
most ^ql+emph+++=most
Plutonian ^np+++??+=Plutonian
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
In ^in++++=In
no ^at++++=no
world ^nn++++=world
but ^cc++++=but
afallen ^jj+atrb++xvbn+=afallen
one ^cd1++++=one
could ^md+pos+++=could
such ^abl++++=such
lands ^nns++++=lands
exist ^vb++++=exist.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
strand ^nn++++=strand
free ^jj++++=free
from ^in++++=from
the ^ati++++=the
marks ^nns++++=marks
of ^in++++=of
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
stretch ^nn++++=stretch
away ^rp+pl+++=away
inwide ^jj+atrb++??+=inwide
level ^nn++++=level
beaches ^nns++++=beaches
of ^in++++=of
multitudinous ^jj+atrb+++=multitudinous
dead ^jj+atrb+++=dead
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
with ^in++++=with
here ^rn+pl+++=here
and ^cc++++=and
theredecayed ^jj+atrb++xvbn+=theredecayed
bits ^nns++++=bits
of ^in++++=of
sugar ^nn++++=sugar-cane,
- ^zz++++=EXTRAWORD
cane ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
bamboos ^nns+++??+=bamboos,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cocoanuts ^nns+++??+=cocoanuts,
, ^zz++++=EXTRAWORD
washed ^xvbn+++xvbn+=washed
upon ^in++++=upon
thisother ^jjr+atrb+++=thisother
and ^cc+phrs+++=and
darker ^jjr+atrb+++=darker
world ^nn++++=world
from ^in++++=from
the ^ati++++=the
charming ^jj+++xvbg+=charming
palm ^np++++=palm
isles ^npls++++=isles
to ^in++++=to
the ^ati++++=the
westward ^nn++++=westward
andsouthward ^rb++++=andsouthward;
; ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way
from ^in++++=from
Paradise ^nn++++=Paradise
to ^in++++=to
Tartarus ^np++++=Tartarus;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
mixed ^vwbn+++xvbn+=mixed
with ^in++++=with
therelics ^nns++++=therelics
of ^in++++=of
distant ^jj+atrb+++=distant
beauty ^nn++++=beauty
you ^pp2+pp2+++=you
will ^md+prd+++=will
sometimes ^rb++splt++=sometimes
see ^vb+vprv+++=see
fragments ^nns+nom+++=fragments
of ^in++++=of
charredwood ^nn+++??+=charredwood
and ^cc++++=and
mouldering ^jj+atrb+++=mouldering
ribs ^nns++++=ribs
of ^in++++=of
wrecks ^nns++++=wrecks.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
will ^md+prd+++=will
any ^dti++++=any
one ^cd1++++=one
be ^vb+be+aux++=be
surprised ^vpsv++agls+xvbnx+=surprised
atmeeting ^jj+++xvbg+=atmeeting
