One ^pn++++=One
or ^cc++++=or
sorry ^uh++++=sorry
for ^in++++=for
some ^dti++++=some
appreciable ^jj+atrb+++=appreciable
cause ^nn++++=cause
in ^in++++=in
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
present ^vb++++=present,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
capable ^jj+pred+++=capable
of ^in++++=of
being ^xvbg+++xvbg+=being
definitely ^rb++++=definitely
stated ^vpsv++agls+xvbn+=stated;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
black ^np++++=black
Caesar ^np++++=Caesar
was ^vbd+bedz+vrb++=was
in ^in++++=in
an ^at++++=an
eternal ^jj+atrb+++=eternal
giggle ^nn++++=giggle
and ^cc++++=and
frizzle ^nn+++??+=frizzle
and ^cc++++=and
simmer ^vb++++=simmer
of ^in++++=of
enjoyment ^nn+nom+++=enjoyment
for ^in++++=for
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
could ^md+pos+++=could
give ^vb++++=give
no ^at++++=no
earthly ^jj+atrb+++=earthly
reason ^nn++++=reason:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
an ^at++++=an
" ^zz++++="embodied
embodied ^vbd+++xvbn+=EXTRAWORD
joy ^nn++++=joy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
like ^in++++=like
Shelley ^np++++=Shelley's
's ^$++++=EXTRAWORD
skylark ^nn+++??+=skylark.
. ^zz++++=EXTRAWORD
" ^zz++++="Jest
jest ^rb++++=EXTRAWORD
hear ^vb+vprv+++=hear
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sam ^nn++++=Sam
Lawson ^np++++=Lawson,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
pensively ^jj++++=pensively
over ^in++++=over
the ^ati++++=the
hay ^nn++++=hay-mow,
- ^zz++++=EXTRAWORD
mow ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strewing ^xvbg+++xvbg+=strewing
hayseed ^vwbn+++xvbn+=hayseed
down ^rp++++=down
on ^in++++=on
his ^pp$+pp3+++=his
wool ^nn++++=wool.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
that ^cs+sub+++=that
' ^zz++++='are
are ^vb+ber+aux++=EXTRAWORD
critter ^jjr+pred+++=critter
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
tickle ^vbi+++??+=tickle
and ^cc++++=and
laugh ^nn++++=laugh
all ^abn++++=all
the ^ati++++=the
while ^cs+sub+++=while
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
nothin ^nn+++??+=nothin'.
'. ^nn+++??+=EXTRAWORD
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
seem ^vb+seem+++=seem
never ^rb++++=never
to ^to++++=to
consider ^nn+nom+++=consider
that ^tht+vcmp+++=that
' ^zz++++='this
this ^dt+dem+++=EXTRAWORD
life ^nn++++=life's
's ^$++++=EXTRAWORD
a ^at++++=a
dream ^nn++++=dream,
, ^zz++++=EXTRAWORD
an ^at++++=an
empty ^jj+atrb+++=empty
show. ^nn+++??+=show.'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Sam ^np++++=Sam,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
broke ^vbd+++xvbn+=broke
in ^rb+cnj+++=in,
, ^zz++++=EXTRAWORD
anxious ^jj++++=anxious
to ^to+jcmp+++=to
cut ^vbi++++=cut
short ^jj++++=short
a ^at++++=a
threatened ^jj+atrb++xvbn+=threatened
stream ^nn++++=stream
of ^in++++=of
morality ^nn+nom+++=morality,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
promised ^vbd+++xvbn+=promised
to ^to+vcmp+++=to
tell ^vbi++++=tell
us ^pp1o+pp1+++=us
about ^in++++=about
Capt ^npt++++=Capt.
. ^zz++++=EXTRAWORD
Kidd ^np+++??+=Kidd,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
you ^pp2+pp2+++=you
dug ^vbd+++xvbn+=dug
for ^in++++=for
his ^pp$+pp3+++=his
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now?
? ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
' ^zz++++='are
are ^vb+ber+vrb++=EXTRAWORD
history ^nn++++=history
of ^in++++0=o'
Kidd ^np++++=Kidd's
's ^$++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
warnin ^nn+++??+=warnin'
' ^zz++++=EXTRAWORD
to ^in++++=to
fellers ^nns+nom+++=fellers.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
Kidd ^np+++??+=Kidd
had ^vb+hv+vrb++=had
pious ^jj+atrb+++=pious
parents ^nns++++=parents
and ^cc++++=and
Bible ^nn++++=Bible
and ^cc++++=and
sanctuary ^nn+nom+++=sanctuary
privileges ^nns++++=privileges
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
come ^vprf+++xvbn+=come
to ^to++++=to
be ^vbi+vbi+aux++=be
hanged ^vpsv++agls+xvbnx+=hanged.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all
in ^in++++=in
this ^dt+dem+++=this
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
song ^nn++++=song
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
sing ^vbi++++=sing
ye ^pp2+pp2+++=ye.
. ^zz++++=EXTRAWORD
Lordy ^np+++??+=Lordy
massy ^nn+++??+=massy!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
my ^pp$+pp1+++=my
bass ^nn++++=bass-viol
- ^zz++++=EXTRAWORD
viol ^nn+++??+=EXTRAWORD
now. ^nn+++??+=now.--Caesar,"
-- ^--+clp+++=EXTRAWORD
caesar ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
calling ^vbg+nom++xvbg+=calling
down ^rp++++=down
from ^in++++=from
his ^pp$+pp3+++=his
perch ^nn++++=perch,
, ^zz++++=EXTRAWORD
" ^zz++++="can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
strike ^vb++++=strike
the ^ati++++=the
pitch ^nn++++=pitch
of ^in++++0=o'
' ^zz++++='Cap'n
cap ^nn++++=EXTRAWORD
'n ^nn+++??+=EXTRAWORD
Kidd ^np+++??+=Kidd,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
on ^in++++=on
your ^pp$+pp2+++=your
fiddle ^nn++++=fiddle?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Caesar ^np++++=Caesar's
's ^$++++=EXTRAWORD
fiddle ^nn++++=fiddle
was ^vbd+bedz+vrb++=was
never ^rb++++=never
far ^rb+pl+++=far
from ^rb"++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
tucked ^j+++xvbn+=tucked
away ^rp+pl+++=away
in ^in++++=in
a ^at++++=a
nice ^jj+atrb+++=nice
little ^jj+atrb+++=little
nook ^nn++++=nook
just ^rb+emph+++=just
over ^in++++=over
the ^ati++++=the
manger ^&fw++++=manger;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
often ^rb++++=often
caught ^vbd+++xvbn+=caught
an ^at++++=an
interval ^nn+nom+++=interval
from ^in++++=from
his ^pp$+pp3+++=his
work ^nn++++=work
to ^to++++=to
scrape ^vbi++++=scrape
a ^at++++=a
dancing ^jj+++xvbg+=dancing-tune
- ^zz++++=EXTRAWORD
tune ^nn++++=EXTRAWORD
on ^in++++=on
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
time ^nn++++=time
with ^in++++=with
his ^pp$+pp3+++=his
heels ^nns++++=heels,
, ^zz++++=EXTRAWORD
to ^in++++=to
our ^pp$+pp1+++=our
great ^jj+atrb+++=great
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
A ^at++++=A
most ^ql+emph+++=most
wailing ^jj+++xvbg+=wailing
minor ^jj++++=minor-keyed
- ^zz++++=EXTRAWORD
keyed ^vbd+++xvbn+=EXTRAWORD
tune ^nn++++=tune
was ^vbd+bedz+aux++=was
doled ^vpsv++agls+xvbnx+=doled
forth ^np++++=forth,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
quite ^rb++++=quite
refreshing ^jj++++=refreshing
to ^in++++=to
Sam ^np++++=Sam's
's ^$++++=EXTRAWORD
pathetic ^jj+atrb+++=pathetic
vein ^nn++++=vein,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
in ^in++++=in
his ^pp$+pp3+++=his
most ^ap+emph+++=most
lugubrious ^jj+atrb+++=lugubrious
tones,-" ^nn+++??+=tones,-"'My
'my ^nn++be+??+0=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Robert ^np++++=Robert
Kidd ^np+++??+=Kidd
As ^ql++++=As
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed,
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Robert ^np++++=Robert
Kidd ^np+++??+=Kidd;
; ^zz++++=EXTRAWORD
God ^np++++=God's
's ^$++++=EXTRAWORD
laws ^nns++++=laws
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
forbid ^vb+vsua+++=forbid,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^rb++++=so
wickedly ^rb++++=wickedly
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
tell ^vbi++++=tell
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
abused ^vbd+++xvbnx+=abused
his ^pp$+pp3+++=his
religious ^jj+atrb+++=religious
privileges ^nns++++=privileges;
; ^zz++++=EXTRAWORD
just ^rb+emph+++=just
hear ^vb+vprv+++=hear
now:-" ^nn+++??+=now:-"'My
'my ^nn++be+??+0=EXTRAWORD
father ^nn++++=father
taught ^vwbn+vsua++xvbn+=taught
me ^pp1o+pp1+++=me
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed;
; ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
taught ^vwbn+vsua++xvbn+=taught
me ^pp1o+pp1+++=me
well ^rb++++=well
To ^to++++=To
shun ^vbi++++=shun
the ^ati++++=the
gates ^nns++++=gates
of ^in++++=of
hell ^nn++++=hell,
, ^zz++++=EXTRAWORD
But ^cc+cls+++=But
yet ^rb++++=yet
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
rebel ^nn++++=rebel,
, ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed.
. ^zz++++=EXTRAWORD
" ^zz++++="'He
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
put ^vbd+++xvbnx+=put
a ^at++++=a
Bible ^nn++++=Bible
in ^in++++=in
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed;
; ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
a ^at++++=a
Bible ^nn++++=Bible
in ^in++++=in
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
sunk ^vbd+++xvbnx+=sunk
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
sand ^nn++++=sand
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
the ^ati++++=the
strand ^nn++++=strand,
, ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
ye ^pp2+pp2+++=ye
ever ^rb++++=ever
hear ^vb+vprv+++=hear
of ^in++++0=o'
such ^abl++++=such
a ^at++++=a
hardened ^jj+++xvbn+=hardened,
, ^zz++++=EXTRAWORD
contrary ^nn+nom+++=contrary
critter ^jjr++++=critter,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
awful ^jj++++=awful
to ^to++++=to
think ^vbi+vprv+++=think
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
' ^zz++++='are's
are ^vb+ber+vrb++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
fellers ^nns+nom+++=fellers
allers ^nn++++=allers
begin ^vb++++=begin
the ^ati++++=the
ways ^nns++++=ways
of ^in++++0=o'
sin ^nn++++=sin,
, ^zz++++=EXTRAWORD
by ^in++++=by
turnin ^nn+++??+=turnin'
' ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
backs ^nns++++=backs
on ^in++++=on
the ^ati++++=the
Bible ^nn++++=Bible
and ^cc++++=and
the ^ati++++=the
advice ^nn++++=advice
of ^in++++0=o'
piousparents ^nns+++??+=piousparents.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
hear ^vb+vprv+++=hear
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
come ^vprf+++xvbn+=come
to:-" ^nn+++??+=to:-"'Then
'then ^vbd+++xvbn+0=EXTRAWORD
I ^pp1a+pp1+++=I
murdered ^vbd+++xvbnx+=murdered
William ^np++++=William
More ^rbr++++=More,
, ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
murdered ^vbd+++xvbnx+=murdered
William ^np++++=William
More ^rbr++++=More,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
left ^jj+++xvbn+=left
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
gore ^np++++=gore,
, ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
many ^ap++++=many
leagues ^nns++++=leagues
from ^in++++=from
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
sailed ^vbd+++xvbnx+=sailed.
. ^zz++++=EXTRAWORD
" ^zz++++="'To
' ^zz++++=EXTRAWORD
to ^in++++=EXTRAWORD
execution ^nn+nom+++=execution
dock ^nn++++=dock
I ^pp1a+pp1+++=I
must ^md+nec+++=must
go ^vb++++=go,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
go ^vb++++=go.
. ^zz++++=EXTRAWORD
To ^in++++=To
execution ^nn+nom+++=execution
dock ^nn++++=dock,
, ^zz++++=EXTRAWORD
While ^cs+sub+++=While
thousands ^cds++++=thousands
round ^rp++++=round
me ^pp1o+pp1+++=me
flock ^nn++++=flock,
, ^zz++++=EXTRAWORD
To ^to++++=To
see ^vbi+vprv+++=see
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
block ^nn++++=block,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
go ^vb++++=go,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
go ^vb++++=go.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
more ^rbr++++=more
o ^zz++++=on't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Sam ^nn++++=Sam,
, ^zz++++=EXTRAWORD
pausing ^vbg+++xvbg+=pausing,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
remember ^nn+nom+++=remember
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
real ^rb+emph+++=real
solemn ^jj++++=solemn
and ^cc++++=and
affectin ^nn+++??+=affectin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="Who
