Slowly ^rb+cnj+++=Slowly,
bourgeoisie ^jj+atrb++??+=bourgeoisie
vocalisation ^nn+nom+++=vocalisation
of ^in++++=of
the ^ati++++=the
foot ^nn++++=foot
passengers ^nns+nom+++=passengers
who ^whp+rel+subj++=who
streamed ^vprf+++xvbn+=streamed
along ^in++++=along
and ^cc++++=and
hummed ^vbd+++xvbn+=hummed
little ^jj+atrb+++=little
bits ^nns++++=bits
of ^in++++=of
music ^nn++++=music.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fog ^nn++++=fog's
's ^$++++=EXTRAWORD
denseness ^nns+nom+++=denseness
was ^vbd+bedz+aux++=was
confusing ^vbg+++xvbgx+=confusing,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
one ^cd1++++=one
moment ^nn++++=moment
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
the ^ati++++=the
little ^ap++++=little
narrow ^jj+atrb+++=narrow
street ^nn++++=street
would ^md+prd+++=would
become ^vb++++=become
inextricably ^rb++++=inextricably
choked ^jj+++xvbn+=choked
and ^cc++++=and
remain ^vb++++=remain
so ^ql++++=so
until ^cs+sub+++=until
some ^dti++++=some
mighty ^jj+atrb+++=mighty
engine ^nn++++=engine
would ^md+prd+++=would
blow ^vb++++=blow
the ^ati++++=the
crowd ^nn++++=crowd
into ^in++++=into
atoms ^nns++++=atoms.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
crowded ^jj+atrb++xvbn+=crowded
night ^nn++++=night.
. ^zz++++=EXTRAWORD
From ^in++++=From
around ^in++++=around
Toulouse ^np+++??+=Toulouse
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
led ^vbd+++xvbn+=led
the ^ati++++=the
entrance ^nn+nom+++=entrance
to ^in++++=to
the ^ati++++=the
troisiemes ^nns+++??+=troisiemes,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
grand ^jj+atrb+++=grand
stairway ^nn++++=stairway,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
entrance ^nn+nom+++=entrance
to ^in++++=to
the ^ati++++=the
quatriemes ^nns+++??+=quatriemes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
human ^jj+atrb+++=human
stream ^nn++++=stream
poured ^vbd+++xvbn+=poured
into ^in++++=into
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
all ^rb++++=all
with ^in++++=with
a ^at++++=a
song ^nn++++=song
on ^in++++=on
their ^pp$+pp3+++=their
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
blinking ^vbg+++xvbg+=blinking
at ^in++++=at
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
ladies ^nns++++=ladies
in ^in++++=in
their ^pp$+pp3+++=their
carriages ^nns+nom+++=carriages.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
exchanged ^vbd+++xvbnx+=exchanged
a ^at++++=a
hearty ^jj+atrb+++=hearty
salutation ^nn+nom+++=salutation
with ^in++++=with
the ^ati++++=the
saloon ^nn++++=saloon-keeper
- ^zz++++=EXTRAWORD
keeper ^nn++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
tenderly ^rb++++=tenderly
carrying ^vbg+++xvbg+=carrying
his ^pp$+pp3+++=his
violin ^nn++++=violin
case ^nn++++=case,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
trudged ^vbd+++xvbnx+=trudged
down ^rp++++=down
Bourbon ^np+++??+=Bourbon
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
old ^jj++++=old,
, ^zz++++=EXTRAWORD
bent ^jj+atrb++xvbn+=bent,
, ^zz++++=EXTRAWORD
withered ^jj+atrb++xvbn+=withered
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
with ^in++++=with
shoulders ^nns+nom+++=shoulders
shrugged ^vbd+++xvbn+=shrugged
up ^rp++++=up
to ^to++++=to
keep ^vbi++++=keep
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
faded ^jj+atrb++xvbn+=faded
brown ^jj+atrb+++=brown
overcoat ^nn++++=overcoat
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
thick ^jj++++=thick
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
Down ^rp++++=Down
on ^in++++=on
Bayou ^np+++??+=Bayou
Road ^nn++++=Road,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
so ^rb++++=so
far ^rb+pl+++=far
from ^rb"++++=from
Claiborne ^np+++??+=Claiborne
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
house ^nn++++=house,
, ^zz++++=EXTRAWORD
little ^ap++++=little
and ^cc++++=and
old ^jj++++=old
and ^cc+phrs+++=and
queer ^jj++++=queer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
quite ^rb++++=quite
large ^jj++++=large
enough ^qlp++++=enough
to ^to++++=to
hold ^vbi+vprv+++=hold
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier,
, ^zz++++=EXTRAWORD
a ^at++++=a
wrinkled ^vwbn+++xvbn+=wrinkled
dame ^np++++=dame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
white ^jj+atrb+++=white
cat ^nn++++=cat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
home ^nr++++=home
but ^cc++++=but
little ^jj++++=little,
, ^zz++++=EXTRAWORD
for ^in++++=for
on ^in++++=on
nearly ^rb+down+++=nearly
every ^at++++=every
day ^nn++++=day
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
rehearsals ^nns+nom+++=rehearsals;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
on ^in++++=on
Tuesday ^nr++++=Tuesday,
, ^zz++++=EXTRAWORD
Thursday ^nr++++=Thursday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saturday ^nr++++=Saturday
nights ^nns++++=nights,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twice ^rb++++=twice
Sundays ^nrs++++=Sundays
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
performances ^nns+nom+++=performances,
, ^zz++++=EXTRAWORD
so ^ql++++=so
Ma ^npt++++=Ma'am
'am ^nn+++??+=EXTRAWORD
Jeanne ^np++++=Jeanne
and ^cc++++=and
the ^ati++++=the
white ^jj+atrb+++=white
cat ^nn++++=cat
kept ^vbd+++xvbn+=kept
house ^npl++++=house
almost ^rb+hdg+++=almost
always ^rb++++=always
alone ^jj++++=alone.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
was ^vbd+bedz+vrb++=was
at ^rb++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
practice ^nn++++=practice
all ^rb++++=all
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
snore ^vb++++=snore,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep
at ^rb++++=at
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Altogether ^rb+cnj+++=Altogether
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
very ^ql+amp+++=very
exhilarating ^nvbg+++xvbg+=exhilarating.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
had ^vbd+hvd+aux++=had
played ^vprf+++xvbnx+=played
first ^rb++++=first
violin ^nn++++=violin
in ^in++++=in
the ^ati++++=the
orchestra ^nn++++=orchestra
ever ^rb++++=ever
since ^in++++=since--well,
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
remembered ^vbd+vprv++xvbn+=remembered
his ^pp$+pp3+++=his
not ^xnot++not++=not
playing ^vbg+++xvbg+=playing
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
there ^ex+pex+++=there
would ^md+prd+++=would
come ^vprf+++xvbn+=come
breaks ^vbz++++=breaks
in ^rb+phrv+++=in
the ^ati++++=the
seasons ^nns++++=seasons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^at++++=a
year ^nn++++=year
the ^ati++++=the
great ^jj++++=great
building ^jj+++xvbg+=building
would ^md+prd+++=would
be ^vb+be+vrb++=be
dark ^jj+pred+++=dark
and ^cc+phrs+++=and
silent ^jj++++=silent.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
would ^md+prd+++=would
do ^vb+do+vrb++=do
jobs ^nns++++=jobs
of ^in++++=of
playing ^xvbg+++xvbg+=playing
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
night ^nn++++=night
for ^in++++=for
this ^dt+dem+++=this
ball ^nn++++=ball,
, ^zz++++=EXTRAWORD
another ^dt++++=another
night ^nn++++=night
for ^in++++=for
that ^dt+dem+++=that
soiree ^nn++++=soiree
dansante ^nn+++??+=dansante,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
work ^nn++++=work
at ^rb++++=at
his ^pp$+pp3+++=his
trade, ^nn+++??+=trade,--that
-- ^--+clp+++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
of ^in++++=of
a ^at++++=a
cigar ^nn++++=cigar-maker.
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
for ^in++++=for
seven ^cd++++=seven
years ^nns++++=years
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
break ^nn++++=break
in ^in++++=in
the ^ati++++=the
season ^nn++++=season,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
old ^jj+atrb+++=old
violinist ^nn+nom+++=violinist
was ^vbd+bedz+vrb++=was
happy ^jj+pred+++=happy.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
sweeter ^jjr++++=sweeter
than ^in++++=than
a ^at++++=a
regular ^jj+atrb+++=regular
job ^nn++++=job
and ^cc++++=and
good ^jj+atrb+++=good
music ^nn++++=music
to ^to++++=to
play ^vbi++++=play,
, ^zz++++=EXTRAWORD
music ^nn++++=music
into ^in++++=into
which ^whp+rel+pied++=which
one ^cd1++++=one
can ^md+pos+++=can
put ^vb+++xvbn+=put
some ^dti++++=some
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
some ^dti++++=some
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+obj++=which
one ^cd1++++=one
must ^md+nec+++=must
study ^vb++++=study
to ^to++++=to
understand ^vbi+vprv+++=understand.
. ^zz++++=EXTRAWORD
Dance ^nn++++=Dance
music ^nn++++=music,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
frivolous ^jj++++=frivolous,
, ^zz++++=EXTRAWORD
frothy ^nn+++??+=frothy
kind ^nn++++=kind
deemed ^vwbn+++xvbn+=deemed
essential ^jj++++=essential
to ^to+jcmp+++=to
soirees ^nns+nom+++=soirees,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
trivial ^jj+pred+++=trivial,
, ^zz++++=EXTRAWORD
easy ^jj++++=easy,
, ^zz++++=EXTRAWORD
uninteresting ^jj++++=uninteresting.
. ^zz++++=EXTRAWORD
So ^ql++++=So
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier,
, ^zz++++=EXTRAWORD
Ma ^npt++++=Ma'am
'am ^nn+++??+=EXTRAWORD
Jeanne ^np++++=Jeanne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
white ^jj+atrb+++=white
cat ^nn++++=cat
lived ^vbd+++xvbn+=lived
a ^at++++=a
peaceful ^jj+atrb+++=peaceful,
, ^zz++++=EXTRAWORD
uneventful ^jj+atrb+++=uneventful
existence ^nn+nom+++=existence
out ^rp+pl+++=out
on ^in++++=on
Bayou ^np+++??+=Bayou
Road ^nn++++=Road.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
opera ^nn++++=opera
season ^nn++++=season
was ^vbd+bedz+vrb++=was
over ^in++++=over
in ^in++++=in
February ^nr+nom+++=February,
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
cigar ^nn++++=cigar-making,
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
white ^jj+atrb+++=white
cat ^nn++++=cat
purred ^vbd+++xvbn+=purred
none ^rb++++=none
the ^ati++++=the
less ^rbr++++=less
contentedly ^rb++++=contentedly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
benefit ^nn++++=benefit
to ^to++++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
leading ^jj+atrb++xvbg+=leading
tenor ^nn++++=tenor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
chosen ^vprf+++xvbnx+=chosen
" ^zz++++="Roland
roland ^np++++=EXTRAWORD
a ^at++++=a
Ronceveaux ^np+++??+=Ronceveaux,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
favourite ^jjb++++=favourite
this ^dt+dem+++=this
season ^nn++++=season,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
farewell ^nn++++=farewell.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
mon ^&fw++++=mon
Dieu ^np+++??+=Dieu,
, ^zz++++=EXTRAWORD
mused ^j+++xvbn+=mused
the ^ati++++=the
little ^jj++++=little
My ^pp$+pp1+++0=M'sieu,
sieu ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
how ^wrb+who+++=how
his ^pp$+pp3+++=his
voice ^nn++++=voice
had ^vbd+hvd+aux++=had
rung ^vprf+++xvbn+=rung
out ^rp+pl+++=out
bell ^nn++++=bell-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
piercing ^jj+++xvbg+=piercing
above ^jjb++++=above
the ^ati++++=the
chorus ^nn++++=chorus
of ^in++++=of
the ^ati++++=the
first ^od++++=first
act ^vb+vpub+++=act!
! ^zz++++=EXTRAWORD
Encore ^&fw++++=Encore
after ^cs+sub+++=after
encore ^&fw++++=encore
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bravos ^nns+++??+=bravos
of ^in++++=of
the ^ati++++=the
troisiemes ^nns+++??+=troisiemes
were ^vbd+bed+vrb++=were
enough ^qlp++++=enough
to ^to++++=to
stir ^vbi++++=stir
the ^ati++++=the
most ^ql+emph+++=most
sluggish ^jj++++=sluggish
of ^in++++=of
pulses ^nns++++=pulses.
. ^zz++++=EXTRAWORD
" ^zz++++="Superbes
superbes ^nns+++??+=EXTRAWORD
Pyrenees ^nns+nom+++=Pyrenees
Qui ^&fw++++=Qui
dressez ^nn+++??+=dressez
dans ^&fw++++=dans
le ^&fw++++=le
ciel ^nn+++??+=ciel,
, ^zz++++=EXTRAWORD
Vos ^np+++??+=Vos
cimes ^nns+++??+=cimes
couronnees ^nns+nom+++=couronnees
D ^zz++++=D'un
'un ^nn+++??+=EXTRAWORD
hiver ^jjr+atrb+++=hiver
eternelle ^nn+++??+=eternelle,
, ^zz++++=EXTRAWORD
Pour ^&fw++++=Pour
nous ^&fw++++=nous
livrer ^jjr+atrb+++=livrer
passage ^nn+nom+++=passage
Ouvrez ^np+++??+=Ouvrez
vos ^&fw++++=vos
larges ^nns+++??+=larges
flancs ^nns+++??+=flancs,
, ^zz++++=EXTRAWORD
Faites ^np+++??+=Faites
faire ^nn+++??+=faire
l ^zz++++=l'orage,
'orage, ^nn+++??+=EXTRAWORD
Voici ^np+++??+=Voici,
, ^zz++++=EXTRAWORD
venir ^nn+++??+=venir
les ^&fw++++=les
Francs ^nns++++=Francs!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
quickened ^vbd+++xvbn+=quickened
his ^pp$+pp3+++=his
pace ^nn++++=pace
down ^in++++=down
Bourbon ^np+++??+=Bourbon
Street ^npl++++=Street
as ^ql++++=as
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
the ^ati++++=the
chorus ^nn++++=chorus
to ^in++++=to
himself ^ppl+pp3+++=himself
in ^in++++=in
a ^at++++=a
thin ^jj+atrb+++=thin
old ^jj+atrb+++=old
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+++=see
in ^in++++=in
the ^ati++++=the
thick ^jj+atrb+++=thick
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
into ^in+ppvb+++=into
two ^cd++++=two
young ^jj+atrb+++=young
men ^nns++++=men.
. ^zz++++=EXTRAWORD
" ^zz++++="I--I--beg
i ^pp1a+pp1+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
beg ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
pardon, ^nn+++??+=pardon,--messieurs,"
-- ^--+clp+++=EXTRAWORD
messieurs ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stammered ^vbd+++xvbnx+=stammered.
. ^zz++++=EXTRAWORD
" ^zz++++="Most
most ^ql+emph+++=EXTRAWORD
certainly ^rb+cnj+++=certainly,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
careless ^jj+atrb+++=careless
response ^nn++++=response;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
speaker ^nn++++=speaker,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
a ^at++++=a
second ^od++++=second
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
object ^nn++++=object
of ^in++++=of
the ^ati++++=the
rencontre ^nn+++??+=rencontre,
, ^zz++++=EXTRAWORD
cried ^j+++xvbn+=cried
joyfully ^rb++++=joyfully:
: ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
so ^ql+emph+++=so
happy ^jj++++=happy,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
your ^pp$+pp2+++=your
love ^nn++++=love
sonnet ^nn+++??+=sonnet
to ^in++++=to
your ^pp$+pp2+++=your
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
eyebrow ^nn++++=eyebrow,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
a ^at++++=a
thing ^nn++++=thing
but ^cc++++=but
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
the ^ati++++=the
fair ^jj+atrb+++=fair
one ^cd1++++=one
who ^whp+rel+subj++=who
should ^md+nec+++=should
clog ^vb++++=clog
your ^pp$+pp2+++=your
senses ^nns++++=senses
so ^ql++++=so?"
