Repeated ^jj+atrb++xvbn+=REPEATED
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
sit ^vb++++=sit
with ^in++++=with
her ^pp$+pp3+++=her
face ^nn++++=face
in ^in++++=in
her ^pp$+pp3+++=her
hands ^nns++++=hands
and ^cc++++=and
shake ^nn++++=shake
with ^in++++=with
throes ^nns+++??+=throes
of ^in++++=of
enjoyment ^nn+nom+++=enjoyment
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
get ^vb++++=get
breath ^nn++++=breath
enough ^dt++++=enough
to ^to++++=to
express ^nns+nom+++=express.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
such ^abl++++=such
a ^at++++=a
moment ^nn++++=moment
as ^in++++=as
this ^dt+dem+++=this
a ^at++++=a
thought ^nn++++=thought
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Aunt
aunt ^nn++++=EXTRAWORD
Rachel ^np++++=Rachel,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
that ^cs+sub+++=that
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
lived ^vprf+++xvbnx+=lived
sixty ^cd++++=sixty
years ^nns++++=years
and ^cc++++=and
never ^rb++++=never
had ^vb+hv+vrb++=had
any ^dti++++=any
trouble ^nn++++=trouble?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped
quaking ^jj++++=quaking.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
paused ^vbd+++xvbnx+=paused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
moment ^nn++++=moment
of ^in++++=of
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
her ^pp$+pp3+++=her
face ^nn++++=face
over ^in++++=over
her ^pp$+pp3+++=her
shoulder ^nn+nom+++=shoulder
toward ^in++++=toward
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
without ^in++++=without
even ^rb++++=even
a ^at++++=a
smile ^nn++++=smile
her ^pp3o+pp3+++=her
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
" ^zz++++="Misto
misto ^nn+++??+=EXTRAWORD
C ^zz++++=C-----,
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
you ^pp2+pp2+++=you
in ^in++++=in
' ^zz++++='arnest?"
arnest ^jjt++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
surprised ^vbd+++xvbn+=surprised
me ^pp1o+pp1+++=me
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
sobered ^vbd+++xvbn+=sobered
my ^pp$+pp1+++=my
manner ^nn++++=manner
and ^cc++++=and
my ^pp$+pp1+++=my
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought--that
-- ^--+clp+++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
meant ^vbd+vprv++xvbnx+=meant--why,
-- ^--+clp+++=EXTRAWORD
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
any ^dti++++=any
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
heard ^vprf++tht0+xvbnx+=heard
you ^pp2+pp2+++=you
sigh ^nn++++=sigh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
seen ^vprf+++xvbn+=seen
your ^pp$+pp2+++=your
eye ^nn++++=eye
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
laugh ^nn++++=laugh
in ^in++++=in
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
faced ^vbd+++xvbnx+=faced
fairly ^rb++++=fairly
around ^in++++=around
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
full ^jj+atrb+++=full
earnestness ^nns+nom+++=earnestness.
. ^zz++++=EXTRAWORD
" ^zz++++="Has
has ^vbz+hvz+aux++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
any ^dti++++=any
trouble ^nn++++=trouble?
? ^zz++++=EXTRAWORD
Misto ^np+++??+=Misto
C ^zz++++=C-----,
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^np++++=I's
's ^$++++=EXTRAWORD
gwyne ^nn+++??+=gwyne
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
den ^&fw++++=den
I ^pp1a+pp1+++=I
leave ^vb++++=leave
it ^pp3+it+++=it
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
bawn ^vpsv++agls+xvbnx+=bawn
down ^rp++++=down
' ^zz++++='mongst
mongst ^nn+++??+=EXTRAWORD
de ^&fw++++=de
slaves ^nns++++=slaves;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knows ^vbz+vprv+++=knows
all ^abn++++=all
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
slavery ^nn+nom+++=slavery,
, ^zz++++=EXTRAWORD
' ^zz++++='case
case ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
ben ^np++++=ben
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++0='em
my ^pp$+pp1+++=my
own ^ap++++=own
se ^&fw++++=se'f.
'f. ^nn+++??+=EXTRAWORD
Well ^rb++++=Well
sah ^nn+++??+=sah,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
ole ^np++++=ole
man--dat ^nn+++??+=man--dat's
's ^$++++=EXTRAWORD
my ^pp$+pp1+++=my
husban ^jj+atrb+++=husban'--he
'--he ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
lov ^nn+++??+=lov
and ^cc++++0=an'
kind ^nn++++=kind
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
jist ^nn++++=jist
as ^in++++=as
kind ^nn++++=kind
as ^ql++++=as
you ^pp2+pp2+++=you
is ^vbz+bez+vrb++=is
to ^in++++=to
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
own ^ap++++=own
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
chil ^nn+++??+=chil'en--seven
'en--seven ^vbd+++xvbn+0=EXTRAWORD
chil ^nn+++??+=chil'en--an'
'en--an' ^jj+++??+0=EXTRAWORD
loved ^jj+++xvbn+=loved
dem ^&fw++++=dem
chil ^jj+atrb++??+=chil'en
'en ^jj+atrb++xvbn+0=EXTRAWORD
jist ^nn++++=jist
de ^&fw++++=de
same ^ap++++=same
as ^ql++++=as
you ^pp2+pp2+++=you
loves ^vbz++++=loves
yo ^nn+++??+=yo'
' ^zz++++=EXTRAWORD
chil ^nn+++??+=chil'en.
'en. ^nn+++??+=EXTRAWORD
Dey ^np+++??+=Dey
was ^vbd+bedz+vrb++=was
black ^jj+pred+++=black,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
de ^&fw++++=de
Lord ^npt++++=Lord
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
chil ^jj+++??+=chil'en
'en ^jj+++xvbn+0=EXTRAWORD
so ^ql++++=so
black ^np++++=black
but ^cc+cls+++=but
what ^wdt+who+++=what
dey ^nn+++??+=dey
mother ^nn++++=mother
loves ^nns++++=loves
them ^pp3o+pp3+++0='em
and ^cc++++0=an'
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
them ^pp3o+pp3+++0='em
up ^rp++++=up,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
for ^in++++=for
anything ^pn++++=anything
dat ^jj+atrb++??+=dat's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
dis ^np++++=dis
whole ^jj+atrb+++=whole
world ^nn++++=world.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sah ^nn+++??+=sah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised
in ^in++++=in
ole ^np++++=ole
Fo ^np+++??+=Fo'ginny,
'ginny, ^nn+++??+=EXTRAWORD
but ^cc++++=but
mother ^nn++++=mother
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised
in ^in++++=in
Maryland ^np+++??+=Maryland;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
my ^pp$+pp1+++=my
souls ^nns++++=souls
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
turrible ^jj+pred+++=turrible
when ^wrb+who+++=when
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
git ^np++++=git
started ^vbd+++xvbn+=started!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
lan ^nn++++=lan!
! ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
make ^vb++++=make
de ^&fw++++=de
fur ^nn++++=fur
fly ^nn++++=fly!
! ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
git ^np++++=git
into ^in++++=into
dem ^&fw++++=dem
tantrums ^nns+++??+=tantrums,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
always ^rb++++=always
had ^vb+hv+vrb++=had
one ^cd1++++=one
word ^nn++++=word
dat ^nn+++??+=dat
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^md+prd+aux++=EXTRAWORD
straighten ^vb++++=straighten
herse ^nn+++??+=herse'f
'f ^nn+++??+=EXTRAWORD
up ^rp++++=up
and ^cc++++0=an'
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
fists ^nns++++=fists
in ^in++++=in
her ^pp$+pp3+++=her
hips ^nns++++=hips
and ^cc++++0=an'
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
you ^pp2+pp2+++=you
to ^in++++=to
understan ^jj++++=understan'
' ^zz++++=EXTRAWORD
dat ^nn+++??+=dat
I ^pp1a+pp1+++=I
wa' ^nn+++??+=wa'n't
n't ^xnot++not++0=EXTRAWORD
bawn ^vbd+++xvbn+=bawn
in ^in++++=in
the ^ati++++=the
mash ^nn+++??+=mash
to ^to++++=to
be ^vbi++vrb++=be
fool ^nn++++=fool'
' ^zz++++=EXTRAWORD
by ^in++++=by
trash ^nn++++=trash!
! ^zz++++=EXTRAWORD
I ^np++++=I's
's ^$++++=EXTRAWORD
one ^pn++++=one
of ^in++++0=o'
de ^&fw++++=de
ole ^np++++=ole
Blue ^jj+atrb+++=Blue
Hen ^np++++=Hen's
's ^$++++=EXTRAWORD
Chickens ^nns++++=Chickens,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
is ^vbz+bez+vrb++=is!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Ca'se
ca ^np++++=EXTRAWORD
'se ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
dat ^nn+++??+=dat's
's ^$++++=EXTRAWORD
what ^wdt+who+++=what
folks ^nns++++=folks
dat ^nn+++??+=dat's
's ^$++++=EXTRAWORD
bawn ^vpsv++agls+xvbnx+=bawn
in ^in++++=in
Maryland ^np+++??+=Maryland
calls ^nns++++=calls
deyselves ^nns+++??+=deyselves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
dey ^nn+++??+=dey's
's ^vbz+bez+vrb++0=EXTRAWORD
proud ^jj++++=proud
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
dat ^nn+++??+=dat
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
word ^nn++++=word.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
ever ^rb++++=ever
forgit ^nn+++??+=forgit
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
beca ^nn+++??+=beca'se
'se ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
so ^ql++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
beca ^nn+++??+=beca'se
'se ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
one ^cd1++++=one
day ^nn++++=day
when ^wrb+who+++=when
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
Henry ^np++++=Henry
tore ^vbd+++xvbn+=tore
his ^pp$+pp3+++=his
wris ^nns+++??+=wris'
' ^zz++++=EXTRAWORD
awful ^jj++++=awful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
most ^ql+emph+++=most
busted ^jj+++xvbn+=busted
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
head ^nn++++=head,
, ^zz++++=EXTRAWORD
right ^jj++++=right
up ^rp++++=up
at ^in++++=at
de ^&fw++++=de
top ^jjb++++=top
of ^in++++=of
his ^pp$+pp3+++=his
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
de ^&fw++++=de
niggers ^nns+nom+++=niggers
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
fly ^vb++++=fly
aroun ^nn+++??+=aroun'
' ^zz++++=EXTRAWORD
fas ^nns+++??+=fas'
' ^zz++++=EXTRAWORD
enough ^qlp++++=enough
to ^to++++=to
' ^zz++++='tend
tend ^vb++++=EXTRAWORD
to ^to+vcmp+++=to
him ^vbi++++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
when ^wrb+who+++=when
dey ^nn+++??+=dey
talk ^vb++++=talk'
' ^zz++++=EXTRAWORD
back ^jjb++++=back
at ^in++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
up ^rp++++=up
and ^cc++++0=an'
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='Look-a-heah!'
look ^vb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
heah ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
you ^pp2+pp2+++=you
niggers ^nns+nom+++=niggers
to ^in++++=to
understan ^jj++++=understan'
' ^zz++++=EXTRAWORD
dat ^nn+++??+=dat
I ^pp1a+pp1+++=I
wa' ^nn+++??+=wa'n't
n't ^xnot++not++0=EXTRAWORD
bawn ^vbd+++xvbn+=bawn
in ^in++++=in
de ^&fw++++=de
mash ^nn+++??+=mash
be ^vb+be+vrb++=be
fool ^nn++++=fool'
' ^zz++++=EXTRAWORD
by ^in++++=by
trash ^nn++++=trash!
! ^zz++++=EXTRAWORD
I ^np++++=I's
's ^$++++=EXTRAWORD
one ^pn++++=one
of ^in++++0=o'
de ^&fw++++=de
ole ^np++++=ole
Blue ^jj+atrb+++=Blue
Hen ^np++++=Hen's
's ^$++++=EXTRAWORD
chickens ^nns++++=chickens,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
is ^vbz+bez+vrb++=is!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
den ^&fw++++=den
she ^pp3a+pp3+++=she
clar ^nn+++??+=clar'
' ^zz++++=EXTRAWORD
dat ^nn+++??+=dat
kitchen ^nn++++=kitchen
and ^cc++++0=an'
bandage ^nn+nom+++=bandage'
' ^zz++++=EXTRAWORD
up ^rp++++=up
de ^&fw++++=de
chile ^np++++=chile
herse ^nn+++??+=herse'f.
'f. ^nn+++??+=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says
dat ^jj+atrb++??+=dat
word ^nn++++=word,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^np++++=I's
's ^$++++=EXTRAWORD
riled ^jj+++xvbn+=riled.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
bymeby ^nn+++??+=bymeby
my ^pp$+pp1+++=my
ole ^np++++=ole
mistis ^nns+++??+=mistis
say ^vb+vpub+tht0++=say
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
broke ^vpsv++agls+xvbnx+=broke,
, ^zz++++=EXTRAWORD
an ^at++++=an
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
to ^to+vcmp+++=to
sell ^vbi++++=sell
all ^abn++++=all
de ^&fw++++=de
niggers ^nns+nom+++=niggers
on ^in++++=on
de ^&fw++++=de
place ^nn++++=place.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
heah ^nn+++??+=heah
dat ^nn+++??+=dat
dey ^nn+++??+=dey
gwyne ^nn+++??+=gwyne
to ^to++++=to
sell ^vbi++++=sell
us ^pp1o+pp1+++=us
all ^abn++++=all
off ^in+pl+++=off
at ^rb++++=at
oction ^nn++++=oction
in ^in++++=in
Richmon ^np+++??+=Richmon',
', ^nn+++??+=EXTRAWORD
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
de ^&fw++++=de
good ^jj++++=good
gracious ^jj++++=gracious!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
dat ^nn+++??+=dat
mean ^jj++++=mean!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aunt ^nn++++=Aunt
Rachel ^np++++=Rachel
had ^vb+hv+aux++=had
gradually ^rb++splt++=gradually
risen ^vprf+++xvbn+=risen,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
warmed ^vbd+++xvbnx+=warmed
to ^in++++=to
her ^pp$+pp3+++=her
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
she ^pp3a+pp3+++=she
towered ^vbd+++xvbnx+=towered
above ^rb++++=above
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
black ^jj++++=black
against ^in++++=against
the ^ati++++=the
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
" ^zz++++="Dey
dey ^vb+++??+=EXTRAWORD
put ^vbd+++xvbn+=put
chains ^nns++++=chains
on ^in++++=on
us ^pp1o+pp1+++=us
and ^cc++++0=an'
put ^vb+++xvbn+=put
us ^pp1o+pp1+++=us
on ^in++++=on
a ^at++++=a
stan ^np++++=stan'
' ^zz++++=EXTRAWORD
as ^ql++++=as
high ^np++++=high
as ^ql++++=as
dis ^np++++=dis
po ^np++++=po'ch--twenty
'ch--twenty ^nn+++??+=EXTRAWORD
foot ^nn++++=foot
high ^jj++++=high-an'
- ^zz++++=EXTRAWORD
and ^cc++++0=EXTRAWORD
all ^rb++++=all
de ^&fw++++=de
people ^nns++++=people
stood ^vbd+++xvbn+=stood
aroun ^nn+++??+=aroun',
', ^nn+++??+=EXTRAWORD
crowds ^nns++++=crowds
' ^zz++++='an'
and ^cc++++0=EXTRAWORD
crowds ^nns++++=crowds.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
dey ^nn+++??+=dey'd
'd ^md+prd+aux++0=EXTRAWORD
come ^vprf+++xvbn+=come
up ^rp++++=up
dah ^nn+++??+=dah
and ^cc++++0=an'
look ^vb++++=look
at ^rb++++=at
us ^pp1o+pp1+++=us
all ^abn++++=all
roun ^nn+++??+=roun',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
squeeze ^vb++++=squeeze
our ^pp$+pp1+++=our
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
make ^vb++++=make
us ^pp1o+pp1+++=us
git ^np++++=git
up ^rp++++=up
and ^cc++++0=an'
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
den ^&fw++++=den
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
Dis ^np++++=Dis
one ^cd1++++=one
too ^ql++++=too
ole ^np++++=ole,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
or ^cc++++=or
' ^zz++++='Dis
dis ^np++++=EXTRAWORD
one ^cd1++++=one
lame ^jj++++=lame,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
or ^cc++++=or
' ^zz++++='Dis
