Being ^vbg+beg++xvbg+=Being
all ^abn++++=all
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
way ^nn++++=way
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
an ^at++++=an.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
honour ^nn++++=honour,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
cowld ^nn+++??+=cowld
snowin ^nn+++??+=snowin'
' ^zz++++=EXTRAWORD
evenin ^nn+++??+=evenin'
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kim ^np++++=kim
in ^in++++=in
afther ^jjr++++=afther
his ^pp$+pp3+++=his
day ^nn++++=day's
's ^$++++=EXTRAWORD
work ^nn++++=work
regulatin ^nn+++??+=regulatin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
very ^ql+amp+++=very
quite ^rb++++=quite
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
scrimmidge ^nn+++??+=scrimmidge
with ^in++++=with
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
mornin ^nn+++??+=mornin',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
all ^rb++++=all
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
was ^vbd+bedz+vrb++=was
an ^at++++=an
air ^nn++++=air
iv ^nn+++??+=iv
the ^ati++++=the
fire ^nn++++=fire
in ^in++++=in
pace ^nn++++=pace;
; ^zz++++=EXTRAWORD
so ^ql++++=so
divil ^vb+++??+=divil
a ^at++++=a
word ^nn++++=word
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
but ^cc++++=but
dhrew ^nn+++??+=dhrew
a ^at++++=a
stool ^nn++++=stool
and ^cc++++0=an'
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
as ^ql++++=as
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
woman ^nn++++=woman
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
' ^zz++++='Move
move ^vb++++=EXTRAWORD
aff ^nn+++??+=aff,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='an'
and ^cc++++0=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
inthrudin ^nn+++??+=inthrudin'
' ^zz++++=EXTRAWORD
an ^at++++=an
the ^ati++++=the
fire ^nn++++=fire,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
never ^rb++++=never
mindin ^nn+++??+=mindin',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
and ^cc++++0=an'
to ^to++++=to
hear ^vbi+vprv+++=hear
a ^at++++=a
word ^nn++++=word
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
sayin ^nn+++??+=sayin',
', ^nn+++??+=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
kim ^np++++=kim
over ^in++++=over
and ^cc++++0=an'
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
spoon ^nn++++=spoon
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
jist ^nn++++=jist
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
taste ^nn++++=taste
in ^in++++=in
life ^nn++++=life
iv ^nn+++??+=iv
the ^ati++++=the
boilin ^nn+++??+=boilin'
' ^zz++++=EXTRAWORD
wather ^jjr++++=wather
out ^rp+pl+++=out
iv ^nn+++??+=iv
the ^ati++++=the
pot ^nn++++=pot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she
dhropped ^vbd+++xvbnx+=dhropped
it ^pp3+it+++=it
down ^in++++=down
an ^at++++=an
his ^pp$+pp3+++=his
shins ^nns+++??+=shins,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
with ^in++++=with
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
let ^vbd+++xvbnx+=let
a ^at++++=a
roar ^nn++++=roar
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
think ^vb+vprv+++=think
the ^ati++++=the
roof ^nn++++=roof
id ^nn+++??+=id
fly ^vb++++=fly
aff ^nn+++??+=aff
iv ^nn+++??+=iv
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
' ^zz++++='Hould
hould ^nn+++??+=EXTRAWORD
your ^pp$+pp2+++=your
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
barbarrian ^nn++++=barbarrian,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she;
; ^zz++++=EXTRAWORD
' ^zz++++='you'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
waken ^vb++++=waken
the ^ati++++=the
child ^nn++++=child,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
' ^zz++++='An'
and ^cc+cls+++0=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
done ^vbd+++xvbnx+=done
right ^jj++++=right,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
spoonful ^nn+nom+++=spoonful
of ^in++++=of
boilin ^nn+++??+=boilin'
' ^zz++++=EXTRAWORD
wather ^jjr+atrb+++=wather
riz ^nn+++??+=riz
him ^pp3o+pp3+++=him
entirely ^rb+cnj+++=entirely,
, ^zz++++=EXTRAWORD
' ^zz++++='I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
take ^vb++++=take
yourself ^ppl+pp2+++=yourself,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='an'
and ^cc++++0=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
stuff ^nn++++=stuff
you ^pp2+pp2+++=you
into ^in++++=into
the ^ati++++=the
pot ^nn++++=pot
an ^at++++=an
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
boil ^vb++++=boil
you ^pp2+pp2+++=you.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='into
into ^in++++=EXTRAWORD
castor ^nn++++=castor
oil ^nn++++=oil,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
purty ^nn+++??+=purty
behavour ^nn+++??+=behavour,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she;
; ^zz++++=EXTRAWORD
' ^zz++++='it's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
fine ^jj+atrb+++=fine
usage ^nn++++=usage
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
givin ^nn+++??+=givin'
' ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
gettin ^nn+++??+=gettin'
' ^zz++++=EXTRAWORD
wickeder ^jjr++++=wickeder
every ^at++++=every
minute ^nn++++=minute;
; ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
before ^cs+sub+++=before
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
boiled ^vpsv++agls+xvbnx+=boiled,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='thry
thry ^nn++++=EXTRAWORD
how ^wrb+who+++=how
you ^pp2+pp2+++=you
like ^in++++=like
That ^dt+pdem+++=THAT,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she;
; ^zz++++=EXTRAWORD
an ^at++++=an',
', ^nn+++??+=EXTRAWORD
sure ^jj++++=sure
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
time ^nn++++=time
to ^to++++=to
put ^vbi++++=put
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
guard ^nn++++=guard,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
hot ^jj++++=hot
him ^pp3o+pp3+++=him
a ^at++++=a
rale ^nn+++??+=rale
terrible ^jj+atrb+++=terrible
clink ^nn+++??+=clink
iv ^nn+++??+=iv
the ^ati++++=the
iron ^nn++++=iron
spoon ^nn++++=spoon
acrass ^nns+++??+=acrass
the ^ati++++=the
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
' ^zz++++='Hould
hould ^nn+++??+=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
some ^dti++++=some
iv ^nn+++??+=iv
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
murdher ^jjr++++=murdher
her ^pp$+pp3+++=her,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
with ^in++++=with
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
hot ^jj++++=hot
him ^pp3o+pp3+++=him
another ^ppls++++=another
tin ^np++++=tin
times ^nns++++=times
as ^ql++++=as
good ^jj++++=good
as ^in++++=as
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
' ^zz++++='By
by ^in++++=EXTRAWORD
jabers ^nn++++=jabers,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
slappin ^nn+++??+=slappin'
' ^zz++++=EXTRAWORD
himself ^ppl+pp3+++=himself
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
' ^zz++++='that's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
last ^rb++++=last
salute ^vb++++=salute
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
ever ^rb++splt++=ever
give ^vb++++=give
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
' ^zz++++='so
so ^ql++++=EXTRAWORD
take ^vb++++=take
my ^pp$+pp1+++=my
last ^rb++++=last
blessin ^nn+++??+=blessin','
',' ^nn+++??+=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
ungovernable ^jj++++=ungovernable
baste ^vb++++=baste!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he
and ^cc++++0=an'
with ^in++++=with
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
pulled ^vbd+++xvbnx+=pulled
an ^at++++=an
his ^pp$+pp3+++=his
hat ^nn++++=hat
and ^cc++++0=an'
walked ^vbd+++xvbn+=walked
out ^rp+pl+++=out
iv ^nn+++??+=iv
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
never ^rb++++=never
minded ^jj+++xvbn+=minded
a ^at++++=a
word ^nn++++=word
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing
all ^abn++++=all
as ^ql++++=as
one ^cd1++++=one
every ^at++++=every
time ^nn++++=time
she ^pp3a+pp3+++=she
dhrew ^nn+++??+=dhrew
blood ^nn++++=blood;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
expectation ^nn+nom+++=expectation
at ^rb++++=at
all ^abn++++=all
but ^cc++++=but
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
come ^vprf+++xvbn+=come
back ^jjb++++=back
by ^in++++=by
the ^ati++++=the
time ^nn++++=time
supper ^nn++++=supper
id ^nn+++??+=id
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
faix ^nn+++??+=faix
the ^ati++++=the
story ^nn++++=story
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
quite ^abl++++=quite
so ^ql+emph+++=so
simple ^jj++++=simple
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
for ^in++++=for
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
walkin ^nn+++??+=walkin',
', ^nn+++??+=EXTRAWORD
lonesome ^jj++++=lonesome
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
down ^rp++++=down
the ^ati++++=the
borheen ^jj+++xvbn+=borheen,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
heart ^nn++++=heart
almost ^rb+hdg+++=almost
broke ^vbd+++xvbn+=broke
with ^in+ppvb+++=with
the ^ati++++=the
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
shins ^nns+++??+=shins
and ^cc++++0=an'
his ^pp$+pp3+++=his
jaw ^nn++++=jaw
was ^vbd+bedz+vrb++=was
mighty ^jj++++=mighty
troublesome ^jj++++=troublesome,
, ^zz++++=EXTRAWORD
av ^nn++++=av
course ^nn++++=course,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
thratement ^nn+nom+++=thratement
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
see ^vb+vprv+++=see
but ^cc++++=but
Mick ^np++++=Mick
Hanlon ^np+++??+=Hanlon,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
uncle ^nn++++=uncle's
's ^$++++=EXTRAWORD
sarvint ^vpsv++by+xvbnx+=sarvint
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
ridin ^nn+++??+=ridin'
' ^zz++++=EXTRAWORD
down ^rp++++=down,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
an ^at++++=an
asy ^nn+++??+=asy,
, ^zz++++=EXTRAWORD
an ^at++++=an
the ^ati++++=the
ould ^np++++=ould
black ^jj+atrb+++=black
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
halter ^nn++++=halter
as ^in++++=as
long ^jj++++=long
as ^ql++++=as
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
' ^zz++++='Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^dt+dem+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Soolivan ^np+nom+++=Soolivan?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
him ^pp3o+pp3+++=him
a ^at++++=a
good ^jj+atrb+++=good
bit ^nn++++=bit
aff ^nn+++??+=aff.
. ^zz++++=EXTRAWORD
' ^zz++++='To
to ^to++++=EXTRAWORD
be ^vbi++vrb++=be
