Early ^jj++++=Early
Stubb ^np+++??+=Stubb
looked ^vbd+++xvbn+=looked
as ^cs+sub+++=as
though ^cs+sub+++=though
some ^dti++++=some
one ^cd1++++=one
had ^vbd+hvd+aux++=had
hollowed ^vprf+++xvbnx+=hollowed
out ^rp+pl+++=out
a ^at++++=a
place ^nn++++=place
to ^to++++=to
set ^vbi++++=set
his ^pp$+pp3+++=his
head ^nn++++=head
between ^in++++=between
his ^pp$+pp3+++=his
ample ^jj+atrb+++=ample
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
front ^jjb+atrb+++=front
view ^nn++++=view
revealed ^vbd+vprv++xvbn+=revealed
a ^at++++=a
face ^nn++++=face
like ^in++++=like
a ^at++++=a
full ^jj+atrb+++=full
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
In ^in++++=In
disposition ^nn+nom+++=disposition
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
amiable ^jj++++=amiable.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
laugh ^nn++++=laugh
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough
to ^to++++=to
drive ^vbi++++=drive
away ^rp+pl+++=away
the ^ati++++=the
worst ^jjt+atrb+++=worst
case ^nn++++=case
of ^in++++=of
the ^ati++++=the
blues ^nn++++=blues.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
bubbled ^vbd+++xvbn+=bubbled
up ^rp++++=up
from ^in++++=from
some ^dti++++=some
inward ^jjb+atrb+++=inward
source ^nn++++=source
and ^cc++++=and
seemed ^vbd+seem++xvbn+=seemed
perennial ^jj++++=perennial.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
worst ^jjt+atrb+++=worst
fault ^nn++++=fault
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
bar ^nn++++=bar-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
astronomy ^nn++++=astronomy.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
any ^dti++++=any
one ^cd1++++=one
thing ^nn++++=thing
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
shone ^vbd+++xvbnx+=shone
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
rustling ^jj+atrb+++=rustling
coffin ^nn++++=coffin
varnish ^nn++++=varnish
during ^in++++=during
the ^ati++++=the
early ^jj+atrb+++=early
prohibition ^nn+nom+++=prohibition
days ^nns++++=days
along ^in++++=along
the ^ati++++=the
Kansas ^np++++=Kansas
border ^nn++++=border.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
patronage ^nn+nom+++=patronage
was ^vbd+bedz+aux++=was
limited ^vpsv++agls+xvbnx+=limited
only ^rb+down+++=only
by ^in++++=by
his ^pp$+pp3+++=his
income ^nn++++=income,
, ^zz++++=EXTRAWORD
coupled ^j+++xvbn+=coupled
with ^in++++=with
what ^wdt+who+++=what
credit ^nn++++=credit
he ^pp3a+pp3+++=he
enjoyed ^vbd+++xvbnx+=enjoyed.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
about ^in++++=about
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
arouse ^vbi++++=arouse
a ^at++++=a
drug ^nn++++=drug
clerk ^nn++++=clerk
who ^whp+rel+subj++=who
slept ^vbd+++xvbn+=slept
in ^in++++=in
the ^ati++++=the
store ^nn++++=store,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
this ^dt+dem+++=this
racket ^nn++++=racket
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
coppered ^vbd+++xvbnx+=coppered
the ^ati++++=the
play ^nn++++=play
to ^to++++=to
repeat ^vbi++++=repeat.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
tapped ^vbd+++xvbnx+=tapped
gently ^rb++++=gently
on ^in++++=on
the ^ati++++=the
window ^nn++++=window
at ^in++++=at
the ^ati++++=the
rear ^jjb++++=rear
where ^wrb+who+++=where
the ^ati++++=the
clerk ^nn++++=clerk
slept ^vbd+++xvbn+=slept,
, ^zz++++=EXTRAWORD
calling ^nvbg+++xvbg+=calling
him ^pp3o+pp3+++=him
by ^in++++=by
name ^nn++++=name.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated
any ^dti++++=any
number ^nn++++=number
of ^in++++=of
times ^nns++++=times.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
threatened ^nn+++xvbnx+=threatened
to ^to+ncmp+++=to
have ^vbi++vrb++=have
a ^at++++=a
fit ^nn++++=fit;
; ^zz++++=EXTRAWORD
even ^rb++++=even
this ^dt+pdem+++=this
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
work ^nn++++=work
to ^in++++=to
his ^pp$+pp3+++=his
advantage ^nn+nom+++=advantage.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
pretended ^vbd+vprv++xvbnx+=pretended
to ^to+vcmp+++=to
be ^vbi++vrb++=be
very ^ql+amp+++=very
angry ^jj++++=angry,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
response ^nn++++=response.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
fifteen ^cd++++=fifteen
minutes ^nns++++=minutes
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
fruitlessly ^jj++++=fruitlessly
spent ^vwbn+++xvbn+=spent,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
tapped ^xvbn+++xvbn+=tapped
on ^in++++=on
it ^pp3+it+++=it
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Lon,
lon ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lie ^vb++++=lie
still ^jj+pred+++=still,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
little ^jj+atrb+++=little
son ^nn++++=son-of-a-sheep-thief,"
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
sheep ^nns++++=EXTRAWORD
- ^zz++++=EXTRAWORD
thief ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vbd+++xvbn+=walked
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
A ^at++++=A
party ^nn++++=party
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
forgotten ^vprf++tht0+xvbnx+=forgotten
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
inquiring ^jj+pred+++=inquiring
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
describing ^jj+++xvbg+=describing
him ^pp3o+pp3+++=him
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
short ^jj++++=short,
, ^zz++++=EXTRAWORD
fat ^nn++++=fat
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
sits ^vbz++++=sits
around ^in++++=around
the ^ati++++=the
Maverick ^np+++??+=Maverick
Hotel ^nn++++=Hotel,
, ^zz++++=EXTRAWORD
talks ^vbz++++=talks
cattle ^nns++++=cattle
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
punishes ^nns+++??+=punishes
a ^at++++=a
power ^nn++++=power
of ^in++++=of
whiskey ^nn+++??+=whiskey."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
before ^cs+sub+++=before
Stubb ^np+++??+=Stubb
had ^vb+hv+vrb++=had
even ^rb++++=even
time ^nn++++=time
to ^in++++=to
unsaddle ^nn+++??+=unsaddle
his ^pp$+pp3+++=his
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
approached ^vpsv++agls+xvbnx+=approached
to ^to++++=to
know ^vbi+vprv+++=know
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
these ^dt+dem+++=these
two ^cd++++=two
trails ^nns++++=trails.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Stubb ^np+++??+=Stubb
somewhat ^rb+down+++=somewhat
hesitatingly ^jj++++=hesitatingly,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
like ^vb++++=like
to ^to+vcmp+++=to
refer ^vbi++++=refer
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
killed ^vbd+++xvbnx+=killed
a ^at++++=a
man ^nn++++=man
the ^ati++++=the
day ^nn++++=day
that ^tht+rel+++=that
right ^jj++++=right-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
trail ^nn++++=trail
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
about ^in++++=about
it ^pp3+it+++=it
some ^dti++++=some
other ^ap++++=other
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
why ^wrb+who+++=why
not ^xnot++not++=not
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lucy ^np++++=Lucy,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
curiosity ^nn+nom+++=curiosity
aroused ^vbd+++xvbn+=aroused,
, ^zz++++=EXTRAWORD
as ^ql++++=as
keen ^np++++=keen
as ^ql++++=as
a ^at++++=a
woman ^nn++++=woman's.
's. ^nn+++??+=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
other ^ap++++=other
day ^nn++++=day,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Stubb ^np+++??+=Stubb.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
notice ^vb+vprv+++=notice
those ^dt+dem+++=those
three ^cd++++=three
graves ^np++++=graves
on ^in++++=on
the ^ati++++=the
last ^rb++++=last
ridge ^nn++++=ridge
of ^in++++=of
sand ^nn++++=sand-hills
