Yas ^np+++??+=Yas,
chirp ^vb+++??+=chirp
up ^rp++++=up
and ^cc++++0=an'
come ^vb++++=come
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
in ^in++++=in
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
was ^vbd+bedz+vrb++=was
much ^ap++++=much
of ^in++++=of
a ^at++++=a
hand ^nn++++=hand
to ^in++++=to
sound ^nn++++=sound
the ^ati++++=the
amens ^nns+++??+=amens,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
our ^pp$+pp1+++=our
own ^ap++++=own
Methodist ^jj+atrb+++=Methodist
meetin ^nn+++??+=meetin's.
's. ^nn+++??+=EXTRAWORD
Sir ^npt++++=Sir?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
old ^jj++++=old
is ^vbz+bez+vrb++=is
he ^pp3a+pp3+++=he?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Sonny ^np++++=Sonny's
's ^$++++=EXTRAWORD
purty ^nn+++??+=purty
nigh ^rb++++=nigh
six ^cd++++=six
but ^cc++++=but
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
a ^at++++=a
pref ^nn+++??+=pref'ence
'ence ^nn+++??+=EXTRAWORD
for ^in++++=for
the ^ati++++=the
' ^zz++++='Piscopal
piscopal ^jj+atrb+++=EXTRAWORD
Church ^npl++++=Church
long ^jj+atrb+++=long
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
talk ^vb++++=talk.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
mo ^np++++=mo'
' ^zz++++=EXTRAWORD
' ^zz++++='n
n ^zz++++=EXTRAWORD
three ^cd++++=three
year ^nn++++=year
old ^jj++++=old
we ^pp1a+pp1+++=we
commenced ^vbd+++xvbn+=commenced
a ^at++++=a-takin
- ^zz++++=EXTRAWORD
takin ^nn+++??+=EXTRAWORD
him ^pp3o+pp3+++=him
round ^in++++=round
to ^in++++=to
church ^npl++++=church
wherever ^nn+nom+++=wherever
they ^pp3a+pp3+++=they
held ^vbd+vprv++xvbnx+=held
meetin ^nn+++??+=meetin's,
's, ^nn+++??+=EXTRAWORD
' ^zz++++='Piscopals,
piscopals ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Methodists ^nns+nom++??+=Methodists
or ^cc++++=or
Presbyterians ^np+++??+=Presbyterians,
, ^zz++++=EXTRAWORD
so ^ql++++=so's
's ^vbz+bez+aux++0=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+++=see
and ^cc+phrs+++0=an'
hear ^vb+vprv+++=hear
for ^in++++=for
hisself ^nn+++??+=hisself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ca ^np++++=ca'yed
'yed ^vbd+++xvbn+0=EXTRAWORD
him ^pp3o+pp3+++=him
to ^in++++=to
a ^at++++=a
baptizin ^nn+++??+=baptizin'
' ^zz++++=EXTRAWORD
over ^in++++=over
to ^in++++=to
Chinquepin ^np+++??+=Chinquepin
Crik ^np+++??+=Crik,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once-t,
- ^zz++++=EXTRAWORD
t ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
three ^cd++++=three.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
let ^vprf+++xvbnx+=let
him ^pp3o+pp3+++=him
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it
done ^vbd+++xvbn+=done
and ^cc++++0=an'
maybe ^rb+hdg+++=maybe
it ^pp3+it+++=it
might ^md+pos+++=might
make ^vb++++=make
a ^at++++=a
good ^jj+atrb+++=good
impression ^nn++++=impression;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!
! ^zz++++=EXTRAWORD
The ^ati++++=The
Baptists ^nns+nom++??+=Baptists
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
suit ^nn++++=suit
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
Cried ^j+++xvbn+=Cried
ever ^rb++++=ever'
' ^zz++++=EXTRAWORD
time ^nn++++=time
one ^cd1++++=one
was ^vbd+bedz+aux++=was
douced ^vpsv++agls+xvbnx+=douced,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
fetch ^vb++++=fetch
him ^pp3o+pp3+++=him
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
Methodist ^jj+atrb+++=Methodist
meetin ^nn+++??+=meetin's
's ^$++++=EXTRAWORD
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
git ^vbi++++=git
worked ^vbd+++xvbn+=worked
up ^rp++++=up
and ^cc++++0=an'
pervoked ^jj+++xvbn+=pervoked,
, ^zz++++=EXTRAWORD
some ^dti++++=some
way ^nn++++=way.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
the ^ati++++=the
Presbyterians ^np+++??+=Presbyterians,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
no ^at++++=no
stock ^nn++++=stock
in ^in++++=in
them ^pp3o+pp3+++=them
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Ricollect ^np+++??+=Ricollect,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
Sunday ^nr++++=Sunday
the ^ati++++=the
preacher ^nn+nom+++=preacher,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
preached ^vbd+++xvbnx+=preached
a ^at++++=a
mighty ^jj+atrb+++=mighty
powerful ^jj+atrb+++=powerful
disco ^nn+++??+=disco'se
'se ^nn+++??+=EXTRAWORD
on ^in++++=on
the ^ati++++=the
doctrine ^nn++++=doctrine
of ^in++++0=o'
lost ^xvbn+++xvbn+=lost
infants ^nns+nom+++=infants
not ^xnot++not++=not
' ^zz++++='lected
lected ^jj+++xvbn+=EXTRAWORD
to ^in++++=to
salvation ^nn+nom+++=salvation
and ^cc++++0=an'
Sonny ^nn++++=Sonny?
? ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
slep ^nn+++??+=slep'
' ^zz++++=EXTRAWORD
right ^jj+atrb+++=right
thoo ^nn+++??+=thoo
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
any ^dti++++=any
way ^nn++++=way
lively ^jj+atrb+++=lively
interest ^nn++++=interest
he ^pp3a+pp3+++=he
ever ^rb++++=ever
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
take ^vbi++++=take
in ^rb+phrv+++=in
religious ^jj+atrb+++=religious
services ^nns++++=services
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
' ^zz++++='Piscopals,
piscopals ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Easter ^np++++=Easter
Sunday ^nr++++=Sunday.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
seen ^vbd+vprv++xvbnx+=seen
the ^ati++++=the
lilies ^nns++++=lilies
and ^cc++++0=an'
the ^ati++++=the
candles ^nns++++=candles
he ^pp3a+pp3+++=he
thess ^nn++++=thess
clapped ^vbd+++xvbn+=clapped
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
time ^nn++++=time
the ^ati++++=the
folks ^nns++++=folks
commenced ^vwbn+++xvbn+=commenced
answerin ^nn+++??+=answerin'
' ^zz++++=EXTRAWORD
back ^jjb++++=back
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
tickled ^vpsv++agls+xvbnx+=tickled
all ^rb++++=all
but ^cc++++=but
to ^in++++=to
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
started ^vbd+++xvbn+=started
answerin ^nn+++??+=answerin'
' ^zz++++=EXTRAWORD
hisself ^nn+++??+=hisself
on ^in++++=on'y,
'y, ^nn+++??+=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se
'se ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
answer ^nn++++=answer
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
hit ^nn+++xvbn+=hit
and ^cc++++0=an'
miss ^npt++++=miss.
. ^zz++++=EXTRAWORD
I ^np++++=I
see ^vb+vprv+tht0++=see
then ^rn+tm+++=then
thet ^jj+atrb++??+=thet
Sonny ^nn++++=Sonny
was ^vbd+bedz+vrb++=was
a ^at++++=a
natu ^nn+++??+=natu'al-born
'al-born ^vbd+++xvbn+0=EXTRAWORD
' ^zz++++='Piscopal,
piscopal ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
we ^pp1a+pp1+++=we
might ^md+pos+++=might
ez ^vb+++??+=ez
well ^rb++++=well
make ^vb++++=make
up ^rp++++=up
our ^pp$+pp1+++=our
minds ^nns++++=minds
to ^in++++=to
it ^pp3+it+++=it
and ^cc++++0=an'
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
Her ^pp$+pp3+++=HER
so ^pn++++=so,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
say ^vb+vpub+++=say
some ^dti++++=some
is ^vbz+bez+aux++=is
born ^vpsv++agls+xvbnx+=born
so ^pn++++=so.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
let ^vprf+++xvbnx+=let
him ^pp3o+pp3+++=him
alone ^jj++++=alone
and ^cc++++0=an'
let ^vb+++xvbn+=let
nature ^nn++++=nature
take ^vb++++=take
its ^pp$+it+++=its
co ^nn++++=co'se
'se ^nn+++??+=EXTRAWORD
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while
not ^xnot++not++=not
pressin ^nn+++??+=pressin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
one ^cd1++++=one
way ^nn++++=way
or ^cc++++=or
another ^dt++++=another.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
had ^vbd+hvd+aux++=had
showed ^vprf+++xvbnx+=showed
no ^at++++=no
disposition ^nn+nom+++=disposition
to ^to++++=to
be ^vbi+vbi+aux++=be
christened ^vpsv++agls+xvbnx+=christened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
ever ^rb++++=ever
sence ^nn++++=sence
the ^ati++++=the
doctor ^nn++++=doctor
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
vaccinate ^nn+nom+++=vaccinate
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
git ^vbi++++=git
the ^ati++++=the
notion ^nn++++=notion
that ^tht+ncmp+++=that
christenin ^nn+++??+=christenin'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
vaccination ^nn+nom+++=vaccination
was ^vbd+bedz+vrb++=was
mo ^np++++=mo'
' ^zz++++=EXTRAWORD
or ^cc++++=or
less ^rbr++++=less
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
sence ^nn++++=sence
that ^tht+rel+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
mo ^np++++=mo'
' ^zz++++=EXTRAWORD
opposed ^vpsv++agls+xvbn+=opposed
to ^in++++=to
it ^pp3+it+++=it
than ^in++++=than
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
no ^at++++=no,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
vaccinate ^nn+nom+++=vaccinate
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thess ^nn++++=thess
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Sonny ^nn++++=Sonny,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
begin ^vb++++=begin
to ^to++++=to
allow ^vbi++++=allow
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
all ^abn++++=all
tried ^vb+++xvbn+=tried
to ^to+vcmp+++=to
indoose ^vbi+++??+=indoose
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
offered ^vbd+++xvbnx+=offered
him ^pp3o+pp3+++=him
everything ^pn++++=everything
on ^in++++=on
the ^ati++++=the
farm ^nn++++=farm
ef ^nn+++??+=ef
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
thess ^nn++++=thess
roll ^nn++++=roll
up ^rp++++=up
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
sleeve ^nn++++=sleeve
and ^cc++++0=an'
let ^vb+++xvbn+=let
the ^ati++++=the
doctor ^nn++++=doctor
look ^vb++++=look
at ^rb++++=at
his ^pp$+pp3+++=his
arm ^nn++++=arm
promised ^vbd+++xvbn+=promised
him ^pp3o+pp3+++=him
thet ^nn+++??+=thet
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
tech ^np++++=tech
a ^at++++=a
needle ^vb++++=needle
to ^to+vcmp+++=to
it ^pp3+it+++=it
tell ^vb++++=tell
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
the ^ati++++=the
word ^nn++++=word.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
' ^zz++++='lowed
lowed ^jj+atrb++xvbn+=EXTRAWORD
thet ^nn+++??+=thet
me ^pp1o+pp1+++=me
and ^cc++++0=an'
his ^pp$+pp3+++=his
mamma ^npt++++=mamma
could ^md+pos+++=could
git ^vb++++=git
vaccinated ^vbd+++xvbn+=vaccinated
ef ^nn+++??+=ef
we ^pp1a+pp1+++=we
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
showed ^vbd+vprv++xvbn+=showed
him ^pp3o+pp3+++=him
our ^pp$+pp1+++=our
marks ^nns++++=marks
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
vaccinated ^vpsv++agls+xvbnx+=vaccinated
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
little ^ap++++=little,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
how ^wrb+who+++=how
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
kep ^nn+++??+=kep'
' ^zz++++=EXTRAWORD
us ^pp1o+pp1+++=us
clair ^nn+++??+=clair
of ^in++++0=o'
havin ^nn+++??+=havin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
smallpock ^nn+++??+=smallpock
all ^abn++++=all
our ^pp$+pp1+++=our
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
no ^at++++=no
diff ^nn+++??+=diff'ence
'ence ^nn+++??+=EXTRAWORD
whether ^cs+who+++=whether
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
did ^vbd+dod+vrb++=did
befo ^nn+++??+=befo'
' ^zz++++=EXTRAWORD
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
' ^zz++++='lowed
lowed ^jj+atrb++xvbn+=EXTRAWORD
thet ^nn+++??+=thet
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
us ^pp1o+pp1+++=us
vaccinated ^vbd+++xvbn+=vaccinated
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
And ^cc++++0=An'
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
of ^in++++=of
co ^nn++++=co'se,
'se, ^nn+++??+=EXTRAWORD
thinkin ^nn+++??+=thinkin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
encour ^vb+++??+=encour'ge
'ge ^nn+++??+=EXTRAWORD
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
thess ^nn++++=thess
had ^vb+hv+aux++=had
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
over ^in++++=over
tryin ^nn+++??+=tryin'
' ^zz++++=EXTRAWORD
to ^to++++=to
coax ^vbi++++=coax
him ^pp3o+pp3+++=him
to ^in++++=to
consent ^nn++++=consent
after ^in++++=after
each ^ppls++++=each
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
pertend ^nn+++??+=pertend
like ^in++++=like
we ^pp1a+pp1+++=we
enjoyed ^vbd+++xvbn+=enjoyed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
would ^md+prd+++=would
do ^vb+do+vrb++=do
but ^cc++++=but
the ^ati++++=the
nigger ^nn++++=nigger,
, ^zz++++=EXTRAWORD
Dicey ^np+++??+=Dicey,
, ^zz++++=EXTRAWORD
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
' ^zz++++='lowed
lowed ^jj+atrb++xvbn+=EXTRAWORD
thet ^nn+++??+=thet
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
the ^ati++++=the
cat ^nn++++=cat
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
strike ^vbi++++=strike
a ^at++++=a
bargain ^nn++++=bargain
with ^in++++=with
him ^pp3o+pp3+++=him
thet ^nn+++??+=thet
if ^cs+cnd+++=if
Kitty ^np++++=Kitty
got ^vbd+++xvbn+=got
vaccinated ^vbd+++xvbn+=vaccinated
he ^pp3a+pp3+++=he
would ^md+prd+++=would.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
comp ^nn+++??+=comp'omise.
'omise. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
thess ^nn++++=thess
let ^vbd+++xvbn+=let
on ^in++++=on
thet ^nn+++??+=thet
Kit ^nn++++=Kit
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
did ^vbd+dod+vrb++=did
whe ^nn+++??+=whe'r
'r ^nn+++??+=EXTRAWORD
or ^cc++++=or
no ^rb++++=no.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
ast ^nn+++??+=ast
the ^ati++++=the
doctor ^nn++++=doctor
ef ^nn+++??+=ef
it ^pp3+it+++=it
would ^md+prd+++=would
likely ^jj+atrb+++=likely
kill ^nn++++=kill
the ^ati++++=the
cat ^nn++++=cat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
reckoned ^vbd+vprv++xvbnx+=reckoned
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
might ^md+pos+++=might
sicken ^jj+++xvbn+=sicken
her ^pp3o+pp3+++=her
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
to ^to++++=to
go ^vbi++++=go
ahead ^rb+pl+++=ahead.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
befo ^nn+++??+=befo'
' ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
got ^vbd+++xvbn+=got
thoo ^nn+++??+=thoo,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
cat ^nn++++=cat
and ^cc++++0=an'
both ^abx++++=both
dogs ^nns++++=dogs
vaccinated ^vbd+++xvbn+=vaccinated
but ^cc+phrs+++=but
let ^vbd+++xvbn+=let
it ^pp3+it+++=it
tech ^np++++=tech
hisself ^nn+++??+=hisself
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
mighty ^ql++++=mighty
sorry ^uh++++=sorry
not ^xnot++not++=not
to ^to++++=to
have ^vbi+vbi+aux++=have
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
a ^at++++=a
nigger ^nn++++=nigger
thet ^nn+++??+=thet
had ^vb+hv+vrb++=had
the ^ati++++=the
smallpock ^nn+++??+=smallpock
down ^rp++++=down
to ^in++++=to
Cedar ^nn++++=Cedar
Branch ^nn++++=Branch,
, ^zz++++=EXTRAWORD
fifteen ^cd++++=fifteen
mile ^nn++++=mile
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
well ^jj+pred+++=well.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say
when ^wrb+who+whcl++=when
they ^pp3a+pp3+++=they
git ^np++++=git
well ^rb++++=well
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
more ^rbr++++=more
fatal ^jj+pred+++=fatal
to ^in++++=to
a ^at++++=a
neighborhood ^nn+nom+++=neighborhood
' ^zz++++='n
n ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
die ^vb++++=die.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
