B.c ^rb++++=B.C.
Romans ^nn++++=Romans
to ^to++++=to
help ^vbi++++=help
them ^pp3o+pp3+++=them
fight ^vb++++=fight
their ^pp$+pp3+++=their
battles ^nns++++=battles.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
occasion ^nn++++=occasion
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
seven ^cd++++=seven
years ^nns++++=years'
' ^zz++++=EXTRAWORD
war ^nn++++=war
by ^in++++=by
which ^whp+rel+pied++=which
Julius ^np++++=Julius
Caesar ^np++++=Caesar
added ^vbd+vpub++xvbn+=added
Gaul ^np++++=Gaul
to ^in++++=to
the ^ati++++=the
provinces ^nns++++=provinces
claimed ^vwbn+vpub++xvbn+=claimed
by ^in++++=by
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
visited ^vbd+++xvbnx+=visited
Britain ^np++++=Britain;
; ^zz++++=EXTRAWORD
such ^abl++++=such
conquests ^nps++++=conquests
are ^vb+ber+aux++=are
far ^rb+pl+splt++=far
from ^rb"++++=from
being ^vbg+beg++xvbg+=being
Golden ^jj+atrb+++=Golden
Deeds ^nns++++=Deeds,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
are ^vb+ber+vrb++=are
far ^rb+pl+++=far
worthier ^jjr+pred+++=worthier
of ^in++++=of
the ^ati++++=the
iron ^nn++++=iron
age ^nn++++=age.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
stand ^nn++++=stand
made ^vwbn+++xvbn+=made
by ^in++++=by
the ^ati++++=the
losing ^jj+atrb++xvbg+=losing
party ^nn++++=party,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
true ^jj+atrb+++=true
patriotism ^nn+nom+++=patriotism
of ^in++++=of
one ^cd1++++=one
young ^jj+atrb+++=young
chieftain ^nn++++=chieftain,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
would ^md+prd+++=would
wish ^vb+vprv+++=wish
here ^rn+pl+++=here
to ^to++++=to
dwell ^vbi++++=dwell
upon ^in+strn+++=upon.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
sixth ^od++++=sixth
year ^nn++++=year
of ^in++++=of
the ^ati++++=the
war ^nn++++=war
the ^ati++++=the
conquest ^nn++++=conquest
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Roman ^jj+atrb+++=Roman
legions ^nns+++??+=legions
were ^vbd+bed+aux++=were
guarding ^vbg+++xvbgx+=guarding
the ^ati++++=the
north ^np+pl+++=north
and ^cc++++=and
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Caesar ^np++++=Caesar
himself ^ppl+pp3+++=himself
had ^vbd+hvd+aux++=had
crossed ^vprf+++xvbnx+=crossed
the ^ati++++=the
Alps ^nps++++=Alps.
. ^zz++++=EXTRAWORD
Subjection ^nn+nom+++=Subjection
pressed ^vbd+++xvbn+=pressed
heavily ^rb++++=heavily
on ^in++++=on
the ^ati++++=the
Gauls ^np+++??+=Gauls,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
their ^pp$+pp3+++=their
chiefs ^nns++++=chiefs
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
put ^vpsv++agls+xvbnx+=put
to ^in++++=to
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
high ^jj+atrb+++=high
spirit ^nn++++=spirit
of ^in++++=of
the ^ati++++=the
nation ^nn++++=nation
was ^vbd+bedz+aux++=was
stirred ^vpsv++agls+xvbnx+=stirred.
. ^zz++++=EXTRAWORD
Meetings ^nns++++=Meetings
took ^vbd+++xvbn+=took
place ^nn++++=place
between ^in++++=between
the ^ati++++=the
warriors ^nns++++=warriors
of ^in++++=of
the ^ati++++=the
various ^jj+atrb+++=various
tribes ^nns++++=tribes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
oath ^nn++++=oath
was ^vbd+bedz+aux++=was
taken ^vpsv++by+xvbnx+=taken
by ^in++++=by
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
inhabited ^vwbn+++xvbn+=inhabited
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
country ^nn++++=country,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
once ^rb+tm+++=once
revolted ^vbd+++xvbn+=revolted,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
stand ^vb++++=stand
by ^in++++=by
one ^cd1++++=one
another ^dt++++=another
to ^in++++=to
the ^ati++++=the
last ^ap++++=last.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
Gauls ^np+++??+=Gauls
were ^vbd+bed+vrb++=were
probably ^rb++++=probably
not ^xnot++not++=not
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
bony ^jj+atrb+++=bony
giants ^nns++++=giants,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
pillagers ^nns+nom+++=pillagers
of ^in++++=of
Rome ^np++++=Rome;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
appearance ^nn+nom+++=appearance
and ^cc++++=and
character ^nn+nom+++=character
would ^md+prd+++=would
be ^vb+be+aux++=be
more ^ql++++=more
like ^vb++++=like
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
modern ^jj+atrb+++=modern
Welsh ^nn++++=Welsh,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
French ^jj+atrb+++=French
descendants ^nns+nom+++=descendants,
, ^zz++++=EXTRAWORD
small ^jj++++=small,
, ^zz++++=EXTRAWORD
alert ^nn++++=alert,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dark ^jj++++=dark-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
fierce ^jj++++=fierce
at ^in++++=at
the ^ati++++=the
first ^od++++=first
onset ^nn++++=onset,
, ^zz++++=EXTRAWORD
soon ^rb+tm+++=soon
rebuffed ^vbd+++xvbn+=rebuffed,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
with ^in++++=with
much ^ap++++=much
perseverance ^nn+nom+++=perseverance
in ^in++++=in
the ^ati++++=the
long ^nn++++=long
run ^vbd+++xvbn+=run.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
worship ^nn+nom+++=worship
was ^vbd+bedz+aux++=was
conducted ^vpsv++by+xvbnx+=conducted
by ^in++++=by
Druids ^np+++??+=Druids,
, ^zz++++=EXTRAWORD
like ^in++++=like
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
Britons ^nn++++=Britons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
dress ^nn++++=dress
was ^vbd+bedz+aux++=was
of ^in++++=of
checked ^vbd+++xvbn+=checked
material ^nn++++=material,
, ^zz++++=EXTRAWORD
formed ^j+++xvbn+=formed
into ^in++++=into
a ^at++++=a
loose ^jj+atrb+++=loose
coat ^nn++++=coat
and ^cc++++=and
wide ^jj+atrb+++=wide
trousers ^nns+nom+++=trousers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
superior ^jj+atrb+++=superior
chiefs ^nns++++=chiefs,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
any ^dti++++=any
dealings ^nns+nom+++=dealings
with ^in++++=with
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
speak ^vb++++=speak
a ^rb++++=a
little ^rb"++++=little
Latin ^jj++++=Latin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
a ^ap++++=a
few ^ap"++++=few
Roman ^jj+atrb+++=Roman
weapons ^nns++++=weapons
as ^ql++++=as
great ^np++++=great
improvements ^nns+nom+++=improvements
upon ^in++++=upon
their ^pp$+pp3+++=their
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
fortifications ^nns+nom+++=fortifications
were ^vbd+bed+vrb++=were
wonderfully ^rb++++=wonderfully
strong ^jj+pred+++=strong.
. ^zz++++=EXTRAWORD
Trunks ^nns++++=Trunks
of ^in++++=of
trees ^nns++++=trees
were ^vbd+bed+aux++=were
laid ^vpsv++agls+xvbnx+=laid
on ^rb+phrv+++=on
the ^ati++++=the
ground ^nn++++=ground
at ^in++++=at
two ^cd++++=two
feet ^nns++++=feet
apart ^in+strn+++=apart,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
depth ^nn++++=depth
of ^in++++=of
the ^ati++++=the
wall ^nn++++=wall
was ^vbd+bedz+vrb++=was
their ^pp$+pp3+++=their
full ^jj+atrb+++=full
length ^nn++++=length.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
these ^dt+dem+++=these
another ^dt++++=another
tier ^nn++++=tier
of ^in++++=of
beams ^nns++++=beams
was ^vbd+bedz+aux++=was
laid ^vpsv++agls+xvbnx+=laid
crosswise ^rb+cnj+++=crosswise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
space ^nn++++=space
between ^in++++=between
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
up ^rb+phrv+++=up
with ^in+ppvb+++=with
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
outside ^in+pl+++=outside
faced ^nn++++=faced
with ^in++++=with
large ^jj+atrb+++=large
stones ^nns++++=stones;
; ^zz++++=EXTRAWORD
the ^ati++++=the
building ^jj+++xvbg+=building
of ^in++++=of
earth ^nn++++=earth
and ^cc++++=and
stone ^nn++++=stone
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
up ^in+cmpx+++=up
to ^in"++++=to
some ^dti++++=some
height ^nn++++=height,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
came ^vbd+++xvbn+=came
another ^dt++++=another
tier ^nn++++=tier
of ^in++++=of
timbers ^nns+nom+++=timbers,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
as ^ql++++=as
before ^in++++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
repeated ^vpsv++agls+xvbnx+=repeated
again ^rb+tm+++=again
to ^in++++=to
a ^at++++=a
considerable ^jj+atrb+++=considerable
height ^nn++++=height,
, ^zz++++=EXTRAWORD
the ^ati++++=the
inner ^jjb+atrb+++=inner
ends ^nns++++=ends
of ^in++++=of
the ^ati++++=the
beams ^nns++++=beams
being ^xvbg+++xvbg+=being
fastened ^vprf+++xvbn+=fastened
to ^in++++=to
a ^at++++=a
planking ^nn++++=planking
within ^in++++=within
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
whole ^nn++++=whole
was ^vbd+bedz+vrb++=was
of ^in++++=of
immense ^jj+atrb+++=immense
compactness ^nns+nom+++=compactness.
. ^zz++++=EXTRAWORD
Fire ^nn++++=Fire
could ^md+pos+++=could
not ^xnot++not++=not
damage ^nn++++=damage
the ^ati++++=the
mineral ^nn++++=mineral
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
construction ^nn+nom+++=construction,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
battering ^xvbg+++xvbg+=battering
ram ^vb++++=ram
hurt ^nn+++xvbn+=hurt
the ^ati++++=the
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Romans ^nn++++=Romans
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
often ^rb++splt++=often
placed ^vpsv++agls+xvbn+=placed
in ^in++++=in
great ^jj+atrb+++=great
difficulties ^nns++++=difficulties
by ^in++++=by
these ^dt+dem+++=these
rude ^jj+atrb+++=rude
but ^cc+phrs+++=but
admirable ^jj+atrb+++=admirable
constructions ^nns+nom+++=constructions,
, ^zz++++=EXTRAWORD
within ^in++++=within
which ^whp+rel+pied++=which
the ^ati++++=the
Gauls ^np+++??+=Gauls
placed ^vwbn+++xvbn+=placed
their ^pp$+pp3+++=their
families ^nns++++=families
and ^cc++++=and
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
building ^nvbg+++xvbg+=building
huts ^nns++++=huts
for ^in++++=for
present ^vb++++=present
shelter ^nn++++=shelter.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
late ^jj++++=late,
, ^zz++++=EXTRAWORD
some ^dti++++=some
attempts ^nns++++=attempts
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
at ^rb++++=at
copying ^jj+++xvbg+=copying
the ^ati++++=the
regular ^jj+atrb+++=regular
streets ^nns++++=streets
and ^cc++++=and
houses ^nns++++=houses
built ^vbd+++xvbn+=built
round ^rb++++=round
courts ^nns++++=courts
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
in ^in++++=in
use ^nn++++=use
among ^in++++=among
the ^ati++++=the
Romans ^nn++++=Romans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Roman ^jj+atrb+++=Roman
colonies ^nns++++=colonies
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
established ^vpsv++agls+xvbnx+=established
in ^in++++=in
various ^jj+atrb+++=various
places ^nns++++=places,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
veteran ^nn++++=veteran
soldiers ^nns+nom+++=soldiers
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
grants ^nns++++=grants
of ^in++++=of
land ^nn++++=land
on ^in++++=on
condition ^nn+nom+++=condition
of ^in++++=of
keeping ^xvbg+++xvbg+=keeping
the ^ati++++=the
natives ^nns++++=natives
in ^in++++=in
check ^nn++++=check.
. ^zz++++=EXTRAWORD
A ^at++++=A
growing ^jj+atrb++xvbg+=growing
taste ^nn++++=taste
for ^in++++=for
arts ^nns++++=arts
and ^cc++++=and
civilization ^nn+nom+++=civilization
was ^vbd+bedz+aux++=was
leading ^vbg+++xvbgx+=leading
to ^in++++=to
Romans ^nn++++=Romans
of ^in++++=of
inferior ^jj+atrb+++=inferior
classes ^nns++++=classes
settling ^vwbg+++xvbg+=settling
themselves ^ppls+pp3+++=themselves
in ^in++++=in
other ^ap++++=other
Gallic ^np+++??+=Gallic
cities ^nns++++=cities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
rising ^nvbg+++xvbg+=rising
of ^in++++=of
the ^ati++++=the
Gauls ^np+++??+=Gauls
began ^vwbn+++xvbn+=began
by ^in++++=by
a ^at++++=a
quarrel ^nn++++=quarrel
at ^rb++++=at
the ^ati++++=the
city ^nn++++=city
we ^pp1a+pp1+++=we
now ^rn+tm+++=now
call ^vb++++=call
Orleans ^nns+nom++??+=Orleans,
, ^zz++++=EXTRAWORD
ending ^vbg+++xvbg+=ending
in ^in++++=in
a ^at++++=a
massacre ^nn++++=massacre
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
Romans ^nn++++=Romans
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tidings ^nns++++=tidings
were ^vbd+bed+aux++=were
spread ^vpsv++agls+xvbnx+=spread
through ^in++++=through
all ^abn++++=all
the ^ati++++=the
country ^nn++++=country
by ^in++++=by
loud ^nn++++=loud
shouts ^vbz++++=shouts,
, ^zz++++=EXTRAWORD
repeated ^j+++xvbn+=repeated
from ^in++++=from
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
by ^in++++=by
men ^nns++++=men
stationed ^vwbn+++xvbn+=stationed
on ^in++++=on
every ^at++++=every
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
at ^rb++++=at
Orleans ^nns+nom++??+=Orleans
at ^in++++=at
sunrise ^nn++++=sunrise
was ^vbd+bedz+aux++=was
known ^vpsv++by+xvbnx+=known
by ^in++++=by
nine ^cd++++=nine
at ^in++++=at
night ^nn++++=night
160 ^cd++++=160
miles ^nns++++=miles
off ^in+pl+++=off
among ^in++++=among
the ^ati++++=the
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then
the ^ati++++=the
homes ^nrs++++=homes
of ^in++++=of
a ^at++++=a
tribe ^nn++++=tribe
called ^vwbn+++xvbn+=called
by ^in++++=by
the ^ati++++=the
Romans ^nn++++=Romans
the ^ati++++=the
Arverni ^np+++??+=Arverni,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left
their ^pp$+pp3+++=their
name ^nn++++=name
to ^in++++=to
the ^ati++++=the
province ^nn++++=province
of ^in++++=of
Auvergne ^np+++??+=Auvergne.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
dwelt ^vbd+++xvbn+=dwelt
a ^at++++=a
young ^jj+atrb+++=young
chieftain ^nn++++=chieftain,
, ^zz++++=EXTRAWORD
probably ^rb++++=probably
really ^rb+emph+++=really
called ^xvbn+++xvbn+=called
Fearcuincedorigh ^np+++??+=Fearcuincedorigh,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Man ^nn++++=Man
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
chief ^jjb+pred+++=chief
of ^in++++=of
a ^at++++=a
hundred ^cd++++=hundred
heads ^nns++++=heads,
, ^zz++++=EXTRAWORD
known ^vb+++xvbn+=known
to ^to+vcmp+++=to
us ^pp1o+pp1+++=us
by ^in++++=by
Caesar ^np++++=Caesar's
's ^$++++=EXTRAWORD
version ^nn++++=version
of ^in++++=of
his ^pp$+pp3+++=his
name ^nn++++=name,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Vercingetorix ^np+++??+=Vercingetorix,
, ^zz++++=EXTRAWORD
a ^at++++=a
high ^jj++++=high-spirited
- ^zz++++=EXTRAWORD
spirited ^jj+atrb+++=EXTRAWORD
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
keenly ^rb++++=keenly
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
servitude ^nn++++=servitude
of ^in++++=of
his ^pp$+pp3+++=his
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
on ^in++++=on
receiving ^xvbg+++xvbg+=receiving
these ^dt+dem+++=these
tidings ^nns++++=tidings,
, ^zz++++=EXTRAWORD
instantly ^rb+tm+++=instantly
called ^xvbn+++xvbn+=called
on ^in+ppvb+++=on
his ^pp$+pp3+++=his
friends ^nns++++=friends
to ^in++++=to
endeavor ^vb++++=endeavor
to ^to+vcmp+++=to
shake ^vbi++++=shake
off ^rb+phrv+++=off
the ^ati++++=the
yoke ^nn++++=yoke.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
feared ^vbd+vprv++xvbn+=feared
to ^to++++=to
provoke ^vbi++++=provoke
Roman ^jj+atrb+++=Roman
vengeance ^nn+nom+++=vengeance,
, ^zz++++=EXTRAWORD
expelled ^xvbn+++xvbn+=expelled
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
chief ^jjb+atrb+++=chief
city ^nn++++=city,
, ^zz++++=EXTRAWORD
Gergovia ^np+++??+=Gergovia,
, ^zz++++=EXTRAWORD
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
which ^whp+rel+pied++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
traced ^vpsv++agls+xvbnx+=traced
on ^in++++=on
the ^ati++++=the
mountain ^nn++++=mountain
still ^rb++++=still
called ^xvbn+++xvbn+=called
Gergoie ^np+++??+=Gergoie,
, ^zz++++=EXTRAWORD
about ^in++++=about
six ^cd++++=six
miles ^nns++++=miles
from ^in++++=from
Clermont ^np+++??+=Clermont;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
collected ^vbd+++xvbnx+=collected
all ^abn++++=all
the ^ati++++=the
younger ^jjr++++=younger
and ^cc++++=and
more ^ql++++=more
high ^jj++++=high-spirited
- ^zz++++=EXTRAWORD
spirited ^jj+atrb+++=EXTRAWORD
men ^nns++++=men,
, ^zz++++=EXTRAWORD
forced ^xvbn+++xvbn+=forced
a ^at++++=a
way ^nn++++=way
into ^in++++=into
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
proclaimed ^vpsv++agls+xvbnx+=proclaimed
chief ^jjb++++=chief
of ^in++++=of
his ^pp$+pp3+++=his
tribe ^nn++++=tribe.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
neighboring ^jj+atrb+++=neighboring
tribes ^nns++++=tribes
joined ^vbd+++xvbn+=joined
in ^in++++=in
the ^ati++++=the
league ^nn++++=league
against ^in++++=against
the ^ati++++=the
common ^jj+atrb+++=common
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tidings ^nns++++=tidings
were ^vbd+bed+aux++=were
brought ^vpsv++agls+xvbnx+=brought
to ^in+phrv+++=to
Caesar ^np++++=Caesar
that ^tht+rel+obj++=that
the ^ati++++=the
whole ^jj+atrb+++=whole
country ^nn++++=country
round ^in++++=round
the ^ati++++=the
Loire ^np+++??+=Loire
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
revolt ^nn++++=revolt.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
winter ^nn++++=winter
he ^pp3a+pp3+++=he
hurried ^vbd+++xvbnx+=hurried
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
the ^ati++++=the
Gauls ^np+++??+=Gauls
by ^in++++=by
surprise ^nn++++=surprise
by ^in++++=by
crossing ^xvbg+++xvbg+=crossing
the ^ati++++=the
snows ^nps++++=snows
that ^tht+rel+++=that
lay ^jjb+++xvbn+=lay
