For ^in++++=For
had ^vbd+hvd+aux++=had
driven ^vprf+++xvbnx+=driven
up ^rp++++=up
from ^in++++=from
Newcastle ^np++++=Newcastle
and ^cc++++=and
was ^vbd+bedz+vrb++=was
within ^in++++=within
about ^in++++=about
a ^at++++=a
mile ^nn++++=mile
of ^in++++=of
Auburn ^nn++++=Auburn
in ^in++++=in
the ^ati++++=the
darkest ^jjt+atrb+++=darkest
and ^cc+phrs+++=and
narrowest ^jjt+atrb+++=narrowest
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
ravine ^nn++++=ravine,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
intently ^rb++++=intently
ahead ^rb+pl+++=ahead
of ^in++++=of
my ^pp$+pp1+++=my
horse ^nn++++=horse
for ^in++++=for
the ^ati++++=the
roadway ^nn++++=roadway.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
man ^nn++++=man
almost ^rb+hdg+++=almost
under ^in++++=under
the ^ati++++=the
animal ^nn++++=animal's
's ^$++++=EXTRAWORD
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reined ^vpsv++agls+xvbn+=reined
in ^in++++=in
with ^in++++=with
a ^at++++=a
jerk ^vb++++=jerk
that ^dt+pdem+++=that
came ^vbd+++xvbn+=came
near ^in+pl+++=near
setting ^xvbg+++xvbg+=setting
the ^ati++++=the
creature ^nn++++=creature
upon ^in++++=upon
its ^pp$+it+++=its
haunches ^nns++++=haunches.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
beg ^vb++++=beg
your ^pp$+pp2+++=your
pardon ^nn++++=pardon,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could
hardly ^rb+down+++=hardly
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
replied ^vbd+vpub++xvbn+=replied
civilly ^rb+cnj+++=civilly,
, ^zz++++=EXTRAWORD
approaching ^jj+++xvbg+=approaching
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
vehicle ^nn++++=vehicle;
; ^zz++++=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
the ^ati++++=the
noise ^nn++++=noise
of ^in++++=of
the ^ati++++=the
creek ^npl++++=creek
prevented ^vbd+++xvbn+=prevented
my ^pp$+pp1+++=my
hearing ^nvbg+++xvbg+=hearing
you ^pp2+pp2+++=you.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
at ^rb++++=at
once ^rb"+tm+++=once
recognized ^vbd+vprv++xvbn+=recognized
the ^ati++++=the
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
five ^cd++++=five
years ^nns++++=years
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
heard ^vprf++tht0+xvbnx+=heard
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
particularly ^rb++++=particularly
well ^rb++++=well
pleased ^jj+++xvbn+=pleased
to ^to+jcmp+++=to
hear ^vbi+vprv+++=hear
it ^pp3+it+++=it
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Dorrimore ^np++++=Dorrimore,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
my ^pp$+pp1+++=my
good ^jj+atrb+++=good
friend ^nn++++=friend
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Manrich ^np++++=Manrich.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
more ^rbr++++=more
than ^in++++=than
glad ^jj++++=glad
to ^to+jcmp+++=to
see ^vbi+vprv+tht0++=see
you ^pp2+pp2+++=you
- ^zz++++=-the
the ^ati++++=EXTRAWORD
excess ^nn++++=excess,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
light ^jj+atrb+++=light
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
' ^zz++++='being
being ^vbg+beg++xvbg+=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^vbg+++xvbgx+=going
your ^pp$+pp2+++=your
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
naturally ^rb++++=naturally
expect ^vb+vprv+++=expect
an ^at++++=an
invitation ^nn+nom+++=invitation
to ^to+ncmp+++=to
ride ^vbi++++=ride
with ^in++++=with
you ^pp2+pp2+++=you.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Which
which ^whp+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
extend ^vb++++=extend
with ^in++++=with
all ^abn++++=all
my ^pp$+pp1+++=my
heart ^nn++++=heart.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
true ^jj++++=true.
. ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Dorrimore ^np++++=Dorrimore
thanked ^vbd+++xvbn+=thanked
me ^pp1o+pp1+++=me
as ^ql++++=as
he ^pp3a+pp3+++=he
seated ^vbd+++xvbnx+=seated
himself ^ppl+pp3+++=himself
beside ^in+pl+++=beside
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
drove ^vbd+++xvbnx+=drove
cautiously ^rb++++=cautiously
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
as ^ql++++=as
before ^in++++=before.
. ^zz++++=EXTRAWORD
Doubtless ^rb++++=Doubtless
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
fancy ^jj+pred+++=fancy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
now ^rn+tm+++=now
that ^cs+sub+++=that
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
distance ^nn+nom+++=distance
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
in ^in++++=in
a ^at++++=a
chill ^nn++++=chill
fog ^nn++++=fog;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
uncomfortably ^rb++++=uncomfortably
cold ^jj+pred+++=cold;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
way ^nn++++=way
was ^vbd+bedz+vrb++=was
longer ^rbr++++=longer
than ^in++++=than
ever ^rb++++=ever
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
reached ^vbd+++xvbn+=reached
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
cheerless ^jj++++=cheerless,
, ^zz++++=EXTRAWORD
forbidding ^vbg+++xvbg+=forbidding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
desolate ^jj++++=desolate.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
recollect ^vb+vprv+++=recollect
a ^at++++=a
light ^nn++++=light
in ^in++++=in
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses
nor ^cc++neg++=nor
a ^at++++=a
living ^jj+atrb++xvbg+=living
thing ^nn++++=thing
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
Dorrimore ^np+++??+=Dorrimore
explained ^vbd+vpub++xvbn+=explained
at ^rb++++=at
some ^dti++++=some
length ^nn++++=length
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
happened ^vbd+++xvbnx+=happened
to ^to+vcmp+++=to
be ^vbi++vrb++=be
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
during ^in++++=during
the ^ati++++=the
years ^nns++++=years
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
elapsed ^vwbn+++xvbn+=elapsed
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
recall ^vb+vprv+++=recall
the ^ati++++=the
fact ^nn++++=fact
of ^in++++=of
the ^ati++++=the
narrative ^nn++++=narrative,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^rb++++=none
of ^in++++=of
the ^ati++++=the
facts ^nns++++=facts
narrated ^vbd+++xvbn+=narrated.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
foreign ^jj+atrb+++=foreign
countries ^nns++++=countries
and ^cc++++=and
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
- ^zz++++=-this
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
all ^abn++++=all
that ^dt+dem+++=that
my ^pp$+pp1+++=my
memory ^nn++++=memory
retains ^vbz++++=retains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
I ^pp1a+pp1+++=I
already ^rb++++=already
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in"++++=to
myself ^ppl+pp1+++=myself
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
doubtless ^rb++++=doubtless
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
one ^cd1++++=one
thing ^nn++++=thing
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
distinctly ^rb++++=distinctly
conscious ^jj+pred+++=conscious:
: ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
presence ^nn+nom+++=presence
at ^in++++=at
my ^pp$+pp1+++=my
side ^nn++++=side
was ^vbd+bedz+vrb++=was
strangely ^rb++++=strangely
distasteful ^jj+pred+++=distasteful
and ^cc+phrs+++=and
disquieting ^jj+++xvbg+=disquieting
- ^zz++++=-so
so ^ql++++=EXTRAWORD
much ^ap++++=much
so ^ql++++=so
that ^dt+pdem+++=that
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
at ^rb++++=at
last ^rb"++++=last
pulled ^vbd+++xvbn+=pulled
up ^rp++++=up
under ^in++++=under
the ^ati++++=the
lights ^nns++++=lights
of ^in++++=of
the ^ati++++=the
Putnam ^np+++??+=Putnam
House ^nn++++=House
I ^pp1a+pp1+++=I
experienced ^vbd+++xvbnx+=experienced
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
having ^nn+nn+aux++=having
escaped ^vbd+++xvbn+=escaped
some ^dti++++=some
spiritual ^jj+atrb+++=spiritual
peril ^nn++++=peril
of ^in++++=of
a ^at++++=a
nature ^nn++++=nature
peculiarly ^rb++++=peculiarly
forbidding ^jj+++xvbg+=forbidding.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
sense ^nn++++=sense
of ^in++++=of
relief ^nn++++=relief
was ^vbd+bedz+aux++=was
somewhat ^rb+down+splt++=somewhat
modified ^vpsv++by+xvbnx+=modified
by ^in++++=by
the ^ati++++=the
discovery ^nn+nom+++=discovery
that ^tht+ncmp+++=that
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Dorrimore ^np++++=Dorrimore
was ^vbd+bedz+aux++=was
living ^vbg+++xvbgx+=living
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
hotel ^nn++++=hotel.
. ^zz++++=EXTRAWORD
Ii ^np+++??+=II
In ^in++++=In
partial ^jj+atrb+++=partial
explanation ^nn+nom+++=explanation
of ^in++++=of
my ^pp$+pp1+++=my
feelings ^nns+nom+++=feelings
regarding ^in++++=regarding
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Dorrimore ^np++++=Dorrimore
I ^pp1a+pp1+++=I
will ^md+prd+++=will
relate ^vb++++=relate
briefly ^rb++++=briefly
the ^ati++++=the
circumstances ^nns+nom+++=circumstances
under ^in++++=under
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
him ^pp3o+pp3+++=him
some ^dti++++=some
years ^nns++++=years
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening
a ^at++++=a
half ^abn++++=half-dozen
- ^zz++++=EXTRAWORD
dozen ^cd++++=EXTRAWORD
men ^nns++++=men
of ^in++++=of
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
one ^cd1++++=one
were ^vbd+bed+aux++=were
sitting ^vbg+++xvbgx+=sitting
in ^in++++=in
the ^ati++++=the
library ^nn+nom+++=library
of ^in++++=of
the ^ati++++=the
Bohemian ^jj+atrb+++=Bohemian
Club ^nn++++=Club
in ^in++++=in
San ^np++++=San
Francisco ^np++++=Francisco.
. ^zz++++=EXTRAWORD
The ^ati++++=The
conversation ^nn+nom+++=conversation
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
sleight ^nn+++??+=sleight-of-hand
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
feats ^nns++++=feats
of ^in++++=of
the ^ati++++=the
prestidigitateurs ^nns+++??+=prestidigitateurs,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
whom ^whp+rel+pied++=whom
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
exhibiting ^vbg+++xvbgx+=exhibiting
at ^rb++++=at
a ^at++++=a
local ^jj+atrb+++=local
theatre ^nn++++=theatre.
. ^zz++++=EXTRAWORD
' ^zz++++='These
these ^dt+dem+++=EXTRAWORD
fellows ^nns++++=fellows
are ^vb+ber+vrb++=are
pretenders ^nns+nom+++=pretenders
in ^in++++=in
a ^at++++=a
double ^jj+atrb+++=double
sense ^nn++++=sense,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
party ^nn++++=party;
; ^zz++++=EXTRAWORD
' ^zz++++='they
they ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can
do ^vb+do+vrb++=do
nothing ^pn++++=nothing
which ^whp+who+++=which
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
worth ^in++++=worth
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
while ^cs+sub+++=while
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
a ^at++++=a
dupe ^nn++++=dupe
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
The ^ati++++=The
humblest ^jjt+atrb+++=humblest
wayside ^nn++++=wayside
juggler ^nn++++=juggler
in ^in++++=in
India ^np++++=India
could ^md+pos+++=could
mystify ^vb++++=mystify
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
verge ^nn++++=verge
of ^in++++=of
lunacy ^nn++++=lunacy.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='For
for ^in++++=EXTRAWORD
example ^nn++++=example,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
another ^ppls++++=another,
, ^zz++++=EXTRAWORD
lighting ^nn++++=lighting
a ^at++++=a
cigar ^nn++++=cigar.
. ^zz++++=EXTRAWORD
' ^zz++++='For
for ^in++++=EXTRAWORD
example ^nn++++=example,
, ^zz++++=EXTRAWORD
by ^in++++=by
all ^abn++++=all
their ^pp$+pp3+++=their
common ^jj+atrb+++=common
and ^cc+phrs+++=and
familiar ^jj+atrb+++=familiar
performances ^nns+nom+++=performances
- ^zz++++=-throwing
throwing ^vbg+++xvbg+=EXTRAWORD
large ^jj+atrb+++=large
objects ^nns++++=objects
into ^in++++=into
the ^ati++++=the
air ^nn++++=air
which ^whp+rel+subj++=which
never ^rb++++=never
come ^vprf+++xvbn+=come
down ^rp++++=down;
; ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=causing
plants ^nns++++=plants
to ^to++++=to
sprout ^vbi++++=sprout,
, ^zz++++=EXTRAWORD
grow ^vb++++=grow
visibly ^rb++++=visibly
and ^cc++++=and
blossom ^vb++++=blossom,
, ^zz++++=EXTRAWORD
in ^in++++=in
bare ^jj+atrb+++=bare
ground ^nn++++=ground
chosen ^vwbn+++xvbn+=chosen
by ^in++++=by
spectators ^nns++++=spectators;
; ^zz++++=EXTRAWORD
putting ^vbg+++xvbg+=putting
a ^at++++=a
man ^nn++++=man
into ^in++++=into
a ^at++++=a
wicker ^nn++++=wicker
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
piercing ^jj+++xvbg+=piercing
him ^pp3o+pp3+++=him
through ^in++++=through
and ^cc++++=and
through ^in++++=through
with ^in++++=with
a ^at++++=a
sword ^nn++++=sword
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
shrieks ^vbz++++=shrieks
and ^cc+phrs+++=and
bleeds ^vbz++++=bleeds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
- ^zz++++=-the
the ^ati++++=EXTRAWORD
basket ^nn++++=basket
being ^xvbg+++xvbg+=being
opened ^xvbn+++xvbn+=opened
nothing ^pn++++=nothing
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
tossing ^vbg+++xvbg+=tossing
the ^ati++++=the
free ^jj+atrb+++=free
end ^nn++++=end
of ^in++++=of
a ^at++++=a
silken ^jj+atrb+++=silken
ladder ^nn++++=ladder
into ^in++++=into
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
mounting ^vbg+++xvbg+=mounting
it ^pp3+it+++=it
and ^cc++++=and
disappearing ^jj+++xvbg+=disappearing.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Nonsense!'
nonsense ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
rather ^rb++++=rather
uncivilly ^jj++++=uncivilly,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fear ^vb++++=fear.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
surely ^rb++++=surely
do ^vb+do+aux++=do
not ^xnot++not++=not
believe ^vb+vprv+++=believe
such ^abl++++=such
things ^nns++++=things?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Certainly
certainly ^rb++++=EXTRAWORD
not ^xnot++not++=not:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
them ^pp3o+pp3+++=them
too ^rb++++=too
often ^rb++++=often.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
journalist ^nn+nom+++=journalist
of ^in++++=of
considerable ^jj+atrb+++=considerable
local ^jj+atrb+++=local
fame ^nn++++=fame
as ^in++++=as
a ^at++++=a
picturesque ^jj+atrb+++=picturesque
reporter ^nn+nom+++=reporter.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
so ^rb++++=so
frequently ^rb++++=frequently
related ^jj+++xvbn+=related
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
nothing ^pn++++=nothing
but ^cc++++=but
observation ^nn+nom+++=observation
could ^md+pos+++=could
shake ^vb++++=shake
my ^pp$+pp1+++=my
conviction ^nn+nom+++=conviction.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
own ^ap++++=own
word ^nn++++=word
for ^in++++=for
it ^pp3+it+++=it.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
laughed ^vbd+++xvbn+=laughed
- ^zz++++=-all
all ^abn++++=EXTRAWORD
were ^vbd+bed+aux++=were
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
something ^pn++++=something
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Turning ^nvbg+++xvbg+=Turning
in ^in++++=in
my ^pp$+pp1+++=my
seat ^nn++++=seat
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
man ^nn++++=man
in ^in++++=in
evening ^nn++++=evening
dress ^nn++++=dress
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
exceedingly ^rb++++=exceedingly
dark ^jj+pred+++=dark,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
swarthy ^jj++++=swarthy,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
thin ^jj+atrb+++=thin
face ^nn++++=face,
, ^zz++++=EXTRAWORD
black ^jj++++=black-bearded
- ^zz++++=EXTRAWORD
bearded ^jj++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
an ^at++++=an
abundance ^nn+nom+++=abundance
of ^in++++=of
coarse ^jj+atrb+++=coarse
