Everyone ^pn++++=Everyone
He ^pp3a+pp3+++=He
deposed ^vbd+++xvbnx+=deposed
to ^in++++=to
having ^nn+nn+aux++=having
watched ^vbd+++xvbn+=watched
her ^pp$+pp3+++=her
on ^in++++=on
three ^cd++++=three
different ^jj+atrb+++=different
occasions ^nns++++=occasions
from ^in++++=from
his ^pp$+pp3+++=his
window ^nn++++=window,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
full ^nn++++=full
of ^in++++=of
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
gathering ^nvbg+++xvbg+=gathering
sprigs ^nns+++??+=sprigs
' ^zz++++='from
from ^in++++=EXTRAWORD
the ^ati++++=the
ash ^nn++++=ash-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
near ^rb++++=near
my ^pp$+pp1+++=my
house ^npl++++=house'.
'. ^nn+++??+=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
into ^in++++=into
the ^ati++++=the
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
clad ^jj++++=clad
only ^rb+down+++=only
in ^in++++=in
her ^pp$+pp3+++=her
shift ^nn++++=shift,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
cutting ^vbg+++xvbgx+=cutting
off ^rb+phrv+++=off
small ^jj+atrb+++=small
twigs ^nns++++=twigs
with ^in++++=with
a ^at++++=a
peculiarly ^rb++++=peculiarly
curved ^jj+atrb+++=curved
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
so ^ql++++=so
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
talking ^vbg+++xvbgx+=talking
to ^in++++=to
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
On ^in++++=On
each ^dt++++=each
occasion ^nn++++=occasion
Sir ^npt++++=Sir
Matthew ^np++++=Matthew
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
his ^pp$+pp3+++=his
best ^jjt++++=best
to ^to+jcmp+++=to
capture ^vbi++++=capture
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
always ^rb++splt++=always
taken ^vprf+++xvbnx+=taken
alarm ^vb++++=alarm
at ^rb++++=at
some ^dti++++=some
accidental ^jj+atrb+++=accidental
noise ^nn++++=noise
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+++=see
when ^wrb+who+whcl++=when
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
down ^rb+phrv+++=down
to ^in+ppvb+++=to
the ^ati++++=the
garden ^nn++++=garden
was ^vbd+bedz+vrb++=was
a ^at++++=a
hare ^nn++++=hare
running ^vwbg+++xvbg+=running
across ^in+pl+++=across
the ^ati++++=the
park ^nn++++=park
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
third ^nn++++=third
night ^nn++++=night
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
the ^ati++++=the
pains ^nns++++=pains
to ^to++++=to
follow ^vbi+vprv+++=follow
at ^in++++=at
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
straight ^jj++++=straight
to ^in++++=to
Mrs ^npt++++=Mrs
Mothersole ^np++++=Mothersole's
's ^$++++=EXTRAWORD
house ^npl++++=house;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
had ^md"++pmd"++=had
to ^md+nec+++=to
wait ^vb++++=wait
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour
battering ^vwbg+++xvbg+=battering
at ^rb++++=at
her ^pp3o+pp3+++=her
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
out ^rp+pl+++=out
very ^ql+amp+++=very
cross ^np++++=cross,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
apparently ^rb++++=apparently
very ^ql+amp+++=very
sleepy ^jj++++=sleepy,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
just ^rb+emph+++=just
out ^rp+pl+++=out
of ^in++++=of
bed ^nn++++=bed;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
good ^jj+atrb+++=good
explanation ^nn+nom+++=explanation
to ^to++++=to
offer ^vbi++++=offer
of ^in++++=of
his ^pp$+pp3+++=his
visit ^nn++++=visit.
. ^zz++++=EXTRAWORD
Mainly ^rb++++=Mainly
on ^in++++=on
this ^dt+dem+++=this
evidence ^nn+nom+++=evidence,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
much ^ap++++=much
more ^rbr++++=more
of ^in++++=of
a ^at++++=a
less ^rbr++++=less
striking ^jj+atrb++xvbg+=striking
and ^cc+phrs+++=and
unusual ^jj+atrb+++=unusual
kind ^nn++++=kind
from ^in++++=from
other ^ap++++=other
parishioners ^nns+nom+++=parishioners,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs
Mothersole ^np++++=Mothersole
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
guilty ^jj++++=guilty
and ^cc+phrs+++=and
condemned ^jj+++xvbn+=condemned
to ^to++++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
hanged ^vpsv++agls+xvbnx+=hanged
a ^at++++=a
week ^nn++++=week
after ^in++++=after
the ^ati++++=the
trial ^nn++++=trial,
, ^zz++++=EXTRAWORD
with ^in++++=with
five ^cd++++=five
or ^cc++++=or
six ^cd++++=six
more ^rbr++++=more
unhappy ^jj+atrb+++=unhappy
creatures ^nns++++=creatures,
, ^zz++++=EXTRAWORD
at ^rb++++=at
Bury ^vb++++=Bury
St ^npt++++=St
Edmunds ^np++++=Edmunds.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Matthew ^np++++=Matthew
Fell ^vbd+++xvbn+=Fell,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
Deputy ^nn++++=Deputy-Sheriff,
- ^zz++++=EXTRAWORD
sheriff ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
present ^vb++++=present
at ^rb++++=at
the ^ati++++=the
execution ^nn+nom+++=execution.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
damp ^nn++++=damp,
, ^zz++++=EXTRAWORD
drizzly ^jj+atrb+++=drizzly
March ^nr++++=March
morning ^nn++++=morning
when ^wrb+who+++=when
the ^ati++++=the
cart ^nn++++=cart
made ^vbd+++xvbn+=made
its ^pp$+it+++=its
way ^nn++++=way
up ^rp++++=up
the ^ati++++=the
rough ^jj+atrb+++=rough
grass ^nn++++=grass
hill ^npl++++=hill
outside ^jjb++++=outside
Northgate ^np+nom+++=Northgate,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
gallows ^np++++=gallows
stood ^vbd+++xvbn+=stood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
victims ^nns++++=victims
were ^vbd+bed+vrb++=were
apathetic ^jj+pred+++=apathetic
or ^cc+phrs+++=or
broken ^jj+++xvbn+=broken
down ^rp++++=down
with ^in++++=with
