Many ^ap++++=Many
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
mostly ^rb++++=mostly
preachers ^nns+nom+++=preachers
or ^cc++++=or
lubbers ^nns+nom+++=lubbers
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
mighty ^jj++++=mighty
little ^ap++++=little
of ^in++++=of
merchant ^nn+nom+++=merchant
sailors ^nns++++=sailors.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
them ^pp3o+pp3+++=them
try ^vb++++=try
moral ^jj+atrb+++=moral
suasion ^nn+++??+=suasion
on ^in++++=on
a ^at++++=a
mule ^nn++++=mule
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
works ^vbz++++=works
with ^in++++=with
a ^at++++=a
sailor ^nn++++=sailor.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
never ^rb++++=never
swear ^vb+vpub++xvbn+=swear
at ^in++++=at
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
get ^vb++++=get
lazy ^jj++++=lazy
and ^cc++++=and
despise ^vb++++=despise
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
besides ^rb++++=besides
thinking ^nvbg+++xvbg+=thinking
you ^pp2+pp2+++=you
a ^at++++=a
milk ^nn++++=milk-sop.
- ^zz++++=EXTRAWORD
sop ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^ql++++=as
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
Cap ^nn++++=Cap'n
'n ^nn+++??+=EXTRAWORD
Pratt ^np+++??+=Pratt
took ^vbd+++xvbn+=took
a ^at++++=a
drop ^vb++++=drop
too ^ql++++=too
much ^ap++++=much
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then;
; ^zz++++=EXTRAWORD
mostly ^rb++++=mostly
after ^in++++=after
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
pretty ^rb++++=pretty
straight ^jj++++=straight
until ^cs+sub+++=until
the ^ati++++=the
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
no ^at++++=no
teetotlar ^nn+++??+=teetotlar
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
green ^np++++=green
enough ^qlp++++=enough
to ^in++++=to
sign ^nn++++=sign
the ^ati++++=the
pledge ^nn++++=pledge
before ^cs+sub+++=before
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
got ^vprf+++xvbnx+=got
to ^to+vcmp+++=to
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
call ^vb++++=call
" ^zz++++="the
the ^ati++++=EXTRAWORD
age ^nn++++=age
of ^in++++=of
reason ^nn++++=reason."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
goes ^vbz++++=goes
against ^in+ppvb+++=against
my ^pp$+pp1+++=my
idees ^nn++++=idees
for ^in++++=for
a ^at++++=a
skipper ^nn++++=skipper
to ^to++++=to
drink ^vbi++++=drink
much ^rb++++=much
when ^wrb+who+++=when
on ^in++++=on
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
Pratt ^np+++??+=Pratt
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
owned ^vbd+++xvbn+=owned
his ^pp$+pp3+++=his
schooner ^nn+nom+++=schooner,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckon ^vb+vprv+tht0++=reckon
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
lost ^vprf+++xvbnx+=lost
his ^pp$+pp3+++=his
berth ^nn+++??+=berth
long ^rb++++=long
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
working ^xvbg+++xvbg+=working
out ^rp+pl+++=out
his ^pp$+pp3+++=his
sights ^nns++++=sights
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
take ^vb++++=take
a ^at++++=a
drink ^nn++++=drink
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
celebration ^nn+nom+++=celebration
in ^in++++=in
case ^nn++++=case
the ^ati++++=the
day ^nn++++=day's
's ^$++++=EXTRAWORD
run ^vbd+++xvbn+=run
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
good ^jj++++=good,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
made ^vprf+++xvbnx+=made
a ^at++++=a
poor ^jj+atrb+++=poor
record ^nn++++=record
he ^pp3a+pp3+++=he
just ^rb+emph+++=just
took ^vbd+++xvbn+=took
something ^pn++++=something
to ^to++++=to
drown ^vbi++++=drown
his ^pp$+pp3+++=his
sorrows ^nns++++=sorrows
and ^cc++++=and
sometimes ^rb++++=sometimes
it ^pp3+it+++=it
needed ^vbd+++xvbn+=needed
a ^at++++=a
deal ^nn++++=deal
of ^in++++=of
liquor ^nn++++=liquor
to ^to++++=to
drown ^vbi++++=drown
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
second ^od++++=second
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
Cap ^nn++++=Cap'n
'n ^nn+++??+=EXTRAWORD
and ^cc++++=and
me ^pp1o+pp1+++=me
stood ^vbd+++xvbn+=stood
watch ^vb++++=watch
and ^cc++++=and
watch ^nn++++=watch.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
a ^at++++=a
negro ^nn++++=negro
bo ^nn+++??+=bo's'un
's'un ^nn+++??+=EXTRAWORD
called ^vbd+++xvbn+=called
Prince ^npt++++=Prince
Saunders ^nns+nom+++=Saunders
a ^at++++=a
strapping ^jj++++=strapping
big ^jj++++=big
fellow ^jjb++++=fellow
as ^in++++=as
black ^jj++++=black
as ^ql++++=as
the ^ati++++=the
ace ^nn++++=ace
of ^in++++=of
spades ^nns++++=spades
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
on ^in++++=on
duty ^nn++++=duty
all ^abn++++=all
day ^nn++++=day
from ^in++++=from
seven ^cd++++=seven
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
till ^in++++=till
six ^cd++++=six
at ^in++++=at
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
in ^rb+phrv+++=in
till ^cs+sub+++=till
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
all ^abn++++=all
hands ^nns++++=hands
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called.
. ^zz++++=EXTRAWORD
Prince ^npt++++=Prince
acted ^vbd+++xvbn+=acted
as ^ql++++=as
general ^npt++++=general
overseer ^nn+nom+++=overseer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
those ^dt+pdem+++=those
darkeys ^vbz+++??+=darkeys
come ^vprf+++xvbn+=come
to ^in++++=to
time ^nn++++=time
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
slow ^jj++++=slow.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
ask ^vb++++=ask
for ^in+ppvb+++=for
a ^at++++=a
better ^jjr+atrb+++=better
bo ^nn+++??+=bo's'un
's'un ^nn+++??+=EXTRAWORD
or ^cc++++=or
a ^at++++=a
better ^jjr+atrb+++=better
crew ^nn++++=crew.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
Cap ^nn++++=Cap'n
'n ^nn+++??+=EXTRAWORD
and ^cc++++=and
me ^pp1o+pp1+++=me
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do
was ^vbd+bedz+aux++=was
to ^to++++=to
lay ^vbi++++=lay
out ^rb+phrv+++=out
the ^ati++++=the
day ^nn++++=day's
's ^$++++=EXTRAWORD
work ^nn++++=work
and ^cc++++=and
Prince ^nn++++=Prince
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
fellows ^nns++++=fellows
in ^in++++=in
my ^pp$+pp1+++=my
watch ^vb++++=watch
looked ^vbd+++xvbn+=looked
exactly ^rb++++=exactly
alike ^rb++++=alike
I ^pp1a+pp1+++=I
never ^rb++++=never
could ^md+pos+++=could
tell ^vb++++=tell
one ^cd1++++=one
negro ^nn++++=negro
from ^in++++=from
another ^dt++++=another
so ^ql++++=so
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
them ^pp3o+pp3+++0='em
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
Monday ^nr++++=Monday
and ^cc++++=and
Tuesday ^nr++++=Tuesday.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forgot ^vbd+vprv++xvbnx+=forgot
what ^wdt+who+whcl++=what
Pratt ^np+++??+=Pratt
named ^vbd+++xvbn+=named
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
Steamers ^nns+nom+++=Steamers
were ^vbd+bed+vrb++=were
scarce ^jj+pred+++=scarce
in ^in++++=in
the ^ati++++=the
Gulf ^nn++++=Gulf
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
people ^nns++++=people
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
go ^vbi++++=go
any ^dti++++=any
distance ^nn+nom+++=distance
had ^md"++pmd"++=had
to ^md+nec+++=to
take ^vb++++=take
passage ^nn+nom+++=passage
on ^in++++=on
whatever ^nn+nom+++=whatever
craft ^nn++++=craft
they ^pp3a+pp3+++=they
could ^md+pos+++=could
find ^vb+vprv+++=find,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
to ^to++++=to
have ^vbi++vrb++=have
the ^ati++++=the
Honorable ^np+++??+=Honorable
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Warriner ^np+nom+++=Warriner
for ^in++++=for
a ^at++++=a
passenger ^nn+nom+++=passenger.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
any ^dti++++=any
more ^ql++++=more
honor ^np++++=honor
than ^in++++=than
lots ^nns++++=lots
of ^in++++=of
other ^ap++++=other
people ^nns++++=people,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^rb++++=all
of ^in++++=of
his ^pp$+pp3+++=his
mail ^nn++++=mail
was ^vbd+bedz+aux++=was
addressed ^vpsv++agls+xvbnx+=addressed
that ^dt+dem+++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Pratt ^np+++??+=Pratt
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
title ^nn++++=title
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
on ^in++++=on
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
red ^nn++++=red
faced ^vwbn+++xvbn+=faced,
, ^zz++++=EXTRAWORD
pompous ^jj+atrb+++=pompous
old ^jj+atrb+++=old
duck ^nn++++=duck,
, ^zz++++=EXTRAWORD
with ^in++++=with
too ^ql++++=too
much ^ap++++=much
corporation ^nn+nom+++=corporation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
as ^ql++++=as
much ^ap++++=much
out ^rp+pl+++=out
of ^in++++=of
place ^nn++++=place
on ^in++++=on
the ^ati++++=the
deck ^nn++++=deck
of ^in++++=of
that ^dt+dem+++=that
little ^ap++++=little
schooner ^nn+nom+++=schooner
as ^ql++++=as
I ^pp1a+pp1+++=I
would ^md+prd+++=would
scraping ^vb++++=scraping
before ^in++++=before
Queen ^npt++++=Queen
Victoria ^np++++=Victoria.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
time ^nn++++=time
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
squall ^nn+++??+=squall
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
almighty ^jj++++=almighty
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
a ^at++++=a
good ^jj+atrb+++=good
hot ^jj+atrb+++=hot
day ^nn++++=day
came ^vbd+++xvbn+=came
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
sweat ^nn++++=sweat
and ^cc++++=and
mop ^vb++++=mop
his ^pp$+pp3+++=his
face ^nn++++=face!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
really ^rb+emph+++=really
pitied ^jj+++xvbn+=pitied
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me:
: ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hunt ^np++++=Hunt,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
give ^vb++++=give
any ^dti++++=any
reasonable ^jj+atrb+++=reasonable
amount ^nn++++=amount
to ^to++++=to
be ^vbi++vrb++=be
as ^ql++++=as
slender ^jj++++=slender
as ^ql++++=as
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
thin ^jj+atrb+++=thin
chaps ^nns++++=chaps
certainly ^rb++++=certainly
have ^vb+hv+vrb++=have
the ^ati++++=the
advantage ^nn+nom+++=advantage
in ^in++++=in
the ^ati++++=the
tropics ^nns++++=tropics,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Warriner ^np+nom+++=Warriner;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ever ^rb++++=ever
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
seventeen ^cd++++=seventeen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
the ^ati++++=the
yellow ^jj+atrb+++=yellow
fever ^nn++++=fever
at ^in++++=at
Rio ^np+++??+=Rio,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
any ^dti++++=any
more ^rbr++++=more
meat ^nn++++=meat
on ^in++++=on
me ^pp1o+pp1+++=me
than ^in++++=than
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
on ^in++++=on
a ^at++++=a
starved ^vprf+++xvbn+=starved
horse ^nn++++=horse,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
no ^at++++=no
call ^vb++++=call
to ^to++++=to
feel ^vbi+vprv+++=feel
flattered ^vbd+++xvbn+=flattered,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
for ^in++++=for
Pratt ^np+++??+=Pratt
sometimes ^rb++++=sometimes
poked ^vbd+++xvbn+=poked
fun ^nn++++=fun
at ^in++++=at
me ^pp1o+pp1+++=me
for ^in++++=for
being ^xvbg+++xvbg+=being
so ^ql++++=so
d ^zz++++=d
d ^zz++++=d
lean ^vb++++=lean;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+tht0++=find
a ^at++++=a
picture ^nn++++=picture
drawn ^vwbn+++xvbn+=drawn
on ^in+ppvb+++=on
the ^ati++++=the
bulwarks ^nns+++??+=bulwarks
forward ^rb++++=forward
of ^in++++=of
an ^at++++=an
oar ^nn++++=oar
with ^in++++=with
clothes ^nns++++=clothes
on ^in++++=on
that ^dt+dem+++=that
looked ^jj+++xvbn+=looked
kind ^rb++++=kind
of ^rb"++++=of
like ^in++++=like
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
out ^rp+pl+++=out
which ^whp+who+++=which
of ^in++++=of
those ^dt+dem+++=those
black ^jj+atrb+++=black
sons ^nns++++=sons
of ^in++++=of
Belial ^np+++??+=Belial
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
caught ^vprf+++xvbnx+=caught
a ^at++++=a
whaling ^nvbg+++xvbg+=whaling,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
bet ^vbd+vpub++xvbn+=bet!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
a ^at++++=a
cook ^nn++++=cook
who ^whp+rel+subj++=who
also ^rb++++=also
waited ^vbd+++xvbn+=waited
off ^in+pl+++=off
at ^rb++++=at
table ^nn++++=table,
, ^zz++++=EXTRAWORD
a ^at++++=a
steward ^nn++++=steward
was ^vbd+bedz+vrb++=was
too ^ql++++=too
much ^ap++++=much
luxury ^nn++++=luxury
for ^in++++=for
the ^ati++++=the
Dicky ^np+++??+=Dicky
Bird ^nn++++=Bird,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
infernal ^jj+atrb+++=infernal
liars ^nns++++=liars
that ^tht+rel+subj++=that
ever ^rb++++=ever
lived ^vbd+++xvbn+=lived,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
Cornwallis ^np+++??+=Cornwallis
Tecumseh ^np+++??+=Tecumseh
Jones ^np++++=Jones
was ^vbd+bedz+vrb++=was
the ^ati++++=the
worst ^nn++++=worst.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv+tht0+xvbnx+=knew
his ^pp$+pp3+++=his
business ^nns+nom+++=business
pretty ^rb++++=pretty
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
turn ^vb++++=turn
a ^at++++=a
flap ^nn++++=flap-jack
- ^zz++++=EXTRAWORD
jack ^np++++=EXTRAWORD
by ^in++++=by
throwing ^xvbg+++xvbg+=throwing
it ^pp3+it+++=it
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
from ^in++++=from
one ^cd1++++=one
window ^nn++++=window
of ^in++++=of
the ^ati++++=the
galley ^nn++++=galley,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
catching ^vbg+++xvbg+=catching
it ^pp3+it+++=it
as ^ql++++=as
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
down ^rp++++=down
by ^in++++=by
the ^ati++++=the
window ^nn++++=window
on ^in++++=on
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side.
. ^zz++++=EXTRAWORD
[ ^zz++++=[31]
31 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
The ^ati++++=The
passenger ^nn+nom+++=passenger,
, ^zz++++=EXTRAWORD
Pratt ^np+++??+=Pratt
and ^cc++++=and
me ^pp1o+pp1+++=me
were ^vbd+bed+aux++=were
talking ^vbg+++xvbgx+=talking
of ^in++++=of
various ^jj+atrb+++=various
things ^nns++++=things
one ^cd1++++=one
afternoon ^nn++++=afternoon
when ^wrb+who+++=when
Warriner ^np+nom++??+=Warriner
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Captain,
captain ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tomorrow ^nr+tm+++=to-morrow
will ^md+prd+++=will
be ^vb+be+vrb++=be
Thanksgiving ^np+++??+=Thanksgiving,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
propose ^vb++++=propose
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
observe ^vb+vprv+++=observe
the ^ati++++=the
day ^nn++++=day
by ^in++++=by
having ^xvbg+++xvbg+=having
some ^dti++++=some
appropriate ^jj+atrb+++=appropriate
dish ^nn++++=dish
for ^in++++=for
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
Turkey ^np++++=Turkey
and ^cc++++=and
pumpkin ^jj+atrb++??+=pumpkin
pie ^nn++++=pie
are ^vb+ber+vrb++=are
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
so ^ql++++=so
what ^wdt+who+whq++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
to ^to+vcmp+++=to
an ^at++++=an
English ^jj+atrb+++=English
plum ^nn++++=plum-pudding?"
- ^zz++++=EXTRAWORD
pudding ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Anything,
anything ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
anything ^pn++++=anything
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
Plum ^nn++++=Plum-pudding
- ^zz++++=EXTRAWORD
pudding ^nn++++=EXTRAWORD
or ^cc++++=or
pear ^nn++++=pear-pudding,
- ^zz++++=EXTRAWORD
pudding ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Thanksgiving ^np+++??+=Thanksgiving
or ^cc++++=or
lobscouse ^nn+++??+=lobscouse."
