Running ^jj+atrb++xvbg+=Running
. ^zz++++=EXTRAWORD
In ^in++++=In
go ^vb++++=go
Flowing ^jj+atrb++xvbg+=Flowing
Boots ^nns++++=Boots,
, ^zz++++=EXTRAWORD
with ^in++++=with
short ^jj+atrb+++=short
swords ^nns++++=swords
lurching ^nn++++=lurching
and ^cc++++=and
long ^rb++++=long
plumes ^nns+++??+=plumes
awry ^rb+cnj+++=awry,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
a ^at++++=a
breath ^nn++++=breath
to ^to++++=to
curse ^vbi++++=curse
God ^np++++=God
and ^cc++++=and
the ^ati++++=the
black ^jj+atrb+++=black
lanes ^nns++++=lanes
of ^in++++=of
London ^np++++=London.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
leaps ^nns++++=leaps
a ^at++++=a
shadowy ^jj+atrb+++=shadowy
gate ^nn++++=gate
and ^cc++++=and
crackles ^nns+++??+=crackles
through ^in++++=through
a ^at++++=a
hedgerow ^nn+++??+=hedgerow.
. ^zz++++=EXTRAWORD
Flowing ^vbg+++xvbg+=Flowing
Boots ^nns++++=Boots
leap ^vb++++=leap
the ^ati++++=the
gate ^nn++++=gate
and ^cc++++=and
crackles ^nns+++??+=crackles
through ^in++++=through
the ^ati++++=the
hedgerow ^nn+++??+=hedgerow
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
startlingly ^rb+cnj+++=startlingly,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
watch ^nn++++=watch
ahead ^rb+pl+++=ahead
two ^cd++++=two
murderous ^jj++++=murderous
pikemen ^jj+++xvbn+=pikemen
of ^in++++=of
ferocious ^jj+atrb+++=ferocious
cast ^nn+++xvbn+=cast
of ^in++++=of
mouth ^nn++++=mouth
acquired ^vbd+++xvbn+=acquired
in ^in++++=in
Holland ^np++++=Holland
and ^cc++++=and
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
marches ^nns++++=marches.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
cry ^nn++++=cry
for ^in++++=for
help ^nn++++=help.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pursued ^jj+++xvbn+=pursued
does ^vbz+doz+aux++=does
not ^xnot++not++=not
fall ^vb++++=fall
panting ^vbg+++xvbg+=panting
at ^in++++=at
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
the ^ati++++=the
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
clutching ^vbg+++xvbg+=clutching
a ^at++++=a
purse ^nn++++=purse;
; ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
do ^vb+do+vrb++=do
the ^ati++++=the
pursuers ^nns+nom+++=pursuers
raise ^vb++++=raise
a ^at++++=a
hue ^nn++++=hue
and ^cc++++=and
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
goes ^vbz++++=goes
by ^in++++=by
in ^in++++=in
a ^at++++=a
rush ^nn++++=rush
of ^in++++=of
swift ^jj+atrb+++=swift
air ^nn++++=air.
. ^zz++++=EXTRAWORD
The ^ati++++=The
watch ^nn++++=watch
curse ^vb++++=curse
and ^cc+phrs+++=and
hesitate ^nn+nom+++=hesitate,
, ^zz++++=EXTRAWORD
glance ^nn++++=glance
after ^in++++=after
the ^ati++++=the
fugitive ^nn++++=fugitive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
spread ^vb+++xvbn+=spread
their ^pp$+pp3+++=their
pikes ^npls++++=pikes
grimly ^rb++++=grimly
across ^in+pl+++=across
the ^ati++++=the
road ^nn++++=road
and ^cc++++=and
wait ^nn++++=wait
for ^in++++=for
Flowing ^xvbg+++xvbg+=Flowing
Boots ^nns++++=Boots.
. ^zz++++=EXTRAWORD
Darkness ^nns+nom+++=Darkness,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
great ^jj+atrb+++=great
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
cuts ^nns++++=cuts
off ^in+pl+++=off
the ^ati++++=the
even ^rb++++=even
flow ^nn++++=flow
the ^ati++++=the
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hand ^nn++++=hand
moves ^vbz++++=moves
off ^in+pl+++=off
the ^ati++++=the
moon ^nn++++=moon
whose ^whp+rel+obj++=whose
pale ^nn++++=pale
caress ^vb++++=caress
finds ^vbz+vprv+++=finds
again ^rb+tm+++=again
the ^ati++++=the
eaves ^nns++++=eaves
and ^cc++++=and
lintels ^nns+++??+=lintels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
wounded ^j+++xvbn+=wounded
and ^cc+phrs+++=and
tumbled ^jj+++xvbn+=tumbled
in ^in++++=in
the ^ati++++=the
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
the ^ati++++=the
street ^nn++++=street
one ^pn++++=one
of ^in++++=of
Flowing ^xvbg+++xvbg+=Flowing
Boots ^nns++++=Boots
leaves ^vbz++++=leaves
a ^at++++=a
black ^jj+atrb+++=black
trail ^nn++++=trail
of ^in++++=of
spots ^vbz++++=spots
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
binds ^vbz++++=binds
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
clumsily ^rb++++=clumsily
as ^ql++++=as
he ^pp3a+pp3+++=he
runs ^vbz++++=runs,
, ^zz++++=EXTRAWORD
with ^in++++=with
fine ^jj+atrb+++=fine
lace ^nn++++=lace
caught ^vbd+++xvbn+=caught
from ^in++++=from
his ^pp$+pp3+++=his
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
no ^at++++=no
affair ^nn++++=affair
for ^in++++=for
the ^ati++++=the
watch ^nn++++=watch:
: ^zz++++=EXTRAWORD
Satan ^np++++=Satan
was ^vbd+bedz+vrb++=was
at ^rb++++=at
large ^rb"++++=large
tonight ^nr+tm+++=tonight
and ^cc++++=and
Satan ^np++++=Satan
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
he ^pp3a+pp3+++=he
who ^whp+who+++=who
appeared ^vbd+seem++xvbn+=appeared
dimly ^rb++++=dimly
in ^in++++=in
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
heel ^nn++++=heel
over ^in++++=over
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
knee ^nn++++=knee
over ^in++++=over
fence ^nn++++=fence.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
adversary ^nn+nom+++=adversary
was ^vbd+bedz+aux++=was
obviously ^rb+amp+splt++=obviously
travelling ^nvbg+++xvbg+=travelling
near ^rb++++=near
home ^nr++++=home
or ^cc++++=or
at ^rb++++=at
least ^rb"++++=least
in ^cs+sub+++=in
that ^cs"++++=that
section ^nn+nom+++=section
of ^in++++=of
London ^np++++=London
consecrated ^vbd+++xvbn+=consecrated
to ^in++++=to
his ^pp$+pp3+++=his
coarser ^jjr+atrb+++=coarser
whims ^nns++++=whims,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
street ^npl++++=street
narrowed ^vbd+++xvbn+=narrowed
like ^in++++=like
a ^at++++=a
road ^nn++++=road
in ^in++++=in
a ^at++++=a
picture ^nn++++=picture
and ^cc++++=and
the ^ati++++=the
houses ^nns++++=houses
bent ^vbd+++xvbn+=bent
over ^in++++=over
further ^jjb++++=further
and ^cc+phrs+++=and
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
cooping ^jj+++xvbg+=cooping
in ^in++++=in
natural ^jj+atrb+++=natural
ambushes ^nns++++=ambushes
suitable ^jj++++=suitable
for ^in++++=for
murder ^nn++++=murder
and ^cc++++=and
its ^pp$+it+++=its
histrionic ^jj+atrb+++=histrionic
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
sudden ^jj+atrb+++=sudden
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Down ^rp++++=Down
long ^rb++++=long
and ^cc++++=and
sinuous ^jj+atrb+++=sinuous
lanes ^nns++++=lanes
twisted ^vbd+++xvbn+=twisted
the ^ati++++=the
hunted ^jj+++xvbn+=hunted
and ^cc++++=and
the ^ati++++=the
harriers ^nns+nom+++=harriers,
, ^zz++++=EXTRAWORD
always ^rb++++=always
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
moon ^nn++++=moon
in ^in++++=in
a ^at++++=a
perpetual ^jj+atrb+++=perpetual
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
move ^vb++++=move
over ^in++++=over
a ^at++++=a
checker ^np++++=checker-board
- ^zz++++=EXTRAWORD
board ^nn++++=EXTRAWORD
of ^in++++=of
glints ^nns+++??+=glints
and ^cc++++=and
patches ^nns++++=patches.
. ^zz++++=EXTRAWORD
Ahead ^rb+cnj+++=Ahead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
quarry ^nn++++=quarry,
, ^zz++++=EXTRAWORD
minus ^in++++=minus
his ^pp$+pp3+++=his
leather ^nn++++=leather
jerkin ^nn++++=jerkin
now ^rn+tm+++=now
and ^cc++++=and
half ^abn++++=half
blinded ^vpsv++by+xvbn+=blinded
by ^in++++=by
drips ^nns+++??+=drips
of ^in++++=of
sweat ^nn++++=sweat,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
to ^to+vcmp+++=to
scanning ^vbi++++=scanning
his ^pp$+pp3+++=his
ground ^nn++++=ground
desperately ^rb++++=desperately
on ^in++++=on
both ^abx++++=both
sides ^nns++++=sides.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result
he ^pp3a+pp3+++=he
suddenly ^rb++++=suddenly
slowed ^vbd+++xvbn+=slowed
short ^jj++++=short,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
retracing ^nvbg+++xvbg+=retracing
his ^pp$+pp3+++=his
steps ^nns++++=steps
a ^at++++=a
bit ^nn++++=bit
scooted ^vbd+++xvbn+=scooted
up ^rp++++=up
an ^at++++=an
alley ^npl++++=alley
so ^ql+emph+++=so
dark ^jj++++=dark
that ^dt+dem+++=that
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
here ^rn+pl+++=here
sun ^nn++++=sun
and ^cc++++=and
moon ^np++++=moon
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
eclipse ^nn+++??+=eclipse
since ^rb++++=since
the ^ati++++=the
last ^ap++++=last
glacier ^jjr++++=glacier
slipped ^jj+++xvbn+=slipped
roaring ^jj+++xvbg+=roaring
over ^in++++=over
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
hundred ^cd++++=hundred
yards ^nns++++=yards
down ^in++++=down
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
crammed ^vbd+++xvbn+=crammed
himself ^ppl+pp3+++=himself
into ^in++++=into
a ^at++++=a
niche ^nn++++=niche
in ^in++++=in
the ^ati++++=the
wall ^nn++++=wall
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
huddled ^vbd+++xvbnx+=huddled
and ^cc+phrs+++=and
panted ^vbd+++xvbn+=panted
silently ^rb+cnj+++=silently,
, ^zz++++=EXTRAWORD
a ^at++++=a
grotesque ^jj+atrb+++=grotesque
god ^nn++++=god
without ^in++++=without
bulk ^nn++++=bulk
or ^cc++++=or
outline ^nn++++=outline
in ^in++++=in
the ^ati++++=the
gloom ^nn++++=gloom.
. ^zz++++=EXTRAWORD
Flowing ^vbg+++xvbg+=Flowing
Boots ^nns++++=Boots,
, ^zz++++=EXTRAWORD
two ^cd++++=two
pairs ^nns++++=pairs,
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
up ^rp++++=up,
, ^zz++++=EXTRAWORD
went ^xvbn+++xvbn+=went
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
halted ^xvbn+++xvbn+=halted
twenty ^cd++++=twenty
yards ^nns++++=yards
beyond ^in++++=beyond
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spoke ^vpsv++agls+xvbn+=spoke
in ^in++++=in
deep ^jj++++=deep-lunged,
- ^zz++++=EXTRAWORD
lunged ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
scanty ^jj+atrb+++=scanty
whispers ^nns+nom+++=whispers:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
attune ^nn+++??+=attune
to ^in++++=to
that ^dt+dem+++=that
scuffle ^nn++++=scuffle;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
stopped ^vbd+++xvbn+=stopped."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Within
within ^in++++=EXTRAWORD
twenty ^cd++++=twenty
paces ^nns++++=paces."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
hid ^vpsv++agls+xvbnx+=hid."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Stay
stay ^vb++++=EXTRAWORD
together ^nn+nom+++=together
now ^rn+tm+++=now
and ^cc++++=and
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
cut ^vb+++xvbn+=cut
him ^pp3o+pp3+++=him
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
faded ^vbd+++xvbn+=faded
into ^in++++=into
a ^at++++=a
low ^jj+atrb+++=low
crunch ^nn++++=crunch
of ^in++++=of
a ^at++++=a
boot ^nn++++=boot,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
did ^vbd+dod+vrb++=did
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
wait ^vb++++=wait
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
more ^ql++++=more
he ^pp3a+pp3+++=he
sprang ^vbd+++xvbnx+=sprang
in ^in++++=in
three ^cd++++=three
leaps ^vbz++++=leaps
across ^in+pl+++=across
the ^ati++++=the
alley ^nn++++=alley,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
bounded ^vbd+++xvbnx+=bounded
up ^rp++++=up,
, ^zz++++=EXTRAWORD
flapped ^j+++xvbn+=flapped
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
on ^in++++=on
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
wall ^nn++++=wall
like ^in++++=like
a ^at++++=a
huge ^jj+atrb+++=huge
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disappeared ^vbd+seem++xvbn+=disappeared,
, ^zz++++=EXTRAWORD
gulped ^j+++xvbn+=gulped
down ^rp++++=down
by ^in++++=by
the ^ati++++=the
hungry ^jj+atrb+++=hungry
night ^nn++++=night
at ^in++++=at
a ^at++++=a
mouthful ^nn+nom+++=mouthful.
. ^zz++++=EXTRAWORD
Ii ^np+++??+=II
Any ^dti++++=Any
visitor ^nn++++=visitor
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
James ^np++++=James
the ^ati++++=the
First ^od++++=First
graveyard ^vb+++??+=graveyard
near ^in+pl+++=near
Peat ^np++++=Peat's
's ^$++++=EXTRAWORD
Hill ^nn++++=Hill
may ^md+pos+++=may
spell ^vb++++=spell
out ^rp+pl+++=out
this ^dt+dem+++=this
bit ^nn++++=bit
of ^in++++=of
doggerel ^nn+++??+=doggerel,
, ^zz++++=EXTRAWORD
undoubtedly ^rb++++=undoubtedly
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
worst ^nn++++=worst
recorded ^vbd+vpub++xvbn+=recorded
of ^in++++=of
an ^at++++=an
Elizabethan ^nn+nom+++=Elizabethan,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
tomb ^nn++++=tomb
of ^in++++=of
Wessel ^np+++??+=Wessel
Caster ^np+++??+=Caster.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
death ^nn++++=death
of ^in++++=of
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
antiquary ^nn+nom+++=antiquary,
, ^zz++++=EXTRAWORD
occurred ^j+++xvbn+=occurred
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
this ^dt+dem+++=this
story ^nn++++=story
is ^vbz+bez+aux++=is
concerned ^vpsv++agls+xvbnx+=concerned
with ^in++++=with
the ^ati++++=the
night ^nn++++=night
of ^in++++=of
a ^at++++=a
certain ^jj+atrb+++=certain
chase ^nn++++=chase
through ^in++++=through
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
him ^pp3o+pp3+++=him
still ^rb+atrb+++=still
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
reading ^nvbg+++xvbg+=reading.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
somewhat ^rb+down+++=somewhat
dim ^jj+pred+++=dim,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
stomach ^nn++++=stomach
somewhat ^rb+down+++=somewhat
obvious ^jj++++=obvious-he
- ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
mis ^npt++++=mis-built
- ^zz++++=EXTRAWORD
built ^vwbn+++xvbn+=EXTRAWORD
man ^nn++++=man
and ^cc++++=and
indolent ^jj++++=indolent
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
Heavens ^nns++++=Heavens!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
an ^at++++=an
era ^nn++++=era
is ^vbz+bez+vrb++=is
an ^at++++=an
era ^nn++++=era,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
reign ^nn++++=reign
of ^in++++=of
Elizabeth ^np++++=Elizabeth,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
grace ^nn++++=grace
of ^in++++=of
Luther ^np+++??+=Luther,
, ^zz++++=EXTRAWORD
Queen ^npt++++=Queen
of ^in++++=of
England ^np++++=England,
, ^zz++++=EXTRAWORD
no ^at++++=no
man ^nn++++=man
could ^md+pos+++=could
help ^vb++++=help
but ^cc+phrs+++=but
catch ^vb++++=catch
the ^ati++++=the
spirit ^nn++++=spirit
of ^in++++=of
enthusiasm ^nn++++=enthusiasm.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
loft ^nn++++=loft
in ^in++++=in
Cheapside ^np+++??+=Cheapside
published ^vbd+++xvbn+=published
its ^pp$+it+++=its
Magnum ^np+++??+=Magnum
Folium ^np+++??+=Folium
( ^zz++++=(or
or ^cc++++=EXTRAWORD
magazine ^nn++++=magazine)
) ^zz++++=EXTRAWORD
of ^in++++=of
its ^pp$+it+++=its
new ^jj+atrb+++=new
blank ^jj+atrb+++=blank
verse ^nn++++=verse;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Cheapside ^np+++??+=Cheapside
Players ^nns+nom+++=Players
would ^md+prd+++=would
produce ^vb++++=produce
anything ^pn++++=anything
on ^in++++=on
sight ^nn++++=sight
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
it ^pp3+it+++=it
" ^zz++++="got
got ^vbd+++xvbn+=EXTRAWORD
away ^rb+phrv+++=away
from ^in"++++=from
those ^dt+dem+++=those
reactionary ^jj+atrb+++=reactionary
miracle ^nn++++=miracle
plays ^nns++++=plays,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
English ^jj+atrb+++=English
Bible ^nn++++=Bible
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
through ^rb+phrv+++=through
seven ^cd++++=seven
" ^zz++++="very
very ^ql+amp+++=EXTRAWORD
large ^jj++++=large"
" ^zz++++=EXTRAWORD
printings ^nns+++??+=printings
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
as ^ql++++=as
many ^ap++++=many
months ^nns++++=months.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Wessel ^np+++??+=Wessel
Caxter ^np+++??+=Caxter
( ^zz++++=(who
who ^whp+who+++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
youth ^nn++++=youth
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
sea ^nn++++=sea)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
a ^at++++=a
reader ^nn++++=reader
of ^in++++=of
all ^abn++++=all
on ^in++++=on
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
could ^md+pos+++=could
lay ^jjb+++xvbn+=lay
his ^pp$+pp3+++=his
hands ^nns++++=hands
he ^pp3a+pp3+++=he
read ^vbd+vprv++xvbnx+=read
manuscripts ^nns++++=manuscripts
In ^in++++=In
holy ^jj+atrb+++=holy
friendship ^nn+nom+++=friendship;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
dined ^vbd+++xvbnx+=dined
rotten ^jj+atrb+++=rotten
poets ^nns++++=poets;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
loitered ^vbd+++xvbnx+=loitered
about ^in++++=about
the ^ati++++=the
shops ^nns++++=shops
where ^wrb+who+++=where
the ^ati++++=the
Magna ^&fw++++=Magna
Folia ^np+++??+=Folia
were ^vbd+bed+aux++=were
printed ^vpsv++agls+xvbnx+=printed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
listened ^vbd+++xvbnx+=listened
tolerantly ^jj++++=tolerantly
while ^cs+sub+++=while
the ^ati++++=the
young ^jj+atrb+++=young
playwrights ^nns++++=playwrights
wrangled ^vbd+++xvbn+=wrangled
and ^cc+phrs+++=and
bickered ^vbd+++xvbn+=bickered
among ^in++++=among
them ^pp3o+pp3+++=them-selves,
- ^zz++++=EXTRAWORD
selves ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behind ^rp+pl+++=behind
each ^ppls++++=each
other's ^ppls++++=other's
backs ^vbz++++=backs
made ^vbd+++xvbn+=made
bitter ^jj+atrb+++=bitter
and ^cc+phrs+++=and
malicious ^jj+atrb+++=malicious
charges ^nns++++=charges
of ^in++++=of
plagiarism ^nn+nom+++=plagiarism
or ^cc++++=or
anything ^pn++++=anything
else ^rb+cnj+++=else
they ^pp3a+pp3+++=they
could ^md+pos+++=could
think ^vb+vprv+++=think
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
To ^to++++=To-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
book ^nn++++=book,
, ^zz++++=EXTRAWORD
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
work ^nn++++=work
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
inordinately ^rb++++=inordinately
versed ^jj+++xvbn+=versed,
, ^zz++++=EXTRAWORD
contained ^j+++xvbn+=contained,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
some ^dti++++=some
rather ^rb++++=rather
excellent ^jj+atrb+++=excellent
political ^jj+atrb+++=political
satire ^nn++++=satire.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Faerie ^np+++??+=Faerie
Queene ^np+++??+=Queene"
" ^zz++++=EXTRAWORD
by ^in++++=by
Edmund ^np++++=Edmund
Spenser ^np+++??+=Spenser
lay ^vbd+++xvbn+=lay
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
under ^in++++=under
the ^ati++++=the
tremulous ^jj+atrb+++=tremulous
candle ^nn++++=candle-light.
- ^zz++++=EXTRAWORD
light ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
ploughed ^vprf+++xvbnx+=ploughed
through ^in++++=through
a ^at++++=a
canto ^nn+++??+=canto;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
another ^ppls++++=another:
: ^zz++++=EXTRAWORD
The ^ati++++=The
Legend ^nn++++=Legend
of ^in++++=of
