Coming ^vbg+++xvbg+=Coming
log ^&fo++++=log
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thatched ^jj++++=thatched
over ^in++++=over
with ^in++++=with
dirt ^nn++++=dirt
and ^cc++++=and
sod ^nn++++=sod.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+vrb++=are
your ^pp$+pp2+++=your
windows ^nns++++=windows
and ^cc++++=and
ventilators ^nns++++=ventilators?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
asked ^vpsv++agls+xvbnx+=asked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
collectively ^rb++++=collectively
the ^ati++++=the
camp ^nn++++=camp
laughed ^vbd+++xvbn+=laughed
at ^in+ppvb+++=at
the ^ati++++=the
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
knew ^vbd+vprv++xvbnx+=knew
how ^wrb+who+whcl++=how
to ^to++++=to
keep ^vbi++++=keep
snug ^jj++++=snug
and ^cc+phrs+++=and
warm ^jj++++=warm
even ^cs+sub+++=even
if ^cs+cnd+++=if
half ^abn++++=half-witted
- ^zz++++=EXTRAWORD
witted ^jj+++xvbn+=EXTRAWORD
" ^zz++++="sourdoughs"
sourdoughs ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=didn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=weren't
n't ^xnot++not++0=EXTRAWORD
taking ^vbg+++xvbg+=taking
any ^dti++++=any
chances ^nns+nom+++=chances
on ^in++++=on
freezing ^nn++++=freezing,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
on ^in++++=on
your ^pp$+pp2+++=your
tin ^nn++++=tin-type,
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
outdoor ^jjb+atrb+++=outdoor
work ^nn++++=work
and ^cc++++=and
exposure ^nn++++=exposure
for ^in++++=for
them ^pp3o+pp3+++=them!
! ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
winter ^nn++++=winter
settled ^vbd+++xvbn+=settled,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
snuggled ^vbd+++xvbnx+=snuggled
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
ate ^j+++xvbn+=ate
three ^cd++++=three
meals ^nns++++=meals
and ^cc++++=and
more ^rbr++++=more
daily ^jj++++=daily
of ^in++++=of
bacon ^nn++++=bacon,
, ^zz++++=EXTRAWORD
beans ^nns++++=beans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
baking ^nn++++=baking-powder
- ^zz++++=EXTRAWORD
powder ^nn++++=EXTRAWORD
bread ^nn++++=bread;
; ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
cribbage ^nn+nom+++=cribbage
for ^in++++=for
an ^at++++=an
appetite ^nn++++=appetite.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
undertook ^vbd+vsua++xvbnx+=undertook
no ^at++++=no
exercise ^nn++++=exercise
more ^rbr++++=more
violent ^jj++++=violent
than ^in++++=than
seven ^cd++++=seven-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
wood ^nn++++=wood-cutting
- ^zz++++=EXTRAWORD
cutting ^xvbg+++xvbg+=EXTRAWORD
fell ^vbd+++xvbn+=fell
as ^ql++++=as
a ^at++++=a
curse ^nn++++=curse
upon ^in++++=upon
those ^dt+dem+++=those
unfortunates ^nns+nom+++=unfortunates
who ^whp+rel+subj++=who
lost ^vbd+++xvbn+=lost
at ^rb++++=at
the ^ati++++=the
game ^nn++++=game.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
giggled ^vbd+++xvbnx+=giggled
at ^rb++++=at
Captain ^npt++++=Captain
and ^cc++++=and
the ^ati++++=the
big ^jj+atrb+++=big
whaler ^nn++++=whaler
who ^whp+rel+obj++=who
daily ^rb+cnj+++=daily,
, ^zz++++=EXTRAWORD
snow ^nn++++=snow
or ^cc++++=or
blow ^nn++++=blow,
, ^zz++++=EXTRAWORD
hit ^j+++xvbn+=hit
the ^ati++++=the
trail ^nn++++=trail
or ^cc++++=or
wielded ^vbd+++xvbn+=wielded
pick ^nn++++=pick
and ^cc++++=and
shovel ^nn++++=shovel.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
two ^cd++++=two
maintained ^vprf+++xvbn+=maintained
their ^pp$+pp3+++=their
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
the ^ati++++=the
camp ^nn++++=camp
grew ^vbd+++xvbn+=grew
to ^to++++=to
resent ^vbi++++=resent
their ^pp$+pp3+++=their
industry ^nn++++=industry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
only ^rb+down+++=only
in ^in++++=in
utterly ^rb+amp+++=utterly
idle ^jj+atrb+++=idle
communities ^nns+nom+++=communities,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
sprung ^vprf+++xvbn+=sprung
up ^rp++++=up
a ^at++++=a
virulence ^nn+nom+++=virulence
totally ^rb+amp+++=totally
out ^rp+pl+++=out
of ^in++++=of
proportion ^nn+nom+++=proportion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
founded ^j+++xvbn+=founded
without ^in++++=without
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
difficult ^jj++++=difficult
to ^to+jcmp+++=to
dispel ^vbi++++=dispel.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
they ^pp3a+pp3+++=they
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
were ^vbd+bed+aux++=were
disliked ^vpsv++agls+xvbnx+=disliked
and ^cc++++=and
distrusted ^jj+++xvbn+=distrusted;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
presence ^nn+nom+++=presence
ignored ^vwbn+++xvbn+=ignored;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
society ^nn++++=society
shunned ^vbd+++xvbn+=shunned.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
had ^vbd+hvd+aux++=had
talked ^vprf+++xvbnx+=talked
to ^in++++=to
many ^ap++++=many
in ^in++++=in
the ^ati++++=the
camp ^nn++++=camp.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
scurvy ^nn+++??+=scurvy,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
in ^in++++=in
these ^dt+dem+++=these
dark ^jj+atrb+++=dark
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
damp ^nn++++=damp
and ^cc++++=and
dirty ^jj++++=dirty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
exercise ^vb++++=exercise.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
pound ^nn++++=pound
of ^in++++=of
fresh ^jj+atrb+++=fresh
grub ^nn++++=grub
in ^in++++=in
camp ^nn++++=camp."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Figuratively ^np+++??+=Figuratively,
, ^zz++++=EXTRAWORD
the ^ati++++=the
camp ^npl++++=camp's
's ^$++++=EXTRAWORD
nose ^nn++++=nose
had ^vbd+hvd+aux++=had
tilted ^vprf+++xvbnx+=tilted
at ^rb++++=at
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
stated ^vbd+vpub++xvbn+=stated
pompously ^rb++++=pompously
that ^cs+sub+++=that
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
better ^jjr+pred+++=better
to ^to+jcmp+++=to
preserve ^vbi++++=preserve
its ^pp$+it+++=its
classic ^jj+atrb+++=classic
purity ^nn++++=purity
of ^in++++=of
features ^nns++++=features
and ^cc++++=and
pro ^&fw++++=pro
rata ^nn+++??+=rata
of ^in++++=of
toes ^nns++++=toes,
, ^zz++++=EXTRAWORD
than ^in++++=than
to ^to++++=to
jeopardize ^vbi++++=jeopardize
these ^dt+dem+++=these
adjuncts ^nns++++=adjuncts
through ^in++++=through
fear ^nn++++=fear
of ^in++++=of
a ^at++++=a
possible ^jj+atrb+++=possible
blood ^nn++++=blood
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
" ^zz++++="Blood
blood ^nn++++=EXTRAWORD
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
George ^np++++=George
snorted ^vbd+++xvbn+=snorted
like ^in++++=like
a ^at++++=a
sea ^nn++++=sea-lion.
- ^zz++++=EXTRAWORD
lion ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Wait
wait ^vb++++=EXTRAWORD
till ^cs+sub+++=till
your ^pp$+pp2+++=your
legs ^nns++++=legs
get ^vb++++=get
black ^jj++++=black
and ^cc++++=and
you ^pp2+pp2+++=you
spit ^nn++++=spit
your ^pp$+pp2+++=your
teeth ^nn++++=teeth
out ^rp+pl+++=out
like ^in++++=like
plum-pits ^nns+++??+=plum-pits--mebbe
-- ^--+clp+++=EXTRAWORD
mebbe ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
listen ^vb++++=listen
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It'll
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
if ^cs+cnd+++=if
it ^pp3+it+++=it
do ^vb+do+vrb++=don't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
when ^wrb+who+++=when
the ^ati++++=the
plague ^nn++++=plague
did ^vbd+dod+vrb++=did
grip ^nn++++=grip
the ^ati++++=the
camp ^nn++++=camp
and ^cc++++=and
men ^nns++++=men
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
one ^pn++++=one
in ^in++++=in
five ^cd++++=five,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
failed ^vbd+++xvbnx+=failed
to ^to+vcmp+++=to
rise ^vbi++++=rise
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
of ^in++++=of
fighting ^xvbg+++xvbg+=fighting
manfully ^rb++++=manfully
they ^pp3a+pp3+++=they
lapsed ^vbd+++xvbnx+=lapsed
into ^in++++=into
a ^at++++=a
frightened ^jj+atrb++xvbn+=frightened,
, ^zz++++=EXTRAWORD
stubborn ^jj+atrb+++=stubborn
coma ^nn++++=coma.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
one ^pn++++=one,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Klusky ^np+++??+=Klusky
the ^ati++++=the
Jew ^nn++++=Jew;
; ^zz++++=EXTRAWORD
Klusky ^np+++??+=Klusky
the ^ati++++=the
pariah ^nn+++??+=pariah.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
just ^rb+emph+++=just
to ^to++++=to
be ^vbi++vrb++=be
ornery ^nn++++=ornery
and ^cc++++=and
different ^jj++++=different
from ^in++++=from
the ^ati++++=the
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
hated ^vbd+++xvbnx+=hated
them ^pp3o+pp3+++=them
so ^rb++++=so.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
enjoyed ^vbd+++xvbnx+=enjoyed
baiting ^jj+++xvbg+=baiting
him ^pp3o+pp3+++=him
to ^in++++=to
witness ^nns+nom+++=witness
his ^pp$+pp3+++=his
fury ^nn++++=fury.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
sated ^vbd+++xvbn+=sated
that ^cs+sub+++=that
taint ^nn++++=taint
of ^in++++=of
Roman ^jj+atrb+++=Roman
cruelty ^nn++++=cruelty
inherent ^jj++++=inherent
in ^in++++=in
the ^ati++++=the
man ^nn++++=man
of ^in++++=of
ignorance ^nn+nom+++=ignorance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
all ^abn++++=all
the ^ati++++=the
amusement ^nn+nom+++=amusement
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
policy ^nn++++=policy
to ^to++++=to
stir ^vbi++++=stir
up ^rp++++=up
the ^ati++++=the
two ^cd++++=two
others ^aps++++=others--they
-- ^--+clp+++=EXTRAWORD
they ^pp3a+pp3+++=EXTRAWORD
might ^md+pos+++=might
slop ^vb++++=slop
over ^in++++=over
and ^cc++++=and
clean ^vb++++=clean
up ^rp++++=up
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
continued ^vbd+++xvbnx+=continued
to ^to++++=to
goad ^vbi++++=goad
him ^pp3o+pp3+++=him
as ^ql++++=as
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
since ^cs+sub+++=since
leaving ^vbg+++xvbg+=leaving
' ^zz++++='Frisco.
frisco ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
gibed ^vbd+++xvbnx+=gibed
and ^cc+phrs+++=and
jeered ^vbd+++xvbn+=jeered
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
shunned ^vbd+++xvbnx+=shunned
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
fringe ^nn++++=fringe
of ^in++++=of
the ^ati++++=the
pines ^nns++++=pines,
, ^zz++++=EXTRAWORD
bitter ^jj++++=bitter
and ^cc+phrs+++=and
vicious ^jj++++=vicious,
, ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
outcast ^nn++++=outcast
from ^in++++=from
the ^ati++++=the
pack ^nn++++=pack
will ^md+prd+++=will
grow ^vb++++=grow,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
human ^jj++++=human
or ^cc++++=or
lupine ^nn+++??+=lupine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
frequented ^vbd+++xvbnx+=frequented
only ^rb+down+++=only
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
Captain ^nn++++=Captain
and ^cc++++=and
George ^np++++=George,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
exiles ^nns+++??+=exiles
like ^in++++=like
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
partners ^nns+nom+++=partners
did ^vbd+dod+aux++=did
not ^xnot++not++=not
relish ^vb++++=relish
this ^dt+pdem+++=this
overmuch ^rb+cnj+++=overmuch,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
an ^at++++=an
odious ^nn++++=odious
being ^vwbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
avaricious ^jj++++=avaricious,
, ^zz++++=EXTRAWORD
carping ^jj+++xvbg+=carping,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dirty ^jj++++=dirty.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
face ^nn++++=face
reminds ^vbz++++=reminds
me ^pp1o+pp1+++=me
of ^in++++=of
a ^at++++=a
tool ^nn++++=tool,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
George ^np++++=George,
, ^zz++++=EXTRAWORD
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
" ^zz++++="nose
nose ^nn++++=EXTRAWORD
and ^cc++++0=an'
chin ^nn++++=chin
shuts ^nns+++??+=shuts
up ^rp++++=up
like ^in++++=like
calipers ^nns+nom+++=calipers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
the ^ati++++=the
forehead ^nn++++=forehead
of ^in++++=of
a ^at++++=a
salmon ^nn++++=salmon
trout ^nn++++=trout,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
his ^pp$+pp3+++=his
chin ^nn++++=chin
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
retreat ^nn++++=retreat,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
stampedes ^vbz+++??+=stampedes,
, ^zz++++=EXTRAWORD
plumb ^nn+++??+=plumb
down ^rp++++=down
ag ^nn++++=ag'in
'in ^nn+++??+=EXTRAWORD
his ^pp$+pp3+++=his
apple ^nn++++=apple.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
out ^rb+phrv+++=out
for ^in+ppvb+++=for
that ^dt+dem+++=that
droop ^nn+++??+=droop
of ^in++++=of
the ^ati++++=the
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
it ^pp3+it+++=it
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
is ^vbz+bez+vrb++=is
bad ^jj+pred+++=bad,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They've
've ^vb+hv+aux++0=EXTRAWORD
stirred ^vprf+++xvbnx+=stirred
him ^pp3o+pp3+++=him
up ^rp++++=up
and ^cc++++0=an'
pickled ^jj+++xvbn+=pickled
all ^abn++++=all
the ^ati++++=the
good ^jj++++=good
he ^pp3a+pp3+++=he
ever ^rb++++=ever
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
day ^nn++++=day
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
a ^at++++=a
murder ^nn++++=murder."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wonder ^vb++++=wonder
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
means ^nns++++=means
by ^in++++=by
always ^rb++++=always
saying ^nvbg+++xvbg+=saying
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
revenge ^nn++++=revenge
before ^in++++=before
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
makes ^vbz++++=makes
me ^pp1o+pp1+++=me
creep ^vb++++=creep
to ^to++++=to
hear ^vbi+vprv+++=hear
him ^pp3o+pp3+++=him
cackle ^nn++++=cackle
and ^cc++++=and
gloat ^vb++++=gloat.
. ^zz++++=EXTRAWORD
