What ^wdt+who+++=What
his ^pp$+pp3+++=his
own ^ap++++=own
creation ^nn+nom+++=creation.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
keen ^jj+atrb+++=keen,
, ^zz++++=EXTRAWORD
analytical ^jj+atrb+++=analytical
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
entire ^jjb+atrb+++=entire
ignorance ^nn+nom+++=ignorance
until ^cs+sub+++=until
the ^ati++++=the
evening ^nn++++=evening
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
write ^vb++++=write.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
sat ^vbd+++xvbn+=sat
was ^vbd+bedz+vrb++=was
small ^jj+pred+++=small
and ^cc+phrs+++=and
dingy ^jj++++=dingy,
, ^zz++++=EXTRAWORD
with ^in++++=with
but ^cc++++=but
little ^jj+atrb+++=little
furniture ^nn++++=furniture
except ^in++++=except
our ^pp$+pp1+++=our
chairs ^nns++++=chairs
and ^cc++++=and
the ^ati++++=the
little ^jj+atrb+++=little
table ^nn++++=table
at ^in++++=at
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
filled ^vbd+++xvbn+=filled
and ^cc+phrs+++=and
arranged ^vbd+vsua+tht0+xvbn+=arranged
our ^pp$+pp1+++=our
pipes ^nns++++=pipes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
lighted ^vpsv++agls+xvbnx+=lighted
only ^rb+down+++=only
by ^in++++=by
a ^at++++=a
tallow ^nn+++??+=tallow
candle ^nn++++=candle.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
a ^ap++++=a
few ^ap"++++=few
pictures ^nns++++=pictures
on ^in++++=on
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part
rude ^jj+atrb+++=rude
prints ^nns++++=prints
cut ^vbd+++xvbn+=cut
from ^in++++=from
the ^ati++++=the
columns ^nns++++=columns
of ^in++++=of
the ^ati++++=the
daily ^jj+atrb+++=daily
press ^nn++++=press
and ^cc++++=and
pasted ^xvbn+++xvbn+=pasted
up ^rp++++=up
to ^to++++=to
hide ^vbi++++=hide
the ^ati++++=the
bareness ^nns+nom+++=bareness
of ^in++++=of
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
one ^cd1++++=one
picture ^nn++++=picture
was ^vbd+bedz+vrb++=was
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
noticeable ^jj++++=noticeable,
, ^zz++++=EXTRAWORD
a ^at++++=a
portrait ^nn++++=portrait
admirably ^rb++++=admirably
executed ^vbd+++xvbn+=executed
in ^in++++=in
pen ^nn++++=pen
and ^cc++++=and
ink ^nn++++=ink.
. ^zz++++=EXTRAWORD
The ^ati++++=The
face ^nn++++=face
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
beautiful ^jj+atrb+++=beautiful
face ^nn++++=face,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^pn++++=one
of ^in++++=of
infinite ^jj+atrb+++=infinite
sadness ^nns+nom+++=sadness.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
aware ^jj++++=aware,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
not ^xnot++not++=not
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
Ah ^uh++++=Ah-Yen
- ^zz++++=EXTRAWORD
yen ^vb+++xvbn+=EXTRAWORD
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
with ^in+ppvb+++=with
a ^at++++=a
great ^jj+atrb+++=great
sorrow ^nn++++=sorrow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
in ^in++++=in
some ^dti++++=some
way ^nn++++=way
connected ^vbd+++xvbn+=connected
the ^ati++++=the
fact ^nn++++=fact
with ^in++++=with
this ^dt+dem+++=this
portrait ^nn++++=portrait.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
always ^rb++splt++=always
refrained ^vprf+++xvbn+=refrained,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
from ^in++++=from
asking ^xvbg+++xvbg+=asking
him ^pp3o+pp3+++=him
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
until ^cs+sub+++=until
the ^ati++++=the
evening ^nn++++=evening
in ^in++++=in
question ^nn+nom+++=question
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
its ^pp$+it+++=its
history ^nn++++=history.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
smoking ^vbg+++xvbgx+=smoking
in ^in++++=in
silence ^nn+nom+++=silence
for ^in++++=for
some ^dti++++=some
time ^nn++++=time
when ^wrb+who+++=when
Ah ^uh++++=Ah-Yen
- ^zz++++=EXTRAWORD
yen ^vb+++xvbn+=EXTRAWORD
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
friend ^nn++++=friend
is ^vbz+bez+vrb++=is
a ^at++++=a
man ^nn++++=man
of ^in++++=of
culture ^nn++++=culture
and ^cc++++=and
wide ^jj+atrb+++=wide
reading ^nvbg+++xvbg+=reading,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
English ^nn++++=English
is ^vbz+bez+vrb++=is
consequently ^rb+cnj+++=consequently
perfect ^jj+pred+++=perfect
in ^in++++=in
its ^pp$+it+++=its
construction ^nn+nom+++=construction;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
speech ^nn++++=speech
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
marked ^xvbn+++xvbn+=marked
by ^in++++=by
the ^ati++++=the
lingering ^jj+atrb++xvbg+=lingering
liquid ^jj+atrb+++=liquid
accent ^nn++++=accent
of ^in++++=of
his ^pp$+pp3+++=his
country ^nn++++=country
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
attempt ^vb++++=attempt
to ^to+vcmp+++=to
reproduce ^vbi++++=reproduce.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
examining ^vbg+++xvbgx+=examining
the ^ati++++=the
portrait ^nn++++=portrait
of ^in++++=of
my ^pp$+pp1+++=my
unhappy ^jj+atrb+++=unhappy
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
Fifty ^cd++++=Fifty-Six.
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
never ^rb++splt++=never
yet ^rb++++=yet
told ^vbd+vpub+tht0+xvbn+=told
you ^pp2+pp2+++=you
of ^in++++=of
my ^pp$+pp1+++=my
bereavement ^nn+nom+++=bereavement,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
to ^in"++++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
anniversary ^nn+nom+++=anniversary
of ^in++++=of
his ^pp$+pp3+++=his
death ^nn++++=death,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
fain ^vb+++??+=fain
speak ^vb++++=speak
of ^in++++=of
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ah ^uh++++=Ah-Yen
- ^zz++++=EXTRAWORD
yen ^vb+++xvbn+=EXTRAWORD
paused ^vbd+++xvbn+=paused;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lighted ^vbd+++xvbnx+=lighted
my ^pp$+pp1+++=my
pipe ^nn++++=pipe
afresh ^rb+cnj+++=afresh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nodded ^vpsv++agls+xvbn+=nodded
to ^in++++=to
him ^pp3o+pp3+++=him
to ^to++++=to
show ^vbi+vprv+++=show
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
listening ^vbg+++xvbgx+=listening.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
" ^zz++++="at
at ^rb++++=EXTRAWORD
what ^wdt+who+++=what
precise ^jj+atrb+++=precise
time ^nn++++=time
Fifty ^cd++++=Fifty-Six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
indeed ^rb++splt++=indeed
find ^vb+vprv+tht0++=find
it ^pp3+it+++=it
out ^rp+pl+++=out
by ^in++++=by
examining ^xvbg+++xvbg+=examining
my ^pp$+pp1+++=my
books ^nns++++=books,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
never ^rb++splt++=never
troubled ^vprf+++xvbnx+=troubled
to ^to++++=to
do ^vbi++++=do
so ^rb++++=so.
. ^zz++++=EXTRAWORD
Naturally ^rb++++=Naturally
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
no ^at++++=no
more ^rbr++++=more
interest ^nn++++=interest
in ^in++++=in
him ^pp3o+pp3+++=him
at ^rb++++=at
first ^rb"++++=first
than ^in++++=than
in ^in++++=in
any ^dti++++=any
other ^ap++++=other
of ^in++++=of
my ^pp$+pp1+++=my
customers ^nns+nom+++=customers--less,
-- ^--+clp+++=EXTRAWORD
less ^rbr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
never ^rb++++=never
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
our ^pp$+pp1+++=our
connection ^nn+nom+++=connection
brought ^vbd+++xvbn+=brought
his ^pp$+pp3+++=his
clothes ^nns++++=clothes
to ^in++++=to
me ^pp1o+pp1+++=me
himself ^ppl+pp3+++=himself
but ^cc++++=but
always ^rb++++=always
sent ^vwbn+++xvbn+=sent
them ^pp3o+pp3+++=them
by ^in++++=by
a ^at++++=a
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
presently ^rb+tm+++=presently
perceived ^vbd+vprv++xvbn+=perceived
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
becoming ^vbg+++xvbgx+=becoming
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
regular ^jj+atrb+++=regular
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
allotted ^vbd+++xvbnx+=allotted
to ^in++++=to
him ^pp3o+pp3+++=him
his ^pp$+pp3+++=his
number ^nn++++=number,
, ^zz++++=EXTRAWORD
Fifty ^cd++++=Fifty-Six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
speculate ^nn+nom+++=speculate
as ^in++++=as
to ^in"++++=to
who ^whp+who+++=who
and ^cc+cls+++=and
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
long ^rb++++=long
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
several ^ap++++=several
conclusions ^nns++++=conclusions
in ^in++++=in
regard ^in"++++=regard
to ^in++++=to
my ^pp$+pp1+++=my
unknown ^jj+atrb+++=unknown
client ^nn++++=client.
. ^zz++++=EXTRAWORD
The ^ati++++=The
quality ^nn+nom+++=quality
of ^in++++=of
his ^pp$+pp3+++=his
linen ^nn++++=linen
showed ^vbd+vprv++xvbn+=showed
me ^pp1o+pp1+++=me
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
rich ^jj++++=rich,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
at ^rb++++=at
any ^dti++++=any
rate ^nn++++=rate
fairly ^rb++++=fairly
well ^rb++++=well
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
of ^in++++=of
regular ^jj+atrb+++=regular
Christian ^jj+atrb+++=Christian
life ^nn++++=life,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
into ^in++++=into
society ^nn++++=society
to ^in++++=to
a ^at++++=a
certain ^jj+atrb+++=certain
extent ^nn++++=extent;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
I ^pp1a+pp1+++=I
could ^md+pos+++=could
tell ^vb++++=tell
from ^in++++=from
his ^pp$+pp3+++=his
sending ^jj+++xvbg+=sending
the ^ati++++=the
same ^ap++++=same
number ^nn++++=number
of ^in++++=of
articles ^nns++++=articles
to ^in++++=to
the ^ati++++=the
laundry ^nn++++=laundry,
, ^zz++++=EXTRAWORD
from ^in++++=from
his ^pp$+pp3+++=his
washing ^nvbg+++xvbg+=washing
always ^rb++++=always
coming ^vbg+++xvbg+=coming
on ^in++++=on
Saturday ^nr++++=Saturday
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
wore ^vbd+++xvbnx+=wore
a ^at++++=a
dress ^nn++++=dress
shirt ^nn++++=shirt
about ^in++++=about
once ^rb+tm+++=once
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
In ^in++++=In
disposition ^nn+nom+++=disposition
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
modest ^jj++++=modest,
, ^zz++++=EXTRAWORD
unassuming ^jj++++=unassuming
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
collars ^nns++++=collars
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
two ^cd++++=two
inches ^nns++++=inches
high ^jj++++=high."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
Ah ^uh++++=Ah-Yen
- ^zz++++=EXTRAWORD
yen ^vb+++xvbn+=EXTRAWORD
in ^in++++=in
some ^dti++++=some
amazement ^nn+nom+++=amazement,
, ^zz++++=EXTRAWORD
the ^ati++++=the
recent ^jj+atrb+++=recent
publications ^nns+nom+++=publications
of ^in++++=of
a ^at++++=a
favourite ^jjb+atrb+++=favourite
novelist ^nn+nom+++=novelist
had ^vbd+hvd+aux++=had
rendered ^vprf+++xvbnx+=rendered
me ^pp1o+pp1+++=me
familiar ^jj++++=familiar
with ^in++++=with
this ^dt+dem+++=this
process ^nns+nom+++=process
of ^in++++=of
analytical ^jj+atrb+++=analytical
reasoning ^nvbg+++xvbg+=reasoning,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
prepared ^vpsv++agls+xvbnx+=prepared
for ^in++++=for
no ^at++++=no
such ^abl++++=such
revelations ^nns+nom+++=revelations
from ^in++++=from
my ^pp$+pp1+++=my
Eastern ^jj+atrb+++=Eastern
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
first ^rb++++=first
knew ^vbd+vprv++xvbn+=knew
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ah ^uh++++=Ah-Yen
- ^zz++++=EXTRAWORD
yen ^vb+++xvbn+=EXTRAWORD
went ^vbd+++xvbn+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
" ^zz++++="Fifty-Six
fifty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
student ^nn++++=student
at ^in++++=at
the ^ati++++=the
university ^nn+nom+++=university.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
for ^in++++=for
some ^dti++++=some
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
inferred ^vbd+++xvbnx+=inferred
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
from ^in++++=from
his ^pp$+pp3+++=his
absence ^nn+nom+++=absence
from ^in++++=from
town ^nn++++=town
during ^in++++=during
the ^ati++++=the
four ^cd++++=four
summer ^nn++++=summer
months ^nns++++=months,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
during ^in++++=during
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
university ^nn+nom+++=university
examinations ^nns+nom+++=examinations
the ^ati++++=the
cuffs ^nns++++=cuffs
of ^in++++=of
his ^pp$+pp3+++=his
shirts ^nns++++=shirts
came ^vbd+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me
covered ^vbd+++xvbn+=covered
with ^in++++=with
dates ^nns++++=dates,
, ^zz++++=EXTRAWORD
formulas ^nns+++??+=formulas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
propositions ^nns+nom+++=propositions
in ^in++++=in
geometry ^nn++++=geometry.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
him ^pp3o+pp3+++=him
with ^in++++=with
no ^at++++=no
little ^ap++++=little
interest ^nn++++=interest
through ^in++++=through
his ^pp$+pp3+++=his
university ^nn+nom+++=university
career ^nn++++=career.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
four ^cd++++=four
years ^nns++++=years
which ^whp+rel+obj++=which
it ^pp3+it+++=it
lasted ^vbd+++xvbn+=lasted,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
washed ^vbd+++xvbnx+=washed
for ^in++++=for
him ^pp3o+pp3+++=him
every ^at++++=every
week ^nn++++=week;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
regular ^jj+atrb+++=regular
connection ^nn+nom+++=connection
with ^in++++=with
him ^pp3o+pp3+++=him
and ^cc++++=and
the ^ati++++=the
insight ^nn++++=insight
which ^whp+rel+obj++=which
my ^pp$+pp1+++=my
observation ^nn+nom+++=observation
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
into ^in++++=into
the ^ati++++=the
lovable ^jj+atrb+++=lovable
character ^nn+nom+++=character
of ^in++++=of
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
deepened ^j+++xvbn+=deepened
my ^pp$+pp1+++=my
first ^od++++=first
esteem ^nn++++=esteem
into ^in++++=into
a ^at++++=a
profound ^jj+atrb+++=profound
affection ^nn+nom+++=affection
and ^cc++++=and
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
most ^ql+emph+++=most
anxious ^jj++++=anxious
for ^in++++=for
his ^pp$+pp3+++=his
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
helped ^vbd+++xvbnx+=helped
him ^pp3o+pp3+++=him
at ^rb++++=at
each ^dt++++=each
succeeding ^jj+atrb++xvbg+=succeeding
examination ^nn+nom+++=examination,
, ^zz++++=EXTRAWORD
as ^in++++=as
far ^in"+pl+++=far
as ^cs+sub+++=as
lay ^jjb+++xvbn+=lay
in ^in++++=in
my ^pp$+pp1+++=my
power ^nn++++=power,
, ^zz++++=EXTRAWORD
by ^in++++=by
starching ^xvbg+++xvbg+=starching
his ^pp$+pp3+++=his
shirts ^nns++++=shirts
half ^abn++++=half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
elbow ^nn++++=elbow,
, ^zz++++=EXTRAWORD
so ^rb++++=so
as ^in++++=as
to ^in++++=to
leave ^nn++++=leave
him ^pp3o+pp3+++=him
as ^ql++++=as
much ^ap++++=much
room ^nn++++=room
as ^in++++=as
possible ^nn++++=possible
for ^in++++=for
annotations ^nns+nom+++=annotations.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
anxiety ^nn++++=anxiety
during ^in++++=during
the ^ati++++=the
strain ^nn++++=strain
of ^in++++=of
his ^pp$+pp3+++=his
final ^jj+atrb+++=final
examination ^nn+nom+++=examination
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
attempt ^vb++++=attempt
to ^to+vcmp+++=to
describe ^vbi++++=describe.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
Fifty ^cd++++=Fifty-Six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
was ^vbd+bedz+aux++=was
undergoing ^vbg+++xvbgx+=undergoing
the ^ati++++=the
great ^jj+atrb+++=great
crisis ^nn++++=crisis
of ^in++++=of
his ^pp$+pp3+++=his
