Mamma ^npt++++=Mamma
over ^rp++++=over
her ^pp3o+pp3+++=her
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
the ^ati++++=the
door ^nn++++=door
opened ^vbd+++xvbn+=opened
and ^cc+phrs+++=and
closed ^vbd+++xvbn+=closed
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Nora ^np+++??+=Nora,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
up ^rp++++=up
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
a ^at++++=a
couple ^nn++++=couple
more ^ql++++=more
stitches ^nns++++=stitches
on ^in++++=on
a ^at++++=a
forget ^vb+vprv+++=forget-me-not.
- ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=EXTRAWORD
- ^zz++++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
raised ^vbd+++xvbnx+=raised
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
was ^vbd+bedz+aux++=was
astonished ^jj++agls+xvbnx+=astonished
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
a ^at++++=a
strange ^jj+atrb+++=strange
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
regarded ^vbd+++xvbn+=regarded
her ^pp$+pp3+++=her
earnestly ^rb++++=earnestly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short
and ^cc++++=and
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
breathing ^vbg+++xvbgx+=breathing
heavily ^rb++++=heavily
from ^in++++=from
his ^pp$+pp3+++=his
climb ^nn++++=climb
up ^rp++++=up
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
a ^at++++=a
work ^nn++++=work
silk ^nn++++=silk
hat ^nn++++=hat
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and
underneath ^rb++++=underneath
his ^pp$+pp3+++=his
other ^ap++++=other
elbow ^nn++++=elbow
was ^vbd+bedz+aux++=was
tucked ^vpsv++agls+xvbnx+=tucked
a ^at++++=a
good ^jj++++=good-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
book ^nn++++=book.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
dressed ^vpsv++agls+xvbnx+=dressed
in ^in++++=in
a ^at++++=a
black ^jj+atrb+++=black
suit ^nn++++=suit
that ^tht+rel+subj++=that
looked ^vprf+++xvbn+=looked
old ^jj++++=old
and ^cc++++=and
rather ^rb++++=rather
shabby ^jj++++=shabby,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
head ^nn++++=head
was ^vbd+bedz+vrb++=was
bald ^jj+pred+++=bald
upon ^in++++=upon
the ^ati++++=the
top ^nn++++=top.
. ^zz++++=EXTRAWORD
" ^zz++++="Excuse
excuse ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
child ^nn++++=child
gazed ^vbd+++xvbn+=gazed
at ^rb++++=at
him ^pp3o+pp3+++=him
in ^in++++=in
solemn ^jj+atrb+++=solemn
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
Brown ^np++++=Brown?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
good ^jj++++=good;
; ^zz++++=EXTRAWORD
very ^ql+amp+++=very
good ^jj++++=good,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remarked ^vbd+vpub++xvbnx+=remarked,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
queer ^jj+atrb+++=queer
sort ^nn++++=sort
of ^in++++=of
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
quite ^rb++++=quite
a ^at++++=a
hunt ^nn++++=hunt
to ^to++++=to
find ^vbi+vprv+tht0++=find
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
succeeded ^vprf+++xvbnx+=succeeded
at ^rb++++=at
last ^rb"++++=last."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
did ^vbd+dod+vrb++=did
you ^pp2+pp2+++=you
get ^vb++++=get
in ^rb+phrv+++=in?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
growing ^jj+atrb++xvbg+=growing
distrust ^nn++++=distrust
of ^in++++=of
her ^pp$+pp3+++=her
visitor ^nn++++=visitor.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
secret ^nn++++=secret,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
mysteriously ^rb++++=mysteriously.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough
to ^to++++=to
put ^vbi++++=put
the ^ati++++=the
girl ^nn++++=girl
on ^rp++++=on
her ^pp3o+pp3+++=her
guard ^vb++++=guard.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
man ^nn++++=man
and ^cc++++=and
the ^ati++++=the
man ^nn++++=man
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
looks ^nns++++=looks
were ^vbd+bed+vrb++=were
grave ^jj+pred+++=grave
and ^cc++++=and
somewhat ^rb+down+++=somewhat
anxious ^jj++++=anxious.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
straightening ^vbg+++xvbg+=straightening
herself ^ppl+pp3+++=herself
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
dignified ^jj+atrb+++=dignified
air ^nn++++=air.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah!--now
ah! ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
now ^rn+dspt+++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
coming ^vbg+++xvbgx+=coming
to ^in++++=to
business ^nns+nom+++=business,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
briskly ^rb++++=briskly.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
quite ^rb++++=quite
frank ^np++++=frank
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
To ^to++++=To
begin ^vbi++++=begin
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
father ^nn++++=father
has ^vbz+hvz+aux++=has
abused ^vprf+++xvbnx+=abused
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
most ^ql+emph+++=most
ungentlemanly ^jj+atrb+++=ungentlemanly
manner ^nn++++=manner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
got ^vbd+++xvbn+=got
off ^rb+phrv+++=off
the ^ati++++=the
window ^nn++++=window
sill ^nn++++=sill
and ^cc++++=and
pointed ^jj+++xvbn+=pointed
her ^pp3o+pp3+++=her
small ^jj+atrb+++=small
finger ^nn++++=finger
at ^in++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Leave
leave ^vb++++=EXTRAWORD
this ^dt+dem+++=this
room ^nn++++=room
' ^zz++++='meejitly!"
meejitly ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
voice ^nn++++=voice
trembling ^vwbg+++xvbg+=trembling
with ^in++++=with
indignation ^nn+nom+++=indignation.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
papa ^npt++++=papa
is ^vbz+bez+vrb++=is
the ^ati++++=the
best ^jjt+atrb+++=best
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
' ^zz++++='bused
bused ^vwbn+++xvbn+=EXTRAWORD
anybody ^pn++++=anybody!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Allow
allow ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
to ^to++++=to
explain ^vbi+vpub+++=explain,
, ^zz++++=EXTRAWORD
please ^uh++++=please,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
visitor ^nn++++=visitor,
, ^zz++++=EXTRAWORD
without ^in++++=without
paying ^xvbg+++xvbg+=paying
any ^dti++++=any
attention ^nn+nom+++=attention
to ^in++++=to
her ^pp$+pp3+++=her
request ^vb++++=request
to ^to+vcmp+++=to
go ^vbi++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
father ^nn++++=father
may ^md+pos+++=may
be ^vb+be+vrb++=be
very ^ap+amp+++=very
kind ^nn++++=kind
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
for ^in++++=for
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
down ^rp++++=down-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
office ^nn++++=office
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
inclined ^jj++agls+xvbnx+=inclined
to ^to+jcmp+++=to
be ^vbi++vrb++=be
rather ^rb++++=rather
severe ^jj+pred+++=severe,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
on ^in++++=on
book ^nn++++=book
agents ^nns++++=agents.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
on ^in+ppvb+++=on
him ^pp3o+pp3+++=him
the ^ati++++=the
other ^ap++++=other
day ^nn++++=day
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
buy ^vbi++++=buy
the ^ati++++=the
' ^zz++++='Complete
complete ^jj+atrb+++=EXTRAWORD
Works ^nns++++=Works
of ^in++++=of
Peter ^np++++=Peter
Smith ^np++++=Smith,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
suppose ^vb+vprv+tht0++=suppose
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,"
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
growing ^xvbg+++xvbg+=growing
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
ordered ^vbd+vsua++xvbnx+=ordered
me ^pp1o+pp1+++=me
from ^in++++=from
his ^pp$+pp3+++=his
office ^nn++++=office,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
me ^pp1o+pp1+++=me
put ^vbd+++xvbn+=put
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
building ^jj+++xvbg+=building
by ^in++++=by
the ^ati++++=the
janitor ^nn++++=janitor!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
such ^abl++++=such
treatment ^nn+nom+++=treatment
as ^ql++++=as
that ^cs+sub+++=that
from ^in++++=from
the ^ati++++=the
' ^zz++++='best
best ^jjt++++=EXTRAWORD
papa ^npt++++=papa
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
eh ^uh++++=eh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
right ^jj+pred+++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
resolved ^vbd+vsua++xvbnx+=resolved
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
revenged ^vpsv++agls+xvbnx+=revenged
for ^in++++=for
the ^ati++++=the
insult ^nn++++=insult.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
as ^ql++++=as
your ^pp$+pp2+++=your
father ^nn++++=father
is ^vbz+bez+vrb++=is
big ^jj+pred+++=big
and ^cc+phrs+++=and
strong ^jj++++=strong
and ^cc++++=and
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
man ^nn++++=man,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
decided ^vprf+++xvbnx+=decided
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
revenged ^vpsv++agls+xvbnx+=revenged
upon ^in++++=upon
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
girl ^nn++++=girl."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
shivered ^vbd+++xvbn+=shivered.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
to ^in++++=to
present ^nn++++=present
you ^pp2+pp2+++=you
with ^in++++=with
this ^dt+dem+++=this
book ^nn++++=book,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
it ^pp3+it+++=it
from ^in++++=from
under ^in++++=under
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
a ^at++++=a
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
his ^pp$+pp3+++=his
hat ^nn++++=hat
on ^in++++=on
the ^ati++++=the
rug ^nn++++=rug
and ^cc++++=and
drew ^vbd+++xvbn+=drew
a ^at++++=a
fountain ^nn++++=fountain
pen ^nn++++=pen
from ^in++++=from
his ^pp$+pp3+++=his
vest ^nn++++=vest
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
write ^vb++++=write
your ^pp$+pp2+++=your
name ^nn++++=name
in ^in++++=in
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
spell ^vb++++=spell
Gladys ^np+++??+=Gladys?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="G-l-a-d-y-s,"
g ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
l ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
- ^zz++++=EXTRAWORD
d ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
y ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
s ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
this ^dt+pdem+++=this,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
and ^cc++++=and
handing ^nvbg+++xvbg+=handing
her ^pp3o+pp3+++=her
the ^ati++++=the
book ^nn++++=book
with ^in++++=with
a ^at++++=a
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
my ^pp$+pp1+++=my
revenge ^nn++++=revenge
for ^in++++=for
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
treatment ^nn+nom+++=treatment
of ^in++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
sorry ^uh++++=sorry
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
buy ^vb++++=buy
the ^ati++++=the
' ^zz++++='Complete
complete ^jj+atrb+++=EXTRAWORD
Works ^nns++++=Works
of ^in++++=of
Peter ^np++++=Peter
Smith ^np++++=Smith.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Good ^jj++++=Good-by,
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
to ^in++++=to
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
her ^pp$+pp3+++=her
another ^dt++++=another
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^vbd+++xvbn+=left
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
could ^md+pos+++=could
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
laughing ^vbg+++xvbgx+=laughing
to ^in++++=to
himself ^ppl+pp3+++=himself
as ^cs+sub+++=as
if ^cs+cnd+++=if
very ^ql+amp+++=very
much ^ap++++=much
amused ^jj+++xvbn+=amused.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
door ^nn++++=door
had ^vbd+hvd+aux++=had
closed ^vprf+++xvbnx+=closed
behind ^in+pl+++=behind
the ^ati++++=the
queer ^jj+atrb+++=queer
little ^jj+atrb+++=little
man ^nn++++=man
the ^ati++++=the
child ^nn++++=child
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
in ^in++++=in
the ^ati++++=the
window ^nn++++=window
again ^rb+tm+++=again
and ^cc++++=and
glanced ^vpsv++agls+xvbn+=glanced
at ^in++++=at
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
a ^at++++=a
red ^jj+atrb+++=red
and ^cc+phrs+++=and
yellow ^jj+atrb+++=yellow
cover ^nn++++=cover
and ^cc++++=and
the ^ati++++=the
word ^nn++++=word
" ^zz++++="Thingamajigs"
thingamajigs ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
across ^in+pl+++=across
the ^ati++++=the
front ^nn++++=front
in ^in++++=in
big ^jj+atrb+++=big
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
