One ^cd1++++=One
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
thine ^pp$+pp2+++=thine
occupation ^nn+nom+++=occupation?
? ^zz++++=EXTRAWORD
O ^zz++++=O
my ^pp$+pp1+++=my
master ^nn++++=master,
, ^zz++++=EXTRAWORD
answered ^j+++xvbn+=answered
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
fisherman ^nn+nom+++=fisherman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
a ^at++++=a
family ^nn++++=family
to ^to++++=to
maintain ^vbi+vpub+++=maintain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
forth ^rp++++=forth
from ^in++++=from
my ^pp$+pp1+++=my
house ^npl++++=house
at ^rb++++=at
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
remained ^vprf+++xvbnx+=remained
until ^in++++=until
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
God ^np++++=God
hath ^vbz+hvz+aux++=hath
allotted ^vprf+++xvbnx+=allotted
me ^pp1o+pp1+++=me
nothing ^pn++++=nothing
wherewith ^jj+++??+=wherewith
to ^to++++=to
obtain ^vbi++++=obtain
food ^nn++++=food
for ^in++++=for
my ^pp$+pp1+++=my
household ^nn++++=household;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
hated ^vprf+++xvbnx+=hated
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wished ^vpsv++agls+xvbn+=wished
for ^in++++=for
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Wilt ^np+prd++??+=Wilt
thou ^pp2+pp2+++=thou,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh,
, ^zz++++=EXTRAWORD
return ^vb++++=return
with ^in++++=with
us ^pp1o+pp1+++=us
to ^in++++=to
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
station ^npl+nom+++=station
thyself ^ppl++++=thyself
on ^in++++=on
the ^ati++++=the
bank ^nn++++=bank
of ^in++++=of
the ^ati++++=the
Tigris ^np+++??+=Tigris,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cast ^nn+++xvbn+=cast
thy ^pp$+pp2+++=thy
net ^jjb++++=net
for ^in++++=for
my ^pp$+pp1+++=my
luck ^nn++++=luck?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
thou ^pp2+pp2+++=thou
wilt ^md+prd+++=wilt
do ^vb+do+vrb++=do
so ^ql++++=so
I ^pp1a+pp1+++=I
will ^md+prd+++=will
purchase ^vb++++=purchase
of ^in++++=of
thee ^pp2+pp2+++=thee
whatever ^nn+nom+++=whatever
cometh ^vbz++++=cometh
up ^rp++++=up
for ^in++++=for
a ^at++++=a
hundred ^cd++++=hundred
pieces ^nns++++=pieces
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fisherman ^nn+nom+++=fisherman
rejoiced ^vbd+++xvbn+=rejoiced
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
these ^dt+dem+++=these
words ^nns++++=words,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
On ^in++++=On
my ^pp$+pp1+++=my
head ^nn++++=head
be ^vb+be+vrb++=be
your ^pp$+pp2+++=your
commands ^nns++++=commands:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
return ^vb++++=return
with ^in++++=with
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
again ^rb+tm+++=again
to ^in++++=to
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cast ^nn+++xvbn+=cast
his ^pp$+pp3+++=his
net ^jjb++++=net,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
waited ^vbd+++xvbn+=waited
till ^cs+sub+++=till
it ^pp3+it+++=it
sank ^vbd+++xvbn+=sank,
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
the ^ati++++=the
cords ^nns++++=cords,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dragged ^vbd+++xvbn+=dragged
back ^jjb++++=back
the ^ati++++=the
net ^jjb++++=net,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
up ^rp++++=up
in ^in++++=in
it ^pp3+it+++=it
a ^at++++=a
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
locked ^j+++xvbn+=locked
and ^cc+phrs+++=and
heavy ^jj++++=heavy.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
felt ^vbd+vprv+tht0+xvbnx+=felt
its ^pp$+it+++=its
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
heavy ^jj+pred+++=heavy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
a ^at++++=a
hundred ^cd++++=hundred
pieces ^nns++++=pieces
of ^in++++=of
gold ^nn++++=gold
to ^in++++=to
the ^ati++++=the
fisherman ^nn+nom+++=fisherman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
went ^vbd+++xvbn+=went
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Mesroor ^np+++??+=Mesroor,
, ^zz++++=EXTRAWORD
assisted ^xvbn+++xvbn+=assisted
by ^in++++=by
Ja ^np+++??+=Ja
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
up ^rp++++=up
the ^ati++++=the
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
conveyed ^vbd+++xvbn+=conveyed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
in ^in++++=in
company ^nn++++=company
with ^in++++=with
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
lighted ^vbd+++xvbnx+=lighted
the ^ati++++=the
candles ^nns++++=candles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
placed ^vbd+++xvbn+=placed
the ^ati++++=the
chest ^nn++++=chest
before ^in++++=before
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh.
. ^zz++++=EXTRAWORD
Ja ^np+++??+=Ja
far ^rb+pl+++=far
and ^cc++++=and
Mesroor ^np+++??+=Mesroor
then ^rn+tm+++=then
broke ^vbd+++xvbn+=broke
it ^pp3+it+++=it
open ^jj++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
in ^in++++=in
it ^pp3+it+++=it
a ^at++++=a
basket ^nn++++=basket
of ^in++++=of
palm ^nn++++=palm-leaves
- ^zz++++=EXTRAWORD
leaves ^nns++++=EXTRAWORD
sewed ^vbd+++xvbn+=sewed
up ^rb+phrv+++=up
with ^in+ppvb+++=with
red ^nn++++=red
worsted ^vbd+++xvbn+=worsted;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
cut ^vbd+++xvbnx+=cut
the ^ati++++=the
threads ^nns++++=threads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vpsv++agls+xvbn+=saw
within ^in++++=within
it ^pp3+it+++=it
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
carpet ^nn++++=carpet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
lifting ^nvbg+++xvbg+=lifting
up ^rp++++=up
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
an ^at++++=an
iz ^nn+++??+=iz
r ^zz++++=r,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
up ^rb+phrv+++=up
the ^ati++++=the
iz ^nn+++??+=iz
r ^zz++++=r
they ^pp3a+pp3+++=they
discovered ^vbd+vprv++xvbnx+=discovered
under ^in++++=under
it ^pp3+it+++=it
a ^at++++=a
damsel ^nn++++=damsel
like ^in++++=like
molten ^jj+atrb+++=molten
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
killed ^j+++xvbn+=killed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cut ^vpsv++agls+xvbn+=cut
in ^in++++=in
pieces ^nns++++=pieces.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
beheld ^nn+++??+=beheld
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
tears ^nns++++=tears
ran ^vbd+++xvbn+=ran
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
towards ^in++++=towards
Ja ^np+++??+=Ja
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
exclaimed ^vbd+++xvbnx+=exclaimed,
, ^zz++++=EXTRAWORD
O ^zz++++=O
dog ^nn++++=dog
of ^in++++=of
Wezeers ^nns+nom++??+=Wezeers,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
people ^vb++++=people
be ^vb+be+aux++=be
murdered ^vpsv++agls+xvbnx+=murdered
in ^in++++=in
my ^pp$+pp1+++=my
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+aux++=be
thrown ^vpsv++agls+xvbnx+=thrown
into ^in++++=into
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
become ^vb++++=become
burdens ^nns++++=burdens
upon ^in++++=upon
my ^pp$+pp1+++=my
responsibility ^nn+nom+++=responsibility?
? ^zz++++=EXTRAWORD
By ^in++++=By
Allah ^np++++=Allah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
retaliate ^nn+nom+++=retaliate
for ^in++++=for
this ^dt+dem+++=this
damsel ^nn++++=damsel
upon ^in++++=upon
him ^pp3o+pp3+++=him
who ^whp+who+++=who
killed ^vbd+++xvbn+=killed
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
him ^pp3o+pp3+++=him
to ^in++++=to
death ^nn++++=death!
! ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
to ^in++++=to
Ja ^np+++??+=Ja
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
truth ^nn++++=truth
of ^in++++=of
my ^pp$+pp1+++=my
descent ^nn++++=descent
from ^in++++=from
the ^ati++++=the
Khaleefehs ^np+++??+=Khaleefehs
of ^in++++=of
the ^ati++++=the
sons ^nns++++=sons
of ^in++++=of
El- ^np+++??+=El-'Abb
'abb ^nn+++??+=EXTRAWORD
s ^zz++++=s,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
thou ^pp2+pp2+++=thou
do ^vb+do+aux++=do
not ^xnot++not++=not
bring ^vb++++=bring
to ^rb+phrv+++=to
me ^pp1o+pp1+++=me
him ^pp3o+pp3+++=him
who ^whp+who+++=who
killed ^vbd+++xvbn+=killed
this ^dt+dem+++=this
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
may ^md+pos+++=may
avenge ^vb++++=avenge
her ^pp$+pp3+++=her
upon ^in++++=upon
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
crucify ^vb++++=crucify
thee ^pp2+pp2+++=thee
at ^in++++=at
the ^ati++++=the
gate ^nn++++=gate
of ^in++++=of
my ^pp$+pp1+++=my
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
forty ^cd++++=forty
of ^in++++=of
thy ^pp$+pp2+++=thy
kinsmen ^vwbn+++xvbn+=kinsmen!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
was ^vbd+bedz+aux++=was
enraged ^vpsv++agls+xvbnx+=enraged.
. ^zz++++=EXTRAWORD
Grant ^nn++++=Grant
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
Ja ^np+++??+=Ja
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
a ^at++++=a
delay ^nn++++=delay
of ^in++++=of
three ^cd++++=three
days ^nns++++=days.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
grant ^vb+vsua+tht0++=grant
thee ^pp2+pp2+++=thee
the ^ati++++=the
delay ^nn++++=delay,
, ^zz++++=EXTRAWORD
replied ^j+++xvbn+=replied
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh.
. ^zz++++=EXTRAWORD
Ja ^np+++??+=Ja
far ^rb+pl+++=far
then ^rn+tm+++=then
went ^vbd+++xvbn+=went
forth ^rp++++=forth
from ^in++++=from
his ^pp$+pp3+++=his
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
route ^nn++++=route
through ^in++++=through
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
sorrowful ^jj++++=sorrowful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saying ^nvbg+++xvbg+=saying
within ^in++++=within
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
discover ^nn+nom+++=discover
him ^pp3o+pp3+++=him
who ^whp+who+++=who
killed ^vbd+++xvbn+=killed
this ^dt+dem+++=this
damsel ^nn++++=damsel,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
may ^md+pos+++=may
take ^vb++++=take
him ^pp3o+pp3+++=him
before ^in++++=before
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
take ^vb++++=take
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
any ^dti++++=any
other ^ap++++=other
person ^nn++++=person,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
become ^vb++++=become
a ^at++++=a
weight ^nn++++=weight
upon ^in++++=upon
my ^pp$+pp1+++=my
conscience ^nn+nom+++=conscience.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
not ^xnot++not++=not
what ^wdt+who+++=what
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
days ^nns++++=days
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
in ^in++++=in
his ^pp$+pp3+++=his
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
fourth ^od++++=fourth
day ^nn++++=day
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
sent ^vbd+++xvbn+=sent
to ^to++++=to
summon ^vbi++++=summon
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
presented ^vprf+++xvbnx+=presented
himself ^ppl+pp3+++=himself
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
said ^vb+++xvbn+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
is ^vbz+bez+aux++=is
the ^ati++++=the
murderer ^nn+nom+++=murderer
of ^in++++=of
the ^ati++++=the
damsel ^nn++++=damsel?
? ^zz++++=EXTRAWORD
O ^zz++++=O
Prince ^npt++++=Prince
of ^in++++=of
the ^ati++++=the
Faithful ^jj+atrb+++=Faithful,
, ^zz++++=EXTRAWORD
