If ^cs+cnd+++=If
_habitants_ ^nn+++??+=_habitants_,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
_coureurs ^nns+++??+=_coureurs
de ^&fw++++=de
bois._ ^nn+++??+=bois._
People ^nns++++=People
are ^vb+ber+aux++=are
saying ^vbg+++xvbgx+=saying
now ^rn+tm+++=now
that ^cs+sub+++=that
Quebec ^np++++=Quebec
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
loyal ^jj++++=loyal,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
brave ^jj++++=brave,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
patriotic ^jj++++=patriotic
in ^in++++=in
this ^dt+dem+++=this
war ^nn++++=war
for ^in++++=for
freedom ^nn+nom+++=freedom
and ^cc++++=and
humanity ^nn+nom+++=humanity.
. ^zz++++=EXTRAWORD
Even ^cs+sub+++=Even
if ^cs+cnd+++=if
the ^ati++++=the
accusation ^nn+nom+++=accusation
were ^vbd+bed+vrb++=were
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course
it ^pp3+it+++=it
would ^md+prd+++=would
not ^xnot++not++=not
spoil ^vb++++=spoil
the ^ati++++=the
big ^jj+atrb+++=big
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rushing ^jj+atrb++xvbg+=rushing
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sparkling ^jj+atrb+++=sparkling
lakes ^nns++++=lakes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
friendly ^jj+atrb+++=friendly
mountains ^nns++++=mountains
of ^in++++=of
French ^jj+atrb+++=French
Canada ^np++++=Canada.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
all ^rb++++=all
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
hurts ^nns++++=hurts
me ^pp1o+pp1+++=me
to ^to++++=to
hear ^vbi+vprv+++=hear
such ^abl++++=such
a ^at++++=a
charge ^nn++++=charge
against ^in++++=against
my ^pp$+pp1+++=my
friends ^nns++++=friends
of ^in++++=of
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
Francois ^np+++??+=Francois
and ^cc++++=and
Ferdinand ^np++++=Ferdinand
and ^cc++++=and
Louis ^np++++=Louis
and ^cc++++=and
Jean ^np++++=Jean
and ^cc++++=and
Eugene ^np+++??+=Eugene
and ^cc++++=and
Iside ^np+++??+=Iside
are ^vb+ber+vrb++=are
not ^xnot++not++=not
true ^jj+atrb+++=true
men ^nns++++=men?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
these ^dt+dem+++=these
lumbermen ^jj+++xvbn+=lumbermen
who ^whp+who+++=who
steer ^vb++++=steer
big ^jj+atrb+++=big
logs ^nns++++=logs
down ^in++++=down
steep ^jj+atrb+++=steep
places ^nns++++=places,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
trappers ^nns+nom+++=trappers
who ^whp+rel+subj++=who
brave ^vb++++=brave
the ^ati++++=the
death ^nn++++=death-cold
- ^zz++++=EXTRAWORD
cold ^jj+atrb+++=EXTRAWORD
grip ^nn++++=grip
of ^in++++=of
Winter ^nn++++=Winter,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
canoe ^nn+++??+=canoe-men
- ^zz++++=EXTRAWORD
men ^nns++++=EXTRAWORD
who ^whp+rel+subj++=who
shout ^vb++++=shout
for ^in++++=for
joy ^nn++++=joy
as ^ql++++=as
they ^pp3a+pp3+++=they
run ^vbd+++xvbnx+=run
the ^ati++++=the
foaming ^jj+atrb++xvbg+=foaming
rapids, ^nn+++??+=rapids,--do
-- ^--+clp+++=EXTRAWORD
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
no ^at++++=no
courage ^nn+nom+++=courage?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
ready ^jj++++=ready
to ^to+jcmp+++=to
credit ^vb++++=credit
that ^tht+rel+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
have ^md"++pmd"++=have
to ^md+nec+++=to
say ^vb+vpub+++=say
for ^in++++=for
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
listening ^xvbg+++xvbg+=listening
for ^in++++=for
that ^dt+dem+++=that
testimony ^nn++++=testimony
certain ^jj++++=certain
little ^ap++++=little
remembrances ^nns+nom++??+=remembrances
come ^vprf+++xvbn+=come
to ^in++++=to
me ^pp1o+pp1+++=me--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
an ^at++++=an
argument ^nn+nom+++=argument--only
-- ^--+clp+++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
sketches ^nns++++=sketches
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
them ^pp3o+pp3+++=them
for ^in++++=for
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
worth ^in+strn+++=worth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
La ^&fw++++=LA
Grande ^&fw++++=GRANDE
Decharge ^np+++??+=DECHARGE
September ^nr+nom+++=September,
, ^zz++++=EXTRAWORD
1894 ^cd+date+++=1894
In ^in++++=In
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
long ^jj+atrb+++=long
stillwaters ^nns+nom+++=stillwaters
of ^in++++=of
the ^ati++++=the
mighty ^jj+atrb+++=mighty
stream ^nn++++=stream
that ^tht+rel+subj++=that
rushes ^vbz++++=rushes
from ^in++++=from
_lac ^nn+++??+=_Lac
Saint ^nn++++=Saint
Jean_ ^np+++??+=Jean_
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
Saguenay ^np+++??+=Saguenay--below
-- ^--+clp+++=EXTRAWORD
below ^in+pl+++=EXTRAWORD
the ^ati++++=the
_ile ^nn+++??+=_Ile
Maligne_ ^np+++??+=Maligne_
and ^cc++++=and
above ^jjb++++=above
the ^ati++++=the
cataract ^nn++++=cataract
of ^in++++=of
Chicoutimi ^np+++??+=Chicoutimi--two
-- ^--+clp+++=EXTRAWORD
two ^cd++++=EXTRAWORD
birch ^nn++++=birch-bark
- ^zz++++=EXTRAWORD
bark ^nn++++=EXTRAWORD
canoes ^nns++++=canoes
are ^vb+ber+aux++=are
floating ^vbg+++xvbgx+=floating
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
descending ^vbg+++xvbg+=descending
with ^in++++=with
rhythmic ^jj+atrb+++=rhythmic
strokes ^nns+++??+=strokes
of ^in++++=of
the ^ati++++=the
paddle ^nn++++=paddle,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
luminous ^jj+atrb+++=luminous
northern ^jj+atrb+++=northern
twilight ^nn++++=twilight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chief ^jjb+atrb+++=chief
guide ^nn++++=guide,
, ^zz++++=EXTRAWORD
Jean ^np++++=Jean
Morel ^np+++??+=Morel,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
_coureur ^nn+++??+=_coureur
de ^&fw++++=de
bois_ ^nn+++??+=bois_
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
type ^nn++++=type--broad-shouldered,
-- ^--+clp+++=EXTRAWORD
broad ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
red ^jj++++=red-bearded,
- ^zz++++=EXTRAWORD
bearded ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
fearless ^jj+atrb+++=fearless
canoeman ^nn+nom+++=canoeman,
, ^zz++++=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
hunter ^nn++++=hunter
and ^cc++++=and
fisherman ^nn+nom+++=fisherman--simple
-- ^--+clp+++=EXTRAWORD
simple ^jj++++=EXTRAWORD
of ^in++++=of
speech ^nn++++=speech
and ^cc++++=and
deep ^jj++++=deep
of ^in++++=of
heart ^nn++++=heart:
: ^zz++++=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
man ^nn++++=man
to ^in++++=to
trust ^nn++++=trust
in ^in++++=in
the ^ati++++=the
rapids ^nns+++??+=rapids.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Jean ^np++++=Jean,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ask ^vb++++=ask
in ^rb+phrv+++=in
the ^ati++++=the
comfortable ^jj+atrb+++=comfortable
leisure ^nn++++=leisure
of ^in++++=of
our ^pp$+pp1+++=our
voyage ^nn++++=voyage
which ^whp+rel+obj++=which
conduces ^nns+++??+=conduces
to ^in++++=to
pipe ^nn++++=pipe-smoking
- ^zz++++=EXTRAWORD
smoking ^vbg+++xvbg+=EXTRAWORD
and ^cc++++=and
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
" ^zz++++="tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
a ^at++++=a
Frenchman ^nn+nom+++=Frenchman
or ^cc++++=or
an ^at++++=an
Englishman ^nn+nom+++=Englishman?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
the ^ati++++=the
one ^pn++++=one,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
other ^ap++++=other,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answers ^nns+nom+++=answers
Jean ^np++++=Jean
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^vbd+++xvbn+=EXTRAWORD
_patois._ ^nn+++??+=_patois._
" ^zz++++="M'sieu'
my ^pp$+pp1+++0=EXTRAWORD
sieu ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
knows ^vbz+vprv+tht0++=knows
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
French ^jj+pred+++=French-Canadian."
- ^zz++++=EXTRAWORD
canadian ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
remarkable ^jj+atrb+++=remarkable
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
come ^vb++++=come
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
claims ^vbz+vpub+++=claims
a ^at++++=a
nationality ^nn+nom+++=nationality
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
existed ^vprf+++xvbnx+=existed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
likely ^jj++++=likely
to ^to+jcmp+++=to
exist ^vbi++++=exist,
, ^zz++++=EXTRAWORD
except ^in++++=except
in ^in++++=in
a ^at++++=a
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
my ^pp$+pp1+++=my
impulse ^nn++++=impulse
of ^in++++=of
psychological ^jj+atrb+++=psychological
curiosity ^nn+nom+++=curiosity,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
Jean ^np++++=Jean
is ^vbz+bez+vrb++=is
sublimely ^rb++++=sublimely
ignorant ^jj+pred+++=ignorant,
, ^zz++++=EXTRAWORD
" ^zz++++="suppose
suppose ^vb+vprv+tht0++=EXTRAWORD
a ^at++++=a
war ^nn++++=war
should ^md+nec+++=should
come ^vb++++=come
between ^in+ppvb+++=between
France ^np++++=France
and ^cc++++=and
England ^np++++=England.
. ^zz++++=EXTRAWORD
On ^in++++=On
which ^whp+rel+pied++=which
side ^nn++++=side
would ^md+prd+++=would
you ^pp2+pp2+++=you
fight ^vb++++=fight?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jean ^np++++=Jean
knocks ^vbz++++=knocks
the ^ati++++=the
dottle ^nn+++??+=dottle
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
pipe ^nn++++=pipe,
, ^zz++++=EXTRAWORD
refills ^nns+++??+=refills
and ^cc++++=and
relights ^nns+++??+=relights.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
even ^rb++++=even
strokes ^nns+++??+=strokes
of ^in++++=of
his ^pp$+pp3+++=his
paddle ^nn++++=paddle,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
makes ^vbz++++=makes
this ^dt+dem+++=this
extraordinary ^jj+atrb+++=extraordinary
reply ^nn++++=reply:
: ^zz++++=EXTRAWORD
_"m ^nn+++??+=_"M'sieu,
'sieu, ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
my ^pp$+pp1+++=my
body ^nn++++=body
would ^md+prd+++=would
march ^vb++++=march
under ^in++++=under
the ^ati++++=the
flag ^nn++++=flag
of ^in++++=of
England ^np++++=England.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
heart ^nn++++=heart
would ^md+prd+++=would
march ^vb++++=march
under ^in++++=under
the ^ati++++=the
flag ^nn++++=flag
of ^in++++=of
France."_ ^np+++??+=France."_
Good ^jj+atrb+++=Good
old ^jj+atrb+++=old
Jean ^np++++=Jean
Morel ^np+++??+=Morel!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vb+hv+vrb++=had
no ^at++++=no
premonition ^nn+nom+++=premonition
of ^in++++=of
this ^dt+dem+++=this
glorious ^jj+atrb+++=glorious
war ^nn++++=war
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
Tricolor ^np+++??+=Tricolor
and ^cc++++=and
the ^ati++++=the
Union ^nn++++=Union
Jack ^np++++=Jack
would ^md+prd+++=would
advance ^nn+nom+++=advance
together ^nn+nom+++=together
against ^in++++=against
the ^ati++++=the
ravening ^jj+atrb++xvbg+=ravening
black ^jj+atrb+++=black
eagle ^nn++++=eagle
of ^in++++=of
Germany ^np++++=Germany,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Stars ^nns++++=Stars
and ^cc++++=and
Stripes ^nns++++=Stripes
would ^md+prd+++=would
join ^vb++++=join
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
should ^md+nec+++=should
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
anything ^pn++++=anything
about ^in++++=about
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
log ^&fo++++=log
cabin ^nn++++=cabin
was ^vbd+bedz+vrb++=was
your ^pp$+pp2+++=your
capitol ^np++++=capitol.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
little ^jj+atrb+++=little
family ^nn++++=family
was ^vbd+bedz+vrb++=was
your ^pp$+pp2+++=your
council ^nn++++=council
of ^in++++=of
state ^nn++++=state.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
proud ^jj++++=proud
of ^in++++=of
our ^pp$+pp1+++=our
university ^nn+nom+++=university
culture ^nn++++=culture,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
too ^ql++++=too
blind ^jj++++=blind,
, ^zz++++=EXTRAWORD
in ^in++++=in
those ^dt+dem+++=those
late ^jj+atrb+++=late
Victorian ^jj+atrb+++=Victorian
days ^nns++++=days,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
looming ^jj+atrb++xvbg+=looming
menace ^nn++++=menace
of ^in++++=of
Prussian ^jj+atrb+++=Prussian
paganism ^nn+nom+++=paganism
and ^cc++++=and
the ^ati++++=the
conquer ^vb++++=conquer-lust
- ^zz++++=EXTRAWORD
lust ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Hohenzollerns ^np+++??+=Hohenzollerns,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
plunged ^vprf+++xvbnx+=plunged
the ^ati++++=the
whole ^jj+atrb+++=whole
world ^nn++++=world
in ^in++++=in
war ^nn++++=war.
. ^zz++++=EXTRAWORD
Ii ^np+++??+=II
Oxford ^np++++=OXFORD
February ^nr+nom+++=February,
, ^zz++++=EXTRAWORD
1917 ^cd+date+++=1917
The ^ati++++=The
" ^zz++++="Schools"
schools ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
modern ^jj++++=modern,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
stateliest ^nn++++=stateliest
on ^in++++=on
the ^ati++++=the
Main ^jjb+atrb+++=Main
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
in ^in++++=in
old ^jj+atrb+++=old
peaceful ^jj+atrb+++=peaceful
times ^nns++++=times,
, ^zz++++=EXTRAWORD
the ^ati++++=the
university ^nn+nom+++=university
examinations ^nns+nom+++=examinations
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi+vbi+aux++=be
held ^vbd+vprv++xvbn+=held.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
transformed ^vpsv++agls+xvbnx+=transformed
into ^in++++=into
a ^at++++=a
hospital ^nn+nom+++=hospital
for ^in++++=for
the ^ati++++=the
wounded ^jj+atrb++xvbn+=wounded
men ^nns++++=men
from ^in++++=from
the ^ati++++=the
fighting ^jj+++xvbg+=fighting
front ^jjb++++=front
of ^in++++=of
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
William ^np++++=William
Osier ^np+++??+=Osier,
, ^zz++++=EXTRAWORD
Canadian ^nn++++=Canadian,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
world ^nn++++=world-renowned
- ^zz++++=EXTRAWORD
renowned ^jj+atrb+++=EXTRAWORD
physician ^nn++++=physician,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
guide ^nn++++=guide,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
friend ^nn++++=friend
in ^in++++=in
Baltimore ^np+++??+=Baltimore,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
Regius ^np+++??+=Regius
Professor ^nn++++=Professor
of ^in++++=of
Medicine ^nn++++=Medicine
in ^in++++=in
Oxford ^np++++=Oxford.
. ^zz++++=EXTRAWORD
" ^zz++++="Come,"
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
you ^pp2+pp2+++=you
to ^to++++=to
see ^vbi+vprv+++=see
an ^at++++=an
example ^nn++++=example
of ^in++++=of
the ^ati++++=the
Carrel ^np+++??+=Carrel
treatment ^nn+nom+++=treatment
of ^in++++=of
wounds ^nns++++=wounds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
patient ^nn++++=patient
is ^vbz+bez+aux++=is
sitting ^vbg+++xvbgx+=sitting
up ^rp++++=up
in ^in++++=in
bed ^nn++++=bed--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
fine ^jj++++=fine
young ^jj++++=young
fellow ^jjb++++=fellow
about ^in++++=about
twenty ^cd++++=twenty
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
A ^at++++=A
shrapnel ^nn+++??+=shrapnel-shell,
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
somewhere ^rb++++=somewhere
in ^in++++=in
France ^np++++=France,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
over ^in++++=over
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
burst ^nn+++xvbn+=burst
just ^rb+emph+++=just
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
bare ^jj++++=bare
back ^jjb++++=back
is ^vbz+bez+vrb++=is
a ^at++++=a
mass ^nn++++=mass
of ^in++++=of
scars ^nns++++=scars.
. ^zz++++=EXTRAWORD
The ^ati++++=The
healing ^jj+atrb++xvbg+=healing
fluid ^nn++++=fluid
is ^vbz+bez+aux++=is
being ^vbg+beg+aux+xvbg+=being
pumped ^vpsv++agls+xvbn+=pumped
in ^in++++=in
through ^in++++=through
the ^ati++++=the
shattered ^jj+++xvbn+=shattered
elbow ^npl++++=elbow
of ^in++++=of
his ^pp$+pp3+++=his
right ^jj++++=right
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
yet ^rb++++=yet
out ^rp+pl+++=out
of ^in++++=of
danger ^nn++++=danger.
. ^zz++++=EXTRAWORD
" ^zz++++="Does
does ^vbz+doz+aux++=EXTRAWORD
it ^pp3+it+++=it
hurt ^vbd+++xvbn+=hurt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ask ^vb++++=ask.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
much ^rb+cnj+++=much,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answers ^nns+nom+++=answers,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
