Her ^pp$+pp3+++=Her
people ^nns++++=people
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
live ^vbi++++=live
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
only ^rb+down+++=only
they ^pp3a+pp3+++=they
would ^md+prd+++=would
all ^rb++splt++=all
forget ^vb+vprv+tht0++=forget
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
felt ^vbd+vprv+tht0+xvbnx+=felt
she ^pp3a+pp3+++=she
could ^md+pos+++=could
endure ^vb++++=endure
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
who ^whp+who+whq++=who
can ^md+pos+++=can
forget ^vb+vprv+++=forget
pain ^nn++++=pain?
? ^zz++++=EXTRAWORD
Night ^nn++++=Night
and ^cc++++=and
day ^nn++++=day
her ^pp3o+pp3+++=her
parents ^nns++++=parents'
' ^zz++++=EXTRAWORD
minds ^nns++++=minds
were ^vbd+bed+aux++=were
aching ^vbg+++xvbgx+=aching
on ^in++++=on
her ^pp$+pp3+++=her
account ^nn++++=account.
. ^zz++++=EXTRAWORD
Especially ^rb++++=Especially
her ^pp3o+pp3+++=her
mother ^npt++++=mother
looked ^vbd+++xvbn+=looked
upon ^in++++=upon
her ^pp$+pp3+++=her
as ^in++++=as
a ^at++++=a
deformity ^nn+nom+++=deformity
in ^in++++=in
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
To ^in++++=To
a ^at++++=a
mother ^nn++++=mother
a ^at++++=a
daughter ^nn+nom+++=daughter
is ^vbz+bez+vrb++=is
a ^at++++=a
more ^rbr++++=more
closely ^rb++++=closely
intimate ^jj+atrb+++=intimate
part ^nn++++=part
of ^in++++=of
herself ^ppl+pp3+++=herself
than ^in++++=than
a ^at++++=a
son ^nn++++=son
can ^md+pos+++=can
be ^vb+be+vrb++=be;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fault ^nn++++=fault
in ^in++++=in
her ^pp$+pp3+++=her
is ^vbz+bez+vrb++=is
a ^at++++=a
source ^nn++++=source
of ^in++++=of
personal ^jj+atrb+++=personal
shame ^nn++++=shame.
. ^zz++++=EXTRAWORD
Banikantha ^np+++??+=Banikantha,
, ^zz++++=EXTRAWORD
Subha ^np++++=Subha's
's ^$++++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
loved ^j+++xvbn+=loved
her ^pp$+pp3+++=her
rather ^rb++++=rather
better ^jjr++++=better
than ^in++++=than
his ^pp$+pp3+++=his
other ^ap++++=other
daughters ^nns+nom+++=daughters;
; ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
mother ^npt++++=mother
regarded ^vwbn+++xvbn+=regarded
her ^pp$+pp3+++=her
with ^in++++=with
aversion ^nn++++=aversion
as ^in++++=as
a ^at++++=a
stain ^nn++++=stain
upon ^in++++=upon
her ^pp$+pp3+++=her
own ^ap++++=own
body ^nn++++=body.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Subha ^np+++??+=Subha
lacked ^vbd+++xvbn+=lacked
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
lack ^vb++++=lack
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
large ^jj+atrb+++=large
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
shaded ^j+++xvbn+=shaded
with ^in++++=with
long ^jj+atrb+++=long
lashes ^nns++++=lashes;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
lips ^nns++++=lips
trembled ^vbd+++xvbn+=trembled
like ^in++++=like
a ^at++++=a
leaf ^nn++++=leaf
in ^in++++=in
response ^nn++++=response
to ^in++++=to
any ^dti++++=any
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
rose ^nn+++xvbn+=rose
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
express ^jjb++++=express
our ^pp$+pp1+++=our
thought ^nn+++xvbn+=thought
in ^in++++=in
words ^nns++++=words,
, ^zz++++=EXTRAWORD
the ^ati++++=the
medium ^jjb++++=medium
is ^vbz+bez+aux++=is
not ^xnot++not++=not
found ^vbd+vprv++xvbn+=found
easily ^rb++++=easily.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
must ^md+nec+++=must
be ^vb+be+vrb++=be
a ^at++++=a
process ^nns+nom+++=process
of ^in++++=of
translation ^nn+nom+++=translation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
often ^rb++++=often
inexact ^jj+pred++??+=inexact,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
fall ^nn++++=fall
into ^in++++=into
error ^nn++++=error.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
black ^jj+atrb+++=black
eyes ^nns++++=eyes
need ^nn++++=need
no ^at++++=no
translating ^nvbg+++xvbg+=translating;
; ^zz++++=EXTRAWORD
the ^ati++++=the
mind ^nn++++=mind
itself ^ppl++++=itself
throws ^vbz++++=throws
a ^at++++=a
shadow ^nn++++=shadow
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
In ^in++++=In
them ^pp3o+pp3+++=them
thought ^vbd+++xvbn+=thought
opens ^vbz++++=opens
or ^cc++++=or
shuts ^nns+++??+=shuts,
, ^zz++++=EXTRAWORD
shines ^vbz++++=shines
forth ^rp++++=forth
or ^cc++++=or
goes ^vbz++++=goes
out ^rp+pl+++=out
in ^in++++=in
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
hangs ^vbz++++=hangs
steadfast ^nn+++??+=steadfast
like ^in++++=like
the ^ati++++=the
setting ^jj+++xvbg+=setting
moon ^np++++=moon
or ^cc++++=or
like ^in++++=like
the ^ati++++=the
swift ^jj+atrb+++=swift
and ^cc+phrs+++=and
restless ^jj+atrb+++=restless
lightning ^nn++++=lightning
illumines ^nns+++??+=illumines
all ^abn++++=all
quarters ^nns+nom+++=quarters
of ^in++++=of
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
who ^whp+who+++=who
from ^in++++=from
birth ^nn++++=birth
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
no ^at++++=no
other ^ap++++=other
speech ^nn++++=speech
than ^in++++=than
the ^ati++++=the
trembling ^jj+++xvbg+=trembling
of ^in++++=of
their ^pp$+pp3+++=their
lips ^nns++++=lips
learn ^vb+vprv+++=learn
a ^at++++=a
language ^nn+nom+++=language
of ^in++++=of
the ^ati++++=the
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
endless ^jj++++=endless
in ^in++++=in
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
deep ^jj++++=deep
as ^ql++++=as
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear
as ^ql++++=as
the ^ati++++=the
heavens ^nns++++=heavens,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
play ^nn++++=play
dawn ^nn++++=dawn
and ^cc++++=and
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
light ^jj++++=light
and ^cc++++=and
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dumb ^jj++++=dumb
have ^vb+hv+vrb++=have
a ^at++++=a
lonely ^jj+atrb+++=lonely
grandeur ^nn++++=grandeur
like ^in++++=like
Nature ^np++++=Nature's
's ^$++++=EXTRAWORD
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Wherefore ^np+++??+=Wherefore
the ^ati++++=the
other ^ap++++=other
children ^nns++++=children
almost ^rb+hdg+++=almost
dreaded ^xvbn+++xvbn+=dreaded
Subha ^np+++??+=Subha
and ^cc++++=and
never ^rb++++=never
played ^vbd+++xvbn+=played
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent
and ^cc+phrs+++=and
companionless ^jj++++=companionless
as ^in++++=as
noontide ^nn++++=noontide.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hamlet ^nn++++=hamlet
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
lived ^vbd+++xvbnx+=lived
was ^vbd+bedz+vrb++=was
Chandipur ^np+++??+=Chandipur.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
river ^nn++++=river,
, ^zz++++=EXTRAWORD
small ^jj++++=small
for ^in++++=for
a ^at++++=a
river ^nn++++=river
of ^in++++=of
Bengal ^np++++=Bengal,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
to ^in++++=to
its ^pp$+it+++=its
narrow ^jj+atrb+++=narrow
bounds ^nns++++=bounds
like ^in++++=like
a ^at++++=a
daughter ^nn+nom+++=daughter
of ^in++++=of
the ^ati++++=the
middle ^jjb+atrb+++=middle
class ^nn++++=class.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
busy ^jj+atrb+++=busy
streak ^nn++++=streak
of ^in++++=of
water ^nn++++=water
never ^rb++++=never
overflowed ^vbd+++xvbn+=overflowed
its ^pp$+it+++=its
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
went ^vpsv++agls+xvbn+=went
about ^in+ppvb+++=about
its ^pp$+it+++=its
duties ^nns++++=duties
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
member ^nn++++=member
of ^in++++=of
every ^at++++=every
family ^nn++++=family
in ^in++++=in
the ^ati++++=the
villages ^nns+nom+++=villages
beside ^in+pl+++=beside
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
On ^in++++=On
either ^dtx++++=either
side ^nn++++=side
were ^vbd+bed+vrb++=were
houses ^nns++++=houses
and ^cc++++=and
banks ^nns++++=banks
shaded ^vbd+++xvbn+=shaded
with ^in++++=with
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
So ^ql+emph+++=So
stepping ^jj+++xvbg+=stepping
from ^in++++=from
her ^pp$+pp3+++=her
queenly ^jj+atrb+++=queenly
throne ^nn++++=throne,
, ^zz++++=EXTRAWORD
the ^ati++++=the
river ^nn++++=river-goddess
- ^zz++++=EXTRAWORD
goddess ^nns+nom+++=EXTRAWORD
became ^vbd+++xvbn+=became
a ^at++++=a
garden ^nn++++=garden
deity ^nn++++=deity
of ^in++++=of
each ^ppls++++=each
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
forgetful ^nn+nom+++=forgetful
of ^in++++=of
herself ^ppl+pp3+++=herself
performed ^vbd+++xvbn+=performed
her ^pp$+pp3+++=her
task ^nn++++=task
of ^in++++=of
endless ^jj+atrb+++=endless
benediction ^nn+nom+++=benediction
with ^in++++=with
swift ^jj+atrb+++=swift
and ^cc+phrs+++=and
cheerful ^jj+atrb+++=cheerful
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
Banikantha ^np++++=Banikantha's
's ^$++++=EXTRAWORD
house ^npl++++=house
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
upon ^in++++=upon
the ^ati++++=the
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
hut ^nn++++=hut
and ^cc++++=and
stack ^nn++++=stack
in ^in++++=in
the ^ati++++=the
place ^nn++++=place
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++by+xvbnx+=seen
by ^in++++=by
the ^ati++++=the
passing ^nn++++=passing
boatmen ^vbd+++xvbn+=boatmen.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
not ^xnot++not++=not
if ^cs+cnd+++=if
amid ^in++++=amid
these ^dt+dem+++=these
signs ^nns++++=signs
of ^in++++=of
worldly ^jj+atrb+++=worldly
wealth ^nn++++=wealth
any ^dti++++=any
one ^cd1++++=one
noticed ^vbd+vprv++xvbn+=noticed
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
her ^pp$+pp3+++=her
work ^nn++++=work
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
stole ^j+++xvbn+=stole
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
waterside ^nn++++=waterside
and ^cc++++=and
sat ^vbd+++xvbn+=sat
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
here ^rn+pl+++=here
Nature ^nn++++=Nature
fulfilled ^vwbn+++xvbn+=fulfilled
her ^pp$+pp3+++=her
want ^vb++++=want
of ^in++++=of
speech ^nn++++=speech
and ^cc++++=and
spoke ^vpsv++agls+xvbn+=spoke
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
murmur ^nn++++=murmur
of ^in++++=of
the ^ati++++=the
brook ^nn++++=brook,
, ^zz++++=EXTRAWORD
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
folk ^jjb++++=folk,
, ^zz++++=EXTRAWORD
the ^ati++++=the
songs ^nns++++=songs
of ^in++++=of
the ^ati++++=the
boatmen ^jj+++xvbn+=boatmen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
crying ^jj+++xvbg+=crying
of ^in++++=of
the ^ati++++=the
birds ^nns++++=birds
and ^cc++++=and
rustle ^nn++++=rustle
of ^in++++=of
trees ^nns++++=trees
mingled ^vbd+++xvbn+=mingled
and ^cc++++=and
were ^vbd+bed+vrb++=were
one ^pn++++=one
with ^in++++=with
the ^ati++++=the
trembling ^jj+++xvbg+=trembling
of ^in++++=of
her ^pp$+pp3+++=her
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
became ^vbd+++xvbnx+=became
one ^cd1++++=one
vast ^jj+atrb+++=vast
wave ^nn++++=wave
of ^in++++=of
sound ^nn++++=sound
which ^whp+rel+obj++=which
beat ^nn+++xvbn+=beat
upon ^in++++=upon
her ^pp$+pp3+++=her
restless ^jj+atrb+++=restless
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
murmur ^nn++++=murmur
and ^cc++++=and
movement ^nn+nom+++=movement
of ^in++++=of
Nature ^nn++++=Nature
were ^vbd+bed+vrb++=were
the ^ati++++=the
dumb ^jj+atrb+++=dumb
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
language ^nn+nom+++=language;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
speech ^nn++++=speech
of ^in++++=of
the ^ati++++=the
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
long ^jj+atrb+++=long
lashes ^nns++++=lashes
shaded ^vbd+++xvbn+=shaded,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
language ^nn+nom+++=language
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
about ^in++++=about
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
cicalas ^nn++++=cicalas
chirped ^vbd+++xvbn+=chirped,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
quiet ^nn++++=quiet
stars ^nns++++=stars
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
but ^cc++++=but
signs ^nns++++=signs
and ^cc++++=and
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
weeping ^nn++++=weeping
and ^cc++++=and
sighing ^vbg+++xvbg+=sighing.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
the ^ati++++=the
deep ^jj++++=deep
mid ^jjb++++=mid-noon,
- ^zz++++=EXTRAWORD
noon ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
boatmen ^jj+++xvbn+=boatmen
and ^cc++++=and
fisher ^np++++=fisher-folk
- ^zz++++=EXTRAWORD
folk ^jjb++++=EXTRAWORD
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
their ^pp$+pp3+++=their
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
villagers ^nns+nom+++=villagers
slept ^vbd+++xvbn+=slept
and ^cc++++=and
birds ^nns++++=birds
were ^vbd+bed+vrb++=were
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
ferry ^nn++++=ferry-boats
- ^zz++++=EXTRAWORD
boats ^nns++++=EXTRAWORD
were ^vbd+bed+vrb++=were
idle ^jj+pred+++=idle,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
great ^jj+atrb+++=great
busy ^jj+atrb+++=busy
world ^nn++++=world
paused ^vbd+++xvbn+=paused
in ^in++++=in
its ^pp$+it+++=its
toil ^nn++++=toil
and ^cc++++=and
became ^vbd+++xvbn+=became
suddenly ^rb++++=suddenly
a ^at++++=a
lonely ^jj++++=lonely,
, ^zz++++=EXTRAWORD
awful ^jj++++=awful
giant ^jjb++++=giant,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
beneath ^in+pl+++=beneath
the ^ati++++=the
vast ^jj+atrb+++=vast
impressive ^jj+atrb+++=impressive
heavens ^nns++++=heavens
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
only ^rb+down+++=only
dumb ^jj+atrb+++=dumb
Nature ^nn++++=Nature
and ^cc++++=and
a ^at++++=a
dumb ^jj+atrb+++=dumb
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
very ^ql+amp+++=very
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
one ^pn++++=one
under ^in++++=under
the ^ati++++=the
spreading ^jj+atrb++xvbg+=spreading
sunlight ^nn++++=sunlight,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
where ^wrb+who+++=where
a ^at++++=a
small ^jj+atrb+++=small
tree ^nn++++=tree
cast ^vbd+++xvbn+=cast
its ^pp$+it+++=its
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Subha ^np+++??+=Subha
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
without ^in++++=without
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
stall ^nn++++=stall
were ^vbd+bed+vrb++=were
two ^cd++++=two
cows ^nns++++=cows,
, ^zz++++=EXTRAWORD
Sarbbashi ^np+++??+=Sarbbashi
and ^cc++++=and
Panguli ^np+++??+=Panguli.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+aux++=had
never ^rb++splt++=never
heard ^vprf++tht0+xvbnx+=heard
their ^pp$+pp3+++=their
names ^nns++++=names
from ^in++++=from
her ^pp$+pp3+++=her
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
knew ^vbd+vprv+tht0+xvbnx+=knew
her ^pp$+pp3+++=her
footfall ^nn++++=footfall.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
words ^nns++++=words,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
murmured ^vbd+++xvbnx+=murmured
lovingly ^rb++++=lovingly
and ^cc++++=and
they ^pp3a+pp3+++=they
understood ^vbd+vprv++xvbnx+=understood
her ^pp$+pp3+++=her
gentle ^jj++++=gentle
murmuring ^jj+++xvbg+=murmuring
better ^jjr++++=better
than ^in++++=than
all ^abn++++=all
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
fondled ^vbd+++xvbnx+=fondled
them ^pp3o+pp3+++=them
or ^cc++++=or
scolded ^vbd+++xvbn+=scolded
or ^cc+phrs+++=or
coaxed ^vbd+++xvbn+=coaxed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
understood ^vbd+vprv++xvbnx+=understood
her ^pp$+pp3+++=her
better ^jjr++++=better
than ^in++++=than
men ^nns++++=men
could ^md+pos+++=could
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Subha ^np+++??+=Subha
would ^md+prd+++=would
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
shed ^jj+++xvbn+=shed
and ^cc++++=and
throw ^vb++++=throw
her ^pp$+pp3+++=her
arms ^nns++++=arms
round ^in++++=round
Sarbbashi ^np++++=Sarbbashi's
's ^$++++=EXTRAWORD
neck ^nn++++=neck;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
rub ^vb++++=rub
her ^pp$+pp3+++=her
cheek ^nn++++=cheek
against ^in++++=against
her ^pp$+pp3+++=her
friend ^nn++++=friend's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
Panguli ^np+++??+=Panguli
would ^md+prd+++=would
turn ^vb++++=turn
her ^pp3o+pp3+++=her
great ^jj+atrb+++=great
kind ^nn++++=kind
eyes ^nns++++=eyes
and ^cc++++=and
lick ^vb++++=lick
her ^pp$+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
paid ^vbd+++xvbn+=paid
them ^pp3o+pp3+++=them
three ^cd++++=three
regular ^jj+atrb+++=regular
visits ^nns++++=visits
every ^at++++=every
day ^nn++++=day
and ^cc++++=and
others ^aps++++=others
that ^dt+pdem+++=that
were ^vbd+bed+vrb++=were
irregular ^nn++++=irregular.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
any ^dti++++=any
words ^nns++++=words
that ^tht+rel+subj++=that
hurt ^vbd+++xvbn+=hurt
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
come ^vb++++=come
to ^in++++=to
these ^dt+dem+++=these
dumb ^jj+atrb+++=dumb
friends ^nns++++=friends
out ^rp+pl+++=out
of ^in++++=of
due ^jj+atrb+++=due
time ^nn++++=time.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
guessed ^vbd+vprv+tht0+xvbnx+=guessed
her ^pp$+pp3+++=her
anguish ^nn++++=anguish
of ^in++++=of
spirit ^nn++++=spirit
from ^in++++=from
her ^pp$+pp3+++=her
quiet ^nn++++=quiet
look ^vb++++=look
of ^in++++=of
sadness ^nns+nom+++=sadness.
. ^zz++++=EXTRAWORD
Coming ^vbg+++xvbg+=Coming
close ^in+cmpx+++=close
to ^in"++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
rub ^vb++++=rub
their ^pp$+pp3+++=their
horns ^nns++++=horns
softly ^rb++++=softly
against ^in++++=against
her ^pp$+pp3+++=her
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
dumb ^jj+atrb+++=dumb,
, ^zz++++=EXTRAWORD
puzzled ^jj+atrb++xvbn+=puzzled
fashion ^nn++++=fashion
try ^vb++++=try
to ^to+vcmp+++=to
comfort ^vbi++++=comfort
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
these ^dt+dem+++=these
two ^cd++++=two,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
goats ^nns++++=goats
and ^cc++++=and
a ^at++++=a
kitten ^nn++++=kitten;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Subha ^np+++??+=Subha
had ^vb+hv+vrb++=had
not ^xnot++not++=not
the ^ati++++=the
same ^ap++++=same
equality ^nn+nom+++=equality
of ^in++++=of
friendship ^nn+nom+++=friendship
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
showed ^vbd+vprv++xvbnx+=showed
the ^ati++++=the
same ^ap++++=same
attachment ^nn+nom+++=attachment.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
time ^nn++++=time
it ^pp3+it+++=it
got ^vbd+++xvbn+=got
a ^at++++=a
