Even ^rb++++=Even
tilts ^nns+++??+=tilts
in ^in++++=in
space ^nn++++=space,
, ^zz++++=EXTRAWORD
a ^at++++=a
planetoid ^nn+++??+=planetoid
jumps ^nns++++=jumps
up ^rp++++=up,
, ^zz++++=EXTRAWORD
blackness ^nns+nom+++=blackness,
, ^zz++++=EXTRAWORD
movement ^nn+nom+++=movement,
, ^zz++++=EXTRAWORD
hands ^nns++++=hands
over ^in++++=over
the ^ati++++=the
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
a ^at++++=a
violent ^nn++++=violent
pulling ^vwbg+++xvbg+=pulling
back ^jjb++++=back
of ^in++++=of
available ^jj+atrb+++=available
power ^nn++++=power
in ^in++++=in
the ^ati++++=the
fore ^nn++++=fore-jets,
- ^zz++++=EXTRAWORD
jets ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
crash ^nn++++=crash
The ^ati++++=The
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
the ^ati++++=the
senseless ^jj+atrb+++=senseless
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nightmare ^nn++++=nightmare.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
unconscious ^jj++++=unconscious.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
name ^nn++++=name?
? ^zz++++=EXTRAWORD
asked ^jj+atrb++xvbn+=asked
hidden ^jj+atrb++xvbn+=hidden
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Sale ^nn++++=Sale,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied
in ^in++++=in
whirling ^xvbg+++xvbg+=whirling
nausea ^nn++++=nausea.
. ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard
Sale ^nn++++=Sale.
. ^zz++++=EXTRAWORD
Occupation ^nn+nom+++=Occupation,
, ^zz++++=EXTRAWORD
cried ^j+++xvbn+=cried
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Spaceman ^np+nom++??+=Spaceman!
! ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Welcome ^jj++++=Welcome,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Welcome ^jj++++=Welcome,
, ^zz++++=EXTRAWORD
welcome ^jj++++=welcome.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
faded ^vbd+++xvbnx+=faded.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
wreckage ^nn+nom+++=wreckage
of ^in++++=of
his ^pp$+pp3+++=his
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
lay ^vbd+++xvbn+=lay
like ^in++++=like
a ^at++++=a
folded ^jj+atrb++xvbn+=folded,
, ^zz++++=EXTRAWORD
tattered ^jj+atrb+++=tattered
garment ^nn+nom+++=garment
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
rose ^vbd+++xvbn+=rose
and ^cc++++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
Sale ^nn++++=Sale
pried ^vbd+++xvbn+=pried
himself ^ppl+pp3+++=himself
out ^rp+pl+++=out
the ^ati++++=the
small ^jj+atrb+++=small
airlock ^nn+++??+=airlock
and ^cc++++=and
stood ^vbd+++xvbn+=stood
breathing ^nvbg+++xvbg+=breathing
the ^ati++++=the
atmosphere ^nn++++=atmosphere.
. ^zz++++=EXTRAWORD
Luck ^nn++++=Luck.
. ^zz++++=EXTRAWORD
Sheer ^jjb+atrb+++=Sheer
luck ^nn++++=luck.
. ^zz++++=EXTRAWORD
The ^ati++++=The
air ^nn++++=air
was ^vbd+bedz+vrb++=was
breathable ^jj+pred+++=breathable.
. ^zz++++=EXTRAWORD
An ^at++++=An
instant ^nn+nom+++=instant's
's ^vbz+bez+aux++0=EXTRAWORD
checking ^xvbg+++xvbg+=checking
showed ^vbd+vprv++xvbn+=showed
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
two ^cd++++=two
months ^nns++++=months'
' ^zz++++=EXTRAWORD
supply ^nn++++=supply
of ^in++++=of
food ^nn++++=food
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Fine ^jj++++=Fine,
, ^zz++++=EXTRAWORD
fine ^jj++++=fine!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+dem+++=this
he ^pp3a+pp3+++=he
fingered ^vbd+++xvbnx+=fingered
at ^in++++=at
the ^ati++++=the
wreckage ^nn+nom+++=wreckage.
. ^zz++++=EXTRAWORD
Miracle ^nn++++=Miracle
of ^in++++=of
miracles ^nns++++=miracles!
! ^zz++++=EXTRAWORD
The ^ati++++=The
radio ^nn++++=radio
was ^vbd+bedz+vrb++=was
intact ^jj+pred+++=intact.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stuttered ^vbd+++xvbnx+=stuttered
out ^rp+pl+++=out
the ^ati++++=the
message ^nn+nom+++=message
on ^in++++=on
the ^ati++++=the
sending ^jj+++xvbg+=sending
key ^jjb++++=key.
. ^zz++++=EXTRAWORD
Crashed ^j+++xvbn+=CRASHED
On ^in++++=ON
Planetoid ^np+++??+=PLANETOID
787 ^cd++++=787.
. ^zz++++=EXTRAWORD
Sale ^nn++++=SALE.
. ^zz++++=EXTRAWORD
Send ^vb++++=SEND
Help ^nn++++=HELP.
. ^zz++++=EXTRAWORD
Sale ^nn++++=SALE.
. ^zz++++=EXTRAWORD
Send ^vb++++=SEND
Help ^nn++++=HELP.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reply ^nn++++=reply
came ^vbd+++xvbn+=came
instantly ^rb+tm+++=instantly:
: ^zz++++=EXTRAWORD
Hello ^rb+dspt+++=HELLO,
, ^zz++++=EXTRAWORD
Sale ^nn++++=SALE.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=THIS
Is ^vbz+bez+vrb++=IS
Addams ^np+++??+=ADDAMS
In ^in++++=IN
Marsport ^np+++??+=MARSPORT.
. ^zz++++=EXTRAWORD
Sending ^vbg+++xvbg+=SENDING
Rescue ^nn++++=RESCUE
Ship ^nn++++=SHIP
Logarithm ^np+++??+=LOGARITHM.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=WILL
Arrive ^vb++++=ARRIVE
Planetoid ^np+++??+=PLANETOID
787 ^cd++++=787
In ^in++++=IN
Six ^cd++++=SIX
Days ^nns++++=DAYS.
. ^zz++++=EXTRAWORD
Hang ^nn++++=HANG
On ^in+strn+++=ON.
. ^zz++++=EXTRAWORD
Sale ^nn++++=Sale
did ^vbd+dod+vrb++=did
a ^rb++++=a
little ^rb"++++=little
dance ^nn++++=dance.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
wis ^vbz+++??+=wis
simple ^jj++++=simple
as ^in++++=as
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
crashed ^vbd+++xvbn+=crashed.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
had ^vb+hv+vrb++=had
food ^nn++++=food.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
radioed ^jj+++xvbn+=radioed
for ^in++++=for
help ^nn++++=help.
. ^zz++++=EXTRAWORD
Help ^vb++++=Help
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
La ^&fw++++=La!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
clapped ^vbd+++xvbnx+=clapped
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
rose ^vbd+++xvbn+=rose
and ^cc++++=and
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
no ^at++++=no
sense ^nn++++=sense
of ^in++++=of
mortality ^nn+nom+++=mortality.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
days ^nns++++=days
would ^md+prd+++=would
be ^vb+be+vrb++=be
no ^at++++=no
time ^nn++++=time
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
eat ^vb++++=eat,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
read ^vb+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
sleep ^vb++++=sleep.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
his ^pp$+pp3+++=his
surroundings ^nns++++=surroundings.
. ^zz++++=EXTRAWORD
No ^at++++=No
dangerous ^jj+atrb+++=dangerous
animals ^nns+nom+++=animals;
; ^zz++++=EXTRAWORD
a ^at++++=a
tolerable ^jj+atrb+++=tolerable
oxygen ^nn++++=oxygen
supply ^nn++++=supply.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
more ^ql++++=more
could ^md+pos+++=could
one ^cd1++++=one
ask ^vb++++=ask.
. ^zz++++=EXTRAWORD
Beans ^nns++++=Beans
and ^cc++++=and
bacon ^nn++++=bacon,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
happy ^jj+atrb+++=happy
smell ^nn++++=smell
of ^in++++=of
breakfast ^nn++++=breakfast
filled ^vbd+++xvbn+=filled
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
breakfast ^nn++++=breakfast
he ^pp3a+pp3+++=he
smoked ^vbd+++xvbnx+=smoked
a ^at++++=a
cigarette ^nn+nom+++=cigarette
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
deeply ^rb+cnj+++=deeply,
, ^zz++++=EXTRAWORD
blowing ^vbg+++xvbg+=blowing
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
nodded ^vbd+++xvbnx+=nodded
contentedly ^rb++++=contentedly.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
life ^nn++++=life!
! ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
scratch ^nn++++=scratch
on ^rp++++=on
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Luck ^nn++++=Luck.
. ^zz++++=EXTRAWORD
Sheer ^jjb+atrb+++=Sheer
luck ^nn++++=luck.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
head ^nn++++=head
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
Sleep ^nn++++=Sleep,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty
winks ^nns+++??+=winks.
. ^zz++++=EXTRAWORD
Plenty ^nn++++=Plenty
of ^in++++=of
time ^nn++++=time
to ^to++++=to
sleep ^vbi++++=sleep,
, ^zz++++=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it
easy ^jj++++=easy.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
whole ^jj++++=whole
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
luxurious ^jj+atrb+++=luxurious
days ^nns++++=days
of ^in++++=of
idling ^nn++++=idling
and ^cc++++=and
philosophizing ^nvbg+++xvbg+=philosophizing.
. ^zz++++=EXTRAWORD
Sleep ^nn++++=Sleep.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stretched ^vbd+++xvbnx+=stretched
himself ^ppl+pp3+++=himself
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
tucked ^j+++xvbn+=tucked
his ^pp$+pp3+++=his
arm ^nn++++=arm
under ^in++++=under
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shut ^vb+++xvbn+=shut
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Sleep ^nn++++=Sleep,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
voices ^nns++++=voices
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
was ^vbd+bedz+vrb++=was
normal ^jj+pred+++=normal.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shrugged ^vbd+++xvbnx+=shrugged.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shut ^vbd+++xvbnx+=shut
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
casually ^rb+cnj+++=casually,
, ^zz++++=EXTRAWORD
fitfully ^jj++++=fitfully.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
settled ^vbd+++xvbnx+=settled
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Eeeeeeeeeeee ^np+nom++??+=Eeeeeeeeeeee,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
the ^ati++++=the
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Ahhhhhhh ^np+++??+=Ahhhhhhh,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Sleep ^nn++++=Sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Die ^vb++++=Die,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Ooooooooooooooo ^np+++??+=Ooooooooooooooo,
, ^zz++++=EXTRAWORD
cried ^j+++xvbn+=cried
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Mmmmmmmmmmmmmmm ^np+++??+=Mmmmmmmmmmmmmmm,
, ^zz++++=EXTRAWORD
a ^at++++=a
bee ^nn++++=bee
ran ^vbd+++xvbn+=ran
through ^rb+phrv+++=through
his ^pp$+pp3+++=his
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
up ^rp++++=up.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shook ^vbd+++xvbnx+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
hands ^nns++++=hands
to ^in++++=to
his ^pp$+pp3+++=his
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
blinked ^vbd+++xvbnx+=blinked
at ^in++++=at
the ^ati++++=the
crashed ^jj+atrb++xvbn+=crashed
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
Hard ^jj+atrb+++=Hard
metal ^nn++++=metal.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
solid ^jj+atrb+++=solid
rock ^npl++++=rock
under ^in++++=under
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
real ^jj+atrb+++=real
sun ^nn++++=sun
warming ^vwbg+++xvbg+=warming
the ^ati++++=the
blue ^jj+atrb+++=blue
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Let ^vb++++0=Let's
us ^pp1o+pp1+++=EXTRAWORD
try ^vb++++=try
sleeping ^nvbg+++xvbg+=sleeping
on ^in++++=on
our ^pp$+pp1+++=our
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
adjusted ^vbd+++xvbnx+=adjusted
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
lyingback ^nn+++??+=lyingback
down ^rp++++=down.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
watch ^nn++++=watch
ticked ^vbd+++xvbn+=ticked
on ^in++++=on
his ^pp$+pp3+++=his
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blood ^nn++++=blood
burned ^vbd+++xvbn+=burned
in ^in++++=in
bis ^nns+++??+=bis
veins ^nns++++=veins.
. ^zz++++=EXTRAWORD
Sleep ^nn++++=Sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Ohhhhhhhhhhhhhhhh ^np+++??+=Ohhhhhhhhhhhhhhhh,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Ahhhhhhhhhhhhhhhh ^np+++??+=Ahhhhhhhhhhhhhhhh,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
the ^ati++++=the
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Die ^vb++++=Die,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
die ^vb++++=die.
. ^zz++++=EXTRAWORD
Sleep ^nn++++=Sleep,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
die ^vb++++=die,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
die ^vb++++=die!
! ^zz++++=EXTRAWORD
Oohhh ^np+++??+=Oohhh.
. ^zz++++=EXTRAWORD
Ahhhhh ^np+++??+=Ahhhhh.
. ^zz++++=EXTRAWORD
Eeeeeeeeeeeeeeee ^np+nom++??+=Eeeeeeeeeeeeeeee!
! ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
tapped ^vwbn+++xvbn+=tapped
in ^in++++=in
his ^pp$+pp3+++=his
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
of ^in++++=of
the ^ati++++=the
wind ^nn++++=wind
rising ^vwbg+++xvbg+=rising.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine,
, ^zz++++=EXTRAWORD
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
a ^at++++=a
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine,
, ^zz++++=EXTRAWORD
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
mine ^pp$$++++=mine!
! ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
another ^dt++++=another
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
mine ^pp$$++++=mine;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
mine ^pp$$++++=mine!
! ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
ours ^pp$$++++=ours,
, ^zz++++=EXTRAWORD
ours ^pp$$++++=ours,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
ten ^cd++++=ten
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Ours ^pp$$++++=Ours,
, ^zz++++=EXTRAWORD
ours ^pp$$++++=ours,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
ours ^pp$$++++=ours!
! ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fingers ^nns+nom+++=fingers
twitched ^vbd+++xvbn+=twitched.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
jaws ^nns++++=jaws
spasmed ^vbd+++xvbn+=spasmed.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyelids ^nns++++=eyelids
jerked ^vbd+++xvbn+=jerked.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
a ^at++++=a
high ^jj+atrb+++=high
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now.
. ^zz++++=EXTRAWORD
The ^ati++++=The
long ^jj+atrb+++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
waiting ^nvbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
Over ^in+strn+++=Over,
, ^zz++++=EXTRAWORD
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
sang ^j+++xvbn+=sang
the ^ati++++=the
high ^jj+atrb+++=high
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Over ^in+strn+++=Over,
, ^zz++++=EXTRAWORD
over ^in++++=over
at ^rb++++=at
last ^rb"++++=last!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
like ^in++++=like
being ^xvbg+++xvbg+=being
undersea ^nn+++??+=undersea.
. ^zz++++=EXTRAWORD
Green ^nn++++=Green
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
green ^nn++++=green
visions ^nns++++=visions,
, ^zz++++=EXTRAWORD
green ^nn++++=green
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Bubbled ^jj+atrb++xvbn+=Bubbled
voices ^nns++++=voices
drowning ^vwbg+++xvbg+=drowning
in ^in++++=in
deep ^jj+atrb+++=deep
liquors ^nns++++=liquors
of ^in++++=of
sea ^nn++++=sea
tide ^vb++++=tide.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
away ^rp+pl+++=away
choruses ^nns+++??+=choruses
chanting ^vwbg+++xvbg+=chanting
senseless ^jj+atrb+++=senseless
rhymes ^nns++++=rhymes.
. ^zz++++=EXTRAWORD
Leonard ^np++++=Leonard
Sale ^nn++++=Sale
stirred ^vbd+++xvbn+=stirred
in ^in++++=in
agony ^nn++++=agony.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine,
, ^zz++++=EXTRAWORD
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
cried ^j+++xvbn+=cried
a ^at++++=a
loud ^jj+atrb+++=loud
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Mine ^nn++++=Mine,
