Out ^rp+pl+++=Out
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
sigh ^nn++++=sigh
into ^in++++=into
a ^at++++=a
gay ^jj++++=gay-chintzed
- ^zz++++=EXTRAWORD
chintzed ^jj+atrb++xvbn+=EXTRAWORD
wicker ^nn++++=wicker
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rosy ^jj+atrb+++=rosy
light ^nn++++=light
from ^in++++=from
a ^at++++=a
tall ^jj+atrb+++=tall
piano ^nn++++=piano
lamp ^nn++++=lamp
fell ^vbd+++xvbn+=fell
gently ^rb++++=gently
on ^rp++++=on
her ^pp3o+pp3+++=her
high ^jj++++=high-piled
- ^zz++++=EXTRAWORD
piled ^vbd+++xvbn+=EXTRAWORD
golden ^jj+atrb+++=golden
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
surprised ^vbd+++xvbn+=surprised
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ripe ^jj+atrb+++=ripe,
, ^zz++++=EXTRAWORD
generous ^jj+atrb+++=generous
outlines ^nns++++=outlines
of ^in++++=of
her ^pp$+pp3+++=her
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
To ^in++++=To
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
dream ^nn++++=dream
of ^in++++=of
loveliness ^nns+nom+++=loveliness,
, ^zz++++=EXTRAWORD
a ^at++++=a
poem ^nn++++=poem,
, ^zz++++=EXTRAWORD
an ^at++++=an
idyl ^nn+++??+=idyl.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
worlds ^nns++++=worlds,
, ^zz++++=EXTRAWORD
solar ^jj+atrb+++=solar
systems ^nns++++=systems
to ^in++++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
tell ^vb++++=tell
her ^pp$+pp3+++=her
so ^pn++++=so.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
find ^vb+vprv+++=find
the ^ati++++=the
words ^nns++++=words,
, ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
like ^in++++=like
many ^ap++++=many
another ^dt++++=another
sterling ^nn+nom+++=sterling
character ^nn+nom+++=character
in ^in++++=in
the ^ati++++=the
barbers ^nns+nom+++=barbers'
' ^zz++++=EXTRAWORD
supply ^nn++++=supply
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
eloquent ^jj++++=eloquent;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
speak ^vb++++=speak
with ^in++++=with
the ^ati++++=the
fluent ^jj+atrb+++=fluent
ease ^nn++++=ease,
, ^zz++++=EXTRAWORD
the ^ati++++=the
masterful ^jj+atrb+++=masterful
flow ^nn++++=flow
that ^tht+rel+subj++=that
comes ^vbz++++=comes,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
sees ^vbz+vprv+++=sees
it ^pp3+it+++=it
often ^rb++++=often
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
from ^in++++=from
twenty ^cd++++=twenty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
minutes ^nns++++=minutes
a ^at++++=a
day ^nn++++=day
of ^in++++=of
communion ^nn++++=communion
with ^in++++=with
the ^ati++++=the
great ^jj+atrb+++=great
minds ^nns++++=minds
of ^in++++=of
all ^abn++++=all
time ^nn++++=time.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
communings ^nns+++??+=communings
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
largely ^rb++++=largely
with ^in++++=with
boss ^nn++++=boss
barbers ^nns+nom+++=barbers;
; ^zz++++=EXTRAWORD
with ^in++++=with
them ^pp3o+pp3+++=them
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
cheery ^jj+pred+++=cheery
and ^cc+phrs+++=and
chatty ^jj++++=chatty.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gallup ^np++++=Gallup
and ^cc++++=and
her ^pp$+pp3+++=her
intellectual ^jj+atrb+++=intellectual
interests ^nns++++=interests
were ^vbd+bed+vrb++=were
a ^at++++=a
world ^nn++++=world
removed ^vwbn+++xvbn+=removed
from ^in++++=from
things ^nns++++=things
tonsorial ^jj++++=tonsorial;
; ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
tongue ^nn++++=tongue-tied
- ^zz++++=EXTRAWORD
tied ^vbd+++xvbn+=EXTRAWORD
as ^ql++++=as
an ^at++++=an
oyster ^nn++++=oyster.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle's
's ^$++++=EXTRAWORD
worshiping ^jj+atrb++xvbg+=worshiping
eye ^nn++++=eye
roved ^vbd+++xvbn+=roved
from ^in++++=from
the ^ati++++=the
lady ^nn++++=lady
to ^in++++=to
her ^pp3o+pp3+++=her
library ^npl+nom+++=library,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
good ^jj++++=good-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
face ^nn++++=face
showed ^vbd+vprv++xvbn+=showed
tiny ^jj+atrb+++=tiny
furrows ^nns+++??+=furrows
of ^in++++=of
despair ^nn++++=despair;
; ^zz++++=EXTRAWORD
an ^at++++=an
array ^nn++++=array
of ^in++++=of
fat ^nn++++=fat
crisp ^jj+atrb+++=crisp
books ^nns++++=books
in ^in++++=in
shiny ^jj+atrb+++=shiny
new ^jj+atrb+++=new
bindings ^nns++++=bindings
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
Minutes ^nns++++=Minutes'
' ^zz++++=EXTRAWORD
Daily ^jj+atrb+++=Daily
Communion ^nn++++=Communion
With ^in++++=With
the ^ati++++=the
Master ^nn++++=Master
Minds ^nns++++=Minds;
; ^zz++++=EXTRAWORD
Capsule ^np+++??+=Capsule
Chats ^np+++??+=Chats
on ^in++++=on
Poets ^nns++++=Poets,
, ^zz++++=EXTRAWORD
Philosophers ^nns+nom+++=Philosophers,
, ^zz++++=EXTRAWORD
Painters ^nns+nom+++=Painters,
, ^zz++++=EXTRAWORD
Novelists ^nns+nom+++=Novelists,
, ^zz++++=EXTRAWORD
Interior ^jj+atrb+++=Interior
Decorators ^np+++??+=Decorators;
; ^zz++++=EXTRAWORD
Culture ^nn++++=Culture
for ^in++++=for
the ^ati++++=the
Busy ^jj+atrb+++=Busy
Man ^nn++++=Man,
, ^zz++++=EXTRAWORD
six ^cd++++=six
volumes ^nns++++=volumes,
, ^zz++++=EXTRAWORD
half ^abn++++=half
calf ^nn++++=calf;
; ^zz++++=EXTRAWORD
How ^wrb+who+++=How
to ^to++++=to
Build ^vbi++++=Build
Up ^rp++++=Up
a ^at++++=a
Background ^nn++++=Background;
; ^zz++++=EXTRAWORD
Talk ^nn++++=Talk
Tips ^nns++++=Tips;
; ^zz++++=EXTRAWORD
You ^pp2+pp2+++=YOU,
, ^zz++++=EXTRAWORD
Too ^rb+cnj+++=Too,
, ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
Be ^vb+be+vrb++=Be
Interesting ^jj+pred+++=Interesting;
; ^zz++++=EXTRAWORD
Sixty ^cd++++=Sixty
Square ^jj+atrb+++=Square
Feet ^nns++++=Feet
of ^in++++=of
Self-culture ^np+++??+=Self-Culture--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
a ^at++++=a
score ^nn++++=score
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
" ^zz++++="Culture"--always
culture" ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
always ^rb++++=EXTRAWORD
that ^cs+sub+++=that
wretched ^jj+atrb+++=wretched
word ^nn++++=word!
! ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
fond ^jj++++=fond
of ^in++++=of
reading ^xvbg+++xvbg+=reading,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gallup ^np++++=Gallup,
, ^zz++++=EXTRAWORD
popping ^vbg+++xvbg+=popping
a ^at++++=a
Choc ^np+++??+=Choc-O-late
- ^zz++++=EXTRAWORD
o ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
late ^jj+atrb+++=EXTRAWORD
Nuttie ^np+++??+=Nuttie
into ^in++++=into
her ^pp$+pp3+++=her
demure ^jj+atrb+++=demure
mouth ^nn++++=mouth
with ^in++++=with
a ^at++++=a
daintiness ^nns+nom+++=daintiness
almost ^rb+hdg+++=almost
ethereal ^jj++++=ethereal.
. ^zz++++=EXTRAWORD
" ^zz++++="Love
love ^nn++++=EXTRAWORD
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered
promptly ^rb++++=promptly.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
your ^pp$+pp2+++=your
favorite ^jj+atrb+++=favorite
poet ^nn++++=poet?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="S-Shakspere,"
s ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
shakspere ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ventured ^vbd+++xvbnx+=ventured
desperately ^rb++++=desperately.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
breathed ^vbd+++xvbn+=breathed
easier ^jjr++++=easier.
. ^zz++++=EXTRAWORD
" ^zz++++="But,"
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
Longfellow ^np++++=Longfellow
is ^vbz+bez+vrb++=is
sweet ^jj+pred+++=sweet,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
sweet ^jj++++=sweet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
agreed ^vwbn+vpub++xvbn+=agreed
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
smiled ^vbd+++xvbnx+=smiled
at ^in++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
sad ^jj+atrb+++=sad,
, ^zz++++=EXTRAWORD
shy ^jj+atrb+++=shy
confidence ^nn+nom+++=confidence.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
nodded ^vbd+++xvbnx+=nodded
her ^pp$+pp3+++=her
blonde ^jj+atrb+++=blonde
head ^nn++++=head
toward ^in++++=toward
an ^at++++=an
enlarged ^jj+atrb++xvbn+=enlarged
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
late ^jj+atrb+++=late
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gallup ^np++++=Gallup,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
full ^jj+atrb+++=full
regalia ^nns++++=regalia
of ^in++++=of
Past ^jjb+atrb+++=Past
Grand ^jj+atrb+++=Grand
Master ^nn++++=Master
of ^in++++=of
the ^ati++++=the
Beneficent ^jj+atrb+++=Beneficent
Order ^nn++++=Order
of ^in++++=of
Beavers ^nns+nom++??+=Beavers.
. ^zz++++=EXTRAWORD
" ^zz++++="Didn't
did ^vbd+dod+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
care ^nn++++=care
for ^in+strn+++=for--er--literature?"
-- ^--+clp+++=EXTRAWORD
er ^&fw++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
literature ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
despised ^vbd+++xvbnx+=despised
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+aux++=was
wrapped ^vpsv++agls+xvbnx+=wrapped
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
hay ^nn++++=hay-and-feed
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
feed ^nn++++=EXTRAWORD
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
talk ^vbi++++=talk
about ^in++++=about
oats ^nns++++=oats
and ^cc++++=and
chicken ^nn++++=chicken
gravel ^nn++++=gravel
on ^in++++=on
our ^pp$+pp1+++=our
honeymoon ^nn++++=honeymoon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
made ^vbd+++xvbn+=made
a ^at++++=a
sympathetic ^jj+atrb+++=sympathetic
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
our ^pp$+pp1+++=our
six ^cd++++=six
years ^nns++++=years
of ^in++++=of
married ^jj+atrb++xvbn+=married
life ^nn++++=life,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
talked ^vbd+++xvbnx+=talked
of ^in++++=of
nothing ^pn++++=nothing
but ^cc++++=but
duck ^nn++++=duck
fodder ^nn++++=fodder,
, ^zz++++=EXTRAWORD
carload ^nn+++??+=carload
lots ^nns++++=lots,
, ^zz++++=EXTRAWORD
trade ^nn++++=trade
discounts ^nns++++=discounts,
, ^zz++++=EXTRAWORD
selling ^nvbg+++xvbg+=selling
points ^nns++++=points,
, ^zz++++=EXTRAWORD
bran ^jj++++=bran,
, ^zz++++=EXTRAWORD
turnover ^nn+nom+++=turnover----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
How ^wrb+who+++=How
futile ^jj++++=futile,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
inadequate ^jj++++=inadequate
seem ^vb+seem+++=seem
mere ^jjb+atrb+++=mere
words ^nns++++=words
in ^in++++=in
some ^dti++++=some
situations ^nns+nom+++=situations.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing;
; ^zz++++=EXTRAWORD
timidly ^jj++++=timidly
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
her ^pp$+pp3+++=her
hand ^nn++++=hand
in ^in++++=in
his ^pp$+pp3+++=his;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
draw ^vb++++=draw
it ^pp3+it+++=it
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
he ^pp3a+pp3+++=he
only ^rb+down+++=only
shaved ^vbd+++xvbn+=shaved
on ^in++++=on
Saturday ^nr++++=Saturday
nights ^nns++++=nights,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle's
's ^$++++=EXTRAWORD
free ^jj+atrb+++=free
hand ^nn++++=hand
went ^vbd+++xvbn+=went
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
face ^nn++++=face,
, ^zz++++=EXTRAWORD
smooth ^jj++++=smooth
as ^ql++++=as
steel ^nn++++=steel
and ^cc++++=and
art ^nn++++=art
could ^md+pos+++=could
make ^vb++++=make
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Blossom,"
blossom ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
huskily ^rb+cnj+++=huskily,
, ^zz++++=EXTRAWORD
" ^zz++++="have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
ever ^rb++++=ever
thought ^nn+++xvbn+=thought
of ^in++++=of
marrying ^xvbg+++xvbg+=marrying
again ^rb+tm+++=again?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
blushing ^vbg+++xvbg+=blushing--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
hand ^nn++++=hand
on ^in++++=on
hers ^pp$$++++=hers
tightened ^vbd+++xvbn+=tightened--"and
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=haven't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
finished ^vbd+++xvbnx+=finished.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Blossom ^vb++++=Blossom----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
once ^rb+tm+++=once
more ^rbr++++=more.
