Winifred ^np++++=Winifred
woman ^nn++++=woman
who ^whp+rel+subj++=who
took ^vbd+++xvbn+=took
care ^nn++++=care
of ^in++++=of
the ^ati++++=the
children ^nns++++=children
and ^cc++++=and
another ^dt++++=another
who ^whp+rel+subj++=who
cooked ^vbd+++xvbn+=cooked
and ^cc++++=and
did ^vbd+dod+vrb++=did
the ^ati++++=the
housework ^nn+++??+=housework.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
the ^ati++++=the
women ^nns++++=women
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
crooning ^jj+atrb+++=crooning
low ^jj+atrb+++=low
soft ^jj+atrb+++=soft
negro ^nn++++=negro
songs ^nns++++=songs.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
Hugh ^np++++=Hugh
stopped ^vbd+++xvbn+=stopped
at ^rb++++=at
the ^ati++++=the
house ^nn++++=house
door ^nn++++=door
and ^cc++++=and
listened ^vbd+++xvbn+=listened.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
see ^vb+vprv+++=see
through ^rb+phrv+++=through
the ^ati++++=the
glass ^nn++++=glass
in ^in++++=in
the ^ati++++=the
door ^nn++++=door
into ^in++++=into
the ^ati++++=the
room ^nn++++=room
where ^wrb+who+++=where
his ^pp$+pp3+++=his
family ^nn++++=family
was ^vbd+bedz+aux++=was
gathered ^vpsv++agls+xvbnx+=gathered.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
children ^nns++++=children
played ^vbd+++xvbn+=played
with ^in++++=with
blocks ^nns++++=blocks
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
sat ^vbd+++xvbn+=sat
sewing ^nn++++=sewing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
negress ^nns+nom+++=negress
sat ^vbd+++xvbn+=sat
in ^in++++=in
a ^at++++=a
rocking ^jj+atrb++xvbg+=rocking
chair ^nn++++=chair
with ^in++++=with
his ^pp$+pp3+++=his
youngest ^jjt+atrb+++=youngest
child ^nn++++=child,
, ^zz++++=EXTRAWORD
a ^at++++=a
baby ^nn++++=baby,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
The ^ati++++=The
whole ^jj+atrb+++=whole
room ^nn++++=room
seemed ^vbd+seem++xvbn+=seemed
under ^in++++=under
the ^ati++++=the
spell ^nn++++=spell
of ^in++++=of
the ^ati++++=the
crooning ^jj+atrb+++=crooning
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
fell ^vbd+++xvbn+=fell
under ^in++++=under
the ^ati++++=the
spell ^nn++++=spell.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
waited ^vbd+++xvbnx+=waited
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him
far ^rb+pl+++=far
away ^rp+pl+++=away
somewhere ^rb+cnj+++=somewhere,
, ^zz++++=EXTRAWORD
into ^in++++=into
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
edges ^nns++++=edges
of ^in++++=of
swamps ^nns++++=swamps.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
very ^ql+amp+++=very
definite ^jj++++=definite
about ^in++++=about
his ^pp$+pp3+++=his
thinking ^nvbg+++xvbg+=thinking.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
to ^to+ncmp+++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
be ^vbi++vrb++=be
definite ^jj++++=definite.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
inside ^jjb++++=inside
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mind ^nn++++=mind
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="here
here ^rn+pl+++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
house ^nn++++=house,
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
are ^vb+ber+vrb++=are
my ^pp$+pp1+++=my
children ^nns++++=children."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
his ^pp$+pp3+++=his
wife ^nn++++=wife
Winifred ^np++++=Winifred.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
a ^rb++++=a
little ^rb"++++=little
plump ^jj++++=plump
since ^in++++=since
their ^pp$+pp3+++=their
marriage ^nn+nom+++=marriage.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
mother ^nn++++=mother
in ^in++++=in
her ^pp$+pp3+++=her
coming ^vbg+++xvbg+=coming
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
three ^cd++++=three
children ^nns++++=children,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crooning ^jj+atrb+++=crooning
old ^jj+atrb+++=old
negro ^nn++++=negro
woman ^nn++++=woman
went ^vbd+++xvbn+=went
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
child ^nn++++=child
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
and ^cc++++=and
Winifred ^np++++=Winifred
held ^vbd+vprv++xvbn+=held
a ^at++++=a
fragmentary ^jj+atrb+++=fragmentary
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
been ^vprf+ben+vrb+xvbn+=been
well ^jj+pred+++=well
to ^to++++=to-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dear ^jj++++=dear?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
two ^cd++++=two
older ^jjr+atrb+++=older
children ^nns++++=children
were ^vbd+bed+vrb++=were
intent ^jj+pred+++=intent
on ^in++++=on
their ^pp$+pp3+++=their
play ^nn++++=play
his ^pp$+pp3+++=his
chain ^nn++++=chain
of ^in++++=of
thought ^nn+++xvbn+=thought
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
broken ^jj+++xvbn+=broken.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
never ^rb++++=never
broke ^vbd+++xvbn+=broke
it ^pp3+it+++=it
as ^in++++=as
the ^ati++++=the
children ^nns++++=children
did ^vbd+dod+vrb++=did
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
running ^nvbg+++xvbg+=running
to ^to++++=to
pull ^vbi++++=pull
and ^cc++++=and
tear ^nn++++=tear
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Throughout ^in++++=Throughout
the ^ati++++=the
early ^jj+atrb+++=early
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
the ^ati++++=the
children ^nns++++=children
went ^vbd+++xvbn+=went
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
shell ^nn++++=shell
of ^in++++=of
him ^pp3o+pp3+++=him
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
broken ^vbd+++xvbn+=broken
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
A ^at++++=A
brother ^nn++++=brother
college ^npl++++=college
professor ^npt++++=professor
and ^cc++++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife
came ^vbd+++xvbn+=came
in ^in++++=in
or ^cc++++=or
he ^pp3a+pp3+++=he
and ^cc++++=and
Winifred ^np++++=Winifred
went ^vbd+++xvbn+=went
to ^in++++=to
a ^at++++=a
neighbor ^nn++++=neighbor's
's ^$++++=EXTRAWORD
house ^nn++++=house.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
and ^cc++++=and
Winifred ^np++++=Winifred
were ^vbd+bed+vrb++=were
alone ^rb++++=alone
together ^nn+nom+++=together
in ^in++++=in
the ^ati++++=the
house ^npl++++=house
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
shutters ^nns+nom+++=shutters
are ^vb+ber+aux++=are
becoming ^vbg+++xvbgx+=becoming
loose ^jj++++=loose,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old
one ^cd1++++=one
and ^cc++++=and
had ^vb+hv+vrb++=had
green ^npl++++=green
shutters ^nns+nom+++=shutters.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
continually ^rb++splt++=continually
coming ^vbg+++xvbgx+=coming
loose ^jj++++=loose
and ^cc++++=and
at ^in++++=at
night ^nn++++=night
blew ^vbd+++xvbn+=blew
back ^jjb++++=back
and ^cc++++=and
forth ^np++++=forth
on ^in++++=on
their ^pp$+pp3+++=their
hinges ^vbz++++=hinges
making ^vbg+++xvbg+=making
a ^at++++=a
loud ^nn++++=loud
banging ^vwbg+++xvbg+=banging
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
made ^vbd+++xvbn+=made
some ^dti++++=some
remark ^nn++++=remark.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
see ^vb+vprv+++=see
a ^at++++=a
carpenter ^nn+nom+++=carpenter
about ^in++++=about
the ^ati++++=the
shutters ^nns+nom+++=shutters.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
his ^pp$+pp3+++=his
mind ^nn++++=mind
began ^vbd+++xvbn+=began
playing ^vbg+++xvbg+=playing
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
in ^in++++=in
another ^dt++++=another
sphere ^nn++++=sphere.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
a ^at++++=a
house ^nn++++=house
and ^cc++++=and
my ^pp$+pp1+++=my
shutters ^nns+nom+++=shutters
are ^vb+ber+vrb++=are
loose ^jj+pred+++=loose,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mind ^vb+++??+=mind
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
of ^in++++=of
himself ^ppl+pp3+++=himself
as ^in++++=as
a ^at++++=a
living ^jj+atrb++xvbg+=living
thing ^nn++++=thing
inside ^in+pl+++=inside
a ^at++++=a
shell ^nn++++=shell,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
break ^vbi++++=break
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
To ^to++++=To
avoid ^vbi++++=avoid
distracting ^jj+atrb+++=distracting
conversation ^nn+nom+++=conversation
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
a ^at++++=a
book ^nn++++=book
and ^cc++++=and
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
his ^pp$+pp3+++=his
wife ^nn++++=wife
had ^vb+hv+aux++=had
also ^rb++splt++=also
begun ^vprf+++xvbnx+=begun
to ^to++++=to
read ^vbi+vprv+tht0+xvbn+=read
he ^pp3a+pp3+++=he
watched ^vbd+++xvbnx+=watched
her ^pp$+pp3+++=her
closely ^rb+cnj+++=closely,
, ^zz++++=EXTRAWORD
intently ^rb++++=intently.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
nose ^nn++++=nose
was ^vbd+bedz+vrb++=was
so ^ql++++=so
and ^cc++++=and
so ^rb++++=so
and ^cc++++=and
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
so ^rb++++=so
and ^cc+phrs+++=and
so ^rb++++=so.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^rb++++=a
little ^rb"++++=little
habit ^nn++++=habit
with ^in++++=with
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
became ^vbd+++xvbnx+=became
lost ^vbd+++xvbn+=lost
in ^in++++=in
the ^ati++++=the
pages ^nns++++=pages
of ^in++++=of
a ^at++++=a
book ^nn++++=book
the ^ati++++=the
hand ^nn++++=hand
crept ^vbd+++xvbn+=crept
up ^in+cmpx+++=up
to ^in"++++=to
her ^pp$+pp3+++=her
cheek ^nn++++=cheek,
, ^zz++++=EXTRAWORD
touched ^j+++xvbn+=touched
it ^pp3+it+++=it
and ^cc++++=and
then ^rn+tm+++=then
was ^vbd+bedz+aux++=was
put ^vpsv++agls+xvbnx+=put
down ^rb+phrv+++=down
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
in ^in++++=in
very ^ql+amp+++=very
good ^jj+atrb+++=good
order ^nn++++=order.
. ^zz++++=EXTRAWORD
Since ^rb++++=Since
her ^pp$+pp3+++=her
marriage ^nn+nom+++=marriage
and ^cc++++=and
the ^ati++++=the
coming ^jj+++xvbg+=coming
of ^in++++=of
the ^ati++++=the
children ^nns++++=children
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
taken ^vbd+++xvbn+=taken
good ^jj+atrb+++=good
care ^nn++++=care
of ^in++++=of
her ^pp$+pp3+++=her
body ^nn++++=body.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
read ^vbd+vprv+tht0+xvbnx+=read
her ^pp$+pp3+++=her
body ^nn++++=body
slumped ^vbd+++xvbn+=slumped
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
became ^vbd+++xvbn+=became
bag ^nn++++=bag-like.
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
whose ^whp+rel+obj++=whose
race ^nn++++=race
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
run ^vpsv++agls+xvbnx+=run.
. ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh's
's ^$++++=EXTRAWORD
mind ^vb+++??+=mind
played ^vbd+++xvbn+=played
all ^abn++++=all
about ^in++++=about
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
really ^rb+emph+++=really
approach ^vb++++=approach
the ^ati++++=the
woman ^nn++++=woman
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
so ^rb++++=so
with ^in++++=with
his ^pp$+pp3+++=his
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Sometimes ^rb+cnj+++=Sometimes,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
living ^vbg+++xvbgx+=living
things ^nns++++=things
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
things ^nns++++=things
as ^in++++=as
alive ^jj++++=alive
as ^ql++++=as
his ^pp$+pp3+++=his
own ^ap++++=own
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
for ^in++++=for
long ^jj+atrb+++=long
periods ^nns++++=periods
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
go ^vbi++++=go
far ^rb+pl+++=far
away ^rp+pl+++=away
like ^in++++=like
the ^ati++++=the
crooning ^jj+atrb+++=crooning
voice ^nn++++=voice
of ^in++++=of
the ^ati++++=the
negress ^nns+nom+++=negress.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
odd ^jj+pred+++=odd
that ^tht+jcmp+++=that
the ^ati++++=the
negress ^nns+nom+++=negress
was ^vbd+bedz+vrb++=was
always ^rb++++=always
real ^jj+pred+++=real
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv+tht0+xvbnx+=felt
an ^at++++=an
understanding ^nn++++=understanding
existed ^vbd+++xvbn+=existed
between ^in++++=between
himself ^ppl+pp3+++=himself
and ^cc++++=and
the ^ati++++=the
negress ^nns+nom+++=negress.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
outside ^jjb+pred+++=outside
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
look ^vb++++=look
at ^rb++++=at
her ^pp$+pp3+++=her
as ^in++++=as
at ^rb++++=at
a ^at++++=a
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
