San ^np++++=San
one ^cd1++++=one
dead ^jj+atrb+++=dead
patrolman ^nn+nom+++=patrolman
has ^vbz+hvz+aux++=has
marked ^vprf+++xvbnx+=marked
defeat ^nn++++=defeat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
often ^rb++++=often
dead ^jj+atrb+++=dead
fishermen ^nns++++=fishermen
across ^in+pl+++=across
their ^pp$+pp3+++=their
illegal ^jj+atrb+++=illegal
nets ^nns++++=nets
have ^vb+hv+aux++=have
marked ^vprf+++xvbnx+=marked
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
Wildest ^jjt++++=Wildest
among ^in++++=among
the ^ati++++=the
fisher ^np++++=fisher-folk
- ^zz++++=EXTRAWORD
folk ^jjb++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
accounted ^vpsv++agls+xvbnx+=accounted
the ^ati++++=the
Chinese ^jj+atrb+++=Chinese
shrimpcatchers ^nns+nom+++=shrimpcatchers.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
the ^ati++++=the
shrimp ^nn+++??+=shrimp
to ^to++++=to
crawl ^vbi++++=crawl
along ^in++++=along
the ^ati++++=the
bottom ^nn++++=bottom
in ^in++++=in
vast ^jj+atrb+++=vast
armies ^nns++++=armies
till ^in++++=till
it ^pp3+it+++=it
reaches ^vbz++++=reaches
fresh ^jj+atrb+++=fresh
water ^nn++++=water,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
turns ^vbz++++=turns
about ^in++++=about
and ^cc++++=and
crawls ^vbz++++=crawls
back ^jjb++++=back
again ^rb+tm+++=again
to ^in++++=to
the ^ati++++=the
salt ^nn++++=salt.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
where ^wrb+who+++=where
the ^ati++++=the
tide ^vb++++=tide
ebbs ^nns+++??+=ebbs
and ^cc++++=and
flows ^nns++++=flows,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Chinese ^nn++++=Chinese
sink ^vb++++=sink
great ^jj+atrb+++=great
bag ^nn++++=bag-nets
- ^zz++++=EXTRAWORD
nets ^nns++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
with ^in++++=with
gaping ^jj+atrb+++=gaping
mouths ^nns++++=mouths,
, ^zz++++=EXTRAWORD
into ^in++++=into
which ^whp+rel+pied++=which
the ^ati++++=the
shrimp ^nn+++??+=shrimp
crawls ^vbz++++=crawls
and ^cc++++=and
from ^in++++=from
which ^whp+rel+pied++=which
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
transferred ^vpsv++agls+xvbnx+=transferred
to ^in++++=to
the ^ati++++=the
boiling ^jj+++xvbg+=boiling-pot.
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
in ^in++++=in
itself ^ppl++++=itself
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
bad ^jj+pred+++=bad,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
it ^pp3+it+++=it
not ^xnot++not++=not
for ^in++++=for
the ^ati++++=the
small ^jj+atrb+++=small
mesh ^nn++++=mesh
of ^in++++=of
the ^ati++++=the
nets ^nns++++=nets,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
small ^jj++++=small
that ^cs+sub+++=that
the ^ati++++=the
tiniest ^jjt+atrb+++=tiniest
fishes ^nns++++=fishes,
, ^zz++++=EXTRAWORD
little ^rb++++=little
new ^jj++++=new-hatched
- ^zz++++=EXTRAWORD
hatched ^jj+atrb++xvbn+=EXTRAWORD
things ^nns++++=things
not ^xnot++not++=not
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
an ^at++++=an
inch ^nn++++=inch
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
cannot ^md+pos+not++=cannot
pass ^vb++++=pass
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beautiful ^jj+atrb+++=beautiful
beaches ^nns++++=beaches
of ^in++++=of
Points ^nns++++=Points
Pedro ^np++++=Pedro
and ^cc++++=and
Pablo ^np+++??+=Pablo,
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
are ^vb+ber+aux++=are
the ^ati++++=the
shrimp ^nn+++??+=shrimp-catchers'
- ^zz++++=EXTRAWORD
catchers ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
villages ^nns+nom+++=villages,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
made ^vpsv++agls+xvbnx+=made
fearful ^jj++++=fearful
by ^in++++=by
the ^ati++++=the
stench ^nn++++=stench
from ^in++++=from
myriads ^nns++++=myriads
of ^in++++=of
decaying ^jj+atrb+++=decaying
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
against ^in++++=against
this ^dt+dem+++=this
wasteful ^jj+atrb+++=wasteful
destruction ^nn+nom+++=destruction
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
ever ^rb++splt++=ever
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
duty ^nn++++=duty
of ^in++++=of
the ^ati++++=the
fish ^nns++++=fish
patrol ^nn++++=patrol
to ^in++++=to
act ^nn++++=act.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
youngster ^nn+nom+++=youngster
of ^in++++=of
sixteen ^cd++++=sixteen,
, ^zz++++=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
sloop ^nn+++??+=sloop-sailor
- ^zz++++=EXTRAWORD
sailor ^nn++++=EXTRAWORD
and ^cc++++=and
allround ^nn+++??+=allround
bay ^npl++++=bay-waterman,
- ^zz++++=EXTRAWORD
waterman ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
sloop ^nn+++??+=sloop,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
chartered ^vprf+++xvbn+=chartered
by ^in++++=by
the ^ati++++=the
Fish ^nn++++=Fish
Commission ^nn++++=Commission,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
for ^in++++=for
the ^ati++++=the
time ^nn++++=time
being ^vwbg+beg++xvbg+=being
a ^at++++=a
deputy ^nn++++=deputy
patrolman ^nn+nom+++=patrolman.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
deal ^nn++++=deal
of ^in++++=of
work ^nn++++=work
among ^in++++=among
the ^ati++++=the
Greek ^jj+atrb+++=Greek
fishermen ^nns++++=fishermen
of ^in++++=of
the ^ati++++=the
Upper ^jjb++++=Upper
Bay ^npl++++=Bay
and ^cc++++=and
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
knives ^nns++++=knives
flashed ^vbd+++xvbn+=flashed
at ^in++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
trouble ^nn++++=trouble
and ^cc++++=and
men ^nns++++=men
permitted ^vbd+++xvbn+=permitted
themselves ^ppls+pp3+++=themselves
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
prisoners ^nns+nom+++=prisoners
only ^rb+down+++=only
after ^cs+sub+++=after
a ^at++++=a
revolver ^nn+nom+++=revolver
was ^vbd+bedz+aux++=was
thrust ^vpsv++agls+xvbnx+=thrust
in ^in++++=in
their ^pp$+pp3+++=their
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
hailed ^vbd+++xvbn+=hailed
with ^in++++=with
delight ^nn++++=delight
an ^at++++=an
expedition ^nn+nom+++=expedition
to ^in++++=to
the ^ati++++=the
Lower ^jjr++++=Lower
Bay ^npl++++=Bay
against ^in++++=against
the ^ati++++=the
Chinese ^jj+atrb+++=Chinese
shrimp ^nn+++??+=shrimp-catchers.
- ^zz++++=EXTRAWORD
catchers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
six ^cd++++=six
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
in ^in++++=in
two ^cd++++=two
boats ^nns++++=boats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
avoid ^vbi++++=avoid
suspicion ^nn++++=suspicion
we ^pp1a+pp1+++=we
ran ^vbd+++xvbn+=ran
down ^rb+phrv+++=down
after ^cs+sub+++=after
dark ^jj+atrb+++=dark
and ^cc+phrs+++=and
dropped ^jj+atrb++xvbn+=dropped
anchor ^nn++++=anchor
under ^in++++=under
a ^at++++=a
projecting ^jj+atrb++xvbg+=projecting
bluff ^nn++++=bluff
of ^in++++=of
land ^nn++++=land
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
Point ^vb++++=Point
Pinole ^np+++??+=Pinole.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
east ^np+pl+++=east
paled ^vbd+++xvbn+=paled
with ^in++++=with
the ^ati++++=the
first ^rb++++=first
light ^jj++++=light
of ^in++++=of
dawn ^nn++++=dawn
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
under ^in++++=under
way ^nn++++=way
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hauled ^vbd+++xvbn+=hauled
close ^jj++++=close
on ^in++++=on
the ^ati++++=the
land ^nn++++=land
breeze ^nn++++=breeze
as ^ql++++=as
we ^pp1a+pp1+++=we
slanted ^jj++++=slanted
across ^in+pl+++=across
the ^ati++++=the
bay ^nn++++=bay
toward ^in++++=toward
Point ^nn++++=Point
Pedro ^np++++=Pedro.
. ^zz++++=EXTRAWORD
The ^ati++++=The
morning ^nn++++=morning
mists ^nns++++=mists
curled ^vbd+++xvbn+=curled
and ^cc+phrs+++=and
clung ^vbd+++xvbn+=clung
to ^in++++=to
the ^ati++++=the
water ^nn++++=water
so ^ql++++=so
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
busied ^vbd+++xvbn+=busied
ourselves ^ppls+pp1+++=ourselves
driving ^vbg+++xvbg+=driving
the ^ati++++=the
chill ^nn++++=chill
from ^in++++=from
our ^pp$+pp1+++=our
bodies ^nns++++=bodies
with ^in++++=with
hot ^jj+atrb+++=hot
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
we ^pp1a+pp1+++=we
had ^md"++pmd"++=had
to ^md+nec+++=to
devote ^vb++++=devote
ourselves ^ppls+pp1+++=ourselves
to ^in++++=to
the ^ati++++=the
miserable ^jj+atrb+++=miserable
task ^nn++++=task
of ^in++++=of
bailing ^xvbg+++xvbg+=bailing,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
some ^dti++++=some
incomprehensible ^jj+atrb+++=incomprehensible
way ^nn++++=way
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
had ^vbd+hvd+aux++=had
sprung ^vprf+++xvbnx+=sprung
a ^at++++=a
generous ^jj+atrb+++=generous
leak ^nn++++=leak.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half
the ^ati++++=the
night ^nn++++=night
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
spent ^vpsv++agls+xvbnx+=spent
in ^in++++=in
overhauling ^nn+nom+++=overhauling
the ^ati++++=the
ballast ^nn++++=ballast
and ^cc++++=and
exploring ^vbg+++xvbg+=exploring
the ^ati++++=the
seams ^nns++++=seams,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
labor ^nn++++=labor
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
without ^in++++=without
avail ^nn++++=avail.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
still ^rb++++=still
poured ^vbd+++xvbn+=poured
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perforce ^rb++++=perforce
we ^pp1a+pp1+++=we
doubled ^vbd+++xvbn+=doubled
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
cockpit ^nn++++=cockpit
and ^cc++++=and
tossed ^vbd+++xvbn+=tossed
it ^pp3+it+++=it
out ^rp+pl+++=out
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
After ^in++++=After
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
three ^cd++++=three
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
withdrew ^vbd+++xvbn+=withdrew
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
a ^at++++=a
Columbia ^np++++=Columbia
River ^nn++++=River
salmon ^nn++++=salmon
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
three ^cd++++=three
of ^in++++=of
us ^pp1o+pp1+++=us
in ^in++++=in
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
two ^cd++++=two
craft ^nn++++=craft
proceeded ^vbd+++xvbn+=proceeded
in ^in++++=in
company ^nn++++=company
till ^in++++=till
the ^ati++++=the
sun ^nn++++=sun
showed ^vbd+vprv++xvbn+=showed
over ^in++++=over
the ^ati++++=the
eastern ^jj+atrb+++=eastern
sky ^nn++++=sky-line.
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
fiery ^jj+atrb+++=fiery
rays ^nns++++=rays
dispelled ^vwbn+++xvbn+=dispelled
the ^ati++++=the
clinging ^jj+atrb++xvbg+=clinging
vapors ^nns++++=vapors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
before ^in++++=before
our ^pp$+pp1+++=our
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
picture ^nn++++=picture,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
the ^ati++++=the
shrimp ^nn+++??+=shrimp
fleet ^nn++++=fleet,
, ^zz++++=EXTRAWORD
spread ^j+++xvbn+=spread
out ^rp+pl+++=out
in ^in++++=in
a ^at++++=a
great ^jj++++=great
half ^abn++++=half-moon,
- ^zz++++=EXTRAWORD
moon ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
tips ^nns++++=tips
of ^in++++=of
the ^ati++++=the
crescent ^npl++++=crescent
fully ^rb+amp+++=fully
three ^cd++++=three
miles ^nns++++=miles
apart ^in+strn+++=apart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
junk ^nn++++=junk
moored ^vwbn+++xvbn+=moored
fast ^rb++++=fast
to ^in++++=to
the ^ati++++=the
buoy ^nn++++=buoy
of ^in++++=of
a ^at++++=a
shrimp ^nn+++??+=shrimp-net.
- ^zz++++=EXTRAWORD
net ^jjb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
stir ^nn++++=stir,
, ^zz++++=EXTRAWORD
no ^at++++=no
sign ^nn++++=sign
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
The ^ati++++=The
situation ^nn+nom+++=situation
dawned ^vbd+++xvbn+=dawned
upon ^in++++=upon
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
slack ^jj+atrb+++=slack
water ^nn++++=water,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
to ^to++++=to
lift ^vbi++++=lift
their ^pp$+pp3+++=their
heavy ^jj+atrb+++=heavy
nets ^nns++++=nets
from ^in++++=from
the ^ati++++=the
bed ^nn++++=bed
of ^in++++=of
the ^ati++++=the
bay ^nn++++=bay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Chinese ^jj++++=Chinese
had ^vb+hv+aux++=had
all ^abn++++=all
gone ^vprf+++xvbn+=gone
to ^to++++=to
sleep ^vbi++++=sleep
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
elated ^jj+pred+++=elated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
plan ^nn++++=plan
of ^in++++=of
battle ^nn++++=battle
was ^vbd+bedz+aux++=was
swiftly ^rb++splt++=swiftly
formed ^vpsv++agls+xvbnx+=formed.
. ^zz++++=EXTRAWORD
" ^zz++++="Throw
throw ^vb++++=EXTRAWORD
each ^dt++++=each
of ^in++++=of
your ^pp$+pp2+++=your
two ^cd++++=two
men ^nns++++=men
on ^in+cmpx+++=on
to ^in"++++=to
a ^at++++=a
junk ^nn++++=junk,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
Le ^&fw++++=Le
Grant ^vb+vsua+++=Grant
to ^in++++=to
me ^pp1o+pp1+++=me
from ^in++++=from
the ^ati++++=the
salmon ^nn++++=salmon
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
make ^vb++++=make
fast ^nn++++=fast
to ^in++++=to
a ^at++++=a
third ^od++++=third
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
reason ^nn++++=reason
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
why ^wrb+who+++=why
we ^pp1a+pp1+++=we
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
capture ^vb++++=capture
six ^cd++++=six
junks ^vbz++++=junks
at ^in++++=at
the ^ati++++=the
least ^rbt++++=least."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
separated ^vbd+++xvbn+=separated.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
the ^ati++++=the
Reindeer ^np+nom++??+=Reindeer
about ^in++++=about
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
tack ^nn++++=tack,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
up ^rp++++=up
under ^in++++=under
the ^ati++++=the
lee ^nn++++=lee
of ^in++++=of
a ^at++++=a
junk ^nn++++=junk,
, ^zz++++=EXTRAWORD
shivered ^j+++xvbn+=shivered
the ^ati++++=the
mainsail ^nn+++??+=mainsail
into ^in++++=into
the ^ati++++=the
wind ^nn++++=wind
and ^cc++++=and
lost ^jj+atrb++xvbn+=lost
headway ^nn++++=headway,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
forged ^vbd+++xvbn+=forged
past ^jjb++++=past
the ^ati++++=the
stern ^nn++++=stern
of ^in++++=of
the ^ati++++=the
junk ^nn++++=junk
so ^rb++++=so
slowly ^rb++++=slowly
and ^cc++++=and
so ^pn++++=so
near ^rb++++=near
that ^dt+dem+++=that
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
patrolmen ^nns++++=patrolmen
stepped ^vbd+++xvbn+=stepped
lightly ^rb++++=lightly
aboard ^in+strn+++=aboard.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
off ^rb+cnj+++=off,
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
the ^ati++++=the
mainsail ^nn+++??+=mainsail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bore ^vbd+++xvbn+=bore
away ^rp+pl+++=away
for ^in++++=for
a ^at++++=a
second ^od++++=second
junk ^nn++++=junk.
. ^zz++++=EXTRAWORD
Up ^in+cmpx+++=Up
to ^in"++++=to
this ^dt+dem+++=this
time ^nn++++=time
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
noise ^nn++++=noise,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
from ^in++++=from
the ^ati++++=the
first ^od++++=first
junk ^nn++++=junk
captured ^vwbn+++xvbn+=captured
by ^in++++=by
the ^ati++++=the
salmon ^nn++++=salmon
boat ^nn++++=boat
an ^at++++=an
uproar ^nn++++=uproar
now ^rn+tm+++=now
broke ^vbd+++xvbn+=broke
forth ^rp++++=forth.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
shrill ^jj+atrb+++=shrill
Oriental ^jj+atrb+++=Oriental
yelling ^nvbg+++xvbg+=yelling,
, ^zz++++=EXTRAWORD
a ^at++++=a
pistol ^nn++++=pistol
shot ^vbd+++xvbn+=shot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^ql++++=more
yelling ^nvbg+++xvbg+=yelling.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all
up ^rp++++=up.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
warning ^nn++++=warning
the ^ati++++=the
others ^aps++++=others,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
George ^np++++=George,
, ^zz++++=EXTRAWORD
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
patrolman ^jj++++=patrolman,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
beside ^in+pl+++=beside
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
cockpit ^nn++++=cockpit.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
time ^nn++++=time
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
thick ^nn++++=thick
of ^in++++=of
the ^ati++++=the
fleet ^nn++++=fleet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
alarm ^nn++++=alarm
was ^vbd+bedz+aux++=was
spreading ^vbg+++xvbgx+=spreading
with ^in++++=with
incredible ^jj+atrb+++=incredible
swiftness ^nns+nom+++=swiftness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
decks ^nns++++=decks
were ^vbd+bed+aux++=were
beginning ^vbg+++xvbgx+=beginning
to ^in++++=to
swarm ^nn++++=swarm
with ^in++++=with
half ^abn++++=half-awakened
- ^zz++++=EXTRAWORD
awakened ^vprf+++xvbn+=EXTRAWORD
and ^cc++++=and
half ^abn++++=half-naked
- ^zz++++=EXTRAWORD
naked ^jj+atrb+++=EXTRAWORD
Chinese ^nn+nom+++=Chinese.
. ^zz++++=EXTRAWORD
Cries ^nns++++=Cries
and ^cc++++=and
yells ^nns+++??+=yells
of ^in++++=of
warning ^nn++++=warning
and ^cc++++=and
anger ^nn++++=anger
were ^vbd+bed+aux++=were
flying ^vbg+++xvbgx+=flying
over ^in++++=over
the ^ati++++=the
quiet ^jj+atrb+++=quiet
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
somewhere ^rb++++=somewhere
a ^at++++=a
conch ^nn+++??+=conch
shell ^nn++++=shell
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
blown ^vprf+++xvbn+=blown
with ^in++++=with
great ^jj+atrb+++=great
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
right ^nn++++=right
of ^in++++=of
us ^pp1o+pp1+++=us
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
captain ^nn++++=captain
of ^in++++=of
a ^at++++=a
junk ^nn++++=junk
chop ^vb++++=chop
away ^rp+pl+++=away
his ^pp$+pp3+++=his
mooring ^nn++++=mooring
line ^nn++++=line
with ^in++++=with
an ^at++++=an
axe ^nn++++=axe
and ^cc++++=and
spring ^nn++++=spring
