Go ^vb++++=Go,
advantage ^nn+nom+++=EXTRAWORD
of ^in++++=of
Pinecoffin ^np+++??+=Pinecoffin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
peculiar ^jj+atrb+++=peculiar
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
notions ^nns+nom+++=notions
of ^in++++=of
humor ^nn++++=humor
were ^vbd+bed+vrb++=were
cruel ^jj+pred+++=cruel.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
taught ^vbd+vsua++xvbnx+=taught
me ^pp1o+pp1+++=me
a ^at++++=a
new ^jj+atrb+++=new
and ^cc+phrs+++=and
fascinating ^jj+atrb+++=fascinating
form ^nn++++=form
of ^in++++=of
shikar ^nn+++??+=shikar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hounded ^vbd+++xvbnx+=hounded
Pinecoffin ^np+++??+=Pinecoffin
from ^in++++=from
Mithankot ^np+++??+=Mithankot
to ^in++++=to
Jagadri ^np+++??+=Jagadri,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
Gurgaon ^np+++??+=Gurgaon
to ^in++++=to
Abbottabad ^np+++??+=Abbottabad
up ^rp++++=up
and ^cc++++=and
across ^in+pl+++=across
the ^ati++++=the
Punjab ^np+++??+=Punjab,
, ^zz++++=EXTRAWORD
a ^at++++=a
large ^jj+atrb+++=large
province ^nn++++=province
and ^cc++++=and
in ^in++++=in
places ^nns++++=places
remarkably ^rb++++=remarkably
dry ^jj++++=dry.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
intention ^nn+nom+++=intention
of ^in++++=of
allowing ^xvbg+++xvbg+=allowing
Assistant ^nn+nom+++=Assistant
Commissioners ^nns+nom+++=Commissioners
to ^to++++=to
" ^zz++++="sell
sell ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him
pups ^nns++++=pups,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
ramping ^xvbg+++xvbg+=ramping,
, ^zz++++=EXTRAWORD
screaming ^jj+atrb++xvbg+=screaming
countrybreds ^nns+++??+=countrybreds,
, ^zz++++=EXTRAWORD
without ^in++++=without
making ^xvbg+++xvbg+=making
their ^pp$+pp3+++=their
lives ^nns++++=lives
a ^at++++=a
burden ^nn++++=burden
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
Assistant ^nn+nom+++=Assistant
Commissioners ^nns+nom+++=Commissioners
develop ^vb++++=develop
a ^at++++=a
bent ^nn+++xvbn+=bent
for ^in++++=for
some ^dti++++=some
special ^jj+atrb+++=special
work ^nn++++=work
after ^in++++=after
their ^pp$+pp3+++=their
first ^rb++++=first
hot ^jj+atrb+++=hot
weather ^nn++++=weather
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boys ^nns++++=boys
with ^in++++=with
digestions ^nns+nom+++=digestions
hope ^vb++++=hope
to ^to+vcmp+++=to
write ^vbi++++=write
their ^pp$+pp3+++=their
names ^nns++++=names
large ^jj++++=large
on ^in++++=on
the ^ati++++=the
Frontier ^nn+nom+++=Frontier
and ^cc++++=and
struggle ^nn++++=struggle
for ^in++++=for
dreary ^jj+atrb+++=dreary
places ^nns++++=places
like ^in++++=like
Bannu ^np+++??+=Bannu
and ^cc++++=and
Kohat ^np+++??+=Kohat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bilious ^jj+atrb+++=bilious
ones ^cd1s++++=ones
climb ^nn++++=climb
into ^in++++=into
the ^ati++++=the
Secretariat ^nn++++=Secretariat.
. ^zz++++=EXTRAWORD
Which ^wdt+who+whq++=Which
is ^vbz+bez+aux++=is
very ^ql+amp+++=very
bad ^jj++++=bad
for ^in++++=for
the ^ati++++=the
liver ^nn++++=liver.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
are ^vb+ber+aux++=are
bitten ^vpsv++agls+xvbnx+=bitten
with ^in++++=with
a ^at++++=a
mania ^nn++++=mania
for ^in++++=for
District ^nn++++=District
work ^nn++++=work,
, ^zz++++=EXTRAWORD
Ghuznivide ^np+++??+=Ghuznivide
coins ^nns++++=coins
or ^cc++++=or
Persian ^jj+atrb+++=Persian
poetry ^nn++++=poetry;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
some ^dti++++=some,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
come ^vb++++=come
of ^in++++=of
farmers ^nns+nom+++=farmers'
' ^zz++++=EXTRAWORD
stock ^nn++++=stock,
, ^zz++++=EXTRAWORD
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
the ^ati++++=the
Earth ^nn++++=Earth
after ^cs+sub+++=after
the ^ati++++=the
Rains ^nns++++=Rains
gets ^vbz++++=gets
into ^in+ppvb+++=into
their ^pp$+pp3+++=their
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
calls ^nns++++=calls
them ^pp3o+pp3+++=them
to ^to++++=to
" ^zz++++="develop
develop ^vb++++=EXTRAWORD
the ^ati++++=the
resources ^nns++++=resources
of ^in++++=of
the ^ati++++=the
Province ^nn++++=Province."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
These ^dt+dem+++=These
men ^nns++++=men
are ^vb+ber+vrb++=are
enthusiasts ^nns++++=enthusiasts.
. ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
their ^pp$+pp3+++=their
class ^nn++++=class.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
facts ^nns++++=facts
bearing ^vwbg+++xvbg+=bearing
on ^in++++=on
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
bullocks ^nns+++??+=bullocks
and ^cc++++=and
temporary ^jj+atrb+++=temporary
wells ^np++++=wells,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
opium ^nn++++=opium-scrapers,
- ^zz++++=EXTRAWORD
scrapers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
happens ^vbz+vsua+++=happens
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
burn ^vb++++=burn
too ^ql++++=too
much ^ap++++=much
rubbish ^nn++++=rubbish
on ^in++++=on
a ^at++++=a
field ^nn++++=field,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
hope ^nn++++=hope
of ^in++++=of
enriching ^nn++++=enriching
used ^vwbn+++xvbn+=used-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
soil ^nn++++=soil.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
Pinecoffins ^np+++??+=Pinecoffins
come ^vb++++=come
of ^in++++=of
a ^at++++=a
landholding ^jj+atrb++xvbg+=landholding
breed ^nn++++=breed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
the ^ati++++=the
land ^nn++++=land
only ^rb+down+++=only
took ^vbd+++xvbn+=took
back ^rb+phrv+++=back
her ^pp$+pp3+++=her
own ^ap++++=own
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Unfortunately ^rb++++=Unfortunately--most
-- ^--+clp+++=EXTRAWORD
most ^ql+emph+++=EXTRAWORD
unfortunately ^rb++++=unfortunately
for ^in++++=for
Pinecoffin ^np+++??+=Pinecoffin--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
Civilian ^nn++++=Civilian,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
a ^at++++=a
farmer ^nn++++=farmer.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^vpsv++agls+xvbn+=thought
about ^in++++=about
the ^ati++++=the
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
said: ^nn+++??+=said:--"See
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
see ^vb+vprv+++=EXTRAWORD
me ^pp1o+pp1+++=me
chase ^nn++++=chase
that ^tht+rel+++=that
boy ^nn++++=boy
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
drops ^nns++++=drops!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said: ^nn+++??+=said:--"You
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
your ^pp$+pp2+++=your
knife ^nn++++=knife
into ^in++++=into
an ^at++++=an
Assistant ^nn+nom+++=Assistant
Commissioner ^nn+nom+++=Commissioner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
the ^ati++++=the
administration ^nn+nom+++=administration
of ^in++++=of
the ^ati++++=the
Province ^nn++++=Province.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
Government ^nn+nom+++=Government
is ^vbz+bez+vrb++=is
rather ^rb++++=rather
peculiar ^jj+pred+++=peculiar.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gushes ^nns+++??+=gushes
on ^in++++=on
the ^ati++++=the
agricultural ^jj+atrb+++=agricultural
and ^cc+phrs+++=and
general ^jj+atrb+++=general
information ^nn+nom+++=information
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
will ^md+prd+++=will
supply ^vb++++=supply
a ^at++++=a
moderately ^rb++++=moderately
respectable ^jj+atrb+++=respectable
man ^nn++++=man
with ^in++++=with
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
" ^zz++++="economic
economic ^jj+atrb+++=EXTRAWORD
statistics ^nn++++=statistics,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
speaks ^vbz++++=speaks
to ^in++++=to
it ^pp3+it+++=it
prettily ^rb++++=prettily.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
interested ^jj+pred+++=interested
in ^in++++=in
goldwashing ^xvbg+++xvbg+=goldwashing
in ^in++++=in
the ^ati++++=the
sands ^nns++++=sands
of ^in++++=of
the ^ati++++=the
Sutlej ^np+++??+=Sutlej.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
pull ^vb++++=pull
the ^ati++++=the
string ^nn++++=string,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
it ^pp3+it+++=it
wakes ^vbz+++??+=wakes
up ^rp++++=up
half ^rb++++=half
a ^at++++=a
dozen ^cd++++=dozen
Departments ^nns+nom+++=Departments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
communicates ^nns+nom+++=communicates,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
friend ^nn++++=friend
of ^in++++=of
yours ^pp$$++++=yours
in ^in++++=in
the ^ati++++=the
Telegraph ^nn++++=Telegraph,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
once ^rb+tm+++=once
wrote ^vbd+vprv++xvbn+=wrote
some ^dti++++=some
notes ^nns++++=notes
on ^in++++=on
the ^ati++++=the
customs ^nns++++=customs
of ^in++++=of
the ^ati++++=the
gold ^nn++++=gold-washers
- ^zz++++=EXTRAWORD
washers ^nns+nom+++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
on ^in++++=on
construction ^nn+nom+++=construction-work
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
Empire ^nn++++=Empire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
or ^cc++++=or
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+aux++=be
pleased ^vpsv++agls+xvbnx+=pleased
at ^rb++++=at
being ^xvbg+++xvbg+=being
ordered ^vbd+vsua++xvbn+=ordered
to ^to+vcmp+++=to
write ^vbi++++=write
out ^rp+pl+++=out
everything ^pn++++=everything
he ^pp3a+pp3+++=he
knows ^vbz+vprv+++=knows
for ^in++++=for
your ^pp$+pp2+++=your
benefit ^nn++++=benefit.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
depends ^vbz++++=depends
on ^in++++=on
his ^pp$+pp3+++=his
temperament ^nn+nom+++=temperament.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bigger ^jjr+atrb+++=bigger
man ^nn++++=man
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^rbr++++=more
information ^nn+nom+++=information
and ^cc++++=and
the ^ati++++=the
greater ^jjr+atrb+++=greater
trouble ^nn++++=trouble
can ^md+pos+++=can
you ^pp2+pp2+++=you
raise ^vb++++=raise.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
big ^jj+atrb+++=big
man ^nn++++=man;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
reputation ^nn+nom+++=reputation
of ^in++++=of
being ^xvbg+++xvbg+=being
very ^ql+amp+++=very
earnest ^nn++++=earnest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
An ^at++++=An
" ^zz++++="earnest"
earnest ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
man ^nn++++=man
can ^md+pos+++=can
do ^vb+do+vrb++=do
much ^rb++++=much
with ^in++++=with
a ^at++++=a
Government ^nn+nom+++=Government.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
earnest ^jj+atrb+++=earnest
man ^nn++++=man
who ^whp+rel+obj++=who
once ^rb+tm+++=once
nearly ^rb+down+++=nearly
wrecked ^vbd+++xvbn+=wrecked
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
but ^cc+cls+++=but
all ^rb++++=all
India ^np++++=India
knows ^vbz+vprv+++=knows
That ^tht+vcmp+++=THAT
story ^nn++++=story.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
sure ^jj++++=sure
what ^wdt+who+++=what
real ^jj++++=real
" ^zz++++="earnestness"
earnestness ^nns+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
A ^at++++=A
very ^ql+amp+++=very
fair ^jj+atrb+++=fair
imitation ^nn+nom+++=imitation
can ^md+pos+++=can
be ^vb+be+aux++=be
manufactured ^vpsv++by+xvbnx+=manufactured
by ^in++++=by
neglecting ^nn++++=neglecting
to ^in++++=to
dress ^nn++++=dress
decently ^rb+cnj+++=decently,
, ^zz++++=EXTRAWORD
by ^in++++=by
mooning ^nn++++=mooning
about ^in++++=about
in ^in++++=in
a ^at++++=a
dreamy ^jj+atrb+++=dreamy,
, ^zz++++=EXTRAWORD
misty ^jj+atrb+++=misty
sort ^nn++++=sort
of ^in++++=of
way ^nn++++=way,
, ^zz++++=EXTRAWORD
by ^in++++=by
taking ^xvbg+++xvbg+=taking
office ^nn++++=office-work
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
home ^nr++++=home
after ^in++++=after
staying ^nn++++=staying
in ^in++++=in
office ^nn++++=office
till ^in++++=till
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
receiving ^xvbg+++xvbg+=receiving
crowds ^nns++++=crowds
of ^in++++=of
native ^jj+atrb+++=native
gentlemen ^nns++++=gentlemen
on ^in++++=on
Sundays ^nrs++++=Sundays.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
one ^cd1++++=one
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
" ^zz++++="earnestness."
earnestness ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
cast ^vbd+++xvbn+=cast
about ^in++++=about
for ^in++++=for
a ^at++++=a
peg ^nn++++=peg
whereon ^wrb+who+++=whereon
to ^to++++=to
hang ^vbi++++=hang
his ^pp$+pp3+++=his
earnestness ^nns+nom+++=earnestness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^at++++=a
string ^nn++++=string
that ^tht+rel+subj++=that
would ^md+prd+++=would
communicate ^nn+nom+++=communicate
with ^in++++=with
Pinecoffin ^np+++??+=Pinecoffin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
both ^abx++++=both.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
Pig ^nn++++=Pig.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
became ^vbd+++xvbn+=became
an ^at++++=an
earnest ^jj+atrb+++=earnest
inquirer ^nn+nom+++=inquirer
after ^in++++=after
Pig ^nn++++=Pig.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
informed ^vbd+vpub++xvbnx+=informed
the ^ati++++=the
Government ^nn+nom+++=Government
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
scheme ^nn++++=scheme
whereby ^cs+sub+++=whereby
a ^at++++=a
very ^ql+amp+++=very
large ^jj+atrb+++=large
percentage ^nn+nom+++=percentage
of ^in++++=of
the ^ati++++=the
British ^jj+atrb+++=British
Army ^nn++++=Army
in ^in++++=in
India ^np++++=India
could ^md+pos+++=could
be ^vb+be+aux++=be
fed ^vpsv++agls+xvbnx+=fed,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
very ^ql+amp+++=very
large ^jj+atrb+++=large
saving ^nvbg+++xvbg+=saving,
, ^zz++++=EXTRAWORD
on ^in++++=on
Pig ^nn++++=Pig.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
hinted ^vbd+vpub++xvbnx+=hinted
that ^tht+vcmp+++=that
Pinecoffin ^np+++??+=Pinecoffin
might ^md+pos+++=might
supply ^vb++++=supply
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
" ^zz++++="varied
varied ^jj+atrb++xvbn+=EXTRAWORD
information ^nn+nom+++=information
necessary ^jj++++=necessary
to ^to+jcmp+++=to
the ^ati++++=the
proper ^jj+atrb+++=proper
inception ^nn+nom+++=inception
of ^in++++=of
the ^ati++++=the
scheme ^nn++++=scheme."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
Government ^nn+nom+++=Government
wrote ^vbd+vprv++xvbn+=wrote
on ^in++++=on
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
letter: ^nn+++??+=letter:-"Instruct
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
instruct ^vb++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pinecoffin ^np++++=Pinecoffin
to ^to++++=to
furnish ^vbi++++=furnish
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Nafferton ^np++++=Nafferton
with ^in++++=with
any ^dti++++=any
information ^nn+nom+++=information
in ^in++++=in
his ^pp$+pp3+++=his
power ^nn++++=power."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Government ^nn+nom+++=Government
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
prone ^jj++++=prone
to ^to+jcmp+++=to
writing ^vbi++++=writing
things ^nns++++=things
on ^in++++=on
the ^ati++++=the
backs ^nns++++=backs
of ^in++++=of
letters ^nns+nom+++=letters
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
lead ^nn++++=lead
to ^in++++=to
trouble ^nn++++=trouble
and ^cc++++=and
confusion ^nn++++=confusion.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
had ^vb+hv+vrb++=had
not ^xnot++not++=not
the ^ati++++=the
faintest ^jjt+atrb+++=faintest
interest ^nn++++=interest
in ^in++++=in
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
Pinecoffin ^np+++??+=Pinecoffin
would ^md+prd+++=would
flounce ^vb++++=flounce
into ^in++++=into
the ^ati++++=the
trap ^nn++++=trap.
. ^zz++++=EXTRAWORD
Pinecoffin ^np+++??+=Pinecoffin
was ^vbd+bedz+aux++=was
delighted ^vpsv++agls+xvbnx+=delighted
at ^rb++++=at
being ^xvbg+++xvbg+=being
