Now ^rn+tm+++=Now
days ^nns++++=days
have ^vb+hv+aux++=have
communed ^vprf+++xvbnx+=communed
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
conscious ^jj++++=conscious
of ^in++++=of
mysteries ^nns+nom+++=mysteries
within ^in++++=within
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
mysteries ^nns+nom+++=mysteries
of ^in++++=of
truth ^nn++++=truth
and ^cc++++=and
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
will ^md+prd+++=will
not ^xnot++not++=not
wear ^vb++++=wear
the ^ati++++=the
chains ^nns++++=chains
of ^in++++=of
language ^nn+nom+++=language?
? ^zz++++=EXTRAWORD
Mortal ^nn++++=Mortal,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
dead ^jj++++=dead
were ^vbd+bed+vrb++=were
with ^in++++=with
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
thus ^rb+cnj+++=thus
shall ^md+prd+++=shall
the ^ati++++=the
earth ^nn++++=earth-dulled
- ^zz++++=EXTRAWORD
dulled ^vbd+++xvbn+=EXTRAWORD
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
inspire ^vb++++=inspire,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
conscious ^jj+pred+++=conscious
of ^in++++=of
a ^at++++=a
misty ^jj+atrb+++=misty
brightness ^nns+nom+++=brightness
among ^in++++=among
his ^pp$+pp3+++=his
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strive ^vb++++=strive
to ^to+vcmp+++=to
make ^vbi++++=make
it ^pp3+it+++=it
gleam ^nn++++=gleam
upon ^in++++=upon
the ^ati++++=the
page ^nn++++=page,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
all ^rb++++=all
in ^rb++++=in
vain ^rb"++++=vain.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
author ^nn++++=author!
! ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
will ^md+prd+++=will
he ^pp3a+pp3+++=he
despise ^vb++++=despise
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
can ^md+pos+++=can
grasp ^vb+vprv+++=grasp,
, ^zz++++=EXTRAWORD
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
the ^ati++++=the
dim ^jj+atrb+++=dim
glory ^nn++++=glory
that ^tht+rel+obj++=that
eludes ^nns+++??+=eludes
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
So ^ql++++=So
talk ^vb++++=talk
we ^pp1a+pp1+++=we
of ^in++++=of
graves ^np++++=graves
and ^cc++++=and
goblins ^nns+++??+=goblins.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
have ^vb+hv+aux++=have
ghosts ^nns++++=ghosts
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
graves ^np++++=graves?
? ^zz++++=EXTRAWORD
Mortal ^nn++++=Mortal
man ^nn++++=man,
, ^zz++++=EXTRAWORD
wearing ^vbg+++xvbg+=wearing
the ^ati++++=the
dust ^nn++++=dust
which ^whp+rel+subj++=which
shall ^md+prd+++=shall
require ^vb+vsua+++=require
a ^at++++=a
sepulchre ^nn++++=sepulchre,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
deem ^vb+++??+=deem
it ^pp3+it+++=it
more ^rbr++++=more
a ^at++++=a
home ^nr++++=home
and ^cc++++=and
resting ^vbg+++xvbg+=resting-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
than ^in++++=than
a ^at++++=a
spirit ^nn++++=spirit
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
earthly ^jj+atrb+++=earthly
clod ^nn+++??+=clod
has ^vbz+hvz+aux++=has
returned ^vprf+++xvbnx+=returned
to ^in++++=to
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
philosophers ^nns+nom+++=philosophers
have ^vb+hv+aux++=have
reasoned ^vprf+++xvbnx+=reasoned.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
wiser ^jjr++++=wiser
they ^pp3a+pp3+++=they
who ^whp+who+++=who
adhere ^vb++++=adhere
to ^in++++=to
the ^ati++++=the
ancient ^jj+atrb+++=ancient
sentiment ^nn+nom+++=sentiment,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
phantom ^nn++++=phantom
haunts ^nns++++=haunts
and ^cc++++=and
hallows ^nns+++??+=hallows
the ^ati++++=the
marble ^nn++++=marble
tomb ^nn++++=tomb
or ^cc++++=or
grassy ^jj+atrb+++=grassy
hillock ^nn+++??+=hillock
where ^wrb+who+++=where
its ^pp$+it+++=its
material ^nn++++=material
form ^nn++++=form
was ^vbd+bedz+aux++=was
laid ^vpsv++agls+xvbnx+=laid.
. ^zz++++=EXTRAWORD
Till ^in++++=Till
purified ^nn++++=purified
from ^in++++=from
each ^dt++++=each
stain ^nn++++=stain
of ^in++++=of
clay ^nn++++=clay;
; ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
passions ^nns++++=passions
of ^in++++=of
the ^ati++++=the
living ^jj+atrb++xvbg+=living
world ^nn++++=world
are ^vb+ber+vrb++=are
all ^abn++++=all
forgotten ^jj+++xvbn+=forgotten;
; ^zz++++=EXTRAWORD
till ^cs+sub+++=till
it ^pp3+it+++=it
have ^vb+hv+vrb++=have
less ^rbr++++=less
brotherhood ^nn+nom+++=brotherhood
with ^in++++=with
the ^ati++++=the
wayfarers ^nns+nom+++=wayfarers
of ^in++++=of
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
than ^in++++=than
with ^in++++=with
spirits ^nns++++=spirits
that ^tht+rel+subj++=that
never ^rb++++=never
wore ^vbd+++xvbn+=wore
mortality ^nn+nom+++=mortality,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ghost ^nn++++=ghost
must ^md+nec+++=must
linger ^vb++++=linger
round ^rb++++=round
the ^ati++++=the
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
O ^zz++++=O,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
long ^jj+atrb+++=long
and ^cc+phrs+++=and
dreary ^jj+atrb+++=dreary
watch ^vb++++=watch
to ^to+vcmp+++=to
some ^dti++++=some
of ^in++++=of
us ^pp1o+pp1+++=us!
! ^zz++++=EXTRAWORD
Even ^rb++++=Even
in ^in++++=in
early ^jj+atrb+++=early
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
selected ^vprf+++xvbnx+=selected
a ^at++++=a
sweet ^jj+atrb+++=sweet
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
of ^in++++=of
shade ^nn++++=shade
and ^cc++++=and
glimmering ^vbg+++xvbg+=glimmering
sunshine ^nn++++=sunshine,
, ^zz++++=EXTRAWORD
for ^in++++=for
my ^pp$+pp1+++=my
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
no ^at++++=no
burial ^nn++++=burial-ground,
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
secluded ^jj+atrb+++=secluded
nook ^nn++++=nook
of ^in++++=of
virgin ^jjb+atrb+++=virgin
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
sit ^vb++++=sit,
, ^zz++++=EXTRAWORD
whole ^jj+atrb+++=whole
summer ^nn++++=summer
afternoons ^nns++++=afternoons,
, ^zz++++=EXTRAWORD
dreaming ^vbg+++xvbg+=dreaming
about ^in++++=about
life ^nn++++=life
and ^cc++++=and
death ^nn++++=death.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
fancy ^jj++++=fancy
ripened ^jj+++xvbn+=ripened
prematurely ^rb+cnj+++=prematurely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
taught ^vbd+vsua++xvbn+=taught
me ^pp1o+pp1+++=me
secrets ^nns++++=secrets
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
otherwise ^rb+cnj+++=otherwise
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pictured ^vbd+++xvbnx+=pictured
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
years ^nns++++=years,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
never ^rb++++=never
came ^vbd+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
pictured ^vbd+++xvbnx+=pictured
them ^pp3o+pp3+++=them
like ^in++++=like
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
this ^dt+dem+++=this
spot ^nn++++=spot
the ^ati++++=the
scene ^nn++++=scene
of ^in++++=of
all ^abn++++=all
that ^dt+pdem+++=that
should ^md+nec+++=should
be ^vb+be+vrb++=be
brightest ^jjt+pred+++=brightest,
, ^zz++++=EXTRAWORD
in ^in++++=in
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
manhood ^nn+nom+++=manhood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
age ^nn++++=age.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
time ^nn++++=time
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
breathe ^vbi++++=breathe
the ^ati++++=the
bashful ^nn+nom+++=bashful
and ^cc++++=and
burning ^jj+atrb++xvbg+=burning
vows ^nns+++??+=vows
of ^in++++=of
first ^od++++=first-love;
- ^zz++++=EXTRAWORD
love ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
thither ^rb+cnj+++=thither,
, ^zz++++=EXTRAWORD
after ^in++++=after
gathering ^xvbg+++xvbg+=gathering
fame ^nn++++=fame
abroad ^rb+cnj+++=abroad,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
return ^vb++++=return
to ^to++++=to
enjoy ^vbi++++=enjoy
the ^ati++++=the
loud ^jj+atrb+++=loud
plaudit ^nn+++??+=plaudit
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
a ^at++++=a
vast ^jj+atrb+++=vast
but ^cc+phrs+++=but
unobtrusive ^jj+atrb+++=unobtrusive
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
booming ^nn++++=booming
of ^in++++=of
a ^at++++=a
distant ^jj+atrb+++=distant
sea ^nn++++=sea;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thither ^rb+cnj+++=thither,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
far ^rb+pl+++=far-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
close ^nn++++=close
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
an ^at++++=an
aged ^jj+atrb+++=aged
man ^nn++++=man
would ^md+prd+++=would
come ^vb++++=come,
, ^zz++++=EXTRAWORD
to ^in++++=to
dream ^nn++++=dream,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
boy ^nn++++=boy
was ^vbd+bedz+aux++=was
dreaming ^vbg+++xvbgx+=dreaming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
as ^ql++++=as
happy ^jj++++=happy
in ^in++++=in
the ^ati++++=the
past ^nn++++=past
as ^in++++=as
lie ^vb++++=lie
was ^vbd+bedz+vrb++=was
in ^in++++=in
futurity ^nn+nom+++=futurity.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
all ^rb++++=all
should ^md+nec+++=should
be ^vb+be+aux++=be
finished ^vpsv++agls+xvbnx+=finished,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
spot ^nn++++=spot
so ^ql+emph+++=so
hallowed ^jj+++xvbn+=hallowed,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
soil ^nn++++=soil
so ^rb++++=so
impregnated ^vbd+++xvbn+=impregnated
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
precious ^jj++++=precious
of ^in++++=of
my ^pp$+pp1+++=my
bliss ^nn++++=bliss,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
my ^pp$+pp1+++=my
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Methought
thought ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
sweetest ^jjt++++=sweetest
grave ^jj++++=grave
that ^dt+dem+++=that
ever ^rb++++=ever
a ^at++++=a
mortal ^nn++++=mortal
frame ^nn++++=frame
reposed ^vbd+++xvbn+=reposed
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
an ^at++++=an
ethereal ^jj+atrb+++=ethereal
spirit ^nn++++=spirit
haunted ^vbd+++xvbn+=haunted.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
in ^in++++=in
future ^jjb+atrb+++=future
times ^nns++++=times,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
thither ^rb++++=thither
by ^in++++=by
the ^ati++++=the
spell ^nn++++=spell
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
breathed ^vprf+++xvbnx+=breathed
around ^in++++=around
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
boyhood ^nn+nom+++=boyhood
would ^md+prd+++=would
sport ^vb++++=sport
and ^cc++++=and
dream ^nn++++=dream,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
youth ^nn++++=youth
would ^md+prd+++=would
love ^vb++++=love,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
manhood ^nn+nom+++=manhood
would ^md+prd+++=would
enjoy ^vb++++=enjoy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
age ^nn++++=age
would ^md+prd+++=would
dream ^vb++++=dream
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
ghost ^nn++++=ghost
would ^md+prd+++=would
watch ^vb++++=watch
but ^cc++++=but
never ^rb++++=never
frighten ^vb++++=frighten
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Alas ^uh++++=Alas,
, ^zz++++=EXTRAWORD
the ^ati++++=the
vanity ^nn++++=vanity
of ^in++++=of
mortal ^nn++++=mortal
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
centre ^jjb++++=centre
in ^in++++=in
the ^ati++++=the
grave ^nn++++=grave!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
died ^vbd+++xvbnx+=died
in ^in++++=in
my ^pp$+pp1+++=my
first ^od++++=first
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
lover ^nn++++=lover;
; ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
grave ^nn++++=grave
which ^whp+rel+obj++=which
fancy ^jj++++=fancy
had ^vbd+hvd+aux++=had
dug ^vprf+++xvbnx+=dug
for ^in++++=for
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
buried ^vbd+++xvbnx+=buried
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
thronged ^jj+atrb++xvbn+=thronged
cemetery ^nn+nom+++=cemetery
of ^in++++=of
a ^at++++=a
town ^nn++++=town,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
my ^pp$+pp1+++=my
marble ^nn++++=marble
slab ^nn++++=slab
stands ^vbz++++=stands
unnoticed ^jj++++=unnoticed
amid ^in++++=amid
a ^at++++=a
hundred ^cd++++=hundred
others ^aps++++=others.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
coffins ^nns+++??+=coffins
on ^in++++=on
each ^dt++++=each
side ^nn++++=side
of ^in++++=of
mine ^pp$$++++=mine!
! ^zz++++=EXTRAWORD
" ^zz++++="Alas,
alas ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
ghost ^nn++++=ghost!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
will ^md+prd+++=will
the ^ati++++=the
reader ^nn++++=reader
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
happy ^jj+atrb+++=happy
ghost ^nn++++=ghost
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disposed ^jj+++xvbn+=disposed
to ^to+jcmp+++=to
be ^vbi++vrb++=be
contented ^jj+pred+++=contented
with ^in++++=with
my ^pp$+pp1+++=my
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
sexton ^np++++=sexton
will ^md+prd+++=will
but ^cc++++=but
let ^vb+++xvbn+=let
it ^pp3+it+++=it
be ^vb+be+vrb++=be
my ^pp$+pp1+++=my
own ^ap++++=own,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bring ^vb++++=bring
no ^at++++=no
other ^ap++++=other
dead ^jj+atrb+++=dead
man ^nn++++=man
to ^in++++=to
dispute ^nn++++=dispute
my ^pp$+pp1+++=my
title ^nn++++=title.
. ^zz++++=EXTRAWORD
Earth ^nn++++=Earth
has ^vbz+hvz+aux++=has
left ^vprf+++xvbnx+=left
few ^ap++++=few
stains ^nns++++=stains
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
but ^cc++++=but
a ^at++++=a
short ^jj+atrb+++=short
time ^nn++++=time
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
need ^nn++++=need
haunt ^nn++++=haunt
the ^ati++++=the
place ^nn++++=place.
