My ^pp$+pp1+++=My
blundering ^jj+atrb+++=blundering
wantonness ^nns+nom+++=wantonness,
, ^zz++++=EXTRAWORD
a ^at++++=a
bud ^nn++++=bud
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
open ^vbi++++=open
so ^ql++++=so
generously ^rb++++=generously:
: ^zz++++=EXTRAWORD
to ^to++++=to
sacrifice ^vbi++++=sacrifice
that ^dt+dem+++=that
youth ^nn++++=youth
and ^cc++++=and
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
comeliness ^nns+nom+++=comeliness,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
enthusiasm ^nn++++=enthusiasm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
for ^in++++=for
nothing ^pn++++=nothing!
! ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Had
some ^dti++++=some
campaign ^nn++++=campaign
claimed ^vbd+vpub++xvbn+=claimed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
been ^vprf+ben+aux+xvbnx+=been
spent ^vpsv++agls+xvbnx+=spent
to ^to++++=to
gain ^vbi++++=gain
a ^at++++=a
citadel ^nn++++=citadel
or ^cc++++=or
defend ^vb++++=defend
a ^at++++=a
flag ^nn++++=flag,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
understood ^vprf+++xvbnx+=understood.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
be ^vb+be+aux++=be
killed ^vpsv++agls+xvbnx+=killed
on ^in++++=on
a ^at++++=a
friendly ^jj+atrb+++=friendly
mission ^nn++++=mission;
; ^zz++++=EXTRAWORD
attacked ^j+++xvbn+=attacked
in ^in++++=in
ignorance ^nn+nom+++=ignorance
by ^in++++=by
those ^dt+dem+++=those
East ^np+pl+++=East
Coast ^nn++++=Coast
savages ^nns+nom+++=savages
while ^cs+sub+++=while
bearing ^vbg+++xvbg+=bearing
gifts ^nns++++=gifts
to ^in++++=to
their ^pp$+pp3+++=their
king ^nn++++=king;
; ^zz++++=EXTRAWORD
deserted ^xvbn+++xvbn+=deserted
by ^in++++=by
the ^ati++++=the
porters ^nns+nom+++=porters
whose ^whp+rel+obj++=whose
comfort ^nn++++=comfort
( ^zz++++=(on
on ^in++++=EXTRAWORD
their ^pp$+pp3+++=their
own ^ap++++=own
confession ^nn++++=confession)
) ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
studied ^vprf+++xvbnx+=studied
throughout ^in++++=throughout
the ^ati++++=the
march ^nn++++=march;
; ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
to ^to++++=to
die ^vbi++++=die,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
tortured ^vpsv++agls+xvbnx+=tortured,
, ^zz++++=EXTRAWORD
mutilated ^jj++++=mutilated--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
all ^rb++++=all
for ^in++++=for
no ^at++++=no
possible ^jj++++=possible
good ^jj++++=good:
: ^zz++++=EXTRAWORD
these ^dt+dem+++=these
things ^nns++++=things
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
escaped ^vprf+++xvbnx+=escaped;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
he ^pp3a+pp3+++=he
caught ^vbd+++xvbnx+=caught
hold ^nn++++=hold
of ^in++++=of
his ^pp$+pp3+++=his
saddle ^nn++++=saddle
by ^in++++=by
the ^ati++++=the
band ^nn++++=band
between ^in++++=between
the ^ati++++=the
holsters ^nns+nom+++=holsters,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
parted ^vbd+++xvbn+=parted:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
leather ^nn++++=leather,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
faced ^vbd+++xvbn+=faced
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
the ^ati++++=the
job ^nn++++=job
of ^in++++=of
some ^dti++++=some
cheating ^jj+atrb++xvbg+=cheating
contractor ^nn++++=contractor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Harry ^np++++=Harry
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
through ^in++++=through
Chitral ^np+++??+=Chitral!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
though ^cs+sub+++=though
a ^at++++=a
man ^nn++++=man
may ^md+pos+++=may
hate ^vb++++=hate,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
easily ^rb++splt++=easily
despise ^vb++++=despise
God ^nn++++=God
for ^in++++=for
long ^nn++++=long.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
great ^jj+pred+++=great--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
wasteful ^jj++++=wasteful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
American ^nn++++=American.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
the ^ati++++=the
dust ^nn++++=dust
on ^in++++=on
His ^pp$+pp3+++=His
great ^jj+atrb+++=great
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fly ^vb++++=fly
as ^ql++++=as
He ^pp3a+pp3+++=He
claps ^nns+++??+=claps
them ^pp3o+pp3+++=them
carelessly ^rb++++=carelessly
in ^in++++=in
the ^ati++++=the
pauses ^nns+++??+=pauses
of ^in++++=of
His ^pp$+pp3+++=His
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
this ^dt+dem+++=this
theory ^nn++++=theory
would ^md+prd+++=would
not ^xnot++not++=not
do ^vb+do+vrb++=do
at ^rb++++=at
all ^abn++++=all:
: ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
unlucky ^jj+atrb+++=unlucky
particles ^nns++++=particles
are ^vb+ber+vrb++=are
not ^xnot++not++=not
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
refuse ^vb++++=refuse,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
exquisite ^jj++++=exquisite
and ^cc++++=and
exquisitely ^rb++++=exquisitely
fashioned ^jj+++xvbn+=fashioned,
, ^zz++++=EXTRAWORD
designed ^vb+++xvbn+=designed
to ^to+vcmp+++=to
live ^vbi++++=live,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
every ^at++++=every
small ^jj+atrb+++=small
function ^nn+nom+++=function
of ^in++++=of
life ^nn++++=life
adapted ^vbd+++xvbn+=adapted
with ^in++++=with
the ^ati++++=the
minutest ^jjt+atrb+++=minutest
care ^nn++++=care.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
nights ^nns++++=nights
indeed ^qlp++++=indeed
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
along ^in++++=along
the ^ati++++=the
shore ^nn++++=shore
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
walked ^vprf+++xvbnx+=walked
together ^nn+nom+++=together
on ^in++++=on
the ^ati++++=the
night ^nn++++=night
before ^cs+sub+++=before
Harry ^np++++=Harry
left ^vbd+++xvbn+=left
England ^np++++=England
and ^cc++++=and
looking ^jj+++xvbg+=looking
from ^in++++=from
the ^ati++++=the
dark ^jj+atrb+++=dark
waters ^nns++++=waters
which ^whp+rel+subj++=which
divided ^vbd+++xvbn+=divided
me ^pp1o+pp1+++=me
from ^in++++=from
his ^pp$+pp3+++=his
grave ^nn++++=grave
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
nightly ^rb++++=nightly
moon ^np++++=moon
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
stars ^nns++++=stars
around ^rp++++=around
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
well ^rb++splt++=well
believe ^vb+vprv+++=believe
God ^nn++++=God
wasteful ^jj++++=wasteful
of ^in++++=of
little ^jj+atrb+++=little
things ^nns++++=things.
. ^zz++++=EXTRAWORD
Sirius ^np+++??+=Sirius
flashing ^vwbg+++xvbg+=flashing
low ^jj++++=low,
, ^zz++++=EXTRAWORD
Orion ^np++++=Orion's
's ^$++++=EXTRAWORD
belt ^nn++++=belt
with ^in++++=with
the ^ati++++=the
great ^jj+atrb+++=great
nebula ^nn+++??+=nebula
swinging ^vwbg+++xvbg+=swinging
like ^in++++=like
a ^at++++=a
pendant ^nn+nom+++=pendant
of ^in++++=of
diamonds ^nns++++=diamonds;
; ^zz++++=EXTRAWORD
the ^ati++++=the
ruby ^np++++=ruby
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
Betelgueux ^np+++??+=Betelgueux
and ^cc++++=and
Aldebaran ^np+nom++??+=Aldebaran--my
-- ^--+clp+++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
eyes ^nns++++=eyes
went ^vbd+++xvbn+=went
up ^rp++++=up
beyond ^in++++=beyond
these ^dt+dem+++=these
to ^in++++=to
Perseus ^np+++??+=Perseus
shepherding ^vwbg+++xvbg+=shepherding
the ^ati++++=the
Kids ^nns++++=Kids
westward ^rb++++=westward
along ^in++++=along
the ^ati++++=the
Milky ^np+++??+=Milky
way ^nn++++=way.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
right ^jj+atrb+++=right
Andromeda ^np+++??+=Andromeda
flashed ^vbd+++xvbn+=flashed
signals ^nns+nom+++=signals
to ^in++++=to
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
above ^in+pl+++=above
sat ^vbd+++xvbn+=sat
Cassiopeia ^np+++??+=Cassiopeia,
, ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
mother ^npt++++=mother,
, ^zz++++=EXTRAWORD
resting ^nvbg+++xvbg+=resting
her ^pp3o+pp3+++=her
jewelled ^vbd+++xvbn+=jewelled
wrists ^nns++++=wrists
on ^in++++=on
the ^ati++++=the
arms ^nns++++=arms
of ^in++++=of
her ^pp$+pp3+++=her
throne ^nn++++=throne.
. ^zz++++=EXTRAWORD
Low ^jj++++=Low
in ^in++++=in
the ^ati++++=the
east ^np+pl+++=east
Jupiter ^np+++??+=Jupiter
trailed ^vbd+++xvbn+=trailed
his ^pp$+pp3+++=his
satellites ^nns++++=satellites
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
moon ^nn++++=moon's
's ^$++++=EXTRAWORD
path ^nn++++=path.
. ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
all ^abn++++=all
moved ^jj+++xvbn+=moved,
, ^zz++++=EXTRAWORD
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
down ^rb+phrv+++=down
on ^in+ppvb+++=on
me ^pp1o+pp1+++=me
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
hollow ^jj+atrb+++=hollow
spaces ^nns++++=spaces
of ^in++++=of
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
believe ^vb+vprv+++=believe
no ^at++++=no
splendid ^jj+atrb+++=splendid
waste ^nn++++=waste
too ^ql++++=too
costly ^jj++++=costly
for ^in++++=for
their ^pp$+pp3+++=their
perfection ^nn+nom+++=perfection:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Artificer ^np+nom++??+=Artificer
who ^whp+rel+subj++=who
hung ^vwbn+++xvbn+=hung
them ^pp3o+pp3+++=them
there ^rn+pl+++=there
after ^in++++=after
millions ^cds++++=millions
of ^in++++=of
years ^nns++++=years
of ^in++++=of
patient ^nn++++=patient
effort ^nn++++=effort,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
more ^rbr++++=more
intelligible ^jj++++=intelligible
than ^in++++=than
a ^at++++=a
God ^nn++++=God
who ^whp+rel+subj++=who
produced ^vwbn+++xvbn+=produced
them ^pp3o+pp3+++=them
suddenly ^rb++++=suddenly
at ^rb++++=at
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
certainly ^rb++++=certainly
not ^xnot++not++=not
less ^rbr++++=less
divine ^jj++++=divine.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
walking ^vbg+++xvbg+=walking
the ^ati++++=the
same ^ap++++=same
shore ^nn++++=shore
by ^in++++=by
daylight ^nn++++=daylight
I ^pp1a+pp1+++=I
recognised ^vbd+vprv++xvbnx+=recognised
that ^tht+vcmp+++=that
the ^ati++++=the
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mosses ^nns+++??+=mosses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flowers ^nns+nom+++=flowers
I ^pp1a+pp1+++=I
trampled ^vbd+++xvbnx+=trampled
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
each ^dt++++=each
in ^in++++=in
its ^pp$+it+++=its
way ^nn++++=way,
, ^zz++++=EXTRAWORD
as ^ql++++=as
perfect ^vb++++=perfect
as ^ql++++=as
those ^dt+dem+++=those
great ^jj+atrb+++=great
stars ^nns++++=stars:
: ^zz++++=EXTRAWORD
that ^dt+dem+++=that
on ^rp++++=on
these ^dt+dem+++=these-and
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
on ^in++++=on
Harry ^np++++=Harry--as
