Old ^jj+atrb+++=Old
her ^pp$+pp3+++=her
own ^ap++++=own
nest ^nn++++=nest,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv+tht0+xvbg+=knowing
everyone ^pn++++=everyone's
's ^vbz+bez+vrb++0=EXTRAWORD
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
telling ^vbg+nom++xvbg+=telling
what ^wdt+who+++=what
everybody ^pn++++=everybody
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
doing ^vbg+++xvbgx+=doing
or ^cc++++=or
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
do ^vb++++=do,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ready ^jj++++=ready
to ^to+jcmp+++=to
cast ^vbi++++=cast
her ^pp$+pp3+++=her
advice ^nn++++=advice
gratis ^nns+++??+=gratis
at ^rb++++=at
every ^at++++=every
bird ^nn++++=bird
and ^cc++++=and
beast ^nn++++=beast
of ^in++++=of
the ^ati++++=the
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
she ^pp3a+pp3+++=she
bustled ^vbd+++xvbnx+=bustled
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
parsonage ^nn+nom+++=parsonage
at ^in++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
oak ^nn++++=oak-tree,
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
tell ^vbi++++=tell
old ^jj+atrb+++=old
Parson ^nn++++=Parson
Too ^ql++++=Too-Whit
- ^zz++++=EXTRAWORD
whit ^nn+++??+=EXTRAWORD
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
preach ^vb++++=preach
for ^in++++=for
his ^pp$+pp3+++=his
next ^ap++++=next
sermon ^nn++++=sermon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
dreadful ^jj++++=dreadful
the ^ati++++=the
morals ^nns++++=morals
of ^in++++=of
the ^ati++++=the
parish ^nn++++=parish
were ^vbd+bed+aux++=were
becoming ^vbg+++xvbgx+=becoming.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
perfectly ^rb+amp+++=perfectly
bewildered ^jj+++xvbn+=bewildered
the ^ati++++=the
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
always ^rb++++=always
sleepy ^jj+pred+++=sleepy
of ^in++++=of
a ^at++++=a
Monday ^nr++++=Monday
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
Mother ^nn++++=Mother
Magpie ^np+++??+=Magpie
would ^md+prd+++=would
take ^vb++++=take
a ^at++++=a
peep ^nn++++=peep
into ^in++++=into
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Oriole ^np++++=Oriole's
's ^$++++=EXTRAWORD
nest ^nn++++=nest,
, ^zz++++=EXTRAWORD
sit ^vb++++=sit
chattering ^jj++++=chattering
on ^in++++=on
a ^at++++=a
bough ^nn++++=bough
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pour ^&fw++++=pour
forth ^rp++++=forth
floods ^nns++++=floods
of ^in++++=of
advice ^nn++++=advice,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Oriole ^np++++=Oriole
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say
to ^to+vcmp+++=to
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
bewildered ^j+++xvbn+=bewildered
her ^pp3o+pp3+++=her
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
hard ^jj+atrb+++=hard
north ^nr+pl+++=north-east
- ^zz++++=EXTRAWORD
east ^np+pl+++=EXTRAWORD
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
" ^zz++++="Depend
depend ^vb++++=EXTRAWORD
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mother ^nn++++=Mother
Magpie ^np+++??+=Magpie
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^cs+sub+++=EXTRAWORD
this ^dt+dem+++=this
way ^nn++++=way
of ^in++++=of
building ^xvbg+++xvbg+=building
your ^pp$+pp2+++=your
nest ^nn++++=nest,
, ^zz++++=EXTRAWORD
swinging ^jj+++xvbg+=swinging
like ^in++++=like
an ^at++++=an
old ^jj+atrb+++=old
empty ^jj+atrb+++=empty
stocking ^nn++++=stocking
from ^in++++=from
a ^at++++=a
bough ^nn++++=bough,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
at ^rb++++=at
all ^abn++++=all
the ^ati++++=the
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
built ^vbd+++xvbn+=built
one ^cd1++++=one
so ^rb++++=so
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
never ^rb++++=never
have ^vb+hv+vrb++=have
headaches ^nns++++=headaches.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
you ^pp2+pp2+++=you
complain ^vb+vpub+++=complain
always ^rb++++=always
that ^cs+sub+++=that
your ^pp$+pp2+++=your
head ^jjb+atrb+++=head
aches ^nns+++??+=aches
whenever ^nn+nom+++=whenever
I ^pp1a+pp1+++=I
call ^vb++++=call
upon ^in++++=upon
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
on ^in++++=on
account ^nn++++=account
of ^in++++=of
this ^dt+dem+++=this
way ^nn++++=way
of ^in++++=of
swinging ^xvbg+++xvbg+=swinging
and ^cc++++=and
swaying ^xvbg+++xvbg+=swaying
about ^rb++++=about
in ^in++++=in
such ^abl++++=such
an ^at++++=an
absurd ^jj+atrb+++=absurd
manner ^nn++++=manner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
piped ^xvbn+++xvbn+=piped
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Oriole ^np++++=Oriole
timidly ^rb+cnj+++=timidly,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
Orioles ^np+++??+=Orioles
always ^rb++++=always
have ^vb+hv+aux++=have
built ^vprf+++xvbnx+=built
in ^in++++=in
this ^dt+dem+++=this
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
suits ^vbz++++=suits
our ^pp$+pp1+++=our
constitution ^nn+nom+++=constitution."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
fiddle ^nn++++=fiddle
on ^in++++=on
your ^pp$+pp2+++=your
constitution ^nn+nom+++=constitution!
! ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
you ^pp2+pp2+++=you
tell ^vb++++=tell
what ^wdt+who+++=what
agrees ^vbz++++=agrees
with ^in++++=with
your ^pp$+pp2+++=your
constitution ^nn+nom+++=constitution
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
try ^vb++++=try?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
own ^ap++++=own
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
well ^jj+pred+++=well;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
headaches ^nns++++=headaches;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
physician ^nn++++=physician
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you
that ^cs+sub+++=that
a ^at++++=a
tilting ^jj+atrb++xvbg+=tilting
motion ^nn++++=motion
disorders ^nns+nom+++=disorders
the ^ati++++=the
stomach ^nn++++=stomach
and ^cc++++=and
acts ^nns++++=acts
upon ^in++++=upon
the ^ati++++=the
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
old ^jj+atrb+++=old
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Kite ^np++++=Kite.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
talking ^vbg+++xvbgx+=talking
with ^in++++=with
him ^pp3o+pp3+++=him
about ^in++++=about
your ^pp$+pp2+++=your
case ^nn++++=case
only ^rb+down+++=only
yesterday ^nr+tm+++=yesterday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Magpie ^np++++=Magpie,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
perfectly ^rb+amp+++=perfectly
agree ^vb+vpub+++=agree
with ^in++++=with
you. ^nn+++??+=you.'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
my ^pp$+pp1+++=my
husband ^nn++++=husband
prefers ^nns+nom+++=prefers
this ^dt+dem+++=this
style ^nn++++=style
of ^in++++=of
building ^xvbg+++xvbg+=building."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=isn't
n't ^xnot++not++0=EXTRAWORD
properly ^rb++++=properly
instructed ^vbd+++xvbn+=instructed.
. ^zz++++=EXTRAWORD
Pray ^vb+vsua+++=Pray,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
ever ^rb++++=ever
attend ^vb++++=attend
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Kite ^np++++=Kite's
's ^$++++=EXTRAWORD
lectures ^nns++++=lectures
on ^in++++=on
the ^ati++++=the
nervous ^jj+atrb+++=nervous
system ^nn++++=system?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
time ^nn++++=time
to ^to++++=to
attend ^vbi++++=attend
lectures ^nns++++=lectures.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
would ^md+prd+++=would
sit ^vb++++=sit
on ^in++++=on
the ^ati++++=the
eggs ^nns++++=eggs?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure;
; ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
take ^vb++++=take
his ^pp$+pp3+++=his
turn ^nn++++=turn
in ^in++++=in
sitting ^xvbg+++xvbg+=sitting?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
do ^vb+do+vrb++=don't,
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ought ^md+nec+++=ought
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
speak ^vb++++=speak
to ^in++++=to
him ^pp3o+pp3+++=him
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
husband ^nn++++=husband
always ^rb++++=always
sits ^vbz++++=sits
regularly ^rb++++=regularly
half ^rb++++=half
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
may ^md+pos+++=may
have ^vb+hv+vrb++=have
time ^nn++++=time
to ^to++++=to
go ^vbi++++=go
about ^in+ppvb+++=about
and ^cc++++=and
exercise ^nn++++=exercise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="O
o ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Magpie ^np++++=Magpie,
, ^zz++++=EXTRAWORD
pray ^vb+vsua+++=pray
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
speak ^vb++++=speak
to ^in++++=to
my ^pp$+pp1+++=my
husband ^nn++++=husband;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
will ^md+prd+++=will
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
complaining ^vbg+vpub++xvbgx+=complaining."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wo ^&fw++++=won't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
just ^rb+emph+++=just
how ^wrb+who+++=how
to ^to++++=to
say ^vbi+vpub+++=say
the ^ati++++=the
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
advised ^vprf+++xvbnx+=advised
hundreds ^cds++++=hundreds
of ^in++++=of
young ^jj+atrb+++=young
husbands ^nns++++=husbands
in ^in++++=in
my ^pp$+pp1+++=my
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
never ^rb++++=never
gave ^vbd+++xvbn+=gave
offence ^nn+nom+++=offence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Magpie ^np++++=Magpie,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
any ^dti++++=any
interference ^nn+nom+++=interference
between ^in++++=between
my ^pp$+pp1+++=my
husband ^nn++++=husband
and ^cc++++=and
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
have ^vb+hv+vrb++=have
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Oriole ^np++++=Oriole,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
little ^ap++++=little
round ^in++++=round
eyes ^nns++++=eyes
flashing ^vwbg+++xvbg+=flashing
with ^in++++=with
indignation ^nn+nom+++=indignation.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
put ^vb+++xvbn+=put
yourself ^ppl+pp2+++=yourself
in ^in++++=in
a ^at++++=a
passion ^nn++++=passion,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear;
; ^zz++++=EXTRAWORD
the ^ati++++=the
more ^ql++++=more
you ^pp2+pp2+++=you
talk ^vb++++=talk,
, ^zz++++=EXTRAWORD
the ^ati++++=the
more ^rbr++++=more
sure ^jj++++=sure
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
that ^tht+vcmp+++=that
your ^pp$+pp2+++=your
nervous ^jj+atrb+++=nervous
system ^nn++++=system
is ^vbz+bez+aux++=is
running ^vbg+++xvbgx+=running
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
you ^pp2+pp2+++=you
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
forget ^vb+vprv+++=forget
good ^jj+atrb+++=good
manners ^nns+nom+++=manners
in ^in++++=in
this ^dt+dem+++=this
way ^nn++++=way.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
take ^vb++++=take
my ^pp$+pp1+++=my
advice ^nn++++=advice,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
just ^rb+emph+++=just
what ^wdt+who+++=what
to ^in++++=to
do," ^nn+++??+=do,"--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
away ^rp+pl+++=away
sails ^nns++++=sails
Mother ^nn++++=Mother
Magpie ^np+++??+=Magpie;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presently ^rb+tm+++=presently
young ^jj+atrb+++=young
Oriole ^np+++??+=Oriole
comes ^vbz++++=comes
home ^nr++++=home
all ^abn++++=all
in ^in++++=in
a ^at++++=a
flutter ^nn++++=flutter.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
will ^md+prd+++=will
persist ^nn+nom+++=persist
in ^in++++=in
gossiping ^nn++++=gossiping
over ^in++++=over
our ^pp$+pp1+++=our
private ^jj+atrb+++=private
family ^nn++++=family
matters ^nns+nom+++=matters
with ^in++++=with
that ^dt+dem+++=that
old ^jj+atrb+++=old
Mother ^nn++++=Mother
Magpie ^np+++??+=Magpie--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
gossip ^nn++++=gossip.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
comes ^vbz++++=comes
and ^cc++++=and
bores ^nns++++=bores
me ^pp1o+pp1+++=me
to ^in++++=to
death ^nn++++=death
with ^in++++=with
talking ^xvbg+++xvbg+=talking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
goes ^vbz++++=goes
off ^rp+pl+++=off
and ^cc++++=and
mistakes ^nns++++=mistakes
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
saying ^vbg+++xvbgx+=saying
for ^in++++=for
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
Cut ^vbd+++xvbn+=CUT
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
try ^vb++++=try
to ^to+vcmp+++=to,
, ^zz++++=EXTRAWORD
all ^abn++++=all
I ^pp1a+pp1+++=I
can ^md+pos+++=can;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
Be ^vb+be+aux++=BE
cut ^vpsv++agls+xvbnx+=cut."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
enough ^qlp++++=enough
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
bird ^nn++++=bird
swear ^vbd+++xvbn+=swear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tommy ^np++++=Tommy
Oriole ^np+++??+=Oriole.
. ^zz++++=EXTRAWORD
Tommy ^np++++=Tommy
Oriole ^np+++??+=Oriole,
, ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
as ^ql++++=as
good ^jj++++=good
a ^at++++=a
heart ^nn++++=heart
as ^cs+sub+++=as
ever ^rb++++=ever
beat ^vb+++xvbn+=beat
under ^in++++=under
bird ^nn++++=bird's
's ^$++++=EXTRAWORD
feathers ^nns+nom+++=feathers;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
weakness ^nns+nom+++=weakness
for ^in++++=for
concerts ^nns++++=concerts
and ^cc++++=and
general ^jj+atrb+++=general
society ^nn++++=society,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
to ^to++++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
by ^in++++=by
all ^abn++++=all
odds ^nns++++=odds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
handsomest ^jjt+atrb+++=handsomest
bird ^nn++++=bird
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sung ^vpsv++agls+xvbn+=sung
like ^in++++=like
an ^at++++=an
angel ^nn++++=angel;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
the ^ati++++=the
truth ^nn++++=truth
was ^vbd+bedz+aux++=was
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
confine ^vb++++=confine
himself ^ppl+pp3+++=himself
so ^ql++++=so
much ^ap++++=much
to ^in++++=to
the ^ati++++=the
domestic ^jj+atrb+++=domestic
nest ^nn++++=nest
as ^ql++++=as
Tom ^np++++=Tom
Titmouse ^np+++??+=Titmouse
or ^cc++++=or
Billy ^np++++=Billy
Wren ^nn++++=Wren.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
determined ^vbd+++xvbnx+=determined
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
old ^jj+atrb+++=old
Mother ^nn++++=Mother
Magpie ^np+++??+=Magpie
interfering ^vwbg+++xvbg+=interfering
with ^in++++=with
his ^pp$+pp3+++=his
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
fact ^nn++++=fact
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
quoth ^nn+++??+=quoth
Tommy ^np++++=Tommy,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
a ^at++++=a
society ^nn++++=society
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nature ^nn++++=Nature
has ^vbz+hvz+aux++=has
marked ^vprf+++xvbnx+=marked
out ^rb+phrv+++=out
for ^in+ppvb+++=for
me ^pp1o+pp1+++=me
a ^at++++=a
course ^nn++++=course
beyond ^in++++=beyond
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
the ^ati++++=the
commonplace ^nn++++=commonplace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
wife ^nn++++=wife
must ^md+nec+++=must
learn ^vb+vprv+++=learn
to ^to+vcmp+++=to
accommodate ^nn+nom+++=accommodate.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
a ^at++++=a
brilliant ^jj+atrb+++=brilliant
