Sir ^npt++++=Sir
home ^nr++++=home
from ^in++++=from
a ^at++++=a
sitting ^jj+++xvbg+=sitting
of ^in++++=of
the ^ati++++=the
county ^nn++++=county
justices ^npt++++=justices,
, ^zz++++=EXTRAWORD
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
at ^in++++=at
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
on ^in++++=on
this ^dt+dem+++=this
midsummer ^nn+nom+++=midsummer
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
God ^np++++=God
sent ^vbd+++xvbn+=sent
this ^dt+dem+++=this
tragic ^jj+atrb+++=tragic
thing ^nn++++=thing
to ^to++++=to
meet ^vbi++++=meet
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
down ^rp++++=down
and ^cc++++=and
stood ^vpsv++agls+xvbn+=stood
under ^in++++=under
the ^ati++++=the
crossroads ^nn++++=crossroads
signboard ^nn+++??+=signboard
beside ^in+pl+++=beside
his ^pp$+pp3+++=his
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earth ^nn++++=earth
was ^vbd+bedz+vrb++=was
dry ^jj+pred+++=dry;
; ^zz++++=EXTRAWORD
in ^in++++=in
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dead ^jj+atrb+++=dead
grass ^nn++++=grass
and ^cc++++=and
the ^ati++++=the
dead ^nn++++=dead
leaves ^vbz++++=leaves
made ^vbd+++xvbn+=made
a ^at++++=a
sere ^nn+++??+=sere,
, ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=yellow
world ^nn++++=world.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
looked ^vbd+++xvbn+=looked
like ^in++++=like
a ^at++++=a
land ^nn++++=land
of ^in++++=of
unending ^jj+atrb+++=unending
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
breath ^nn++++=breath
of ^in++++=of
chill ^nn++++=chill
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
hollows ^nns++++=hollows
with ^in++++=with
the ^ati++++=the
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
would ^md+prd+++=would
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
oblivious ^jj++++=oblivious.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
father ^nn++++=father
went ^vbd+++xvbn+=went
down ^rp++++=down
into ^in++++=into
the ^ati++++=the
road ^nn++++=road
and ^cc++++=and
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
by ^in++++=by
the ^ati++++=the
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
who ^whp+wpr+whcl++=who
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spoke ^vpsv++agls+xvbn+=spoke
in ^in++++=in
the ^ati++++=the
dead ^jj+atrb+++=dead,
, ^zz++++=EXTRAWORD
uninflected ^jj+atrb++xvbn+=uninflected
voice ^nn++++=voice
of ^in++++=of
a ^at++++=a
person ^nn++++=person
in ^in++++=in
extremity ^nn+nom+++=extremity.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing
a ^at++++=a
lie ^nn++++=lie?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
child ^nn++++=child?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub+tht0+xvbn+=replied
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
thing ^nn++++=thing
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Dillworth?"
dillworth ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
Hambleton ^np+++??+=Hambleton
Dillworth ^np+++??+=Dillworth?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
put ^vbd+++xvbn+=put
out ^rb+phrv+++=out
her ^pp$+pp3+++=her
free ^jj+atrb+++=free
arm ^nn++++=arm
in ^in++++=in
a ^at++++=a
stiff ^jj++++=stiff,
, ^zz++++=EXTRAWORD
circling ^vbg+nom++xvbg+=circling
gesture ^nn++++=gesture.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
there ^rn+pl+++=there
any ^dti++++=any
other ^ap++++=other
man ^nn++++=man
who ^whp+rel+subj++=who
would ^md+prd+++=would
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father's
's ^$++++=EXTRAWORD
face ^nn++++=face
hardened ^vbd+++xvbn+=hardened
as ^cs+sub+++=as
if ^cs+cnd+++=if
of ^in++++=of
metal ^nn++++=metal.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
tell ^vb++++=tell
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
spoke ^vbd+++xvbn+=spoke
plainly ^rb+cnj+++=plainly,
, ^zz++++=EXTRAWORD
frankly ^rb+cnj+++=frankly,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
dead ^jj+atrb+++=dead
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
without ^in++++=without
equivocation ^nn+nom+++=equivocation,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
choice ^nn++++=choice
of ^in++++=of
words ^nns++++=words
to ^to++++=to
soften ^vbi++++=soften
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
father ^nn++++=father
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
dead ^jj++++=dead;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
the ^ati++++=the
daughter ^nn+nom+++=daughter
of ^in++++=of
a ^at++++=a
thief ^nn++++=thief;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
believed ^vbd+vprv++xvbnx+=believed
about ^in++++=about
my ^pp$+pp1+++=my
father ^nn++++=father
was ^vbd+bedz+aux++=was
all ^abn++++=all
made ^vwbn+++xvbn+=made
up ^rp++++=up
to ^to++++=to
save ^vbi++++=save
the ^ati++++=the
family ^nn++++=family
name ^nn++++=name;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
truth ^nn++++=truth
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
father ^npt++++=father
robbed ^vbd+++xvbn+=robbed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
stole ^j+++xvbn+=stole
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
horse ^nn++++=horse
and ^cc++++=and
left ^vbd+++xvbn+=left
the ^ati++++=the
country ^nn++++=country
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
baby ^nn++++=baby.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
burden ^nn++++=burden
on ^in++++=on
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
a ^at++++=a
pensioner ^nn+nom+++=pensioner,
, ^zz++++=EXTRAWORD
a ^at++++=a
drone ^nn++++=drone;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
go ^vbi++++=go
and ^cc+phrs+++=and
seek ^vb++++=seek
my ^pp$+pp1+++=my
father ^nn++++=father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
suddenly ^rb++++=suddenly
she ^pp3a+pp3+++=she
broke ^vbd+++xvbnx+=broke
into ^in+ppvb+++=into
a ^at++++=a
flood ^nn++++=flood
of ^in++++=of
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
my ^pp$+pp1+++=my
father ^nn++++=father's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
her ^pp$+pp3+++=her
up ^rp++++=up
in ^in++++=in
his ^pp$+pp3+++=his
big ^jj+atrb+++=big
arms ^nns++++=arms
and ^cc++++=and
got ^vpsv++agls+xvbn+=got
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
saddle ^nn++++=saddle.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
child ^nn++++=child,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
take ^vb++++=take
Hambleton ^np+++??+=Hambleton
Dillworth ^np+++??+=Dillworth
at ^in++++=at
his ^pp$+pp3+++=his
word ^nn++++=word."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
horse ^nn++++=horse
into ^in++++=into
the ^ati++++=the
lane ^nn++++=lane
toward ^in++++=toward
the ^ati++++=the
ancient ^jj+atrb+++=ancient
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
in ^in++++=in
my ^pp$+pp1+++=my
father ^nn++++=father's
's ^$++++=EXTRAWORD
arms ^nns++++=arms
made ^vbd+++xvbn+=made
no ^at++++=no
resistance ^nn+nom+++=resistance.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
dominating ^jj+atrb++xvbg+=dominating
quality ^nn+nom+++=quality
in ^in++++=in
the ^ati++++=the
man ^nn++++=man
that ^tht+rel+++=that
one ^cd1++++=one
trusted ^vb+++xvbn+=trusted
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
followed ^vbd+vprv++xvbn+=followed
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lay ^vbd+++xvbnx+=lay
in ^in++++=in
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tars ^nns+++??+=tars
wetting ^vwbg+++xvbg+=wetting
her ^pp$+pp3+++=her
white ^jj+atrb+++=white
face ^nn++++=face
and ^cc++++=and
the ^ati++++=the
long ^jj+atrb+++=long
lashes ^nns++++=lashes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon
came ^vbd+++xvbn+=came
up ^rp++++=up,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
golden ^jj+atrb+++=golden
moon ^np++++=moon,
, ^zz++++=EXTRAWORD
shouldered ^j+++xvbn+=shouldered
over ^in++++=over
the ^ati++++=the
rim ^nn++++=rim
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
by ^in++++=by
the ^ati++++=the
backs ^nns++++=backs
of ^in++++=of
the ^ati++++=the
crooked ^jj+atrb+++=crooked
elves ^nns++++=elves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horse ^nn++++=horse
and ^cc++++=and
the ^ati++++=the
two ^cd++++=two
persons ^nns++++=persons
made ^vbd+++xvbn+=made
a ^at++++=a
black ^nn++++=black,
, ^zz++++=EXTRAWORD
distorted ^jj+atrb++xvbn+=distorted
shadow ^nn++++=shadow
that ^tht+rel+subj++=that
jerked ^vbd+++xvbn+=jerked
along ^in++++=along
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
thing ^nn++++=thing
evil ^nn++++=evil
and ^cc++++=and
persistent ^jj++++=persistent.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
off ^rp+pl+++=off
in ^in++++=in
the ^ati++++=the
thickets ^nns+++??+=thickets
of ^in++++=of
the ^ati++++=the
hills ^nns++++=hills
an ^at++++=an
owl ^nn++++=owl
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
eerie ^jj++++=eerie
and ^cc+phrs+++=and
weird ^jj++++=weird
like ^in++++=like
a ^at++++=a
creature ^nn++++=creature
in ^in++++=in
some ^dti++++=some
bitter ^jj+atrb+++=bitter
sorrow ^nn++++=sorrow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lane ^nn++++=lane
was ^vbd+bedz+vrb++=was
deep ^jj+pred+++=deep
with ^in++++=with
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horse ^nn++++=horse
traveled ^vbd+++xvbn+=traveled
with ^in++++=with
no ^at++++=no
sound ^jj++++=sound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
distorted ^jj+++xvbn+=distorted
black ^np++++=black
shadow ^nn++++=shadow
followed ^vbd+vprv++xvbn+=followed,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
blotted ^vbd+++xvbn+=blotted
out ^rp+pl+++=out
by ^in++++=by
the ^ati++++=the
heavy ^jj+atrb+++=heavy
tree ^nn++++=tree
tops ^nns++++=tops,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
only ^rb+down+++=only
partly ^rb+down+++=partly
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
always ^rb++++=always
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^npt++++=father
got ^vbd+++xvbn+=got
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
carried ^vbd+++xvbn+=carried
the ^ati++++=the
girl ^nn++++=girl
up ^rp++++=up
the ^ati++++=the
steps ^nns++++=steps
and ^cc++++=and
between ^in++++=between
the ^ati++++=the
plaster ^nn+nom+++=plaster
pillars ^nns++++=pillars
into ^in++++=into
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
hall ^npl++++=hall
paneled ^vbd+++xvbn+=paneled
in ^in++++=in
white ^jj+atrb+++=white
wood ^nn++++=wood
and ^cc++++=and
with ^in++++=with
mahogany ^nn++++=mahogany
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
doors ^nns++++=doors
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
splendid ^jj++++=splendid
in ^in++++=in
some ^dti++++=some
ancient ^jj+atrb+++=ancient
time ^nn++++=time.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
big ^jj+pred+++=big;
; ^zz++++=EXTRAWORD
the ^ati++++=the
pieces ^nns++++=pieces
in ^in++++=in
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
exquisite ^nn++++=exquisite;
; ^zz++++=EXTRAWORD
great ^jj+atrb+++=great
mirrors ^nns++++=mirrors
and ^cc++++=and
old ^jj+atrb+++=old
portraits ^nns++++=portraits
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
sitting ^vwbg+++xvbg+=sitting
behind ^in+pl+++=behind
a ^at++++=a
table ^nn++++=table
got ^vbd+++xvbn+=got
up ^rp++++=up
when ^wrb+who+++=when
my ^pp$+pp1+++=my
father ^npt++++=father
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
tallow ^nn+++??+=tallow
candles ^nns++++=candles,
, ^zz++++=EXTRAWORD
in ^in++++=in
ancient ^jj+atrb+++=ancient
silver ^nn++++=silver
sticks ^nns++++=sticks,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
sheets ^nns++++=sheets
with ^in++++=with
figured ^xvbn+++xvbn+=figured
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
who ^whp+rel+subj++=who
got ^vbd+++xvbn+=got
up ^rp++++=up
was ^vbd+bedz+vrb++=was
like ^in++++=like
some ^dti++++=some
strange ^jj+atrb+++=strange
old ^jj+atrb+++=old
child ^nn++++=child.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
a ^at++++=a
number ^nn++++=number
of ^in++++=of
little ^ap++++=little
capes ^nns+++??+=capes
to ^to++++=to
hide ^vbi++++=hide
his ^pp$+pp3+++=his
humped ^vwbn+++xvbn+=humped
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
body ^nn++++=body,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
under ^in++++=under
his ^pp$+pp3+++=his
clothes ^nns++++=clothes
was ^vbd+bedz+aux++=was
strapped ^vpsv++agls+xvbnx+=strapped
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
got ^vbd+++xvbnx+=got
on ^in++++=on
his ^pp$+pp3+++=his
feet ^nns++++=feet
