Hands ^nns++++=HANDS,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
formed ^vprf+++xvbnx+=formed
something ^pn++++=something
like ^in++++=like
a ^at++++=a
friendship ^nn+nom+++=friendship.
. ^zz++++=EXTRAWORD
George ^np++++=George
Willard ^np+++??+=Willard
was ^vbd+bedz+vrb++=was
the ^ati++++=the
reporter ^nn+nom+++=reporter
on ^in++++=on
the ^ati++++=the
Winesburg ^np+++??+=Winesburg
Eagle ^nn++++=Eagle
and ^cc++++=and
sometimes ^rb++++=sometimes
in ^in++++=in
the ^ati++++=the
evenings ^nns++++=evenings
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
out ^rp+pl+++=out
along ^in++++=along
the ^ati++++=the
highway ^nn++++=highway
to ^in++++=to
Wing ^nn++++=Wing
Biddlebaum ^np++++=Biddlebaum's
's ^$++++=EXTRAWORD
house ^npl++++=house.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
as ^in++++=as
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
walked ^vbd+++xvbn+=walked
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
veranda ^nn++++=veranda,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
moving ^vwbg+++xvbg+=moving
nervously ^rb++++=nervously
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
hoping ^vbg+vprv++xvbgx+=hoping
that ^tht+vcmp+++=that
George ^np++++=George
Willard ^np+++??+=Willard
would ^md+prd+++=would
come ^vb++++=come
and ^cc+phrs+++=and
spend ^vb++++=spend
the ^ati++++=the
evening ^nn++++=evening
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
wagon ^nn++++=wagon
containing ^vwbg+++xvbg+=containing
the ^ati++++=the
berry ^nn++++=berry
pickers ^nns+nom+++=pickers
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
across ^in+pl+++=across
the ^ati++++=the
field ^nn++++=field
through ^in++++=through
the ^ati++++=the
tall ^jj+atrb+++=tall
mustard ^nn++++=mustard
weeds ^nns++++=weeds
and ^cc++++=and
climbing ^nvbg+++xvbg+=climbing
a ^at++++=a
rail ^nn++++=rail
fence ^nn++++=fence
peered ^vbd+++xvbn+=peered
anxiously ^rb++++=anxiously
along ^in++++=along
the ^ati++++=the
road ^nn++++=road
to ^in++++=to
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
rubbing ^vbg+++xvbg+=rubbing
his ^pp$+pp3+++=his
hands ^nns++++=hands
together ^nn+nom+++=together
and ^cc++++=and
looking ^vbg+++xvbg+=looking
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
fear ^nn++++=fear
overcoming ^vwbg+++xvbg+=overcoming
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
back ^jjb++++=back
to ^to++++=to
walk ^vbi++++=walk
again ^rb+tm+++=again
upon ^in++++=upon
the ^ati++++=the
porch ^nn++++=porch
on ^in++++=on
his ^pp$+pp3+++=his
own ^ap++++=own
house ^nn++++=house.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
George ^np++++=George
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
for ^in++++=for
twenty ^cd++++=twenty
years ^nns++++=years
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
town ^nn++++=town
mystery ^nn+nom+++=mystery,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
something ^pn++++=something
of ^in++++=of
his ^pp$+pp3+++=his
timidity ^nn+nom+++=timidity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
shadowy ^jj+atrb+++=shadowy
personality ^nn+nom+++=personality,
, ^zz++++=EXTRAWORD
submerged ^j+++xvbn+=submerged
in ^in++++=in
a ^at++++=a
sea ^nn++++=sea
of ^in++++=of
doubts ^nns++++=doubts,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
forth ^rp++++=forth
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
young ^jj+atrb+++=young
reporter ^nn+nom+++=reporter
at ^in++++=at
his ^pp$+pp3+++=his
side ^nn++++=side,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ventured ^vbd+++xvbnx+=ventured
in ^in+cmpx+++=in
the ^in"++++=the
light ^in"++++=light
of ^in"++++=of
day ^nn++++=day
into ^in++++=into
Main ^jjb+atrb+++=Main
Street ^nn++++=Street
or ^cc++++=or
strode ^vbd+++xvbn+=strode
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
rickety ^nn+++??+=rickety
front ^jjb+atrb+++=front
porch ^nn++++=porch
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
house ^nn++++=house,
, ^zz++++=EXTRAWORD
talking ^vbg+++xvbg+=talking
excitedly ^rb++++=excitedly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
low ^jj++++=low
and ^cc++++=and
trembling ^xvbg+++xvbg+=trembling
became ^vbd+++xvbn+=became
shrill ^jj++++=shrill
and ^cc+phrs+++=and
loud ^jj++++=loud.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bent ^jj+atrb++xvbn+=bent
figure ^nn++++=figure
straightened ^vbd+++xvbn+=straightened.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
wriggle ^vb++++=wriggle,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
fish ^nns++++=fish
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
brook ^nn++++=brook
by ^in++++=by
the ^ati++++=the
fisherman ^nn+nom+++=fisherman,
, ^zz++++=EXTRAWORD
Biddlebaum ^np+++??+=Biddlebaum
the ^ati++++=the
silent ^nn++++=silent
began ^vbd+++xvbn+=began
to ^to++++=to
talk ^vbi++++=talk,
, ^zz++++=EXTRAWORD
striving ^vbg+++xvbg+=striving
to ^to++++=to
put ^vbi++++=put
into ^in++++=into
words ^nns++++=words
the ^ati++++=the
ideas ^nns++++=ideas
that ^tht+ncmp+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
accumulated ^vpsv++by+xvbnx+=accumulated
by ^in++++=by
his ^pp$+pp3+++=his
mind ^nn++++=mind
during ^in++++=during
long ^jj+atrb+++=long
years ^nns++++=years
of ^in++++=of
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
talked ^vbd+++xvbn+=talked
much ^ap++++=much
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slender ^jj+atrb+++=slender
expressive ^jj+atrb+++=expressive
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
forever ^rb++++=forever
active ^jj++++=active,
, ^zz++++=EXTRAWORD
forever ^rb++++=forever
striving ^vbg+++xvbg+=striving
to ^to++++=to
conceal ^vbi++++=conceal
themselves ^ppls+pp3+++=themselves
in ^in++++=in
his ^pp$+pp3+++=his
pockets ^nns++++=pockets
or ^cc++++=or
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
forth ^rp++++=forth
and ^cc++++=and
became ^vbd+++xvbn+=became
the ^ati++++=the
piston ^nn++++=piston
rods ^nns++++=rods
of ^in++++=of
his ^pp$+pp3+++=his
machinery ^nn+nom+++=machinery
of ^in++++=of
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story
of ^in++++=of
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
is ^vbz+bez+vrb++=is
a ^at++++=a
story ^nn++++=story
of ^in++++=of
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
restless ^jj+atrb+++=restless
activity ^nn+nom+++=activity,
, ^zz++++=EXTRAWORD
like ^in++++=like
unto ^in++++=unto
the ^ati++++=the
beating ^jj+++xvbg+=beating
of ^in++++=of
the ^ati++++=the
wings ^nns++++=wings
of ^in++++=of
an ^at++++=an
imprisoned ^jj+atrb++xvbn+=imprisoned
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
him ^pp3o+pp3+++=him
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
obscure ^jj+atrb+++=obscure
poet ^nn++++=poet
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hands ^nns++++=hands
alarmed ^vbd+++xvbn+=alarmed
their ^pp$+pp3+++=their
owner ^nn++++=owner.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
keep ^vbi++++=keep
them ^pp3o+pp3+++=them
hidden ^vbd+++xvbn+=hidden
away ^rp+pl+++=away
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
with ^in++++=with
amazement ^nn+nom+++=amazement
at ^in++++=at
the ^ati++++=the
quiet ^nn++++=quiet
inexpressive ^jj+atrb+++=inexpressive
hands ^nns++++=hands
of ^in++++=of
other ^ap++++=other
men ^nns++++=men
who ^whp+rel+subj++=who
worked ^vbd+++xvbn+=worked
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
driving ^nvbg+++xvbg+=driving
sleepy ^jj+atrb+++=sleepy
teams ^nns++++=teams
on ^in++++=on
country ^nn++++=country
roads ^nns++++=roads.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
talked ^vbd+++xvbnx+=talked
to ^in++++=to
George ^np++++=George
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
closed ^vbd+++xvbn+=closed
his ^pp$+pp3+++=his
fists ^nns++++=fists
and ^cc++++=and
beat ^vpsv++agls+xvbn+=beat
with ^in++++=with
them ^pp3o+pp3+++=them
upon ^in++++=upon
a ^at++++=a
table ^nn++++=table
or ^cc++++=or
on ^in++++=on
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
his ^pp$+pp3+++=his
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
action ^nn++++=action
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
more ^rbr++++=more
comfortable ^jj++++=comfortable.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
desire ^nn++++=desire
to ^to+ncmp+++=to
talk ^vbi++++=talk
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
the ^ati++++=the
two ^cd++++=two
were ^vbd+bed+aux++=were
walking ^vbg+++xvbgx+=walking
in ^in++++=in
the ^ati++++=the
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sought ^vbd+++xvbnx+=sought
out ^rp+pl+++=out
a ^at++++=a
stump ^nn++++=stump
or ^cc++++=or
the ^ati++++=the
top ^jjb+atrb+++=top
board ^nn++++=board
of ^in++++=of
a ^at++++=a
fence ^nn++++=fence
and ^cc++++=and
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
pounding ^vwbg+++xvbg+=pounding
busily ^rb++++=busily
talked ^vbd+++xvbn+=talked
with ^in++++=with
renewed ^jj+atrb++xvbn+=renewed
ease ^nn++++=ease.
. ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story
of ^in++++=of
Wing ^nn++++=Wing
Biddlebaum ^np++++=Biddlebaum's
's ^$++++=EXTRAWORD
hands ^nns++++=hands
is ^vbz+bez+vrb++=is
worth ^in++++=worth
a ^at++++=a
book ^nn++++=book
in ^in++++=in
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
Sympathetically ^rb++++=Sympathetically
set ^xvbn+++xvbn+=set
forth ^rb+phrv+++=forth
it ^pp3+it+++=it
would ^md+prd+++=would
tap ^vb++++=tap
many ^ap++++=many
strange ^jj+atrb+++=strange,
, ^zz++++=EXTRAWORD
beautiful ^jj+atrb+++=beautiful
qualities ^nns+nom+++=qualities
in ^in++++=in
obscure ^jj+atrb+++=obscure
men ^nns++++=men.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
job ^nn++++=job
for ^in++++=for
a ^at++++=a
poet ^nn++++=poet.
. ^zz++++=EXTRAWORD
In ^in++++=In
Winesburg ^np+++??+=Winesburg
the ^ati++++=the
hands ^nns++++=hands
had ^vbd+hvd+aux++=had
attracted ^vprf+++xvbnx+=attracted
attention ^nn+nom+++=attention
merely ^rb+down+++=merely
because ^cs+cos+++=because
of ^in"++++=of
their ^pp$+pp3+++=their
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
With ^in++++=With
them ^pp3o+pp3+++=them
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
had ^vbd+hvd+aux++=had
picked ^vprf+++xvbnx+=picked
as ^ql++++=as
high ^np++++=high
as ^ql++++=as
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty
quarts ^nns+++??+=quarts
of ^in++++=of
strawberries ^nns++++=strawberries
in ^in++++=in
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
became ^vbd+++xvbnx+=became
his ^pp$+pp3+++=his
distinguishing ^jj+atrb++xvbg+=distinguishing
feature ^nn++++=feature,
, ^zz++++=EXTRAWORD
the ^ati++++=the
source ^nn++++=source
of ^in++++=of
his ^pp$+pp3+++=his
fame ^nn++++=fame.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
more ^rbr++++=more
grotesque ^jj++++=grotesque
an ^at++++=an
already ^rb++++=already
grotesque ^jj+atrb+++=grotesque
and ^cc+phrs+++=and
elusive ^jj+atrb+++=elusive
individuality ^nn+nom+++=individuality.
. ^zz++++=EXTRAWORD
Winesburg ^np+++??+=Winesburg
was ^vbd+bedz+vrb++=was
proud ^jj+pred+++=proud
of ^in++++=of
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
spirit ^nn++++=spirit
in ^in++++=in
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
proud ^jj+pred+++=proud
of ^in++++=of
Banker ^np+++??+=Banker
White ^np++++=White's
's ^$++++=EXTRAWORD
new ^jj+atrb+++=new
stone ^nn++++=stone
house ^npl++++=house
and ^cc++++=and
Wesley ^np++++=Wesley
Moyer ^np++++=Moyer's
's ^$++++=EXTRAWORD
bay ^npl++++=bay
stallion ^nn++++=stallion,
, ^zz++++=EXTRAWORD
Tony ^np++++=Tony
Tip ^nn++++=Tip,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
won ^vprf+++xvbnx+=won
the ^ati++++=the
two ^cd++++=two-fifteen
- ^zz++++=EXTRAWORD
fifteen ^cd++++=EXTRAWORD
trot ^nn++++=trot
at ^in++++=at
the ^ati++++=the
fall ^nn++++=fall
races ^nns++++=races
in ^in++++=in
Cleveland ^np+++??+=Cleveland.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
George ^np++++=George
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
many ^ap++++=many
times ^nns++++=times
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
ask ^vbi++++=ask
about ^in++++=about
the ^ati++++=the
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
At ^rb++++=At
times ^nns++++=times
an ^at++++=an
almost ^rb+hdg+++=almost
overwhelming ^jj+atrb+++=overwhelming
curiosity ^nn+nom+++=curiosity
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
hold ^nn++++=hold
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
there ^ex+pex+++=there
must ^md+nec+++=must
be ^vb+be+vrb++=be
a ^at++++=a
reason ^nn++++=reason
for ^in++++=for
their ^pp$+pp3+++=their
strange ^jj+atrb+++=strange
activity ^nn+nom+++=activity
and ^cc++++=and
their ^pp$+pp3+++=their
inclination ^nn+nom+++=inclination
to ^to+ncmp+++=to
keep ^vbi++++=keep
hidden ^vbd+++xvbn+=hidden
away ^rp+pl+++=away
and ^cc+phrs+++=and
only ^rb+down+++=only
a ^at++++=a
growing ^jj+atrb++xvbg+=growing
respect ^nn++++=respect
for ^in++++=for
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
kept ^vbd+++xvbn+=kept
him ^pp3o+pp3+++=him
from ^in++++=from
blurting ^xvbg+++xvbg+=blurting
out ^rp+pl+++=out
the ^ati++++=the
questions ^nns+nom+++=questions
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
often ^rb++++=often
in ^in++++=in
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
asking ^nn++++=asking.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
were ^vbd+bed+aux++=were
walking ^vbg+++xvbgx+=walking
in ^in++++=in
the ^ati++++=the
fields ^nns++++=fields
on ^in++++=on
a ^at++++=a
summer ^nn++++=summer
afternoon ^nn++++=afternoon
and ^cc++++=and
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
to ^to++++=to
sit ^vbi++++=sit
upon ^in++++=upon
a ^at++++=a
grassy ^jj+atrb+++=grassy
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
All ^abn++++=All
afternoon ^nn++++=afternoon
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
had ^vbd+hvd+aux++=had
talked ^vprf+++xvbnx+=talked
as ^ql++++=as
one ^cd1++++=one
inspired ^jj+++xvbn+=inspired.
. ^zz++++=EXTRAWORD
By ^in++++=By
a ^at++++=a
