Eastward ^rb++++=Eastward
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
many ^ap++++=many
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
thatched ^jj+atrb+++=thatched
cabin ^nn++++=cabin
of ^in++++=of
a ^at++++=a
widow ^nn++++=widow
named ^vbd+++xvbn+=named
Mary ^np++++=Mary
Ryan ^np+++??+=Ryan.
. ^zz++++=EXTRAWORD
Poor ^jj++++=Poor
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
widow ^nn++++=widow
in ^in++++=in
a ^at++++=a
land ^nn++++=land
of ^in++++=of
poverty ^nn++++=poverty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thatch ^nn++++=thatch
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
the ^ati++++=the
grey ^jj+atrb+++=grey
tint ^nn++++=tint
and ^cc++++=and
sunken ^jj+atrb+++=sunken
outlines ^nns++++=outlines,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
show ^nn+vprv+++=show
how ^wrb+who+whcl++=how
the ^ati++++=the
alternations ^nns+nom+++=alternations
of ^in++++=of
rain ^nn++++=rain
and ^cc++++=and
sun ^nn++++=sun
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told
upon ^in++++=upon
that ^dt+dem+++=that
perishable ^jj+atrb+++=perishable
shelter ^nn++++=shelter.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
whatever ^nn+nom+++=whatever
other ^ap++++=other
dangers ^nns+nom+++=dangers
threatened ^vbd+++xvbn+=threatened,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
one ^cd1++++=one
well ^rb++++=well
provided ^vwbn+vsua++xvbn+=provided
against ^in++++=against
by ^in++++=by
the ^ati++++=the
care ^nn++++=care
of ^in++++=of
other ^ap++++=other
times ^nns++++=times.
. ^zz++++=EXTRAWORD
Round ^in++++=Round
the ^ati++++=the
cabin ^nn++++=cabin
stood ^vbd+++xvbn+=stood
half ^abn++++=half
a ^at++++=a
dozen ^cd++++=dozen
mountain ^nn++++=mountain
ashes ^nns++++=ashes,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
rowans ^nn++++=rowans,
, ^zz++++=EXTRAWORD
inimical ^jj++++=inimical
to ^in++++=to
witches ^nns++++=witches,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
there ^ex+pex+++=there
called ^vbd+++xvbn+=called.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
worn ^xvbn+++xvbn+=worn
planks ^nns++++=planks
of ^in++++=of
the ^ati++++=the
door ^nn++++=door
were ^vbd+bed+aux++=were
nailed ^vpsv++agls+xvbnx+=nailed
two ^cd++++=two
horse ^nn++++=horse-shoes,
- ^zz++++=EXTRAWORD
shoes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
over ^in++++=over
the ^ati++++=the
lintel ^nn++++=lintel
and ^cc++++=and
spreading ^vbg+++xvbg+=spreading
along ^in++++=along
the ^ati++++=the
thatch ^nn++++=thatch,
, ^zz++++=EXTRAWORD
grew ^j+++xvbn+=grew,
, ^zz++++=EXTRAWORD
luxuriant ^nn+nom+++=luxuriant,
, ^zz++++=EXTRAWORD
patches ^nns++++=patches
of ^in++++=of
that ^dt+dem+++=that
ancient ^jj+atrb+++=ancient
cure ^nn++++=cure
for ^in++++=for
many ^ap++++=many
maladies ^nns+++??+=maladies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prophylactic ^jj++++=prophylactic
against ^in++++=against
the ^ati++++=the
machinations ^nns+nom+++=machinations
of ^in++++=of
the ^ati++++=the
evil ^nn++++=evil
one ^pn++++=one,
, ^zz++++=EXTRAWORD
the ^ati++++=the
house ^nn++++=house-leek.
- ^zz++++=EXTRAWORD
leek ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Descending ^vbg+++xvbg+=Descending
into ^in++++=into
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
chiaroscuro ^nn+++??+=chiaroscuro
of ^in++++=of
the ^ati++++=the
interior ^nn++++=interior,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
your ^pp$+pp2+++=your
eye ^nn++++=eye
grew ^vbd+++xvbn+=grew
sufficiently ^rb++++=sufficiently
accustomed ^vbd+++xvbn+=accustomed
to ^in++++=to
that ^dt+dem+++=that
dim ^jj+atrb+++=dim
light ^nn++++=light,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
discover ^nn+nom+++=discover,
, ^zz++++=EXTRAWORD
hanging ^vbg+++xvbg+=hanging
at ^rb++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
widow ^nn++++=widow's
's ^vbz+bez+vrb++0=EXTRAWORD
wooden ^jj++++=wooden-roofed
- ^zz++++=EXTRAWORD
roofed ^xvbn+++xvbn+=EXTRAWORD
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
beads ^nns++++=beads
and ^cc++++=and
a ^at++++=a
phial ^nn++++=phial
of ^in++++=of
holy ^jj+atrb+++=holy
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
certainly ^rb++++=certainly
were ^vbd+bed+vrb++=were
defences ^nns+nom+++=defences
and ^cc++++=and
bulwarks ^nns+++??+=bulwarks
against ^in++++=against
the ^ati++++=the
intrusion ^nn++++=intrusion
of ^in++++=of
that ^dt+dem+++=that
unearthly ^jj+atrb+++=unearthly
and ^cc+phrs+++=and
evil ^jj+atrb+++=evil
power ^nn++++=power,
, ^zz++++=EXTRAWORD
of ^in++++=of
whose ^whp+rel+pied++=whose
vicinity ^nn+nom+++=vicinity
this ^dt+dem+++=this
solitary ^jj+atrb+++=solitary
family ^nn++++=family
were ^vbd+bed+aux++=were
constantly ^rb++splt++=constantly
reminded ^vpsv++by+xvbnx+=reminded
by ^in++++=by
the ^ati++++=the
outline ^nn++++=outline
of ^in++++=of
Lisnavoura ^np+++??+=Lisnavoura,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
lonely ^jj++++=lonely
hillhaunt ^jj+++xvbn+=hillhaunt
of ^in++++=of
the ^ati++++=the
" ^zz++++="Good
good ^jj+atrb+++=EXTRAWORD
people ^nns++++=people,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
fairies ^nns++++=fairies
are ^vb+ber+aux++=are
called ^vpsv++agls+xvbnx+=called
euphemistically ^rb+cnj+++=euphemistically,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
strangely ^rb++++=strangely
dome ^nn++++=dome-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
summit ^nn++++=summit
rose ^vbd+++xvbn+=rose
not ^xnot++not++=not
half ^rb++++=half
a ^at++++=a
mile ^nn++++=mile
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
like ^in++++=like
an ^at++++=an
outwork ^nn+++??+=outwork
of ^in++++=of
the ^ati++++=the
long ^jj+atrb+++=long
line ^nn++++=line
of ^in++++=of
mountain ^nn++++=mountain
that ^tht+rel+subj++=that
sweeps ^vbz++++=sweeps
by ^in++++=by
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
fall ^nn++++=fall
of ^in++++=of
the ^ati++++=the
leaf ^nn++++=leaf,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
autumnal ^jj+atrb+++=autumnal
sunset ^nn++++=sunset
threw ^vbd+++xvbn+=threw
the ^ati++++=the
lengthening ^jj+atrb++xvbg+=lengthening
shadow ^nn++++=shadow
of ^in++++=of
haunted ^jj+++xvbn+=haunted
Lisnavoura ^np+++??+=Lisnavoura,
, ^zz++++=EXTRAWORD
close ^jj++++=close
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
solitary ^jj++++=solitary
little ^ap++++=little
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
undulating ^jj+atrb+++=undulating
slopes ^nns++++=slopes
and ^cc++++=and
sides ^nns++++=sides
of ^in++++=of
Slieveelim ^np+++??+=Slieveelim.
. ^zz++++=EXTRAWORD
The ^ati++++=The
birds ^nns++++=birds
were ^vbd+bed+aux++=were
singing ^vbg+++xvbgx+=singing
among ^in++++=among
the ^ati++++=the
branches ^nns++++=branches
in ^in++++=in
the ^ati++++=the
thinning ^jj+atrb+++=thinning
leaves ^nns++++=leaves
of ^in++++=of
the ^ati++++=the
melancholy ^jj+atrb+++=melancholy
ash ^nn++++=ash-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
at ^in++++=at
the ^ati++++=the
roadside ^nn++++=roadside
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
widow ^nn++++=widow's
's ^$++++=EXTRAWORD
three ^cd++++=three
younger ^jjr+atrb+++=younger
children ^nns++++=children
were ^vbd+bed+aux++=were
playing ^vbg+++xvbgx+=playing
on ^in+ppvb+++=on
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
voices ^nns++++=voices
mingled ^vbd+++xvbn+=mingled
with ^in++++=with
the ^ati++++=the
evening ^nn++++=evening
song ^nn++++=song
of ^in++++=of
the ^ati++++=the
birds ^nns++++=birds.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
elder ^jjr+atrb+++=elder
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
Nell ^np++++=Nell,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
" ^zz++++="within
within ^in++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
house ^nn++++=house,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^ql++++=as
their ^pp$+pp3+++=their
phrase ^nn++++=phrase
is ^vbz+bez+aux++=is,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
after ^in++++=after
the ^ati++++=the
boiling ^jj+++xvbg+=boiling
of ^in++++=of
the ^ati++++=the
potatoes ^nns++++=potatoes
for ^in++++=for
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
bog ^nn++++=bog,
, ^zz++++=EXTRAWORD
to ^to++++=to
carry ^vbi++++=carry
up ^rp++++=up
a ^at++++=a
hamper ^nn++++=hamper
of ^in++++=of
turf ^nn++++=turf
on ^rp++++=on
her ^pp3o+pp3+++=her
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
was ^vbd+bedz+vrb++=was
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
a ^at++++=a
charitable ^jj+atrb+++=charitable
custom ^nn++++=custom
and ^cc+cls+++=and
if ^cs+cnd+++=if
not ^xnot++not++=not
disused ^jj+++xvbn+=disused,
, ^zz++++=EXTRAWORD
long ^rb++++=long
may ^md+pos+++=may
it ^pp3+it+++=it
continue ^vb++++=continue
for ^in++++=for
the ^ati++++=the
wealthier ^jjr+atrb+++=wealthier
people ^nns++++=people
when ^wrb+who+++=when
cutting ^vbg+++xvbg+=cutting
their ^pp$+pp3+++=their
turf ^nn++++=turf
and ^cc++++=and
stacking ^vbg+++xvbg+=stacking
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
bog ^nn++++=bog,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
smaller ^jjr+atrb+++=smaller
stack ^nn++++=stack
for ^in++++=for
the ^ati++++=the
behoof ^nn+++??+=behoof
of ^in++++=of
the ^ati++++=the
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
welcome ^jj+pred+++=welcome
to ^to+jcmp+++=to
take ^vbi++++=take
from ^in++++=from
it ^pp3+it+++=it
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
it ^pp3+it+++=it
lasted ^vbd+++xvbn+=lasted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
the ^ati++++=the
potato ^nn++++=potato
pot ^nn++++=pot
was ^vbd+bedz+aux++=was
kept ^vpsv++agls+xvbnx+=kept
boiling ^nvbg+++xvbg+=boiling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hearth ^nn++++=hearth
warm ^jj++++=warm
that ^dt+pdem+++=that
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
cold ^jj++++=cold
enough ^qlp++++=enough
but ^in++++=but
for ^in"++++=for
that ^dt+dem+++=that
good ^jj++++=good-natured
- ^zz++++=EXTRAWORD
natured ^jj+atrb+++=EXTRAWORD
bounty ^nn++++=bounty,
, ^zz++++=EXTRAWORD
through ^in++++=through
wintry ^jj+atrb+++=wintry
months ^nns++++=months.
. ^zz++++=EXTRAWORD
Moll ^np+++??+=Moll
Ryan ^np+++??+=Ryan
trudged ^vbd+++xvbn+=trudged
up ^rp++++=up
the ^ati++++=the
steep ^jj++++=steep
" ^zz++++="bohereen"
bohereen ^vb+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
whose ^whp+who+++=whose
banks ^nns++++=banks
were ^vbd+bed+aux++=were
overgrown ^vpsv++agls+xvbnx+=overgrown
with ^in++++=with
thorn ^nn++++=thorn
and ^cc++++=and
brambles ^nns++++=brambles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stooping ^vbg+++xvbg+=stooping
under ^in++++=under
her ^pp$+pp3+++=her
burden ^nn++++=burden,
, ^zz++++=EXTRAWORD
re ^in++++=re-entered
- ^zz++++=EXTRAWORD
entered ^vbd+++xvbn+=EXTRAWORD
her ^pp$+pp3+++=her
door ^nn++++=door,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
her ^pp$+pp3+++=her
dark ^jj++++=dark-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
daughter ^nn+nom+++=daughter
Nell ^np++++=Nell
met ^vbd+++xvbn+=met
her ^pp$+pp3+++=her
with ^in++++=with
a ^at++++=a
welcome ^nn++++=welcome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
relieved ^vbd+++xvbn+=relieved
her ^pp$+pp3+++=her
of ^in++++=of
her ^pp$+pp3+++=her
hamper ^nn++++=hamper.
. ^zz++++=EXTRAWORD
Moll ^np+++??+=Moll
Ryan ^np+++??+=Ryan
looked ^vbd+++xvbn+=looked
round ^rb++++=round
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh
of ^in++++=of
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drying ^nvbg+++xvbg+=drying
her ^pp3o+pp3+++=her
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
uttered ^xvbn+++xvbn+=uttered
the ^ati++++=the
Munster ^np+nom++??+=Munster
ejaculation ^nn+nom+++=ejaculation:
: ^zz++++=EXTRAWORD
" ^zz++++="Eiah,
eiah ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
wisha ^nn+++??+=wisha!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
tired ^vpsv++agls+xvbnx+=tired
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
with ^in++++=with
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
God ^np++++=God
bless ^vb++++=bless
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
where ^wrb+who+++=where's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
craythurs ^nns+++??+=craythurs,
, ^zz++++=EXTRAWORD
Nell ^np++++=Nell?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Playin'
playin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
mother ^nn++++=mother;
; ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
and ^cc++++=and
you ^pp2+pp2+++=you
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
up ^rp++++=up?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No;
no ^at++++=EXTRAWORD
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
one ^cd1++++=one
before ^in++++=before
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
road ^nn++++=road,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
uneasily ^rb++++=uneasily;
; ^zz++++=EXTRAWORD
" ^zz++++="not
not ^xnot++not++=EXTRAWORD
a ^at++++=a
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
Nell ^np++++=Nell;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
why ^wrb+who+whq++=why
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
ye ^pp2+pp2+++=ye
keep ^vb++++=keep
an ^at++++=an
eye ^nn++++=eye
on ^in++++=on
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
the ^ati++++=the
haggard ^jj++++=haggard,
, ^zz++++=EXTRAWORD
playin ^nn+++??+=playin'
' ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
round ^nn++++=round
by ^in++++=by
the ^ati++++=the
back ^nn++++=back
of ^in++++0=o'
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
I ^pp1a+pp1+++=I
call ^nn++++=call
them ^pp3o+pp3+++=them
in ^in+strn+++=in?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
good ^jj+atrb+++=good
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
name ^nn++++=name
of ^in++++0=o'
God ^nn++++=God.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hens ^nns++++=hens
is ^vbz+bez+vrb++=is
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
home ^nr++++=home,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sun ^nn++++=sun
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
down ^rp++++=down
over ^in++++=over
Knockdoulah ^np+++??+=Knockdoulah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
out ^rp+pl+++=out
ran ^vbd+++xvbn+=ran
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
Nell ^np++++=Nell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
standing ^vbg+++xvbg+=standing
on ^in++++=on
the ^ati++++=the
