1 ^zz++++=1
dreaming ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
lips ^nns++++=lips
were ^vbd+bed+aux++=were
parted ^vpsv++agls+xvbnx+=parted
in ^in++++=in
a ^at++++=a
slight ^jj+atrb+++=slight
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
shoe ^nn++++=shoe
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
the ^ati++++=the
act ^nn++++=act
of ^in++++=of
removing ^xvbg+++xvbg+=removing
as ^ql++++=as
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
on ^in++++=on
his ^pp$+pp3+++=his
bed ^nn++++=bed
was ^vbd+bedz+aux++=was
poised ^vpsv++agls+xvbnx+=poised
in ^in++++=in
mid ^jjb++++=mid-air
- ^zz++++=EXTRAWORD
air ^nn++++=EXTRAWORD
above ^in+pl+++=above
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
for ^in++++=for
reverie ^nn++++=reverie
had ^vbd+hvd+aux++=had
overcome ^vprf+++xvbnx+=overcome
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
very ^ap+amp+++=very
midst ^nn++++=midst
of ^in++++=of
preparations ^nns+nom+++=preparations
for ^in++++=for
an ^at++++=an
evening ^nn++++=evening
call ^nn++++=call.
. ^zz++++=EXTRAWORD
The ^ati++++=The
object ^nn++++=object
of ^in++++=of
his ^pp$+pp3+++=his
pensive ^jj+atrb+++=pensive
musings ^nns++++=musings
was ^vbd+bedz+vrb++=was
at ^rb++++=at
that ^dt+dem+++=that
moment ^nn++++=moment
eating ^vwbg+++xvbg+=eating
her ^pp3o+pp3+++=her
evening ^nn++++=evening
meal ^nn++++=meal
some ^dti++++=some
blocks ^nns++++=blocks
away ^rp+pl+++=away
in ^in++++=in
the ^ati++++=the
home ^nr++++=home
of ^in++++=of
her ^pp$+pp3+++=her
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
Fondly ^np+++??+=Fondly,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^cs+sub+++=that
inward ^jjb+atrb+++=inward
eye ^nn++++=eye
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
alleged ^vpsv++agls+xvbnx+=alleged
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
bliss ^nn++++=bliss
of ^in++++=of
solitude ^nn++++=solitude,
, ^zz++++=EXTRAWORD
Chester ^np+nom+++=Chester
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
been ^vprf+ben+vrb+xvbnx+=been
lately ^rb+tm+++=lately
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
bring ^vb++++=bring
himself ^ppl+pp3+++=himself
to ^to++++=to
admit ^vbi+vpub+++=admit
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
ate ^vbd+++xvbnx+=ate
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
dainty ^jj++++=dainty,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
ethereal ^jj++++=ethereal.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb++++=yet
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
course ^nn++++=course
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
taking ^vbg+++xvbgx+=taking
in ^rb+phrv+++=in
physiology ^nn++++=physiology,
, ^zz++++=EXTRAWORD
told ^j+++xvbn+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
even ^rb++++=even
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
sometimes ^rb++splt++=sometimes
give ^vb++++=give
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
unworthy ^jj+atrb+++=unworthy
promptings ^nns++++=promptings
of ^in++++=of
necessity ^nn+nom+++=necessity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eat ^vb++++=eat.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
she ^pp3a+pp3+++=she
should ^md+nec+++=should
eat ^vb++++=eat
as ^in++++=as
ordinary ^jj+atrb+++=ordinary
mortals ^nns+nom+++=mortals
do ^vb+do+aux++=do,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
unthinkable ^jj+pred+++=unthinkable.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
that ^tht+rel+obj++=that
Chester ^np+nom+++=Chester,
, ^zz++++=EXTRAWORD
in ^in++++=in
reverie ^nn++++=reverie,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
permitted ^vprf+++xvbnx+=permitted
her ^pp$+pp3+++=her
a ^at++++=a
slight ^jj+atrb+++=slight
refection ^nn+nom+++=refection.
. ^zz++++=EXTRAWORD
The ^ati++++=The
menu ^nn++++=menu
of ^in++++=of
her ^pp$+pp3+++=her
meals ^nns++++=meals
never ^rb++++=never
varied ^jj+++xvbn+=varied.
. ^zz++++=EXTRAWORD
To ^to++++=To-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
on ^in++++=on
other ^ap++++=other
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
watercress ^nns+nom+++=watercress
salad ^nn++++=salad,
, ^zz++++=EXTRAWORD
a ^at++++=a
mere ^jjb+atrb+++=mere
nibble ^nn++++=nibble
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
a ^at++++=a
delicate ^jj+atrb+++=delicate
dab ^nn+++??+=dab
of ^in++++=of
ice ^nn++++=ice-cream,
- ^zz++++=EXTRAWORD
cream ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
bigger ^nn++++=bigger
than ^in++++=than
a ^at++++=a
thimble ^nn+++??+=thimble;
; ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
cup ^nn++++=cup
of ^in++++=of
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
a ^at++++=a
lady ^npt++++=lady-finger.
- ^zz++++=EXTRAWORD
finger ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
lady ^npt++++=lady-finger
- ^zz++++=EXTRAWORD
finger ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
concession ^nn++++=concession.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
occasion ^nn++++=occasion
of ^in++++=of
his ^pp$+pp3+++=his
last ^rb++++=last
call ^vb++++=call,
, ^zz++++=EXTRAWORD
Mildred ^np+++??+=Mildred
had ^vbd+hvd+aux++=had
confessed ^vprf+++xvbnx+=confessed
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
die ^vb++++=die
eating ^vbg+++xvbg+=eating
lady ^npt++++=lady-fingers.
- ^zz++++=EXTRAWORD
fingers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
later ^rbr+tm+++=later
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
she ^pp3a+pp3+++=she
might ^md+pos+++=might
have ^vb+hv+vrb++=have
a ^at++++=a
candy ^nn++++=candy
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
candy ^nn++++=candy
can ^md+pos+++=can
hardly ^rb+down+++=hardly
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
food ^nn++++=food.
. ^zz++++=EXTRAWORD
A ^at++++=A
mundane ^jj+atrb+++=mundane
clatter ^nn++++=clatter
of ^in++++=of
dishes ^nns++++=dishes
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen
below ^in+pl+++=below
caused ^xvbn+++xvbn+=caused
Chester ^np+nom+++=Chester
to ^to++++=to
start ^vbi++++=start
from ^in++++=from
his ^pp$+pp3+++=his
dream ^nn++++=dream,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drop ^vb++++=drop
the ^ati++++=the
shoe ^nn++++=shoe.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leaped ^vbd+++xvbnx+=leaped
up ^rp++++=up
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
make ^vbi++++=make
elaborate ^jj+atrb+++=elaborate
and ^cc+phrs+++=and
excited ^jj+atrb++xvbn+=excited
preparations ^nns+nom+++=preparations
for ^in++++=for
dressing ^xvbg+++xvbg+=dressing.
. ^zz++++=EXTRAWORD
From ^in++++=From
an ^at++++=an
ancient ^jj+atrb+++=ancient,
, ^zz++++=EXTRAWORD
battered ^jj+atrb++xvbn+=battered
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers
he ^pp3a+pp3+++=he
carefully ^rb++++=carefully
took ^vbd+++xvbn+=took
a ^at++++=a
tissue ^nn++++=tissue-paper
- ^zz++++=EXTRAWORD
paper ^nn++++=EXTRAWORD
package ^nn+nom+++=package
containing ^vwbg+++xvbg+=containing
a ^at++++=a
Union ^nn++++=Union
Forever ^rb++++=Forever
Suit ^nn++++=Suit,
, ^zz++++=EXTRAWORD
whose ^whp+rel+subj++=whose
label ^vb++++=label
proclaimed ^vbd+++xvbn+=proclaimed
that ^tht+vcmp+++=that
" ^zz++++="From
from ^in++++=EXTRAWORD
Factory ^nn++++=Factory
to ^in++++=to
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
No ^at++++=No
Human ^jj+atrb+++=Human
Hand ^nn++++=Hand
Touches ^nns++++=Touches
It ^pp3+it+++=It."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
brow ^nn++++=brow
puckered ^vbd+++xvbn+=puckered
in ^in++++=in
abstract ^jj+atrb+++=abstract
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
Chester ^np+nom+++=Chester
broke ^vbd+++xvbn+=broke
the ^ati++++=the
seal ^nn++++=seal
and ^cc++++=and
laid ^vbd+++xvbn+=laid
the ^ati++++=the
crisp ^jj+atrb+++=crisp,
, ^zz++++=EXTRAWORD
immaculate ^jj+atrb+++=immaculate
garment ^nn+nom+++=garment
on ^in++++=on
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
With ^in++++=With
intense ^jj+atrb+++=intense
seriousness ^nns+nom+++=seriousness,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
it ^pp3+it+++=it
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment;
; ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
it ^pp3+it+++=it
passed ^vbd+++xvbn+=passed
his ^pp$+pp3+++=his
searching ^jj+atrb++xvbg+=searching
examination ^nn+nom+++=examination,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
again ^rb+tm+++=again
to ^in++++=to
the ^ati++++=the
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers
and ^cc++++=and
drew ^vbd+++xvbn+=drew
forth ^rp++++=forth
a ^at++++=a
smaller ^jjr+atrb+++=smaller
package ^nn+nom+++=package,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
extracted ^vbd+++xvbnx+=extracted
new ^jj+atrb+++=new
socks ^nns++++=socks
of ^in++++=of
lustrous ^jj+atrb+++=lustrous
blue ^nn++++=blue.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
he ^pp3a+pp3+++=he
placed ^vbd+++xvbnx+=placed
on ^in++++=on
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
From ^in++++=From
beneath ^in+pl+++=beneath
the ^ati++++=the
bed ^nn++++=bed
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
low ^jj+atrb+++=low
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
gleamed ^vbd+++xvbn+=gleamed
in ^in++++=in
the ^ati++++=the
gaslight ^nn+++??+=gaslight
from ^in++++=from
arduous ^jj+atrb+++=arduous
polishing ^nvbg+++xvbg+=polishing.
. ^zz++++=EXTRAWORD
On ^in++++=On
their ^pp$+pp3+++=their
toes ^nns++++=toes,
, ^zz++++=EXTRAWORD
fanciful ^np+nom+++=fanciful
artisans ^nns+nom+++=artisans
had ^vbd+hvd+aux++=had
pricked ^vprf+++xvbnx+=pricked
curves ^nns++++=curves
and ^cc++++=and
loops ^nns++++=loops
and ^cc++++=and
butterfly ^nn++++=butterfly
designs ^nns++++=designs.
. ^zz++++=EXTRAWORD
Chester ^np+nom+++=Chester
gave ^vbd+++xvbn+=gave
them ^pp3o+pp3+++=them
a ^ap++++=a
few ^ap"++++=few
final ^jj+atrb+++=final
rubs ^nns+++??+=rubs
with ^in++++=with
the ^ati++++=the
shirt ^nn++++=shirt
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
discarded ^vprf+++xvbnx+=discarded
and ^cc+phrs+++=and
placed ^vwbn+++xvbn+=placed
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
point ^nn++++=point
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
hiatus ^nn++++=hiatus
in ^in++++=in
the ^ati++++=the
wardrobe ^nn++++=wardrobe.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
hall ^nn++++=hall
and ^cc++++=and
shouted ^vpsv++agls+xvbn+=shouted
down ^in++++=down
the ^ati++++=the
back ^jjb+atrb+++=back
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ma ^npt++++=Ma.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Ma ^npt++++=Ma!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
from ^in++++=from
the ^ati++++=the
regions ^nns++++=regions
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
my ^pp$+pp1+++=my
trousers ^nns+nom+++=trousers
pressed ^vbd+++xvbn+=pressed
yet ^cc++++=yet?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
goodness ^nns+nom+++=goodness,
, ^zz++++=EXTRAWORD
Chester ^np+nom+++=Chester,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
'd ^md+prd+vrb++=had
time ^nn++++=time
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
a ^rb++++=a
little ^rb"++++=little
after ^in++++=after
six ^cd++++=six.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
come ^vprf+++xvbn+=come
down ^rp++++=down
and ^cc++++=and
eat ^vb++++=eat
some ^dti++++=some
supper ^nn++++=supper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
any ^dti++++=any
supper ^nn++++=supper,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
protested ^vbd+vpub++xvbn+=protested
Chester ^np+nom+++=Chester.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
apple ^nn++++=apple
pudding ^nn++++=pudding
with ^in++++=with
cream ^nn++++=cream,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
announced ^vbd+vpub++xvbnx+=announced.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Chester ^np+nom+++=Chester,
, ^zz++++=EXTRAWORD
reluctantly ^rb+cnj+++=reluctantly,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++0=I'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
dish ^nn++++=dish
of ^in++++=of
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
back ^jjb+atrb+++=back
stairs ^nns++++=stairs?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
dressed ^vbd+++xvbn+=dressed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
plenty ^nn++++=plenty
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
an ^at++++=an
evening ^nn++++=evening
call ^vb++++=call
before ^in++++=before
eight ^cd++++=eight-fifteen
- ^zz++++=EXTRAWORD
fifteen ^cd++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
very ^ql+amp+++=very
earliest ^jjt++++=earliest,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jessup ^np++++=Jessup.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
After ^cs+sub+++=After
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
disposed ^vprf+++xvbnx+=disposed
of ^in+ppvb+++=of
two ^cd++++=two
helpings ^nns++++=helpings
of ^in++++=of
apple ^nn++++=apple
pudding ^nn++++=pudding,
, ^zz++++=EXTRAWORD
Chester ^np+nom+++=Chester
returned ^vbd+++xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
room ^nn++++=room
and ^cc++++=and
spent ^vbd+++xvbn+=spent
some ^dti++++=some
moments ^nns+nom+++=moments
analyzing ^vwbg+++xvbg+=analyzing
the ^ati++++=the
comparative ^jj+atrb+++=comparative
merits ^nns++++=merits
of ^in++++=of
a ^at++++=a
dozen ^cd++++=dozen
neckties ^nns+++??+=neckties
hanging ^vwbg+++xvbg+=hanging
in ^in++++=in
an ^at++++=an
imitation ^nn+nom+++=imitation
brass ^nn++++=brass
stirrup ^nn++++=stirrup.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
eliminated ^vprf+++xvbnx+=eliminated
all ^abn++++=all
but ^cc++++=but
two ^cd++++=two,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj+atrb+++=black
one ^cd1++++=one
and ^cc++++=and
a ^at++++=a
red ^jj+atrb+++=red
one ^pn++++=one,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
floated ^vbd+++xvbn+=floated
up ^rp++++=up
the ^ati++++=the
back ^jjb+atrb+++=back
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
goodness ^nns+nom+++=goodness'
' ^zz++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
Chester ^np+nom+++=Chester,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
be ^vb+be+vrb++=be
careful ^jj+pred+++=careful
of ^in++++=of
that ^dt+dem+++=that
bathtub ^nn+++??+=bathtub.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
running ^vbg+++xvbgx+=running
over ^rb+phrv+++=over
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
times ^nns++++=times
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
tell ^vb++++=tell
you ^pp2+pp2+++=you
to ^to++++=to
watch ^vbi++++=watch
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Chester ^np+nom+++=Chester
bounded ^vwbn+++xvbn+=bounded
to ^in++++=to
the ^ati++++=the
bathroom ^nn++++=bathroom
and ^cc++++=and
shut ^vpsv++agls+xvbn+=shut
off ^rb+phrv+++=off
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
started ^j+++xvbn+=started
to ^to++++=to
overflow ^vbi++++=overflow
the ^ati++++=the
tub ^nn++++=tub,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Chester ^np+nom+++=Chester,
, ^zz++++=EXTRAWORD
accepting ^jj+++xvbg+=accepting
the ^ati++++=the
Archimedian ^np+++??+=Archimedian
principle ^nn++++=principle
without ^in++++=without
ever ^rb++++=ever
having ^xvbg+++xvbg+=having
heard ^vprf+++xvbn+=heard
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
perceived ^vpbn+vprv++xvbn+=perceived
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
let ^vb+++xvbn+=let
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
water ^nn++++=water
out ^rp+pl+++=out
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
put ^vb+++xvbn+=put
himself ^ppl+pp3+++=himself
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Accordingly ^rb++++=Accordingly
he ^pp3a+pp3+++=he
pulled ^vbd+++xvbnx+=pulled
out ^rp+pl+++=out
the ^ati++++=the
plug ^nn++++=plug
and ^cc++++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
room ^nn++++=room
to ^to++++=to
wait ^vbi++++=wait
for ^in++++=for
a ^rb++++=a
little ^rb"++++=little
of ^in++++=of
the ^ati++++=the
water ^nn++++=water
to ^to++++=to
run ^vbi++++=run
off ^rb+phrv+++=off.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
the ^ati++++=the
most ^ap+emph+++=most
of ^in++++=of
this ^dt+dem+++=this
idle ^jj+atrb+++=idle
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Throwing ^vbg+++xvbg+=Throwing
off ^rb+phrv+++=off
