They ^pp3a+pp3+++=They
to ^to++++=to
play ^vbi++++=play
and ^cc++++=and
only ^rb+down+++=only
one ^cd1++++=one
imperatively ^jj++++=imperatively
important ^jj++++=important
to ^to+jcmp+++=to
win ^vbi++++=win!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
baseball ^nn++++=baseball
is ^vbz+bez+vrb++=is
uncertain ^jj+pred+++=uncertain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
until ^cs+sub+++=until
the ^ati++++=the
Philadelphians ^np+++??+=Philadelphians
won ^vbd+++xvbn+=won
that ^dt+dem+++=that
game ^nn++++=game
they ^pp3a+pp3+++=they
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
band ^nn++++=band
of ^in++++=of
fiends ^nns+++??+=fiends.
. ^zz++++=EXTRAWORD
` ^zz++++=``Well,
` ^zz++++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Whit ^np+++??+=Whit,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
you ^pp2+pp2+++=you
break ^vb++++=break
in, ^nn+++??+=in,''
'' ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
` ^zz++++=``Now,
` ^zz++++=EXTRAWORD
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
tip ^nn++++=tip
us ^pp1o+pp1+++=us
straight ^rb++++=straight.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
week ^nn++++=week's
's ^$++++=EXTRAWORD
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How's
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+dem+++=that
arm? ^nn+++??+=arm?''
'' ^nn+++??+=EXTRAWORD
` ^zz++++=``Grand,
` ^zz++++=EXTRAWORD
grand ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Con ^np++++=Con,
, ^zz++++=EXTRAWORD
grand! ^nn+++??+=grand!''
'' ^nn+++??+=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
Rube ^np+++??+=Rube
with ^in++++=with
his ^pp$+pp3+++=his
frank ^np++++=frank
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
` ^zz++++=``I
` ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
anxious ^jj++++=anxious
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
warmed ^vbd+++xvbnx+=warmed
up ^rp++++=up.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
say ^vb+vpub+++=say!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
more ^rbr++++=more
up ^rp++++=up
my ^pp$+pp1+++=my
sleeve ^nn++++=sleeve
today ^nr+tm+++=today
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
ever ^rb++++=ever
had. ^nn+++??+=had.''
'' ^nn+++??+=EXTRAWORD
` ^zz++++=``That'll
` ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
for ^in++++=for
me, ^nn+++??+=me,''
'' ^nn+++??+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Morrisey ^np+++??+=Morrisey,
, ^zz++++=EXTRAWORD
rubbing ^vbg+++xvbg+=rubbing
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
` ^zz++++=``I'll
` ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
spring ^vb++++=spring
something ^pn++++=something
on ^in++++=on
these ^dt+dem+++=these
swelled ^jj+++xvbn+=swelled
Quakers ^nns+nom++??+=Quakers
today ^nr+tm+++=today.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
Connelly ^np+++??+=Connelly,
, ^zz++++=EXTRAWORD
give ^vb++++=give
Hurtle ^np+++??+=Hurtle
one ^pn++++=one
of ^in++++=of
your ^pp$+pp2+++=your
old ^jj+atrb+++=old
talks ^nns++++=talks--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
last ^ap++++=last
one ^pn++++=one--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
then ^rn+tm+++=then
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
ring ^vb++++=ring
the ^ati++++=the
gong. ^nn+++??+=gong.''
'' ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
added ^vbd+vpub++xvbnx+=added
some ^dti++++=some
words ^nns++++=words
of ^in++++=of
encouragement ^nn+nom+++=encouragement,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
forgetting ^vbg+vprv++xvbg+=forgetting
my ^pp$+pp1+++=my
old ^jj+atrb+++=old
ruse ^nn++++=ruse
to ^to++++=to
incite ^vbi++++=incite
the ^ati++++=the
Rube ^np+++??+=Rube
by ^in++++=by
rousing ^xvbg+++xvbg+=rousing
his ^pp$+pp3+++=his
temper ^nn++++=temper.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
gong ^nn++++=gong
rang ^vbd+++xvbn+=rang
and ^cc++++=and
the ^ati++++=the
Rube ^np+++??+=Rube
was ^vbd+bedz+aux++=was
departing ^vbg+++xvbgx+=departing,
, ^zz++++=EXTRAWORD
Nan ^np++++=Nan
stepped ^vbd+++xvbn+=stepped
forward ^rb++++=forward
for ^in++++=for
her ^pp3o+pp3+++=her
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
white ^jj++++=white
under ^in++++=under
the ^ati++++=the
tan ^nn++++=tan
on ^rp++++=on
her ^pp3o+pp3+++=her
cheek ^nn++++=cheek,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
had ^vb+hv+vrb++=had
a ^at++++=a
darkling ^nn+nom+++=darkling
flash ^nn++++=flash.
. ^zz++++=EXTRAWORD
` ^zz++++=``Whit,
` ^zz++++=EXTRAWORD
whit ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
magnificent ^jj+atrb+++=magnificent
sight ^nn++++=sight--that
-- ^--+clp+++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
beautiful ^jj+atrb+++=beautiful
green ^jj+atrb+++=green
field ^nn++++=field
and ^cc++++=and
the ^ati++++=the
stands ^nn++++=stands.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
crowd ^nn++++=crowd
of ^in++++=of
fans ^nns++++=fans!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
real ^jj+atrb+++=real
baseball ^nn++++=baseball
crowd ^nn++++=crowd
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
twenty ^cd++++=twenty
thousand ^cd++++=thousand
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
difference ^nn+nom+++=difference
in ^in++++=in
the ^ati++++=the
feeling ^nvbg+++xvbg+=feeling.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
sharper ^jjr++++=sharper
-- ^--+clp+++=--new
new ^jj++++=EXTRAWORD
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
big ^jj+atrb+++=big
league ^nn++++=league
baseball ^nn++++=baseball.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
soul ^nn++++=soul
in ^cs+sub+++=in
that ^cs"++++=that
crowd ^nn++++=crowd
ever ^rb++++=ever
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
tomorrow ^nr+tm+++=tomorrow
the ^ati++++=the
whole ^jj+atrb+++=whole
baseball ^nn++++=baseball
world ^nn++++=world
will ^md+prd+++=will
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
of ^in++++=of
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Morrisey ^np++++=Morrisey
knows ^vbz+vprv+++=knows.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
in ^in++++=in
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Spears ^nns++++=Spears
knows ^vbz+vprv+++=knows.
. ^zz++++=EXTRAWORD
Connie ^np+++??+=Connie
knows ^vbz+vprv+++=knows.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know. ^nn+++??+=know.''
'' ^nn+++??+=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
lifted ^vbd+++xvbnx+=lifted
her ^pp3o+pp3+++=her
face ^nn++++=face
and ^cc++++=and,
, ^zz++++=EXTRAWORD
pulling ^jj+++xvbg+=pulling
him ^pp3o+pp3+++=him
down ^rp++++=down
within ^in++++=within
reach ^nn++++=reach,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
kissed ^vbd+++xvbnx+=kissed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Nan ^np++++=Nan
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
work ^nn++++=work
in ^in++++=in
dead ^jj+atrb+++=dead
earnest ^nn++++=earnest;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
gloried ^vbd+++xvbnx+=gloried
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
as ^ql++++=as
much ^ap++++=much
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
making ^xvbg+++xvbg+=making
him ^pp3o+pp3+++=him
a ^at++++=a
great ^jj+atrb+++=great
pitcher ^nn++++=pitcher
as ^in++++=as
any ^dti++++=any
of ^in++++=of
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Rube ^np+++??+=Rube
left ^vbd+++xvbn+=left
the ^ati++++=the
box ^nn++++=box,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
seat ^nn++++=seat
between ^in++++=between
Nan ^np++++=Nan
and ^cc++++=and
Milly ^np+++??+=Milly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
field ^nn++++=field
was ^vbd+bedz+vrb++=was
a ^at++++=a
splendid ^jj+atrb+++=splendid
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
bleachers ^nns+nom+++=bleachers
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
glow ^nn++++=glow
with ^in++++=with
managerial ^jj+atrb+++=managerial
satisfaction ^nn+nom+++=satisfaction.
. ^zz++++=EXTRAWORD
