When ^wrb+who+++=WHEN,
hearing ^xvbg+++xvbg+=hearing.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
propose ^vb++++=propose
to ^to++++=to
write ^vbi++++=write
my ^pp$+pp1+++=my
memoirs ^nns++++=memoirs
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
time ^nn++++=time
to ^to++++=to
forget ^vbi+vprv+++=forget,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+dem+++=that
having ^vbg+hvg++xvbg+=having
the ^ati++++=the
truth ^nn++++=truth
before ^cs+sub+++=before
me ^pp1o+pp1+++=me
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++++=never
in ^in++++=in
time ^nn++++=time
to ^to++++=to
come ^vbi++++=come
be ^vb+be+vrb++=be
able ^jj+pred+++=able,
, ^zz++++=EXTRAWORD
consciously ^rb++++=consciously
or ^cc+phrs+++=or
unconsciously ^rb+cnj+++=unconsciously,
, ^zz++++=EXTRAWORD
to ^in++++=to
tell ^vbi++++=tell
lies ^nns++++=lies
about ^in++++=about
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
At ^rb++++=At
present ^vb++++=present
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
time ^nn++++=time
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
complete ^jj+atrb+++=complete
account ^nn++++=account
of ^in++++=of
that ^dt+dem+++=that
decisive ^jj+atrb+++=decisive
period ^nn++++=period
in ^in++++=in
my ^pp$+pp1+++=my
history ^nn++++=history.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
content ^vb++++=content
myself ^ppl+pp1+++=myself
therefore ^rb+cnj+++=therefore
with ^in++++=with
describing ^xvbg+++xvbg+=describing
a ^at++++=a
single ^jj+atrb+++=single
incident ^nn++++=incident
of ^in++++=of
my ^pp$+pp1+++=my
undergraduate ^nn+nom+++=undergraduate
days ^nns++++=days.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
selected ^vprf+++xvbnx+=selected
this ^dt+dem+++=this
one ^cd1++++=one
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
curious ^jj+pred+++=curious
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
wholly ^rb++++=wholly
characteristic ^jj++++=characteristic
of ^in++++=of
Oxford ^np++++=Oxford
life ^nn++++=life
before ^in++++=before
the ^ati++++=the
war ^nn++++=war.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
friend ^nn++++=friend
Lykeham ^np+++??+=Lykeham
was ^vbd+bedz+vrb++=was
an ^at++++=an
Exhibitioner ^np+nom++??+=Exhibitioner
at ^in++++=at
Swellfoot ^np+++??+=Swellfoot
College ^nn++++=College.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
combined ^vbd+++xvbnx+=combined
blood ^nn++++=blood
( ^zz++++=(he
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
immensely ^rb++++=immensely
proud ^jj+pred+++=proud
of ^in++++=of
his ^pp$+pp3+++=his
Anglo ^np+++??+=Anglo-Saxon
- ^zz++++=EXTRAWORD
saxon ^jj+atrb+++=EXTRAWORD
descent ^nn++++=descent
and ^cc++++=and
the ^ati++++=the
derivation ^nn+nom+++=derivation
of ^in++++=of
his ^pp$+pp3+++=his
name ^nn++++=name
from ^in++++=from
Old ^jj+atrb+++=Old
English ^jj+atrb+++=English
lycam ^nn+++??+=lycam,
, ^zz++++=EXTRAWORD
a ^at++++=a
corpse ^nn++++=corpse)
) ^zz++++=EXTRAWORD
with ^in++++=with
brains ^nns++++=brains.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
tastes ^nns++++=tastes
were ^vbd+bed+vrb++=were
eccentric ^jj+pred+++=eccentric,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
habits ^nns++++=habits
deplorable ^jj++++=deplorable,
, ^zz++++=EXTRAWORD
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
his ^pp$+pp3+++=his
information ^nn+nom+++=information
immense ^jj++++=immense.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
say ^vb+vpub+++=say
no ^at++++=no
more ^rbr++++=more
about ^in++++=about
his ^pp$+pp3+++=his
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
To ^to++++=To
proceed ^vbi++++=proceed
with ^in++++=with
my ^pp$+pp1+++=my
anecdote ^nn++++=anecdote:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
one ^cd1++++=one
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
custom ^nn++++=custom,
, ^zz++++=EXTRAWORD
to ^to++++=to
visit ^vbi++++=visit
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
rooms ^nns++++=rooms
at ^in++++=at
Swellfoot ^np+++??+=Swellfoot.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
after ^cs+sub+++=after
nine ^cd++++=nine
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
mounted ^vbd+++xvbnx+=mounted
the ^ati++++=the
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
great ^jj+atrb+++=great
Tom ^np++++=Tom
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
tolling ^nn+nom+++=tolling.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
Thomae ^np+++??+=Thomae
laude ^&fw++++=laude
Resono ^np+++??+=Resono
bim ^nn+++??+=bim
bam ^nn+++??+=bam
sine ^&fw++++=sine
fraude ^nn+++??+=fraude,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
charmingly ^rb++++=charmingly
imbecile ^nn++++=imbecile
motto ^nn++++=motto
used ^md"++pmd"++=used
to ^to++++=to
run ^vb+++xvbn+=run,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
living ^vbg+++xvbgx+=living
up ^in+cmpx+++=up
to ^in"++++=to
it ^pp3+it+++=it
by ^in++++=by
bim ^nn+++??+=bim-bamming
- ^zz++++=EXTRAWORD
bamming ^jj+++xvbg+=EXTRAWORD
away ^rp+pl+++=away
in ^in++++=in
a ^at++++=a
persistent ^jj+atrb+++=persistent
basso ^nn+++??+=basso
profondo ^nn+++??+=profondo
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
an ^at++++=an
astonishing ^jj+atrb+++=astonishing
background ^nn++++=background
of ^in++++=of
discord ^nn++++=discord
to ^in++++=to
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
frantic ^jj+atrb+++=frantic
guitar ^nn++++=guitar
playing ^vwbg+++xvbg+=playing
which ^whp+who+++=which
emanated ^vbd+++xvbn+=emanated
from ^in++++=from
Lykeham ^np++++=Lykeham's
's ^$++++=EXTRAWORD
room ^nn++++=room.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
fury ^nn++++=fury
of ^in++++=of
his ^pp$+pp3+++=his
twanging ^nvbg+++xvbg+=twanging
I ^pp1a+pp1+++=I
could ^md+pos+++=could
tell ^vb++++=tell
that ^tht+vcmp+++=that
something ^pn++++=something
more ^ql++++=more
than ^cs+sub+++=than
usually ^rb+down+++=usually
cataclysmic ^jj++++=cataclysmic
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened,
, ^zz++++=EXTRAWORD
for ^in++++=for
mercifully ^rb++++=mercifully
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
in ^in++++=in
moments ^nns+nom+++=moments
of ^in++++=of
the ^ati++++=the
greatest ^nn++++=greatest
stress ^vb+vpub+++=stress
that ^tht+vcmp+++=that
Lykeham ^np+++??+=Lykeham
touched ^vbd+++xvbn+=touched
his ^pp$+pp3+++=his
guitar ^nn++++=guitar.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
entered ^vbd+++xvbnx+=entered
the ^ati++++=the
room ^nn++++=room
with ^in++++=with
my ^pp$+pp1+++=my
hands ^nns++++=hands
over ^in++++=over
my ^pp$+pp1+++=my
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake
" ^zz++++="
I ^pp1a+pp1+++=I
implored ^vbd+++xvbnx+=implored.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window
Tom ^np++++=Tom
was ^vbd+bedz+aux++=was
shouting ^vbg+vpub++xvbgx+=shouting
a ^at++++=a
deep ^jj+atrb+++=deep
E ^zz++++=E
flat ^nn++++=flat,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
spread ^nn+++xvbn+=spread
chord ^nn++++=chord
of ^in++++=of
underand ^nn+++??+=underand
over ^in++++=over-tones,
- ^zz++++=EXTRAWORD
tones ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
guitar ^nn++++=guitar
gibbered ^vbd+++xvbn+=gibbered
shrilly ^jj++++=shrilly
and ^cc++++=and
hysterically ^rb++++=hysterically
in ^in++++=in
D ^zz++++=D
natural ^jj++++=natural.
. ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
banged ^j+++xvbn+=banged
down ^in++++=down
his ^pp$+pp3+++=his
guitar ^nn++++=guitar
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
sofa ^nn++++=sofa
with ^in++++=with
such ^abl++++=such
violence ^nn+nom+++=violence
that ^tht+rel+obj++=that
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
forth ^rp++++=forth
a ^at++++=a
trembling ^nn++++=trembling
groan ^vb++++=groan
from ^in++++=from
all ^abn++++=all
its ^pp$+it+++=its
strings ^nns++++=strings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vbd+++xvbn+=ran
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
meet ^vbi++++=meet
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
slapped ^vbd+++xvbnx+=slapped
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
shoulder ^nn+nom+++=shoulder
with ^in++++=with
painful ^jj+atrb+++=painful
heartiness ^nns+nom+++=heartiness;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
face ^nn++++=face
radiated ^vbd+++xvbn+=radiated
joy ^nn++++=joy
and ^cc++++=and
excitement ^nn+nom+++=excitement.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
sympathize ^vb++++=sympathize
with ^in++++=with
people ^nns++++=people's
's ^$++++=EXTRAWORD
pains ^nns++++=pains,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
with ^in++++=with
their ^pp$+pp3+++=their
pleasures ^nns++++=pleasures.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
something ^pn++++=something
curiously ^rb++++=curiously
boring ^jj++++=boring
about ^in++++=about
somebody ^pn++++=somebody
else ^rb+cnj+++=else's
's ^vbz+bez+vrb++0=EXTRAWORD
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
perspiring ^vbg+++xvbgx+=perspiring,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
mopped ^vbd+++xvbn+=mopped
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
went ^vbd+++xvbn+=went
grinning ^jj+++xvbg+=grinning.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
it ^pp3+it+++=it
this ^dt+dem+++=this
time ^nn++++=time?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
you ^pp2+pp2+++=you
engaged ^vbd+++xvbn+=engaged
to ^to++++=to
be ^vbi+vbi+aux++=be
married ^vpsv++agls+xvbnx+=married
again ^rb+tm+++=again?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
burst ^vbd+++xvbn+=burst
forth ^np++++=forth
with ^in++++=with
the ^ati++++=the
triumphant ^jj+atrb+++=triumphant
pleasure ^nn++++=pleasure
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
at ^rb++splt++=at
last ^rb"++++=last
found ^vbd+vprv++xvbn+=found
an ^at++++=an
opportunity ^nn+nom+++=opportunity
of ^in++++=of
disburdening ^xvbg+++xvbg+=disburdening
himself ^ppl+pp3+++=himself
of ^in++++=of
an ^at++++=an
oppressive ^jj+atrb+++=oppressive
secret ^nn++++=secret.
. ^zz++++=EXTRAWORD
" ^zz++++="Far
far ^rb+pl+++=EXTRAWORD
better ^jjr++++=better
than ^in++++=than
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
groaned ^vbd+++xvbnx+=groaned.
. ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
more ^ql++++=more
than ^cs+sub+++=than
usually ^rb+down+++=usually
unpleasant ^jj+atrb+++=unpleasant
amour ^nn+++??+=amour,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
London ^np++++=London
the ^ati++++=the
day ^nn++++=day
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
a ^at++++=a
pressing ^jj+atrb++xvbg+=pressing
engagement ^nn+nom+++=engagement
with ^in++++=with
the ^ati++++=the
dentist ^nn+nom+++=dentist
having ^vwbg+++xvbg+=having
furnished ^jj+++xvbn+=furnished
an ^at++++=an
excuse ^nn++++=excuse
to ^to++++=to
stay ^vbi++++=stay
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
gross ^jj+pred+++=gross,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lykeham ^np+++??+=Lykeham,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
nervous ^jj+atrb+++=nervous
laugh ^nn++++=laugh
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
suspicions ^nns++++=suspicions
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
only ^rb+down+++=only
too ^ql++++=too
well ^rb++++=well
founded ^vbd+++xvbn+=founded.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
let ^vb++++0=let's
us ^pp1o+pp1+++=EXTRAWORD
hear ^vb+vprv+++=hear
about ^in++++=about
the ^ati++++=the
delectable ^jj+atrb+++=delectable
Flossie ^np+++??+=Flossie
or ^cc++++=or
Effie ^np+++??+=Effie
or ^cc++++=or
whatever ^nn+nom+++=whatever
her ^pp$+pp3+++=her
name ^nn++++=name
was ^vbd+bedz+vrb++=was,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
with ^in++++=with
resignation ^nn+nom+++=resignation.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
goddess ^nns+nom+++=goddess."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
goddess ^nns+nom+++=goddess
of ^in++++=of
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
goddess ^nns+nom+++=goddess,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lykeham ^np+++??+=Lykeham
continued ^vbd+++xvbn+=continued;
; ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
most ^ql+emph+++=most
wonderful ^jj+atrb+++=wonderful
creature ^nn++++=creature
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
ever ^rb++splt++=ever
seen ^vprf+++xvbnx+=seen.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
extraordinary ^jj+atrb+++=extraordinary
thing ^nn++++=thing
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added
confidentially ^rb+cnj+++=confidentially,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
ill ^jj++++=ill-suppressed
- ^zz++++=EXTRAWORD
suppressed ^xvbn+++xvbn+=EXTRAWORD
pride ^np++++=pride,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^cs+sub+++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+tht0++=seems
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself
am ^vb+bem+vrb++=am
a ^at++++=a
god ^nn++++=god
of ^in++++=of
sorts ^nns++++=sorts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in++++=EXTRAWORD
gardens ^nns++++=gardens;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
do ^vb+do+aux++=do
come ^vprf+++xvbn+=come
down ^rb+phrv+++=down
to ^in+ppvb+++=to
facts ^nns++++=facts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
the ^ati++++=the
whole ^jj+atrb+++=whole
story ^nn++++=story.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
like ^in++++=like
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
Last ^rb++++=Last
night ^nn++++=night
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
town ^nn++++=town,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
capital ^nn++++=capital
play ^nn++++=play
that ^tht+rel+subj++=that's
's ^vbz+bez+aux++0=EXTRAWORD
running ^vbg+++xvbgx+=running
at ^rb++++=at
the ^ati++++=the
Prince ^nn++++=Prince
Consort ^nn++++=Consort's.
's. ^nn+++??+=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
ingenious ^jj+atrb+++=ingenious
combinations ^nns+nom+++=combinations
of ^in++++=of
melodrama ^nn++++=melodrama
and ^cc++++=and
problem ^nn++++=problem
play ^nn++++=play,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
thrill ^nn++++=thrill
you ^pp2+pp2+++=you
to ^in++++=to
the ^ati++++=the
marrow ^nn+++??+=marrow
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
virtuous ^nn++++=virtuous
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
to ^to++++=to
see ^vbi+vprv+++=see
something ^pn++++=something
serious ^jj++++=serious.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rolled ^vbd+++xvbnx+=rolled
in ^in++++=in
rather ^rb++++=rather
late ^jj++++=late,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
secured ^vprf+++xvbn+=secured
an ^at++++=an
admirable ^jj+atrb+++=admirable
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
front ^jjb+atrb+++=front
row ^nn++++=row
of ^in++++=of
the ^ati++++=the
dress ^nn++++=dress
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
trampled ^vbd+++xvbnx+=trampled
in ^in++++=in
over ^in++++=over
the ^ati++++=the
populace ^nn++++=populace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
casually ^rb++++=casually
observed ^vbn+vprv++xvbn+=observed
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
girl ^nn++++=girl
sitting ^vwbg+++xvbg+=sitting
next ^ap++++=next
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
apologized ^vbd+++xvbnx+=apologized
to ^in++++=to
for ^in++++=for
treading ^xvbg+++xvbg+=treading
on ^rp++++=on
her ^pp3o+pp3+++=her
toes ^nns++++=toes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
no ^at++++=no
more ^rbr++++=more
about ^in++++=about
her ^pp$+pp3+++=her
during ^in++++=during
the ^ati++++=the
first ^od++++=first
act ^vb+vpub+++=act.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
interval ^nn+nom+++=interval,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
lights ^nns++++=lights
were ^vbd+bed+vrb++=were
on ^in++++=on
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
round ^rb+phrv+++=round
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
things ^nns++++=things
in ^rb++++=in
general ^rb"++++=general
and ^cc++++=and
discovered ^vprf+++xvbn+=discovered
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
goddess ^nns+nom+++=goddess
sitting ^vwbg+++xvbg+=sitting
next ^ap++++=next
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
only ^rb+down+++=only
had ^md"++pmd"++=had
to ^md+nec+++=to
look ^vb++++=look
at ^rb++++=at
her ^pp3o+pp3+++=her
to ^to++++=to
see ^vbi+vprv+tht0++=see
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
goddess ^nns+nom+++=goddess.
