Perhaps ^rb++++=PERHAPS
. ^zz++++=EXTRAWORD
The ^ati++++=The
mark ^nn++++=mark
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^nn++++=small
round ^in++++=round
mark ^vb++++=mark,
, ^zz++++=EXTRAWORD
black ^jj++++=black
upon ^in++++=upon
the ^ati++++=the
white ^jj+atrb+++=white
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
about ^in++++=about
six ^cd++++=six
or ^cc++++=or
seven ^cd++++=seven
inches ^nns++++=inches
above ^in+pl+++=above
the ^ati++++=the
mantelpiece ^nn++++=mantelpiece.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
readily ^rb++++=readily
our ^pp$+pp1+++=our
thoughts ^nns++++=thoughts
swarm ^nn++++=swarm
upon ^in++++=upon
a ^at++++=a
new ^jj+atrb+++=new
object ^nn++++=object,
, ^zz++++=EXTRAWORD
lifting ^nvbg+++xvbg+=lifting
it ^pp3+it+++=it
a ^rb++++=a
little ^rb"++++=little
way ^nn++++=way,
, ^zz++++=EXTRAWORD
as ^ql++++=as
ants ^nns++++=ants
carry ^vb++++=carry
a ^at++++=a
blade ^nn++++=blade
of ^in++++=of
straw ^nn++++=straw
so ^ql+emph+++=so
feverishly ^jj++++=feverishly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
leave ^vb++++=leave
it.. ^nn+++??+=it....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
that ^dt+pdem+++=that
mark ^vb++++=mark
was ^vbd+bedz+aux++=was
made ^vpsv++by+xvbnx+=made
by ^in++++=by
a ^at++++=a
nail ^nn++++=nail,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
for ^in++++=for
a ^at++++=a
picture ^nn++++=picture,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
for ^in++++=for
a ^at++++=a
miniaturethe ^nn+++??+=miniaturethe
miniature ^nn++++=miniature
of ^in++++=of
a ^at++++=a
lady ^nn++++=lady
with ^in++++=with
white ^jj+atrb+++=white
powdered ^jj+atrb++xvbn+=powdered
curls ^nns++++=curls,
, ^zz++++=EXTRAWORD
powder ^nn++++=powder-dusted
- ^zz++++=EXTRAWORD
dusted ^vbd+++xvbn+=EXTRAWORD
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lips ^nns++++=lips
like ^in++++=like
red ^jj+atrb+++=red
carnations ^nns+nom+++=carnations.
. ^zz++++=EXTRAWORD
A ^at++++=A
fraud ^nn++++=fraud
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
this ^dt+dem+++=this
house ^nn++++=house
before ^cs+sub+++=before
us ^pp1o+pp1+++=us
would ^md+prd+++=would
have ^vb+hv+aux++=have
chosen ^vprf+++xvbnx+=chosen
pictures ^nns++++=pictures
in ^cs+sub+++=in
that ^cs"++++=that
wayan ^jj+atrb+++=wayan
old ^jj+atrb+++=old
picture ^nn++++=picture
for ^in++++=for
an ^at++++=an
old ^jj+atrb+++=old
room ^nn++++=room.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
people ^nns++++=people
they ^pp3a+pp3+++=they
werevery ^nn+nom+++=werevery
interesting ^jj+atrb+++=interesting
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
of ^in++++=of
them ^pp3o+pp3+++=them
so ^rb++++=so
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
in ^in++++=in
such ^abl++++=such
queer ^jj+atrb+++=queer
places ^nns++++=places,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
one ^cd1++++=one
will ^md+prd+++=will
never ^rb++splt++=never
see ^vb+vprv+++=see
them ^pp3o+pp3+++=them
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
never ^rb++++=never
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
happened ^vbd+++xvbn+=happened
next ^ap++++=next.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
leave ^vbi++++=leave
this ^dt+dem+++=this
house ^npl++++=house
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
change ^vbi++++=change
their ^pp$+pp3+++=their
style ^nn++++=style
of ^in++++=of
furniture ^nn++++=furniture,
, ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
process ^nns+nom+++=process
of ^in"++++=of
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
in ^in++++=in
his ^pp$+pp3+++=his
opinion ^nn++++=opinion
art ^nn++++=art
should ^md+nec+++=should
have ^vb+hv+vrb++=have
ideas ^nns++++=ideas
behind ^in+pl+++=behind
it ^pp3+it+++=it
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
torn ^vpsv++agls+xvbnx+=torn
asunder ^rb+cnj+++=asunder,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^cd1++++=one
is ^vbz+bez+aux++=is
torn ^vpsv++agls+xvbnx+=torn
from ^in++++=from
the ^ati++++=the
old ^jj+atrb+++=old
lady ^npt++++=lady
about ^md"++pmd"++=about
to ^md+prd+++=to
pour ^vb++++=pour
out ^rp+pl+++=out
tea ^nn++++=tea
and ^cc++++=and
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
about ^md"++pmd"++=about
to ^md+prd+++=to
hit ^vb+++xvbn+=hit
the ^ati++++=the
tennis ^nn++++=tennis
ball ^nn++++=ball
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
garden ^nn++++=garden
of ^in++++=of
the ^ati++++=the
suburban ^jj+atrb+++=suburban
villa ^np++++=villa
as ^ql++++=as
one ^cd1++++=one
rushes ^vbz++++=rushes
past ^jjb++++=past
in ^in++++=in
the ^ati++++=the
train ^nn++++=train.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^in++++=as
for ^in"++++=for
that ^dt+dem+++=that
mark ^nn++++=mark,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
sure ^jj++++=sure
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
made ^vpsv++by+xvbnx+=made
by ^in++++=by
a ^at++++=a
nail ^nn++++=nail
after ^in++++=after
all ^abn++++=all;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
big ^jj++++=big,
, ^zz++++=EXTRAWORD
too ^ql++++=too
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
get ^vb++++=get
up ^rp++++=up,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
up ^rp++++=up
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
to ^to++++=to
one ^cd1++++=one
I ^pp1a+pp1+++=I
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
say ^vb+vpub+++=say
for ^rb++++=for
certain ^rb"++++=certain;
; ^zz++++=EXTRAWORD
because ^cs+cos+++=because
once ^rb+tm+++=once
a ^at++++=a
thing ^nn++++=thing's
's ^$++++=EXTRAWORD
done ^vwbn+++xvbn+=done,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
ever ^rb++++=ever
knows ^vbz+vprv+++=knows
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
dear ^jj++++=dear
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mystery ^nn+nom+++=mystery
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
The ^ati++++=The
inaccuracy ^nn+nom+++=inaccuracy
of ^in++++=of
thought ^nn+++xvbn+=thought!
! ^zz++++=EXTRAWORD
The ^ati++++=The
ignorance ^nn+nom+++=ignorance
of ^in++++=of
humanity ^nn+nom+++=humanity!
! ^zz++++=EXTRAWORD
To ^to++++=To
show ^vbi+vprv+++=show
how ^wrb+who+whcl++=how
very ^ql+amp+++=very
little ^ap++++=little
control ^nn++++=control
of ^in++++=of
our ^pp$+pp1+++=our
possessions ^nns++++=possessions
we ^pp1a+pp1+++=we
havewhat ^nn+++??+=havewhat
an ^at++++=an
accidental ^jj+atrb+++=accidental
affair ^nn++++=affair
this ^dt+dem+++=this
living ^nvbg+++xvbg+=living
is ^vbz+bez+vrb++=is
after ^in++++=after
all ^abn++++=all
our ^pp$+pp1+++=our
civilizationlet ^nn+nom+++=civilizationlet
me ^pp1o+pp1+++=me
just ^rb+emph+++=just
count ^npt++++=count
over ^in++++=over
a ^ap++++=a
few ^ap"++++=few
of ^in++++=of
the ^ati++++=the
things ^nns++++=things
lost ^vbd+++xvbn+=lost
in ^in++++=in
one ^cd1++++=one
lifetime ^nn++++=lifetime,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
for ^in++++=for
that ^dt+pdem+++=that
seems ^vbz+seem+++=seems
always ^rb++++=always
the ^ati++++=the
most ^ql+emph+++=most
mysterious ^jj++++=mysterious
of ^in++++=of
losseswhat ^nn+++??+=losseswhat
cat ^nn++++=cat
would ^md+prd+++=would
gnaw ^vb++++=gnaw,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
rat ^nn++++=rat
would ^md+prd+++=would
nibblethree ^nn+nom+++=nibblethree
pale ^nn++++=pale
blue ^jj+atrb+++=blue
canisters ^nns+nom+++=canisters
of ^in++++=of
book ^nn++++=book-binding
- ^zz++++=EXTRAWORD
binding ^jj+atrb+++=EXTRAWORD
tools ^nns++++=tools?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
the ^ati++++=the
bird ^nn++++=bird
cages ^nns++++=cages,
, ^zz++++=EXTRAWORD
the ^ati++++=the
iron ^nn++++=iron
hoops ^nns++++=hoops,
, ^zz++++=EXTRAWORD
the ^ati++++=the
steel ^nn++++=steel
skates ^nns++++=skates,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Queen ^nn++++=Queen
Anne ^np++++=Anne
coal ^nn++++=coal-scuttle,
- ^zz++++=EXTRAWORD
scuttle ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
bagatelle ^nn+++??+=bagatelle
board ^nn++++=board,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hand ^nn++++=hand
organall ^jj+++??+=organall
gone ^xvbn+++xvbn+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jewels ^nns++++=jewels,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Opals ^np+++??+=Opals
and ^cc++++=and
emeralds ^nns+++??+=emeralds,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
lie ^vb++++=lie
about ^in++++=about
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
turnips ^nns++++=turnips.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
scraping ^nn++++=scraping
paring ^vwbg+++xvbg+=paring
affair ^nn++++=affair
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure!
! ^zz++++=EXTRAWORD
The ^ati++++=The
wonder ^nn++++=wonder
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
any ^dti++++=any
clothes ^nns++++=clothes
on ^in++++=on
my ^pp$+pp1+++=my
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
sit ^vb++++=sit
surrounded ^vpsv++by+xvbn+=surrounded
by ^in++++=by
solid ^jj+atrb+++=solid
furniture ^nn++++=furniture
at ^in++++=at
this ^dt+dem+++=this
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
one ^cd1++++=one
wants ^vb++++=wants
to ^to+vcmp+++=to
compare ^vbi++++=compare
life ^nn++++=life
to ^in++++=to
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
must ^md+nec+++=must
liken ^vb++++=liken
it ^pp3+it+++=it
to ^to++++=to
being ^xvbg+++xvbg+=being
blown ^vpsv++agls+xvbn+=blown
through ^in++++=through
the ^ati++++=the
Tube ^nn++++=Tube
at ^in++++=at
fifty ^cd++++=fifty
miles ^nns++++=miles
an ^at++++=an
hourlanding ^jj+++xvbg+=hourlanding
at ^rb++++=at
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
without ^in++++=without
a ^at++++=a
single ^jj+atrb+++=single
hairpin ^nn++++=hairpin
in ^in++++=in
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
hair ^nn++++=hair!
! ^zz++++=EXTRAWORD
Shot ^j+++xvbn+=Shot
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
God ^nn++++=God
entirely ^rb+amp+++=entirely
naked ^jj++++=naked!
! ^zz++++=EXTRAWORD
Tumbling ^vbg+nom++xvbg+=Tumbling
head ^jjb++++=head
over ^in++++=over
heels ^nns++++=heels
in ^in++++=in
the ^ati++++=the
asphodel ^nn+++??+=asphodel
meadows ^npl++++=meadows
like ^in++++=like
brown ^jj+atrb+++=brown
paper ^nn++++=paper
parcels ^nns++++=parcels
pitched ^vbd+++xvbn+=pitched
down ^rp++++=down
a ^at++++=a
shoot ^nn++++=shoot
in ^in++++=in
the ^ati++++=the
post ^nn++++=post
office ^nn++++=office!
! ^zz++++=EXTRAWORD
With ^in++++=With
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
hair ^nn++++=hair
flying ^vwbg+++xvbg+=flying
back ^jjb++++=back
like ^in++++=like
the ^ati++++=the
tail ^nn++++=tail
of ^in++++=of
a ^at++++=a
race ^nn++++=race-horse.
- ^zz++++=EXTRAWORD
horse ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
express ^nns+nom+++=express
the ^ati++++=the
rapidity ^nn+nom+++=rapidity
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
the ^ati++++=the
perpetual ^jj+atrb+++=perpetual
waste ^nn++++=waste
and ^cc++++=and
repair ^nn++++=repair;
; ^zz++++=EXTRAWORD
all ^abn++++=all
so ^pn+emph+++=so
casual ^jj++++=casual,
, ^zz++++=EXTRAWORD
all ^abn++++=all
so ^pn++++=so
haphazard.. ^nn+++??+=haphazard....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
after ^in++++=after
life ^nn++++=life.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slow ^nn++++=slow
pulling ^vwbg+++xvbg+=pulling
down ^rp++++=down
of ^in++++=of
thick ^jj+atrb+++=thick
green ^nn++++=green
stalks ^nns+++??+=stalks
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
cup ^nn++++=cup
of ^in++++=of
the ^ati++++=the
flower ^nn++++=flower,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
turns ^vbz++++=turns
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
deluges ^nns++++=deluges
one ^pn++++=one
with ^in++++=with
purple ^nn++++=purple
and ^cc++++=and
red ^jj++++=red
light ^jj++++=light.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
one ^cd1++++=one
not ^xnot++not++=not
be ^vb+be+aux++=be
born ^vpsv++agls+xvbnx+=born
there ^rn+pl+++=there
as ^ql++++=as
one ^cd1++++=one
is ^vbz+bez+aux++=is
born ^vpsv++agls+xvbnx+=born
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
helpless ^jj++++=helpless,
, ^zz++++=EXTRAWORD
speechless ^jj++++=speechless,
, ^zz++++=EXTRAWORD
unable ^jj++++=unable
to ^to+jcmp+++=to
focus ^vb++++=focus
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
eyesight ^nn++++=eyesight,
, ^zz++++=EXTRAWORD
groping ^vbg+++xvbg+=groping
at ^in++++=at
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
the ^ati++++=the
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
toes ^nns++++=toes
of ^in++++=of
the ^ati++++=the
Giants ^np+++??+=Giants?
? ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
saying ^nvbg+++xvbg+=saying
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
such ^abl++++=such
things ^nns++++=things,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
one ^cd1++++=one
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
in ^in++++=in
a ^at++++=a
condition ^nn+nom+++=condition
to ^to++++=to
do ^vbi++++=do
for ^in++++=for
fifty ^cd++++=fifty
years ^nns++++=years
or ^cc++++=or
so ^rb++++=so.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
will ^md+prd+++=will
be ^vb+be+vrb++=be
nothing ^pn++++=nothing
but ^cc++++=but
spaces ^nns++++=spaces
of ^in++++=of
light ^nn++++=light
and ^cc++++=and
dark ^nn++++=dark,
, ^zz++++=EXTRAWORD
intersected ^xvbn+++xvbn+=intersected
by ^in++++=by
thick ^jj+atrb+++=thick
stalks ^nns+++??+=stalks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rather ^rb++++=rather
higher ^jjr++++=higher
up ^rp++++=up
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
blots ^nns++++=blots
of ^in++++=of
an ^at++++=an
indistinct ^nn+++??+=indistinct
colourdim ^nn+++??+=colourdim
pinks ^nns+++??+=pinks
and ^cc++++=and
blueswhich ^nn+++??+=blueswhich
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
as ^in++++=as
time ^nn++++=time
goes ^vbz++++=goes
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
become ^vb++++=become
more ^rbr++++=more
definite ^jj++++=definite,
, ^zz++++=EXTRAWORD
becomei ^nn+++??+=becomeI
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what.. ^nn+++??+=what....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb++++=yet
that ^dt+dem+++=that
mark ^nn++++=mark
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
hole ^nn++++=hole
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
even ^rb++++=even
be ^vb+be+aux++=be
caused ^vpsv++by+xvbnx+=caused
by ^in++++=by
some ^dti++++=some
round ^in++++=round
black ^jj+atrb+++=black
substance ^nn+nom+++=substance,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
small ^jj+atrb+++=small
rose ^nn+++xvbn+=rose
leaf ^nn++++=leaf,
, ^zz++++=EXTRAWORD
left ^j+++xvbn+=left
over ^in++++=over
from ^in++++=from
the ^ati++++=the
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
being ^vbg+beg++xvbg+=being
a ^at++++=a
very ^ql+amp+++=very
vigilant ^nn+nom+++=vigilant
housekeeperlook ^nn+++??+=housekeeperlook
at ^rb++++=at
the ^ati++++=the
dust ^nn++++=dust
on ^in++++=on
the ^ati++++=the
mantelpiece ^nn++++=mantelpiece,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dust ^nn++++=dust
which ^whp+rel+obj++=which,
