Blood ^nn++++=Blood
unweary ^nn+nom+++=unweary
it ^pp3+it+++=it
burdeneth ^vbz++++=burdeneth
him ^pp3o+pp3+++=him
into ^in++++=into
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
brother ^nn++++=brother
was ^vbd+bedz+aux++=was
possessed ^vpsv++agls+xvbnx+=possessed
of ^in++++=of
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
a ^at++++=a
rabbit ^nn++++=rabbit,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
drink ^nn++++=drink
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
forthwith ^rb++++=forthwith
slay ^vb++++=slay
four ^cd++++=four
of ^in++++=of
his ^pp$+pp3+++=his
enemies ^nns++++=enemies.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
great ^jj+atrb+++=great
wolf ^nn++++=wolf,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
to ^in++++=to
all ^abn++++=all
men ^nns++++=men,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
drink ^nn++++=drink
of ^in++++=of
it ^pp3+it+++=it
and ^cc++++=and
was ^vbd+bedz+aux++=was
shot ^vpsv++agls+xvbnx+=shot
through ^in++++=through
the ^ati++++=the
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running
swiftly ^rb++++=swiftly
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
be ^vb+be+vrb++=be
most ^ql+emph+++=most
strange ^jj++++=strange."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
' ^zz++++='Three
three ^cd++++=EXTRAWORD
Star ^nn++++=Star,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
better ^nn++++=better
than ^in++++=than
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
poison ^nn++++=poison
their ^pp$+pp3+++=their
bellies ^nns++++=bellies
with ^in++++=with
down ^rp++++=down
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
sweeping ^jj+++xvbg+=sweeping
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
yawning ^jj+atrb++xvbg+=yawning
chasm ^nn++++=chasm
of ^in++++=of
blackness ^nns+nom+++=blackness
and ^cc++++=and
down ^rp++++=down
to ^to++++=to
where ^wrb+who+++=where
the ^ati++++=the
beach ^nn++++=beach
fires ^nns++++=fires
glinted ^vbd+++xvbn+=glinted
far ^rb+pl+++=far
below ^in+strn+++=below--tiny
-- ^--+clp+++=EXTRAWORD
tiny ^jj+atrb+++=EXTRAWORD
jets ^nns++++=jets
of ^in++++=of
flame ^nn++++=flame
which ^whp+rel+subj++=which
gave ^vbd+++xvbn+=gave
proportion ^nn+nom+++=proportion
and ^cc++++=and
reality ^nn+nom+++=reality
to ^in++++=to
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Palitlum ^np+++??+=Palitlum
sighed ^vbd+++xvbn+=sighed
and ^cc+phrs+++=and
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Wherefore
wherefore ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
here ^rn+pl+++=here
with ^in++++=with
thee ^pp2+pp2+++=thee."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
here ^rn+pl+++=here
he ^pp3a+pp3+++=he
embraced ^vbd+++xvbnx+=embraced
the ^ati++++=the
bottle ^nn++++=bottle
and ^cc++++=and
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
look ^nn++++=look
which ^whp+rel+subj++=which
told ^vbd+vpub++xvbn+=told
more ^rbr++++=more
eloquently ^jj++++=eloquently
than ^in++++=than
speech ^nn++++=speech
of ^in++++=of
his ^pp$+pp3+++=his
shameless ^jj+atrb+++=shameless
thirst ^nn++++=thirst.
. ^zz++++=EXTRAWORD
" ^zz++++="Nay,"
nay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
snuggling ^vbg+nom++xvbg+=snuggling
the ^ati++++=the
bottle ^nn++++=bottle
in ^in++++=in
between ^in++++=between
my ^pp$+pp1+++=my
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
" ^zz++++="Speak
speak ^vb++++=EXTRAWORD
now ^rn+tm+++=now
of ^in++++=of
Ligoun ^np+++??+=Ligoun.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
' ^zz++++='Three
three ^cd++++=EXTRAWORD
Star ^nn++++=Star'
' ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
will ^md+prd+++=will
hold ^vb+vprv+++=hold
speech ^nn++++=speech
hereafter ^nn+nom+++=hereafter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
be ^vb+be+vrb++=be
plenty ^nn++++=plenty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
not ^xnot++not++=not
wearied ^vprf+++xvbn+=wearied,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pleaded ^vbd+vpub++xvbnx+=pleaded
brazenly ^jj++++=brazenly.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
feel ^nn++++=feel
of ^in++++=of
it ^pp3+it+++=it
on ^in++++=on
my ^pp$+pp1+++=my
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
speak ^vb++++=speak
great ^jj+atrb+++=great
words ^nns++++=words
of ^in++++=of
Ligoun ^np+++??+=Ligoun
and ^cc++++=and
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
days ^nns++++=days."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
the ^ati++++=the
drinker ^jjr++++=drinker
it ^pp3+it+++=it
taketh ^vbz++++=taketh
away ^rp+pl+++=away
strength ^nn++++=strength,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mocked ^vbd+++xvbnx+=mocked,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
man ^nn++++=man
unweary ^nn+nom+++=unweary
it ^pp3+it+++=it
burdeneth ^vbz++++=burdeneth
him ^pp3o+pp3+++=him
into ^in++++=into
sleep ^nn++++=sleep."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thou
thou ^pp2+pp2+++=EXTRAWORD
art ^nn++++=art
wise ^jj++++=wise,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
rejoined ^vbd+++xvbnx+=rejoined,
, ^zz++++=EXTRAWORD
without ^in++++=without
anger ^nn++++=anger
and ^cc++++=and
pridelessly ^jj++++=pridelessly.
. ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^in++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
thy ^pp$+pp2+++=thy
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
art ^nn++++=art
wise ^jj++++=wise.
. ^zz++++=EXTRAWORD
Waking ^vbg+++xvbg+=Waking
or ^cc+phrs+++=or
sleeping ^vbg+++xvbg+=sleeping,
, ^zz++++=EXTRAWORD
the ^ati++++=the
' ^zz++++='Three
three ^cd++++=EXTRAWORD
Star ^nn++++=Star'
' ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
with ^in++++=with
thee ^pp2+pp2+++=thee,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
never ^rb++++=never
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
known ^vbd+vprv+tht0+xvbnx+=known
thee ^pp2+pp2+++=thee
to ^to++++=to
drink ^vbi++++=drink
overlong ^nn+++??+=overlong
or ^cc++++=or
overmuch ^rb++++=overmuch.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
while ^cs+sub+++=while
you ^pp2+pp2+++=you
gather ^vb+vprv+++=gather
to ^in++++=to
you ^pp2+pp2+++=you
the ^ati++++=the
gold ^nn++++=gold
that ^tht+rel+subj++=that
hides ^vbz++++=hides
in ^in++++=in
our ^pp$+pp1+++=our
mountains ^nns++++=mountains
and ^cc++++=and
the ^ati++++=the
fish ^nns++++=fish
that ^tht+rel+subj++=that
swim ^vb++++=swim
in ^in++++=in
our ^pp$+pp1+++=our
seas ^nns++++=seas;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Palitlum ^np+++??+=Palitlum,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
brothers ^nns+nom+++=brothers
of ^in++++=of
Palitlum ^np+++??+=Palitlum,
, ^zz++++=EXTRAWORD
dig ^vb++++=dig
the ^ati++++=the
gold ^nn++++=gold
for ^in++++=for
thee ^pp2+pp2+++=thee
and ^cc++++=and
net ^jjb++++=net
the ^ati++++=the
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
glad ^jj++++=glad
when ^wrb+who+++=when
out ^rp+pl+++=out
of ^in++++=of
thy ^pp$+pp2+++=thy
wisdom ^nn++++=wisdom
thou ^pp2+pp2+++=thou
deemest ^jjt++++=deemest
it ^pp3+it+++=it
fit ^nn++++=fit
that ^tht+rel+obj++=that
the ^ati++++=the
' ^zz++++='Three
three ^cd++++=EXTRAWORD
Star ^nn++++=Star'
' ^zz++++=EXTRAWORD
should ^md+nec+++=should
wet ^vb++++=wet
our ^pp$+pp1+++=our
lips ^nns++++=lips."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
minded ^vpsv++agls+xvbnx+=minded
to ^to++++=to
hear ^vbi+vprv+++=hear
of ^in++++=of
Ligoun ^np+++??+=Ligoun,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
impatiently ^rb++++=impatiently.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
night ^nn++++=night
grows ^vbz++++=grows
short ^jj++++=short,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
sore ^jj+atrb+++=sore
journey ^nn++++=journey
to ^to++++=to-morrow."
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
yawned ^vbd+++xvbnx+=yawned
and ^cc+phrs+++=and
made ^vbd+++xvbn+=made
as ^cs+sub+++=as
though ^cs+sub+++=though
to ^to++++=to
rise ^vbi++++=rise,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Palitlum ^np+++??+=Palitlum
betrayed ^vbd+++xvbn+=betrayed
a ^at++++=a
quick ^jj+atrb+++=quick
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
abruptness ^nns+nom+++=abruptness
began: ^nn+++??+=began:-"It
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Ligoun ^np++++=Ligoun's
's ^$++++=EXTRAWORD
desire ^nn++++=desire,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
age ^nn++++=age,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
peace ^nn++++=peace
should ^md+nec+++=should
be ^vb+be+vrb++=be
among ^in++++=among
the ^ati++++=the
tribes ^nns++++=tribes.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
first ^rb++++=first
of ^in++++=of
the ^ati++++=the
fighting ^jj+atrb++xvbg+=fighting
men ^nns++++=men
and ^cc++++=and
chief ^jjb++++=chief
over ^in++++=over
the ^ati++++=the
war ^nn++++=war-chiefs
- ^zz++++=EXTRAWORD
chiefs ^nns++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Islands ^nns++++=Islands
and ^cc++++=and
the ^ati++++=the
Passes ^nns++++=Passes.
. ^zz++++=EXTRAWORD
All ^abn++++=All
his ^pp$+pp3+++=his
days ^nns++++=days
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
full ^jj++++=full
of ^in++++=of
fighting ^xvbg+++xvbg+=fighting.
. ^zz++++=EXTRAWORD
More ^ql++++=More
marks ^nns++++=marks
he ^pp3a+pp3+++=he
boasted ^vbd+vpub++xvbnx+=boasted
of ^in++++=of
bone ^nn++++=bone
and ^cc++++=and
lead ^nn++++=lead
and ^cc++++=and
iron ^nn++++=iron
than ^in++++=than
any ^dti++++=any
other ^ap++++=other
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
wives ^nns++++=wives
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
each ^dt++++=each
wife ^nn++++=wife
two ^cd++++=two
sons ^nns++++=sons;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
eldest ^jjt++++=eldest
born ^vbd+++xvbn+=born
and ^cc++++=and
last ^rb++++=last
and ^cc++++=and
all ^abn++++=all
died ^vpsv++by+xvbn+=died
by ^in++++=by
his ^pp$+pp3+++=his
side ^nn++++=side
in ^in++++=in
battle ^nn++++=battle.
. ^zz++++=EXTRAWORD
Restless ^jj++++=Restless
as ^in++++=as
the ^ati++++=the
bald ^jj++++=bald-face,
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ranged ^vbd+++xvbnx+=ranged
wide ^jj++++=wide
and ^cc++++=and
far ^rb+pl+++=far--north
-- ^--+clp+++=EXTRAWORD
north ^nr+pl+++=EXTRAWORD
to ^in++++=to
Unalaska ^np+++??+=Unalaska
and ^cc++++=and
the ^ati++++=the
Shallow ^jj+atrb+++=Shallow
Sea ^nn++++=Sea;
; ^zz++++=EXTRAWORD
south ^nr+pl+++=south
to ^in++++=to
the ^ati++++=the
Queen ^nn++++=Queen
Charlottes ^np+++??+=Charlottes,
, ^zz++++=EXTRAWORD
ay ^uh++++=ay,
, ^zz++++=EXTRAWORD
even ^rb++++=even
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
go ^vb++++=go
with ^in++++=with
the ^ati++++=the
Kakes ^np+++??+=Kakes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
told ^vpsv++agls+xvbnx+=told,
, ^zz++++=EXTRAWORD
to ^in++++=to
far ^rb+pl+++=far
Puget ^vb+++??+=Puget
Sound ^nn++++=Sound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slay ^vb++++=slay
thy ^pp$+pp2+++=thy
brothers ^nns+nom+++=brothers
in ^in++++=in
their ^pp$+pp3+++=their
sheltered ^jj+atrb++xvbn+=sheltered
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
age ^nn++++=age
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
for ^in++++=for
peace ^nn++++=peace
among ^in++++=among
the ^ati++++=the
tribes ^nns++++=tribes.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
become ^vb++++=become
afraid ^jj++++=afraid,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
overfond ^nn+++??+=overfond
of ^in++++=of
the ^ati++++=the
corner ^nn++++=corner
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire
and ^cc++++=and
the ^ati++++=the
well ^rb++++=well-filled
- ^zz++++=EXTRAWORD
filled ^vbd+++xvbn+=EXTRAWORD
pot ^vb++++=pot.
. ^zz++++=EXTRAWORD
For ^in++++=For
he ^pp3a+pp3+++=he
slew ^nn+++??+=slew
with ^in++++=with
the ^ati++++=the
shrewdness ^nns+nom+++=shrewdness
and ^cc++++=and
blood ^nn++++=blood-hunger
- ^zz++++=EXTRAWORD
hunger ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
fiercest ^jjt++++=fiercest,
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
in ^in++++=in
his ^pp$+pp3+++=his
belly ^nn++++=belly
to ^in++++=to
famine ^nn++++=famine
with ^in++++=with
the ^ati++++=the
youngest ^jjt++++=youngest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
stoutest ^nn++++=stoutest
faced ^vwbn+++xvbn+=faced
the ^ati++++=the
bitter ^jj+atrb+++=bitter
seas ^nns++++=seas
and ^cc++++=and
stinging ^jj+atrb++xvbg+=stinging
trail ^nn++++=trail.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
because ^cs+cos+++=because
of ^in"++++=of
his ^pp$+pp3+++=his
many ^ap++++=many
deeds ^nns++++=deeds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
punishment ^nn+nom+++=punishment,
, ^zz++++=EXTRAWORD
a ^at++++=a
warship ^nn+nom+++=warship
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
even ^rb++++=even
to ^in++++=to
thy ^pp$+pp2+++=thy
country ^nn++++=country,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Hair ^nn++++=Hair-Face
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
and ^cc++++=and
Boston ^np++++=Boston
Man ^nn++++=Man;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
years ^nns++++=years
were ^vbd+bed+vrb++=were
many ^ap++++=many
ere ^nn+++??+=ere
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
grown ^vpsv++agls+xvbnx+=grown
to ^in++++=to
something ^pn++++=something
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
boy ^nn++++=boy
and ^cc++++=and
something ^pn++++=something
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Ligoun ^np+++??+=Ligoun,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
childless ^jj++++=childless
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
age ^nn++++=age,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
