After ^cs+sub+++=AFTER
came ^vbd+++xvbnx+=came
out ^rp+pl+++=out
into ^in++++=into
liberty ^nn++++=liberty
and ^cc++++=and
looked ^vbd+++xvbn+=looked
about ^rb++++=about
him ^pp3o+pp3+++=him
for ^in++++=for
the ^ati++++=the
habiliments ^nns+nom+++=habiliments
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
formerly ^rb+tm+splt++=formerly
clothed ^vprf+++xvbnx+=clothed
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
- ^zz++++=-for
for ^in++++=EXTRAWORD
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
self ^nn++++=self-respect,
- ^zz++++=EXTRAWORD
respect ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
pugnacity ^nn+nom+++=pugnacity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
industry ^nn++++=industry.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished
and ^cc++++=and
left ^jj+++xvbn+=left
no ^at++++=no
trace ^vb++++=trace,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
flesh ^nn++++=flesh
of ^in++++=of
the ^ati++++=the
dead ^jj+atrb+++=dead
men ^nns++++=men
on ^in++++=on
the ^ati++++=the
plains ^npls++++=plains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
morally ^rb++++=morally
unapparelled ^jj+++xvbn+=unapparelled,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
hideous ^jj+atrb+++=hideous
skeleton ^nn++++=skeleton
of ^in++++=of
his ^pp$+pp3+++=his
manhood ^nn+nom+++=manhood,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
on ^in++++=on
down ^rp++++=down
the ^ati++++=the
street ^nn++++=street
under ^in++++=under
the ^ati++++=the
mid ^jjb++++=mid-June
- ^zz++++=EXTRAWORD
june ^nr++++=EXTRAWORD
sunshine ^nn++++=sunshine.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
understand ^vb+vprv+++=understand,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
a ^at++++=a
skeleton ^nn++++=skeleton
might ^md+pos+++=might
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
get ^vbi++++=get
back ^rb+phrv+++=back
into ^in++++=into
its ^pp$+it+++=its
comfortable ^jj+atrb+++=comfortable
grave ^nn++++=grave?
? ^zz++++=EXTRAWORD
David ^np++++=David
Culross ^np+++??+=Culross
had ^vb+hv+aux++=had
not ^xnot++not++=not
walked ^vprf+++xvbn+=walked
two ^cd++++=two
blocks ^nns++++=blocks
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
seized ^vpsv++agls+xvbnx+=seized
with ^in++++=with
an ^at++++=an
almost ^rb+hdg+++=almost
uncontrollable ^jj+atrb+++=uncontrollable
desire ^nn++++=desire
to ^to+ncmp+++=to
beg ^vbi++++=beg
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
shielded ^vpsv++agls+xvbnx+=shielded
once ^rb+tm+++=once
more ^ql++++=more
in ^cs+sub+++=in
that ^cs"++++=that
safe ^jj+atrb+++=safe
and ^cc+phrs+++=and
shameful ^jj+atrb+++=shameful
retreat ^nn++++=retreat
from ^in++++=from
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
been ^vprf+ben+aux+xvbnx+=been
released ^vpsv++agls+xvbnx+=released.
. ^zz++++=EXTRAWORD
A ^at++++=A
horrible ^jj+atrb+++=horrible
perception ^nn+nom+++=perception
of ^in++++=of
the ^ati++++=the
largeness ^nns+nom+++=largeness
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
swept ^vwbn+++xvbn+=swept
over ^rp++++=over
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Space ^nn++++=Space
and ^cc++++=and
eternity ^nn+nom+++=eternity
could ^md+pos+++=could
seem ^vb+seem+++=seem
no ^at++++=no
larger ^nn++++=larger
to ^in++++=to
the ^ati++++=the
usual ^jj+atrb+++=usual
man ^nn++++=man
than ^in++++=than
earth ^nn++++=earth
- ^zz++++=-that
that ^dt+dem+++=EXTRAWORD
snug ^jj+atrb+++=snug
and ^cc+phrs+++=and
insignificant ^jj+atrb+++=insignificant
planet ^nn++++=planet
- ^zz++++=-looked
looked ^vbd+++xvbn+=EXTRAWORD
to ^to+vcmp+++=to
David ^vb++++=David
Culross ^np+++??+=Culross.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
go ^vb++++=go
back ^jjb++++=back,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
despairingly ^rb+cnj+++=despairingly,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
great ^jj++++=great
building ^jj+++xvbg+=building
that ^dt+pdem+++=that
arose ^vbd+++xvbn+=arose
above ^jjb++++=above
the ^ati++++=the
stony ^jj+atrb+++=stony
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
take ^vb++++=take
me ^pp1o+pp1+++=me
in ^in+strn+++=in."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
absolutely ^rb+amp+++=absolutely
without ^in++++=without
a ^at++++=a
refuge ^nn++++=refuge,
, ^zz++++=EXTRAWORD
utterly ^rb+amp+++=utterly
without ^in++++=without
a ^at++++=a
destination ^nn+nom+++=destination;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
a ^at++++=a
hope ^nn++++=hope.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
he ^pp3a+pp3+++=he
desired ^vbd+vsua++xvbnx+=desired
except ^in++++=except
the ^ati++++=the
surrounding ^nn++++=surrounding
of ^in++++=of
those ^dt+dem+++=those
four ^cd++++=four
narrow ^jj+atrb+++=narrow
walls ^nns++++=walls
between ^in++++=between
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lain ^vprf+++xvbn+=lain
at ^in++++=at
night ^nn++++=night
and ^cc++++=and
dreamed ^vbd+vprv++xvbn+=dreamed
those ^dt+dem+++=those
ever ^rb++++=ever-recurring
- ^zz++++=EXTRAWORD
recurring ^jj+atrb+++=EXTRAWORD
dreams ^nps++++=dreams,
, ^zz++++=EXTRAWORD
- ^zz++++=-dreams
dreams ^nns++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
never ^rb++++=never
prophecies ^nns++++=prophecies
or ^cc++++=or
promises ^nns++++=promises,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
always ^rb++++=always
the ^ati++++=the
hackneyed ^jj+atrb+++=hackneyed
history ^nn++++=history
of ^in++++=of
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
sacrificed ^vprf+++xvbnx+=sacrificed
by ^in++++=by
his ^pp$+pp3+++=his
crime ^nn++++=crime,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
relinquished ^vpsv++by+xvbn+=relinquished
by ^in++++=by
his ^pp$+pp3+++=his
pride ^nn++++=pride.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
who ^whp+rel+subj++=who
passed ^vbd+++xvbn+=passed
him ^pp3o+pp3+++=him
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
mingled ^jj+atrb++xvbn+=mingled
amusement ^nn+nom+++=amusement
and ^cc++++=and
pity ^nn++++=pity.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
" ^zz++++="prison
prison ^nn++++=EXTRAWORD
look ^nn++++=look,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
they ^pp3a+pp3+++=they
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
prison ^nn++++=prison
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
For ^in++++=For
though ^cs+sub+++=though
the ^ati++++=the
State ^nn++++=State
gives ^vbz++++=gives
to ^in++++=to
its ^pp$+it+++=its
discharged ^xvbn+++xvbn+=discharged
convicts ^nns++++=convicts
clothes ^nns++++=clothes
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
like ^in++++=like
those ^dt+dem+++=those
of ^in++++=of
other ^ap++++=other
men ^nns++++=men,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
makes ^vbz++++=makes
a ^at++++=a
hundred ^cd++++=hundred
suits ^nns++++=suits
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
police ^nns++++=police
know ^vb+vprv+++=know
the ^ati++++=the
fabric ^nn++++=fabric,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
the ^ati++++=the
citizens ^nns++++=citizens
recognize ^vb+vprv+++=recognize
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
each ^dt++++=each
man ^nn++++=man
dressed ^vbd+++xvbn+=dressed
in ^in++++=in
different ^jj+atrb+++=different
garb ^nn++++=garb
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
disguised ^vpsv++agls+xvbnx+=disguised.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^cd1++++=one
knows ^vbz+vprv+++=knows
in ^in++++=in
what ^wdt+who+++=what
dull ^jj+atrb+++=dull
school ^nn++++=school
that ^tht+rel+++=that
sidelong ^jj+atrb+++=sidelong
glance ^nn++++=glance
is ^vbz+bez+aux++=is
learned ^vpsv++agls+xvbnx+=learned,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
aimless ^jj++++=aimless
drooping ^jj++++=drooping
of ^in++++=of
the ^ati++++=the
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
rhythmic ^jj++++=rhythmic
lifting ^jj+++xvbg+=lifting
of ^in++++=of
the ^ati++++=the
heavy ^jj+atrb+++=heavy
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
David ^np++++=David
Culross ^np+++??+=Culross
wondered ^vbd+vprv++xvbn+=wondered
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
will ^md+prd+++=will
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
test ^nn++++=test.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifted ^vbd+++xvbnx+=lifted
up ^rp++++=up
his ^pp$+pp3+++=his
head ^nn++++=head
to ^in++++=to
a ^at++++=a
position ^nn+nom+++=position
which ^whp+rel+obj++=which
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
held ^vbd+vprv++xvbn+=held
for ^in++++=for
many ^ap++++=many
miserable ^jj+atrb+++=miserable
years ^nns++++=years.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
hands ^nns++++=hands
in ^in++++=in
his ^pp$+pp3+++=his
pockets ^nns++++=pockets
in ^in++++=in
a ^at++++=a
pitiful ^jj+atrb+++=pitiful
attempt ^nn++++=attempt
at ^rb++++=at
nonchalance ^nn+nom+++=nonchalance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vbd+++xvbn+=walked
down ^rp++++=down
the ^ati++++=the
street ^nn++++=street
with ^in++++=with
a ^at++++=a
step ^nn++++=step
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
meant ^vpsv++agls+xvbnx+=meant
to ^to+vcmp+++=to
be ^vbi++vrb++=be
brisk ^jj+pred+++=brisk,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
which ^wdt+who+whq++=which
was ^vbd+bedz+aux++=was
in ^in++++=in
fact ^nn++++=fact
only ^rb+down+++=only
uncertain ^jj++++=uncertain.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
were ^vbd+bed+vrb++=were
ten ^cd++++=ten
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
much ^rb++++=much
the ^ati++++=the
State ^nn++++=State
equips ^nns+++??+=equips
a ^at++++=a
man ^nn++++=man
with ^in++++=with
when ^wrb+who+++=when
it ^pp3+it+++=it
sends ^vbz++++=sends
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
of ^in++++=of
its ^pp$+it+++=its
penal ^jj+atrb+++=penal
halls ^nns++++=halls.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gives ^vbz++++=gives
him ^pp3o+pp3+++=him
also ^rb++++=also
transportation ^nn+nom+++=transportation
to ^in++++=to
any ^dti++++=any
point ^nn++++=point
within ^in++++=within
reasonable ^jj+atrb+++=reasonable
distance ^nn+nom+++=distance
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
may ^md+pos+++=may
desire ^nn++++=desire
to ^to+ncmp+++=to
reach ^vbi++++=reach.
. ^zz++++=EXTRAWORD
Culross ^np+++??+=Culross
had ^vbd+hvd+aux++=had
requested ^vprf+++xvbnx+=requested
a ^at++++=a
ticket ^nn++++=ticket
to ^in++++=to
Chicago ^np++++=Chicago.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
naturally ^rb++++=naturally
said ^vbd+vpub++xvbn+=said
Chicago ^np++++=Chicago.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
long ^jj+atrb+++=long
colorless ^jj+atrb+++=colorless
days ^nns++++=days
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
Chicago ^np++++=Chicago
that ^tht+rel+++=that
all ^abn++++=all
those ^dt+dem+++=those
endlessly ^rb++++=endlessly
repeated ^xvbn+++xvbn+=repeated
scenes ^nns++++=scenes
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
laid ^vpsv++agls+xvbnx+=laid.
. ^zz++++=EXTRAWORD
Walking ^vbg+++xvbg+=Walking
up ^rp++++=up
the ^ati++++=the
street ^nn++++=street
now ^rn+tm+++=now
with ^in++++=with
that ^dt+dem+++=that
wavering ^jj+atrb+++=wavering
ineffectual ^nn+nom+++=ineffectual
gait ^nn++++=gait,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
scenes ^nns++++=scenes
came ^vbd+++xvbn+=came
back ^jjb++++=back
to ^to++++=to
surge ^vbi++++=surge
in ^in++++=in
his ^pp$+pp3+++=his
brain ^nn++++=brain
like ^in++++=like
waters ^nns++++=waters
ceaselessly ^rb++++=ceaselessly
tossed ^vbd+++xvbn+=tossed
in ^in++++=in
a ^at++++=a
wind ^nn++++=wind-swept
- ^zz++++=EXTRAWORD
swept ^vbd+++xvbn+=EXTRAWORD
basin ^nn++++=basin.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
office ^nn++++=office,
, ^zz++++=EXTRAWORD
bare ^jj++++=bare
and ^cc+phrs+++=and
clean ^jj++++=clean,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
young ^jj+atrb+++=young
stoop ^nn+++??+=stoop-shouldered
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
clerks ^nns++++=clerks
sat ^vbd+++xvbn+=sat
writing ^nvbg+++xvbg+=writing.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
faces ^nns++++=faces
was ^vbd+bedz+vrb++=was
a ^at++++=a
strange ^jj+atrb+++=strange
resemblance ^nn+nom+++=resemblance,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
backs ^nns++++=backs
of ^in++++=of
the ^ati++++=the
ledgers ^nns+nom+++=ledgers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
endless ^jj+atrb+++=endless
bills ^nns++++=bills
on ^in++++=on
the ^ati++++=the
spindles ^nns++++=spindles.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
with ^in++++=with
gayety ^nn+++??+=gayety,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
gratification ^nn+nom+++=gratification
at ^in++++=at
the ^ati++++=the
discomfiture ^nn+++??+=discomfiture
of ^in++++=of
another ^dt++++=another.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
them ^pp3o+pp3+++=them
ate ^vbd+++xvbn+=ate
well ^jj+pred+++=well.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+aux++=were
rested ^vpsv++agls+xvbnx+=rested
after ^in++++=after
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
them ^pp3o+pp3+++=them
rode ^vbd+++xvbn+=rode
on ^in++++=on
the ^ati++++=the
stuffy ^jj+atrb+++=stuffy
onehorse ^nn+++??+=onehorse
cars ^nns++++=cars
to ^to++++=to
and ^cc++++=and
from ^in++++=from
their ^pp$+pp3+++=their
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Sundays ^nrs++++=Sundays
they ^pp3a+pp3+++=they
lay ^vbd+++xvbnx+=lay
in ^in++++=in
bed ^nn++++=bed
very ^ql+amp+++=very
late ^jj++++=late,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ate ^vbd+++xvbn+=ate
more ^rbr++++=more
dinner ^nn++++=dinner
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
could ^md+pos+++=could
digest ^vb++++=digest.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
certain ^jj+atrb+++=certain
fellowship ^nn+nom+++=fellowship
among ^in++++=among
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
- ^zz++++=-such
such ^abl++++=EXTRAWORD
fellowship ^nn+nom+++=fellowship
as ^in++++=as
a ^at++++=a
band ^nn++++=band
of ^in++++=of
captives ^nns++++=captives
among ^in++++=among
cannibals ^nns+nom+++=cannibals
might ^md+pos+++=might
feel ^vb+vprv+++=feel,
, ^zz++++=EXTRAWORD
each ^dt++++=each
of ^in++++=of
them ^pp3o+pp3+++=them
waiting ^nvbg+++xvbg+=waiting
with ^in++++=with
vital ^jj+atrb+++=vital
curiosity ^nn+nom+++=curiosity
to ^to++++=to
see ^vbi+vprv+++=see
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
the ^ati++++=the
next ^ap++++=next
to ^to++++=to
be ^vbi+vbi+aux++=be
eaten ^vpsv++agls+xvbnx+=eaten.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
of ^in++++=of
that ^dt+dem+++=that
fellowship ^nn+nom+++=fellowship
that ^tht+rel+obj++=that
plans ^nns++++=plans
in ^in++++=in
unison ^nn++++=unison,
, ^zz++++=EXTRAWORD
suffers ^nns+nom+++=suffers
in ^in++++=in
sympathy ^nn++++=sympathy,
, ^zz++++=EXTRAWORD
enjoys ^vbz++++=enjoys
vicariously ^rb+cnj+++=vicariously,
, ^zz++++=EXTRAWORD
strengthens ^vbz++++=strengthens
into ^in++++=into
friendship ^nn+nom+++=friendship
and ^cc++++=and
communion ^nn++++=communion
of ^in++++=of
soul ^nn++++=soul
they ^pp3a+pp3+++=they
knew ^vbd+vprv+tht0+xvbnx+=knew
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
such ^abl++++=such
camaraderie ^nn+++??+=camaraderie
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
disapproved ^vpsv++agls+xvbnx+=disapproved
of ^in++++=of
by ^in++++=by
the ^ati++++=the
Head ^jjb+atrb+++=Head
Clerk ^nn++++=Clerk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
have ^vb+hv+aux++=have
looked ^vprf+++xvbnx+=looked
on ^in++++=on
an ^at++++=an
emotion ^nn+nom+++=emotion
with ^in++++=with
exactly ^rb++++=exactly
the ^ati++++=the
same ^ap++++=same
displeasure ^nn++++=displeasure
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
on ^in++++=on
an ^at++++=an
error ^nn++++=error
in ^in++++=in
the ^ati++++=the
footing ^nn++++=footing
of ^in++++=of
the ^ati++++=the
year ^nn++++=year's
's ^$++++=EXTRAWORD
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
tacitly ^rb++splt++=tacitly
understood ^vpsv++agls+xvbnx+=understood
that ^tht+vcmp+++=that
one ^cd1++++=one
reached ^vprf+++xvbn+=reached
the ^ati++++=the
proud ^jj+atrb+++=proud
position ^nn+nom+++=position
of ^in++++=of
Head ^jjb+atrb+++=Head
Clerk ^nn++++=Clerk
by ^in++++=by
having ^xvbg+++xvbg+=having
no ^at++++=no
emotions ^nns+nom+++=emotions
whatever ^nn+nom+++=whatever.
. ^zz++++=EXTRAWORD
Culross ^np+++??+=Culross
did ^vbd+dod+aux++=did
not ^xnot++not++=not
remember ^nn+nom+++=remember
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
born ^vpsv++agls+xvbnx+=born
with ^in++++=with
a ^at++++=a
pen ^nn++++=pen
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
with ^in++++=with
one ^pn++++=one
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
ear ^nn++++=ear;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
certainly ^rb++++=certainly
from ^in++++=from
the ^ati++++=the
day ^nn++++=day
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
let ^vpsv++agls+xvbnx+=let
out ^rb+phrv+++=out
of ^in++++=of
knickerbockers ^nns+nom+++=knickerbockers
his ^pp$+pp3+++=his
constant ^jj+atrb+++=constant
companion ^nn++++=companion
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
that ^dt+dem+++=that
greatly ^rb+amp+++=greatly
overestimated ^vprf+++xvbn+=overestimated
article ^nn++++=article.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
dying ^vwbg+++xvbg+=dying
at ^rb++++=at
a ^at++++=a
time ^nn++++=time
that ^tht+rel+subj++=that
cut ^vwbn+++xvbn+=cut
short ^jj+atrb+++=short
David ^np++++=David's
's ^$++++=EXTRAWORD
school ^nn++++=school-days,
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
armed ^jj+++xvbn+=armed
with ^in++++=with
his ^pp$+pp3+++=his
new ^jj+atrb+++=new
knowledge ^nn++++=knowledge
of ^in++++=of
doubleentry ^nn++++=doubleentry,
, ^zz++++=EXTRAWORD
determined ^j+++xvbn+=determined
to ^to+jcmp+++=to
make ^vbi++++=make
a ^at++++=a
fortune ^nn++++=fortune
and ^cc++++=and
