Although ^cs+con+++=Although
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
so ^rb+cnj+++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
apologetically ^rb++++=apologetically.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
excuse ^vb++++=excuse
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
expert ^nn++++=expert
onto ^in++++=onto
gold ^nn++++=gold-mines'
- ^zz++++=EXTRAWORD
mines ^nns++++=EXTRAWORD
' ^zz++++=EXTRAWORD
names ^nns++++=names
and ^cc++++=and,
, ^zz++++=EXTRAWORD
offhand ^jj++++=offhand,
, ^zz++++=EXTRAWORD
them ^pp3o+pp3+++=them
two ^cd++++=two
names ^nns++++=names
seem ^vb+seem+++=seem
about ^in++++=about
the ^ati++++=the
same ^ap++++=same
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
remark ^nn++++=remark
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
that ^dt+dem+++=that
the ^ati++++=the
indebtedness ^nns+nom+++=indebtedness
of ^in++++=of
the ^ati++++=the
liability ^nn+nom+++=liability
I ^pp1a+pp1+++=I
now ^rn+tm+++=now
owe ^vb++++=owe
you ^pp2+pp2+++=you
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
thirteen ^cd++++=thirteen
thousand ^cd++++=thousand
seven ^cd++++=seven
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
dollars ^nns++++=dollars."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
sooner ^rbr++++=sooner
you ^pp2+pp2+++=you
get ^vb++++=get
it ^pp3+it+++=it
paid ^vbd+++xvbn+=paid
up ^rp++++=up
the ^ati++++=the
better ^jjr++++=better
it ^pp3+it+++=it
will ^md+prd+++=will
suit ^vb++++=suit
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
assuming ^vbg+vprv++xvbg+=assuming
an ^at++++=an
air ^nn++++=air
of ^in++++=of
little ^ap++++=little
concern ^nn++++=concern,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked:
: ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
likely ^jj++++=likely
to ^to+jcmp+++=to
suppose ^vbi+vprv+tht0++=suppose
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
any ^dti++++=any
word ^nn++++=word
from ^in++++=from
Miss ^npt++++=Miss
Syrilla ^np++++=Syrilla,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
answer ^nn++++=answer
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook
went ^vbd+++xvbn+=went
to ^in++++=to
his ^pp$+pp3+++=his
desk ^nn++++=desk
and ^cc++++=and
brought ^xvbn+++xvbn+=brought
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
a ^at++++=a
telegram ^nn++++=telegram.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
from ^in++++=from
Syrilla ^np+++??+=Syrilla.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
said: ^nn+++??+=said:-Eating
- ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=EXTRAWORD
no ^at++++=no
potatoes ^nns++++=potatoes,
, ^zz++++=EXTRAWORD
drinking ^vbg+++xvbg+=drinking
no ^at++++=no
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
lost ^vprf+++xvbnx+=lost
eight ^cd++++=eight
pounds ^nns++++=pounds.
. ^zz++++=EXTRAWORD
Kind ^nn++++=Kind
love ^vb++++=love
to ^to+vcmp+++=to
Mr ^vb++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
wore ^vpsv++agls+xvbnx+=wore
herself ^ppl+pp3+++=herself
down ^rp++++=down
to ^to++++=to
nine ^cd++++=nine
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
only ^ap+down+++=only
got ^vprf+++xvbn+=got
to ^to+vcmp+++=to
wear ^vbi++++=wear
off ^in+pl+++=off
two ^cd++++=two
hundred ^cd++++=hundred
and ^cc++++=and
ninety ^cd++++=ninety-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
pounds ^nns++++=pounds
more ^rbr++++=more
before ^in++++=before
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Dorgan ^np++++=Dorgan
will ^md+prd+++=will
discharge ^vb++++=discharge
her ^pp$+pp3+++=her
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
side ^nn++++=side-show."
- ^zz++++=EXTRAWORD
show ^vb+vprv+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
rate ^nn++++=rate
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
wearing ^vbg+++xvbgx+=wearing
herself ^ppl+pp3+++=herself
away ^rp+pl+++=away,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
in ^in++++=in
about ^in++++=about
ten ^cd++++=ten
years ^nns++++=years!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
interests ^nns++++=interests
me ^pp1o+pp1+++=me
more ^ql++++=more
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
telegram ^nn++++=telegram
came ^vbd+++xvbn+=came
collect ^vb++++=collect
and ^cc++++=and
cost ^nn++++=cost
me ^pp1o+pp1+++=me
forty ^cd++++=forty
cents ^nns++++=cents.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
do ^vbi++++=do
the ^ati++++=the
square ^jj+atrb+++=square
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
pay ^vb++++=pay
me ^pp1o+pp1+++=me
twenty ^cd++++=twenty
cents ^nns++++=cents
for ^in++++=for
your ^pp$+pp2+++=your
share ^nn++++=share
of ^in++++=of
that ^dt+dem+++=that
telegram ^nn++++=telegram."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
immediately ^rb+tm+++=immediately
gave ^vbd+++xvbn+=gave
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook
twenty ^cd++++=twenty
cents ^nns++++=cents
and ^cc++++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook
kindly ^rb++++=kindly
allowed ^vwbn+++xvbn+=allowed
him ^pp3o+pp3+++=him
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
telegram ^nn++++=telegram.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
placed ^vwbn+++xvbn+=placed
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
pocket ^nn++++=pocket
nearest ^jjt++++=nearest
his ^pp$+pp3+++=his
heart ^nn++++=heart
and ^cc++++=and
proceeded ^vpsv++agls+xvbn+=proceeded
to ^in++++=to
a ^at++++=a
house ^npl++++=house
on ^in++++=on
Tenth ^od++++=Tenth
Street ^npl++++=Street
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
job ^nn++++=job
of ^in++++=of
paper ^nn++++=paper-hanging.
- ^zz++++=EXTRAWORD
hanging ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
about ^in++++=about
this ^dt+dem+++=this
same ^ap++++=same
time ^nn++++=time
Smith ^np++++=Smith
Wittaker ^np+nom++??+=Wittaker,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Riverbank ^np+++??+=Riverbank
Marshal ^npt++++=Marshal--or
-- ^--+clp+++=EXTRAWORD
or ^cc+cls+++=EXTRAWORD
Chief ^jjb++++=Chief
of ^in++++=of
Police ^nns++++=Police,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
called ^vpsv++agls+xvbnx+=called
in ^rb+phrv+++=in
a ^at++++=a
larger ^jjr+atrb+++=larger
city ^nn++++=city--knocked
-- ^--+clp+++=EXTRAWORD
knocked ^j+++xvbn+=EXTRAWORD
the ^ati++++=the
ashes ^nns++++=ashes
from ^in++++=from
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
against ^in++++=against
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
his ^pp$+pp3+++=his
much ^ap++++=much-whittled
- ^zz++++=EXTRAWORD
whittled ^vbd+++xvbn+=EXTRAWORD
desk ^nn++++=desk
in ^in++++=in
the ^ati++++=the
dingy ^jj+atrb+++=dingy
Marshal ^np++++=Marshal's
's ^$++++=EXTRAWORD
room ^nn++++=room
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
floor ^nn++++=floor
of ^in++++=of
the ^ati++++=the
City ^nn++++=City
Hall ^npl++++=Hall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grinned ^vpsv++agls+xvbn+=grinned
at ^in++++=at
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
Riverbank ^np++++=Riverbank's
's ^$++++=EXTRAWORD
citizens ^nns++++=citizens.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
with ^in++++=with
a ^at++++=a
grin ^nn++++=grin.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
but ^cc+cls+++=but
what ^wdt+who+++=what
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
be ^vbi++vrb++=be
un ^np++++=un-burgled
- ^zz++++=EXTRAWORD
burgled ^jj+++xvbn+=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
somebody ^pn++++=somebody
playing ^vbg+++xvbg+=playing
a ^at++++=a
joke ^nn++++=joke
on ^in++++=on
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
do ^vbi++++=do
a ^rb++++=a
little ^rb"++++=little
joking ^vbg+++xvbg+=joking
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
just ^rb+emph+++=just
enough ^dt++++=enough
of ^in++++=of
a ^at++++=a
joker ^nn++++=joker
to ^to++++=to
want ^vbi++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
whoever ^wp+who+whcl++=whoever
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
jail ^nn++++=jail.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
house ^nn++++=house
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
house ^nn++++=house--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
castle ^nn++++=castle,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
saying ^nvbg+++xvbg+=saying
is ^vbz+bez+vrb++=is--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
strangers ^nns+nom+++=strangers
wandering ^vwbg+++xvbg+=wandering
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
come ^vb++++=come
to ^to++++=to
take ^vbi++++=take
away ^rb+phrv+++=away
my ^pp$+pp1+++=my
property ^nn++++=property,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
leave ^nn++++=leave
property ^nn++++=property
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
a ^at++++=a
law ^nn++++=law
against ^in++++=against
such ^abl++++=such
things ^nns++++=things
as ^cs+sub+++=as
happened ^vbd+++xvbn+=happened
at ^rb++++=at
my ^pp$+pp1+++=my
house ^nn++++=house?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
law ^nn++++=law
all ^abn++++=all
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Marshal ^npt++++=Marshal
Wittaker ^np+nom++??+=Wittaker.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
burglary ^nn+nom+++=burglary,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
the ^ati++++=the
burglar ^nn+++??+=burglar
breaks ^vbz++++=breaks
into ^in+ppvb+++=into
your ^pp$+pp2+++=your
house ^nn++++=house
or ^cc++++=or
breaks ^nns++++=breaks
out ^rp+pl+++=out
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
broke ^vbd+++xvbnx+=broke
out ^rp+pl+++=out?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
wife ^nn++++=wife
and ^cc++++=and
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
Riverbank ^np+++??+=Riverbank
Theater ^np+++??+=Theater
last ^jj+atrb+++=last
night ^nn++++=night,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
home ^nr++++=home
and ^cc++++=and
went ^vbd+++xvbn+=went
to ^to++++=to
put ^vbi++++=put
the ^ati++++=the
key ^nn++++=key
in ^in++++=in
the ^ati++++=the
keyhole ^nn++++=keyhole,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
another ^dt++++=another
key ^jjb++++=key
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
are ^vb+ber+vrb++=are
the ^ati++++=the
two ^cd++++=two
keys ^nns++++=keys."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Marshal ^npt++++=Marshal
Wittaker ^np+nom++??+=Wittaker
took ^vbd+++xvbn+=took
the ^ati++++=the
two ^cd++++=two
keys ^nns++++=keys
and ^cc++++=and
examined ^vwbn+++xvbn+=examined
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old
doorkey ^nn+++??+=doorkey,
, ^zz++++=EXTRAWORD
much ^ap++++=much
worn ^vwbn+++xvbn+=worn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
a ^at++++=a
new ^jj++++=new
key ^jjb++++=key,
, ^zz++++=EXTRAWORD
evidently ^rb++++=evidently
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
an ^at++++=an
amateur ^nn++++=amateur
key ^nn++++=key-maker.
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Marshal ^npt++++=Marshal
Wittaker ^np+nom++??+=Wittaker,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
keys ^nns++++=keys.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
new ^jj+atrb+++=new
one ^cd1++++=one
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
out ^rp+pl+++=out
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
spoon ^nn++++=spoon.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
ahead ^rb+pl+++=ahead."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
had ^vb+hv+vrb++=had
a ^at++++=a
key ^nn++++=key
like ^in++++=like
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
house ^nn++++=house,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Griscom ^np++++=Griscom.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
reached ^vbd+++xvbn+=reached
home ^nr++++=home
last ^jj+atrb+++=last
night ^nn++++=night,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
nickel ^nn++++=nickel-silver
- ^zz++++=EXTRAWORD
silver ^nn++++=EXTRAWORD
key ^jjb++++=key
was ^vbd+bedz+aux++=was
sticking ^vbg+++xvbgx+=sticking
in ^in++++=in
the ^ati++++=the
lock ^nn++++=lock
of ^in++++=of
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
door ^nn++++=door
was ^vbd+bedz+aux++=was
unlocked ^vpsv++agls+xvbnx+=unlocked
and ^cc++++=and
standing ^nvbg+++xvbg+=standing
ajar ^rb++++=ajar."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
some ^dti++++=some
one ^cd1++++=one
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
in ^in++++=in
at ^in++++=at
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door
