Do ^vb+do+aux++=Do
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
true ^jj++++=true,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
every ^at++++=every
word ^nn++++=word
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
men ^nns++++=men
alive ^jj++++=alive
at ^rb++++=at
Cape ^np++++=Cape
Colony ^nn++++=Colony
now ^rn+tm+++=now
who ^whp+who+++=who'll
'll ^md+prd+++0=EXTRAWORD
remember ^nn+nom+++=remember
it ^pp3+it+++=it
and ^cc++++=and
confirm ^vb+vpub+++=confirm
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
a ^at++++=a
time ^nn++++=time
has ^vbz+hvz+vrb++=has
the ^ati++++=the
tale ^nn++++=tale
been ^vprf+ben+aux+xvbn+=been
told ^vpsv++agls+xvbnx+=told
round ^rb++++=round
the ^ati++++=the
fire ^nn++++=fire
in ^in++++=in
Boers ^np+++??+=Boers'
' ^zz++++=EXTRAWORD
cabins ^nns++++=cabins
from ^in++++=from
Orange ^np++++=Orange
state ^nn++++=state
to ^in++++=to
Griqualand ^np+++??+=Griqualand;
; ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
bush ^nn++++=bush
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
diamond ^nn++++=diamond-fields
- ^zz++++=EXTRAWORD
fields ^nns++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
roughish ^jj+pred+++=roughish
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
entered ^vpsv++agls+xvbnx+=entered
at ^rb++++=at
the ^ati++++=the
Middle ^jjb+atrb+++=Middle
Temple ^nn++++=Temple
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
studied ^vpsv++agls+xvbn+=studied
for ^in++++=for
the ^ati++++=the
bar ^nn++++=bar.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom--worse
-- ^--+clp+++=EXTRAWORD
worse ^jjr+atrb+++=EXTRAWORD
luck! ^nn+++??+=luck!--was
-- ^--+clp+++=EXTRAWORD
was ^vbd+bedz+vrb++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
fellowstudents ^nns+++??+=fellowstudents;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wildish ^jj+atrb+++=wildish
time ^nn++++=time
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
at ^rb++++=at
last ^rb"++++=last
our ^pp$+pp1+++=our
finances ^nns+nom+++=finances
ran ^vbd+++xvbn+=ran
short ^jj++++=short,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
give ^vbi++++=give
up ^rb+phrv+++=up
our ^pp$+pp1+++=our
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=EXTRAWORD
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
look ^vb++++=look
about ^in++++=about
for ^in++++=for
some ^dti++++=some
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
where ^wrb+who+++=where
two ^cd++++=two
young ^jj+atrb+++=young
fellows ^nns++++=fellows
with ^in++++=with
strong ^jj+atrb+++=strong
arms ^nns++++=arms
and ^cc++++=and
sound ^jj+atrb+++=sound
constitutions ^nns+nom+++=constitutions
might ^md+pos+++=might
make ^vb++++=make
their ^pp$+pp3+++=their
mark ^nn++++=mark.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
days ^nns++++=days
the ^ati++++=the
tide ^nn++++=tide
of ^in++++=of
emigration ^nn+nom+++=emigration
had ^vb+hv+aux++=had
scarcely ^rb+down+splt++=scarcely
begun ^vprf+++xvbnx+=begun
to ^to++++=to
set ^vbi++++=set
in ^in++++=in
toward ^in++++=toward
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
our ^pp$+pp1+++=our
best ^jjt+atrb+++=best
chance ^nn++++=chance
would ^md+prd+++=would
be ^vb+be+vrb++=be
down ^rp++++=down
at ^rb++++=at
Cape ^np++++=Cape
Colony ^nn++++=Colony.
. ^zz++++=EXTRAWORD
Well, ^np+++??+=Well,--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
make ^vbi++++=make
a ^at++++=a
long ^jj+atrb+++=long
story ^nn++++=story
short, ^nn+++??+=short,--we
-- ^--+clp+++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
set ^vbd+++xvbn+=set
sail ^vb++++=sail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+aux++=were
deposited ^vpsv++agls+xvbnx+=deposited
in ^in++++=in
Cape ^np++++=Cape
Town ^nn++++=Town
with ^in++++=with
less ^rbr++++=less
than ^in++++=than
five ^cd++++=five
pounds ^nns++++=pounds
in ^in++++=in
our ^pp$+pp1+++=our
pockets ^nns++++=pockets;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
we ^pp1a+pp1+++=we
parted ^vbd+++xvbn+=parted.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
each ^dt++++=each
tried ^jj+++xvbn+=tried
our ^pp$+pp1+++=our
hands ^nns++++=hands
at ^in++++=at
many ^ap++++=many
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
ups ^nns"++++=ups
and ^cc++++=and
downs ^nns++++=downs;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
three ^cd++++=three
years ^nns++++=years,
, ^zz++++=EXTRAWORD
chance ^nn++++=chance
led ^vbd+++xvbn+=led
each ^ppls++++=each
of ^in++++=of
us ^pp1o+pp1+++=us
up ^rp++++=up-country
- ^zz++++=EXTRAWORD
country ^nn++++=EXTRAWORD
and ^cc++++=and
we ^pp1a+pp1+++=we
met ^vbd+++xvbn+=met
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
regret ^vb++++=regret
to ^to+vcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
in ^in++++=in
almost ^rb+hdg+++=almost
as ^in++++=as
bad ^jj++++=bad
a ^at++++=a
plight ^nn++++=plight
as ^ql++++=as
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
started ^vbd+++xvbn+=started.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
much ^rb++++=much
of ^in++++=of
a ^at++++=a
commencement ^nn+nom+++=commencement;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
disheartened ^jj+++xvbn+=disheartened
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
disheartened ^jj+++xvbn+=disheartened
that ^cs+sub+++=that
Tom ^np++++=Tom
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
going ^xvbg+++xvbg+=going
back ^jjb++++=back
to ^in++++=to
England ^np++++=England
and ^cc++++=and
getting ^vbg+++xvbg+=getting
a ^at++++=a
clerkship ^nn+nom+++=clerkship.
. ^zz++++=EXTRAWORD
For ^in++++=For
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
played ^vprf+++xvbnx+=played
out ^rp+pl+++=out
all ^rb++++=all
our ^pp$+pp1+++=our
small ^jj+atrb+++=small
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
trumps ^nns+++??+=trumps
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
turn ^vb++++=turn
up ^rb+phrv+++=up.
. ^zz++++=EXTRAWORD
No ^at++++=No;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
our ^pp$+pp1+++=our
" ^zz++++="hands"
hands ^nns++++=EXTRAWORD
" ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
bad ^jj+pred+++=bad
all ^abn++++=all
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
lonely ^jj+atrb+++=lonely
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
inhabited ^xvbn+++xvbn+=inhabited
by ^in++++=by
a ^ap++++=a
few ^ap"++++=few
scattered ^jj+atrb++xvbn+=scattered
farms ^nns++++=farms,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
houses ^nns++++=houses
were ^vbd+bed+aux++=were
stockaded ^vpsv++agls+xvbnx+=stockaded
and ^cc+phrs+++=and
fenced ^vpsv++agls+xvbn+=fenced
in ^in++++=in
to ^to++++=to
defend ^vbi++++=defend
them ^pp3o+pp3+++=them
against ^in++++=against
the ^ati++++=the
Kaffirs ^np+++??+=Kaffirs.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
Donahue ^np+++??+=Donahue
and ^cc++++=and
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^rb++++=a
little ^rb"++++=little
hut ^nn++++=hut
right ^nn++++=right
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
bush ^nn++++=bush;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
possess ^nns+nom+++=possess
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
be ^vbi++vrb++=be
handy ^jj+pred+++=handy
with ^in++++=with
our ^pp$+pp1+++=our
revolvers ^nns+nom+++=revolvers,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
little ^ap++++=little
to ^to++++=to
fear ^vbi++++=fear.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
we ^pp1a+pp1+++=we
waited ^vbd+++xvbn+=waited,
, ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=doing
odd ^jj+atrb+++=odd
jobs ^nns++++=jobs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hoping ^vbg+vprv++xvbg+=hoping
that ^tht+vcmp+++=that
something ^pn++++=something
would ^md+prd+++=would
turn ^vb++++=turn
up ^rb+phrv+++=up.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
there ^rn+pl+++=there
about ^rp++++=about
a ^at++++=a
month ^nn++++=month
something ^pn++++=something
did ^vbd+dod+aux++=did
turn ^vb++++=turn
up ^rb+phrv+++=up
upon ^in++++=upon
a ^at++++=a
certain ^jj+atrb+++=certain
night ^nn++++=night,
, ^zz++++=EXTRAWORD
something ^pn++++=something
which ^wdt+who+whq++=which
was ^vbd+bedz+aux++=was
the ^ati++++=the
making ^jj+++xvbg+=making
of ^in++++=of
both ^abx++++=both
of ^in++++=of
us ^pp1o+pp1+++=us;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
about ^in++++=about
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
it ^pp3+it+++=it
well ^rb++++=well.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
was ^vbd+bedz+aux++=was
howling ^nvbg+++xvbg+=howling
past ^jjb++++=past
our ^pp$+pp1+++=our
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rain ^nn++++=rain
threatened ^nn+++xvbn+=threatened
to ^to+ncmp+++=to
burst ^vbi++++=burst
in ^in++++=in
our ^pp$+pp1+++=our
rude ^jj+atrb+++=rude
window ^nn++++=window.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
wood ^nn++++=wood
fire ^nn++++=fire
crackling ^nn+nom+++=crackling
and ^cc++++=and
sputtering ^jj+++xvbg+=sputtering
on ^in++++=on
the ^ati++++=the
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
by ^in++++=by
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
mending ^vbg+++xvbg+=mending
a ^at++++=a
whip ^nn++++=whip,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Tom ^np++++=Tom
was ^vbd+bedz+aux++=was
lying ^vbg+++xvbgx+=lying
in ^in++++=in
his ^pp$+pp3+++=his
bunk ^nn++++=bunk
groaning ^vwbg+++xvbg+=groaning
disconsolately ^rb++++=disconsolately
at ^in++++=at
the ^ati++++=the
chance ^nn++++=chance
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
led ^vprf+++xvbnx+=led
him ^pp3o+pp3+++=him
to ^in++++=to
such ^abl++++=such
a ^at++++=a
place ^nn++++=place.
. ^zz++++=EXTRAWORD
" ^zz++++="Cheer
cheer ^nn++++=EXTRAWORD
up ^rp++++=up,
, ^zz++++=EXTRAWORD
Tom ^np++++=Tom--cheer
-- ^--+clp+++=EXTRAWORD
cheer ^nn++++=EXTRAWORD
up ^rp++++=up,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
man ^nn++++=man
ever ^rb++++=ever
knows ^vbz+vprv+++=knows
what ^wdt+who+++=what
may ^md+pos+++=may
be ^vb+be+aux++=be
awaiting ^vbg+++xvbgx+=awaiting
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ill
ill ^jj+atrb+++=EXTRAWORD
luck ^nn++++=luck,
, ^zz++++=EXTRAWORD
ill ^jj+atrb+++=ill
luck ^nn++++=luck,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
always ^rb++++=always
was ^vbd+bedz+vrb++=was
an ^at++++=an
unlucky ^jj+atrb+++=unlucky
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
been ^vb+vbd+vrb+xvbnx+=been
three ^cd++++=three
years ^nns++++=years
in ^in++++=in
this ^dt+dem+++=this
abominable ^jj+atrb+++=abominable
country ^nn++++=country;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
lads ^nns++++=lads
fresh ^jj++++=fresh
from ^in++++=from
England ^np++++=England
jingling ^vwbg+++xvbg+=jingling
the ^ati++++=the
money ^nn++++=money
in ^in++++=in
their ^pp$+pp3+++=their
pockets ^nns++++=pockets,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
as ^ql++++=as
poor ^jj++++=poor
as ^ql++++=as
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
landed ^vbd+++xvbnx+=landed.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
keep ^vbi++++=keep
your ^pp$+pp2+++=your
head ^nn++++=head
above ^jjb+atrb+++=above
water ^nn++++=water,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
must ^md+nec+++=must
try ^vb++++=try
your ^pp$+pp2+++=your
fortune ^nn++++=fortune
away ^in+pl+++=away
from ^in"++++=from
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nonsense,
nonsense ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tom ^np++++=Tom;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
down ^rp++++=down
in ^in++++=in
your ^pp$+pp2+++=your
luck ^nn++++=luck
to ^to++++=to-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
hark ^nn+++??+=hark!
! ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here's
's ^vbz+bez+vrb++0=EXTRAWORD
some ^dti++++=some
one ^cd1++++=one
coming ^vbg+++xvbg+=coming
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
Dick ^np++++=Dick
Wharton ^np+++??+=Wharton,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
tread ^nn++++=tread;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
rouse ^vb++++=rouse
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
any ^dti++++=any
man ^nn++++=man
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Even ^rb++++=Even
as ^ql++++=as
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke
the ^ati++++=the
door ^nn++++=door
was ^vbd+bedz+aux++=was
flung ^vpsv++agls+xvbnx+=flung
open ^jj++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
honest ^jj+atrb+++=honest
Dick ^np++++=Dick
Wharton ^np+++??+=Wharton,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
water ^nn++++=water
pouring ^vwbg+++xvbg+=pouring
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
stepped ^j+++xvbn+=stepped
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hearty ^jj+atrb+++=hearty
red ^jj+atrb+++=red
face ^nn++++=face
looming ^vwbg+++xvbg+=looming
through ^in++++=through
the ^ati++++=the
haze ^nn++++=haze
like ^in++++=like
a ^at++++=a
harvest ^nn++++=harvest-moon.
- ^zz++++=EXTRAWORD
moon ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shook ^vbd+++xvbnx+=shook
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
greeting ^xvbg+++xvbg+=greeting
us ^pp1o+pp1+++=us
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire
to ^to++++=to
warm ^vbi++++=warm
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
Dick ^np++++=Dick,
, ^zz++++=EXTRAWORD
on ^in++++=on
such ^abl++++=such
a ^at++++=a
night ^nn++++=night
as ^in++++=as
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
the ^ati++++=the
rheumatism ^nn+nom+++=rheumatism
a ^at++++=a
worse ^jjr+atrb+++=worse
foe ^nn++++=foe
than ^in++++=than
the ^ati++++=the
Kaffirs ^np+++??+=Kaffirs,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
keep ^vb++++=keep
more ^rbr++++=more
regular ^jj+atrb+++=regular
hours ^nns++++=hours."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dick ^np++++=Dick
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
unusually ^rb++++=unusually
serious ^jj++++=serious,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
frightened ^jj+++xvbn+=frightened,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
one ^cd1++++=one
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Had
had ^md"++pmd"++=EXTRAWORD
to ^md+nec+++=to
go ^vb++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied--"had
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
had ^md"++pmd"++=EXTRAWORD
to ^md+nec+++=to
go ^vb++++=go.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
Madison ^np++++=Madison's
's ^$++++=EXTRAWORD
cattle ^nns++++=cattle
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
straying ^jj+++xvbg+=straying
down ^rp++++=down
Sasassa ^np+++??+=Sasassa
Valley ^nn++++=Valley,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in+emph+++=of
course ^nn+emph"+++=course
none ^pn++++=none
of ^in++++=of
our ^pp$+pp1+++=our
blacks ^nns++++=blacks
