Tomorrow ^nr+tm+++=TOMORROW
appeared ^vbd+seem++xvbn+=appeared
on ^in++++=on
cashew ^nn+++??+=cashew
trees ^nns++++=trees
and ^cc++++=and
guavas ^nns+++??+=guavas
on ^in++++=on
mango ^nn+++??+=mango
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thick ^jj+atrb+++=thick
mat ^nn++++=mat
of ^in++++=of
decaying ^jj+atrb+++=decaying
leaves ^nns++++=leaves
was ^vbd+bedz+vrb++=was
soggy ^jj+pred+++=soggy
under ^in++++=under
your ^pp$+pp2+++=your
bare ^jj+atrb+++=bare
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
afternoons ^nns++++=afternoons,
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow-bellied
- ^zz++++=EXTRAWORD
bellied ^xvbn+++xvbn+=EXTRAWORD
bees ^nns++++=bees
buzzed ^vbd+++xvbn+=buzzed
around ^rp++++=around
your ^pp$+pp2+++=your
head ^nn++++=head
and ^cc++++=and
your ^pp$+pp2+++=your
brother ^nn++++=brother
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
and ^cc++++=and
cousin ^nn++++=cousin
Dozie ^np++++=Dozie's
's ^$++++=EXTRAWORD
heads ^nns++++=heads,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
evenings ^nns++++=evenings
Grandmama ^np+++??+=Grandmama
let ^vbd+++xvbn+=let
only ^rb+down+++=only
your ^pp$+pp2+++=your
brother ^nn++++=brother
Nonso ^np+++??+=Nonso
climb ^nn++++=climb
the ^ati++++=the
trees ^nns++++=trees
to ^to++++=to
shake ^vbi++++=shake
a ^at++++=a
loaded ^jj+atrb++xvbn+=loaded
branch ^nn++++=branch,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
a ^at++++=a
better ^jjr+atrb+++=better
climber ^nn++++=climber
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Fruits ^nns++++=Fruits
would ^md+prd+++=would
rain ^vb++++=rain
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
avocados ^nns+++??+=avocados
and ^cc++++=and
cashews ^nns+++??+=cashews
and ^cc++++=and
guavas ^nns+++??+=guavas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
and ^cc++++=and
your ^pp$+pp2+++=your
cousin ^nn++++=cousin
Dozie ^np+++??+=Dozie
would ^md+prd+++=would
fill ^vb++++=fill
old ^jj+atrb+++=old
buckets ^nns+++??+=buckets
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
summer ^nn++++=summer
Grandmama ^np+++??+=Grandmama
taught ^vwbn+vsua++xvbn+=taught
Nonso ^np+++??+=Nonso
how ^wrb+who+++=how
to ^in++++=to
pluck ^nn+++??+=pluck
the ^ati++++=the
coconuts ^nns++++=coconuts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
coconut ^nn++++=coconut
trees ^nns++++=trees
were ^vbd+bed+vrb++=were
hard ^jj+pred+++=hard
to ^to+jcmp+++=to
climb ^vbi++++=climb,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
limb ^nn++++=limb-free
- ^zz++++=EXTRAWORD
free ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Grandmama ^np+++??+=Grandmama
gave ^vbd+++xvbn+=gave
Nonso ^np+++??+=Nonso
a ^at++++=a
long ^rb++++=long
stick ^vb++++=stick
and ^cc+phrs+++=and
showed ^vbd+vprv++xvbn+=showed
him ^pp3o+pp3+++=him
how ^wrb+who+++=how
to ^to++++=to
nudge ^vbi++++=nudge
the ^ati++++=the
padded ^jj+atrb++xvbn+=padded
pods ^nns+++??+=pods
down ^rp++++=down.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
show ^vb+vprv+++=show
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
girls ^nns++++=girls
never ^rb++++=never
plucked ^xvbn+++xvbn+=plucked
coconuts ^nns++++=coconuts.
. ^zz++++=EXTRAWORD
Grandmama ^np+++??+=Grandmama
cracked ^vbd+++xvbn+=cracked
the ^ati++++=the
coconuts ^nns++++=coconuts
against ^in++++=against
a ^at++++=a
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
watery ^jj+atrb+++=watery
milk ^nn++++=milk
stayed ^vbd+++xvbn+=stayed
in ^in++++=in
the ^ati++++=the
lower ^jjr+atrb+++=lower
piece ^nn++++=piece,
, ^zz++++=EXTRAWORD
a ^at++++=a
jagged ^jj+atrb+++=jagged
cup ^nn++++=cup.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
got ^vbd+++xvbn+=got
a ^at++++=a
sip ^nn++++=sip
of ^in++++=of
the ^ati++++=the
wind ^nn++++=wind-cooled
- ^zz++++=EXTRAWORD
cooled ^jj+atrb++xvbn+=EXTRAWORD
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
children ^nns++++=children
from ^in++++=from
down ^in++++=down
the ^ati++++=the
street ^nn++++=street
who ^whp+rel+subj++=who
came ^vbd+++xvbn+=came
to ^to++++=to
play ^vbi++++=play,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Grandmama ^np+++??+=Grandmama
presided ^vbd+++xvbn+=presided
over ^in++++=over
the ^ati++++=the
sipping ^jj+++xvbg+=sipping
ritual ^jjb++++=ritual
to ^to++++=to
make ^vbi++++=make
sure ^jj+atrb+++=sure
Nonso ^np+++??+=Nonso
went ^vbd+++xvbn+=went
first ^rb++++=first.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
summer ^nn++++=summer
you ^pp2+pp2+++=you
asked ^vbd+vsua++xvbn+=asked
Grandmama ^np+++??+=Grandmama
why ^wrb+who+++=why
Nonso ^np+++??+=Nonso
sipped ^vbd+++xvbn+=sipped
first ^rb++++=first
even ^cs+sub+++=even
though ^cs+sub+++=though
Dozie ^np+++??+=Dozie
was ^vbd+bedz+vrb++=was
thirteen ^cd++++=thirteen,
, ^zz++++=EXTRAWORD
a ^at++++=a
year ^nn++++=year
older ^jjr++++=older
than ^in++++=than
Nonso ^np+++??+=Nonso,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Grandmama ^np+++??+=Grandmama
said ^vbd+vpub+tht0+xvbn+=said
Nonso ^np+++??+=Nonso
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
son ^nn++++=son's
's ^$++++=EXTRAWORD
only ^ap+down+++=only
son ^nn++++=son,
, ^zz++++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
who ^whp+rel+subj++=who
would ^md+prd+++=would
carry ^vb++++=carry
on ^in++++=on
the ^ati++++=the
Nnabuisi ^np+++??+=Nnabuisi
name ^nn++++=name,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Dozie ^np+++??+=Dozie
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
nwadiana ^nn+++??+=nwadiana,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
daughter ^nn+nom+++=daughter's
's ^$++++=EXTRAWORD
son ^nn++++=son.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
summer ^nn++++=summer
you ^pp2+pp2+++=you
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
molt ^nn++++=molt
of ^in++++=of
a ^at++++=a
snake ^nn++++=snake
on ^in++++=on
the ^ati++++=the
lawn ^nn++++=lawn,
, ^zz++++=EXTRAWORD
unbroken ^jj++++=unbroken
and ^cc+phrs+++=and
sheer ^jjb++++=sheer
like ^in++++=like
see ^vb+vprv+++=see-through
- ^zz++++=EXTRAWORD
through ^in++++=EXTRAWORD
stockings ^nns++++=stockings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Grandmama ^np+++??+=Grandmama
told ^vbd+vpub++xvbn+=told
you ^pp2+pp2+++=you
the ^ati++++=the
snake ^nn++++=snake
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
echi ^nn+++??+=echi
eteka ^nn+++??+=eteka,
, ^zz++++=EXTRAWORD
" ^zz++++="Tomorrow
tomorrow ^nr+tm+++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
Too ^ql++++=Too
Far ^rb+pl+++=Far."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
One ^cd1++++=One
bite ^nn++++=bite,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
over ^rb++++=over
in ^in++++=in
ten ^cd++++=ten
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
summer ^nn++++=summer
you ^pp2+pp2+++=you
fell ^vbd+++xvbn+=fell
in ^in++++=in
love ^nn++++=love
with ^in++++=with
your ^pp$+pp2+++=your
cousin ^nn++++=cousin
Dozie ^np+++??+=Dozie
because ^cs+cos+++=because
that ^dt+dem+++=that
happened ^vprf+++xvbn+=happened
a ^ap++++=a
few ^ap"++++=few
summers ^nns+nom+++=summers
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
ten ^cd++++=ten
and ^cc++++=and
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
seven ^cd++++=seven
and ^cc++++=and
you ^pp2+pp2+++=you
both ^abx++++=both
wiggled ^jj+++xvbn+=wiggled
into ^in++++=into
the ^ati++++=the
tiny ^jj+atrb+++=tiny
space ^nn++++=space
behind ^in+pl+++=behind
Grandmama ^np++++=Grandmama's
's ^$++++=EXTRAWORD
garage ^nn++++=garage
and ^cc++++=and
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
fit ^vbi++++=fit
what ^wdt+who+++=what
you ^pp2+pp2+++=you
both ^abx++++=both
called ^jj+++xvbn+=called
his ^pp$+pp3+++=his
" ^zz++++="banana"
banana ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
into ^in++++=into
what ^wdt+who+++=what
you ^pp2+pp2+++=you
both ^abx++++=both
called ^jj+++xvbn+=called
your ^pp$+pp2+++=your
" ^zz++++="tomato"
tomato ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
neither ^dt++neg++=neither
of ^in++++=of
you ^pp2+pp2+++=you
was ^vbd+bedz+vrb++=was
sure ^jj+pred+++=sure
which ^whp+who+++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
right ^jj+atrb+++=right
hole ^nn++++=hole.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
summer ^nn++++=summer
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
lice ^nns++++=lice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
and ^cc++++=and
your ^pp$+pp2+++=your
cousin ^nn++++=cousin
Dozie ^np+++??+=Dozie
dug ^vwbn+++xvbn+=dug
through ^in++++=through
your ^pp$+pp2+++=your
thick ^jj+atrb+++=thick
hair ^nn++++=hair
to ^to++++=to
find ^vbi+vprv+++=find
the ^ati++++=the
tiny ^jj+atrb+++=tiny
black ^jj+atrb+++=black
insects ^nns++++=insects
and ^cc++++=and
squash ^nn++++=squash
them ^pp3o+pp3+++=them
against ^in++++=against
your ^pp$+pp2+++=your
fingernails ^nns++++=fingernails
and ^cc++++=and
laugh ^nn++++=laugh
at ^rb++++=at
the ^ati++++=the
tart ^nn++++=tart
sound ^nn++++=sound
of ^in++++=of
their ^pp$+pp3+++=their
blood ^nn++++=blood-filled
- ^zz++++=EXTRAWORD
filled ^xvbn+++xvbn+=EXTRAWORD
bellies ^nns++++=bellies
bursting ^vwbg+++xvbg+=bursting;
; ^zz++++=EXTRAWORD
the ^ati++++=the
summer ^nn++++=summer
that ^tht+rel+obj++=that
your ^pp$+pp2+++=your
hate ^nn++++=hate
for ^in++++=for
your ^pp$+pp2+++=your
brother ^nn++++=brother
Nonso ^np+++??+=Nonso
grew ^vbd+++xvbn+=grew
so ^ql++++=so
much ^ap++++=much
you ^pp2+pp2+++=you
felt ^vbd+vprv+tht0+xvbn+=felt
it ^pp3+it+++=it
squeezing ^vbg+++xvbg+=squeezing
your ^pp$+pp2+++=your
nostrils ^nns++++=nostrils
and ^cc++++=and
your ^pp$+pp2+++=your
love ^nn++++=love
for ^in++++=for
your ^pp$+pp2+++=your
cousin ^nn++++=cousin
Dozie ^np+++??+=Dozie
ballooned ^vbd+++xvbn+=ballooned
and ^cc+phrs+++=and
wrapped ^vbd+++xvbn+=wrapped
around ^rp++++=around
your ^pp$+pp2+++=your
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
summer ^nn++++=summer
you ^pp2+pp2+++=you
watched ^vbd+++xvbn+=watched
a ^at++++=a
mango ^nn+++??+=mango
tree ^nn++++=tree
crack ^jjb++++=crack
into ^in++++=into
two ^cd++++=two
near ^in+pl+++=near-perfect
- ^zz++++=EXTRAWORD
perfect ^jj+atrb+++=EXTRAWORD
halves ^nns++++=halves
during ^in++++=during
a ^at++++=a
thunderstorm ^nn++++=thunderstorm,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
lightning ^nn++++=lightning
cut ^vbd+++xvbn+=cut
fiery ^jj+atrb+++=fiery
lines ^nns++++=lines
through ^in++++=through
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
summer ^nn++++=summer
Nonso ^np+++??+=Nonso
died ^vbd+++xvbn+=died.
. ^zz++++=EXTRAWORD
Grandmama ^np+++??+=Grandmama
did ^vbd+dod+aux++=did
not ^xnot++not++=not
call ^vb++++=call
it ^pp3+it+++=it
summer ^nn++++=summer.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
did ^vbd+dod+vrb++=did
in ^in++++=in
Nigeria ^np++++=Nigeria.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
August ^nr++++=August,
, ^zz++++=EXTRAWORD
nestled ^j+++xvbn+=nestled
between ^in++++=between
the ^ati++++=the
rainy ^jj+atrb+++=rainy
season ^nn++++=season
and ^cc++++=and
the ^ati++++=the
harmattan ^jj+atrb+++=harmattan
season ^nn++++=season.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
pour ^&fw++++=pour
all ^abn++++=all
day ^nn++++=day,
, ^zz++++=EXTRAWORD
silver ^nn++++=silver
rain ^nn++++=rain
splashing ^vwbg+++xvbg+=splashing
onto ^in++++=onto
the ^ati++++=the
verandah ^nn++++=verandah
where ^wrb+who+++=where
you ^pp2+pp2+++=you
and ^cc++++=and
Nonso ^np+++??+=Nonso
and ^cc++++=and
Dozie ^np+++??+=Dozie
slapped ^vbd+++xvbn+=slapped
away ^rp+pl+++=away
mosquitoes ^nns+++??+=mosquitoes
and ^cc++++=and
ate ^vbd+++xvbn+=ate
roast ^nn++++=roast
corn ^nn++++=corn;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
sun ^nn++++=sun
would ^md+prd+++=would
be ^vb+be+vrb++=be
blinding ^jj+pred+++=blinding
and ^cc++++=and
you ^pp2+pp2+++=you
would ^md+prd+++=would
float ^vb++++=float
in ^in++++=in
the ^ati++++=the
water ^nn++++=water
tank ^nn++++=tank
Grandmama ^np+++??+=Grandmama
had ^vbd+hvd+aux++=had
sawed ^vprf+++xvbnx+=sawed
in ^in++++=in
half ^nn++++=half,
, ^zz++++=EXTRAWORD
a ^at++++=a
makeshift ^jj+atrb+++=makeshift
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
Nonso ^np+++??+=Nonso
died ^vbd+++xvbn+=died
was ^vbd+bedz+vrb++=was
mild ^jj+pred+++=mild;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
drizzle ^vb++++=drizzle
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
lukewarm ^nn+++??+=lukewarm
sun ^nn++++=sun
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Grandmama ^np+++??+=Grandmama
screamed ^vbd+++xvbn+=screamed
at ^in++++=at
him ^pp3o+pp3+++=him
at ^in++++=at
his ^pp$+pp3+++=his
limp ^jj+atrb+++=limp
body ^nn++++=body
saying ^vwbg+++xvbg+=saying
i ^pp1a+pp1+++=i
laputago ^nn+++??+=laputago
m ^zz++++=m,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
betrayed ^vprf+++xvbnx+=betrayed
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
asking ^jj+++xvbg+=asking
him ^pp3o+pp3+++=him
who ^whp+who+++=who
would ^md+prd+++=would
carry ^vb++++=carry
on ^in++++=on
the ^ati++++=the
Nnabuisi ^np+++??+=Nnabuisi
name ^nn++++=name
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
protect ^vb++++=protect
the ^ati++++=the
family ^nn++++=family
lineage ^nn+nom+++=lineage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
neighbors ^nns++++=neighbors
came ^vbd+++xvbn+=came
over ^in++++=over
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
heard ^vbd+vprv+tht0+xvbnx+=heard
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
woman ^nn++++=woman
from ^in++++=from
the ^ati++++=the
house ^npl++++=house
across ^in+pl+++=across
the ^ati++++=the
road ^nn++++=road
the ^ati++++=the
one ^cd1++++=one
whose ^whp+rel+obj++=whose
dog ^nn++++=dog
rummaged ^vbd+++xvbn+=rummaged
in ^in++++=in
Grandmama ^np++++=Grandmama's
's ^$++++=EXTRAWORD
dustbin ^nn++++=dustbin
in ^in++++=in
the ^ati++++=the
mornings ^nns++++=mornings
who ^whp+rel+subj++=who
coaxed ^vbd+++xvbn+=coaxed
the ^ati++++=the
American ^jj+atrb+++=American
phone ^nn++++=phone
number ^nn++++=number
from ^in++++=from
your ^pp$+pp2+++=your
numb ^jj+atrb+++=numb
lips ^nns++++=lips
and ^cc++++=and
called ^vbd+++xvbn+=called
your ^pp$+pp2+++=your
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
also ^rb++++=also
that ^cs+sub+++=that
neighbor ^nn++++=neighbor
who ^whp+rel+subj++=who
unclasped ^vbd+++xvbn+=unclasped
your ^pp$+pp2+++=your
and ^cc++++=and
Dozie ^np++++=Dozie's
's ^$++++=EXTRAWORD
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
you ^pp2+pp2+++=you
sit ^vb++++=sit
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
you ^pp2+pp2+++=you
some ^dti++++=some
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
neighbor ^nn++++=neighbor
tried ^vbd+++xvbn+=tried,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
to ^to++++=to
hold ^vbi+vprv+++=hold
you ^pp2+pp2+++=you
close ^jj++++=close
so ^ql++++=so
you ^pp2+pp2+++=you
would ^md+prd+++=would
not ^xnot++not++=not
hear ^vb+vprv+++=hear
Grandmama ^np+++??+=Grandmama
as ^ql++++=as
she ^pp3a+pp3+++=she
talked ^vbd+++xvbnx+=talked
to ^in++++=to
your ^pp$+pp2+++=your
mother ^nn++++=mother
on ^in++++=on
the ^ati++++=the
phone ^nn++++=phone,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
slid ^vbd+++xvbn+=slid
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
closer ^rbr++++=closer
to ^in++++=to
the ^ati++++=the
phone ^nn++++=phone.
. ^zz++++=EXTRAWORD
Grandmama ^np+++??+=Grandmama
and ^cc++++=and
your ^pp$+pp2+++=your
mother ^nn++++=mother
were ^vbd+bed+aux++=were
focused ^vpsv++agls+xvbnx+=focused
on ^in++++=on
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
body ^nn++++=body,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
his ^pp$+pp3+++=his
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
mother ^nn++++=mother
was ^vbd+bedz+aux++=was
insisting ^vbg+vpub++xvbgx+=insisting
that ^tht+vcmp+++=that
Nonso ^np++++=Nonso's
's ^$++++=EXTRAWORD
body ^nn++++=body
be ^vb+be+aux++=be
flown ^vpsv++agls+xvbnx+=flown
back ^jjb++++=back
to ^in++++=to
America ^np++++=America
right ^nn++++=right
away ^rp+pl+++=away
and ^cc++++=and
Grandmama ^np+++??+=Grandmama
was ^vbd+bedz+aux++=was
repeating ^vbg+vpub++xvbgx+=repeating
your ^pp$+pp2+++=your
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
words ^nns++++=words
and ^cc++++=and
shaking ^jj+++xvbg+=shaking
her ^pp3o+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
Madness ^nns+nom+++=Madness
lurked ^vbd+++xvbn+=lurked
in ^in++++=in
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
knew ^vbd+vprv+tht0+xvbn+=knew
Grandmama ^np+++??+=Grandmama
had ^vb+hv+aux++=had
never ^rb++splt++=never
liked ^vprf+++xvbnx+=liked
your ^pp$+pp2+++=your
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
( ^zz++++=(You
you ^pp2+pp2+++=EXTRAWORD
had ^vbd+hvd+aux++=had
heard ^vprf++tht0+xvbnx+=heard
Grandmama ^np+++??+=Grandmama
say ^vb+vpub+++=say
this ^dt+dem+++=this
some ^dti++++=some
summers ^nns+nom+++=summers
before ^in++++=before
to ^in++++=to
her ^pp$+pp3+++=her
friend ^nn++++=friend
That ^tht+rel+++=That
black ^jj+atrb+++=black
American ^jj+atrb+++=American
woman ^nn++++=woman
has ^vbz+hvz+aux++=has
tied ^vprf+++xvbnx+=tied
up ^rp++++=up
my ^pp$+pp1+++=my
son ^nn++++=son
and ^cc++++=and
put ^vb+++xvbn+=put
him ^pp3o+pp3+++=him
in ^in++++=in
her ^pp$+pp3+++=her
pocket ^nn++++=pocket.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
But ^cc++++=But
watching ^jj+++xvbg+=watching
Grandmama ^np+++??+=Grandmama
on ^in++++=on
the ^ati++++=the
phone ^nn++++=phone,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
understood ^vbd+vprv++xvbn+=understood
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
and ^cc++++=and
your ^pp$+pp2+++=your
mother ^nn++++=mother
were ^vbd+bed+vrb++=were
united ^np++++=united.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+vrb++=were
sure ^jj+pred+++=sure
your ^pp$+pp2+++=your
mother ^nn++++=mother
had ^vb+hv+vrb++=had
the ^ati++++=the
same ^ap++++=same
red ^jj+atrb+++=red
madness ^nns+nom+++=madness
in ^in++++=in
