Martha ^np+++??+=Martha
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
nevah ^nn+++??+=nevah
no ^at++++=no
han ^np++++=han'
' ^zz++++=EXTRAWORD
to ^to++++=to
wo ^&fw++++=wo'k.
'k. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
de ^&fw++++=de
settin ^nn+++??+=settin'-downest
'-downest ^jjt+atrb+++0=EXTRAWORD
man ^nn++++=man
you ^pp2+pp2+++=you
evah ^nn+++??+=evah
seed ^nn++++=seed.
. ^zz++++=EXTRAWORD
Hit ^j+++xvbn+=Hit
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='a'
a ^at++++=EXTRAWORD
' ^zz++++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
so ^ql+emph+++=so
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Madison ^np+++??+=Madison
was ^vbd+bedz+vrb++=was
a ^at++++=a
lakly ^jj+atrb+++=lakly
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
his ^pp$+pp3+++=his
tongue ^nn++++=tongue
wah ^nn+++??+=wah
smoothah ^nn+++??+=smoothah
dan ^np++++=dan
ile ^nn+++??+=ile;
; ^zz++++=EXTRAWORD
so ^ql++++=so
hit ^vbd+++xvbn+=hit
t'wa ^nn+++??+=t'wan't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
shakes ^nns++++=shakes
fu ^nn+++??+=fu'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
to ^in++++=to
fool ^nn++++=fool
ol ^nn+++??+=ol'
' ^zz++++=EXTRAWORD
Mas ^&fw++++=Mas'
' ^zz++++=EXTRAWORD
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
his ^pp$+pp3+++=his
wo ^&fw++++=wo'k
'k ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
git ^np++++=git
erlong ^nn+++??+=erlong
des ^&fw++++=des
erbout ^nn+++??+=erbout
ez ^nn+++??+=ez
he ^pp3a+pp3+++=he
pleased ^vbd+++xvbnx+=pleased.
. ^zz++++=EXTRAWORD
Mas ^&fw++++=Mas'
' ^zz++++=EXTRAWORD
Madison ^np+++??+=Madison
Mixon ^np+++??+=Mixon,
, ^zz++++=EXTRAWORD
hisse ^nn+++??+=hisse'f,
'f, ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
mighty ^jj++++=mighty
' ^zz++++='dulgent
dulgent ^jj++++=EXTRAWORD
so ^ql++++=so't
't ^vbd+++xvbn+0=EXTRAWORD
of ^in++++0=o'
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
a ^at++++=a
laugh ^nn++++=laugh
bettah ^nn+++??+=bettah
dan ^np++++=dan
anyone ^pn++++=anyone
in ^in++++=in
de ^&fw++++=de
worl ^nn+++??+=worl'.
'. ^nn+++??+=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
man ^nn++++=man
could ^md+pos+++=could
mek ^vb+++??+=mek
him ^pp3o+pp3+++=him
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
dat ^nn+++??+=dat
was ^vbd+bedz+vrb++=was
enough ^qlp++++=enough
fu ^nn+++??+=fu'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
used ^vbd+++xvbnx+=used
to ^in++++=to
lectuah ^nn+++??+=lectuah
dat ^nn+++??+=dat
man ^nn++++=man
much ^ap++++=much
' ^zz++++='bout
bout ^nn++++=EXTRAWORD
his ^pp$+pp3+++=his
onshifless ^jj+atrb+++=onshifless
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
des ^&fw++++=des
went ^vbd+++xvbn+=went
erlong ^nn+++??+=erlong,
, ^zz++++=EXTRAWORD
twell ^nn+++??+=twell
bimeby ^nn+++??+=bimeby
hyeah ^nn+++??+=hyeah
come ^vprf+++xvbn+=come
de ^&fw++++=de
wah ^nn+++??+=wah
and ^cc++++0=an'
evahthing ^nvbg+++xvbg+=evahthing
was ^vbd+bedz+aux++=was
broke ^vpsv++agls+xvbnx+=broke
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Den ^&fw++++=Den
w ^zz++++=w'en
'en ^vbd+++xvbn+0=EXTRAWORD
hit ^vbd+++xvbn+=hit
come ^vprf+++xvbn+=come
time ^nn++++=time
dat ^nn+++??+=dat
Madison ^np+++??+=Madison
had ^vb+hv+vrb++=had
to ^in++++=to
scramble ^nn++++=scramble
fu ^nn+++??+=fu'
' ^zz++++=EXTRAWORD
hisself ^nn+++??+=hisself,
, ^zz++++=EXTRAWORD
dey ^nn+++??+=dey
wa ^&fw++++=wa'nt
'nt ^jj+++xvbn+0=EXTRAWORD
no ^at++++=no
scramble ^nn++++=scramble
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
des ^&fw++++=des'
' ^zz++++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
wo ^&fw++++=wo'k
'k ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
I ^pp1a+pp1+++=I
had ^md"++pmd"++=had
to ^md+nec+++=to
do ^vb++++=do
evahthing ^jj+++xvbg+=evahthing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
allus ^nns+++??+=allus
had ^vb+hv+vrb++=had
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
some ^dti++++=some
gret ^nn+++??+=gret
scheme ^nn++++=scheme,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
deh ^nn+++??+=deh
nevah ^nn+++??+=nevah
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
come ^vbi++++=come
to ^in++++=to
nuffin ^nn+++??+=nuffin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
once ^rb+tm+++=once
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
de ^&fw++++=de
folks ^nns++++=folks
to ^to++++=to
put ^vbi++++=put
some ^dti++++=some
money ^nn++++=money
in ^in++++=in
somep ^nn+++??+=somep'n'
'n' ^nn+++??+=EXTRAWORD
dat ^nn+++??+=dat
broke ^vbd+++xvbn+=broke
up ^rp++++=up,
, ^zz++++=EXTRAWORD
dey ^nn+++??+=dey
come ^vprf+++xvbn+=come
put ^vb+++xvbn+=put'
' ^zz++++=EXTRAWORD
nigh ^rb++++=nigh
tahin ^nn+++??+=tahin'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
featherin ^nn+++??+=featherin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
des ^&fw++++=des
got ^vbd+++xvbn+=got
morchully ^jj++++=morchully
tiahed ^jj+++xvbn+=tiahed
of ^in++++0=o'
dat ^nn+++??+=dat
man ^nn++++=man's
's ^$++++=EXTRAWORD
ca ^np++++=ca'in'
'in' ^nn+++??+=EXTRAWORD
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
one ^cd1++++=one
day ^nn++++=day,
, ^zz++++=EXTRAWORD
' ^zz++++='Madison,'
madison ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
tiahed ^vpsv++agls+xvbnx+=tiahed
of ^in++++=of
all ^abn++++=all
dis ^np++++=dis
foo ^nn+++??+=foo'ishness,
'ishness, ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
gwine ^nn+++??+=gwine
up ^rp++++=up
Norf ^np+++??+=Norf
whaih ^nn+++??+=whaih
I ^pp1a+pp1+++=I
kin ^nns++++=kin
live ^vb++++=live
and ^cc++++0=an'
be ^vb+be+vrb++=be
somebody ^pn++++=somebody.
. ^zz++++=EXTRAWORD
Ef ^np+++??+=Ef
evah ^nn+++??+=evah
you ^pp2+pp2+++=you
mek ^vb+++??+=mek
a ^at++++=a
man ^nn++++=man
out ^rp+pl+++=out
of ^in++++0=o'
yo ^nn+++??+=yo'se'f,
'se'f, ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
want ^nn++++=want
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
de ^&fw++++=de
Bible ^nn++++=Bible
say ^vb+vpub+++=say
' ^zz++++='Seek
seek ^vb++++=EXTRAWORD
and ^cc++++0=an'
you ^pp2+pp2+++=you
shell ^nn++++=shell
receive ^vb++++=receive.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Cause ^nn++++=Cause
even ^rb++++=even
den ^&fw++++=den
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
mighty ^ql++++=mighty
han ^np++++=han'
' ^zz++++=EXTRAWORD
to ^in++++=to
c ^zz++++=c'ote
'ote ^nn+++??+=EXTRAWORD
de ^&fw++++=de
Scripters ^nns+nom++??+=Scripters.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lef ^nn+++??+=lef'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Norf ^np+++??+=Norf
I ^pp1a+pp1+++=I
come ^vb++++=come,
, ^zz++++=EXTRAWORD
' ^zz++++='dough
dough ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it
jes ^nns+++??+=jes'
' ^zz++++=EXTRAWORD
nigh ^rb++++=nigh
broke ^vbd+++xvbn+=broke
my ^pp$+pp1+++=my
hea ^vb+++??+=hea't,
't, ^vbd+++xvbn+0=EXTRAWORD
fu ^nn+++??+=fu'
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sho ^nn+++??+=sho
did ^vbd+dod+vrb++=did
love ^nn++++=love
dat ^nn+++??+=dat
black ^jj+atrb+++=black
man ^nn++++=man.
. ^zz++++=EXTRAWORD
De ^&fw++++=De
las ^np++++=las'
' ^zz++++=EXTRAWORD
thing ^nn++++=thing
I ^pp1a+pp1+++=I
hyeahed ^vbd+++xvbnx+=hyeahed
of ^in++++0=o'
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
des ^&fw++++=des
learned ^vb+++xvbn+=learned
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
and ^cc+phrs+++0=an'
write ^vb++++=write
and ^cc++++0=an'
wah ^nn+++??+=wah
runnin ^nn+++??+=runnin'
' ^zz++++=EXTRAWORD
fu ^nn+++??+=fu'
' ^zz++++=EXTRAWORD
de ^&fw++++=de
Legislater ^np+nom++??+=Legislater
it ^pp3+it+++0='twell
well ^rb++++=EXTRAWORD
de ^&fw++++=de
Klu ^np+++??+=Klu
Klux ^np+++??+=Klux
got ^vbd+++xvbn+=got
aftah ^nn+++??+=aftah
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
den ^&fw++++=den
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
' ^zz++++='signed
signed ^vprf+++xvbn+=EXTRAWORD
de ^&fw++++=de
nomernation ^nn+nom+++=nomernation."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
Martha ^np++++=Martha's
's ^$++++=EXTRAWORD
story ^nn++++=story,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
reason ^nn++++=reason
that ^tht+ncmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mixon ^np++++=Mixon
with ^in++++=with
her ^pp$+pp3+++=her
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
North ^np+pl+++=North,
, ^zz++++=EXTRAWORD
drifted ^j+++xvbn+=drifted
from ^in++++=from
place ^nn++++=place
to ^to++++=to
place ^vbi++++=place
and ^cc++++=and
finally ^rb++++=finally
became ^vbd+++xvbn+=became
one ^pn++++=one
of ^in++++=of
New ^jj+atrb+++=New
York ^np++++=York's
's ^$++++=EXTRAWORD
large ^jj+atrb+++=large
black ^jj+atrb+++=black
contingent ^nn++++=contingent
from ^in++++=from
the ^ati++++=the
South ^np+pl+++=South.
. ^zz++++=EXTRAWORD
To ^in++++=To
her ^pp3o+pp3+++=her
the ^ati++++=the
lessons ^nns++++=lessons
of ^in++++=of
slavery ^nn+nom+++=slavery
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
idle ^jj+atrb+++=idle
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
Industrious ^np+++??+=Industrious,
, ^zz++++=EXTRAWORD
careful ^jj++++=careful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hard ^jj++++=hard-working,
- ^zz++++=EXTRAWORD
working ^jj+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
soon ^rb+tm+++=soon
became ^vbd+++xvbn+=became
prosperous ^jj++++=prosperous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
hunting ^nvbg+++xvbg+=hunting
a ^at++++=a
spiritual ^jj+atrb+++=spiritual
home ^nr++++=home
she ^pp3a+pp3+++=she
settled ^vbd+++xvbnx+=settled
upon ^in++++=upon
Shiloh ^np+++??+=Shiloh
Chapel ^nn++++=Chapel,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
welcomed ^vpsv++agls+xvbnx+=welcomed
there ^rn+pl+++=there
as ^cs+sub+++=as
a ^at++++=a
distinct ^jj+atrb+++=distinct
addition ^nn+nom+++=addition
to ^in++++=to
the ^ati++++=the
large ^jj+atrb+++=large
and ^cc+phrs+++=and
active ^jj+atrb+++=active
membership ^nn+nom+++=membership.
. ^zz++++=EXTRAWORD
Shiloh ^np+++??+=Shiloh
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
fashionable ^jj+atrb+++=fashionable
churches ^nns++++=churches
of ^in++++=of
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
primarily ^rb+down+++=primarily
a ^at++++=a
church ^nn++++=church
home ^nr++++=home
for ^in++++=for
any ^dti++++=any
Southern ^jj+atrb+++=Southern
negro ^nn++++=negro,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
representatives ^nns++++=representatives
of ^in++++=of
every ^at++++=every
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
slaveholding ^jj+atrb++xvbg+=slaveholding
States ^nns++++=States.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
pastor ^nn++++=pastor
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
got ^vbd+++xvbn+=got
beyond ^in++++=beyond
the ^ati++++=the
belief ^nn++++=belief
that ^tht+ncmp+++=that
any ^dti++++=any
temporal ^jj+atrb+++=temporal
preparation ^nn+nom+++=preparation
for ^in++++=for
the ^ati++++=the
preaching ^jj+++xvbg+=preaching
of ^in++++=of
the ^ati++++=the
Gospel ^nn++++=Gospel
was ^vbd+bedz+vrb++=was
unnecessary ^jj+pred+++=unnecessary.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
still ^rb++++=still
his ^pp$+pp3+++=his
firm ^jj++++=firm
trust ^vb+vprv+++=trust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb++++=often
his ^pp$+pp3+++=his
boast ^nn++++=boast,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
one ^cd1++++=one
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
the ^ati++++=the
Lord ^npt++++=Lord
would ^md+prd+++=would
fill ^vb++++=fill
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
grew ^vbd+++xvbn+=grew
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
settled ^jj+atrb++xvbn+=settled
idea ^nn++++=idea
that ^tht+ncmp+++=that
the ^ati++++=the
Lord ^npt++++=Lord
filled ^vbd+++xvbn+=filled
his ^pp$+pp3+++=his
acceptably ^rb+cnj+++=acceptably,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
converts ^vbz++++=converts
were ^vbd+bed+vrb++=were
many ^ap++++=many
and ^cc++++=and
his ^pp$+pp3+++=his
congregation ^nn+nom+++=congregation
increased ^vbd+++xvbn+=increased.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Rev ^np++++=Rev.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
Todbury ^np++++=Todbury's
's ^$++++=EXTRAWORD
education ^nn+nom+++=education
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
deficient ^jj++++=deficient
in ^in++++=in
other ^ap++++=other
matters ^nns+nom+++=matters,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
one ^cd1++++=one
thing ^nn++++=thing
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knew ^vbd+vprv++xvbn+=knew
thoroughly ^rb+amp+++=thoroughly
the ^ati++++=the
disposition ^nn+nom+++=disposition
of ^in++++=of
his ^pp$+pp3+++=his
people ^nns++++=people.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
just ^rb+emph+++=just
what ^wdt+who+++=what
weaknesses ^nns+nom+++=weaknesses,
, ^zz++++=EXTRAWORD
longings ^nns++++=longings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
desires ^nns++++=desires
their ^pp$+pp3+++=their
recent ^jj+atrb+++=recent
bondage ^nn+nom+++=bondage
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
admirable ^jj+atrb+++=admirable
shrewdness ^nns+nom+++=shrewdness
contrived ^vbd+++xvbn+=contrived
to ^to++++=to
meet ^vbi++++=meet
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
in ^in++++=in
preaching ^xvbg+++xvbg+=preaching
they ^pp3a+pp3+++=they
wanted ^vbd+++xvbnx+=wanted
noise ^nn++++=noise,
, ^zz++++=EXTRAWORD
emotion ^nn+nom+++=emotion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fire ^nn++++=fire;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
preacher ^nn+nom+++=preacher
they ^pp3a+pp3+++=they
wanted ^vbd+++xvbnx+=wanted
free ^jj++++=free-heartedness
- ^zz++++=EXTRAWORD
heartedness ^nns+nom+++=EXTRAWORD
and ^cc++++=and
cordiality ^nn+nom+++=cordiality.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
when ^wrb+who+++=when
Christmas ^np++++=Christmas
came ^vbd+++xvbn+=came
they ^pp3a+pp3+++=they
wanted ^vbd+++xvbnx+=wanted
a ^at++++=a
great ^nn++++=great
rally ^vb++++=rally,
, ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
approaching ^jj+++xvbg+=approaching,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rousing ^jj+atrb++xvbg+=rousing
times ^nns++++=times
both ^abx++++=both
spiritual ^jj++++=spiritual
and ^cc+phrs+++=and
temporal ^jj++++=temporal
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
back ^jjb++++=back
on ^in++++=on
the ^ati++++=the
old ^jj+atrb+++=old
plantation ^nn+nom+++=plantation,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Christmas ^np++++=Christmas
meant ^vbd+vprv++xvbn+=meant
a ^at++++=a
week ^nn++++=week
of ^in++++=of
pleasurable ^jj+atrb+++=pleasurable
excitement ^nn+nom+++=excitement.
. ^zz++++=EXTRAWORD
Knowing ^vbg+vprv++xvbg+=Knowing
the ^ati++++=the
last ^ap++++=last
so ^pn++++=so
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
with ^in++++=with
commendable ^jj+atrb+++=commendable
foresight ^nn++++=foresight
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
early ^rb+tm+++=early
his ^pp$+pp3+++=his
preparations ^nns+nom+++=preparations
for ^in++++=for
a ^at++++=a
big ^jj+atrb+++=big
time ^nn++++=time
on ^in++++=on
a ^at++++=a
certain ^jj+atrb+++=certain
Christmas ^np++++=Christmas
not ^xnot++not++=not
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
people ^nns++++=people,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
his ^pp$+pp3+++=his
congregation ^nn+nom+++=congregation,
, ^zz++++=EXTRAWORD
" ^zz++++="we's
we ^pp1a+pp1+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
reg ^np++++=reg'lar
'lar ^nn+++??+=EXTRAWORD
' ^zz++++='Benjamin's
benjamin ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
mess ^nn++++=mess'!"
'!" ^nn+++??+=EXTRAWORD
The ^ati++++=The
coloured ^jj+++xvbn+=coloured
folk ^jjb++++=folk,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
not ^xnot++not++=not
quite ^rb++++=quite
sure ^jj++++=sure
of ^in++++=of
the ^ati++++=the
quotation ^nn+nom+++=quotation,
, ^zz++++=EXTRAWORD
laughed ^j+++xvbn+=laughed
heartily ^rb+cnj+++=heartily,
, ^zz++++=EXTRAWORD
exclaiming ^jj+++xvbg+=exclaiming
in ^in++++=in
admiration ^nn+nom+++=admiration
of ^in++++=of
their ^pp$+pp3+++=their
pastor ^nn++++=pastor,
, ^zz++++=EXTRAWORD
" ^zz++++="Dat
dat ^nn+++??+=EXTRAWORD
Todbu ^np+++??+=Todbu'y
'y ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
sholy ^jj+pred+++=sholy
one ^cd1++++=one
mess ^nn++++=mess
hisse ^nn+++??+=hisse'f."
'f." ^nn+++??+=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
any ^dti++++=any
