All ^abn++++=All
limned ^vbd+++xvbnx+=limned
on ^in++++=on
his ^pp$+pp3+++=his
mental ^jj+atrb+++=mental
canvas ^nn++++=canvas
that ^tht+rel+++=that
great ^jj+atrb+++=great
man ^nn++++=man,
, ^zz++++=EXTRAWORD
spellbound ^jj++++=spellbound,
, ^zz++++=EXTRAWORD
enthralled ^j+++xvbn+=enthralled,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
Horace ^np++++=Horace
Nimms ^np+++??+=Nimms,
, ^zz++++=EXTRAWORD
dazzled ^j+++xvbn+=dazzled
him ^pp3o+pp3+++=him
with ^in++++=with
an ^at++++=an
array ^nn++++=array
of ^in++++=of
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning:
: ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
let ^vb++++0=let's
us ^pp1o+pp1+++=EXTRAWORD
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hammer ^np++++=Hammer.
. ^zz++++=EXTRAWORD
Last ^rb++++=Last
year ^nn++++=year
the ^ati++++=the
Western ^jj+atrb+++=Western
works ^nns++++=works
at ^rb++++=at
Purity ^nn++++=Purity
City ^nn++++=City,
, ^zz++++=EXTRAWORD
Iowa ^np+++??+=Iowa,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
9,576,491 ^cd++++=9,576,491
cakes ^nns++++=cakes
of ^in++++=of
Pink ^jj+atrb+++=Pink
Petal ^np+++??+=Petal
Toilet ^nn++++=Toilet
and ^cc++++=and
6,571,233 ^cd++++=6,571,233
cakes ^nns++++=cakes
of ^in++++=of
Lily ^np++++=Lily
White ^jj+atrb+++=White
Laundry ^nn++++=Laundry
at ^in++++=at
a ^at++++=a
manufacturing ^jj+atrb++xvbg+=manufacturing
cost ^nn++++=cost
of ^in++++=of
3.25571 ^cd++++=3.25571
cents ^nns++++=cents
a ^at++++=a
cake ^nn++++=cake,
, ^zz++++=EXTRAWORD
unboxed ^j+++xvbn+=unboxed;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
the ^ati++++=the
selling ^jj+atrb++xvbg+=selling
cost ^nn++++=cost
a ^at++++=a
cake ^nn++++=cake
was" ^nn+++??+=was"--and
-- ^--+clp+++=EXTRAWORD
and ^rb++++=EXTRAWORD
so ^rb"++++=so
on ^rb"++++=on.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interview ^nn++++=interview
always ^rb++++=always
ended ^vbd+++xvbn+=ended
with ^in++++=with
vigorous ^jj+atrb+++=vigorous
hand ^nn++++=hand-shakings
- ^zz++++=EXTRAWORD
shakings ^nns+++??+=EXTRAWORD
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hammer ^np++++=Hammer
and ^cc++++=and
more ^rbr++++=more
salary ^nn++++=salary
for ^in++++=for
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Nimms ^np++++=Nimms.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
actually ^rb+amp+++=actually
the ^ati++++=the
interview ^nn++++=interview
never ^rb++++=never
took ^vbd+++xvbn+=took
place ^nn++++=place.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
that ^cs+sub+++=that
Horace ^np++++=Horace
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
confidence ^nn+nom+++=confidence
in ^in++++=in
his ^pp$+pp3+++=his
system ^nn++++=system.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
an ^at++++=an
equal ^jj+atrb+++=equal
amount ^nn++++=amount
in ^in++++=in
Horace ^np++++=Horace
Nimms ^np+++??+=Nimms.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
on ^in++++=on
in ^in++++=in
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
cage ^nn++++=cage
and ^cc++++=and
enjoyed ^vbd+++xvbn+=enjoyed
a ^at++++=a
fair ^nn++++=fair
measure ^vb++++=measure
of ^in++++=of
contentment ^nn+nom+++=contentment
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
to ^in++++=to
him ^pp3o+pp3+++=him
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
temple ^nn++++=temple
of ^in++++=of
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
a ^at++++=a
shrine ^nn++++=shrine
of ^in++++=of
subtraction ^nn+nom+++=subtraction,
, ^zz++++=EXTRAWORD
an ^at++++=an
altar ^nn++++=altar
of ^in++++=of
addition ^nn+nom+++=addition.
. ^zz++++=EXTRAWORD
Figures ^nns++++=Figures
swarmed ^vbd+++xvbn+=swarmed
in ^in++++=in
his ^pp$+pp3+++=his
head ^jjb++++=head
as ^in++++=as
naturally ^rb++++=naturally
as ^ql++++=as
bees ^nns++++=bees
swarm ^nn++++=swarm
about ^in++++=about
a ^at++++=a
locust ^nn+++??+=locust
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
tell ^vb++++=tell
you ^pp2+pp2+++=you
off ^rp+pl+++=off-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
how ^wrb+who+++=how
many ^ap++++=many
cakes ^nns++++=cakes
of ^in++++=of
Grade ^nn++++=Grade-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
soap ^nn++++=soap
the ^ati++++=the
Southern ^jj+atrb+++=Southern
Works ^nns++++=Works
at ^rb++++=at
Spotless ^jj++++=Spotless,
, ^zz++++=EXTRAWORD
Louisiana ^np+++??+=Louisiana,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
in ^in++++=in
the ^ati++++=the
month ^nn++++=month
of ^in++++=of
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
1914 ^cd+date+++=1914.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
simply ^rb++++=simply
devoured ^vbd+++xvbn+=devoured
statistics ^nns++++=statistics.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
cage ^nn++++=cage
clanged ^vbd+++xvbn+=clanged
shut ^vbd+++xvbn+=shut
in ^rb+phrv+++=in
the ^ati++++=the
morning ^nn++++=morning
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
soothed ^vbd+++xvbn+=soothed,
, ^zz++++=EXTRAWORD
at ^rb++++=at
home ^nr++++=home;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
immersed ^vbd+++xvbnx+=immersed
his ^pp$+pp3+++=his
own ^ap++++=own
small ^jj+atrb+++=small
worries ^nns++++=worries
in ^in++++=in
a ^at++++=a
bath ^nn++++=bath
of ^in++++=of
digits ^nns++++=digits
and ^cc++++=and
decimal ^jj+atrb+++=decimal
points ^nns++++=points.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ate ^vbd+++xvbnx+=ate
of ^in++++=of
the ^ati++++=the
lotus ^nn++++=lotus
leaves ^nns++++=leaves
of ^in++++=of
mathematics ^nn++++=mathematics.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
forget ^vb+vprv+++=forget,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
juggling ^nn+nom+++=juggling
with ^in++++=with
millions ^cds++++=millions
of ^in++++=of
cakes ^nns++++=cakes
of ^in++++=of
soap ^nn++++=soap
and ^cc++++=and
thousands ^cds++++=thousands
of ^in++++=of
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
rent ^nn++++=rent
was ^vbd+bedz+vrb++=was
due ^jj+pred+++=due
next ^ap++++=next
week ^nn++++=week;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Polly ^np+++??+=Polly,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
needed ^xvbn+++xvbn+=needed
a ^at++++=a
new ^jj+atrb+++=new
dress ^nn++++=dress;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
