( ^zz++++=(1
an ^at++++=an
oar ^nn++++=oar:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
born ^vpsv++agls+xvbnx+=born
a ^at++++=a
sailor ^nn++++=sailor,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
he ^pp3a+pp3+++=he
may ^md+pos+++=may
turn ^vb++++=turn
out ^rp+pl+++=out
to ^to++++=to
be ^vbi++vrb++=be
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
To ^in++++=To
own ^ap++++=own
the ^ati++++=the
whole ^nn++++=whole
or ^cc++++=or
a ^at++++=a
portion ^nn+nom+++=portion
of ^in++++=of
a ^at++++=a
rowboat ^nn+++??+=rowboat
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
earliest ^jjt+atrb+++=earliest
ambition ^nn+nom+++=ambition.
. ^zz++++=EXTRAWORD
No ^at++++=No
wonder ^vb++++=wonder
that ^dt+dem+++=that
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
to ^in++++=to
this ^dt+dem+++=this
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coming ^vbg+++xvbg+=coming
back ^jjb++++=back
to ^in++++=to
it ^pp3+it+++=it
with ^in++++=with
freshest ^jjt+atrb+++=freshest
sympathies ^nns++++=sympathies,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+aux++=have
caught ^vprf+++xvbnx+=caught
the ^ati++++=the
prevailing ^jj+atrb++xvbg+=prevailing
infection ^nn+nom+++=infection.
. ^zz++++=EXTRAWORD
No ^at++++=No
wonder ^vb++++=wonder
I ^pp1a+pp1+++=I
longed ^vbd+++xvbnx+=longed
to ^to+vcmp+++=to
buy ^vbi++++=buy
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
trim ^nn++++=trim
little ^ap++++=little
sailboat ^nn+++??+=sailboat
Dolphin ^np+++??+=Dolphin,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
chanced ^vbd+++xvbn+=chanced
just ^rb+emph+++=just
then ^rn+tm+++=then
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
market ^nn++++=market.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
latter ^ap++++=latter
part ^nn++++=part
of ^in++++=of
May ^md+pos+++=May.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
shares ^nns++++=shares,
, ^zz++++=EXTRAWORD
at ^rb++++=at
five ^cd++++=five
or ^cc++++=or
six ^cd++++=six
dollars ^nns++++=dollars
each ^dt++++=each,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
forget ^vb+vprv+++=forget
which ^wdt+who+whcl++=which,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++by+xvbnx+=taken
by ^in++++=by
Phil ^np++++=Phil
Adams ^np++++=Adams,
, ^zz++++=EXTRAWORD
Fred ^np++++=Fred
Langdon ^np++++=Langdon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fourth ^od++++=fourth
and ^cc++++=and
remaining ^xvbg+++xvbg+=remaining
share ^vb++++=share
hung ^vbd+++xvbn+=hung
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Unless ^cs+cnd+++=Unless
a ^at++++=a
purchaser ^nn+nom+++=purchaser
could ^md+pos+++=could
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
for ^in++++=for
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bargain ^nn++++=bargain
was ^vbd+bedz+vrb++=was
to ^in++++=to
fall ^nn++++=fall
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
I ^pp1a+pp1+++=I
required ^vbd+++xvbnx+=required
but ^cc++++=but
slight ^jj++++=slight
urging ^vb+++xvbg+=urging
to ^to+vcmp+++=to
join ^vbi++++=join
in ^in++++=in
the ^ati++++=the
investment ^nn+nom+++=investment.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
four ^cd++++=four
dollars ^nns++++=dollars
and ^cc++++=and
fifty ^cd++++=fifty
cents ^nns++++=cents
on ^in++++=on
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
treasurer ^nn+nom+++=treasurer
of ^in++++=of
the ^ati++++=the
Centipedes ^np+++??+=Centipedes
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
A ^at++++=A
secret ^jj+atrb+++=secret
society ^nn++++=society,
, ^zz++++=EXTRAWORD
composed ^xvbn+++xvbn+=composed
of ^in++++=of
twelve ^cd++++=twelve
boys ^nns++++=boys
of ^in++++=of
the ^ati++++=the
Temple ^nn++++=Temple
Grammar ^nn++++=Grammar
School ^nn++++=School,
, ^zz++++=EXTRAWORD
Rivermouth ^np+++??+=Rivermouth.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
advanced ^jj+++xvbn+=advanced
me ^pp1o+pp1+++=me
the ^ati++++=the
balance ^nn+nom+++=balance,
, ^zz++++=EXTRAWORD
receiving ^jj+++xvbg+=receiving
my ^pp$+pp1+++=my
silver ^nn++++=silver
pencil ^nn++++=pencil-case
- ^zz++++=EXTRAWORD
case ^nn++++=EXTRAWORD
as ^in++++=as
ample ^jj+atrb+++=ample
security ^nn+nom+++=security.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
proud ^jj+atrb+++=proud
moment ^nn++++=moment
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
on ^in++++=on
the ^ati++++=the
wharf ^nn++++=wharf
with ^in++++=with
my ^pp$+pp1+++=my
partners ^nns+nom+++=partners,
, ^zz++++=EXTRAWORD
inspecting ^jj+++xvbg+=inspecting
the ^ati++++=the
Dolphin ^np+++??+=Dolphin,
, ^zz++++=EXTRAWORD
moored ^xvbn+++xvbn+=moored
at ^rb++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
slippery ^jj+atrb+++=slippery
flight ^nn++++=flight
of ^in++++=of
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
painted ^vpsv++agls+xvbnx+=painted
white ^np++++=white
with ^in++++=with
a ^at++++=a
green ^jj+atrb+++=green
stripe ^nn++++=stripe
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
stern ^nn++++=stern
a ^at++++=a
yellow ^jj+atrb+++=yellow
dolphin ^np++++=dolphin,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
scarlet ^jj+atrb+++=scarlet
mouth ^nn++++=mouth
wide ^jj+atrb+++=wide
open ^nn++++=open,
, ^zz++++=EXTRAWORD
stared ^j+++xvbn+=stared
with ^in++++=with
a ^at++++=a
surprised ^jj+atrb++xvbn+=surprised
expression ^nn++++=expression
at ^in++++=at
its ^pp$+it+++=its
own ^ap++++=own
reflection ^nn+nom+++=reflection
in ^in++++=in
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boat ^nn++++=boat
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
bargain ^nn++++=bargain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
whirled ^vbd+++xvbnx+=whirled
my ^pp$+pp1+++=my
cap ^nn++++=cap
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vpsv++agls+xvbn+=ran
to ^in+ppvb+++=to
the ^ati++++=the
stairs ^nns++++=stairs
leading ^vwbg+++xvbg+=leading
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
wharf ^nn++++=wharf,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
hand ^nn++++=hand
was ^vbd+bedz+aux++=was
laid ^vpsv++agls+xvbnx+=laid
gently ^rb++++=gently
on ^in++++=on
my ^pp$+pp1+++=my
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
faced ^xvbn+++xvbn+=faced
Captain ^npt++++=Captain
Nutter ^np+++??+=Nutter
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
Tom ^np++++=Tom
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
grandfather ^nn+nom+++=grandfather.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
such ^abl++++=such
an ^at++++=an
old ^jj++++=old
sharp ^jj++++=sharp-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
angry ^jj+pred+++=angry
with ^in++++=with
me ^pp1o+pp1+++=me
for ^in++++=for
buying ^xvbg+++xvbg+=buying
a ^at++++=a
rowboat ^nn+++??+=rowboat;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
also ^rb++++=also
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
the ^ati++++=the
little ^ap++++=little
bowsprit ^nn+++??+=bowsprit
suggesting ^vwbg+vpub++xvbg+=suggesting
a ^at++++=a
jib ^nn++++=jib
and ^cc++++=and
the ^ati++++=the
tapering ^jj+atrb++xvbg+=tapering
mast ^nn++++=mast
ready ^jj++++=ready
for ^in++++=for
its ^pp$+it+++=its
few ^ap++++=few
square ^nn++++=square
feet ^nns++++=feet
of ^in++++=of
canvas ^nn++++=canvas
were ^vbd+bed+vrb++=were
trifles ^nns++++=trifles
not ^xnot++not++=not
likely ^jj++++=likely
to ^to+jcmp+++=to
meet ^vbi++++=meet
his ^pp$+pp3+++=his
approval ^nn+nom+++=approval.
. ^zz++++=EXTRAWORD
As ^in++++=As
far ^in"+pl+++=far
as ^in"++++=as
rowing ^nvbg+++xvbg+=rowing
on ^in++++=on
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
wharves ^nns+++??+=wharves,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Captain ^npt++++=Captain
had ^vb+hv+aux++=had
long ^rb++splt++=long
since ^cs+sub+++=since
withdrawn ^vwbn+++xvbn+=withdrawn
his ^pp$+pp3+++=his
decided ^jj+atrb++xvbn+=decided
objections ^nns+nom+++=objections,
, ^zz++++=EXTRAWORD
having ^vbg+++xvbg+=having
convinced ^jj+++xvbn+=convinced
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
by ^in++++=by
going ^xvbg+++xvbg+=going
out ^rp+pl+++=out
with ^in++++=with
me ^pp1o+pp1+++=me
several ^ap++++=several
times ^nns++++=times,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
manage ^vb++++=manage
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
sculls ^nns+++??+=sculls
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
anybody ^pn++++=anybody.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right
in ^in++++=in
my ^pp$+pp1+++=my
surmises ^vbz++++=surmises.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
commanded ^vbd+vpub++xvbnx+=commanded
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
emphatic ^jj+atrb+++=emphatic
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
never ^rb++++=never
to ^to++++=to
go ^vbi++++=go
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
without ^in++++=without
leaving ^xvbg+++xvbg+=leaving
the ^ati++++=the
mast ^nn++++=mast
in ^in++++=in
the ^ati++++=the
boat ^nn++++=boat-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
curtailed ^jj+++xvbn+=curtailed
my ^pp$+pp1+++=my
anticipated ^vprf+++xvbn+=anticipated
sport ^nn++++=sport,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
having ^xvbg+++xvbg+=having
a ^at++++=a
pull ^vb++++=pull
whenever ^nn+nom+++=whenever
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
it ^pp3+it+++=it
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
disobeyed ^vbd+++xvbn+=disobeyed
the ^ati++++=the
Captain ^np++++=Captain's
's ^$++++=EXTRAWORD
orders ^nns++++=orders
touching ^vwbg+++xvbg+=touching
the ^ati++++=the
sail ^nn++++=sail,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
sometimes ^rb++++=sometimes
extended ^vbd+++xvbn+=extended
my ^pp$+pp1+++=my
row ^nn++++=row
beyond ^in++++=beyond
the ^ati++++=the
points ^nns++++=points
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
indicated ^vprf+++xvbnx+=indicated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
river ^nn++++=river
was ^vbd+bedz+vrb++=was
dangerous ^jj+pred+++=dangerous
for ^in++++=for
sailboats ^nns+++??+=sailboats.
. ^zz++++=EXTRAWORD
Squalls ^np+++??+=Squalls,
, ^zz++++=EXTRAWORD
without ^in++++=without
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
warning ^nn++++=warning,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
of ^in++++=of
frequent ^jj+atrb+++=frequent
occurrence ^nn+nom+++=occurrence;
; ^zz++++=EXTRAWORD
scarcely ^rb+down+++=scarcely
a ^at++++=a
year ^nn++++=year
passed ^vbd+++xvbn+=passed
that ^dt+dem+++=that
three ^cd++++=three
or ^cc++++=or
four ^cd++++=four
persons ^nns++++=persons
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
drowned ^jj+++xvbn+=drowned
under ^in++++=under
the ^ati++++=the
very ^ql+amp+++=very
windows ^nns++++=windows
of ^in++++=of
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
oddly ^rb++++=oddly
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
generally ^rb+down+++=generally
seacaptains ^nns+++??+=seacaptains,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
either ^dtx++++=either
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
lacked ^vbd+++xvbn+=lacked
the ^ati++++=the
skill ^nn++++=skill
to ^to++++=to
handle ^vbi++++=handle
a ^at++++=a
small ^jj+atrb+++=small
craft ^nn++++=craft.
. ^zz++++=EXTRAWORD
A ^at++++=A
knowledge ^nn++++=knowledge
of ^in++++=of
such ^abl++++=such
disasters ^nns+nom+++=disasters,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
witnessed ^vbd+++xvbnx+=witnessed,
, ^zz++++=EXTRAWORD
consoled ^j+++xvbn+=consoled
me ^pp1o+pp1+++=me
somewhat ^rb+down+++=somewhat
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
Phil ^np++++=Phil
Adams ^np++++=Adams
skimming ^vwbg+++xvbg+=skimming
over ^in++++=over
the ^ati++++=the
water ^nn++++=water
in ^in++++=in
a ^at++++=a
spanking ^jj+atrb++xvbg+=spanking
breeze ^nn++++=breeze
with ^in++++=with
every ^at++++=every
stitch ^nn++++=stitch
of ^in++++=of
canvas ^nn++++=canvas
set ^vbd+++xvbn+=set.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
few ^ap++++=few
better ^jjr+atrb+++=better
yachtsmen ^nns++++=yachtsmen
than ^in++++=than
Phil ^np++++=Phil
Adams ^np++++=Adams.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
usually ^rb+down+++=usually
went ^vbd+++xvbn+=went
sailing ^nvbg+++xvbg+=sailing
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
for ^in++++=for
both ^abx++++=both
Langdon ^np++++=Langdon
and ^cc++++=and
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace
were ^vbd+bed+vrb++=were
under ^in++++=under
the ^ati++++=the
same ^ap++++=same
restrictions ^nns+nom+++=restrictions
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
long ^rb++++=long
after ^in++++=after
the ^ati++++=the
purchase ^nn++++=purchase
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
planned ^vbd+++xvbn+=planned
an ^at++++=an
excursion ^nn++++=excursion
to ^in++++=to
Sandpeep ^np+++??+=Sandpeep
Island ^nn++++=Island,
, ^zz++++=EXTRAWORD
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
the ^ati++++=the
islands ^nns++++=islands
in ^in++++=in
the ^ati++++=the
harbor ^nn++++=harbor.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
purposed ^vbd+++xvbn+=purposed
to ^to++++=to
start ^vbi++++=start
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
return ^nn++++=return
with ^in++++=with
the ^ati++++=the
tide ^nn++++=tide
in ^in++++=in
the ^ati++++=the
moonlight ^nn++++=moonlight.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
only ^ap+down+++=only
difficulty ^nn++++=difficulty
was ^vbd+bedz+aux++=was
to ^to++++=to
