As ^ql++++=As
know ^vb+vprv+++=know
in ^in++++=in
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
in ^in++++=in
another ^ppls++++=another
day ^np++++=day
or ^cc++++=or
two ^cd++++=two
the ^ati++++=the
affair ^nn++++=affair
will ^md+prd+++=will
be ^vb+be+aux++=be
forgotten ^vpsv++agls+xvbnx+=forgotten.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
difficult ^jj++++=difficult
to ^to+jcmp+++=to
write ^vbi++++=write
naturally ^rb++++=naturally
under ^in++++=under
the ^ati++++=the
circumstances ^nns+nom+++=circumstances,
, ^zz++++=EXTRAWORD
so ^ql++++=so
all ^abn++++=all
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
say ^vb+vpub+++=say
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=aren't
n't ^xnot++not++0=EXTRAWORD
suited ^vbd+++xvbn+=suited
to ^in++++=to
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
Cloud ^nn++++=Cloud.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
years ^nns++++=years
of ^in++++=of
marriage ^nn+nom+++=marriage
has ^vbz+hvz+aux++=has
amply ^rb++splt++=amply
proved ^jj++tht0+xvbnx+=proved
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
six ^cd++++=six--seven--years
-- ^--+clp+++=EXTRAWORD
seven ^cd++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
years ^nns++++=EXTRAWORD
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
guessed ^vbd+vprv++xvbn+=guessed
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
killing ^nvbg+++xvbg+=killing
me ^pp1o+pp1+++=me
all ^abn++++=all
these ^dt+dem+++=these
years ^nns++++=years;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
so ^ql++++=so--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Killing ^vwbg+++xvbg+=Killing
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
flushed ^vbd+++xvbnx+=flushed
with ^in++++=with
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
with ^in++++=with
indignation ^nn+nom+++=indignation,
, ^zz++++=EXTRAWORD
with ^in++++=with
innocence ^nn+nom+++=innocence,
, ^zz++++=EXTRAWORD
with ^in++++=with
guilt ^nn++++=guilt--with
-- ^--+clp+++=EXTRAWORD
with ^in++++=EXTRAWORD
Heaven ^nn++++=Heaven
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what!
! ^zz++++=EXTRAWORD
" ^zz++++="--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
so ^rb++++=so.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
living ^vbg+++xvbgx+=living
your ^pp$+pp2+++=your
life ^nn++++=life.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
about ^rb++++=about
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
In ^in++++=In
five ^cd++++=five
more ^ql++++=more
years ^nns++++=years
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
old ^jj+pred+++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
begun ^vbd+++xvbn+=begun
to ^to++++=to
live ^vbi++++=live.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
it ^pp3+it+++=it
any ^dti++++=any
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
this ^dt+dem+++=this
awful ^jj++++=awful
Five ^cd++++=Five
Towns ^nns++++=Towns
district ^nn++++=district--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
he ^pp3a+pp3+++=he
not ^xnot++not++=not
urged ^vbn+vsua++xvbn+=urged
her ^pp$+pp3+++=her
many ^ap++++=many
a ^at++++=a
time ^nn++++=time
to ^to++++=to
run ^vbi++++=run
up ^rp++++=up
to ^in++++=to
South ^np+pl+++=South
Audley ^np+++??+=Audley
Street ^nn++++=Street
for ^in++++=for
a ^at++++=a
change ^nn++++=change,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leave ^nn++++=leave
him ^pp3o+pp3+++=him
to ^to++++=to
continue ^vbi++++=continue
his ^pp$+pp3+++=his
work ^nn++++=work?
? ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
wanted ^vbd+++xvbn+=wanted
her ^pp$+pp3+++=her
to ^to++++=to
be ^vbi++vrb++=be
always ^rb++++=always
in ^in++++=in
Staffordshire ^np++++=Staffordshire!
! ^zz++++=EXTRAWORD
" ^zz++++="--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
brutal ^jj+atrb+++=brutal
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
on ^in++++=on
my ^pp$+pp1+++=my
nerves ^nns++++=nerves,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
with ^in++++=with
your ^pp$+pp2+++=your
hurry ^nn++++=hurry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
philanthropy ^nn++++=philanthropy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
commerce ^nn++++=commerce,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
seriousness ^nns+nom+++=seriousness.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
poor ^jj+atrb+++=poor
nerves ^nns++++=nerves!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
busy ^jj++++=busy
to ^in++++=to
notice ^nn++++=notice
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
fancied ^vbd+++xvbn+=fancied
I ^pp1a+pp1+++=I
should ^md+nec+++=should
be ^vb+be+vrb++=be
content ^nn++++=content
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
made ^vbd+++xvbn+=made
love ^vb++++=love
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me
absent ^jj++++=absent-mindedly,
- ^zz++++=EXTRAWORD
mindedly ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
en ^&fw++++=en
passant ^nn+nom+++=passant,
, ^zz++++=EXTRAWORD
between ^in++++=between
a ^at++++=a
political ^jj+atrb+++=political
dinner ^nn++++=dinner
and ^cc++++=and
a ^at++++=a
bishop ^nn++++=bishop's
's ^$++++=EXTRAWORD
breakfast ^nn++++=breakfast."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
flinched ^vbd+++xvbnx+=flinched.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
stung ^vprf+++xvbnx+=stung
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sting ^nn++++=sting
you ^pp2+pp2+++=you--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
straightened ^vbd+++xvbnx+=straightened
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
biting ^vbg+++xvbg+=biting
his ^pp$+pp3+++=his
lips ^nns++++=lips!
! ^zz++++=EXTRAWORD
" ^zz++++="--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
sting ^nn++++=sting
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
rude ^jj+pred+++=rude!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
inexcusable ^jj+pred+++=inexcusable!
! ^zz++++=EXTRAWORD
People ^nns++++=People
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
these ^dt+dem+++=these
things ^nns++++=things,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
even ^rb++++=even
hysterical ^jj+atrb+++=hysterical
wives ^nns++++=wives
to ^in++++=to
impeccable ^jj+atrb+++=impeccable
husbands ^nns++++=husbands,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
admit ^vb+vpub+tht0++=admit
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
serious ^jj+atrb+++=serious
person ^nn++++=person,
, ^zz++++=EXTRAWORD
Cloud ^nn++++=Cloud,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
both ^abx++++=both
born ^vbd+++xvbn+=born
as ^ql++++=as
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
much ^ap++++=much
right ^nn++++=right
to ^to+ncmp+++=to
be ^vbi++vrb++=be
unserious ^jj+pred+++=unserious
as ^ql++++=as
you ^pp2+pp2+++=you
have ^md"++pmd"++=have
to ^md+nec+++=to
be ^vbi++vrb++=be
serious ^jj++++=serious.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
realized ^vprf+++xvbnx+=realized.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
better ^jjr++++=better
than ^cs+sub+++=than
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
only ^rb+down+++=only
different ^jj+pred+++=different
from ^in++++=from
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
unfortunate ^jj+pred+++=unfortunate
that ^tht+jcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
some ^dti++++=some
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
truth ^nn++++=truth
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
incapable ^jj+pred+++=incapable
of ^in++++=of
grasping ^nn++++=grasping.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
after ^in++++=after
this ^dt+dem+++=this
morning ^nn++++=morning's
's ^$++++=EXTRAWORD
scene ^nn++++=scene--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Scene ^nn++++=Scene?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
scene ^nn++++=scene?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv++xvbnx+=remembered
no ^at++++=no
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
except ^cs+sub+++=except
that ^cs"++++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
asked ^vprf++tht0+xvbnx+=asked
her ^pp$+pp3+++=her
not ^xnot++not++=not
to ^to++++=to
interrupt ^vbi++++=interrupt
him ^pp3o+pp3+++=him
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
reading ^vbg+++xvbgx+=reading
his ^pp$+pp3+++=his
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
her ^pp$+pp3+++=her
quite ^abl++++=quite
politely ^rb+cnj+++=politely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
the ^ati++++=the
breakfast ^nn++++=breakfast-table.
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
notion ^nn++++=notion--what
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
nonsense ^nn++++=nonsense!
! ^zz++++=EXTRAWORD
" ^zz++++="--this
-- ^--+clp+++=EXTRAWORD
this ^dt+dem+++=EXTRAWORD
morning ^nn++++=morning's
's ^$++++=EXTRAWORD
scene ^nn++++=scene,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
decided ^vbd+vprv++xvbnx+=decided
not ^xnot++not++=not
to ^to++++=to
' ^zz++++='interrupt'
interrupt ^vb++++=EXTRAWORD
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
any ^dti++++=any
more ^ql++++=more--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yes ^uh++++=Yes.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
word ^nn++++=word
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
used ^vprf+++xvbnx+=used--how
-- ^--+clp+++=EXTRAWORD
how ^wrb+who+++=EXTRAWORD
childish ^jj++++=childish
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was!
! ^zz++++=EXTRAWORD
" ^zz++++="--any
-- ^--+clp+++=EXTRAWORD
any ^dti++++=EXTRAWORD
more ^rbr++++=more
in ^in++++=in
the ^ati++++=the
contemplation ^nn+nom+++=contemplation
of ^in++++=of
those ^dt+dem+++=those
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
truth ^nn++++=truth
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
grasping ^nn++++=grasping.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good-bye!
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
an ^at++++=an
honest ^jj+atrb+++=honest
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
straight ^jj+atrb+++=straight
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
conscientious ^jj++++=conscientious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
clever ^jj++++=clever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
expect ^vb+vprv+tht0++=expect
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
doing ^vbg+++xvbgx+=doing
a ^at++++=a
lot ^nn++++=lot
