Each ^dt++++=Each
, ^zz++++=EXTRAWORD
rich ^jj++++=rich
in ^in++++=in
beech ^nn++++=beech,
, ^zz++++=EXTRAWORD
oak ^nn++++=oak
and ^cc++++=and
chestnut ^nn++++=chestnut
trees ^nns++++=trees
in ^in++++=in
whose ^whp+rel+pied++=whose
shade ^nn++++=shade
the ^ati++++=the
shy ^jj+atrb+++=shy
truffle ^nn+++??+=truffle
thrives ^nns++++=thrives,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
set ^vpsv++agls+xvbnx+=set
apart ^rb+phrv+++=apart
and ^cc+phrs+++=and
here ^rn+pl+++=here
the ^ati++++=the
truffle ^nn+++??+=truffle
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
hunted ^vpsv++agls+xvbnx+=hunted
for ^in++++=for
mercenary ^jj+atrb+++=mercenary
motives ^nns++++=motives
but ^in++++=but
for ^in"++++=for
sport ^nn++++=sport
and ^cc++++=and
sport ^nn++++=sport
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
On ^in++++=On
week ^nn++++=week-days
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
truffle ^nn+++??+=truffle
hunting ^vwbg+++xvbg+=hunting
was ^vbd+bedz+aux++=was
confined ^vpsv++agls+xvbnx+=confined
to ^in++++=to
professionals ^nns+nom+++=professionals;
; ^zz++++=EXTRAWORD
on ^in++++=on
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
after ^in++++=after
church ^npl++++=church,
, ^zz++++=EXTRAWORD
all ^abn++++=all
Montpont ^np+++??+=Montpont
hunted ^vbd+++xvbn+=hunted
truffles ^nns+++??+=truffles.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
sub ^nn++++=sub-prefect
- ^zz++++=EXTRAWORD
prefect ^nn++++=EXTRAWORD
maintained ^vbd+vpub++xvbn+=maintained
a ^at++++=a
stable ^nn++++=stable
of ^in++++=of
notable ^jj+atrb+++=notable
pigs ^nns++++=pigs
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
pig ^nn++++=pig
is ^vbz+bez+vrb++=is
as ^ql++++=as
necessary ^jj++++=necessary
to ^to+jcmp+++=to
truffle ^vb+++??+=truffle-hunting
- ^zz++++=EXTRAWORD
hunting ^nvbg+++xvbg+=EXTRAWORD
as ^ql++++=as
the ^ati++++=the
beagle ^nn+++??+=beagle
is ^vbz+bez+vrb++=is
to ^in++++=to
beagling ^nn+nom+++=beagling.
. ^zz++++=EXTRAWORD
A ^at++++=A
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
by ^in++++=by
dint ^in"++++=dint
of ^in"++++=of
patient ^nn++++=patient
training ^nn++++=training,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
taught ^vpsv++agls+xvbnx+=taught
to ^to+vcmp+++=to
scent ^vb++++=scent
the ^ati++++=the
buried ^jj+atrb++xvbn+=buried
truffle ^nn+++??+=truffle
with ^in++++=with
his ^pp$+pp3+++=his
sensitive ^jj+atrb+++=sensitive
snout ^nn++++=snout,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
point ^nn++++=point
to ^in++++=to
its ^pp$+it+++=its
hiding ^nvbg+++xvbg+=hiding
place ^nn++++=place,
, ^zz++++=EXTRAWORD
as ^ql++++=as
immobile ^jj++++=immobile
as ^in++++=as
a ^at++++=a
cast ^nn+++xvbn+=cast-iron
- ^zz++++=EXTRAWORD
iron ^nn++++=EXTRAWORD
setter ^jjr++++=setter
on ^in++++=on
a ^at++++=a
profiteer ^nn+nom+++=profiteer's
's ^$++++=EXTRAWORD
lawn ^nn++++=lawn,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
its ^pp$+it+++=its
proud ^jj+atrb+++=proud
owner ^nn++++=owner
exhumes ^vbz++++=exhumes
the ^ati++++=the
prize ^nn++++=prize.
. ^zz++++=EXTRAWORD
An ^at++++=An
experienced ^nn++++=experienced
pointing ^vwbg+++xvbg+=pointing
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
creditable ^jj+atrb+++=creditable
record ^nn++++=record,
, ^zz++++=EXTRAWORD
brings ^vbz++++=brings
an ^at++++=an
enormous ^jj+atrb+++=enormous
price ^nn++++=price
in ^in++++=in
the ^ati++++=the
markets ^nns++++=markets
of ^in++++=of
Montpont ^np+++??+=Montpont.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
procession ^nn++++=procession
that ^tht+rel+++=that
kindly ^rb++++=kindly
Sunday ^nr++++=Sunday
marched ^vbd+++xvbn+=marched
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
and ^cc++++=and
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
decisive ^jj+atrb+++=decisive
but ^cc+phrs+++=but
leisurely ^jj+atrb+++=leisurely
tread ^nn++++=tread
of ^in++++=of
men ^nns++++=men
of ^in++++=of
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
spoke ^vbd+++xvbnx+=spoke
to ^in++++=to
each ^dt++++=each
other ^ap++++=other
with ^in++++=with
an ^at++++=an
elaborate ^jj+atrb+++=elaborate,
, ^zz++++=EXTRAWORD
ceremonial ^jj+atrb+++=ceremonial
politeness ^nns+nom+++=politeness,
, ^zz++++=EXTRAWORD
for ^in++++=for
on ^in++++=on
this ^dt+dem+++=this
day ^nn++++=day,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
rivals ^nns++++=rivals.
. ^zz++++=EXTRAWORD
On ^in++++=On
other ^ap++++=other
days ^nns++++=days
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
bosom ^nn++++=bosom
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=To-day
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^ap++++=last
of ^in++++=of
the ^ati++++=the
fall ^nn++++=fall
hunting ^vwbg+++xvbg+=hunting
season ^nn++++=season,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
tied ^vpsv++agls+xvbnx+=tied,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
score ^nn++++=score
of ^in++++=of
some ^dti++++=some
two ^cd++++=two
hundred ^cd++++=hundred
truffles ^vbz+++??+=truffles
each ^ppls++++=each,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
championship ^nn+nom+++=championship
of ^in++++=of
Montpont ^np+++??+=Montpont,
, ^zz++++=EXTRAWORD
an ^at++++=an
honor ^nn++++=honor
beside ^in+pl+++=beside
which ^whp+rel+pied++=which
winning ^jj+++xvbg+=winning
the ^ati++++=the
Derby ^np++++=Derby
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
and ^cc++++=and
the ^ati++++=the
Grand ^jj++++=Grand
Prix ^&fw++++=Prix
de ^&fw++++=de
Rome ^np++++=Rome
a ^at++++=a
mere ^jjb++++=mere
bauble ^jj++++=bauble
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
all ^abn++++=all
Perigord ^np+++??+=Perigord.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=To-day
was ^vbd+bedz+aux++=was
to ^to++++=to
tell ^vbi++++=tell
whether ^cs+who+++=whether
the ^ati++++=the
laurels ^nns++++=laurels
would ^md+prd+++=would
rest ^vb++++=rest
on ^in++++=on
the ^ati++++=the
round ^in++++=round
pink ^jj+atrb+++=pink
brow ^nn++++=brow
of ^in++++=of
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
or ^cc++++=or
the ^ati++++=the
oval ^jj+atrb+++=oval
olive ^nn++++=olive
brow ^nn++++=brow
of ^in++++=of
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan.
. ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Bonticu ^np+++??+=Bonticu
was ^vbd+bedz+vrb++=was
the ^ati++++=the
leading ^jj+atrb++xvbg+=leading
undertaker ^nn+nom+++=undertaker
of ^in++++=of
Montpont ^np+++??+=Montpont,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
his ^pp$+pp3+++=his
stately ^jj+atrb+++=stately
appearance ^nn+nom+++=appearance
he ^pp3a+pp3+++=he
satisfied ^vbd+++xvbnx+=satisfied
the ^ati++++=the
traditions ^nns+nom+++=traditions
of ^in++++=of
his ^pp$+pp3+++=his
calling ^nvbg+++xvbg+=calling.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
large ^jj+atrb+++=large
man ^nn++++=man
of ^in++++=of
forty ^cd++++=forty
or ^cc++++=or
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
his ^pp$+pp3+++=his
special ^jj+atrb+++=special
hunting ^jj+atrb++xvbg+=hunting
suit ^nn++++=suit
of ^in++++=of
jade ^nn+++??+=jade-hued
- ^zz++++=EXTRAWORD
hued ^jj+atrb++xvbn+=EXTRAWORD
cloth ^nn++++=cloth
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked,
, ^zz++++=EXTRAWORD
from ^in++++=from
a ^at++++=a
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
enormous ^jj+atrb+++=enormous
green ^jj+atrb+++=green
pepper ^nn++++=pepper.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
vast ^jj+pred+++=vast
and ^cc++++=and
many ^ap++++=many
chinned ^jj+++xvbn+=chinned
and ^cc++++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
set ^vpsv++agls+xvbnx+=set
at ^rb++++=at
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
wells ^np++++=wells
sunk ^vbd+++xvbn+=sunk
deep ^jj++++=deep
in ^in++++=in
his ^pp$+pp3+++=his
pink ^jj+atrb+++=pink
face ^nn++++=face;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
even ^rb++++=even
on ^in++++=on
a ^at++++=a
bright ^jj+atrb+++=bright
noon ^nn++++=noon
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
as ^ql++++=as
ordinary ^jj++++=ordinary
folk ^jjb++++=folk
can ^md+pos+++=can
by ^in++++=by
peering ^xvbg+++xvbg+=peering
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
a ^at++++=a
mine ^pp$$++++=mine-shaft.
- ^zz++++=EXTRAWORD
shaft ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
small ^jj+pred+++=small
and ^cc++++=and
cunning ^nn++++=cunning,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
diffident ^jj++++=diffident.
. ^zz++++=EXTRAWORD
In ^in++++=In
Montpont ^np+++??+=Montpont,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
popular ^jj+pred+++=popular.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
heart ^nn++++=heart
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
as ^ql++++=as
large ^jj++++=large
as ^ql++++=as
it ^pp3+it+++=it
undoubtedly ^rb++++=undoubtedly
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
prowess ^nns+nom+++=prowess
as ^in++++=as
a ^at++++=a
hunter ^nn++++=hunter
of ^in++++=of
truffles ^nns+++??+=truffles
and ^cc++++=and
his ^pp$+pp3+++=his
complete ^jj+atrb+++=complete
devotion ^nn+nom+++=devotion
to ^in++++=to
that ^dt+dem+++=that
art ^nn++++=art--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
insisted ^vbd+vpub+tht0+xvbnx+=insisted
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
art ^nn++++=art--would
-- ^--+clp+++=EXTRAWORD
would ^md+prd+++=EXTRAWORD
have ^vb+hv+aux++=have
endeared ^vprf+++xvbnx+=endeared
him ^pp3o+pp3+++=him
to ^in++++=to
all ^abn++++=all
right ^jj++++=right-thinking
- ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=EXTRAWORD
Montpontians ^np+++??+=Montpontians.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
bachelor ^nn++++=bachelor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
more ^ql++++=more
than ^cs+sub+++=than
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
sipped ^vbd+++xvbnx+=sipped
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
Anjou ^np+++??+=Anjou
in ^in++++=in
the ^ati++++=the
Caf ^np+++??+=Caf
de ^&fw++++=de
l ^zz++++=l'Univers,
'univers, ^nn+++??+=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
marry ^vb++++=marry?
? ^zz++++=EXTRAWORD
Bonticu ^np+++??+=Bonticu
marry ^vb++++=marry?
? ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
a ^at++++=a
cause ^nn++++=cause
of ^in++++=of
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
little ^ap++++=little
house ^npl++++=house,
, ^zz++++=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
Anastasie ^np+++??+=Anastasie.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
more ^ql++++=more
could ^md+pos+++=could
mortal ^vb++++=mortal
ask ^vb++++=ask?
? ^zz++++=EXTRAWORD
Certainly ^rb++++=Certainly
not ^xnot++not++=not
an ^at++++=an
Eve ^nn++++=Eve
in ^in++++=in
his ^pp$+pp3+++=his
paradise ^nn++++=paradise.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
marry ^vb++++=marry?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
be ^vb+be+vrb++=be
dad ^npt++++=dad
to ^in++++=to
a ^at++++=a
collection ^nn+nom+++=collection
of ^in++++=of
squealing ^nn+nom+++=squealing,
, ^zz++++=EXTRAWORD
wiggling ^jj+atrb+++=wiggling
cabbages ^nns+nom+++=cabbages?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
laugh ^nn++++=laugh
at ^rb++++=at
the ^ati++++=the
idea ^nn++++=idea."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anastasie ^np+++??+=Anastasie
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
a ^at++++=a
prodigy ^nn+++??+=prodigy
at ^rb++++=at
detecting ^jj+atrb+++=detecting
truffles ^nns+++??+=truffles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
most ^ap+emph+++=most
priceless ^jj+atrb+++=priceless
treasure ^nn++++=treasure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
once ^cs+tm+++=once
said ^vprf+++xvbn+=said,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
truffle ^nn+++??+=truffle-hunters'
- ^zz++++=EXTRAWORD
hunters ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
but ^cc++++=but
two ^cd++++=two
passions ^nns++++=passions,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
comrades ^nns++++=comrades.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pursuit ^nn++++=pursuit
of ^in++++=of
the ^ati++++=the
truffle ^nn+++??+=truffle
and ^cc++++=and
the ^ati++++=the
flight ^nn++++=flight
from ^in++++=from
the ^ati++++=the
female ^nn++++=female."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
Pantan ^np+++??+=Pantan
had ^vbd+hvd+aux++=had
applauded ^vprf+++xvbnx+=applauded
this ^dt+dem+++=this
sentiment ^nn+nom+++=sentiment
heartily ^rb++++=heartily.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
bachelor ^nn++++=bachelor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
combined ^vbd+++xvbnx+=combined,
, ^zz++++=EXTRAWORD
lucratively ^jj++++=lucratively,
, ^zz++++=EXTRAWORD
the ^ati++++=the
offices ^nns++++=offices
of ^in++++=of
town ^nn++++=town
veterinarian ^nn++++=veterinarian
and ^cc++++=and
apothecary ^nn+nom+++=apothecary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
an ^at++++=an
authoritative ^jj+atrb+++=authoritative
book ^nn++++=book,
, ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Science ^nn+nom+++=Science
of ^in++++=of
Truffle ^np+++??+=Truffle
Hunting ^vwbg+++xvbg+=Hunting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
To ^in++++=To
him ^pp3o+pp3+++=him
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
sciences ^nns+nom+++=sciences.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
fierce ^jj++++=fierce-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
little ^ap++++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
bellicose ^jj+atrb+++=bellicose
eyes ^nns++++=eyes
and ^cc++++=and
bristling ^jj+atrb+++=bristling
moustachio ^nn+++??+=moustachio,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quick ^jj+atrb+++=quick,
, ^zz++++=EXTRAWORD
nervous ^jj+atrb+++=nervous
hands ^nns++++=hands
that ^tht+rel+subj++=that
always ^rb++++=always
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
rolling ^nvbg+++xvbg+=rolling
endless ^jj++++=endless
thousands ^cds++++=thousands
of ^in++++=of
pills ^nns++++=pills.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
fits ^nns++++=fits
of ^in++++=of
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
is ^vbz+bez+aux++=is
rather ^rb++splt++=rather
expected ^vpsv++agls+xvbnx+=expected
of ^in++++=of
a ^at++++=a
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
south ^np+pl+++=south
of ^in++++=of
France ^np++++=France.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
devotion ^nn+nom+++=devotion
to ^in++++=to
his ^pp$+pp3+++=his
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
Clotilde ^np+++??+=Clotilde,
, ^zz++++=EXTRAWORD
atoned ^j+++xvbn+=atoned,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
Montpont ^np+++??+=Montpont,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
slightly ^rb+down+++=slightly
irascible ^jj+atrb+++=irascible
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
The ^ati++++=The
party ^nn++++=party,
, ^zz++++=EXTRAWORD
by ^in++++=by
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
hunting ^jj+atrb++xvbg+=hunting
preserve ^nn++++=preserve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
eager ^jj+atrb+++=eager,
, ^zz++++=EXTRAWORD
serious ^jj+atrb+++=serious
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
lengthened ^vbd+++xvbnx+=lengthened
the ^ati++++=the
leashes ^nns+++??+=leashes
on ^in++++=on
their ^pp$+pp3+++=their
pigs ^nns++++=pigs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
urged ^vbd+vsua++xvbn+=urged
