Although ^cs+con+++=Although
it ^pp3+it+++=it
burned ^vbd+++xvbn+=burned
in ^in++++=in
your ^pp$+pp2+++=your
bosom ^nn++++=bosom,
, ^zz++++=EXTRAWORD
sending ^vbg+++xvbg+=sending
out ^rp+pl+++=out
a ^rb++++=a
little ^rb"++++=little
shower ^nn++++=shower
of ^in++++=of
sparks ^nns++++=sparks
into ^in++++=into
every ^at++++=every
particle ^nn++++=particle,
, ^zz++++=EXTRAWORD
into ^in++++=into
every ^at++++=every
finger ^nn++++=finger
and ^cc++++=and
toe ^nn++++=toe?
? ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there
no ^at++++=no
way ^nn++++=way
you ^pp2+pp2+++=you
can ^md+pos+++=can
express ^jjb++++=express
it ^pp3+it+++=it
without ^in++++=without
being ^xvbg+++xvbg+=being
" ^zz++++="drunk
drunk ^vprf+++xvbn+=EXTRAWORD
and ^cc++++=and
disorderly ^jj++++=disorderly"?
" ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
idiotic ^jj+atrb+++=idiotic
civilisation ^nn+nom+++=civilisation
is ^vbz+bez+vrb++=is!
! ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
be ^vb+be+aux++=be
given ^vpsv++agls+xvbnx+=given
a ^at++++=a
body ^nn++++=body
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
have ^md"++pmd"++=have
to ^md+nec+++=to
keep ^vb++++=keep
it ^pp3+it+++=it
shut ^vbd+++xvbn+=shut
up ^rp++++=up
in ^in++++=in
a ^at++++=a
case ^nn++++=case
like ^in++++=like
a ^at++++=a
rare ^jj+atrb+++=rare,
, ^zz++++=EXTRAWORD
rare ^jj+atrb+++=rare
fiddle ^nn++++=fiddle?
? ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
about ^rp++++=about
the ^ati++++=the
fiddle ^nn++++=fiddle
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
quite ^abl++++=quite
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
mean ^jj++++=mean,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running
up ^rp++++=up
the ^ati++++=the
steps ^nns++++=steps
and ^cc++++=and
feeling ^nvbg+++xvbg+=feeling
in ^in++++=in
her ^pp$+pp3+++=her
bag ^nn++++=bag
for ^in++++=for
the ^ati++++=the
key ^jjb++++=key
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
forgotten ^vprf++tht0+xvbnx+=forgotten
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^ql++++=as
usual ^jj++++=usual
and ^cc+phrs+++=and
rattling ^jj++++=rattling
the ^ati++++=the
letter ^nn++++=letter-box.
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
Thank ^vb++++=Thank
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Mary ^np++++=Mary"
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
into ^in++++=into
the ^ati++++=the
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
nurse ^nn++++=nurse
back ^jjb++++=back?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'm."
m ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
the ^ati++++=the
fruit ^nn++++=fruit
come ^vb++++=come?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'm.
m ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Everything ^np++++=Everything's
's ^$++++=EXTRAWORD
come ^vprf+++xvbn+=come."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Bring
bring ^vb++++=EXTRAWORD
the ^ati++++=the
fruit ^nn++++=fruit
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
dining ^jj+++xvbg+=dining-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
arrange ^vb++++=arrange
it ^pp3+it+++=it
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
go ^vb++++=go
upstairs ^jjb++++=upstairs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
dusky ^nn+++??+=dusky
in ^in++++=in
the ^ati++++=the
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
and ^cc++++=and
quite ^rb++++=quite
chilly ^jj++++=chilly.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
all ^rb++++=all
the ^ati++++=the
same ^ap++++=same
Bertha ^np+++??+=Bertha
threw ^vbd+++xvbn+=threw
off ^rb+phrv+++=off
her ^pp3o+pp3+++=her
coat ^nn++++=coat;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
bear ^vb+vprv+++=bear
the ^ati++++=the
tight ^jj+atrb+++=tight
clasp ^nn++++=clasp
of ^in++++=of
it ^pp3+it+++=it
another ^dt++++=another
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cold ^jj+atrb+++=cold
air ^nn++++=air
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
her ^pp$+pp3+++=her
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
her ^pp$+pp3+++=her
bosom ^nn++++=bosom
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
still ^rb++++=still
that ^cs+sub+++=that
bright ^jj+atrb+++=bright
glowing ^jj+atrb++xvbg+=glowing
place ^nn++++=place
that ^tht+rel+++=that
shower ^nn++++=shower
of ^in++++=of
little ^ap++++=little
sparks ^np++++=sparks
coming ^vwbg+++xvbg+=coming
from ^in++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
unbearable ^jj+pred+++=unbearable.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hardly ^rb+down+++=hardly
dared ^vbd+++xvbn+=dared
to ^to+vcmp+++=to
breathe ^vbi++++=breathe
for ^in++++=for
fear ^nn++++=fear
of ^in++++=of
fanning ^xvbg+++xvbg+=fanning
it ^pp3+it+++=it
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
she ^pp3a+pp3+++=she
breathed ^vbd+++xvbnx+=breathed
deeply ^rb+cnj+++=deeply,
, ^zz++++=EXTRAWORD
deeply ^rb++++=deeply.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hardly ^rb+down+++=hardly
dared ^vbd+++xvbn+=dared
to ^to+vcmp+++=to
look ^vbi++++=look
into ^in+ppvb+++=into
the ^ati++++=the
cold ^jj+atrb+++=cold
mirror ^nn++++=mirror
but ^cc++++=but
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
look ^vb++++=look,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
her ^pp$+pp3+++=her
back ^jjb++++=back
a ^at++++=a
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
radiant ^jj++++=radiant,
, ^zz++++=EXTRAWORD
with ^in++++=with
smiling ^xvbg+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
trembling ^jj+atrb++xvbg+=trembling
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
with ^in++++=with
big ^jj+atrb+++=big,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes
and ^cc++++=and
an ^at++++=an
air ^nn++++=air
of ^in++++=of
listening ^xvbg+++xvbg+=listening,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
something ^pn++++=something
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
divine ^jj++++=divine
to ^to++++=to
happen ^vbi+v+++=happen
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
must ^md+nec+++=must
happen ^vb+++??+=happen
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
infallibly ^jj++++=infallibly.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
brought ^vbd+++xvbn+=brought
in ^rb+phrv+++=in
the ^ati++++=the
fruit ^nn++++=fruit
on ^in++++=on
a ^at++++=a
tray ^nn++++=tray
and ^cc++++=and
with ^in++++=with
it ^pp3+it+++=it
a ^at++++=a
glass ^nn++++=glass
bowl ^nn++++=bowl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
blue ^jj+atrb+++=blue
dish ^nn++++=dish,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
lovely ^jj++++=lovely,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
strange ^nn++++=strange
sheen ^vbd+++xvbn+=sheen
on ^in++++=on
it ^pp3+it+++=it
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
dipped ^vpsv++agls+xvbnx+=dipped
in ^in++++=in
milk ^nn++++=milk.
. ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
turn ^nn++++=turn
on ^in++++=on
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
My ^pp$+pp1+++0=M'm?"
m ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see
quite ^abl++++=quite
well ^rb++++=well."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
tangerines ^nns+++??+=tangerines
and ^cc++++=and
apples ^nns++++=apples
stained ^vbd+++xvbn+=stained
with ^in++++=with
strawberry ^nn++++=strawberry
pink ^nn++++=pink.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
yellow ^jj+atrb+++=yellow
pears ^nns+++??+=pears,
, ^zz++++=EXTRAWORD
smooth ^jj++++=smooth
as ^ql++++=as
silk ^nn++++=silk,
, ^zz++++=EXTRAWORD
some ^dti++++=some
white ^jj+atrb+++=white
grapes ^nns++++=grapes
covered ^vbd+++xvbn+=covered
with ^in++++=with
a ^at++++=a
silver ^nn++++=silver
bloom ^nn++++=bloom
and ^cc++++=and
a ^at++++=a
big ^jj+atrb+++=big
cluster ^nn+nom+++=cluster
of ^in++++=of
purple ^nn++++=purple
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
last ^rb++++=last
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
to ^in++++=to
tone ^nn++++=tone
in ^in++++=in
with ^in++++=with
the ^ati++++=the
new ^jj++++=new
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
did ^vbd+dod+vrb++=did
sound ^nn++++=sound
rather ^rb++++=rather
far ^rb+pl+++=far-fetched
- ^zz++++=EXTRAWORD
fetched ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
absurd ^jj++++=absurd,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
in ^in++++=in
the ^ati++++=the
shop ^nn++++=shop:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+vrb++=have
some ^dti++++=some
purple ^nn++++=purple
ones ^cd1s++++=ones
to ^to++++=to
bring ^vbi++++=bring
the ^ati++++=the
carpet ^nn++++=carpet
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
table ^nn++++=table."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
quite ^rb++++=quite
sense ^nn++++=sense
at ^in++++=at
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
with ^in++++=with
them ^pp3o+pp3+++=them
and ^cc++++=and
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
two ^cd++++=two
pyramids ^nns+++??+=pyramids
of ^in++++=of
these ^dt+dem+++=these
bright ^jj+atrb+++=bright
round ^nn++++=round
shapes ^nns++++=shapes,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
table ^nn++++=table
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
effect ^nn++++=effect
and ^cc++++=and
it ^pp3+it+++=it
really ^rb+emph+++=really
was ^vbd+bedz+vrb++=was
most ^ql+emph+++=most
curious ^jj++++=curious.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
dark ^jj+atrb+++=dark
table ^nn++++=table
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
melt ^vbi++++=melt
into ^in++++=into
the ^ati++++=the
dusky ^nn+++??+=dusky
light ^jj++++=light
and ^cc++++=and
the ^ati++++=the
glass ^nn++++=glass
dish ^nn++++=dish
and ^cc++++=and
the ^ati++++=the
blue ^jj+atrb+++=blue
bowl ^nn++++=bowl
to ^to++++=to
float ^vbi++++=float
in ^in++++=in
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
present ^vb++++=present
mood ^nn++++=mood,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
so ^ql++++=so
incredibly ^rb++++=incredibly
beautiful ^jj++++=beautiful
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
began ^vbd+++xvbnx+=began
to ^to++++=to
laugh ^vbi++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting
hysterical ^jj++++=hysterical."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
she ^pp3a+pp3+++=she
seized ^vbd+++xvbnx+=seized
her ^pp$+pp3+++=her
bag ^nn++++=bag
and ^cc++++=and
coat ^nn++++=coat
and ^cc++++=and
ran ^vbd+++xvbn+=ran
upstairs ^jjb++++=upstairs
to ^in++++=to
the ^ati++++=the
nursery ^nn+nom+++=nursery.
. ^zz++++=EXTRAWORD
Nurse ^nn++++=Nurse
sat ^vbd+++xvbn+=sat
at ^in++++=at
a ^at++++=a
low ^jj+atrb+++=low
table ^nn++++=table
giving ^vwbg+++xvbg+=giving
Little ^ap++++=Little
B ^zz++++=B
her ^pp$+pp3+++=her
supper ^nn++++=supper
after ^in++++=after
her ^pp3o+pp3+++=her
bath ^np++++=bath.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baby ^nn++++=baby
had ^vb+hv+vrb++=had
on ^in++++=on
a ^at++++=a
white ^jj+atrb+++=white
flannel ^nn++++=flannel
gown ^nn++++=gown
and ^cc++++=and
a ^at++++=a
blue ^jj+atrb+++=blue
woollen ^jj+atrb+++=woollen
jacket ^nn++++=jacket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
dark ^jj+atrb+++=dark,
, ^zz++++=EXTRAWORD
fine ^jj+atrb+++=fine
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
brushed ^vpsv++agls+xvbnx+=brushed
up ^rp++++=up
into ^in++++=into
a ^at++++=a
funny ^jj++++=funny
little ^ap++++=little
peak ^nn++++=peak.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
her ^pp3o+pp3+++=her
mother ^npt++++=mother
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
jump ^vbi++++=jump.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
lovey ^nn+++??+=lovey,
, ^zz++++=EXTRAWORD
eat ^vb++++=eat
it ^pp3+it+++=it
up ^rp++++=up
like ^in++++=like
a ^at++++=a
good ^jj+atrb+++=good
girl ^nn++++=girl,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
nurse ^vb++++=nurse,
, ^zz++++=EXTRAWORD
setting ^nvbg+++xvbg+=setting
her ^pp3o+pp3+++=her
lips ^nns++++=lips
in ^in++++=in
a ^at++++=a
way ^nn++++=way
that ^tht+rel+obj++=that
Bertha ^np+++??+=Bertha
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
meant ^vprf++tht0+xvbn+=meant
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
the ^ati++++=the
nursery ^nn+nom+++=nursery
at ^rb++++=at
another ^dt++++=another
wrong ^jj+atrb+++=wrong
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
" ^zz++++="Has
has ^vbz+hvz+aux++=EXTRAWORD
she ^pp3a+pp3+++=she
been ^vb+vbd+vrb+xvbnx+=been
good ^jj++++=good,
, ^zz++++=EXTRAWORD
Nanny ^npt++++=Nanny?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
a ^rb++++=a
little ^rb"++++=little
sweet ^jj++++=sweet
all ^abn++++=all
the ^ati++++=the
afternoon ^nn++++=afternoon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
Nanny ^npt++++=Nanny.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
park ^nn++++=park
and ^cc++++=and
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
a ^at++++=a
chair ^nn++++=chair
and ^cc++++=and
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
pram ^nn++++=pram
and ^cc++++=and
a ^at++++=a
big ^jj+atrb+++=big
dog ^nn++++=dog
came ^vbd+++xvbn+=came
along ^in++++=along
and ^cc++++=and
put ^vb+++xvbn+=put
its ^pp$+it+++=its
head ^jjb++++=head
on ^in++++=on
my ^pp$+pp1+++=my
knee ^nn++++=knee
and ^cc++++=and
she ^pp3a+pp3+++=she
clutched ^vbd+++xvbnx+=clutched
its ^pp$+it+++=its
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
tugged ^j+++xvbn+=tugged
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
should ^md+nec+++=should
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bertha ^np+++??+=Bertha
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
ask ^vbi++++=ask
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
rather ^rb++++=rather
dangerous ^jj++++=dangerous
to ^to++++=to
let ^vbi++++=let
her ^pp$+pp3+++=her
clutch ^nn++++=clutch
at ^in++++=at
a ^at++++=a
strange ^jj+atrb+++=strange
dog ^nn++++=dog's
's ^$++++=EXTRAWORD
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
dare ^vb++++=dare
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
watching ^jj+++xvbg+=watching
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hands ^nns++++=hands
by ^in++++=by
her ^pp$+pp3+++=her
side ^nn++++=side,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
girl ^nn++++=girl
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
rich ^jj+atrb+++=rich
girl ^nn++++=girl
with ^in++++=with
the ^ati++++=the
doll ^nn++++=doll.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baby ^nn++++=baby
looked ^vbd+++xvbn+=looked
up ^rp++++=up
at ^rb++++=at
her ^pp3o+pp3+++=her
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
stared ^j+++xvbn+=stared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
smiled ^vbd+++xvbn+=smiled
so ^rb++++=so
charmingly ^rb++++=charmingly
that ^cs+sub+++=that
Bertha ^np+++??+=Bertha
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
crying ^nvbg+++xvbg+=crying:
: ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Nanny ^npt++++=Nanny,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
finish ^vb++++=finish
giving ^vbg+++xvbg+=giving
her ^pp$+pp3+++=her
her ^pp$+pp3+++=her
supper ^nn++++=supper
while ^cs+sub+++=while
you ^pp2+pp2+++=you
