Eleven ^cd++++=Eleven
my ^pp$+pp1+++=my
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
only ^rb+down+++=only
the ^ati++++=the
pansies ^nns++++=pansies
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
tell ^vb++++=tell
the ^ati++++=the
difference ^nn+nom+++=difference."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
the ^ati++++=the
last ^jj+atrb+++=last
year ^nn++++=year,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
after ^cs+sub+++=after
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^rb++++=a
little ^rb"++++=little
well ^rb++++=well
feeble ^jj++++=feeble
as ^ql++++=as
you ^pp2+pp2+++=you
might ^md+pos+++=might
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
never ^rb++++=never
dangerous ^jj+pred+++=dangerous;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sweetest ^jjt+atrb+++=sweetest
old ^jj+atrb+++=old
lady ^nn++++=lady.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
how ^wrb+who+++=how
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
was ^vbd+bedz+aux++=was
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
lost ^vprf+++xvbnx+=lost
something ^pn++++=something.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
keep ^vb++++=keep
still ^jj+pred+++=still,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
settle ^vb++++=settle.
. ^zz++++=EXTRAWORD
All ^abn++++=All
day ^nn++++=day
long ^rb++++=long
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
meet ^vb++++=meet
her ^pp$+pp3+++=her
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
for ^in+ppvb+++=for
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
look ^vb++++=look
up ^rp++++=up
at ^in++++=at
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say
just ^rb+emph+++=just
like ^in++++=like
a ^at++++=a
child ^nn++++=child,
, ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
lost ^vprf+++xvbnx+=lost
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
lost ^vprf+++xvbnx+=lost
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
along ^in+strn+++=along,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="come
come ^vprf+++xvbn+=EXTRAWORD
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
lay ^jjb+++xvbn+=lay
out ^rp+pl+++=out
your ^pp$+pp2+++=your
patience ^nn+nom+++=patience
for ^in++++=for
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
she ^pp3a+pp3+++0=she'd
'd ^md+prd+vrb++=EXTRAWORD
catch ^nn++++=catch
me ^pp1o+pp1+++=me
by ^in++++=by
the ^ati++++=the
hand ^nn++++=hand
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
favourite ^nn++++=favourite
of ^in++++=of
hers ^pp$$++++=hers
and ^cc++++=and
whisper ^nn++++=whisper,
, ^zz++++=EXTRAWORD
" ^zz++++="Find
find ^vb+vprv+++=EXTRAWORD
it ^pp3+it+++=it
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Ellen ^np++++=Ellen.
. ^zz++++=EXTRAWORD
Find ^vb+vprv+++=Find
it ^pp3+it+++=it
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sad ^jj++++=Sad,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
never ^rb++++=never
recovered ^vbd+++xvbn+=recovered,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
a ^at++++=a
stroke ^nn++++=stroke
at ^in++++=at
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Last ^rb++++=Last
words ^nns++++=words
she ^pp3a+pp3+++=she
ever ^rb++++=ever
said ^vbd+vpub++xvbn+=said
was ^vbd+bedz+aux++=was
very ^ql+amp+++=very
slow ^vb++++=slow,
, ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Look ^nn++++=Look
in ^in+strn+++=in--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
noticed ^vbd+vprv+tht0+xvbnx+=noticed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
some ^dti++++=some
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
like ^in++++=like
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
nobody ^pn++++=nobody
but ^cc++++=but
my ^pp$+pp1+++=my
lady ^nn++++=lady.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^npt++++=mother
died ^vbd+++xvbn+=died
of ^in++++=of
consumption ^nn+nom+++=consumption
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
four ^cd++++=four,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
lived ^vbd+++xvbnx+=lived
with ^in+ppvb+++=with
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
kept ^vbd+++xvbn+=kept
a ^at++++=a
hair-dresser ^jjr+atrb+++=hair-dresser's
's ^vbz+bez+vrb++0=EXTRAWORD
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
spend ^vb++++=spend
all ^abn++++=all
my ^pp$+pp1+++=my
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
shop ^nn++++=shop
under ^in++++=under
a ^at++++=a
table ^nn++++=table
dressing ^vwbg+++xvbg+=dressing
my ^pp$+pp1+++=my
doll ^nn++++=doll's
's ^$++++=EXTRAWORD
hair ^nn++++=hair
copying ^vwbg+++xvbg+=copying
the ^ati++++=the
assistants ^nns+nom+++=assistants,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
ever ^rb++++=ever
so ^rb++++=so
kind ^nn++++=kind
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Used ^md"++pmd"++=Used
to ^to++++=to
make ^vb++++=make
me ^pp1o+pp1+++=me
little ^ap++++=little
wigs ^nns+++??+=wigs,
, ^zz++++=EXTRAWORD
all ^abn++++=all
colours ^nns++++=colours,
, ^zz++++=EXTRAWORD
the ^ati++++=the
latest ^jjt+atrb+++=latest
fashions ^nns++++=fashions
and ^cc++++=and
all ^rb++++=all.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^rn+pl+++=there
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
sit ^vb++++=sit
all ^abn++++=all
day ^nn++++=day,
, ^zz++++=EXTRAWORD
quiet ^nn++++=quiet
as ^ql++++=as
quiet ^nn++++=quiet
the ^ati++++=the
customers ^nns+nom+++=customers
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
now ^rn+tm+++=now
and ^cc+phrs+++=and
again ^rb+tm+++=again
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
take ^vb++++=take
my ^pp$+pp1+++=my
peep ^nn++++=peep
from ^in++++=from
under ^in++++=under
the ^ati++++=the
table ^nn++++=table-cloth.
- ^zz++++=EXTRAWORD
cloth ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
one ^cd1++++=one
day ^nn++++=day
I ^pp1a+pp1+++=I
managed ^vbd+++xvbnx+=managed
to ^to+vcmp+++=to
get ^vbi++++=get
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
scissors ^nns++++=scissors
and ^cc++++=and
would ^md+prd+++=would
you ^pp2+pp2+++=you
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cut ^vbd+++xvbnx+=cut
off ^rb+phrv+++=off
all ^abn++++=all
my ^pp$+pp1+++=my
hair ^nn++++=hair;
; ^zz++++=EXTRAWORD
snipped ^j+++xvbn+=snipped
it ^pp3+it+++=it
off ^in+pl+++=off
all ^abn++++=all
in ^in++++=in
bits ^nns++++=bits,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
little ^jj+atrb+++=little
monkey ^nn++++=monkey
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Grandfather ^nn+nom+++=Grandfather
was ^vbd+bedz+vrb++=was
furious ^jj+pred+++=furious!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
hold ^nn++++=hold
of ^in++++=of
the ^ati++++=the
tongs ^nns+++??+=tongs
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++splt++=never
forget ^vb+vprv+tht0++=forget
it ^pp3+it+++=it
grabbed ^vbd+++xvbn+=grabbed
me ^pp1o+pp1+++=me
by ^in++++=by
the ^ati++++=the
hand ^nn++++=hand
and ^cc++++=and
shut ^vb+++xvbn+=shut
