Seated ^xvbn+++xvbn+=Seated
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=o'
peace ^nn++++=peace
and ^cc++++=and
quietness ^nns+nom+++=quietness,
, ^zz++++=EXTRAWORD
Smith ^np++++=Smith
gave ^vbd+++xvbn+=gave
' ^zz++++='im
im ^&fw++++=EXTRAWORD
another ^dt++++=another
pint ^nn++++=pint
to ^to++++=to
make ^vbi++++=make
up ^rp++++=up
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
must ^md+nec+++=must
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
asleep ^jj++++=asleep
in ^in++++=in
the ^ati++++=the
mug ^nn++++=mug,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
' ^zz++++='e
e ^zz++++=EXTRAWORD
thought ^vbd+++xvbn+=thought
' ^zz++++='e
e ^zz++++=EXTRAWORD
knew ^vbd+vprv++xvbn+=knew
who ^whp+who+++=who
must ^md+nec+++=must
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
asleep ^jj++++=asleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
going ^md"++pmd"++=going
to ^md+prd+++=to
take ^vb++++=take
a ^at++++=a
drink ^nn++++=drink,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
conjurer ^nn++++=conjurer
asked ^vbd+vsua++xvbn+=asked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
to ^in++++=to
excuse ^nn++++=excuse
' ^zz++++='im
im ^&fw++++=EXTRAWORD
agin ^nn+++??+=agin.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
put ^vbd+++xvbn+=put
down ^rb+phrv+++=down
the ^ati++++=the
mug ^nn++++=mug
in ^in++++=in
a ^at++++=a
' ^zz++++='urry,
urry ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
conjurer ^nn++++=conjurer
put ^vbd+++xvbn+=put
his ^pp$+pp3+++=his
' ^zz++++='and
and ^cc++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
mug ^nn++++=mug
and ^cc++++=and
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
a ^at++++=a
dead ^jj+atrb+++=dead
mouse ^nn++++=mouse.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
' ^zz++++='ard
ard ^nn+++??+=EXTRAWORD
thing ^nn++++=thing
to ^to++++=to
say ^vbi+vpub+++=say
which ^whp+who+++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
upset ^vb+++xvbn+=upset,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Chambers ^nns+nom+++=Chambers
or ^cc++++=or
Smith ^np++++=Smith,
, ^zz++++=EXTRAWORD
the ^ati++++=the
landlord ^nn++++=landlord,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
terrible ^jj+atrb+++=terrible
state ^nn++++=state,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
why ^wrb+who+++=why
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
everything ^pn++++=everything
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
get ^vbi++++=get
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
mug ^nn++++=mug.
. ^zz++++=EXTRAWORD
" ^zz++++="P'r'aps
p ^zz++++=EXTRAWORD
'r'aps ^nns+++??+0=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
fond ^jj+pred+++=fond
of ^in++++0=o'
dumb ^jj+atrb+++=dumb
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^nn++++=conjurer.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
' ^zz++++='appen
appen ^vb+++xvbn+=EXTRAWORD
to ^in++++=to
notice ^nn++++=notice
your ^pp$+pp2+++=your
coat ^nn++++=coat-pocket
- ^zz++++=EXTRAWORD
pocket ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
all ^abn++++=all
of ^in++++=of
a ^at++++=a
wriggle ^vb++++=wriggle?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
' ^zz++++='and
and ^cc++++=EXTRAWORD
to ^in++++=to
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
pocket ^nn++++=pocket
and ^cc++++=and
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
a ^rb++++=a
little ^rb"++++=little
green ^jj+atrb+++=green
snake ^nn++++=snake;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
' ^zz++++='and
and ^cc++++=EXTRAWORD
to ^in++++=to
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
trouser ^nn++++=trouser-pocket
- ^zz++++=EXTRAWORD
pocket ^nn++++=EXTRAWORD
and ^cc++++=and
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
a ^at++++=a
frog ^nn+++??+=frog,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
pore ^jj+atrb+++=pore
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
looked ^vbd+++xvbn+=looked
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
was ^vbd+bedz+aux++=was
corning ^vbg+++xvbgx+=corning
out ^rp+pl+++=out
of ^in++++0=o'
their ^pp$+pp3+++=their
sockets ^nns++++=sockets.
. ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
still ^jj+pred+++=still,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^jjr++++=conjurer;
; ^zz++++=EXTRAWORD
" ^zz++++="there's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
lot ^nn++++=lot
more ^ql++++=more
to ^to++++=to
come ^vbi++++=come
yet ^rb++++=yet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Chambers ^nns+nom+++=Chambers
gave ^vbd+++xvbn+=gave
a ^at++++=a
' ^zz++++='owl
owl ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
dreadful ^jj+pred+++=dreadful
to ^to+jcmp+++=to
listen ^vbi++++=listen
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
' ^zz++++='e
e ^zz++++=EXTRAWORD
pushed ^vbd+++xvbn+=pushed
the ^ati++++=the
conjurer ^jjr++++=conjurer
away ^rp+pl+++=away
and ^cc++++=and
started ^vbd+++xvbn+=started
undressing ^nvbg+++xvbg+=undressing
' ^zz++++='imself
imself ^nn+++??+=EXTRAWORD
as ^ql++++=as
fast ^jj++++=fast
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
move ^vb++++=move
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
taken ^vbd+++xvbn+=taken
off ^rb+phrv+++=off
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
shirt ^nn++++=shirt
if ^cs+cnd+++=if
it ^pp3+it+++=it
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
pockets ^nns++++=pockets
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
' ^zz++++='e
e ^zz++++=EXTRAWORD
stuck ^vbd+++xvbn+=stuck
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
feet ^nns++++=feet
close ^rb++++=close
together ^nn+nom+++=together
and ^cc++++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
kept ^vbd+++xvbn+=kept
jumping ^jj+++xvbg+=jumping
into ^in++++=into
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coming ^vbg+++xvbg+=coming
down ^rb+phrv+++=down
on ^in+ppvb+++=on
to ^to++++=to
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
own ^ap++++=own
clothes ^nns++++=clothes
in ^in++++=in
his ^pp$+pp3+++=his
hobnailed ^jj+atrb++xvbn+=hobnailed
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
fond ^jj++++=fond
