Married ^vbd+++xvbn+=Married
leaving ^vwbg+++xvbg+=leaving
home ^nr++++=home
for ^in++++=for
the ^ati++++=the
summer ^nn++++=summer
months ^nns++++=months,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
equally ^rb++++=equally
somber ^jjr++++=somber-clad
- ^zz++++=EXTRAWORD
clad ^jj+atrb+++=EXTRAWORD
notice ^nn++++=notice
( ^zz++++=(doubtless
doubtless ^rb++++=EXTRAWORD
astray ^rb++++=astray
as ^in++++=as
to ^in++++=to
place ^nn++++=place
and ^cc++++=and
application ^nn+nom+++=application)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
Hammersmith ^np++++=Hammersmith
& ^zz++++=&
Co ^nn++++=Co.
. ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
carrying ^vbg+++xvbgx+=carrying
a ^at++++=a
large ^jj+atrb+++=large
and ^cc+phrs+++=and
varied ^jj+atrb++xvbn+=varied
assortment ^nn+nom+++=assortment
of ^in++++=of
marble ^nn++++=marble
and ^cc++++=and
granite ^nn++++=granite
monuments ^nns+nom+++=monuments!
! ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
notwithstanding ^rb+cnj+++=notwithstanding
its ^pp$+it+++=its
sandwiched ^vbd+++xvbn+=sandwiched
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
little ^ap++++=little
marriage ^nn+nom+++=marriage
announcement ^nn+nom+++=announcement
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
Eleanor ^vbi++++=Eleanor
to ^in++++=to
parade ^nn++++=parade
the ^ati++++=the
whole ^jj+atrb+++=whole
street ^nn++++=street.
. ^zz++++=EXTRAWORD
Whichever ^nn+nom+++=Whichever
way ^nn++++=way
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
glowered ^vbd+++xvbn+=glowered
at ^in++++=at
her ^pp$+pp3+++=her
with ^in++++=with
scornful ^jj+atrb+++=scornful
reproach ^nn++++=reproach.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
felt ^vbd+vprv+tht0+xvbnx+=felt
it ^pp3+it+++=it
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
indelicate ^nn++++=indelicate
thrusting ^vwbg+++xvbg+=thrusting
of ^in++++=of
herself ^ppl+pp3+++=herself
upon ^in++++=upon
the ^ati++++=the
public ^nn++++=public
notice ^vb+vprv+++=notice;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
sight ^nn++++=sight
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
plunged ^vpsv++agls+xvbnx+=plunged
in ^in++++=in
regret ^nn++++=regret
at ^rb++++=at
having ^xvbg+++xvbg+=having
made ^vprf+++xvbn+=made
to ^to+vcmp+++=to
the ^ati++++=the
properties ^nns++++=properties
the ^ati++++=the
concession ^nn++++=concession
of ^in++++=of
permitting ^xvbg+++xvbg+=permitting
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hoped ^vbd+vprv++xvbnx+=hoped
now ^rn+tm+++=now
that ^cs+sub+++=that
the ^ati++++=the
period ^nn++++=period
for ^in++++=for
making ^xvbg+++xvbg+=making
concessions ^nns++++=concessions
was ^vbd+bedz+aux++=was
ended ^vpsv++agls+xvbnx+=ended.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
endured ^vprf+++xvbnx+=endured
long ^rb++++=long
and ^cc+phrs+++=and
patiently ^rb++++=patiently
the ^ati++++=the
trials ^nns++++=trials
that ^tht+rel+subj++=that
beset ^vbd+++xvbn+=beset
her ^pp$+pp3+++=her
path ^nn++++=path
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
chose ^vbd+++xvbnx+=chose
to ^to++++=to
diverge ^vbi++++=diverge
from ^in++++=from
the ^ati++++=the
beaten ^jj+atrb++xvbn+=beaten
walks ^nns++++=walks
of ^in++++=of
female ^jj+atrb+++=female
Plymdaledom ^np+nom++??+=Plymdaledom.
. ^zz++++=EXTRAWORD
Had ^vbd+hvd+aux++=Had
stood ^vprf+++xvbnx+=stood
stoically ^rb++++=stoically
enough ^dt++++=enough
the ^ati++++=the
questionable ^jj+atrb+++=questionable
distinction ^nn+nom+++=distinction
of ^in++++=of
being ^nn+nn+aux++=being
relegated ^vwbn+++xvbn+=relegated
to ^in++++=to
a ^at++++=a
place ^nn++++=place
amid ^in++++=amid
that ^dt+dem+++=that
large ^jj++++=large
and ^cc+phrs+++=and
ill ^jj++++=ill-assorted
- ^zz++++=EXTRAWORD
assorted ^jj+atrb+++=EXTRAWORD
family ^nn++++=family
of ^in++++=of
" ^zz++++="cranks,"
cranks ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
the ^ati++++=the
discomfit ^nn+++??+=discomfit
and ^cc++++=and
attending ^vbg+++xvbg+=attending
opprobrium ^nn+++??+=opprobrium
to ^to++++=to
be ^vbi+vbi+aux++=be
far ^rb+pl+splt++=far
outbalanced ^vpsv++by+xvbnx+=outbalanced
by ^in++++=by
the ^ati++++=the
satisfying ^jj+atrb++xvbg+=satisfying
consciousness ^nns+nom+++=consciousness
of ^in++++=of
roaming ^nn++++=roaming
the ^ati++++=the
heights ^nns++++=heights
of ^in++++=of
free ^jj+atrb+++=free
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tasting ^nvbg+++xvbg+=tasting
the ^ati++++=the
sweets ^nns++++=sweets
of ^in++++=of
a ^at++++=a
spiritual ^jj+atrb+++=spiritual
emancipation ^nn+nom+++=emancipation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
closing ^jj+atrb++xvbg+=closing
act ^nn++++=act
of ^in++++=of
Eleanor ^np++++=Eleanor's
's ^$++++=EXTRAWORD
young ^jj+atrb+++=young
ladyhood ^nn+nom+++=ladyhood,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
chose ^vbd+++xvbnx+=chose
to ^to++++=to
be ^vbi+vbi+aux++=be
married ^vpsv++agls+xvbnx+=married
without ^in++++=without
pre ^nn+++??+=pre-announcement,
- ^zz++++=EXTRAWORD
announcement ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
without ^in++++=without
the ^ati++++=the
paraphernalia ^nns++++=paraphernalia
of ^in++++=of
accessories ^nns++++=accessories
so ^ql++++=so
dear ^uh++++=dear
to ^in++++=to
a ^at++++=a
curious ^jj++++=curious
public ^jj++++=public
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
keeping ^xvbg+++xvbg+=keeping
with ^in++++=with
previous ^jj+atrb+++=previous
methods ^nns++++=methods
distinguishing ^vwbg+++xvbg+=distinguishing
her ^pp3o+pp3+++=her
career ^nn++++=career.
. ^zz++++=EXTRAWORD
The ^ati++++=The
disappointed ^jj+++xvbn+=disappointed
public ^jj++++=public
cheated ^jj+++xvbn+=cheated
of ^in++++=of
its ^pp$+it+++=its
entertainment ^nn+nom+++=entertainment,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
seek ^vbi++++=seek
such ^abl++++=such
compensation ^nn+nom+++=compensation
for ^in++++=for
the ^ati++++=the
loss ^nn++++=loss
as ^ql++++=as
was ^vbd+bedz+aux++=was
offered ^vpsv++agls+xvbnx+=offered
in ^in++++=in
reflections ^nns+nom+++=reflections
that ^tht+vcmp+++=that
while ^cs+sub+++=while
condemning ^vbg+++xvbg+=condemning
her ^pp$+pp3+++=her
present ^vb++++=present,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
unsparing ^vbg+++xvbgx+=unsparing
of ^in++++=of
her ^pp$+pp3+++=her
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
full ^jj++++=full
with ^in++++=with
damning ^jj+atrb+++=damning
prognostic ^nn++++=prognostic
of ^in++++=of
her ^pp$+pp3+++=her
future ^jjb++++=future.
. ^zz++++=EXTRAWORD
Charles ^np++++=Charles
Faraday ^np+++??+=Faraday,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
added ^vbd+vpub++xvbn+=added
to ^in++++=to
his ^pp$+pp3+++=his
unembellished ^jj+atrb++xvbn+=unembellished
title ^nn++++=title
that ^tht+rel+++=that
of ^in++++=of
Professor ^nn++++=Professor
of ^in++++=of
Mathematics ^nn++++=Mathematics
of ^in++++=of
the ^ati++++=the
Plymdale ^np+++??+=Plymdale
University ^nn+nom+++=University,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
in ^in++++=in
Eleanor ^np++++=Eleanor
Gail ^np+++??+=Gail
his ^pp$+pp3+++=his
ideal ^jj+atrb+++=ideal
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
rather ^rb++++=rather
surpassed ^vbd+++xvbn+=surpassed
that ^dt+dem+++=that
ideal ^jj++++=ideal,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had
of ^in++++=of
necessity ^nn+nom+++=necessity
been ^vprf+ben+vrb+xvbn+=been
but ^cc++++=but
an ^at++++=an
adorned ^jj+atrb++xvbn+=adorned
picture ^nn++++=picture
of ^in++++=of
woman ^nn++++=woman
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
known ^vprf++tht0+xvbnx+=known
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
A ^at++++=A
mild ^nn++++=mild
emphasizing ^vwbg+++xvbg+=emphasizing
of ^in++++=of
her ^pp$+pp3+++=her
merits ^vbz++++=merits,
, ^zz++++=EXTRAWORD
a ^at++++=a
soft ^jj++++=soft
toning ^jj+++xvbg+=toning
down ^rp++++=down
of ^in++++=of
her ^pp$+pp3+++=her
defects ^nns++++=defects
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
to ^to++++=to
offer ^vbi++++=offer
to ^in++++=to
his ^pp$+pp3+++=his
fancy ^nn++++=fancy
a ^at++++=a
prototype ^nn++++=prototype
of ^in++++=of
that ^cs+sub+++=that
bequoted ^vprf+++xvbn+=bequoted
creature ^nn++++=creature.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
too ^rb++++=too
good ^jj++++=good
for ^in++++=for
human ^jj+atrb+++=human
nature ^nn++++=nature's
's ^vbz+bez+vrb++0=EXTRAWORD
daily ^jj+atrb+++=daily
food ^nn++++=food,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
yet ^rb++++=yet
so ^ql+emph+++=so
good ^jj++++=good
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
cherished ^vprf+++xvbnx+=cherished
no ^at++++=no
hope ^nn++++=hope
of ^in++++=of
beholding ^xvbg+++xvbg+=beholding
such ^abl++++=such
a ^at++++=a
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
flesh ^nn++++=flesh.
. ^zz++++=EXTRAWORD
Until ^cs+sub+++=Until
Eleanor ^np++++=Eleanor
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
supplanting ^jj+++xvbg+=supplanting
his ^pp$+pp3+++=his
ideal ^nn++++=ideal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
making ^nvbg+++xvbg+=making
of ^in++++=of
that ^dt+dem+++=that
fanciful ^np+nom+++=fanciful
creation ^nn+nom+++=creation
a ^at++++=a
very ^ql+amp+++=very
simpleton ^vb+++??+=simpleton
by ^in++++=by
contrast ^nn++++=contrast.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
her ^pp$+pp3+++=her
extremely ^rb+amp+++=extremely
good ^jj++++=good
to ^to+jcmp+++=to
look ^vbi++++=look
at ^rb+cnj+++=at,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
combination ^nn+nom+++=combination
of ^in++++=of
graceful ^jj+atrb+++=graceful
womanly ^jj+atrb+++=womanly
charms ^nns++++=charms,
, ^zz++++=EXTRAWORD
unmarred ^xvbn+++xvbn+=unmarred
by ^in++++=by
self ^nn++++=self-conscious
- ^zz++++=EXTRAWORD
conscious ^jj+atrb+++=EXTRAWORD
mannerisms ^nns+nom+++=mannerisms
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
as ^ql++++=as
rare ^jj++++=rare
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
engaging ^vbg+++xvbgx+=engaging.
. ^zz++++=EXTRAWORD
Talking ^vbg+++xvbg+=Talking
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
a ^at++++=a
look ^nn++++=look
from ^in++++=from
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
into ^in++++=into
his ^pp$+pp3+++=his
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
recognized ^vbd+vprv++xvbnx+=recognized
at ^rb++++=at
once ^rb"+tm+++=once
as ^in++++=as
a ^at++++=a
free ^jj+atrb+++=free
masonry ^nn++++=masonry
of ^in++++=of
intellect ^nn++++=intellect.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
longer ^rbr++++=longer
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
the ^ati++++=the
greater ^nn++++=greater
grew ^vbd+++xvbn+=grew
his ^pp$+pp3+++=his
wonder ^vb++++=wonder
at ^rb++++=at
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
revelations ^nns+nom+++=revelations
of ^in++++=of
her ^pp$+pp3+++=her
mind ^vb++++=mind
that ^tht+vcmp+subj++=that
unfurled ^vprf+++xvbn+=unfurled
itself ^ppl++++=itself
to ^in++++=to
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
curling ^jj+atrb++xvbg+=curling
petals ^nns++++=petals
of ^in++++=of
some ^dti++++=some
hardy ^jj++++=hardy
blossom ^vb++++=blossom
that ^dt+pdem+++=that
opens ^vbz++++=opens
to ^in++++=to
the ^ati++++=the
inviting ^jj+atrb++xvbg+=inviting
warmth ^nn++++=warmth
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
that ^cs+sub+++=that
Eleanor ^np++++=Eleanor
knew ^vbd+vprv++xvbn+=knew
many ^ap++++=many
things ^nns++++=things.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
her ^pp$+pp3+++=her
own ^ap++++=own
modest ^jj+atrb+++=modest
estimate ^nn+nom+++=estimate
of ^in++++=of
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
school ^nn++++=school
girls ^nns++++=girls
in ^in++++=in
Plymdale ^np+++??+=Plymdale
who ^whp+rel+subj++=who
surpassed ^vbd+++xvbn+=surpassed
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
their ^pp$+pp3+++=their
positive ^jj+atrb+++=positive
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
possessed ^vpsv++agls+xvbnx+=possessed
of ^in++++=of
a ^at++++=a
clear ^jj+atrb+++=clear
intellect ^nn++++=intellect:
: ^zz++++=EXTRAWORD
sharp ^jj++++=sharp
in ^in++++=in
its ^pp$+it+++=its
reasoning ^nvbg+++xvbg+=reasoning,
, ^zz++++=EXTRAWORD
strong ^jj++++=strong
and ^cc+phrs+++=and
unprejudiced ^jj+++xvbn+=unprejudiced
in ^in++++=in
its ^pp$+it+++=its
outlook ^nn++++=outlook.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
rara ^nn+++??+=rara
avis ^nns+++??+=avis,
, ^zz++++=EXTRAWORD
a ^at++++=a
logical ^jj+atrb+++=logical
woman ^nn++++=woman
something ^pn++++=something
which ^whp+who+++=which
Faraday ^np+++??+=Faraday
had ^vb+hv+aux++=had
not ^xnot++not++=not
encountered ^vbd+++xvbn+=encountered
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
True ^jj++++=True,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
hoary ^nn++++=hoary
with ^in++++=with
age ^nn++++=age.
. ^zz++++=EXTRAWORD
At ^rb++++=At
30 ^cd++++=30
the ^ati++++=the
types ^nns++++=types
of ^in++++=of
women ^nns++++=women
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
with ^in+ppvb+++=with
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
legion ^nn++++=legion;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
safe ^jj++++=safe
in ^in++++=in
doubting ^vb+++xvbg+=doubting
that ^tht+vcmp+++=that
the ^ati++++=the
hedges ^nns++++=hedges
of ^in++++=of
the ^ati++++=the
future ^nn++++=future
would ^md+prd+++=would
grow ^vb++++=grow
logical ^jj+atrb+++=logical
women ^nns++++=women
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
more ^ql++++=more
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
such ^abl++++=such
prodigies ^nns++++=prodigies
in ^in++++=in
the ^ati++++=the
past ^nn++++=past.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
Eleanor ^np++++=Eleanor
ready ^jj++++=ready
to ^to+jcmp+++=to
take ^vbi++++=take
broad ^jj+atrb+++=broad
views ^nns++++=views
of ^in++++=of
life ^nn++++=life
and ^cc++++=and
humanity ^nn+nom+++=humanity;
; ^zz++++=EXTRAWORD
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
grasp ^vb+vprv+++=grasp
a ^at++++=a
question ^nn+nom+++=question
and ^cc++++=and
anticipate ^nn+nom+++=anticipate
conclusions ^nns++++=conclusions
by ^in++++=by
a ^at++++=a
quick ^jj+atrb+++=quick
intuition ^nn+nom+++=intuition
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
reached ^vpsv++by+xvbn+=reached
by ^in++++=by
the ^ati++++=the
slower ^jjr+atrb+++=slower,
, ^zz++++=EXTRAWORD
consecutive ^jj+atrb+++=consecutive
steps ^nns++++=steps
of ^in++++=of
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
months ^nns++++=months
that ^tht+rel+subj++=that
shaped ^vwbn+++xvbn+=shaped
themselves ^ppls+pp3+++=themselves
into ^in++++=into
the ^ati++++=the
cycle ^nn++++=cycle
of ^in++++=of
a ^at++++=a
year ^nn++++=year
these ^dt+dem+++=these
two ^cd++++=two
dwelt ^vbd+++xvbn+=dwelt
together ^nn+nom+++=together
in ^in++++=in
the ^ati++++=the
harmony ^nn++++=harmony
of ^in++++=of
a ^at++++=a
united ^jj+atrb+++=united
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Together ^nn+nom+++=Together
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
looking ^jj+++xvbg+=looking
for ^in++++=for
the ^ati++++=the
good ^jj+atrb+++=good
things ^nns++++=things
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
knocking ^vbg+++xvbg+=knocking
at ^in++++=at
the ^ati++++=the
closed ^jj+atrb++xvbn+=closed
doors ^nns++++=doors
of ^in++++=of
philosophy ^nn++++=philosophy;
; ^zz++++=EXTRAWORD
venturing ^jj+++xvbg+=venturing
into ^in++++=into
the ^ati++++=the
open ^jj+atrb+++=open
fields ^nns++++=fields
of ^in++++=of
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
with ^in++++=with
uncertain ^jj+atrb+++=uncertain
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
steady ^jj++++=steady
by ^in++++=by
his ^pp$+pp3+++=his
help ^nn++++=help.
. ^zz++++=EXTRAWORD
Whithersoever ^np+nom++??+=Whithersoever
he ^pp3a+pp3+++=he
led ^vbd+++xvbnx+=led
she ^pp3a+pp3+++=she
followed ^vbd+vprv++xvbnx+=followed,
, ^zz++++=EXTRAWORD
oftentimes ^nns+++??+=oftentimes
in ^in++++=in
her ^pp$+pp3+++=her
eagerness ^nns+nom+++=eagerness
taking ^vwbg+++xvbg+=taking
the ^ati++++=the
lead ^nn++++=lead
into ^in++++=into
unfamiliar ^jj+atrb+++=unfamiliar
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
weighted ^xvbn+++xvbn+=weighted
with ^in++++=with
a ^at++++=a
lingering ^jj+atrb++xvbg+=lingering
conservatism ^nn+nom+++=conservatism,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
hesitated ^vprf+++xvbnx+=hesitated
to ^to+vcmp+++=to
venture ^vbi++++=venture.
. ^zz++++=EXTRAWORD
So ^ql++++=So
did ^vbd+dod+aux++=did
they ^pp3a+pp3+++=they
grow ^vb++++=grow
in ^in++++=in
their ^pp$+pp3+++=their
oneness ^nns+nom+++=oneness
of ^in++++=of
thought ^vb+++xvbn+=thought
to ^to+vcmp+++=to
belong ^vbi++++=belong
each ^ppls++++=each
so ^pn++++=so
absolutely ^rb+amp+++=absolutely
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
that ^cs+sub+++=that
the ^ati++++=the
idea ^nn++++=idea
seemed ^vbd+seem++xvbn+=seemed
not ^xnot++not++=not
to ^to++++=to
have ^vbi+vbi+aux++=have
come ^vprf+++xvbn+=come
to ^in++++=to
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
this ^dt+dem+++=this
union ^nn++++=union
might ^md+pos+++=might
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
faster ^rbr++++=faster
by ^in++++=by
marriage ^nn+nom+++=marriage.
. ^zz++++=EXTRAWORD
Until ^cs+sub+++=Until
one ^cd1++++=one
day ^nn++++=day
it ^pp3+it+++=it
broke ^vbd+++xvbn+=broke
upon ^in++++=upon
Faraday ^np+++??+=Faraday,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
revelation ^nn+nom+++=revelation
from ^in++++=from
the ^ati++++=the
unknown ^jj++++=unknown,
, ^zz++++=EXTRAWORD
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
making ^xvbg+++xvbg+=making
her ^pp$+pp3+++=her
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
eager ^jj++++=eager
with ^in++++=with
the ^ati++++=the
new ^nn++++=new
awakened ^vbd+++xvbn+=awakened
impulse ^nn++++=impulse,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
laughingly ^rb++++=laughingly
replied ^vbd+vpub++xvbn+=replied:
: ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
of ^in++++=of
it ^pp3+it+++=it
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
In ^in++++=In
entering ^xvbg+++xvbg+=entering
upon ^in++++=upon
their ^pp$+pp3+++=their
new ^jj+atrb+++=new
life ^nn++++=life
they ^pp3a+pp3+++=they
decided ^vbd+vprv++xvbnx+=decided
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
governed ^vpsv++by+xvbnx+=governed
by ^in++++=by
no ^at++++=no
precedential ^jj+atrb+++=precedential
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
Marriage ^nn+nom+++=Marriage
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
form ^nn++++=form,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
while ^cs+sub+++=while
fixing ^nvbg+++xvbg+=fixing
legally ^rb++++=legally
their ^pp$+pp3+++=their
