Four ^cd++++=Four
many ^ap++++=many
devices ^nns++++=devices
to ^in++++=to
test ^nn++++=test
the ^ati++++=the
manhood ^nn+nom+++=manhood
of ^in++++=of
each ^dt++++=each
of ^in++++=of
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Were ^vbd+bed+vrb++=Were
it ^pp3+it+++=it
not ^xnot++not++=not
for ^in++++=for
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
exhausted ^vprf+++xvbnx+=exhausted
all ^abn++++=all
reasonable ^jj+atrb+++=reasonable
resources ^nns++++=resources
to ^in++++=to
this ^dt+dem+++=this
end ^nn++++=end,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
all ^abn++++=all
of ^in++++=of
you ^pp2+pp2+++=you
trustworthy ^jj++++=trustworthy
except ^in++++=except
one ^pn++++=one,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not
now ^rn+tm+++=now
be ^vb+be+aux++=be
disclosing ^vbg+vprv++xvbgx+=disclosing
the ^ati++++=the
plan ^nn++++=plan
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
pursuing ^vbg+++xvbgx+=pursuing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
others ^aps++++=others,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
gazing ^vbg+++xvbgx+=gazing
at ^in++++=at
the ^ati++++=the
crestfallen ^jj+atrb+++=crestfallen
one ^pn++++=one,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
stared ^vprf+++xvbn+=stared
at ^rb++++=at
their ^pp$+pp3+++=their
leader ^nn++++=leader
with ^in++++=with
a ^at++++=a
startled ^jj+atrb++xvbn+=startled
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
final ^jj+atrb+++=final
test ^nn++++=test
of ^in++++=of
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
character ^nn+nom+++=character,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
calmly ^rb++++=calmly
pursued ^vbd+++xvbn+=pursued
the ^ati++++=the
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
the ^ati++++=the
card ^nn++++=card-table.
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
there ^ex+pex+++=there
may ^md+pos+++=may
be ^vb+be+vrb++=be
in ^in++++=in
him ^pp3o+pp3+++=him
of ^in++++=of
weakness ^nns+nom+++=weakness,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
it ^pp3+it+++=it
be ^vb+be+vrb++=be
a ^at++++=a
mean ^jj+atrb+++=mean
avarice ^nn++++=avarice,
, ^zz++++=EXTRAWORD
cowardice ^nn++++=cowardice,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
deceitful ^jj+atrb+++=deceitful
disposition ^nn+nom+++=disposition,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
there ^rn++splt++=there
inevitably ^rb++++=inevitably
appear ^vb+seem+++=appear.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
the ^ati++++=the
president ^nn++++=president
of ^in++++=of
a ^at++++=a
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
the ^ati++++=the
general ^nn++++=general
of ^in++++=of
an ^at++++=an
army ^nn++++=army,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
leader ^nn++++=leader
of ^in++++=of
any ^dti++++=any
other ^ap++++=other
great ^jj+atrb+++=great
enterprise ^nn++++=enterprise
I ^pp1a+pp1+++=I
would ^md+prd+++=would
make ^vb++++=make
it ^pp3+it+++=it
a ^at++++=a
point ^nn++++=point
to ^in++++=to
test ^nn++++=test
the ^ati++++=the
character ^nn+nom+++=character
of ^in++++=of
my ^pp$+pp1+++=my
subordinates ^nns+nom+++=subordinates
in ^in++++=in
a ^at++++=a
series ^nn++++=series
of ^in++++=of
games ^nns++++=games
at ^in++++=at
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
preferably ^rb++++=preferably
played ^vbd+++xvbn+=played
for ^in++++=for
money ^nn++++=money.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^rb+down+++=only
sure ^jj+atrb+++=sure
test ^nn++++=test
of ^in++++=of
character ^nn+nom+++=character
that ^tht+rel+obj++=that
the ^ati++++=the
wisdom ^nn++++=wisdom
of ^in++++=of
the ^ati++++=the
ages ^nns++++=ages
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
devise ^vb++++=devise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
scornful ^jj+atrb+++=scornful
glance ^nn++++=glance
upon ^in++++=upon
the ^ati++++=the
cringing ^jj+atrb++xvbg+=cringing
man ^nn++++=man,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
meanwhile ^rb++++=meanwhile
had ^vbd+hvd+aux++=had
mustered ^vprf+++xvbnx+=mustered
courage ^nn+nom+++=courage
to ^to++++=to
look ^vbi++++=look
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
employing ^vbg+++xvbgx+=employing
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
his ^pp$+pp3+++=his
ears ^nns++++=ears
to ^in++++=to
comprehend ^nn+++??+=comprehend
the ^ati++++=the
strange ^jj+atrb+++=strange
philosophy ^nn++++=philosophy
of ^in++++=of
his ^pp$+pp3+++=his
judge ^nn++++=judge.
. ^zz++++=EXTRAWORD
Terror ^nn++++=Terror
and ^cc++++=and
dismay ^nn++++=dismay
were ^vbd+bed+vrb++=were
elements ^nns+nom+++=elements
of ^in++++=of
the ^ati++++=the
expression ^nn++++=expression
which ^whp+rel+subj++=which
curiously ^rb++++=curiously
wrinkled ^vwbn+++xvbn+=wrinkled
his ^pp$+pp3+++=his
white ^jj+atrb+++=white
face ^nn++++=face,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
himself ^ppl+pp3+++=himself
standing ^vbg+++xvbg+=standing
before ^in++++=before
a ^at++++=a
court ^nn++++=court
of ^in++++=of
inscrutable ^jj+atrb+++=inscrutable
wisdom ^nn++++=wisdom
and ^cc++++=and
relentless ^jj+atrb+++=relentless
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
his ^pp$+pp3+++=his
glance ^nn++++=glance
fell ^vbd+++xvbn+=fell
instantly ^rb+tm+++=instantly
when ^wrb+who+++=when
it ^pp3+it+++=it
encountered ^vbd+++xvbn+=encountered
that ^dt+dem+++=that
of ^in++++=of
his ^pp$+pp3+++=his
judge ^nn++++=judge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
weak ^jj+atrb+++=weak
lower ^jjr+atrb+++=lower
lip ^nn++++=lip
hung ^vbd+++xvbn+=hung
trembling ^jj+++xvbg+=trembling.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
all ^abn++++=all
agreed ^jj+++xvbn+=agreed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
impressively ^rb++++=impressively
continued ^vbd+++xvbn+=continued
the ^ati++++=the
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
the ^ati++++=the
one ^cd1++++=one
found ^vbd+vprv++xvbn+=found
guilty ^jj++++=guilty
of ^in++++=of
deceiving ^xvbg+++xvbg+=deceiving
or ^cc++++=or
betraying ^xvbg+++xvbg+=betraying
the ^ati++++=the
others ^aps++++=others
to ^in++++=to
the ^ati++++=the
very ^ql+amp+++=very
smallest ^jjt+atrb+++=smallest
extent ^nn++++=extent
should ^md+nec+++=should
pay ^vb++++=pay
the ^ati++++=the
penalty ^nn++++=penalty
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
all ^abn++++=all
sworn ^vprf+++xvbn+=sworn
to ^in++++=to
exact ^jj++++=exact.
. ^zz++++=EXTRAWORD
A ^at++++=A
part ^nn++++=part
of ^in++++=of
this ^dt+dem+++=this
agreement ^nn+nom+++=agreement,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
all ^rb++++=all
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
one ^cd1++++=one
found ^vbd+vprv++xvbn+=found
derelict ^jj++++=derelict
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
insist ^vbi+vpub+++=insist
on ^in++++=on
the ^ati++++=the
visitation ^nn+nom+++=visitation
of ^in++++=of
the ^ati++++=the
penalty ^nn++++=penalty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
should ^md+nec+++=should
he ^pp3a+pp3+++=he
fail ^vb++++=fail
to ^to+vcmp+++=to
do ^vbi++++=do
so ^ql++++=so--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
trust ^vb+vprv+++=trust
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
unnecessary ^jj+pred+++=unnecessary
to ^to++++=to
mention ^nn+nom+++=mention
the ^ati++++=the
alternative ^nn++++=alternative."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
another ^dt++++=another
pause ^nn++++=pause,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
culprit ^nn++++=culprit
sat ^vbd+++xvbn+=sat
still ^jj+pred+++=still,
, ^zz++++=EXTRAWORD
hardly ^rb+down+++=hardly
breathing ^nvbg+++xvbg+=breathing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
permitting ^jj+++xvbg+=permitting
the ^ati++++=the
cards ^nns++++=cards
to ^to++++=to
slip ^vbi++++=slip
from ^in++++=from
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Rossiter ^np+nom+++=Rossiter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
addressing ^vbg+++xvbg+=addressing
the ^ati++++=the
hapless ^jj+atrb+++=hapless
man ^nn++++=man
in ^in++++=in
a ^at++++=a
tone ^nn++++=tone
so ^ql+emph+++=so
hard ^jj++++=hard
and ^cc+phrs+++=and
cold ^jj++++=cold
that ^dt+dem+++=that
it ^pp3+it+++=it
congealed ^vbd+++xvbn+=congealed
the ^ati++++=the
marrow ^nn+++??+=marrow
which ^whp+rel+obj++=which
it ^pp3+it+++=it
pierced ^vbd+++xvbn+=pierced,
, ^zz++++=EXTRAWORD
" ^zz++++="have
have ^vb+hv+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
any ^dti++++=any
suggestion ^nn+nom+++=suggestion
to ^to++++=to
make ^vbi++++=make?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
doomed ^jj+atrb++xvbn+=doomed
man ^nn++++=man
made ^vbd+++xvbn+=made
such ^abl++++=such
a ^at++++=a
pitiful ^jj+atrb+++=pitiful
struggle ^nn++++=struggle
for ^in++++=for
self ^nn++++=self-mastery
- ^zz++++=EXTRAWORD
mastery ^nn+nom+++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
gallows ^np++++=gallows
often ^rb++++=often
reveals ^nns+nom+++=reveals.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
momentary ^jj+atrb+++=momentary
flash ^nn++++=flash
of ^in++++=of
hope ^nn++++=hope
based ^vwbn+++xvbn+=based
on ^in++++=on
a ^at++++=a
transient ^jj+atrb+++=transient
determination ^nn+nom+++=determination
to ^to+ncmp+++=to
plead ^vbi+vsua+++=plead,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
faded ^vbd+++xvbn+=faded
instantly ^rb+tm+++=instantly
before ^cs+sub+++=before
the ^ati++++=the
stern ^nn++++=stern
and ^cc++++=and
implacable ^jj+atrb+++=implacable
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
greeted ^vbd+++xvbn+=greeted
him ^pp3o+pp3+++=him
from ^in++++=from
all ^abn++++=all
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Certainly ^rb++++=Certainly
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
fierce ^jj+atrb+++=fierce
struggle ^nn++++=struggle
under ^in++++=under
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
soul ^nn++++=soul
writhed ^vbd+++xvbn+=writhed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
in ^in++++=in
a ^at++++=a
passing ^jj+++xvbg+=passing
flush ^rb++++=flush
that ^cs+sub+++=that
crimsoned ^vprf+++xvbn+=crimsoned
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
went ^vpsv++by+xvbn+=went
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
acceptance ^nn+nom+++=acceptance
of ^in++++=of
doom ^nn++++=doom
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
looked ^vbd+++xvbn+=looked
firmly ^rb++++=firmly
at ^in++++=at
the ^ati++++=the
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
so ^ql++++=so
his ^pp$+pp3+++=his
chest ^nn++++=chest
expanded ^vbd+++xvbn+=expanded
and ^cc++++=and
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
squared ^vbd+++xvbn+=squared
bravely ^rb++++=bravely.
. ^zz++++=EXTRAWORD
" ^zz++++="Captain,"
captain ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
very ^ql+amp+++=very
good ^jj+atrb+++=good
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="whatever
whatever ^nn+nom+++=EXTRAWORD
else ^rb+cnj+++=else
I ^pp1a+pp1+++=I
may ^md+pos+++=may
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
a ^at++++=a
coward ^nn++++=coward.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
cheated ^vprf+++xvbnx+=cheated.
. ^zz++++=EXTRAWORD
In ^in++++=In
doing ^xvbg+++xvbg+=doing
so ^ql++++=so
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
betrayed ^vprf+++xvbnx+=betrayed
the ^ati++++=the
confidence ^nn+nom+++=confidence
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
compact ^nn++++=compact.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
kindly ^rb++++=kindly
summon ^vb++++=summon
the ^ati++++=the
skipper ^nn++++=skipper?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Without ^in++++=Without
any ^dti++++=any
change ^nn++++=change
of ^in++++=of
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
leader ^nn++++=leader
complied ^vprf+++xvbn+=complied.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Rossiter ^np+nom+++=Rossiter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
the ^ati++++=the
skipper ^nn++++=skipper,
, ^zz++++=EXTRAWORD
" ^zz++++="has
has ^vbz+hvz+vrb++=EXTRAWORD
a ^at++++=a
request ^vb++++=request
to ^to+vcmp+++=to
make ^vbi++++=make
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whatever ^nn+nom+++=whatever
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+aux++=be
I ^pp1a+pp1+++=I
authorize ^vb++++=authorize
you ^pp2+pp2+++=you
to ^to++++=to
comply ^vbi++++=comply
with ^in++++=with
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+++=wish,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Rossiter ^np+nom+++=Rossiter
of ^in++++=of
the ^ati++++=the
skipper ^nn++++=skipper,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
lower ^jjr++++=lower
a ^at++++=a
boat ^nn++++=boat
and ^cc++++=and
put ^vbd+++xvbn+=put
me ^pp1o+pp1+++=me
aboard ^in+strn+++=aboard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
would ^md+prd+++=would
furnish ^vb++++=furnish
the ^ati++++=the
boat ^nn++++=boat
with ^in++++=with
one ^cd1++++=one
oar ^nn++++=oar
and ^cc++++=and
nothing ^pn++++=nothing
else ^rb+cnj+++=else
whatever ^nn+nom+++=whatever."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,"
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
the ^ati++++=the
skipper ^nn++++=skipper,
, ^zz++++=EXTRAWORD
aghast ^jj++++=aghast,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
in ^in++++=in
dismay ^nn++++=dismay
from ^in++++=from
one ^pn++++=one
to ^in++++=to
another ^dt++++=another
of ^in++++=of
the ^ati++++=the
men ^nns++++=men,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
man ^nn++++=man
is ^vbz+bez+vrb++=is
insane ^jj+pred+++=insane!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
land ^nn++++=land
within ^in++++=within
five ^cd++++=five
hundred ^cd++++=hundred
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
