Of ^in++++=Of
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^vbd+++xvbn+=EXTRAWORD
" ^zz++++="soul"
soul ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
myth ^nn++++=myth,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend
believed ^vbd+vprv++xvbn+=believed
that ^tht+vcmp+++=that
artificial ^jj+atrb+++=artificial
reanimation ^nn+nom+++=reanimation
of ^in++++=of
the ^ati++++=the
dead ^nn++++=dead
can ^md+pos+++=can
depend ^vb++++=depend
only ^rb+down+++=only
on ^in++++=on
the ^ati++++=the
condition ^nn+nom+++=condition
of ^in++++=of
the ^ati++++=the
tissues ^nns++++=tissues;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
unless ^cs+cnd+++=unless
actual ^jj+atrb+++=actual
decomposition ^nn+nom+++=decomposition
has ^vbz+hvz+aux++=has
set ^vprf+++xvbnx+=set
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
a ^at++++=a
corpse ^nn++++=corpse
fully ^rb+amp+++=fully
equipped ^vbd+++xvbn+=equipped
with ^in++++=with
organs ^nns++++=organs
may ^md+pos+++=may
with ^in++++=with
suitable ^jj+atrb+++=suitable
measures ^nns++++=measures
be ^vb+be+aux++=be
set ^vpsv++agls+xvbnx+=set
going ^vbg+++xvbg+=going
again ^rb+tm+++=again
in ^in++++=in
the ^ati++++=the
peculiar ^jj+atrb+++=peculiar
fashion ^nn++++=fashion
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
life ^nn++++=life.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
the ^ati++++=the
psychic ^jj+atrb+++=psychic
or ^cc+phrs+++=or
intellectual ^jj+atrb+++=intellectual
life ^nn++++=life
might ^md+pos+++=might
be ^vb+be+aux++=be
impaired ^vpsv++by+xvbnx+=impaired
by ^in++++=by
the ^ati++++=the
slight ^jj+atrb+++=slight
deterioration ^nn+nom+++=deterioration
of ^in++++=of
sensitive ^jj+atrb+++=sensitive
brain ^nn++++=brain-cells
- ^zz++++=EXTRAWORD
cells ^nns++++=EXTRAWORD
which ^whp+rel+obj++=which
even ^rb++++=even
a ^at++++=a
short ^jj+atrb+++=short
period ^nn++++=period
of ^in++++=of
death ^nn++++=death
would ^md+prd+++=would
be ^vb+be+vrb++=be
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
cause ^vbi++++=cause,
, ^zz++++=EXTRAWORD
West ^np+pl+++=West
fully ^rb+amp+++=fully
realised ^vbd+vprv++xvbn+=realised.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+aux++=had
at ^rb++splt++=at
first ^rb"++++=first
been ^vprf+ben+vrb+xvbn+=been
his ^pp$+pp3+++=his
hope ^vb++++=hope
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
a ^at++++=a
reagent ^jj++++=reagent
which ^whp+who+++=which
would ^md+prd+++=would
restore ^vb++++=restore
vitality ^nn+nom+++=vitality
before ^in++++=before
the ^ati++++=the
actual ^jj+atrb+++=actual
advent ^nn++++=advent
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
repeated ^xvbn+++xvbn+=repeated
failures ^nns++++=failures
on ^in++++=on
animals ^nns+nom+++=animals
had ^vbd+hvd+aux++=had
shewn ^vprf+++xvbnx+=shewn
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
the ^ati++++=the
natural ^jj+atrb+++=natural
and ^cc+phrs+++=and
artificial ^jj+atrb+++=artificial
life ^nn++++=life-motions
- ^zz++++=EXTRAWORD
motions ^nns+nom+++=EXTRAWORD
were ^vbd+bed+vrb++=were
incompatible ^jj+pred+++=incompatible.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
then ^rn+tm+++=then
sought ^vbd+++xvbn+=sought
extreme ^nn++++=extreme
freshness ^nns+nom+++=freshness
in ^in++++=in
his ^pp$+pp3+++=his
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
injecting ^jj+++xvbg+=injecting
his ^pp$+pp3+++=his
solutions ^nns+nom+++=solutions
into ^in++++=into
the ^ati++++=the
blood ^nn++++=blood
immediately ^rb+tm+++=immediately
after ^in++++=after
the ^ati++++=the
extinction ^nn+nom+++=extinction
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
circumstance ^nn+nom+++=circumstance
which ^whp+rel+subj++=which
made ^vprf+++xvbn+=made
the ^ati++++=the
professors ^npt++++=professors
so ^ql++++=so
carelessly ^rb++++=carelessly
sceptical ^jj++++=sceptical,
, ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
true ^jj+atrb+++=true
death ^nn++++=death
had ^vb+hv+aux++=had
not ^xnot++not++=not
occurred ^vprf+++xvbn+=occurred
in ^in++++=in
any ^dti++++=any
case ^nn++++=case.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stop ^vb++++=stop
to ^in++++=to
view ^nn++++=view
the ^ati++++=the
matter ^nn++++=matter
closely ^rb++++=closely
and ^cc++++=and
reasoningly ^jj++++=reasoningly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
long ^rb++++=long
after ^cs+sub+++=after
the ^ati++++=the
faculty ^nn++++=faculty
had ^vbd+hvd+aux++=had
interdicted ^vprf+++xvbnx+=interdicted
his ^pp$+pp3+++=his
work ^nn++++=work
that ^tht+rel+obj++=that
West ^np+pl+++=West
confided ^vbd+++xvbn+=confided
to ^in++++=to
me ^pp1o+pp1+++=me
his ^pp$+pp3+++=his
resolution ^nn+nom+++=resolution
to ^to++++=to
get ^vbi++++=get
fresh ^jj+atrb+++=fresh
human ^jj+atrb+++=human
bodies ^nns++++=bodies
in ^in++++=in
some ^dti++++=some
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
continue ^vb++++=continue
in ^in++++=in
secret ^nn++++=secret
the ^ati++++=the
experiments ^nns+nom+++=experiments
he ^pp3a+pp3+++=he
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
perform ^vb++++=perform
openly ^rb++++=openly.
. ^zz++++=EXTRAWORD
To ^to++++=To
hear ^vbi+vprv+++=hear
him ^pp3o+pp3+++=him
discussing ^jj+atrb++xvbg+=discussing
ways ^nns++++=ways
and ^cc++++=and
means ^nn++++=means
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
ghastly ^jj+pred+++=ghastly,
, ^zz++++=EXTRAWORD
for ^in++++=for
at ^in++++=at
the ^ati++++=the
college ^nn++++=college
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
never ^rb++splt++=never
procured ^vprf+++xvbnx+=procured
anatomical ^jj+atrb+++=anatomical
specimens ^nns++++=specimens
ourselves ^ppls+pp1+++=ourselves.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
the ^ati++++=the
morgue ^nn++++=morgue
proved ^vbd+vprv++xvbn+=proved
inadequate ^jj++++=inadequate,
, ^zz++++=EXTRAWORD
two ^cd++++=two
local ^jj++++=local
negroes ^vbz+++??+=negroes
attended ^vbd+++xvbn+=attended
to ^in++++=to
this ^dt+dem+++=this
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
seldom ^rb++splt++=seldom
questioned ^vpsv++agls+xvbnx+=questioned.
. ^zz++++=EXTRAWORD
West ^np+pl+++=West
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
slender ^jj+atrb+++=slender,
, ^zz++++=EXTRAWORD
spectacled ^jj+atrb+++=spectacled
youth ^nn++++=youth
with ^in++++=with
delicate ^jj+atrb+++=delicate
features ^nns++++=features,
, ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=yellow
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
soft ^jj+atrb+++=soft
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
uncanny ^jj+pred+++=uncanny
to ^to++++=to
hear ^vbi+vprv+++=hear
him ^pp3o+pp3+++=him
dwelling ^nvbg+++xvbg+=dwelling
on ^in++++=on
the ^ati++++=the
relative ^jj+atrb+++=relative
merits ^nns++++=merits
of ^in++++=of
Christchurch ^np+++??+=Christchurch
Cemetery ^nn+nom+++=Cemetery
and ^cc++++=and
the ^ati++++=the
potters ^nns+nom+++=potters
field ^nn++++=field.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
finally ^rb++++=finally
decided ^vbd+vprv++xvbn+=decided
on ^in++++=on
the ^ati++++=the
potters ^nns+nom+++=potters
field ^nn++++=field,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
practically ^rb+down+++=practically
every ^at++++=every
body ^nn++++=body
in ^in++++=in
Christchurch ^np+++??+=Christchurch
was ^vbd+bedz+vrb++=was
embalmed ^jj+pred+++=embalmed;
; ^zz++++=EXTRAWORD
a ^at++++=a
thing ^nn++++=thing
of ^in+emph+++=of
course ^nn+emph"+++=course
ruinous ^jj++++=ruinous
to ^in++++=to
Wests ^np+++??+=Wests
researches ^nns++++=researches.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time
his ^pp$+pp3+++=his
active ^jj+atrb+++=active
and ^cc+phrs+++=and
enthralled ^jj+atrb++xvbn+=enthralled
assistant ^nn+nom+++=assistant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
helped ^vbd+++xvbn+=helped
him ^pp3o+pp3+++=him
make ^vb++++=make
all ^abn++++=all
his ^pp$+pp3+++=his
decisions ^nns++++=decisions,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
concerning ^in++++=concerning
the ^ati++++=the
source ^nn++++=source
of ^in++++=of
bodies ^nns++++=bodies
but ^cc++++=but
concerning ^in++++=concerning
a ^at++++=a
suitable ^jj+atrb+++=suitable
place ^nn++++=place
for ^in++++=for
our ^pp$+pp1+++=our
loathsome ^jj+atrb+++=loathsome
work ^nn++++=work.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
I ^pp1a+pp1+++=I
who ^whp+who+++=who
thought ^vbd+++xvbn+=thought
of ^in++++=of
the ^ati++++=the
deserted ^jj+++xvbn+=deserted
Chapman ^np++++=Chapman
farmhouse ^nn++++=farmhouse
beyond ^in++++=beyond
Meadow ^nn++++=Meadow
Hill ^nn++++=Hill,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
fitted ^vbd+++xvbn+=fitted
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
floor ^nn++++=floor
an ^at++++=an
operating ^jj+atrb++xvbg+=operating
room ^nn++++=room
and ^cc++++=and
a ^at++++=a
laboratory ^nn++++=laboratory,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
dark ^jj+atrb+++=dark
curtains ^nns++++=curtains
to ^to++++=to
conceal ^vbi++++=conceal
our ^pp$+pp1+++=our
midnight ^nn++++=midnight
doings ^nns++++=doings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
place ^nn++++=place
was ^vbd+bedz+vrb++=was
far ^rb+pl+++=far
from ^rb"++++=from
any ^dti++++=any
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
sight ^nn++++=sight
of ^in++++=of
no ^at++++=no
other ^ap++++=other
house ^nn++++=house,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
precautions ^nns+nom+++=precautions
were ^vbd+bed+vrb++=were
none ^pn++++=none
the ^ati++++=the
less ^rbr++++=less
necessary ^jj++++=necessary;
; ^zz++++=EXTRAWORD
since ^in++++=since
rumours ^nns++++=rumours
of ^in++++=of
strange ^jj+atrb+++=strange
lights ^nns++++=lights,
, ^zz++++=EXTRAWORD
started ^xvbn+++xvbn+=started
by ^in++++=by
chance ^nn++++=chance
nocturnal ^nn+nom+++=nocturnal
roamers ^nns+nom+++=roamers,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
soon ^rb+tm+splt++=soon
bring ^vb++++=bring
disaster ^nn+nom+++=disaster
on ^in++++=on
our ^pp$+pp1+++=our
enterprise ^nn++++=enterprise.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
agreed ^vpsv++agls+xvbnx+=agreed
to ^to++++=to
call ^vbi++++=call
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing
a ^at++++=a
chemical ^jj+atrb+++=chemical
laboratory ^nn++++=laboratory
if ^cs+cnd+++=if
discovery ^nn+nom+++=discovery
should ^md+nec+++=should
occur ^vb++++=occur.
. ^zz++++=EXTRAWORD
Gradually ^rb++++=Gradually
we ^pp1a+pp1+++=we
equipped ^vbd+++xvbn+=equipped
our ^pp$+pp1+++=our
sinister ^jj+atrb+++=sinister
haunt ^nn++++=haunt
of ^in++++=of
science ^nn+nom+++=science
with ^in++++=with
materials ^nns+nom+++=materials
either ^dtx++++=either
purchased ^jj+++xvbn+=purchased
in ^in++++=in
Boston ^np++++=Boston
or ^cc++++=or
quietly ^rb++++=quietly
borrowed ^jj+++xvbn+=borrowed
from ^in++++=from
the ^ati++++=the
college ^npl++++=college
- ^zz++++=-materials
materials ^nns+nom+++=EXTRAWORD
carefully ^rb++++=carefully
made ^vbd+++xvbn+=made
unrecognisable ^jj++++=unrecognisable
save ^vb++++=save
to ^in++++=to
expert ^nn++++=expert
eyes ^nns++++=eyes
- ^zz++++=-and
and ^cc++++=EXTRAWORD
provided ^xvbn+++xvbn+=provided
spades ^nns++++=spades
and ^cc++++=and
picks ^vbz++++=picks
for ^in++++=for
the ^ati++++=the
many ^ap++++=many
burials ^nns+nom+++=burials
we ^pp1a+pp1+++=we
should ^md+nec+++=should
have ^md"++pmd"++=have
to ^md+nec+++=to
make ^vb++++=make
in ^in++++=in
the ^ati++++=the
cellar ^nn++++=cellar.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
