No ^at++++=No
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
miss ^npt++++=miss,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
delighted ^jj+++xvbn+=delighted
maid ^np++++=maid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vbd+++xvbn+=ran
away ^rp+pl+++=away
to ^to++++=to
spend ^vbi++++=spend
the ^ati++++=the
afternoon ^nn++++=afternoon
with ^in++++=with
her ^pp$+pp3+++=her
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
Martha ^np+++??+=Martha
quite ^rb++++=quite
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
big ^jj+atrb+++=big
house ^nn++++=house,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
locked ^vpsv++agls+xvbn+=locked
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
bargain ^nn++++=bargain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
girl ^nn++++=girl
read ^vbd+vprv++xvbn+=read
a ^ap++++=a
few ^ap"++++=few
pages ^nns++++=pages
in ^in++++=in
her ^pp$+pp3+++=her
new ^jj+atrb+++=new
book ^nn++++=book,
, ^zz++++=EXTRAWORD
sewed ^j+++xvbn+=sewed
a ^ap++++=a
few ^ap"++++=few
stitches ^nns++++=stitches
in ^in++++=in
her ^pp$+pp3+++=her
embroidery ^nn+nom+++=embroidery
and ^cc++++=and
started ^vbd+++xvbn+=started
to ^to++++=to
" ^zz++++="play
play ^nn++++=EXTRAWORD
visiting ^vwbg+++xvbg+=visiting"
" ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
four ^cd++++=four
favorite ^jj+atrb+++=favorite
dolls ^nns++++=dolls.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
remembered ^vbd+vprv++xvbnx+=remembered
that ^tht+vcmp+++=that
in ^in++++=in
the ^ati++++=the
attic ^nn++++=attic
was ^vbd+bedz+vrb++=was
a ^at++++=a
doll ^nn++++=doll's
's ^$++++=EXTRAWORD
playhouse ^npl++++=playhouse
that ^tht+rel+subj++=that
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
months ^nns++++=months,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
decided ^vbd+vprv+tht0+xvbnx+=decided
she ^pp3a+pp3+++=she
would ^md+prd+++=would
dust ^vb++++=dust
it ^pp3+it+++=it
and ^cc++++=and
put ^vb+++xvbn+=put
it ^pp3+it+++=it
in ^in++++=in
order ^nn++++=order.
. ^zz++++=EXTRAWORD
Filled ^j+++xvbn+=Filled
with ^in++++=with
this ^dt+dem+++=this
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
winding ^jj+atrb++xvbg+=winding
stairs ^nns++++=stairs
to ^in++++=to
the ^ati++++=the
big ^jj+atrb+++=big
room ^nn++++=room
under ^in++++=under
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
well ^rb++++=well
lighted ^vpsv++by+xvbn+=lighted
by ^in++++=by
three ^cd++++=three
dormer ^jjr+atrb+++=dormer
windows ^nns++++=windows
and ^cc++++=and
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm
and ^cc+phrs+++=and
pleasant ^jj++++=pleasant.
. ^zz++++=EXTRAWORD
Around ^rp++++=Around
the ^ati++++=the
walls ^nns++++=walls
were ^vbd+bed+vrb++=were
rows ^nns++++=rows
of ^in++++=of
boxes ^nns++++=boxes
and ^cc++++=and
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
piles ^nns++++=piles
of ^in++++=of
old ^jj+atrb+++=old
carpeting ^nn++++=carpeting,
, ^zz++++=EXTRAWORD
pieces ^nns++++=pieces
of ^in++++=of
damaged ^jj+atrb++xvbn+=damaged
furniture ^nn++++=furniture,
, ^zz++++=EXTRAWORD
bundles ^nns++++=bundles
of ^in++++=of
discarded ^jj+atrb++xvbn+=discarded
clothing ^nn++++=clothing
and ^cc++++=and
other ^ap++++=other
odds ^nns++++=odds
and ^cc++++=and
ends ^nns++++=ends
of ^in++++=of
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
value ^nn++++=value.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
well ^rb++++=well-regulated
- ^zz++++=EXTRAWORD
regulated ^vbd+++xvbn+=EXTRAWORD
house ^npl++++=house
has ^vbz+hvz+vrb++=has
an ^at++++=an
attic ^nn++++=attic
of ^in++++=of
this ^dt+dem+++=this
sort ^nn++++=sort,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
need ^nn++++=need
not ^xnot++not++=not
describe ^vb++++=describe
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doll ^nn++++=doll's
's ^$++++=EXTRAWORD
house ^npl++++=house
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
moved ^vpsv++agls+xvbnx+=moved,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
after ^cs+sub+++=after
a ^at++++=a
search ^nn++++=search
Martha ^np+++??+=Martha
found ^vbd+vprv++xvbn+=found
it ^pp3+it+++=it
away ^rp+pl+++=away
over ^in++++=over
in ^in++++=in
a ^at++++=a
corner ^npl++++=corner
near ^in+pl+++=near
the ^ati++++=the
big ^jj+atrb+++=big
chimney ^nn++++=chimney.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drew ^vbd+++xvbnx+=drew
it ^pp3+it+++=it
out ^rp+pl+++=out
and ^cc++++=and
noticed ^vprf+++xvbn+=noticed
that ^tht+vcmp+++=that
behind ^rp+pl+++=behind
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
black ^jj+atrb+++=black
wooden ^jj+atrb+++=wooden
chest ^nn++++=chest
which ^whp+rel+obj++=which
Uncle ^nn++++=Uncle
Walter ^np++++=Walter
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
over ^in++++=over
from ^in++++=from
Italy ^np++++=Italy
years ^nns++++=years
and ^cc++++=and
years ^nns++++=years
ago ^rb++++=ago--before
-- ^--+clp+++=EXTRAWORD
before ^cs+sub+++=EXTRAWORD
Martha ^np+++??+=Martha
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
Mamma ^npt++++=Mamma
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
her ^pp$+pp3+++=her
about ^in++++=about
it ^pp3+it+++=it
one ^cd1++++=one
day ^nn++++=day;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
key ^nn++++=key
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
Uncle ^nn++++=Uncle
Walter ^np++++=Walter
wished ^vbd+vprv++xvbn+=wished
it ^pp3+it+++=it
to ^to++++=to
remain ^vbi++++=remain
unopened ^jj+++xvbn+=unopened
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
home ^nr++++=home;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
this ^dt+dem+++=this
wandering ^jj+atrb++xvbg+=wandering
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
mighty ^ql++++=mighty
hunter ^np++++=hunter,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
Africa ^np++++=Africa
to ^to++++=to
hunt ^vbi++++=hunt
elephants ^nns+nom+++=elephants
and ^cc++++=and
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
heard ^vpsv++agls+xvbnx+=heard
from ^in++++=from
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
girl ^nn++++=girl
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
chest ^nn++++=chest
curiously ^rb+cnj+++=curiously,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
by ^in++++=by
accident ^nn++++=accident
attracted ^vbd+++xvbn+=attracted
her ^pp$+pp3+++=her
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
big ^jj+pred+++=big--bigger
-- ^--+clp+++=EXTRAWORD
bigger ^jjr++++=EXTRAWORD
even ^rb++++=even
than ^in++++=than
mamma ^npt++++=mamma's
's ^$++++=EXTRAWORD
traveling ^nn+nom+++=traveling
trunk ^nn++++=trunk--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
was ^vbd+bedz+aux++=was
studded ^vpsv++agls+xvbnx+=studded
all ^abn++++=all
over ^in++++=over
with ^in++++=with
tarnished ^nn++++=tarnished
brassheaded ^vbd+++xvbn+=brassheaded
nails ^nns++++=nails.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
for ^in++++=for
when ^wrb+who+++=when
Martha ^np+++??+=Martha
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
lift ^vbi++++=lift
one ^cd1++++=one
end ^nn++++=end
of ^in++++=of
it ^pp3+it+++=it
she ^pp3a+pp3+++=she
found ^vbd+vprv+tht0+xvbnx+=found
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
stir ^vb++++=stir
it ^pp3+it+++=it
a ^at++++=a
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
cover ^nn++++=cover
for ^in++++=for
a ^at++++=a
key ^nn++++=key.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stooped ^vbd+++xvbnx+=stooped
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
lock ^nn++++=lock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
it ^pp3+it+++=it
would ^md+prd+++=would
take ^vb++++=take
a ^at++++=a
rather ^rb++++=rather
big ^jj++++=big
key ^jjb++++=key
to ^to++++=to
open ^vbi++++=open
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
may ^md+pos+++=may
suspect ^vb+vprv+++=suspect,
, ^zz++++=EXTRAWORD
the ^ati++++=the
little ^jj+atrb+++=little
girl ^nn++++=girl
longed ^vbd+++xvbn+=longed
to ^to+vcmp+++=to
open ^vbi++++=open
Uncle ^npt++++=Uncle
Walter ^np++++=Walter's
's ^$++++=EXTRAWORD
big ^jj+atrb+++=big
box ^nn++++=box
and ^cc++++=and
see ^vb+vprv+++=see
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
For ^in++++=For
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
all ^abn++++=all
curious ^jj++++=curious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj+atrb+++=little
girls ^nns++++=girls
are ^vb+ber+vrb++=are
just ^rb+emph+++=just
as ^in++++=as
curious ^nn++++=curious
as ^in++++=as
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++0=b'lieve
Uncle ^nn++++=Uncle
Walter ^np++++=Walter'll
'll ^md+prd+++0=EXTRAWORD
ever ^rb++splt++=ever
come ^vb++++=come
back ^jjb++++=back,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="Papa
papa ^npt++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
once ^rb+tm+++=once
that ^dt+dem+++=that
some ^dti++++=some
elephant ^nn+nom+++=elephant
must ^md+nec+++=must
have ^vb+hv+aux++=have
killed ^vprf+++xvbnx+=killed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
only ^rb+down+++=only
had ^vb+hv+vrb++=had
a ^at++++=a
key ^nn++++=key--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
clapped ^vbd+++xvbn+=clapped
her ^pp$+pp3+++=her
little ^ap++++=little
hands ^nns++++=hands
together ^nn+nom+++=together
gayly ^jj++++=gayly
as ^ql++++=as
she ^pp3a+pp3+++=she
remembered ^vbd+vprv++xvbnx+=remembered
a ^at++++=a
big ^jj+atrb+++=big
basket ^nn++++=basket
of ^in++++=of
keys ^nns++++=keys
on ^in++++=on
the ^ati++++=the
shelf ^nn++++=shelf
in ^in++++=in
the ^ati++++=the
linen ^nn++++=linen
closet ^nn++++=closet.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
of ^in++++=of
all ^abn++++=all
sorts ^nns++++=sorts
and ^cc++++=and
sizes ^nns++++=sizes;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
would ^md+prd+++=would
unlock ^vb++++=unlock
the ^ati++++=the
mysterious ^jj+atrb+++=mysterious
chest ^nn++++=chest!
! ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
flew ^vbd+++xvbnx+=flew
down ^in++++=down
the ^ati++++=the
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
the ^ati++++=the
basket ^nn++++=basket
and ^cc++++=and
returned ^vpsv++agls+xvbn+=returned
with ^in++++=with
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
attic ^nn++++=attic.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
before ^cs+sub+++=before
the ^ati++++=the
brass ^nn++++=brass-studded
- ^zz++++=EXTRAWORD
studded ^vwbn+++xvbn+=EXTRAWORD
box ^nn++++=box
and ^cc++++=and
began ^vbd+++xvbn+=began
trying ^vbg+++xvbg+=trying
one ^cd1++++=one
key ^jjb++++=key
after ^in++++=after
another ^dt++++=another
in ^in++++=in
the ^ati++++=the
curious ^jj+atrb+++=curious
old ^jj+atrb+++=old
lock ^nn++++=lock.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
were ^vbd+bed+vrb++=were
too ^ql++++=too
large ^jj++++=large,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
most ^ql+emph+++=most
were ^vbd+bed+vrb++=were
too ^ql++++=too
small ^jj++++=small.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
would ^md+prd+++=would
go ^vb++++=go
into ^in++++=into
the ^ati++++=the
lock ^nn++++=lock
but ^cc++++=but
would ^md+prd+++=would
not ^xnot++not++=not
turn ^vb++++=turn;
; ^zz++++=EXTRAWORD
another ^dt++++=another
stuck ^vwbn+++xvbn+=stuck
so ^ql++++=so
fast ^rb++++=fast
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
feared ^vbd+vprv++xvbnx+=feared
for ^in++++=for
a ^at++++=a
time ^nn++++=time
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
never ^rb++splt++=never
get ^vb++++=get
it ^pp3+it+++=it
out ^rp+pl+++=out
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
basket ^nn++++=basket
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
empty ^jj+pred+++=empty,
, ^zz++++=EXTRAWORD
an ^at++++=an
oddly ^rb++++=oddly-shaped,
- ^zz++++=EXTRAWORD
shaped ^jj+atrb++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
ancient ^jj+atrb+++=ancient
brass ^nn++++=brass
key ^jjb++++=key
slipped ^jj+++xvbn+=slipped
easily ^rb++++=easily
into ^in++++=into
the ^ati++++=the
lock ^nn++++=lock.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
cry ^nn++++=cry
of ^in++++=of
joy ^nn++++=joy
Martha ^np+++??+=Martha
turned ^vbd+++xvbn+=turned
the ^ati++++=the
key ^nn++++=key
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
a ^at++++=a
sharp ^jj++++=sharp
" ^zz++++="click,"
click ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
next ^ap++++=next
moment ^nn++++=moment
the ^ati++++=the
heavy ^jj+atrb+++=heavy
lid ^nn++++=lid
flew ^vbd+++xvbn+=flew
up ^rp++++=up
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own
accord ^nn++++=accord!
! ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
girl ^nn++++=girl
leaned ^vbd+++xvbn+=leaned
over ^in++++=over
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
chest ^nn++++=chest
an ^at++++=an
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sight ^nn++++=sight
that ^tht+rel+subj++=that
met ^vprf+++xvbn+=met
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
caused ^vbd+++xvbn+=caused
her ^pp$+pp3+++=her
to ^to++++=to
start ^vbi++++=start
back ^jjb++++=back
in ^in++++=in
amazement ^nn+nom+++=amazement.
. ^zz++++=EXTRAWORD
Slowly ^rb++++=Slowly
and ^cc+phrs+++=and
carefully ^rb++++=carefully
a ^at++++=a
man ^nn++++=man
unpacked ^vbd+++xvbn+=unpacked
himself ^ppl+pp3+++=himself
from ^in++++=from
the ^ati++++=the
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
stepped ^j+++xvbn+=stepped
out ^rp+pl+++=out
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
stretched ^xvbn+++xvbn+=stretched
his ^pp$+pp3+++=his
limbs ^nns++++=limbs
and ^cc++++=and
then ^rn+tm+++=then
took ^vbd+++xvbn+=took
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
hat ^nn++++=hat
and ^cc++++=and
bowed ^vwbn+++xvbn+=bowed
politely ^rb++++=politely
to ^in++++=to
the ^ati++++=the
astonished ^jj+atrb++xvbn+=astonished
child ^nn++++=child.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall
and ^cc+phrs+++=and
thin ^jj++++=thin
and ^cc++++=and
his ^pp$+pp3+++=his
face ^nn++++=face
seemed ^vbd+seem++xvbn+=seemed
badly ^rb++++=badly
tanned ^jj+++xvbn+=tanned
or ^cc+phrs+++=or
sunburnt ^jj+++xvbn+=sunburnt.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
another ^dt++++=another
man ^nn++++=man
emerged ^vbd+++xvbn+=emerged
from ^in++++=from
the ^ati++++=the
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
yawning ^vbg+++xvbg+=yawning
and ^cc+phrs+++=and
rubbing ^vbg+++xvbg+=rubbing
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
like ^in++++=like
a ^at++++=a
sleepy ^jj+atrb+++=sleepy
schoolboy ^nn++++=schoolboy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
of ^in++++=of
middle ^jjb+atrb+++=middle
size ^nn++++=size
and ^cc++++=and
his ^pp$+pp3+++=his
skin ^nn++++=skin
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
badly ^rb++++=badly
tanned ^xvbn+++xvbn+=tanned
as ^ql++++=as
that ^cs+sub+++=that
of ^in++++=of
the ^ati++++=the
first ^rb++++=first.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
Martha ^np+++??+=Martha
stared ^vbd+++xvbn+=stared
open ^jj++++=open-mouthed
- ^zz++++=EXTRAWORD
mouthed ^vbd+++xvbn+=EXTRAWORD
at ^in++++=at
the ^ati++++=the
remarkable ^jj+atrb+++=remarkable
sight ^nn++++=sight
a ^at++++=a
third ^nn++++=third
man ^nn++++=man
crawled ^vprf+++xvbn+=crawled
from ^in++++=from
the ^ati++++=the
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
the ^ati++++=the
same ^ap++++=same
complexion ^nn++++=complexion
as ^in++++=as
his ^pp$+pp3+++=his
fellows ^nns++++=fellows,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short
and ^cc++++=and
fat ^nn++++=fat.
. ^zz++++=EXTRAWORD
All ^abn++++=All
three ^cd++++=three
were ^vbd+bed+aux++=were
dressed ^vpsv++agls+xvbnx+=dressed
