Has ^vbz+hvz+aux++=Has
, ^zz++++=EXTRAWORD
one ^cd1++++=one
thinks ^vbz+vprv+++=thinks
wistfully ^rb++++=wistfully
of ^in++++=of
that ^dt+dem+++=that
fair ^jj+atrb+++=fair,
, ^zz++++=EXTRAWORD
misty ^jj+atrb+++=misty
world ^nn++++=world
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
all ^abn++++=all
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
own ^ap++++=own,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
on ^in++++=on
the ^ati++++=the
outside ^nn++++=outside
of ^in++++=of
which ^whp+rel+pied++=which
one ^cd1++++=one
stands ^vbz++++=stands
so ^ql+emph+++=so
humbly ^jj++++=humbly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
gently ^rb++++=gently.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
thinks ^vbz+vprv+++=thinks
of ^in++++=of
the ^ati++++=the
unseen ^jj+atrb+++=unseen
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
unknown ^jj+atrb+++=unknown
friends ^nns++++=friends
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
tales ^nns++++=tales
of ^in++++=of
other ^ap++++=other
people ^nns++++=people's
's ^$++++=EXTRAWORD
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cared ^vbd+++xvbn+=cared
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
one ^cd1++++=one
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
one ^cd1++++=one
believe ^vb+vprv+++=believe
in ^in++++=in
their ^pp$+pp3+++=their
kindness ^nns+nom+++=kindness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
affection ^nn+nom+++=affection
and ^cc++++=and
fidelity ^nn+nom+++=fidelity
for ^in++++=for
thirty ^cd++++=thirty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
hesitating ^jj+atrb++xvbg+=hesitating
heart ^nn++++=heart
calls ^vbz++++=calls
out ^rp+pl+++=out
to ^in++++=to
them ^pp3o+pp3+++=them:
: ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
let ^vbd+++xvbn+=let
me ^pp1o+pp1+++=me
be ^vb+be+vrb++=be
sorry ^uh++++=sorry?
? ^zz++++=EXTRAWORD
Thirty ^cd++++=Thirty
years ^nns++++=years!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj++++=good
while ^cs+sub+++=while
that ^dt+dem+++=that
you ^pp2+pp2+++=you
and ^cc++++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
kept ^vprf+++xvbnx+=kept
step ^vb++++=step
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
we ^pp1a+pp1+++=we
miss ^npt++++=miss
it ^pp3+it+++=it
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
will ^md+prd+++=will
care ^vb+vprv+++=care
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear
such ^abl++++=such
chapters ^nns+nom+++=chapters
as ^ql++++=as
may ^md+pos+++=may
select ^jj++++=select
themselves ^ppls+pp3+++=themselves
from ^in++++=from
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
story ^nn++++=story-teller,
- ^zz++++=EXTRAWORD
teller ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
the ^ati++++=the
oldest ^jjt++++=oldest
right ^nn++++=right
to ^to+ncmp+++=to
choose ^vbi++++=choose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
the ^ati++++=the
happy ^nn++++=happy
will ^md+prd+++=will
to ^to++++=to
please ^uh++++=please
you ^pp2+pp2+++=you
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lives ^nns++++=lives
of ^in++++=of
the ^ati++++=the
makers ^nns++++=makers
of ^in++++=of
books ^nns++++=books
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
much ^ap++++=much
like ^in++++=like
other ^ap++++=other
people ^nns++++=people's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
most ^ql+emph+++=most
respects ^nns++++=respects,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
especially ^rb++++=especially
in ^in++++=in
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
either ^dtx++++=either
rebels ^nns++++=rebels
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
subjects ^nns++++=subjects
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
ancestry ^nn++++=ancestry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lives ^nns++++=lives
of ^in++++=of
some ^dti++++=some
literary ^jj+atrb+++=literary
persons ^nns++++=persons
begin ^vb++++=begin
a ^at++++=a
good ^jj++++=good
while ^cs+sub+++=while
after ^cs+sub+++=after
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
begin ^vb++++=begin
a ^at++++=a
good ^jj++++=good
while ^cs+sub+++=while
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
this ^dt+dem+++=this
latter ^ap++++=latter
kind ^nn++++=kind
is ^vbz+bez+vrb++=is
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
sometimes ^rb++splt++=sometimes
occurred ^vprf+++xvbnx+=occurred
to ^in++++=to
me ^pp1o+pp1+++=me
to ^to++++=to
find ^vbi+vprv+++=find
myself ^ppl+pp1+++=myself
the ^ati++++=the
possessor ^nn++++=possessor
of ^in++++=of
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
unholy ^jj+atrb+++=unholy
envy ^nn++++=envy
of ^in++++=of
writers ^nns+nom+++=writers
concerning ^in++++=concerning
whom ^whp+rel+pied++=whom
our ^pp$+pp1+++=our
stout ^jj+atrb+++=stout
American ^jj+atrb+++=American
phrase ^nn++++=phrase
says ^vbz+vpub+++=says
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
" ^zz++++="made
made ^vbd+++xvbn+=EXTRAWORD
themselves ^ppls+pp3+++=themselves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+++=What
delight ^nn++++=delight
to ^to++++=to
be ^vbi++vrb++=be
aware ^jj+pred+++=aware
that ^tht+jcmp+++=that
one ^cd1++++=one
has ^vbz+hvz+vrb++=has
not ^xnot++not++=not
only ^ap+down+++=only
created ^jj+atrb++xvbn+=created
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
worker ^nn++++=worker!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
elation ^nn+nom+++=elation
in ^in++++=in
the ^ati++++=the
remembrance ^nn+nom+++=remembrance
of ^in++++=of
the ^ati++++=the
battle ^nn++++=battle
against ^in++++=against
a ^at++++=a
commercial ^jj++++=commercial,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
scientific ^jj++++=scientific,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
worldly ^jj+atrb+++=worldly
and ^cc+phrs+++=and
superficial ^jj+atrb+++=superficial
heredity ^nn+nom+++=heredity;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
recollection ^nn+nom+++=recollection
of ^in++++=of
the ^ati++++=the
tug ^nn++++=tug
with ^in++++=with
habit ^nn++++=habit
and ^cc++++=and
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
overthrow ^nn++++=overthrow
of ^in++++=of
impulses ^nns++++=impulses
setting ^vwbg+++xvbg+=setting
in ^in++++=in
other ^ap++++=other
directions ^nns+nom+++=directions
than ^in++++=than
the ^ati++++=the
chosen ^jj+atrb++xvbn+=chosen
movement ^nn+nom+++=movement
of ^in++++=of
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
own ^ap++++=own
soul ^nn++++=soul!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
pleasure ^nn++++=pleasure
in ^in++++=in
the ^ati++++=the
proud ^jj+atrb+++=proud
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
all ^abn++++=all
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
success ^nns+nom+++=success
is ^vbz+bez+vrb++=is
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
own ^ap++++=own
doing ^nvbg+++xvbg+=doing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
it ^pp3+it+++=it
cast ^vbd+++xvbn+=cast
up ^rp++++=up
to ^in++++=to
one ^cd1++++=one's
's ^nns+bez+++0=EXTRAWORD
credit ^nn++++=credit
upon ^in++++=upon
the ^ati++++=the
long ^jj+atrb+++=long
ledger ^np++++=ledger
of ^in++++=of
life ^nn++++=life!
! ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
exhilarating ^jj+atrb++xvbg+=exhilarating
self ^nn++++=self-content
- ^zz++++=EXTRAWORD
content ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
lay ^jjb+++xvbn+=lay
no ^at++++=no
claim ^nn++++=claim.
. ^zz++++=EXTRAWORD
For ^in++++=For
whatever ^nn+nom+++=whatever
measure ^nn++++=measure
of ^in++++=of
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
success ^nns+nom+++=success
has ^vbz+hvz+aux++=has
fallen ^vprf+++xvbn+=fallen
to ^in++++=to
my ^pp$+pp1+++=my
lot ^nn++++=lot,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
ask ^vb++++=ask
no ^at++++=no
credit ^nn++++=credit.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+tht0++=find
myself ^ppl+pp1+++=myself
in ^in++++=in
the ^ati++++=the
chastened ^jj+atrb+++=chastened
position ^nn+nom+++=position
of ^in++++=of
one ^cd1++++=one
whose ^whp+rel+obj++=whose
literary ^jj+atrb+++=literary
abilities ^nns+nom+++=abilities
all ^rb++++=all
belong ^vb++++=belong
to ^in++++=to
one ^cd1++++=one's
's ^nns+bez+++0=EXTRAWORD
ancestors ^nns++++=ancestors.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
humbling ^nn+nom+++=humbling
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
deny ^vb+vpub+++=deny
that ^tht+vcmp+++=that
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
morally ^rb++++=morally
invigorating ^jj+pred+++=invigorating
to ^to++++=to
feel ^vbi+vprv+++=feel
that ^tht+vcmp+++=that
whatever ^nn+nom+++=whatever
is ^vbz+bez+vrb++=is
" ^zz++++="worth
worth ^in++++=EXTRAWORD
mentioning ^xvbg+++xvbg+=mentioning"
" ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life
is ^vbz+bez+vrb++=is
no ^at++++=no
affair ^nn++++=affair
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
falls ^vbz++++=falls
under ^in++++=under
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
and ^cc+phrs+++=and
terrible ^jj+atrb+++=terrible
law ^nn++++=law
by ^in++++=by
which ^whp+rel+pied++=which
the ^ati++++=the
dead ^jj+atrb+++=dead
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
whose ^whp+rel+obj++=whose
blood ^nn++++=blood
bounds ^nns++++=bounds
in ^in++++=in
our ^pp$+pp1+++=our
being ^vbg+beg++xvbg+=being
control ^nn++++=control
our ^pp$+pp1+++=our
destinies ^nns++++=destinies.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
notable ^jj+atrb+++=notable
exception ^nn+nom+++=exception
of ^in++++=of
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
less ^rbr++++=less
than ^in++++=than
the ^ati++++=the
usual ^jj+atrb+++=usual
store ^nn++++=store
of ^in++++=of
personal ^jj+atrb+++=personal
acquaintance ^nn+nom+++=acquaintance
with ^in++++=with
the ^ati++++=the
" ^zz++++="people
people ^nns++++=EXTRAWORD
who ^whp+rel+obj++=who
most ^ql+emph+++=most
influenced ^jj+++xvbn+=influenced
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Of ^in++++=Of
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
Moses ^np++++=Moses
Stuart ^np++++=Stuart,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
but ^cc++++=but
two ^cd++++=two
recollections ^nns+nom+++=recollections;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
taken ^xvbn+++xvbn+=taken
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
quite ^rb++++=quite
devoid ^in++++=devoid
of ^in"++++=of
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
as ^ql++++=as
showing ^jj+++xvbg+=showing
how ^wrb+who+++=how
the ^ati++++=the
law ^nn++++=law
of ^in++++=of
selection ^nn+nom+++=selection
works ^nns++++=works
in ^in++++=in
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
an ^at++++=an
imaginative ^jj+atrb+++=imaginative
child ^nn++++=child.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
seeing ^vbg+vprv++xvbg+=seeing
the ^ati++++=the
Professor ^nn++++=Professor
of ^in++++=of
Sacred ^jj+atrb+++=Sacred
Literature ^nn++++=Literature
come ^vb++++=come
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
dining ^nvbg+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
one ^cd1++++=one
morning ^nn++++=morning
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
house ^npl++++=house
on ^in++++=on
Andover ^np+++??+=Andover
Hill ^nn++++=Hill
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marked ^jj+++xvbn+=marked
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
his ^pp$+pp3+++=his
department ^nn+nom+++=department
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
days ^nns++++=days
of ^in++++=of
the ^ati++++=the
seminary ^nn+nom+++=seminary
history ^nn++++=history.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
very ^ql+amp+++=very
tall ^jj++++=tall
and ^cc+phrs+++=and
imposing ^jj+++xvbg+=imposing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
mug ^nn++++=mug
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
face ^nn++++=face
smiled ^vbd+++xvbn+=smiled
like ^in++++=like
the ^ati++++=the
silver ^nn++++=silver
of ^in++++=of
which ^whp+rel+pied++=which
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mug ^nn++++=mug
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
handed ^vbd+++xvbnx+=handed
it ^pp3+it+++=it
ceremoniously ^rb++++=ceremoniously
to ^in++++=to
the ^ati++++=the
year ^nn++++=year-old
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
baby ^nn++++=baby,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
namesake ^nn+++??+=namesake
and ^cc++++=and
grandson ^nn++++=grandson,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
first ^rb++++=first
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
high ^jj++++=high-chair
- ^zz++++=EXTRAWORD
chair ^nn++++=EXTRAWORD
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
it ^pp3+it+++=it
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^rb++++=a
little ^rb"++++=little
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
year ^nn++++=year
after ^cs+sub+++=after
that ^dt+dem+++=that
seeing ^vbg+vprv++xvbg+=seeing
the ^ati++++=the
professor ^nn++++=professor
in ^in++++=in
his ^pp$+pp3+++=his
coffin ^nn++++=coffin
in ^in++++=in
the ^ati++++=the
front ^jjb+atrb+++=front
hall ^nn++++=hall;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
taller ^jjr++++=taller
than ^in++++=than
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb+atrb+++=still
imposing ^jj+++xvbg+=imposing;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
coat ^nn++++=coat
on ^in++++=on
the ^ati++++=the
one ^pn++++=one,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
