Something ^pn++++=SOMETHING
wanted ^vpsv++agls+xvbnx+=wanted.
. ^zz++++=EXTRAWORD
Quickly ^rb++++=Quickly
Lori ^np+++??+=Lori
left ^vbd+++xvbn+=left
the ^ati++++=the
big ^nn++++=big
living ^vwbg+++xvbg+=living-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hurrying ^vbg+++xvbg+=hurrying
through ^in++++=through
the ^ati++++=the
hall ^nn++++=hall
into ^in++++=into
the ^ati++++=the
dining ^jj+++xvbg+=dining-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
chords ^nns++++=chords
of ^in++++=of
laughter ^nn+nom+++=laughter
drifted ^vbd+++xvbn+=drifted
from ^in++++=from
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
pushed ^vwbn+++xvbn+=pushed
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door
open ^nn++++=open.
. ^zz++++=EXTRAWORD
" ^zz++++="Steve?"
steve ^np++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
husband ^nn++++=husband
and ^cc++++=and
his ^pp$+pp3+++=his
father ^nn++++=father
were ^vbd+bed+vrb++=were
siting ^nn++++=siting
around ^in++++=around
the ^ati++++=the
kitchen ^nn++++=kitchen
table ^nn++++=table,
, ^zz++++=EXTRAWORD
smoking ^vbg+++xvbg+=smoking
their ^pp$+pp3+++=their
cigars ^nns++++=cigars
and ^cc++++=and
drinking ^xvbg+++xvbg+=drinking
steaming ^vbg+++xvbg+=steaming
black ^jj+atrb+++=black
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Steve ^np++++=Steve
demanded ^vbd+vsua++xvbn+=demanded,
, ^zz++++=EXTRAWORD
frowning ^vbg+++xvbg+=frowning
at ^rb++++=at
his ^pp$+pp3+++=his
young ^jj+atrb+++=young
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
" ^zz++++="Ed
ed ^np++++=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
business ^nns+nom+++=business."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you
something ^pn++++=something."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
men ^nns++++=men
gazed ^vbd+++xvbn+=gazed
at ^rb++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
brown ^np++++=brown-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
Steven ^np++++=Steven,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes
full ^jj++++=full
of ^in++++=of
the ^ati++++=the
stubborn ^jj+atrb+++=stubborn
dignity ^nn+nom+++=dignity
of ^in++++=of
New ^jj+atrb+++=New
England ^np++++=England
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
silent ^jj++++=silent
and ^cc++++=and
withdrawn ^vpsv++agls+xvbn+=withdrawn
in ^in++++=in
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
Ed ^np++++=Ed
Patterson ^np++++=Patterson
scarcely ^rb+down+++=scarcely
noticed ^vbd+vprv++xvbn+=noticed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rustled ^vbd+++xvbnx+=rustled
through ^in++++=through
a ^at++++=a
sheaf ^nn++++=sheaf
of ^in++++=of
feed ^nn++++=feed
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
broad ^jj++++=broad
back ^rp++++=back
turned ^vprf+++xvbn+=turned
toward ^in++++=toward
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Steve ^np++++=Steve
demanded ^vbd+vsua++xvbn+=demanded
impatiently ^rb++++=impatiently.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
wait ^vb++++=wait?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
go ^vb++++=go,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
blurted ^vbd+++xvbn+=blurted.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
where ^wrb+who+++=where?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Outside."
outside ^jjb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anxiety ^nn++++=Anxiety
flooded ^jj++++=flooded
over ^in++++=over
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
promise ^nn++++=promise.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
after ^in++++=after
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Okay ^rb+dspt+++=Okay?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
smile ^vbi++++=smile,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
heart ^nn++++=heart
was ^vbd+bedz+aux++=was
pounding ^vbg+++xvbgx+=pounding
too ^ql++++=too
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
" ^zz++++="Please
please ^uh++++=EXTRAWORD
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Steve ^np++++=Steve."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
does ^vbz+doz+vrb++=does
she ^pp3a+pp3+++=she
go ^vb++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ed ^np++++=Ed
rumbled ^vprf+++xvbn+=rumbled.
. ^zz++++=EXTRAWORD
Steve ^np++++=Steve
grunted ^vbd+++xvbn+=grunted
in ^in++++=in
annoyance ^nn+nom+++=annoyance.
. ^zz++++=EXTRAWORD
" ^zz++++="Up
up ^rp++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
hills ^nns++++=hills.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
old ^jj+atrb+++=old
abandoned ^jj+atrb++xvbn+=abandoned
place ^nn++++=place
up ^rp++++=up
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ed ^np++++=Ed's
's ^$++++=EXTRAWORD
gray ^np++++=gray
eyes ^nns++++=eyes
flickered ^vbd+++xvbn+=flickered.
. ^zz++++=EXTRAWORD
" ^zz++++="Abandoned
abandoned ^vbd+++xvbn+=EXTRAWORD
farm ^npl++++=farm?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
old ^jj+atrb+++=old
Rickley ^np+++??+=Rickley
farm ^nn++++=farm.
. ^zz++++=EXTRAWORD
Rickley ^np+++??+=Rickley
moved ^vbd+++xvbn+=moved
away ^rp+pl+++=away
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
Could ^md+pos+++=Couldn't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
anything ^pn++++=anything
to ^to++++=to
grow ^vbi++++=grow,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
up ^rp++++=up
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Ground ^np++++=Ground's
's ^$++++=EXTRAWORD
all ^abn++++=all
rocks ^nns++++=rocks.
. ^zz++++=EXTRAWORD
Bad ^jj+atrb+++=Bad
soil ^nn++++=soil.
. ^zz++++=EXTRAWORD
A ^at++++=A
lot ^nn++++=lot
of ^in++++=of
clay ^nn++++=clay
and ^cc++++=and
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
The ^ati++++=The
place ^nn++++=place
is ^vbz+bez+vrb++=is
all ^abn++++=all
overgrown ^jj+++xvbn+=overgrown,
, ^zz++++=EXTRAWORD
tumbled ^j+++xvbn+=tumbled
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
kind ^rb++++=kind
of ^rb"++++=of
farm ^nn++++=farm
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Orchard.
orchard ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Fruit ^nn++++=Fruit
orchard ^nn++++=orchard.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
damn ^jj+atrb+++=damn
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Thin ^jj+atrb+++=Thin
old ^jj+atrb+++=old
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Waste ^nn++++=Waste
of ^in++++=of
effort ^nn++++=effort."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Steve ^np++++=Steve
looked ^vbd+++xvbn+=looked
at ^rb++++=at
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
watch ^nn++++=watch.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
in ^in++++=in
time ^nn++++=time
to ^to++++=to
fix ^vbi++++=fix
dinner ^nn++++=dinner?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes!"
yes ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
moved ^vbd+++xvbn+=moved
toward ^in++++=toward
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
go ^vb++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Steve ^np++++=Steve's
's ^$++++=EXTRAWORD
face ^nn++++=face
twisted ^vbd+++xvbn+=twisted
as ^ql++++=as
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Lori ^np+++??+=Lori
waited ^vbd+++xvbn+=waited
impatiently ^rb+cnj+++=impatiently,
, ^zz++++=EXTRAWORD
scarcely ^rb+down+++=scarcely
breathing ^nvbg+++xvbg+=breathing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
never ^rb++splt++=never
got ^vprf+++xvbnx+=got
used ^vbd+++xvbn+=used
to ^in++++=to
Vermont ^np+++??+=Vermont
men ^nns++++=men
and ^cc++++=and
their ^pp$+pp3+++=their
slow ^jj+atrb+++=slow,
, ^zz++++=EXTRAWORD
deliberate ^jj+atrb+++=deliberate
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Boston ^np++++=Boston
people ^nns++++=people
were ^vbd+bed+vrb++=were
quite ^rb++++=quite
different ^jj+pred+++=different.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
her ^pp$+pp3+++=her
group ^nn++++=group
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
more ^rbr++++=more
the ^ati++++=the
college ^nn++++=college
youths ^nns++++=youths,
, ^zz++++=EXTRAWORD
dances ^nns++++=dances
and ^cc++++=and
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
late ^jj+atrb+++=late
laughter ^nn+nom+++=laughter.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
go ^vb++++=go
up ^rp++++=up
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Steve ^np++++=Steve
grumbled ^vbd+++xvbn+=grumbled.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
ask ^vb++++=ask
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Steve ^np++++=Steve.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
go ^vb++++=go.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
writhed ^vbd+++xvbnx+=writhed
in ^in++++=in
agony ^nn++++=agony.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
clenched ^vbd+++xvbnx+=clenched
her ^pp3o+pp3+++=her
fists ^nns++++=fists.
. ^zz++++=EXTRAWORD
" ^zz++++="Please!"
please ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Steve ^np++++=Steve
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cold ^jj+atrb+++=cold
autumn ^nn++++=autumn
wind ^nn++++=wind
swirled ^vbd+++xvbn+=swirled
through ^in++++=through
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
right ^jj++++=right.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
to ^in++++=to
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
why ^wrb+who+whcl++=why
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
" ^zz++++="
Lori ^np+++??+=Lori
ran ^vbd+++xvbn+=ran
to ^to++++=to
get ^vbi++++=get
her ^pp$+pp3+++=her
coat ^nn++++=coat
from ^in++++=from
the ^ati++++=the
closet ^nn++++=closet.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
to ^to++++=to
fix ^vbi++++=fix
dinner ^nn++++=dinner!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
shouted ^vbd+vpub++xvbnx+=shouted
joyfully ^rb++++=joyfully.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hurried ^vbd+++xvbnx+=hurried
to ^in++++=to
the ^ati++++=the
front ^jjb+atrb+++=front
porch ^nn++++=porch
buttoning ^nn++++=buttoning
her ^pp$+pp3+++=her
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
heart ^nn++++=heart
racing ^vwbg+++xvbg+=racing.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
cheeks ^nns++++=cheeks
were ^vbd+bed+aux++=were
flushed ^vpsv++agls+xvbnx+=flushed
a ^at++++=a
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
excited ^j+++xvbn+=excited
red ^jj++++=red
as ^ql++++=as
she ^pp3a+pp3+++=she
closed ^vbd+++xvbnx+=closed
the ^ati++++=the
door ^nn++++=door
behind ^in+pl+++=behind
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
blood ^nn++++=blood
pounding ^vwbg+++xvbg+=pounding
in ^in++++=in
her ^pp$+pp3+++=her
veins ^nns++++=veins.
. ^zz++++=EXTRAWORD
Cold ^jj+atrb+++=Cold
wind ^nn++++=wind
whipped ^vbd+++xvbn+=whipped
against ^in++++=against
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
rumpling ^nn+nom+++=rumpling
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
plucking ^vbg+++xvbg+=plucking
at ^rb++++=at
her ^pp3o+pp3+++=her
body ^nn++++=body.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
a ^at++++=a
deep ^jj+atrb+++=deep
breath ^nn++++=breath
of ^in++++=of
the ^ati++++=the
wind ^nn++++=wind
and ^cc++++=and
started ^vbd+++xvbn+=started
down ^rp++++=down
the ^ati++++=the
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
walked ^vbd+++xvbnx+=walked
rapidly ^rb++++=rapidly
onto ^in++++=onto
the ^ati++++=the
field ^nn++++=field,
, ^zz++++=EXTRAWORD
toward ^in++++=toward
the ^ati++++=the
bleak ^nn++++=bleak
line ^nn++++=line
of ^in++++=of
hills ^nns++++=hills
beyond ^in+strn+++=beyond.
. ^zz++++=EXTRAWORD
Except ^in++++=Except
for ^in"++++=for
the ^ati++++=the
wind ^nn++++=wind
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
patted ^vbd+++xvbnx+=patted
her ^pp$+pp3+++=her
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dry ^jj+atrb+++=dry
leaf ^nn++++=leaf
broke ^vbd+++xvbn+=broke
and ^cc+phrs+++=and
dug ^vbd+++xvbn+=dug
hungrily ^rb++++=hungrily
into ^in++++=into
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
coming ^vbg+++xvbgx+=coming
" ^zz++++="
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
awed ^jj+++xvbn+=awed
and ^cc+phrs+++=and
frightened ^jj+++xvbn+=frightened.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
way ^nn++++=way
" ^zz++++="
After ^cs+sub+++=After
a ^at++++=a
time ^nn++++=time
low ^jj+atrb+++=low
